Hybridization REF	TCGA-BH-A0BZ-11A-61R-A12P-07
F8A1	0.486666666666667
PLEKHG4	-1.4975
GRB2	-0.1987
HIST1H2AD	-1.26575
DUS3L	-1.19216666666667
EIF1	0.651833333333333
RP5-1077B9.4	-1.149
FPGT	1.25125
GDF10	4.64716666666667
COQ9	-0.3945
GCC2	0.3485
RARRES3	2.386125
PLXNA1	-0.2947
KIAA0100	0.1234
PMF1	-0.193
FNDC1	5.26825
HS2ST1	-0.308916666666667
CRELD2	0.09375
C8G	-2.079
CD82	0.97675
LIM2	-0.77
UNQ6490	-0.0995
MMP16	0.187
DRD3	-0.1285
C5orf26	0.01925
C11orf73	0.036
PTP4A2	0.208125
OR4M2	0.43
HPCA	-1.04616666666667
SEC14L1	0.0225
CHFR	-0.725125
EMILIN1	0.7495
NDUFS4	0.24375
COL18A1	-0.32075
PDZD3	0.0587
C9orf16	-0.257833333333333
ERBB2IP	-0.253666666666667
EMX2	5.5765
FUS	-1.43975
TF	-2.6471
CLCN4	1.35966666666667
CXorf56	0.5405
C11orf72	0.982
ELAC2	-0.06325
NPR1	2.74875
ASS1	-0.388833333333333
USP42	-0.17925
POLR2J	-1.3375
SEC23IP	0.284666666666667
UQCRC1	-0.198
LOC729603	-0.43
C1orf71	-0.8025
POLG	-3.5035
ADAM23	-3.5145
TFR2	-1.91475
RICTOR	-0.4993
MGC39606	1.82875
C19orf55	-0.42975
SNAPC1	-0.661
GNA11	0.744625
CCDC52	-0.41
FSIP1	1.7355
UPF3A	-0.071875
IGSF11	-3.61666666666667
LAGE3	-1.40925
CHST6	-3.376
UNC13B	0.8755
TTLL4	-1.549
ZNF687	-0.245875
SDC2	0.306
COX7A2	-0.10025
LAMB4	0.05475
FAM24A	-0.1835
LRRTM3	-1.11266666666667
GPHB5	0.2195
OR4C13	-0.2525
EIF3EIP	0.511642857142857
HABP4	1.022
TMEM125	2.7885
CNTN2	0.1805
ASNSD1	0.131
FUT4	-0.04125
ACF	-3.8845
LOC158381	0.7325
CDH8	1.01675
AGPS	-0.5995
C4orf18	3.787375
PECI	0.5345
UNG	-0.80825
GSTP1	0.3975
DCUN1D5	-1.47333333333333
DKFZP564J0863	-1.584
SLC9A3R1	-0.71975
BCDO2	0.222625
CHMP7	0.02275
REM2	-0.029
DNHD1	-0.373875
FKBP4	-1.01825
ZNF350	1.474
MGC11102	-0.460375
BST1	2.6715
KISS1R	0.9545
NCR2	0.3835
DEFB125	-0.0905
UBE2W	0.54975
KRT15	3.0585
C10orf99	0.292
SCN11A	1.236375
GFI1	-2.60175
RDHE2	2.74
FHL1	4.2235
OSGEP	0.0385
GATA1	-3.88533333333333
SMC6	-1.603
TTTY14	-1.55775
LPIN3	0.41675
RPL4	-0.061
RBPMS	0.9321
PRPF3	-0.6385
EMR1	-1.7445
SPATA19	-0.398
XCR1	1.1505
IRX3	1.7891
RBM6	-0.17175
KLF4	2.9647
UNC5CL	-1.085
SEBOX	0.5545
BTK	-0.43975
KRCC1	1.5835
C6orf27	0.32
SYTL5	-1.2355
PRND	3.41125
LOC653319	-1.668
PIGL	-1.419125
HUS1	-0.548333333333333
SFRS6	0.281083333333333
C17orf77	1.229
UIMC1	-0.339333333333333
FXYD2	-1.4387
LOC283152	0.60375
ZNF667	-0.147
ZCCHC12	0.414
TFEC	2.6613
ATP7B	-0.443666666666667
POLD2	-1.83466666666667
RG9MTD1	0.0155
ACOT2	1.95
HIST1H4I	-2.2305
PPARGC1A	-0.8271
ETFA	-0.4682
POLRMT	-0.6155
ZNF146	-0.31625
MIA2	-2.131
KLHL6	-1.0465
HOXB5	0.502
NENF	0.327833333333333
CUGBP1	-1.19875
PRSS22	0.6645
CASC4	0.9593
CUL4B	-0.0543
CENPJ	-2.0317
PITX1	-2.165
FLJ31033	0.778166666666667
CELSR3	-2.7805
ZNF568	1.2655
ITSN1	1.10191666666667
EHBP1L1	-0.7655
C19orf2	-0.6545
DCTN1	0.067
LIN28B	-4.63083333333333
TNKS2	0.5435
C1QBP	-0.824875
CADPS2	1.35325
SRMS	-0.07525
GJA9	0.355333333333333
MGC24975	-1.77566666666667
TRIM45	-1.15633333333333
TSP50	0.234
TCP1	-0.84275
TMED7	-0.1743
CMA1	2.093
CENPL	-2.53116666666667
PTCRA	-0.2855
FST	-2.451
VWCE	-1.7665
PAWR	-1.3225
ABCC12	0.6295
LDLR	-0.7415
ASTN2	0.1696
LOC441212	-0.572375
GPATCH8	-0.1075
TANC2	-1.28216666666667
KIF4A	-4.54025
C18orf18	0.0805
PGM1	0.5725
KIAA0258	0.25025
CPD	0.459875
SNCAIP	0.4135
DCT	-5.20983333333333
HLA-DOA	2.80940909090909
OR11L1	1.0365
UPK1B	-0.600333333333333
DNAJB4	1.8135
UGT1A8	0.67775
HIST1H4L	-1.877
PECR	0.364833333333333
HSPA2	1.5925
WFIKKN1	-3.179
SERP1	0.730625
SYDE2	0.39075
TACR2	1.873
NUP85	-1.005
CD177	-0.0915
LGR5	-2.4188
PIGG	-0.381416666666667
PTHR1	1.12933333333333
RAB5A	0.2877
FLJ13224	-0.231
USP9Y	-1.3182
C7orf53	-0.308
LRP1B	2.75525
XAF1	1.483
ABCG8	-0.123
ANKDD1A	1.33683333333333
DAND5	-1.381
SPAG6	1.08266666666667
LINCR	1.7305
ZDHHC22	-1.29875
CCDC60	1.141
THOC7	-0.741333333333333
TCTA	1.1137
OR8K3	-0.03975
NY-REN-7	-0.3295
B2M	2.03483333333333
C6orf141	-2.287375
LPPR4	3.022
SQLE	-3.049625
SEPHS1	-0.6475
BTBD14B	0.333785714285714
PLRG1	-0.281
SPG7	-0.646375
ZNF614	-0.104166666666667
PARD6G	0.6085
INPP5B	-0.8228
GRPEL2	-0.755875
PPID	0.00500000000000005
TRIM56	0.175
UBE2J1	-0.399
IL20RA	5.8415
LOC387856	1.40525
C1orf107	0.00833333333333333
UTS2R	0.64825
C19orf22	-0.2715
SAFB2	-0.516375
KIAA0652	0.146875
KLRG1	-0.00866666666666665
MS4A8B	-0.0781666666666667
FRAG1	-0.06
KIAA1546	0.28175
E2F4	-0.8639
CLEC4M	0.9135
BTBD14A	-1.06775
KIAA0999	1.2383
GYPA	-4.72166666666667
TAC1	3.1771
TRAIP	-2.55233333333333
KIAA0232	0.9918
ERCC8	-0.943625
GPX4	1.4415
KIAA0368	0.085375
GPR157	-1.17866666666667
CTAGE4	0.1055
C9orf30	-1.06683333333333
OR52A1	0.0475
HSP90B3P	-0.0695
ALG9	0.319
BTBD10	0.58075
SDK2	0.30525
BAIAP3	-0.19875
RABGGTB	-0.812
ANKRD40	0.723166666666667
KRT74	0.8295
CALCOCO2	0.927642857142857
SNCA	-1.4535
TMSL8	-4.38575
C2orf53	0.3695
ESRRB	-0.4485
ARHGAP26	-1.018625
TDRD9	-1.8785
HRAS	0.110833333333333
KLRC4	-2.234
JAGN1	-0.303666666666667
BSDC1	0.57825
RNF43	-0.4922
NDUFAF1	0.61425
PHF12	0.08875
OR1L3	0.08825
FOLR2	3.81883333333333
LYZL6	0.5284
tcag7.1260	0.142
WSB1	-0.648666666666667
PROS1	1.1134
OSTN	0.002
PSMB8	0.38625
SOCS4	-0.183125
DDIT4L	3.77425
MAS1	1.231
MGC34796	0.76625
CSHL1	0.6165
TBCCD1	0.186666666666667
ZBTB7C	0.011
AP2S1	-0.82275
P15RS	-0.2838
VAT1	-0.0459
SHANK3	1.7965
TUFM	-0.9765
THEG	-0.0265
KRT34	-2.035
SGSM3	0.057125
TOMM22	-0.57625
SOCS3	4.1055
CPO	1.527
POP4	0.353
BHLHB3	1.935
MALL	2.7165
OR1B1	0.0235
PARK2	1.2635
GPR124	2.18375
LCE1E	-0.387
RUVBL2	-1.31925
CGRRF1	1.0066
ACPL2	0.466
WNT10B	-0.16525
BAIAP2L2	-2.0145
ISCA1	0.87
C1orf125	-0.0125
RPAP1	-0.9415
RAI16	0.212833333333333
RPL27	-0.048875
NLRP9	0.2485
EPN1	-0.255
LOC388610	-0.87425
SLC35A1	1.2204
GAL	-2.5135
SLC14A2	0.61325
RDH11	-0.770166666666667
FAM138F	-0.3195
AUH	1.15925
FLJ40243	0.397
C14orf129	0.1775
MBD2	-0.490333333333333
ABHD14B	0.790125
PIGT	0.043625
ALS2CR4	0.336875
ALAS1	0.4618
FOXO1	2.43883333333333
CRLF3	-0.381375
C20orf107	-0.0125
FARS2	0.4355
CCDC28A	1.029
NPHP3	-0.03
OR13F1	0.2055
TSEN54	-1.40175
DEFB106B	0.25625
OR8B4	0.6935
STH	0.449
ZC3H14	-0.328375
CBX2	-0.775
TMEM49	-1.59725
C6orf21	0.2295
FLJ20920	1.5695
CRTAP	1.56335714285714
DDX50	0.15325
STYXL1	-0.77
BLVRB	0.237666666666667
LOC147650	0.124666666666667
MMP24	0.16675
GRID1	2.79083333333333
BANF1	-1.261
CTAGEP	-0.22825
HMBS	-2.118
SLC25A24	0.0251666666666667
C14orf50	2.20625
MRO	2.126
SLC25A15	-0.94675
FAM84B	0.6107
TDP1	-1.538
C16orf78	0.340666666666667
C11orf57	-0.192125
RFK	-0.648125
ZFYVE9	-0.439
STCH	-1.2463
WIBG	-0.05175
LOC283871	-0.590666666666667
GBA2	-0.2854
NDUFB3	0.14325
HSD17B13	3.75175
GRIN3A	1.50516666666667
FMNL1	-0.555333333333333
SEPT7	-0.409
GNLY	4.5185
GRAMD1C	1.66916666666667
ZNF165	-0.44775
USP38	0.34175
FAM83A	-4.34483333333333
C14orf24	0.607
ARMCX3	1.6345
ARHGDIB	0.733166666666667
AK1	0.66025
KIAA1045	1.3275
DNAJB13	-0.1605
NEU2	0.8115
HIST1H4B	-2.46083333333333
FAM20B	-0.6035
HES2	0.208285714285714
FAM73B	-0.3193
LOC388381	0.843
INTS7	-1.46509090909091
AMPH	1.00475
ZNF775	-0.165125
UCKL1	-0.710166666666667
C10orf97	0.56675
C1orf161	-0.22675
ALDH1L1	3.6225
FLJ39378	0.040375
SLC23A1	-1.6865
RBM4B	-0.158
THAP4	-0.0435
OGFRL1	1.3855
KIAA0831	0.262625
PPP1R15A	1.99083333333333
C1orf96	-0.913428571428571
C12orf11	-1.435
BMF	-0.11775
MAN1A1	0.460125
KIAA1600	0.995833333333333
NLGN4X	0.41075
ALOX12	-1.027
RB1CC1	-0.4089
NEIL2	1.097
EIF4E	0.205818181818182
ABHD5	0.77025
EXOC4	-0.414666666666667
CIP29	-0.3695
BATF2	0.3685
SLC29A4	1.886375
HTR4	1.50475
EMB	-0.85225
TRAF6	0.7675
LMNB1	-5.6665
FAM19A5	-1.82775
SHE	4.03
PIK3C2B	2.158
C15orf15	-0.3074
USP15	0.2131
TCEAL2	3.07375
C5orf39	0.433666666666667
PTGER2	0.65875
SLC31A1	-0.944875
IFT172	0.239
ADAM29	0.357
GFOD1	2.1415
ST7L	0.1505
C15orf26	-3.10333333333333
PKN3	-0.39625
CNTD1	3.183
COMMD1	0.377125
NTRK2	5.16341666666667
FOXN3	1.833
MFGE8	0.6475
PFKFB2	0.120666666666667
TAS2R4	-0.116
ENTHD1	-1.4145
PRMT5	-1.147
MGC16384	-1.643625
LOC442229	0.20375
TSKU	1.101375
KRTCAP3	1.403125
PDLIM1	1.3565
KCNS2	0.7075
RNF126	-0.610833333333333
CEP63	0.2795
CLIC4	0.403125
hCG_1990170	2.61825
ACR	1.467
KLK7	4.00975
ALOX5AP	3.164125
RIPK3	4.197
TAS2R9	0.2655
C19orf18	1.8505
BIRC6	0.283857142857143
ZNF16	0.572
RFT1	-0.981
SLC8A2	-0.565
TACC1	1.304875
ITGAD	1.37175
SAMHD1	1.6075
SH3PXD2B	0.7202
EPC2	0.9265
C20orf85	0.821142857142857
ATP13A2	-0.116666666666667
KRT4	0.784625
CAPNS1	0.2745
MDM2	-0.583916666666667
PCDH20	1.7725
KCNK9	0.0265
OR2C1	0.866
KLHDC3	-0.8135
IPPK	-0.0825
EFHD2	-0.09475
GALR3	0.3925
NBEA	0.789833333333333
ABCA6	5.7905
CLDN3	0.450833333333333
AKT2	-0.524142857142857
EGFR	0.547
RBM16	0.30325
ZDHHC3	0.6653
SLC25A4	0.132166666666667
CYB5B	-0.748333333333333
CPXM1	1.43075
NDRG1	-0.0235384615384615
FLJ43826	0.0845
OR5L2	-0.161833333333333
FARP2	0.5108
MRPL46	-0.231583333333333
LDHAL6B	0.3148
MAPKAPK3	-0.771333333333333
NCAM2	-1.91975
PRKD2	0.238333333333333
ZFP36L1	2.0376
CYSLTR1	0.63375
OR4C3	0.4025
HIST1H2AJ	1.3145
CCNB2	-4.79366666666667
ZNF10	0.368125
TMEM175	0.744
FAM134A	0.394666666666667
TIGD4	-0.6915
PCNP	-0.052
MGC39715	-0.4525
LQK1	-0.595
CREB1	0.1986
TMPRSS3	0.1425
C4orf32	2.4245
LAT	-1.86475
KCNA3	-0.5865
SKIV2L2	-0.7645
ROPN1B	1.11175
tcag7.23	-0.627
CDT1	-4.591125
ZHX2	1.128625
CD28	-1.112
ZNF624	1.348
SEPT2	0.140416666666667
SOHLH2	-2.13228571428571
MCOLN3	-0.370285714285714
UNQ1945	0.3495
MASP2	0.3785
ZNRF3	-0.4176
GPATCH3	-0.21375
AGL	1.020125
QRICH2	0.3915
PSD4	0.422166666666667
CCNB1IP1	-1.70625
ENPP7	0.2425
OBFC1	0.2475
KCNG3	-2.8725
C14orf79	-0.208416666666667
ENPEP	2.35733333333333
SCT	-0.033
SKI	0.39775
SEC61G	-0.768
CAPN11	1.78025
ATXN7L3	-0.46675
DBNDD1	-1.3935
FAIM	0.84875
ANKRD36	-1.8145
GABRP	4.65816666666667
TACSTD2	2.5832
EIF3J	-0.49125
PPP2R2A	-0.571
TEKT4	0.3755
PVALB	-4.41016666666667
F10	-0.490833333333333
FAM134C	1.164
COMP	3.5985
EFCBP1	-0.570875
SCLT1	-0.135625
TAL1	-0.2242
ACSL1	3.8605
ABCC5	-0.755166666666667
ABL1	-0.499
RBBP7	-0.480583333333333
PTPRG	-0.156125
NCOR1	-0.044
SPINK4	-0.869833333333333
TXNRD1	-1.1177
TNRC15	-0.150375
C9orf138	0.833625
UBE2H	0.427166666666667
BRDT	-0.3608
C8orf31	-0.251
CCNE2	-4.36963636363636
SLC6A8	-2.068125
CALCR	-1.04675
PPP1CB	0.981916666666667
ABHD8	-0.1525
ARF5	-0.1229
SLC24A4	2.00825
CCT3	-1.238
ZNF121	0.04975
SLC3A2	-1.4498
OR13A1	0.082
SLC5A10	0.5
RAD50	-0.422125
IER5	0.297875
MTHFD1L	-2.43825
MBTPS2	-1.13425
MVK	-0.860375
NCL	-0.1535
PSMD10	-0.568
MOBP	0.139285714285714
FLJ32894	-0.658
HRH1	0.477666666666667
C5orf30	1.015
NUDT16L1	-0.0202
RASGRP3	3.647
PRKRIP1	-0.6973
CCDC75	1.18425
LOC253970	0.177
KIAA1239	3.389
MED21	-0.383
SYT11	0.415916666666667
NTSR2	0.113
EGFL11	2.274
CXorf59	-0.678
OR2A25	0.915666666666667
SPTBN2	-1.4445
LRMP	0.818
RNF111	0.18575
PTH	0.298
LOC619208	0.525333333333333
KIAA0895	-0.02375
RANBP5	-0.71725
P2RY10	0.535333333333333
NME5	3.136
DDX21	-0.83375
LRSAM1	-0.5255
HDAC11	0.885166666666667
VMO1	2.24925
NOLA2	-0.938666666666667
ADAR	-0.249416666666667
MTO1	-0.8385
SF4	0.1125
P2RX1	1.483
HBM	2.09325
EN2	0.3045
C14orf172	-0.03
TM9SF2	0.4453
INHBE	-1.86066666666667
TCTE3	0.502916666666667
TOX2	-1.87975
CTAGE3	-0.452375
HBB	5.8115
MED15	-0.9585
CASR	0.23
C6orf66	-0.659666666666667
MTPN	-0.580875
UNC50	0.131
C21orf33	0.928375
IRF2	0.934625
PGR	1.23583333333333
GPR84	1.4105
CROCCL1	-1.808
SRPX	1.124
BRE	-0.0366666666666667
FGF10	4.18375
SDC3	0.462833333333333
ZRSR1	0.706166666666667
DKFZP434P211	-0.50075
SOX6	-0.6405
RPUSD2	-0.87025
C14orf173	0.448833333333333
MAPK11	0.0948333333333334
TBC1D22A	0.5415
FAM123A	-1.583
COL4A6	-0.793333333333333
TOMM70A	-0.148
NAB1	0.89325
MGC16385	-0.339125
TSPAN18	-0.371166666666667
MED31	0.275
PLG	-0.1915
CAPSL	-0.2415
ZNF532	1.2319
ASB14	0.54075
CA8	1.32825
NUDT16P	1.54433333333333
SLFN11	0.3055
LRRIQ2	-1.169
NOL7	-0.565333333333333
BRMS1L	-0.095125
JARID1A	-0.274166666666667
PANK2	-0.31425
ICAM3	-0.349
MDS1	0.18325
TAF8	-0.39025
RNF139	0.9035
ZNF594	-0.149333333333333
ADAM8	-0.0355
SFTPC	0.156
MAN2B2	1.4215
RGS12	0.3860625
EIF1AY	-4.88408333333333
LRRIQ1	-0.017
GPR150	0.651
CCDC21	-1.90466666666667
PRRG3	1.747
SAA4	1.4215
RAPGEF5	1.164375
ZCCHC2	0.042
MGC39372	1.4055
PPP4R2	-0.379333333333333
CDCA2	-4.31583333333333
OR4D5	0.408166666666667
PTGFRN	-0.0696
SIGLEC5	1.30816666666667
C19orf61	-0.696
NMUR2	0.124
KIAA1586	-0.718166666666667
DAGLA	0.843166666666667
CHCHD6	-0.4295
GPR32	0.1915
NEUROD6	0.6395
SLC2A4RG	0.1659375
CA5B	0.38075
FBXL3	1.702
MPHOSPH9	-2.2265
HMG2L1	-0.1
HCN4	0.117166666666667
CEACAM19	0.49275
SH2D4B	-0.0828
HFE2	-0.923
TGM4	0.2466
LYPD2	0.38375
TBC1D15	0.475
MRPS21	-0.3864
NONO	-1.5992
CLEC5A	0.321625
ITCH	-0.3297
MGAT3	1.50233333333333
MBP	0.330625
RPP25	-1.325
SOSTDC1	2.9265
HRC	-0.44875
TRIM48	-0.0815
TMEM133	1.49875
ECEL1P2	-1.4095
HOXC11	-0.75
DOK5	1.0215
HELZ	0.271
LOC348180	-1.033
MGC33894	0.732
ADRB3	-0.165
DMD	1.82575
PTRH2	-0.694
MPEG1	3.9885
NDUFA12	-0.00899999999999999
KRTAP2-4	-0.0998333333333334
STAMBPL1	-0.4325
ADCY2	0.5086
UNQ6125	0.759
KLHL20	0.19
SRM	-1.5645
OTC	0.11525
TMIE	1.35466666666667
SNX8	-0.55225
LIPK	-2.7095
CHURC1	0.967333333333333
KLC2	0.204333333333333
HDAC1	-0.676666666666667
FAM128A	-0.52
FNDC3B	0.9188
MTCP1	-0.246333333333333
WFDC10B	0.242
PCDHGB3	0.285
ATRNL1	-1.8754
CAV2	3.069875
MED26	-0.4055
DUS1L	-0.167
CHRM3	-1.386625
NEK9	0.42525
WARS2	-0.63375
TBX22	0.365
TOMM40	-1.701
RP6-213H19.1	-2.02766666666667
TUBGCP5	-0.195
IGSF6	5.30025
TPPP	1.35983333333333
UNQ6190	0.119
GSTM5	3.824
BTD	1.75983333333333
PDCD1LG2	1.08416666666667
SNRPB2	-0.372833333333333
ERICH1	0.07925
APOA4	-1.295625
HOXA11	-1.74733333333333
NARG1	-0.20775
MKX	2.4925
RAB28	0.0397142857142857
PKP3	-0.319
SH3GL2	-1.904
CTSO	3.3895
RPN2	0.1321875
IL28RA	0.0931666666666666
SFMBT1	0.43075
WDR57	-0.654875
FER1L3	0.782166666666667
HSF5	0.544166666666667
TTC9B	0.37175
C4BPA	-2.19883333333333
ALB	-4.402
SORBS3	0.532
UPF2	-0.1125
JPH1	-2.5905
AGBL2	-0.70975
DOPEY1	1.695
TERF1	-0.205666666666667
KIF22	-1.79216666666667
NINJ1	0.5185
SEC61A2	-1.15291666666667
HIST1H1D	-2.6435
SFXN4	-0.363
UCP3	0.2192
ZNF703	0.86
MYL6B	-0.585
TREM1	2.8575
OR52E6	0.9315
CKMT2	5.10375
HLA-C	2.3765
SLC13A3	-1.39783333333333
TIMP4	4.345
SLIT2	3.61825
RSF1	-0.0690555555555556
LONRF1	-0.510571428571429
MON1A	0.0415
CACNG6	-2.2735
DPPA4	-6.61
ZSWIM3	-0.41175
ZNF804A	-0.025
CCIN	1.7995
SLC25A31	-0.36575
KCNMB4	-0.0705
RABL5	-0.083125
GALNS	-0.6236
STX6	-0.279375
HIST1H1C	-1.6945
CIDEB	0.211
CASP4	1.13516666666667
PDK3	-0.9644
KCNJ11	1.211
TPR	-0.607625
ZSCAN20	-0.583
MTX2	-0.1385
HIST1H2BH	-1.636
LOC283767	3.832
LYRM7	-0.404166666666667
BRD3	-0.252166666666667
HIST1H2BO	-1.89975
MAGEB10	1.1495
SLC45A1	0.801
SERPINA3	1.35045
KIAA0143	0.8995
KCNJ16	4.5765
KRT79	-0.3055
FABP2	-2.1395
NUT	-0.21575
ZNF57	-0.6965
FBXL4	0.137375
CLEC9A	0.951
UGT8	-0.256833333333333
BMP2K	0.456
MAPK4	-2.461
SLC25A23	-0.501
HINT1	-0.5912
KRTAP13-1	0.755
SFXN5	-0.5979
CHCHD2	-0.7365
FAM3D	3.532
NDP	-2.420125
RHOBTB1	0.2365
SLC4A4	1.478875
RPL38	0.37225
HTF9C	-0.355333333333333
AP2A2	0.62875
ZBTB46	0.2365
MAP7D1	1.409375
AOX1	0.9985
CYR61	3.58016666666667
DTNA	-0.280214285714286
JRKL	1.28425
TMOD3	-0.722
EEA1	0.6375
ADCK5	-1.151
IL1R1	3.74
KLK3	0.254428571428571
HRSP12	0.32075
KTN1	0.5805
LOH11CR2A	1.2429
RELL2	-2.102
MAB21L1	3.59025
C20orf59	-1.43366666666667
PHKB	0.313
ADAM2	-2.9445
TBC1D8B	1.25233333333333
FAM13A1	0.5395
LAPTM4B	-1.72266666666667
LCN8	-0.4905
TMEM147	-0.017
SYT4	0.664666666666667
XPO7	-1.0255
C9orf62	0.4045
GPR75	0.333
TRIM5	0.559
APOC1	-1.36583333333333
RNASE4	2.15633333333333
PARD6B	-1.643875
ARID1A	-0.0278333333333333
TPD52L3	0.133111111111111
RRAGB	1.14866666666667
RCN2	-0.729666666666667
HIST2H2BE	-0.939875
STARD7	-0.20875
SHMT2	-2.18225
KIAA1751	1.04316666666667
MLYCD	1.086625
LOC162632	-0.904
UQCRH	-1.14025
RP11-217H1.1	-0.383375
SDHA	-0.635
NCLN	-0.579
ZNF17	0.615333333333333
RCBTB2	0.043
VEGFB	1.4573
RP4-747L4.3	-0.511
COLQ	0.1261
MPN2	0.0386666666666667
DRG2	-0.15275
KLRB1	5.18175
ALPK2	-3.09425
DNASE2B	2.18575
FLJ23834	0.3155
AXUD1	3.01783333333333
SAFB	-0.7712
NSUN4	-0.667
RFX2	0.679833333333333
MAPK8IP1	-0.812833333333333
FANCD2	-1.85564285714286
ANKZF1	-1.62733333333333
C19orf50	-0.13825
DUSP8	1.683875
SENP5	-0.73275
NFKBIL2	-1.308
LBR	-0.78025
IGFL1	0.749
LZTS2	0.297625
IL2RG	-0.77875
CCDC51	-0.39425
KLF3	0.502875
ANKRD37	0.88725
KCTD14	1.00166666666667
FZR1	-0.17
SLC44A4	1.871
ESPL1	-2.125125
GMPR2	-0.0666
TBC1D19	-0.442833333333333
ERGIC1	-0.0951111111111112
ERBB4	2.6417
TSPAN32	0.49175
MAP4	0.476625
GPHN	-0.73425
SLC6A2	2.345
HIVEP1	0.10175
DFFB	-0.915
EIF4EBP2	1.232375
DMRT1	-0.6725
HSPB6	2.5215
IER2	2.21033333333333
AIFM1	-0.14675
WWC2	0.368545454545455
MRPL4	-0.7685
FLJ21062	1.86483333333333
EPB41L4A	1.84741666666667
SH2D6	0.01825
TAF4B	-0.416
GAL3ST3	-0.428
MALT1	-0.916333333333333
RTDR1	-0.73525
ARVCF	0.07525
MEX3B	-0.941833333333333
FBXO16	-0.189
KIF7	-0.49
C1QC	4.8055
ZNF783	-0.818166666666667
ZNF85	-0.48825
MMP13	-1.068
KIAA0329	0.66675
RTP3	-1.1905
ZBED3	0.97125
CLGN	-2.977
SLC25A37	-1.054375
hCG_18290	-0.078
OR5AS1	0.025
SMARCC2	0.847833333333333
FAM109A	0.106
CCDC12	-0.0375
USF2	0.6847
DEPDC7	-2.8655
C20orf24	-0.923333333333333
JMJD3	0.4385
DSP	0.597357142857143
SLIC1	0.21525
FAM20A	2.01175
IRF2BP2	0.308875
ZNF230	-0.2095
MSN	0.1745
SLC9A5	-1.882
EPDR1	1.1403
MUSK	0.488666666666667
ZNF434	0.154833333333333
SMARCD1	-0.502666666666667
ZFP106	1.239
