Hybridization REF	TCGA-BH-A18L-11A-42R-A12D-07
SEPT7	-0.2117
GNLY	3.691
GRAMD1C	1.6125
ZNF165	-0.53575
USP38	-0.10425
FAM83A	-3.53683333333333
C14orf24	0.741833333333333
ARMCX3	1.091875
ARHGDIB	0.187
AK1	0.613625
KIAA1045	1.017
DNAJB13	-0.1795
NEU2	1.2585
HIST1H4B	-1.14283333333333
FAM20B	-0.3034
HES2	0.798928571428571
FAM73B	-0.4282
LOC388381	0.17575
INTS7	-1.37127272727273
AMPH	0.932
ZNF775	0.118625
UCKL1	-0.568
C10orf97	0.2855
C1orf161	-0.43325
ALDH1L1	3.613
FLJ39378	-0.083375
SLC23A1	-2.233
RBM4B	0.2845
THAP4	0.1665
OGFRL1	1.11875
KIAA0831	0.44725
PPP1R15A	1.709
C1orf96	-0.7115
C12orf11	-2.5215
BMF	-0.17025
MAN1A1	-0.24375
KIAA1600	1.11383333333333
NLGN4X	1.4385
ALOX12	-1.7885
RB1CC1	0.4576
NEIL2	1.16
EIF4E	-0.111090909090909
ABHD5	0.8395
EXOC4	-0.294666666666667
CIP29	-0.350666666666667
BATF2	1.71425
SLC29A4	1.39725
HTR4	0.82775
EMB	-1.2395
TRAF6	0.6585
LMNB1	-5.25325
FAM19A5	-0.940875
SHE	3.04675
PIK3C2B	1.53325
C15orf15	-0.5315
USP15	-0.2765
TCEAL2	2.5315
C5orf39	-0.380333333333333
PTGER2	-0.11875
SLC31A1	-0.02
IFT172	0.534
ADAM29	-0.003
GFOD1	1.11525
ST7L	0.236333333333333
C15orf26	-2.9345
PKN3	-0.40625
CNTD1	2.92816666666667
COMMD1	0.47475
NTRK2	5.143
FOXN3	1.471125
MFGE8	0.9255
PFKFB2	0.245166666666667
TAS2R4	-0.324
ENTHD1	-0.923
PRMT5	-1.092125
MGC16384	-1.43875
LOC442229	-0.38525
TSKU	1.229625
KRTCAP3	1.964125
PDLIM1	1.5888
KCNS2	-0.08475
RNF126	-0.438
CEP63	0.3445
CLIC4	0.315
hCG_1990170	2.99
ACR	1.1147
KLK7	5.41525
ALOX5AP	2.90825
RIPK3	3.36775
TAS2R9	-0.341
C19orf18	1.867
BIRC6	-0.0185714285714286
ZNF16	0.593
RFT1	-0.743
SLC8A2	-0.13175
TACC1	2.02025
ITGAD	1.14175
SAMHD1	1.455
SH3PXD2B	0.6454
EPC2	1.2755
C20orf85	0.2675
ATP13A2	-0.387833333333333
KRT4	0.312875
CAPNS1	0.1995
MDM2	0.0114166666666667
PCDH20	2.35725
KCNK9	0.043
OR2C1	-0.115
KLHDC3	-0.166
IPPK	-0.4445
EFHD2	-0.231625
GALR3	1.13425
NBEA	0.606333333333333
ABCA6	5.4155
CLDN3	0.614833333333333
AKT2	0.0707142857142857
EGFR	0.4735
RBM16	0.232375
ZDHHC3	0.5368
SLC25A4	0.0433333333333333
CYB5B	-0.935666666666667
CPXM1	1.60075
NDRG1	0.256384615384615
FLJ43826	0.3945
OR5L2	-0.485166666666667
FARP2	0.3494
MRPL46	0.0158333333333333
LDHAL6B	0.352666666666667
MAPKAPK3	-0.638666666666667
NCAM2	-2.4545
PRKD2	0.566833333333333
ZFP36L1	2.267
CYSLTR1	0.397
OR4C3	-0.13225
HIST1H2AJ	1.436
CCNB2	-3.97988888888889
ZNF10	0.168875
TMEM175	0.8995
FAM134A	0.347666666666667
TIGD4	-0.4645
PCNP	0.35925
MGC39715	1.08425
LQK1	-1.01425
CREB1	0.4792
TMPRSS3	0.138
C4orf32	2.346875
LAT	-1.74775
KCNA3	0.3675
SKIV2L2	-1.149
ROPN1B	2.4255
tcag7.23	-0.8585
CDT1	-3.79275
ZHX2	1.03575
CD28	-2.2115
ZNF624	1.0225
SEPT2	0.318583333333333
SOHLH2	-2.756625
MCOLN3	-0.039625
UNQ1945	0.2875
MASP2	-0.9905
ZNRF3	-0.0846
GPATCH3	-0.02125
AGL	0.829875
QRICH2	-0.18
PSD4	0.336
CCNB1IP1	-1.2295
ENPP7	0.1515
OBFC1	0.11
KCNG3	-2.19525
C14orf79	0.3345
ENPEP	1.9785
SCT	-0.0585
SKI	1.279375
SEC61G	-1.59325
CAPN11	2.01175
ATXN7L3	-0.48325
DBNDD1	-1.46916666666667
FAIM	1.16725
ANKRD36	-0.5595
GABRP	4.84466666666667
TACSTD2	2.24566666666667
EIF3J	-0.69725
PPP2R2A	-0.798
TEKT4	0.099
PVALB	-3.5975
F10	-0.128833333333333
FAM134C	1.1464
COMP	3.126
EFCBP1	-0.5106875
SCLT1	0.64675
TAL1	-0.8717
ACSL1	3.85425
ABCC5	-0.269166666666667
ABL1	-0.292666666666667
RBBP7	-0.130416666666667
PTPRG	-0.490625
NCOR1	0.1722
SPINK4	-1.96233333333333
TXNRD1	-1.4794
TNRC15	0.645
C9orf138	1.025625
UBE2H	0.719833333333333
BRDT	0.631
C8orf31	-0.1825
CCNE2	-4.11745454545455
SLC6A8	-1.636
CALCR	-0.3695
PPP1CB	0.556416666666667
ABHD8	-0.252
ARF5	-0.3472
SLC24A4	1.082
CCT3	-1.02175
ZNF121	-0.14025
SLC3A2	-1.1202
OR13A1	0.065
SLC5A10	-0.17325
RAD50	-0.76575
IER5	0.72025
MTHFD1L	-2.169375
MBTPS2	-0.3885
MVK	-0.56575
NCL	-0.2234
PSMD10	-0.776
MOBP	0.198
FLJ32894	0.3985
HRH1	0.697166666666667
C5orf30	0.20525
NUDT16L1	0.0291
RASGRP3	3.52616666666667
PRKRIP1	-0.4425
CCDC75	1.68425
LOC253970	0.85275
KIAA1239	3.45975
MED21	-0.3375
SYT11	0.516583333333333
NTSR2	-0.4555
EGFL11	0.5715
CXorf59	-1.9355
OR2A25	-0.0716666666666667
SPTBN2	-1.09025
LRMP	-0.556333333333333
RNF111	-0.0055
PTH	0.2685
LOC619208	0.878666666666667
KIAA0895	-0.277
RANBP5	-1.11825
P2RY10	-0.0486666666666667
NME5	3.8955
DDX21	-1.1115
LRSAM1	-0.2145
HDAC11	0.8455
VMO1	1.8565
NOLA2	-0.865333333333333
ADAR	0.887
MTO1	-1.04333333333333
SF4	0.266333333333333
P2RX1	0.314166666666667
HBM	0.307
EN2	1.0725
C14orf172	-0.07925
TM9SF2	0.2984
INHBE	-1.09916666666667
TCTE3	0.0910833333333333
TOX2	-2.3975
CTAGE3	0.000249999999999972
HBB	4.6935
MED15	-0.6665
CASR	0.322
C6orf66	-0.7935
MTPN	-0.21625
UNC50	0.2345
C21orf33	0.45775
IRF2	1.064875
PGR	1.73633333333333
GPR84	1.11175
CROCCL1	-1.016
SRPX	1.69175
BRE	-0.175666666666667
FGF10	3.379
SDC3	0.454833333333333
ZRSR1	0.828666666666667
DKFZP434P211	-0.18125
SOX6	0.1465
RPUSD2	-0.6015
C14orf173	0.467083333333333
MAPK11	0.0795
TBC1D22A	0.738
FAM123A	-0.557
COL4A6	-0.905166666666667
TOMM70A	-0.08025
NAB1	0.847875
MGC16385	-0.25375
TSPAN18	1.16333333333333
MED31	-0.29275
PLG	-0.5475
CAPSL	0.6615
ZNF532	0.8793
ASB14	-0.42925
CA8	0.4805
NUDT16P	1.21083333333333
SLFN11	-0.594
LRRIQ2	-0.759875
NOL7	-0.3485
BRMS1L	-0.375
JARID1A	0.195166666666667
PANK2	-0.3475
ICAM3	-0.50725
MDS1	0.6115
TAF8	-0.41925
RNF139	0.628
ZNF594	0.26
ADAM8	-0.607625
SFTPC	0.041125
MAN2B2	1.4485
RGS12	0.86625
EIF1AY	-4.716
LRRIQ1	0.157666666666667
GPR150	1.4665
CCDC21	-1.835
PRRG3	1.843
SAA4	1.754
RAPGEF5	1.63775
ZCCHC2	0.491833333333333
MGC39372	0.8315
PPP4R2	-0.361833333333333
CDCA2	-3.54316666666667
OR4D5	0.145
PTGFRN	0.6164
SIGLEC5	-0.496333333333333
C19orf61	-0.5475
NMUR2	-0.008
KIAA1586	-0.794
DAGLA	0.4175
CHCHD6	-0.245
GPR32	0.7115
NEUROD6	0.166666666666667
SLC2A4RG	0.2891875
CA5B	0.09
FBXL3	1.39175
MPHOSPH9	-1.91775
HMG2L1	-0.18225
HCN4	0.76
CEACAM19	0.24875
SH2D4B	0.397666666666667
HFE2	-0.7975
TGM4	-0.1498
LYPD2	0.212
TBC1D15	0.755
MRPS21	-0.1043
NONO	-0.9508
CLEC5A	0.2065
ITCH	-0.1183
MGAT3	1.39833333333333
MBP	0.247875
RPP25	-1.088
SOSTDC1	4.05075
HRC	-0.704
TRIM48	-0.3345
TMEM133	1.146
ECEL1P2	-1.6985
HOXC11	-0.0775
DOK5	0.39075
HELZ	0.0921666666666667
LOC348180	-0.7045
MGC33894	0.355
ADRB3	0.0465
DMD	2.19
PTRH2	-0.68125
MPEG1	3.5665
NDUFA12	0.000833333333333332
KRTAP2-4	0.0574166666666667
STAMBPL1	-0.996333333333333
ADCY2	0.3855
UNQ6125	0.757
KLHL20	0.7646
SRM	-1.16
OTC	0.364
TMIE	1.30916666666667
SNX8	-0.34475
LIPK	0.835
CHURC1	0.467916666666667
KLC2	0.0381666666666667
HDAC1	-0.906666666666667
FAM128A	-0.504833333333333
FNDC3B	0.3238
MTCP1	-0.537833333333333
WFDC10B	0.1174
PCDHGB3	-0.242
ATRNL1	-0.6577
CAV2	2.796875
MED26	-0.0748333333333333
DUS1L	-0.01925
CHRM3	-0.799125
NEK9	0.64575
WARS2	-0.25675
TBX22	0.3545
TOMM40	-1.4025
RP6-213H19.1	-1.55183333333333
TUBGCP5	-0.459
IGSF6	4.82
TPPP	1.31433333333333
UNQ6190	-0.2185
GSTM5	1.576375
BTD	1.21133333333333
PDCD1LG2	0.493833333333333
SNRPB2	-0.731333333333333
ERICH1	0.096625
APOA4	-1.549125
HOXA11	-0.79375
NARG1	-0.92025
MKX	0.52425
RAB28	0.0761428571428571
PKP3	0.0715
SH3GL2	-2.281
CTSO	3.18325
RPN2	-0.1845
IL28RA	0.379333333333333
SFMBT1	-0.14
WDR57	-1.514875
FER1L3	1.05408333333333
HSF5	0.2608
TTC9B	0.11675
C4BPA	-1.3745
ALB	-3.70685714285714
SORBS3	0.210375
UPF2	0.1315
JPH1	-0.2915
AGBL2	-0.254
DOPEY1	2.157
TERF1	-0.412333333333333
KIF22	-1.49816666666667
NINJ1	0.946
SEC61A2	-1.05975
HIST1H1D	-1.89483333333333
SFXN4	-0.651375
UCP3	0.237
ZNF703	0.600833333333333
MYL6B	-0.40925
TREM1	1.1035
OR52E6	0.5685
CKMT2	4.44775
HLA-C	2.669
SLC13A3	-0.982166666666667
TIMP4	3.5175
SLIT2	3.5665
RSF1	0.351722222222222
LONRF1	-0.495
MON1A	-0.278
CACNG6	-1.294
DPPA4	-5.51666666666667
ZSWIM3	-0.24725
ZNF804A	-0.640333333333333
CCIN	1.83275
SLC25A31	0.0523333333333333
KCNMB4	-0.34275
RABL5	-0.230625
GALNS	-0.463
STX6	0.321875
HIST1H1C	-2.5305
CIDEB	0.031875
CASP4	0.952
PDK3	-0.9806
KCNJ11	0.432
TPR	-0.345125
ZSCAN20	-0.457
MTX2	-0.0655
HIST1H2BH	-1.8165
LOC283767	2.09975
LYRM7	-0.588944444444444
BRD3	0.4485
HIST1H2BO	-1.888
MAGEB10	0.1235
SLC45A1	0.965
SERPINA3	1.6808
KIAA0143	0.8705
KCNJ16	4.79166666666667
KRT79	-0.1145
FABP2	-0.0697499999999999
NUT	-0.664
ZNF57	-0.8105
FBXL4	0.234625
CLEC9A	2.534
UGT8	-0.228
BMP2K	-0.16575
MAPK4	-2.42
SLC25A23	-0.0519
HINT1	-0.6808
KRTAP13-1	0.6485
SFXN5	-0.6098
CHCHD2	-0.378333333333333
FAM3D	4.028
NDP	-2.228375
RHOBTB1	0.5285
SLC4A4	0.61675
RPL38	0.214
HTF9C	-0.476
AP2A2	0.57525
ZBTB46	-0.1995
MAP7D1	1.450625
AOX1	0.654333333333333
CYR61	3.51408333333333
DTNA	0.0865
JRKL	0.69625
TMOD3	-0.98
EEA1	0.528
ADCK5	-0.87275
IL1R1	2.95383333333333
KLK3	0.949857142857143
HRSP12	-0.1755
KTN1	0.64525
LOH11CR2A	1.2813
RELL2	-1.45975
MAB21L1	3.1625
C20orf59	-0.850666666666667
PHKB	0.02075
ADAM2	-1.9385
TBC1D8B	1.6275
FAM13A1	0.260125
LAPTM4B	-1.45133333333333
LCN8	-0.3045
TMEM147	0.072
SYT4	0.5095
XPO7	-0.637
C9orf62	1.8915
GPR75	0.0335
TRIM5	1.02875
APOC1	-1.574
RNASE4	1.70566666666667
PARD6B	-1.5685
ARID1A	-0.3505
TPD52L3	0.2869
RRAGB	1.1005
RCN2	-0.9975
HIST2H2BE	-1.1430625
STARD7	-0.6005
SHMT2	-1.94775
KIAA1751	0.626333333333333
MLYCD	1.129875
LOC162632	-1.0479
UQCRH	-1.0575
RP11-217H1.1	0.7026875
SDHA	-0.628333333333333
NCLN	-0.4355
ZNF17	0.347166666666667
RCBTB2	-0.2565
VEGFB	1.1251
RP4-747L4.3	0.1995
COLQ	0.0484
MPN2	0.0295
DRG2	-0.32325
KLRB1	4.2975
ALPK2	-2.57
DNASE2B	1.70775
FLJ23834	1.08433333333333
AXUD1	3.08333333333333
SAFB	-0.2952
NSUN4	-0.66125
RFX2	0.962166666666667
MAPK8IP1	0.377333333333333
FANCD2	-1.90971428571429
ANKZF1	-1.52
C19orf50	-0.311125
DUSP8	1.767
SENP5	-0.688375
NFKBIL2	-1.0425
LBR	-0.739875
IGFL1	-0.127
LZTS2	0.818125
IL2RG	-1.30275
CCDC51	-0.45675
KLF3	0.505875
ANKRD37	0.50375
KCTD14	1.306
FZR1	-0.152166666666667
SLC44A4	0.7329
ESPL1	-1.802
GMPR2	-0.4338
TBC1D19	-0.779666666666667
ERGIC1	-0.208740740740741
ERBB4	2.3873
TSPAN32	0.0214166666666666
MAP4	0.390375
GPHN	-0.42825
SLC6A2	2.099375
HIVEP1	0.1465
DFFB	-0.5773
EIF4EBP2	1.043875
DMRT1	-0.84675
HSPB6	2.042
IER2	1.93766666666667
AIFM1	-0.1945
WWC2	0.03025
MRPL4	-1.10375
FLJ21062	2.1985
EPB41L4A	1.60775
SH2D6	-0.1415
TAF4B	-0.71825
GAL3ST3	-0.2505
MALT1	-1.06966666666667
RTDR1	-0.162
ARVCF	-0.174
MEX3B	-0.828666666666667
FBXO16	-0.34225
KIF7	-0.13575
C1QC	4.564
ZNF783	-0.5655
ZNF85	-0.7045
MMP13	-0.1855
KIAA0329	1.030875
RTP3	-0.818
ZBED3	0.4585
CLGN	-2.76275
SLC25A37	-0.600291666666667
hCG_18290	-0.06225
OR5AS1	-0.1575
SMARCC2	1.15366666666667
FAM109A	0.08
CCDC12	-0.086
USF2	0.7752
DEPDC7	-2.97925
C20orf24	-0.830833333333333
JMJD3	0.524
DSP	0.702928571428571
SLIC1	0.229375
FAM20A	2.082625
IRF2BP2	0.276
ZNF230	-0.226
MSN	0.0770714285714286
SLC9A5	-1.768
EPDR1	0.716
MUSK	-0.392166666666667
ZNF434	0.0455
SMARCD1	0.6295
ZFP106	0.7825
ZNF347	-0.3425
GTF2E1	-0.4855
