Hybridization REF	TCGA-BH-A0BS-01A-11R-A12P-07
HABP4	-1.531
TMEM125	3.7565
CNTN2	0.020375
ASNSD1	-0.49825
FUT4	0.1835
ACF	-3.64175
LOC158381	-0.25
CDH8	-0.43875
AGPS	-2.44733333333333
C4orf18	3.29175
PECI	2.31575
UNG	-0.052
GSTP1	-2.45725
DCUN1D5	-1.11666666666667
DKFZP564J0863	-0.43075
SLC9A3R1	0.9675
BCDO2	-1.193
CHMP7	-1.020375
REM2	0.5875
DNHD1	-0.059375
FKBP4	0.364875
ZNF350	3.83725
MGC11102	0.529125
BST1	0.2495
KISS1R	1.1755
NCR2	0.243
DEFB125	1.935
UBE2W	0.830375
KRT15	1.666375
C10orf99	0.496
SCN11A	0.1875
GFI1	-1.8095
RDHE2	-1.075
FHL1	-1.99533333333333
OSGEP	0.613333333333333
GATA1	-3.08183333333333
SMC6	-1.15275
TTTY14	-0.62875
LPIN3	0.287
RPL4	-1.2688
RBPMS	1.2555
PRPF3	-0.151166666666667
EMR1	-1.9975
SPATA19	0.453
XCR1	0.532
IRX3	2.4674
RBM6	0.0465
KLF4	-1.7524
UNC5CL	2.4015
SEBOX	-0.4
BTK	-1.2655
KRCC1	1.60125
C6orf27	0.376
SYTL5	-0.467
PRND	2.994375
LOC653319	-1.6565
PIGL	-0.7115
HUS1	-0.416333333333333
SFRS6	0.2765
C17orf77	-0.1455
UIMC1	-0.968166666666667
FXYD2	-1.5729
LOC283152	2.8435
ZNF667	-0.2725
ZCCHC12	-1.059
TFEC	2.418
ATP7B	1.356
POLD2	-1.15333333333333
RG9MTD1	1.115
ACOT2	2.39583333333333
HIST1H4I	-0.6505
PPARGC1A	-2.4451
ETFA	-0.8945
POLRMT	-0.44325
ZNF146	0.17625
MIA2	-1.7965
KLHL6	-1.39666666666667
HOXB5	1.577375
NENF	1.53766666666667
CUGBP1	0.165
PRSS22	2.62066666666667
CASC4	0.7645
CUL4B	-0.1858
CENPJ	-1.5038
PITX1	2.35583333333333
FLJ31033	1.27633333333333
CELSR3	-1.2985
ZNF568	0.66025
ITSN1	-0.551333333333333
EHBP1L1	-1.25316666666667
C19orf2	-0.89575
DCTN1	0.0765
LIN28B	-4.20516666666667
TNKS2	0.114
C1QBP	-0.259125
CADPS2	1.8915
SRMS	0.1875
GJA9	0.626166666666667
MGC24975	-0.425666666666667
TRIM45	1.49283333333333
TSP50	0.0405
TCP1	-2.386
TMED7	-0.4535
CMA1	1.43
CENPL	-1.82183333333333
PTCRA	0.1045
FST	-2.96725
VWCE	-3.41975
PAWR	0.4255
ABCC12	-0.104333333333333
LDLR	-1.0024
ASTN2	0.2793
LOC441212	-0.32175
GPATCH8	0.17375
TANC2	-1.04233333333333
KIF4A	-2.29525
C18orf18	-1.92225
PGM1	-1.04625
KIAA0258	1.82075
CPD	0.701375
SNCAIP	-1.30975
DCT	-4.202
HLA-DOA	2.29709090909091
OR11L1	0.5755
UPK1B	0.0231666666666667
DNAJB4	-0.94025
UGT1A8	-0.61925
HIST1H4L	-0.3055
PECR	-1.56333333333333
HSPA2	-0.08025
WFIKKN1	-1.3395
SERP1	0.6885
SYDE2	1.75825
TACR2	1.0405
NUP85	-0.4815
CD177	-0.280833333333333
LGR5	-1.8295
PIGG	-0.36075
PTHR1	-0.918833333333334
RAB5A	0.2208
FLJ13224	-0.2715
USP9Y	-1.79566666666667
C7orf53	-0.849
LRP1B	-0.851
XAF1	3.9721
ABCG8	0.457
ANKDD1A	-0.741
DAND5	-1.48
SPAG6	0.315666666666667
LINCR	0.50475
ZDHHC22	-0.981375
CCDC60	-0.041
THOC7	-0.8705
TCTA	1.0229
OR8K3	0.11825
NY-REN-7	-0.9465
B2M	1.83
C6orf141	-0.049375
LPPR4	1.35475
SQLE	-0.954375
SEPHS1	-0.809
BTBD14B	0.781928571428572
PLRG1	-0.03075
SPG7	-0.6771875
ZNF614	0.905333333333333
PARD6G	0.752833333333333
INPP5B	-0.7823
GRPEL2	-0.525875
PPID	-1.176
TRIM56	-0.3785
UBE2J1	-1.30925
IL20RA	3.732
LOC387856	0.0875
C1orf107	0.435083333333333
UTS2R	1.39075
C19orf22	0.29925
SAFB2	-0.598875
KIAA0652	-0.21225
KLRG1	-1.0575
MS4A8B	1.7685
FRAG1	1.53575
KIAA1546	0.2295
E2F4	-1.1162
CLEC4M	0.0338333333333333
BTBD14A	-1.26775
KIAA0999	-1.3167
GYPA	-3.16666666666667
TAC1	0.4244
TRAIP	-0.922
KIAA0232	0.6556
ERCC8	-1.7525
GPX4	-0.137375
KIAA0368	-1.12475
GPR157	-0.828833333333333
CTAGE4	0.4245
C9orf30	-1.54883333333333
OR52A1	0.6215
HSP90B3P	-0.4935
ALG9	0.1826
BTBD10	0.5605
SDK2	1.0185
BAIAP3	1.45475
RABGGTB	-1.1915
ANKRD40	0.118
KRT74	0.2315
CALCOCO2	0.192071428571429
SNCA	-3.78925
TMSL8	-5.11575
C2orf53	0.295
ESRRB	-0.457
ARHGAP26	-1.58925
TDRD9	-1.554
HRAS	0.246
KLRC4	-1.517
JAGN1	0.282833333333333
BSDC1	0.03975
RNF43	-0.7309
NDUFAF1	0.023
PHF12	0.125
OR1L3	0.2525
FOLR2	0.891416666666667
LYZL6	-0.377333333333333
tcag7.1260	-2.0795
WSB1	-1.2135
PROS1	-1.325
OSTN	0.387
PSMB8	2.3815
SOCS4	-0.22975
DDIT4L	0.61625
MAS1	-0.5255
MGC34796	0.53525
CSHL1	0.460833333333333
TBCCD1	0.574833333333333
ZBTB7C	0.474
AP2S1	0.7505
P15RS	-0.9202
VAT1	-0.3968
SHANK3	0.369166666666667
TUFM	0.655166666666667
THEG	-0.282
KRT34	-1.376
SGSM3	0.11125
TOMM22	-1.22525
SOCS3	1.20683333333333
CPO	0.965
POP4	-0.524
BHLHB3	1.20625
MALL	0.77575
OR1B1	0.306
PARK2	0.131833333333333
GPR124	0.167625
LCE1E	1.203
RUVBL2	-0.297
CGRRF1	0.3907
ACPL2	0.96175
WNT10B	-2.110875
BAIAP2L2	-2.15925
ISCA1	-0.363
C1orf125	-0.593375
RPAP1	-0.494
RAI16	-0.6645
RPL27	-0.348125
NLRP9	0.322
EPN1	0.518
LOC388610	-0.785875
SLC35A1	1.7785
GAL	-4.114
SLC14A2	0.46
RDH11	0.799166666666667
FAM138F	-0.1365
AUH	-1.03
FLJ40243	0.2375
C14orf129	0.617833333333333
MBD2	-0.691666666666667
ABHD14B	0.624875
PIGT	-0.10025
ALS2CR4	-0.701625
ALAS1	0.2084
FOXO1	1.20666666666667
CRLF3	-0.441375
C20orf107	-0.3
FARS2	1.6415
CCDC28A	-0.48675
NPHP3	-0.29425
OR13F1	-0.0175
TSEN54	-0.05375
DEFB106B	0.2079
OR8B4	1.1655
STH	1.89325
ZC3H14	0.349
CBX2	-0.564
TMEM49	-1.3755
C6orf21	0.56
FLJ20920	1.8355
CRTAP	-0.529071428571429
DDX50	0.129
STYXL1	0.66675
BLVRB	0.834166666666667
LOC147650	1.2795
MMP24	-0.04625
GRID1	1.56833333333333
BANF1	0.453833333333333
CTAGEP	0.73225
HMBS	-1.0575
SLC25A24	0.418
C14orf50	0.1235
MRO	-0.4175
SLC25A15	-0.35075
FAM84B	1.0548
TDP1	0.662
C16orf78	-0.0565
C11orf57	0.58175
RFK	-1.4375
ZFYVE9	-0.16525
STCH	-1.3162
WIBG	0.99875
LOC283871	0.0673333333333333
GBA2	-0.4802
NDUFB3	-0.50225
HSD17B13	-0.805
GRIN3A	1.09566666666667
FMNL1	-0.836166666666667
SEPT7	-0.5842
GNLY	3.3015
GRAMD1C	1.82333333333333
ZNF165	1.00325
USP38	0.9335
FAM83A	-3.417
C14orf24	0.835416666666667
ARMCX3	0.085
ARHGDIB	-0.0673333333333333
AK1	-0.0825
KIAA1045	-0.1305
DNAJB13	-0.165333333333333
NEU2	0.482
HIST1H4B	0.397833333333333
FAM20B	-0.3863
HES2	-0.236785714285714
FAM73B	-0.8358
LOC388381	-0.19375
INTS7	-0.577727272727273
AMPH	0.6055
ZNF775	0.190625
UCKL1	-0.852833333333333
C10orf97	-0.52575
C1orf161	0.302
ALDH1L1	-1.3125
FLJ39378	0.233
SLC23A1	1.3095
RBM4B	0.3175
THAP4	0.395166666666667
OGFRL1	-0.027
KIAA0831	0.97025
PPP1R15A	-0.0901666666666667
C1orf96	-0.622428571428571
C12orf11	-1.56075
BMF	0.1435
MAN1A1	-1.06075
KIAA1600	0.506666666666667
NLGN4X	2.70875
ALOX12	-1.12983333333333
RB1CC1	-0.6607
NEIL2	-0.7183
EIF4E	-0.331181818181818
ABHD5	0.17625
EXOC4	0.788833333333333
CIP29	0.1215
BATF2	2.6985
SLC29A4	-0.865625
HTR4	0.69875
EMB	-1.759
TRAF6	0.9915
LMNB1	-4.3825
FAM19A5	-0.865125
SHE	1.20425
PIK3C2B	1.286
C15orf15	-1.5
USP15	-0.1907
TCEAL2	1.19025
C5orf39	-0.871
PTGER2	-1.8215
SLC31A1	-0.7499375
IFT172	0.07725
ADAM29	0.497
GFOD1	0.04325
ST7L	1.0975
C15orf26	-1.986
PKN3	-1.58925
CNTD1	3.633
COMMD1	0.5125
NTRK2	2.40991666666667
FOXN3	0.324125
MFGE8	-1.0371
PFKFB2	0.831666666666667
TAS2R4	-0.1455
ENTHD1	0.562166666666667
PRMT5	-0.45075
MGC16384	-1.120125
LOC442229	-0.021
TSKU	0.315375
KRTCAP3	-1.78475
PDLIM1	0.8745
KCNS2	0.581
RNF126	-1.0445
CEP63	0.83025
CLIC4	-1.2135
hCG_1990170	-0.7155
ACR	0.3803
KLK7	2.2375
ALOX5AP	2.530375
RIPK3	3.94025
TAS2R9	0.5955
C19orf18	1.5015
BIRC6	-0.0657142857142857
ZNF16	1.737
RFT1	0.434
SLC8A2	-0.20175
TACC1	1.028
ITGAD	0.87025
SAMHD1	0.9195
SH3PXD2B	0.4984
EPC2	0.64025
C20orf85	3.378375
ATP13A2	0.245833333333333
KRT4	2.208625
CAPNS1	0.4495
MDM2	-0.0835
PCDH20	2.9495
KCNK9	1.478
OR2C1	0.3725
KLHDC3	-0.172166666666667
IPPK	-0.1675
EFHD2	-0.957875
GALR3	1.39525
NBEA	0.931
ABCA6	2.3021
CLDN3	2.12416666666667
AKT2	0.102428571428571
EGFR	-0.9478
RBM16	0.571625
ZDHHC3	1.4354
SLC25A4	-1.15533333333333
CYB5B	-1.91116666666667
CPXM1	0.03575
NDRG1	-2.32276923076923
FLJ43826	0.42175
OR5L2	-0.3745
FARP2	0.0262
MRPL46	-0.64325
LDHAL6B	0.0113333333333333
MAPKAPK3	0.293333333333333
NCAM2	0.69
PRKD2	0.789166666666667
ZFP36L1	3.0032
CYSLTR1	-0.94175
OR4C3	0.43725
HIST1H2AJ	1.8335
CCNB2	-3.127
ZNF10	0.61775
TMEM175	0.716
FAM134A	0.726333333333333
TIGD4	0.279
PCNP	-0.88925
MGC39715	-0.1965
LQK1	0.3035
CREB1	0.4182
TMPRSS3	1.0075
C4orf32	1.307125
LAT	-1.34091666666667
KCNA3	-0.4315
SKIV2L2	-1.91625
ROPN1B	-2.032
tcag7.23	-0.2325
CDT1	-2.928625
ZHX2	1.57175
CD28	-3.4885
ZNF624	1.33125
SEPT2	0.240083333333333
SOHLH2	-2.4725
MCOLN3	-0.912
UNQ1945	0.572
MASP2	-0.976
ZNRF3	-0.4779
GPATCH3	-0.08125
AGL	-0.1795
QRICH2	-0.366
PSD4	1.62633333333333
CCNB1IP1	-1.04825
ENPP7	0.25375
OBFC1	0.16875
KCNG3	-2.2525
C14orf79	1.50975
ENPEP	1.17283333333333
SCT	1.7
SKI	0.4365
SEC61G	-1.3075
CAPN11	-0.3795
ATXN7L3	0.18925
DBNDD1	-0.179333333333333
FAIM	-0.01425
ANKRD36	-1.818
GABRP	2.1475
TACSTD2	2.04533333333333
EIF3J	-1.3735
PPP2R2A	-0.66475
TEKT4	1.07833333333333
PVALB	-3.34466666666667
F10	-2.716
FAM134C	0.9237
COMP	4.6055
EFCBP1	-3.2786875
SCLT1	0.176375
TAL1	-1.2949
ACSL1	-1.07125
ABCC5	0.304833333333333
ABL1	-0.603777777777778
RBBP7	-0.173666666666667
PTPRG	-1.10425
NCOR1	0.3515
SPINK4	-0.116
TXNRD1	-2.2701
TNRC15	0.6005
C9orf138	1.050375
UBE2H	0.753333333333333
BRDT	0.476333333333333
C8orf31	0.30925
CCNE2	-1.90327272727273
SLC6A8	-1.940875
CALCR	-4.08025
PPP1CB	0.0704166666666667
ABHD8	0.37775
ARF5	0.791
SLC24A4	0.182
CCT3	0.42725
ZNF121	0.88125
SLC3A2	-1.0427
OR13A1	0.474
SLC5A10	-0.22225
RAD50	-0.6195
IER5	-0.0990000000000001
MTHFD1L	-2.69225
MBTPS2	-0.02425
MVK	0.26175
NCL	0.2924
PSMD10	-0.3405
MOBP	-0.13325
FLJ32894	-0.0665
HRH1	-1.3875
C5orf30	0.995
NUDT16L1	1.0781
RASGRP3	3.18533333333333
PRKRIP1	0.2522
CCDC75	-0.018
LOC253970	0.113
KIAA1239	0.08875
MED21	-0.62075
SYT11	0.123666666666667
NTSR2	-0.3065
EGFL11	-0.134
CXorf59	1.175
OR2A25	0.124
SPTBN2	0.618
LRMP	-1.633
RNF111	-0.647
PTH	-0.354
LOC619208	0.9515
KIAA0895	0.937
RANBP5	-0.899625
P2RY10	1.052
NME5	3.92116666666667
DDX21	-1.23325
LRSAM1	0.0835
HDAC11	1.78816666666667
VMO1	2.66025
NOLA2	-0.508833333333333
ADAR	1.516
MTO1	-1.5285
SF4	0.426
P2RX1	-0.231166666666667
HBM	0.336
EN2	1.4555
C14orf172	1.25
TM9SF2	0.5317
INHBE	-0.975166666666667
TCTE3	-0.0144166666666667
TOX2	-2.86075
CTAGE3	0.843625
HBB	3.1436
MED15	-0.678833333333333
CASR	0.25
C6orf66	-1.68333333333333
MTPN	-0.166375
UNC50	-0.30675
C21orf33	1.021375
IRF2	1.144
PGR	3.88033333333333
GPR84	2.12025
CROCCL1	-3.0585
SRPX	-2.223
BRE	0.425166666666667
FGF10	1.123
SDC3	-0.0838333333333333
ZRSR1	0.417833333333333
DKFZP434P211	-0.628625
SOX6	-0.012
RPUSD2	0.5305
C14orf173	-0.116416666666667
MAPK11	-0.573333333333333
TBC1D22A	0.155
FAM123A	-1.1345
COL4A6	-2.5075
TOMM70A	0.4635
NAB1	-0.60025
MGC16385	-0.09075
TSPAN18	-0.458166666666667
MED31	-0.1975
PLG	0.20825
CAPSL	2.7515
ZNF532	0.8965
ASB14	-0.99175
CA8	-1.49025
NUDT16P	-0.0561666666666666
SLFN11	-1.2555
LRRIQ2	-0.18775
NOL7	0.2025
BRMS1L	-0.46275
JARID1A	0.603166666666667
PANK2	-0.133
ICAM3	0.03675
MDS1	-0.04575
TAF8	-0.271
RNF139	1.46475
ZNF594	1.62983333333333
ADAM8	1.0425
SFTPC	0.03475
MAN2B2	1.2055
RGS12	0.0493125
EIF1AY	-4.13258333333333
LRRIQ1	1.5335
GPR150	1.52475
CCDC21	-1.99016666666667
PRRG3	0.3445
SAA4	-3.1085
RAPGEF5	0.8785
ZCCHC2	0.6215
MGC39372	1.0805
PPP4R2	0.163833333333333
CDCA2	-3.11566666666667
OR4D5	0.132
PTGFRN	1.5125
SIGLEC5	1.5055
C19orf61	-0.477
NMUR2	0.592
KIAA1586	-0.441
DAGLA	0.759833333333333
CHCHD6	0.0385
GPR32	0.4365
NEUROD6	0.167
SLC2A4RG	0.739625
CA5B	1.1425
FBXL3	1.7235
MPHOSPH9	-1.85275
HMG2L1	-0.39525
HCN4	0.9365
CEACAM19	1.72275
SH2D4B	0.306666666666667
HFE2	-0.533
TGM4	0.642166666666667
LYPD2	-0.68575
TBC1D15	-0.01075
MRPS21	0.4634
NONO	-1.1111
CLEC5A	2.235375
ITCH	-0.3912
MGAT3	-1.26466666666667
MBP	-1.20425
RPP25	-2.595
SOSTDC1	1.7685
HRC	-1.45525
TRIM48	0.3445
TMEM133	-1.584
ECEL1P2	-1.3825
HOXC11	0.5785
DOK5	-0.72675
HELZ	0.342833333333333
LOC348180	-0.851
MGC33894	0.46925
ADRB3	0.2395
DMD	-0.08575
PTRH2	-0.36325
MPEG1	2.50516666666667
NDUFA12	-0.0408333333333333
KRTAP2-4	0.308583333333333
STAMBPL1	-2.007
ADCY2	0.836
UNQ6125	0.4735
KLHL20	0.218833333333333
SRM	-1.13125
OTC	0.019
TMIE	0.809
SNX8	-0.08875
LIPK	0.536
CHURC1	0.397583333333333
KLC2	0.410833333333333
HDAC1	-1.143
FAM128A	-0.155333333333333
FNDC3B	-0.7417
MTCP1	-0.0863333333333334
WFDC10B	-0.079
PCDHGB3	-0.181
ATRNL1	-2.4372
CAV2	-1.307125
MED26	0.225833333333333
DUS1L	0.49125
CHRM3	-1.8605
NEK9	1.3155
WARS2	0.511
TBX22	1.2195
TOMM40	-0.20275
RP6-213H19.1	-4.376
TUBGCP5	-1.26725
IGSF6	4.6865
TPPP	0.124
UNQ6190	-0.2645
GSTM5	3.19725
BTD	1.01633333333333
PDCD1LG2	0.132166666666667
SNRPB2	0.3205
ERICH1	-1.33975
APOA4	-1.350375
HOXA11	-1.96775
NARG1	-0.268875
MKX	-0.593
RAB28	-0.971928571428571
PKP3	1.82575
SH3GL2	-2.0945
CTSO	2.94475
RPN2	0.68525
IL28RA	-0.619833333333333
SFMBT1	1.3155
WDR57	-1.28975
FER1L3	0.697
HSF5	0.715333333333333
TTC9B	0.19475
C4BPA	-3.3465
ALB	-5.11071428571428
SORBS3	0.038125
UPF2	-0.1295
JPH1	0.3555
AGBL2	0.97625
DOPEY1	0.919
TERF1	0.145583333333333
KIF22	-0.0571666666666667
NINJ1	2.02125
SEC61A2	-0.322916666666667
HIST1H1D	1.1605
SFXN4	-0.00387500000000001
UCP3	0.4508
ZNF703	1.7545
MYL6B	0.06775
TREM1	1.85675
OR52E6	0.6105
CKMT2	0.82625
HLA-C	3.1425
SLC13A3	-1.96633333333333
TIMP4	-3.16025
SLIT2	1.93825
RSF1	0.319111111111111
LONRF1	-1.82128571428571
MON1A	0.5445
CACNG6	-0.470166666666667
DPPA4	-5.14916666666667
ZSWIM3	1.02175
ZNF804A	-0.108
CCIN	1.8265
SLC25A31	-0.32375
KCNMB4	-0.741
RABL5	0.671625
GALNS	-0.5755
STX6	0.82075
HIST1H1C	2.53616666666667
CIDEB	-1.008875
CASP4	0.369166666666667
PDK3	-0.267
KCNJ11	1.614
TPR	-0.050875
ZSCAN20	-0.263
MTX2	-0.4185
HIST1H2BH	1.9795
LOC283767	1.103
LYRM7	-2.02027777777778
BRD3	0.489666666666667
HIST1H2BO	1.6305
MAGEB10	0.422
SLC45A1	-0.02525
SERPINA3	1.0182
KIAA0143	1.46775
KCNJ16	-0.0536666666666667
KRT79	0.84875
FABP2	-0.78975
NUT	-0.35925
ZNF57	-0.7225
FBXL4	-0.63225
CLEC9A	1.0165
UGT8	-1.05533333333333
BMP2K	-0.07775
MAPK4	-3.10275
SLC25A23	-0.2185
HINT1	-1.1936
KRTAP13-1	-0.3635
SFXN5	-0.7456
CHCHD2	-0.366333333333333
FAM3D	2.046
NDP	-1.35375
RHOBTB1	0.4465
SLC4A4	-1.495375
RPL38	-0.1705
HTF9C	-0.616
AP2A2	0.439875
ZBTB46	-0.9255
MAP7D1	-0.294
AOX1	-1.838
CYR61	0.968166666666667
DTNA	-1.68464285714286
JRKL	1.2235
TMOD3	-0.3105
EEA1	0.5174
ADCK5	0.5005
IL1R1	2.493
KLK3	0.499071428571428
HRSP12	-0.09875
KTN1	1.94625
LOH11CR2A	0.2102
RELL2	-1.695
MAB21L1	0.59025
C20orf59	-0.963666666666667
PHKB	-0.65825
ADAM2	-1.918
TBC1D8B	1.34933333333333
FAM13A1	-1.727875
LAPTM4B	-0.596166666666667
LCN8	0.2395
TMEM147	1.3325
SYT4	0.0468333333333333
XPO7	-1.452
C9orf62	1.578
GPR75	0.071
TRIM5	1.04125
APOC1	-1.132
RNASE4	0.886333333333333
PARD6B	-1.836
ARID1A	0.247083333333333
TPD52L3	0.3149
RRAGB	1.956
RCN2	-0.921833333333333
HIST2H2BE	1.7531875
STARD7	0.12675
SHMT2	-1.3235
KIAA1751	-0.0198333333333333
MLYCD	0.435125
LOC162632	0.5581
UQCRH	-1.76675
RP11-217H1.1	0.1599375
SDHA	-1.6035
NCLN	-0.5881
ZNF17	0.874166666666667
RCBTB2	-2.54725
VEGFB	0.1429
RP4-747L4.3	0.0485
COLQ	0.679
MPN2	-0.0438333333333333
DRG2	0.2555
KLRB1	4.227
ALPK2	-2.0215
DNASE2B	-0.0279999999999999
FLJ23834	0.675
AXUD1	0.5715
SAFB	-0.1375
NSUN4	0.036
RFX2	0.442833333333333
MAPK8IP1	-0.6335
FANCD2	-0.447642857142857
ANKZF1	-1.46316666666667
C19orf50	-0.814875
DUSP8	-0.507625
SENP5	0.19875
NFKBIL2	-0.38275
LBR	-1.823625
IGFL1	1.154
LZTS2	0.90325
IL2RG	-0.217
CCDC51	0.867
KLF3	0.597375
ANKRD37	-1.021
KCTD14	-0.75
FZR1	-0.3275
SLC44A4	0.2121
ESPL1	-1.025875
GMPR2	0.815
TBC1D19	-0.306333333333333
ERGIC1	0.472333333333333
ERBB4	1.7158
TSPAN32	0.11975
MAP4	0.2345
GPHN	0.46125
SLC6A2	0.10725
HIVEP1	1.53575
DFFB	-0.5321
EIF4EBP2	0.23475
DMRT1	-0.909
HSPB6	0.0445
IER2	0.724
AIFM1	0.52825
WWC2	0.449583333333333
MRPL4	0.06325
FLJ21062	1.005
EPB41L4A	0.71075
SH2D6	0.50175
TAF4B	-0.79775
GAL3ST3	0.025
MALT1	-0.894666666666667
RTDR1	-0.502
ARVCF	-0.11925
MEX3B	-2.49683333333333
FBXO16	0.3135
KIF7	-1.34625
C1QC	3.6805
ZNF783	-0.531166666666667
ZNF85	-0.76825
MMP13	4.304
KIAA0329	0.704875
RTP3	-0.797
ZBED3	0.207
CLGN	-1.36675
SLC25A37	-1.78183333333333
hCG_18290	-0.047
OR5AS1	0.228
SMARCC2	0.521916666666667
FAM109A	0.5205
CCDC12	0.9235
USF2	0.4527
DEPDC7	-2.3385
C20orf24	-1.08183333333333
JMJD3	0.915
DSP	2.37142857142857
SLIC1	0.160375
FAM20A	1.066875
IRF2BP2	0.318875
ZNF230	-0.1455
MSN	-1.16778571428571
SLC9A5	-1.657
EPDR1	-2.7356
MUSK	0.2035
ZNF434	0.562833333333333
SMARCD1	-0.0763333333333334
ZFP106	-1.30025
ZNF347	0.8057
