Hybridization REF	TCGA-AR-A1AP-01A-11R-A12P-07
GAL	-3.95425
SLC14A2	-0.08425
RDH11	-0.651166666666667
FAM138F	-0.275
AUH	0.68275
FLJ40243	0.30325
C14orf129	-0.146333333333333
MBD2	-0.722833333333333
ABHD14B	-0.377375
PIGT	0.117
ALS2CR4	-0.313375
ALAS1	0.3411
FOXO1	0.983
CRLF3	-0.94925
C20orf107	0.332
FARS2	0.22275
CCDC28A	0.496
NPHP3	-1.06175
OR13F1	-0.095
TSEN54	-0.586
DEFB106B	0.0631
OR8B4	0.7045
STH	1.35075
ZC3H14	-0.76
CBX2	0.255
TMEM49	-0.42
C6orf21	0.2975
FLJ20920	2.20175
CRTAP	0.0526428571428572
DDX50	-0.0795
STYXL1	0.4925
BLVRB	0.344
LOC147650	0.3165
MMP24	0.0205
GRID1	2.2896
BANF1	-0.0803333333333333
CTAGEP	0.9545
HMBS	-2.93875
SLC25A24	0.9665
C14orf50	0.4715
MRO	2.42766666666667
SLC25A15	-0.7355
FAM84B	2.0121
TDP1	-1.2855
C16orf78	0.1872
C11orf57	-0.952625
RFK	-0.8595
ZFYVE9	-0.938571428571429
STCH	-0.6376
WIBG	0.64575
LOC283871	-0.1005
GBA2	-0.2847
NDUFB3	-0.1785
HSD17B13	-0.0305
GRIN3A	1.3345
FMNL1	-0.136666666666667
SEPT7	-0.4157
GNLY	2.8225
GRAMD1C	0.260833333333333
ZNF165	-0.462
USP38	0.77125
FAM83A	-3.16066666666667
C14orf24	1.084
ARMCX3	1.736125
ARHGDIB	1.117
AK1	-0.19425
KIAA1045	-0.495666666666667
DNAJB13	0.6885
NEU2	-0.123
HIST1H4B	-1.358
FAM20B	-0.6849
HES2	0.197714285714286
FAM73B	-0.5339
LOC388381	-0.1695
INTS7	-0.534363636363636
AMPH	4.1795
ZNF775	-0.540375
UCKL1	0.0383333333333334
C10orf97	0.504
C1orf161	-0.427
ALDH1L1	-0.64125
FLJ39378	0.07475
SLC23A1	-2.426
RBM4B	-0.093
THAP4	0.318666666666667
OGFRL1	0.5965
KIAA0831	-0.330625
PPP1R15A	0.685166666666666
C1orf96	-0.275857142857143
C12orf11	-1.2665
BMF	0.394375
MAN1A1	-1.056875
KIAA1600	0.605833333333333
NLGN4X	1.52775
ALOX12	-1.08366666666667
RB1CC1	0.4419
NEIL2	0.2104
EIF4E	1.04381818181818
ABHD5	0.412
EXOC4	-0.0631666666666666
CIP29	0.8025
BATF2	2.1105
SLC29A4	-0.814875
HTR4	0.6965
EMB	0.93275
TRAF6	0.4635
LMNB1	-3.542
FAM19A5	-1.897125
SHE	1.5545
PIK3C2B	1.159
C15orf15	0.0592
USP15	-0.1925
TCEAL2	1.3215
C5orf39	-0.982333333333333
PTGER2	-1.04375
SLC31A1	-0.9056875
IFT172	0.05875
ADAM29	0.66925
GFOD1	-1.57875
ST7L	0.387666666666667
C15orf26	-2.5655
PKN3	-1.62675
CNTD1	2.45416666666667
COMMD1	-0.158125
NTRK2	2.50816666666667
FOXN3	-0.47375
MFGE8	0.1596
PFKFB2	0.7715
TAS2R4	-0.38075
ENTHD1	1.16066666666667
PRMT5	-0.358375
MGC16384	-1.858375
LOC442229	-0.74375
TSKU	2.381125
KRTCAP3	2.52725
PDLIM1	0.5512
KCNS2	0.57575
RNF126	0.0446666666666667
CEP63	-0.00149999999999999
CLIC4	0.655875
hCG_1990170	-0.8965
ACR	1.0733
KLK7	2.70825
ALOX5AP	3.619375
RIPK3	4.172
TAS2R9	-0.1335
C19orf18	1.4595
BIRC6	0.440285714285714
ZNF16	1.411
RFT1	-0.68425
SLC8A2	-0.41675
TACC1	-1.349125
ITGAD	0.4055
SAMHD1	1.90875
SH3PXD2B	0.8617
EPC2	0.70575
C20orf85	0.15375
ATP13A2	0.504833333333333
KRT4	0.39325
CAPNS1	0.28825
MDM2	-1.08975
PCDH20	4.30475
KCNK9	0.888
OR2C1	0.1285
KLHDC3	-0.718833333333333
IPPK	1.0215
EFHD2	-0.091875
GALR3	-0.241
NBEA	0.765333333333333
ABCA6	3.4675
CLDN3	1.589
AKT2	-0.514571428571429
EGFR	-2.2373
RBM16	0.316625
ZDHHC3	0.4191
SLC25A4	-0.303166666666667
CYB5B	-0.97
CPXM1	0.7095
NDRG1	-0.475230769230769
FLJ43826	-0.5935
OR5L2	0.0678
FARP2	0.635
MRPL46	-0.233083333333333
LDHAL6B	-0.0998
MAPKAPK3	0.432333333333333
NCAM2	-0.116
PRKD2	0.8085
ZFP36L1	0.7519
CYSLTR1	-1.238
OR4C3	0.475
HIST1H2AJ	1.5525
CCNB2	-2.13322222222222
ZNF10	0.1355
TMEM175	0.261
FAM134A	1.11033333333333
TIGD4	0.2565
PCNP	0.45325
MGC39715	0.03575
LQK1	-3.02025
CREB1	0.4738
TMPRSS3	0.84975
C4orf32	1.220875
LAT	-1.5865
KCNA3	-0.2895
SKIV2L2	-0.321
ROPN1B	-0.9475
tcag7.23	0.0755
CDT1	-2.8475
ZHX2	1.259875
CD28	-2.641
ZNF624	1.12075
SEPT2	0.842
SOHLH2	-0.742
MCOLN3	1.95525
UNQ1945	0.053
MASP2	-1.0795
ZNRF3	-1.6819
GPATCH3	-0.21825
AGL	-0.103375
QRICH2	0.22
PSD4	1.361
CCNB1IP1	-1.67425
ENPP7	0.3985
OBFC1	0.48925
KCNG3	-2.4325
C14orf79	0.295333333333333
ENPEP	3.1815
SCT	1.882
SKI	0.22975
SEC61G	-0.41425
CAPN11	-0.00575000000000001
ATXN7L3	-0.253
DBNDD1	0.495
FAIM	0.705
ANKRD36	-1.574
GABRP	2.2095
TACSTD2	1.45116666666667
EIF3J	0.07925
PPP2R2A	-0.1125
TEKT4	-0.197833333333333
PVALB	-4.07416666666667
F10	-2.05433333333333
FAM134C	0.7885
COMP	4.453
EFCBP1	-2.966375
SCLT1	-0.444
TAL1	-1.5362
ACSL1	0.81475
ABCC5	0.0228333333333333
ABL1	-0.945277777777778
RBBP7	0.24175
PTPRG	-1.065625
NCOR1	0.2448
SPINK4	-1.771
TXNRD1	-1.5014
TNRC15	0.069875
C9orf138	0.5195
UBE2H	1.10583333333333
BRDT	0.593833333333333
C8orf31	0.719
CCNE2	-0.941
SLC6A8	-0.49
CALCR	-3.689
PPP1CB	0.953083333333333
ABHD8	0.269
ARF5	0.4028
SLC24A4	0.328
CCT3	-0.071
ZNF121	-0.242125
SLC3A2	0.4872
OR13A1	0.4705
SLC5A10	0.1595
RAD50	0.288625
IER5	-0.431875
MTHFD1L	-1.938625
MBTPS2	0.11625
MVK	-1.067875
NCL	-0.2244
PSMD10	0.2795
MOBP	0.465875
FLJ32894	1.0655
HRH1	0.00833333333333334
C5orf30	0.6345
NUDT16L1	1.0126
RASGRP3	3.7115
PRKRIP1	-0.4058
CCDC75	-0.33425
LOC253970	0.229333333333333
KIAA1239	0.31525
MED21	-0.02875
SYT11	0.252
NTSR2	-0.2535
EGFL11	0.892
CXorf59	1.765
OR2A25	0.147
SPTBN2	-0.64075
LRMP	-0.968333333333333
RNF111	0.4505
PTH	0.1095
LOC619208	0.8905
KIAA0895	0.91375
RANBP5	-1.174625
P2RY10	0.787333333333333
NME5	4.23616666666667
DDX21	-0.75625
LRSAM1	-0.0795
HDAC11	2.17416666666667
VMO1	1.80725
NOLA2	-0.0075
ADAR	0.7875
MTO1	-0.9395
SF4	0.498833333333333
P2RX1	-0.359666666666667
HBM	0.19375
EN2	-0.1885
C14orf172	-0.352
TM9SF2	1.0625
INHBE	-1.68783333333333
TCTE3	-0.151333333333333
TOX2	-3.18625
CTAGE3	0.473
HBB	3.5044
MED15	-0.8265
CASR	0.14975
C6orf66	-0.9945
MTPN	-0.71125
UNC50	-0.07225
C21orf33	0.42225
IRF2	1.2495
PGR	-0.648666666666667
GPR84	2.3175
CROCCL1	-2.1515
SRPX	-0.17375
BRE	0.198666666666667
FGF10	2.051
SDC3	0.671833333333333
ZRSR1	0.969833333333333
DKFZP434P211	0.00212499999999999
SOX6	0.197
RPUSD2	-0.621
C14orf173	-0.19475
MAPK11	-0.7345
TBC1D22A	0.841
FAM123A	-0.9835
COL4A6	-0.749333333333333
TOMM70A	0.1575
NAB1	0.3305
MGC16385	-0.7525
TSPAN18	-0.649333333333333
MED31	0.28825
PLG	-0.083
CAPSL	5.415
ZNF532	0.6831
ASB14	0.55725
CA8	1.3465
NUDT16P	1.915
SLFN11	-0.818
LRRIQ2	-0.473875
NOL7	-0.589833333333333
BRMS1L	-0.472625
JARID1A	-0.170166666666667
PANK2	0.446
ICAM3	-0.256
MDS1	-1.41433333333333
TAF8	-1.461
RNF139	1.08625
ZNF594	-0.173166666666667
ADAM8	3.3315
SFTPC	-0.5145
MAN2B2	1.3635
RGS12	0.2640625
EIF1AY	-5.55066666666667
LRRIQ1	0.698666666666667
GPR150	-0.471
CCDC21	-1.02716666666667
PRRG3	0.16925
SAA4	-3.63575
RAPGEF5	0.976125
ZCCHC2	-0.454090909090909
MGC39372	0.7395
PPP4R2	0.164166666666667
CDCA2	-2.36133333333333
OR4D5	0.4435
PTGFRN	0.966
SIGLEC5	2.55733333333333
C19orf61	-0.0281666666666666
NMUR2	-0.401
KIAA1586	-1.125
DAGLA	0.928333333333333
CHCHD6	-0.244
GPR32	0.4005
NEUROD6	0.111
SLC2A4RG	0.6346875
CA5B	0.239
FBXL3	2.10325
MPHOSPH9	-1.36075
HMG2L1	-0.4925
HCN4	-0.73
CEACAM19	-0.2525
SH2D4B	0.4466
HFE2	-1.0515
TGM4	0.2845
LYPD2	0.33475
TBC1D15	0.5455
MRPS21	-1.8514
NONO	-0.9121
CLEC5A	2.83325
ITCH	-0.1059
MGAT3	-1.191
MBP	0.116375
RPP25	-2.24675
SOSTDC1	-0.23675
HRC	-1.91825
TRIM48	0.197
TMEM133	-0.421
ECEL1P2	-1.329
HOXC11	-0.197
DOK5	-0.5275
HELZ	-0.4275
LOC348180	-1.072
MGC33894	0.34
ADRB3	0.035
DMD	-0.218
PTRH2	-0.70025
MPEG1	3.044
NDUFA12	-1.05683333333333
KRTAP2-4	-0.212666666666667
STAMBPL1	-1.3305
ADCY2	-1.312
UNQ6125	0.596
KLHL20	-0.275333333333333
SRM	-0.6635
OTC	-0.159
TMIE	0.323333333333333
SNX8	0.342
LIPK	-0.372
CHURC1	0.757833333333333
KLC2	0.356833333333333
HDAC1	-0.242
FAM128A	-0.564333333333333
FNDC3B	-0.4976
MTCP1	-0.649333333333333
WFDC10B	0.00944444444444443
PCDHGB3	1.482
ATRNL1	-2.3531
CAV2	-0.507875
MED26	-0.0095
DUS1L	0.2775
CHRM3	-1.9155
NEK9	-0.44525
WARS2	0.172
TBX22	-0.8855
TOMM40	-0.59525
RP6-213H19.1	-0.571333333333333
TUBGCP5	0.1305
IGSF6	5.35275
TPPP	0.693833333333333
UNQ6190	-0.2475
GSTM5	0.448375
BTD	0.6295
PDCD1LG2	0.917333333333333
SNRPB2	0.077
ERICH1	-0.946625
APOA4	-1.498125
HOXA11	-1.601
NARG1	0.5825
MKX	0.979
RAB28	-0.0497857142857143
PKP3	1.82175
SH3GL2	-0.954
CTSO	3.18675
RPN2	0.6533125
IL28RA	0.102666666666667
SFMBT1	0.7235
WDR57	0.005
FER1L3	1.00491666666667
HSF5	0.4872
TTC9B	-0.19575
C4BPA	-3.40366666666667
ALB	-4.08371428571429
SORBS3	-0.102375
UPF2	0.322
JPH1	0.6325
AGBL2	-0.49725
DOPEY1	1.724
TERF1	0.29275
KIF22	-0.444333333333333
NINJ1	0.511
SEC61A2	-0.0633333333333333
HIST1H1D	-1.54233333333333
SFXN4	-0.166125
UCP3	0.8266
ZNF703	1.02416666666667
MYL6B	0.2345
TREM1	3.32225
OR52E6	0.7665
CKMT2	1.33175
HLA-C	2.00375
SLC13A3	-1.40633333333333
TIMP4	-0.016
SLIT2	2.0525
RSF1	2.18288888888889
LONRF1	-0.541928571428571
MON1A	-0.472666666666667
CACNG6	-1.2285
DPPA4	-5.79516666666667
ZSWIM3	0.0135
ZNF804A	0.845666666666667
CCIN	1.40675
SLC25A31	0.525
KCNMB4	-1.042
RABL5	1.07875
GALNS	-0.6288
STX6	0.485875
HIST1H1C	-4.0725
CIDEB	-0.862375
CASP4	0.096
PDK3	1.03
KCNJ11	2.0015
TPR	-0.48
ZSCAN20	0.125
MTX2	0.05725
HIST1H2BH	-1.749
LOC283767	1.26525
LYRM7	-1.54605555555556
BRD3	-1.628
HIST1H2BO	-2.36025
MAGEB10	-0.774
SLC45A1	2.193
SERPINA3	3.11175
KIAA0143	1.7275
KCNJ16	0.372166666666667
KRT79	0.912
FABP2	-1.11
NUT	-0.09475
ZNF57	0.18
FBXL4	0.663
CLEC9A	1.975
UGT8	-1.24383333333333
BMP2K	0.62975
MAPK4	-3.95475
SLC25A23	-0.719
HINT1	-0.3416
KRTAP13-1	0.8075
SFXN5	0.2675
CHCHD2	0.33225
FAM3D	2.1275
NDP	-3.1485
RHOBTB1	-1.04516666666667
SLC4A4	-1.572125
RPL38	-0.07025
HTF9C	-0.628333333333333
AP2A2	0.456625
ZBTB46	0.547
MAP7D1	0.64175
AOX1	0.413333333333333
CYR61	0.459166666666667
DTNA	0.0374285714285714
JRKL	-0.1875
TMOD3	-0.48425
EEA1	0.2633
ADCK5	0.074
IL1R1	1.9545
KLK3	0.00685714285714285
HRSP12	-0.8785
KTN1	-0.27825
LOH11CR2A	1.5857
RELL2	-0.151
MAB21L1	1.488
C20orf59	-0.563166666666667
PHKB	-0.428
ADAM2	-2.9226
TBC1D8B	0.900833333333333
FAM13A1	-1.080375
LAPTM4B	-0.741666666666667
LCN8	0.042
TMEM147	0.3065
SYT4	0.504833333333333
XPO7	-0.8335
C9orf62	-0.827
GPR75	0.2095
TRIM5	0.031875
APOC1	0.849833333333333
RNASE4	1.65183333333333
PARD6B	0.629875
ARID1A	0.405
TPD52L3	0.453285714285714
RRAGB	1.2275
RCN2	-0.6785
HIST2H2BE	-1.62273333333333
STARD7	-0.15475
SHMT2	-0.33075
KIAA1751	-0.6184
MLYCD	0.322875
LOC162632	-0.85
UQCRH	-1.193
RP11-217H1.1	-0.1351875
SDHA	-1.13316666666667
NCLN	-0.2861
ZNF17	0.9345
RCBTB2	-1.69025
VEGFB	0.2321
RP4-747L4.3	-0.96175
COLQ	0.7894
MPN2	-1.202
DRG2	0.0625
KLRB1	4.028
ALPK2	-2.68475
DNASE2B	0.54175
FLJ23834	2.145
AXUD1	0.7675
SAFB	-0.5234
NSUN4	-0.031
RFX2	1.187
MAPK8IP1	-0.185166666666667
FANCD2	-0.976857142857143
ANKZF1	-0.710166666666667
C19orf50	-0.29325
DUSP8	1.603625
SENP5	0.26325
NFKBIL2	-0.5015
LBR	-2.37875
IGFL1	0.383
LZTS2	0.67875
IL2RG	-0.465125
CCDC51	-0.08925
KLF3	1.16375
ANKRD37	-1.70875
KCTD14	0.643333333333333
FZR1	0.29175
SLC44A4	3.4117
ESPL1	-1.137125
GMPR2	0.3696
TBC1D19	-0.4575
ERGIC1	0.0664814814814815
ERBB4	2.6646
TSPAN32	0.0270833333333333
MAP4	0.602375
GPHN	-1.44675
SLC6A2	-0.757
HIVEP1	0.60525
DFFB	-0.5479
EIF4EBP2	0.968875
DMRT1	-0.25675
HSPB6	0.18025
IER2	0.292833333333333
AIFM1	-0.32125
WWC2	-0.424916666666667
MRPL4	-0.11225
FLJ21062	0.987833333333333
EPB41L4A	-0.03875
SH2D6	-0.13175
TAF4B	-1.56425
GAL3ST3	-0.1745
MALT1	-1.1265
RTDR1	-0.4455
ARVCF	0.289
MEX3B	-1.50266666666667
FBXO16	0.79975
KIF7	-0.787
C1QC	3.97733333333333
ZNF783	-0.668833333333333
ZNF85	0.34175
MMP13	6.441
KIAA0329	-0.227
RTP3	-1.2555
ZBED3	-0.529
CLGN	-0.37525
SLC25A37	-1.51466666666667
hCG_18290	-0.5685
OR5AS1	0.1185
SMARCC2	-0.0691666666666667
FAM109A	-0.635166666666667
CCDC12	-0.05625
USF2	0.6719
DEPDC7	-2.32825
C20orf24	-0.134666666666667
JMJD3	1.0715
DSP	1.219
SLIC1	0.5215
FAM20A	1.2845
IRF2BP2	0.194
ZNF230	0.3275
MSN	-0.511571428571429
SLC9A5	-1.157
EPDR1	-0.6204
MUSK	-0.697
ZNF434	0.022
SMARCD1	-0.374166666666667
ZFP106	-0.00575
