Hybridization REF	TCGA-BH-A1EV-01A-11R-A137-07
SAFB	-0.7667
NSUN4	-0.17475
RFX2	0.987166666666667
MAPK8IP1	-0.507666666666667
FANCD2	0.469428571428571
ANKZF1	-0.7
C19orf50	-0.301
DUSP8	0.028375
SENP5	-0.0685
NFKBIL2	-0.42825
LBR	-2.047625
IGFL1	-0.1705
LZTS2	-0.096625
IL2RG	-1.78475
CCDC51	-0.10025
KLF3	0.416
ANKRD37	-0.61575
KCTD14	-1.83833333333333
FZR1	0.468583333333333
SLC44A4	4.0326
ESPL1	-0.774
GMPR2	0.7609
TBC1D19	0.388833333333333
ERGIC1	1.2942962962963
ERBB4	2.6422
TSPAN32	0.0584166666666667
MAP4	0.3815
GPHN	-0.2285
SLC6A2	-0.959875
HIVEP1	0.83675
DFFB	-0.3126
EIF4EBP2	1.23925
DMRT1	3.216
HSPB6	0.30125
IER2	-0.19
AIFM1	-0.875
WWC2	-0.195
MRPL4	-0.582
FLJ21062	0.754
EPB41L4A	0.985333333333334
SH2D6	0.73025
TAF4B	-1.80325
GAL3ST3	0.0925
MALT1	-1.11833333333333
RTDR1	2.701
ARVCF	0.642625
MEX3B	-0.713333333333333
FBXO16	2.41775
KIF7	-1.1135
C1QC	4.18283333333333
ZNF783	-0.92
ZNF85	0.582
MMP13	5.8885
KIAA0329	0.709625
RTP3	0.1475
ZBED3	-0.33925
CLGN	0.3025
SLC25A37	-1.21683333333333
hCG_18290	0.1515
OR5AS1	0.2725
SMARCC2	0.0898333333333333
FAM109A	0.104833333333333
CCDC12	-0.18825
USF2	0.4507
DEPDC7	-0.9035
C20orf24	-1.1605
JMJD3	0.637
DSP	1.47592857142857
SLIC1	0.377
FAM20A	0.86425
IRF2BP2	0.173875
ZNF230	0.424
MSN	-0.608714285714286
SLC9A5	-1.974
EPDR1	-0.9612
