Hybridization REF	TCGA-BH-A18I-01A-11R-A12D-07
DIMT1L	-0.721916666666667
TEK	1.278875
SLC25A46	-0.50975
LARP7	-1.4157
CD160	0.3705
MT1JP	-0.548666666666667
PHF20	-0.015625
CPNE4	-1.23425
GTPBP1	-0.518285714285714
RAB33B	0.456666666666667
ALDOC	-2.373125
ZNF212	-0.34775
NUDT1	-0.881666666666667
RFPL2	-0.51425
ZNF83	-0.120833333333333
GDPD5	-0.367375
PDCD4	1.76285
CEP350	0.09125
OR10A2	0.00450000000000001
CST7	1.64225
CIAO1	-0.9625
SELL	1.58275
OR8J3	0.567
LTBP4	-0.00766666666666666
SIRT6	-0.2065
CCL19	5.71575
PPIL1	-0.686166666666667
GBP7	0.442833333333333
STK17A	-0.1383
ABR	0.48525
OR9G1	-0.0565
FOXE1	-0.433625
CNGA3	0.746
GML	0.2615
CD38	-0.9835
ZDHHC6	-0.178
NEFH	-0.30475
CTDSP2	1.31483333333333
PGBD5	-1.04033333333333
CCNY	0.207928571428571
RMND5B	0.450454545454545
ZNF257	-2.654
FLJ22167	-0.593375
EXOSC7	-0.251666666666667
ROR2	2.392
MAOA	-0.935625
TNNT3	1.03233333333333
GYPC	-0.797
C7orf33	0.88
PLIN	3.3045
LOC90826	-0.38725
RNF4	0.1359
F8A1	0.0236666666666667
PLEKHG4	-1.99525
GRB2	-0.0574
HIST1H2AD	0.90425
DUS3L	-0.303833333333333
EIF1	0.218
RP5-1077B9.4	-0.819
FPGT	1.869
GDF10	0.293833333333333
COQ9	-0.70375
GCC2	0.241571428571429
RARRES3	3.911875
PLXNA1	-0.1928
KIAA0100	0.0417
PMF1	-0.191
FNDC1	6.22925
HS2ST1	-0.282416666666667
CRELD2	0.0475
C8G	-1.5535
CD82	1.9685
LIM2	-1.1255
UNQ6490	0.16
MMP16	0.6165
DRD3	-0.122
C5orf26	-0.88525
C11orf73	-0.07625
PTP4A2	1.439875
OR4M2	0.117
HPCA	-1.521
SEC14L1	-0.5395
CHFR	-0.093625
EMILIN1	1.334125
NDUFS4	-0.298
COL18A1	0.829
PDZD3	0.183
C9orf16	-0.384166666666667
ERBB2IP	0.475833333333333
EMX2	3.45225
FUS	0.1625
TF	-3.9303
CLCN4	-0.00866666666666668
CXorf56	0.0565
C11orf72	0.24075
ELAC2	-0.467083333333333
NPR1	-0.6575
ASS1	-2.06983333333333
USP42	0.467375
POLR2J	-0.861
SEC23IP	0.658166666666667
UQCRC1	-0.0405
LOC729603	-0.4675
C1orf71	0.093375
POLG	-1.575
ADAM23	-3.00875
TFR2	-1.707
RICTOR	-0.7193
MGC39606	-0.13975
C19orf55	-0.37
SNAPC1	-0.979666666666667
GNA11	1.055625
CCDC52	0.766833333333333
FSIP1	4.2775
UPF3A	-0.218375
IGSF11	-1.95533333333333
LAGE3	-0.0915
CHST6	-0.687
UNC13B	0.12925
TTLL4	-0.982375
ZNF687	0.066
SDC2	0.4961
COX7A2	-1.0175
LAMB4	0.30325
FAM24A	-0.2145
LRRTM3	-0.5975
GPHB5	-0.02225
OR4C13	0.29
EIF3EIP	-0.369857142857143
HABP4	-0.0975
TMEM125	3.41275
CNTN2	0.028375
ASNSD1	-0.26025
FUT4	0.227125
ACF	-3.84875
LOC158381	0.591
CDH8	0.43825
AGPS	0.359333333333333
C4orf18	3.403375
PECI	-0.191416666666667
UNG	-0.71125
GSTP1	-1.424
DCUN1D5	-1.22883333333333
DKFZP564J0863	-0.87075
SLC9A3R1	0.73725
BCDO2	0.56275
CHMP7	-0.5995
REM2	0.7225
DNHD1	-0.693
FKBP4	0.276375
ZNF350	1.61025
MGC11102	0.31825
BST1	1.601
KISS1R	0.3825
NCR2	0.2845
DEFB125	0.5785
UBE2W	1.52642857142857
KRT15	1.684875
C10orf99	0.0955
SCN11A	-0.110857142857143
GFI1	-1.41625
RDHE2	2.85833333333333
FHL1	-0.6815
OSGEP	0.071
GATA1	-3.43866666666667
SMC6	-0.8505
TTTY14	-0.86425
LPIN3	0.22825
RPL4	-0.5051
RBPMS	1.2161
PRPF3	-0.585833333333333
EMR1	-1.8175
SPATA19	0.0155
XCR1	1.0385
IRX3	1.4165
RBM6	-0.35475
KLF4	0.8496
UNC5CL	1.1305
SEBOX	-0.374
BTK	-0.08975
KRCC1	0.679
C6orf27	0.2125
SYTL5	-0.224
PRND	1.932125
LOC653319	-1.6965
PIGL	-1.402
HUS1	-0.5845
SFRS6	0.493666666666667
C17orf77	-0.3915
UIMC1	-0.3115
FXYD2	-1.8662
LOC283152	-0.80075
ZNF667	-0.756
ZCCHC12	-0.416
TFEC	3.25166666666667
ATP7B	2.818
POLD2	-0.766833333333333
RG9MTD1	-0.29925
ACOT2	0.153833333333333
HIST1H4I	-0.522125
PPARGC1A	-1.7353
ETFA	-1.5681
POLRMT	-0.50225
ZNF146	0.2
MIA2	-2.08
KLHL6	0.477333333333333
HOXB5	-0.772875
NENF	-0.132333333333333
CUGBP1	0.18075
PRSS22	1.414
CASC4	1.7972
CUL4B	-0.3601
CENPJ	-1.2808
PITX1	-0.798666666666667
FLJ31033	0.9385
CELSR3	-1.384
ZNF568	0.46875
ITSN1	0.34925
EHBP1L1	-0.215833333333333
C19orf2	-0.6635
DCTN1	0.19875
LIN28B	-4.2005
TNKS2	-0.4505
C1QBP	-0.799375
CADPS2	1.332
SRMS	0.2335
GJA9	0.3146
MGC24975	-1.58266666666667
TRIM45	0.585166666666667
TSP50	-0.43025
TCP1	-1.5505
TMED7	0.6049
CMA1	0.2965
CENPL	-1.2805
PTCRA	0.048
FST	-2.42675
VWCE	-4.38
PAWR	0.47975
ABCC12	-0.470833333333333
LDLR	-0.752
ASTN2	1.4416
LOC441212	-1.038375
GPATCH8	-0.081
TANC2	-0.594583333333333
KIF4A	-2.13475
C18orf18	-0.8585
PGM1	-1.19075
KIAA0258	0.62825
CPD	0.772428571428571
SNCAIP	-0.238
DCT	-4.5005
HLA-DOA	2.94109090909091
OR11L1	0.2935
UPK1B	-0.225666666666667
DNAJB4	0.346375
UGT1A8	-0.22375
HIST1H4L	-0.974
PECR	-0.8725
HSPA2	3.31925
WFIKKN1	-2.0985
SERP1	0.946625
SYDE2	1.989
TACR2	0.549
NUP85	-0.8325
CD177	1.357
LGR5	-1.9605
PIGG	-0.3625
PTHR1	-0.774666666666667
RAB5A	0.416
FLJ13224	0.0495
USP9Y	-1.1865
C7orf53	-1.29
LRP1B	0.183
XAF1	1.8474
ABCG8	-0.227
ANKDD1A	-0.406833333333333
DAND5	-0.881
SPAG6	0.0298333333333333
LINCR	2.48175
ZDHHC22	-1.3295
CCDC60	0.767
THOC7	-1.297
TCTA	1.1209
OR8K3	0.267
NY-REN-7	-0.2575
B2M	2.3605
C6orf141	-0.10425
LPPR4	2.21275
SQLE	-1.107375
SEPHS1	-0.99875
BTBD14B	0.162142857142857
PLRG1	-0.3835
SPG7	-0.722
ZNF614	-0.125166666666667
PARD6G	1.07883333333333
INPP5B	-0.1893
GRPEL2	-0.431875
PPID	-0.569888888888889
TRIM56	-0.1165
UBE2J1	-0.034125
IL20RA	1.38725
LOC387856	0.834
C1orf107	0.41425
UTS2R	0.6055
C19orf22	0.04925
SAFB2	-0.085875
KIAA0652	0.038125
KLRG1	-0.0746666666666667
MS4A8B	3.21983333333333
FRAG1	0.33625
KIAA1546	0.55975
E2F4	-1.0597
CLEC4M	0.00850000000000001
BTBD14A	-0.6265
KIAA0999	0.9567
GYPA	-2.79833333333333
TAC1	0.9875
TRAIP	-1.43233333333333
KIAA0232	0.8359
ERCC8	-1.349625
GPX4	0.2325
KIAA0368	-0.3875
GPR157	-0.928833333333333
CTAGE4	1.499
C9orf30	-1.41283333333333
OR52A1	0.0805
HSP90B3P	-0.451
ALG9	-1.0117
BTBD10	0.714
SDK2	0.2775
BAIAP3	0.70575
RABGGTB	-0.309125
ANKRD40	0.183
KRT74	0.539
CALCOCO2	0.244571428571429
SNCA	-2.2855
TMSL8	-4.363875
C2orf53	0.1855
ESRRB	-0.479
ARHGAP26	-0.964
TDRD9	1.103
HRAS	0.227166666666667
KLRC4	-1.867
JAGN1	-0.214166666666667
BSDC1	0.568
RNF43	-0.2878
NDUFAF1	0.31825
PHF12	0.02825
OR1L3	-0.083
FOLR2	0.99325
LYZL6	-0.134666666666667
tcag7.1260	-1.642
WSB1	-1.3365
PROS1	-0.5216
OSTN	0.459
PSMB8	1.428
SOCS4	-0.050375
DDIT4L	2.3435
MAS1	0.2825
MGC34796	1.44025
CSHL1	0.167166666666667
TBCCD1	-0.0285
ZBTB7C	0.124
AP2S1	-0.8
P15RS	0.0243
VAT1	-0.7205
SHANK3	0.5545
TUFM	0.429
THEG	-0.44325
KRT34	-1.1845
SGSM3	-0.31275
TOMM22	-0.78825
SOCS3	1.22466666666667
CPO	-0.3275
POP4	0.0525
BHLHB3	1.675
MALL	1.45525
OR1B1	0.297
PARK2	0.4035
GPR124	0.978
LCE1E	-0.6025
RUVBL2	-0.64225
CGRRF1	0.6639
ACPL2	0.40025
WNT10B	-1.519875
BAIAP2L2	-2.38825
ISCA1	0.459
C1orf125	-0.179625
RPAP1	-0.77325
RAI16	0.031
RPL27	-0.60075
NLRP9	-0.224
EPN1	0.6295
LOC388610	-1.35725
SLC35A1	0.3044
GAL	-2.84975
SLC14A2	0.19825
RDH11	-0.396833333333333
FAM138F	-0.386
AUH	0.000750000000000001
FLJ40243	0.1975
C14orf129	0.624166666666667
MBD2	-0.279333333333333
ABHD14B	0.0245
PIGT	0.2865
ALS2CR4	-0.540625
ALAS1	0.3999
FOXO1	1.60666666666667
CRLF3	-0.13475
C20orf107	-0.00950000000000001
FARS2	0.75725
CCDC28A	0.1635
NPHP3	-0.81575
OR13F1	0.186
TSEN54	-0.701
DEFB106B	0.0208
OR8B4	0.5995
STH	1.99175
ZC3H14	-0.267
CBX2	-0.898
TMEM49	-0.416
C6orf21	0.214
FLJ20920	1.336125
CRTAP	-0.0835
DDX50	-0.08825
STYXL1	-0.165
BLVRB	1.00916666666667
LOC147650	-0.0798333333333333
MMP24	0.1465
GRID1	2.031
BANF1	-0.316333333333333
CTAGEP	0.2355
HMBS	-2.417
SLC25A24	0.852666666666667
C14orf50	-0.10625
MRO	0.400166666666667
SLC25A15	-0.673
FAM84B	1.8504
TDP1	-0.4485
C16orf78	0.144666666666667
C11orf57	-0.510125
RFK	-0.438625
ZFYVE9	-0.261875
STCH	-0.3079
WIBG	0.31875
LOC283871	0.2335
GBA2	-0.1597
NDUFB3	-0.6
HSD17B13	-0.18775
GRIN3A	0.679666666666667
FMNL1	0.149
SEPT7	-0.165
GNLY	3.5545
GRAMD1C	1.46766666666667
ZNF165	-0.4005
USP38	0.69575
FAM83A	-3.5285
C14orf24	0.514583333333333
ARMCX3	1.012
ARHGDIB	1.0485
AK1	0.486125
KIAA1045	-0.10975
DNAJB13	0.0883333333333333
NEU2	0.052
HIST1H4B	-0.533833333333333
FAM20B	-0.2404
HES2	-0.0280714285714286
FAM73B	-0.0825
LOC388381	-0.3795
INTS7	-1.32963636363636
AMPH	2.16266666666667
ZNF775	-0.178875
UCKL1	-0.611
C10orf97	0.01625
C1orf161	-0.148
ALDH1L1	-0.928
FLJ39378	-0.2445
SLC23A1	-1.8215
RBM4B	0.15
THAP4	0.210166666666667
OGFRL1	0.247
KIAA0831	0.25825
PPP1R15A	-0.0535
C1orf96	-0.210714285714286
C12orf11	-1.9805
BMF	0.4245
MAN1A1	0.1695
KIAA1600	0.590666666666667
NLGN4X	0.54725
ALOX12	-1.175
RB1CC1	0.6154
NEIL2	-0.0595
EIF4E	0.211772727272727
ABHD5	-0.4445
EXOC4	-0.299666666666667
CIP29	0.00783333333333333
BATF2	0.12525
SLC29A4	-0.567875
HTR4	-0.00525
EMB	-0.37625
TRAF6	0.827
LMNB1	-0.97525
FAM19A5	-0.665875
SHE	1.3555
PIK3C2B	0.2105
C15orf15	-0.3133
USP15	0.1145
TCEAL2	0.92525
C5orf39	-0.441166666666667
PTGER2	-0.5865
SLC31A1	-0.4275
IFT172	0.20725
ADAM29	-0.166
GFOD1	-0.31725
ST7L	0.676
C15orf26	-1.8315
PKN3	-1.117
CNTD1	3.38383333333333
COMMD1	0.038375
NTRK2	2.38675
FOXN3	0.553625
MFGE8	0.3929
PFKFB2	0.189166666666667
TAS2R4	-0.0125
ENTHD1	1.62816666666667
PRMT5	-0.441125
MGC16384	-1.204
LOC442229	-0.58
TSKU	0.100375
KRTCAP3	2.56725
PDLIM1	-0.2547
KCNS2	0.217
RNF126	-0.824833333333333
CEP63	0.220375
CLIC4	0.5055
hCG_1990170	0.32525
ACR	0.3549
KLK7	0.39125
ALOX5AP	3.88725
RIPK3	3.58275
TAS2R9	-0.091
C19orf18	1.1665
BIRC6	0.132071428571429
ZNF16	1.3605
RFT1	-0.3275
SLC8A2	-0.53675
TACC1	0.387875
ITGAD	0.66925
SAMHD1	1.365
SH3PXD2B	1.4694
EPC2	0.77525
C20orf85	4.89225
ATP13A2	0.414
KRT4	0.328875
CAPNS1	0.10025
MDM2	-0.548
PCDH20	3.73225
KCNK9	0.381
OR2C1	0.212
KLHDC3	-0.785333333333333
IPPK	1.003
EFHD2	0.28125
GALR3	0.60225
NBEA	1.58716666666667
ABCA6	2.9216
CLDN3	1.27233333333333
AKT2	0.161571428571429
EGFR	-1.3564
RBM16	0.416625
ZDHHC3	0.1471
SLC25A4	-0.1215
CYB5B	-0.966833333333333
CPXM1	1.82325
NDRG1	-0.659307692307692
FLJ43826	0.41625
OR5L2	0.0671666666666666
FARP2	-0.0558
MRPL46	-0.70175
LDHAL6B	0.2385
MAPKAPK3	-0.322833333333333
NCAM2	-0.089
PRKD2	0.2305
ZFP36L1	1.1476
CYSLTR1	-0.03625
OR4C3	0.299
HIST1H2AJ	1.9165
CCNB2	-2.62333333333333
ZNF10	-0.454875
TMEM175	0.4775
FAM134A	0.8415
TIGD4	-0.3895
PCNP	0.07525
MGC39715	0.254
LQK1	-2.75375
CREB1	0.8232
TMPRSS3	2.18725
C4orf32	2.043
LAT	-0.610333333333333
KCNA3	-0.061
SKIV2L2	-0.733
ROPN1B	-1.89875
tcag7.23	-0.608
CDT1	-2.632625
ZHX2	2.11775
CD28	-2.16925
ZNF624	0.961
SEPT2	0.3955
SOHLH2	-1.566
MCOLN3	-0.3605
UNQ1945	0.137
MASP2	-1.0155
ZNRF3	-0.522555555555556
GPATCH3	-0.046
AGL	0.733
QRICH2	-0.215
PSD4	1.03333333333333
CCNB1IP1	-1.82175
ENPP7	0.098
OBFC1	-0.1315
KCNG3	-0.71375
C14orf79	0.664416666666667
ENPEP	2.82533333333333
SCT	1.099
SKI	0.802625
SEC61G	-1.396
CAPN11	-0.26675
ATXN7L3	-0.1915
DBNDD1	-1.22766666666667
FAIM	0.36
ANKRD36	-0.3815
GABRP	2.415
TACSTD2	2.714
EIF3J	-0.2185
PPP2R2A	-1.073
TEKT4	0.1505
PVALB	-4.0145
F10	-2.55916666666667
FAM134C	0.5545
COMP	5.646
EFCBP1	-1.70993333333333
SCLT1	0.551125
TAL1	-1.2307
ACSL1	0.961
ABCC5	1.47108333333333
ABL1	-0.334777777777778
RBBP7	0.448583333333333
PTPRG	-0.444625
NCOR1	-0.0436
SPINK4	-1.81
TXNRD1	-1.7369
TNRC15	0.703875
C9orf138	0.123625
UBE2H	0.922666666666667
BRDT	0.0315
C8orf31	-0.0885
CCNE2	-0.701909090909091
SLC6A8	-1.628375
CALCR	-3.5815
PPP1CB	0.353416666666667
ABHD8	-0.1085
ARF5	-0.0142
SLC24A4	0.4115
CCT3	-0.718
ZNF121	0.279125
SLC3A2	-0.6578
OR13A1	0.168
SLC5A10	-0.15775
RAD50	0.100375
IER5	0.12725
MTHFD1L	-2.234
MBTPS2	0.4545
MVK	-0.89725
NCL	-0.2257
PSMD10	-0.175
MOBP	0.14975
FLJ32894	-0.8305
HRH1	0.201833333333333
C5orf30	1.24625
NUDT16L1	1.0453
RASGRP3	3.38216666666667
PRKRIP1	-0.2978
CCDC75	-0.51075
LOC253970	0.41825
KIAA1239	-0.31925
MED21	-0.02375
SYT11	1.316
NTSR2	-0.492
EGFL11	-0.146
CXorf59	0.5975
OR2A25	-0.0405
SPTBN2	-1.02075
LRMP	-0.883333333333333
RNF111	0.27325
PTH	0.7185
LOC619208	0.500833333333333
KIAA0895	0.38575
RANBP5	-1.190375
P2RY10	2.02916666666667
NME5	3.68783333333333
DDX21	-0.58325
LRSAM1	0.236
HDAC11	1.6235
VMO1	3.04575
NOLA2	-0.289166666666667
ADAR	0.586583333333333
MTO1	-1.22916666666667
SF4	-0.0101666666666667
P2RX1	0.298833333333333
HBM	0.12175
EN2	0.5755
C14orf172	0.2445
TM9SF2	0.5313
INHBE	-1.0105
TCTE3	-0.05125
TOX2	-2.2545
CTAGE3	0.2655
HBB	3.1134
MED15	-0.948666666666667
CASR	0.2935
C6orf66	-1.40966666666667
MTPN	-0.51275
UNC50	0.1
C21orf33	-0.266625
IRF2	1.342625
PGR	0.958666666666667
GPR84	2.5595
CROCCL1	-1.50575
SRPX	-0.54775
BRE	0.077
FGF10	1.15025
SDC3	-0.142
ZRSR1	0.513833333333333
DKFZP434P211	-0.2595
SOX6	0.089
RPUSD2	0.0455
C14orf173	-0.4015
MAPK11	-0.463833333333333
TBC1D22A	-0.106
FAM123A	-0.4425
COL4A6	-2.33333333333333
TOMM70A	-0.14
NAB1	0.0145
MGC16385	-0.84675
TSPAN18	0.184833333333333
MED31	-0.592
PLG	-0.21775
CAPSL	2.763
ZNF532	1.0298
ASB14	0.52625
CA8	-2.11275
NUDT16P	1.30416666666667
SLFN11	-0.291
LRRIQ2	0.394
NOL7	-0.4165
BRMS1L	-0.820875
JARID1A	0.305166666666667
PANK2	-0.6205
ICAM3	-0.3245
MDS1	-0.6895
TAF8	-0.63625
RNF139	1.1015
ZNF594	0.3875
ADAM8	2.470375
SFTPC	-0.162125
MAN2B2	1.254875
RGS12	0.6746875
EIF1AY	-4.71308333333333
LRRIQ1	-0.487
GPR150	0.97675
CCDC21	-1.1665
PRRG3	0.57375
SAA4	-3.02375
RAPGEF5	0.515375
ZCCHC2	0.37275
MGC39372	0.4855
PPP4R2	0.631166666666667
CDCA2	-2.83883333333333
OR4D5	0.105833333333333
PTGFRN	1.1096
SIGLEC5	0.192333333333333
C19orf61	-0.393333333333333
NMUR2	0.2455
KIAA1586	-1.33433333333333
DAGLA	0.105333333333333
CHCHD6	-0.26625
GPR32	0.893
NEUROD6	-0.051
SLC2A4RG	0.227125
CA5B	0.52175
FBXL3	2.06675
MPHOSPH9	-1.4295
HMG2L1	0.0615
HCN4	0.413666666666667
CEACAM19	-0.73275
SH2D4B	0.066
HFE2	-0.6645
TGM4	0.245666666666667
LYPD2	-0.396
TBC1D15	-0.10075
MRPS21	-0.2583
NONO	-0.8568
CLEC5A	2.041125
ITCH	-0.1932
MGAT3	-0.844166666666667
MBP	-0.0702500000000001
RPP25	-1.27
SOSTDC1	0.93925
HRC	-1.54025
TRIM48	0.18
TMEM133	0.5735
ECEL1P2	-1.104
HOXC11	-0.839
DOK5	0.68675
HELZ	-0.0375
LOC348180	-0.7695
MGC33894	0.05975
ADRB3	0.0745
DMD	-0.0685
PTRH2	-0.7305
MPEG1	3.17016666666667
NDUFA12	-0.171166666666667
KRTAP2-4	0.0299166666666667
STAMBPL1	-1.0115
ADCY2	2.117
UNQ6125	0.171
KLHL20	0.181333333333333
SRM	-1.0175
OTC	0.00125
TMIE	0.2855
SNX8	-0.085
LIPK	-0.3705
CHURC1	0.7245
KLC2	0.109666666666667
HDAC1	-0.0973333333333333
FAM128A	-0.1475
FNDC3B	-0.1042
MTCP1	-0.351333333333333
WFDC10B	0.3218
PCDHGB3	0.0155
ATRNL1	-1.4634
CAV2	0.404375
MED26	0.0685
DUS1L	-0.20125
CHRM3	-1.462375
NEK9	0.7325
WARS2	-0.415
TBX22	0.3785
TOMM40	-1.11975
RP6-213H19.1	-1.65533333333333
TUBGCP5	-0.7125
IGSF6	5.5165
TPPP	1.67916666666667
UNQ6190	0.396
GSTM5	0.136625
BTD	0.5005
PDCD1LG2	0.6785
SNRPB2	-0.581166666666667
ERICH1	0.072375
APOA4	-1.577125
HOXA11	-1.0115
NARG1	-0.2625
MKX	-0.38825
RAB28	0.338071428571429
PKP3	0.68875
SH3GL2	-2.16125
CTSO	3.6755
RPN2	-0.3798125
IL28RA	0.385166666666667
SFMBT1	0.86325
WDR57	-0.563125
FER1L3	0.838833333333333
HSF5	0.226666666666667
TTC9B	0.45025
C4BPA	-3.0072
ALB	-3.78535714285714
SORBS3	0.03525
UPF2	-0.0935
JPH1	-0.3635
AGBL2	0.0315
DOPEY1	1.037
TERF1	0.261916666666667
KIF22	0.132166666666667
NINJ1	1.899
SEC61A2	-0.749
HIST1H1D	0.336666666666667
SFXN4	-0.645625
UCP3	0.4137
ZNF703	0.883
MYL6B	-0.3535
TREM1	2.2835
OR52E6	0.3605
CKMT2	0.812
HLA-C	2.79828571428571
SLC13A3	-1.1025
TIMP4	-1.76175
SLIT2	2.66366666666667
RSF1	0.8783125
LONRF1	-0.870357142857143
MON1A	-0.307
CACNG6	-1.556
DPPA4	-5.0305
ZSWIM3	-0.24575
ZNF804A	0.398833333333333
CCIN	1.8485
SLC25A31	0.49125
KCNMB4	0.36775
RABL5	0.432625
GALNS	-0.2008
STX6	0.088875
HIST1H1C	0.621166666666667
CIDEB	-0.351625
CASP4	0.589333333333333
PDK3	0.132666666666667
KCNJ11	2.3385
TPR	-0.331375
ZSCAN20	-0.0595
MTX2	-0.4545
HIST1H2BH	0.50825
LOC283767	0.4
LYRM7	-1.39366666666667
BRD3	0.8455
HIST1H2BO	0.489
MAGEB10	-0.278
SLC45A1	1.08275
SERPINA3	1.3045
KIAA0143	1.69325
KCNJ16	0.797666666666667
KRT79	0.296
FABP2	-0.704333333333333
NUT	-0.1785
ZNF57	-0.28825
FBXL4	0.214875
CLEC9A	1.4185
UGT8	-0.786333333333333
BMP2K	0.48525
MAPK4	-3.05975
SLC25A23	-0.7225
HINT1	-0.3248
KRTAP13-1	0.149
SFXN5	0.8296
CHCHD2	-0.2035
FAM3D	0.854
NDP	-0.239375
RHOBTB1	-0.252
SLC4A4	-1.295375
RPL38	-0.392
HTF9C	-0.924
AP2A2	0.57025
ZBTB46	-0.051
MAP7D1	0.63525
AOX1	0.186333333333333
CYR61	1.60266666666667
DTNA	0.340857142857143
JRKL	-0.38875
TMOD3	0.34875
EEA1	0.4296
ADCK5	0.20875
IL1R1	1.28866666666667
KLK3	0.4725
HRSP12	-0.20225
KTN1	0.64525
LOH11CR2A	2.2043
RELL2	-1.1225
MAB21L1	1.23133333333333
C20orf59	-1.2325
PHKB	-0.72375
ADAM2	-2.2466
TBC1D8B	1.32316666666667
FAM13A1	-0.6333125
LAPTM4B	0.0581666666666667
LCN8	-0.092
TMEM147	-0.081
SYT4	0.123666666666667
XPO7	-1.004
C9orf62	0.86375
GPR75	-0.2295
TRIM5	0.00475
APOC1	0.3485
RNASE4	0.732
PARD6B	0.1845
ARID1A	0.730166666666667
TPD52L3	-0.1344
RRAGB	0.709833333333333
RCN2	-0.688333333333333
HIST2H2BE	0.5105625
STARD7	-0.30125
SHMT2	-1.0615
KIAA1751	-0.071
MLYCD	-0.01025
LOC162632	-0.1018
UQCRH	-1.511
RP11-217H1.1	0.24575
SDHA	-0.996
NCLN	-0.6073
ZNF17	0.778666666666667
RCBTB2	-1.007
VEGFB	-0.0182
RP4-747L4.3	0.39675
COLQ	0.731444444444444
MPN2	-0.648333333333333
DRG2	-0.49
KLRB1	5.7515
ALPK2	-2.213
DNASE2B	0.90475
FLJ23834	0.638666666666667
AXUD1	0.825333333333333
SAFB	-0.2049
NSUN4	0.0275
RFX2	1.25233333333333
MAPK8IP1	0.0398333333333333
FANCD2	-1.25014285714286
ANKZF1	-1.53866666666667
C19orf50	-0.49625
DUSP8	0.393
SENP5	0.03925
NFKBIL2	-0.43975
LBR	-0.8055
IGFL1	1.9965
LZTS2	0.61375
IL2RG	0.31225
CCDC51	0.413
KLF3	0.61775
ANKRD37	-1.23275
KCTD14	-0.9962
FZR1	0.206916666666667
SLC44A4	4.2887
ESPL1	-1.048625
GMPR2	0.0564
TBC1D19	-0.0408333333333333
ERGIC1	0.511185185185185
ERBB4	1.0699
TSPAN32	-0.0154166666666667
MAP4	0.248625
GPHN	-0.4155
SLC6A2	0.041875
HIVEP1	1.826
DFFB	-0.2429
EIF4EBP2	0.190125
DMRT1	0.02475
HSPB6	-0.11125
IER2	-0.175833333333333
AIFM1	-0.36525
WWC2	0.3135
MRPL4	-0.70975
FLJ21062	1.29466666666667
EPB41L4A	0.874916666666667
SH2D6	0.07925
TAF4B	-0.91875
GAL3ST3	-0.1465
MALT1	-0.475
RTDR1	0.077
ARVCF	-0.129125
MEX3B	-0.5435
FBXO16	-0.63925
KIF7	-0.86125
C1QC	4.68933333333333
ZNF783	-0.246
ZNF85	0.0505
MMP13	5.439
KIAA0329	0.151625
RTP3	-0.151
ZBED3	-0.646
CLGN	0.11575
SLC25A37	-1.84533333333333
hCG_18290	-0.3265
OR5AS1	-0.2065
SMARCC2	0.56325
FAM109A	-0.014
CCDC12	-0.88125
USF2	0.3045
DEPDC7	-1.2735
C20orf24	-0.681
JMJD3	1.1405
DSP	1.518
SLIC1	0.560125
FAM20A	2.0205
IRF2BP2	0.574625
ZNF230	-0.0915
MSN	-0.138142857142857
SLC9A5	-2.02
EPDR1	-1.4028
MUSK	-0.202333333333333
ZNF434	1.24533333333333
SMARCD1	-0.554333333333333
