Hybridization REF	TCGA-BH-A1EO-01A-11R-A137-07
NCR2	-0.02
DEFB125	1.5055
UBE2W	2.189625
KRT15	0.407875
C10orf99	0.3365
SCN11A	0.483857142857143
GFI1	-1.8575
RDHE2	2.6775
FHL1	0.2605
OSGEP	0.504833333333333
GATA1	-3.13366666666667
SMC6	-0.74125
TTTY14	-1.75775
LPIN3	0.04825
RPL4	-0.418
RBPMS	-0.2048
PRPF3	-0.834
EMR1	-1.05
SPATA19	0.05075
XCR1	0.457
IRX3	1.3909
RBM6	-1.23425
KLF4	-0.2203
UNC5CL	0.22675
SEBOX	0.7445
BTK	1.01825
KRCC1	1.75525
C6orf27	0.4995
SYTL5	0.0155
PRND	4.616875
LOC653319	-2.031
PIGL	-1.831625
HUS1	0.564166666666667
SFRS6	0.356583333333333
C17orf77	-0.0655
UIMC1	-0.262333333333333
FXYD2	-1.4712
LOC283152	-0.04275
ZNF667	0.50425
ZCCHC12	-0.8355
TFEC	4.7876
ATP7B	0.0191666666666667
POLD2	-1.69633333333333
RG9MTD1	0.14475
ACOT2	0.748333333333333
HIST1H4I	-1.332625
PPARGC1A	-1.7587
ETFA	-1.1878
POLRMT	-0.4915
ZNF146	0.448875
MIA2	-3.282
KLHL6	0.1435
HOXB5	-0.295
NENF	0.976666666666667
CUGBP1	0.214
PRSS22	1.7015
CASC4	1.3644
CUL4B	0.3915
CENPJ	-2.2504
PITX1	0.451333333333333
FLJ31033	1.17366666666667
CELSR3	-1.401
ZNF568	2.351
ITSN1	-0.393083333333333
EHBP1L1	-1.106
C19orf2	-0.492
DCTN1	-0.54475
LIN28B	-4.1405
TNKS2	-0.23
C1QBP	0.0707500000000001
CADPS2	2.56925
SRMS	-0.30125
GJA9	0.566833333333333
MGC24975	-0.754333333333333
TRIM45	-0.358
TSP50	-0.1375
TCP1	-1.21475
TMED7	0.5348
CMA1	1.7945
CENPL	-1.27016666666667
PTCRA	0.47
FST	-2.43275
VWCE	-3.69775
PAWR	-1.49525
ABCC12	0.00450000000000004
LDLR	-1.9035
ASTN2	1.6282
LOC441212	-0.23775
GPATCH8	-0.3135
TANC2	-0.7345
KIF4A	-2.31625
C18orf18	-0.457
PGM1	-0.95875
KIAA0258	0.6405
CPD	0.685625
SNCAIP	0.145
DCT	-4.27766666666667
HLA-DOA	3.74490909090909
OR11L1	0.6455
UPK1B	-0.369
DNAJB4	0.914375
UGT1A8	-0.79775
HIST1H4L	-2.4285
PECR	-1.34433333333333
HSPA2	2.00625
WFIKKN1	-3.45
SERP1	1.00975
SYDE2	1.54175
TACR2	0.4955
NUP85	-0.87775
CD177	2.7975
LGR5	-2.0975
PIGG	-0.7825
PTHR1	0.3385
RAB5A	0.5232
FLJ13224	0.1165
USP9Y	-2.37033333333333
C7orf53	-0.2585
LRP1B	-0.531
XAF1	1.2393
ABCG8	-0.139
ANKDD1A	-1.18666666666667
DAND5	-1.925
SPAG6	-0.165666666666667
LINCR	0.82725
ZDHHC22	-1.179125
CCDC60	0.0195
THOC7	-0.793
TCTA	1.3809
OR8K3	1.125
NY-REN-7	-1.1915
B2M	2.8775
C6orf141	-3.12425
LPPR4	2.516
SQLE	0.485625
SEPHS1	-0.8015
BTBD14B	0.168714285714286
PLRG1	0.058
SPG7	-1.3356875
ZNF614	0.713833333333333
PARD6G	1.18766666666667
INPP5B	-0.6904
GRPEL2	0.215625
PPID	-0.4199
TRIM56	-0.41875
UBE2J1	0.557625
IL20RA	4.96925
LOC387856	0.2265
C1orf107	0.858166666666667
UTS2R	0.238
C19orf22	-0.3265
SAFB2	-0.65325
KIAA0652	-0.269375
KLRG1	0.369
MS4A8B	2.7465
FRAG1	0.894
KIAA1546	0.5055
E2F4	-1.4639
CLEC4M	0.038
BTBD14A	-1.14525
KIAA0999	-0.1221
GYPA	-3.44983333333333
TAC1	1.647
TRAIP	-1.46066666666667
KIAA0232	1.0543
ERCC8	-0.08975
GPX4	0.764
KIAA0368	-0.00112500000000001
GPR157	-1.3875
CTAGE4	-0.3785
C9orf30	-0.944
OR52A1	1.1375
HSP90B3P	-0.6795
ALG9	-0.2098
BTBD10	1.155
SDK2	-0.42075
BAIAP3	1.35275
RABGGTB	-0.596625
ANKRD40	-0.0335
KRT74	0.724
CALCOCO2	0.150285714285714
SNCA	-1.8855
TMSL8	-3.82425
C2orf53	-0.1035
ESRRB	-0.16475
ARHGAP26	-1.632875
TDRD9	-1.6985
HRAS	-0.258166666666667
KLRC4	-1.3925
JAGN1	-0.234833333333333
BSDC1	0.242
RNF43	-0.7831
NDUFAF1	0.43925
PHF12	0.17875
OR1L3	0.04225
FOLR2	3.332
LYZL6	0.537166666666667
tcag7.1260	-0.124
WSB1	-1.71833333333333
PROS1	0.2217
OSTN	0.9875
PSMB8	1.16275
SOCS4	-0.14825
DDIT4L	2.39775
MAS1	0.983
MGC34796	0.8365
CSHL1	-0.0666666666666667
TBCCD1	0.529833333333333
ZBTB7C	-0.179
AP2S1	-0.204875
P15RS	-0.5649
VAT1	-0.2146
SHANK3	0.584
TUFM	-1.03616666666667
THEG	-0.724
KRT34	-2.8665
SGSM3	0.025375
TOMM22	-0.70675
SOCS3	0.963833333333333
CPO	0.6555
POP4	0.8155
BHLHB3	4.84725
MALL	1.65975
OR1B1	0.6365
PARK2	0.576333333333333
GPR124	0.7865
LCE1E	0.06
RUVBL2	-1.089
CGRRF1	0.9227
ACPL2	0.748
WNT10B	-2.243875
BAIAP2L2	-2.0855
ISCA1	1.348
C1orf125	0.018875
RPAP1	-1.1225
RAI16	-0.016
RPL27	-0.011625
NLRP9	-0.982
EPN1	0.603
LOC388610	-0.955125
SLC35A1	2.2814
GAL	-3.397
SLC14A2	0.268
RDH11	-0.335333333333333
FAM138F	-0.074
AUH	0.74975
FLJ40243	-0.05525
C14orf129	0.7895
MBD2	-0.909666666666667
ABHD14B	0.11925
PIGT	-0.666
ALS2CR4	0.19975
ALAS1	0.0304
FOXO1	1.556
CRLF3	-0.01625
C20orf107	-0.2425
FARS2	0.88
CCDC28A	1.1565
NPHP3	-0.871
OR13F1	0.1805
TSEN54	-1.20175
DEFB106B	0.2933
OR8B4	0.781
STH	0.4085
ZC3H14	-0.27125
CBX2	-0.1455
TMEM49	-1.129
C6orf21	0.556
FLJ20920	0.613625
CRTAP	0.166428571428571
DDX50	-0.2095
STYXL1	0.72375
BLVRB	0.627
LOC147650	0.485666666666667
MMP24	0.18975
GRID1	2.22283333333333
BANF1	-0.530333333333333
CTAGEP	-0.19175
HMBS	-2.68325
SLC25A24	0.639166666666667
C14orf50	2.04575
MRO	3.3735
SLC25A15	-0.436
FAM84B	2.1104
TDP1	-1.1335
C16orf78	0.1205
C11orf57	-0.2175
RFK	0.25125
ZFYVE9	-1.233125
STCH	-0.5941
WIBG	-0.2745
LOC283871	-0.408333333333333
GBA2	-0.8276
NDUFB3	0.3505
HSD17B13	-0.42475
GRIN3A	2.1315
FMNL1	-0.791
SEPT7	0.083
GNLY	3.0385
GRAMD1C	1.04116666666667
ZNF165	1.35775
USP38	0.39
FAM83A	-3.42033333333333
C14orf24	1.61641666666667
ARMCX3	1.5285
ARHGDIB	0.171833333333333
AK1	0.2515
KIAA1045	0.28375
DNAJB13	-0.356833333333333
NEU2	0.073
HIST1H4B	-1.81133333333333
FAM20B	0.0463
HES2	1.26864285714286
FAM73B	-1.0681
LOC388381	-0.13425
INTS7	-0.348
AMPH	3.09
ZNF775	-0.045125
UCKL1	-0.954833333333333
C10orf97	0.46125
C1orf161	-0.4275
ALDH1L1	-1.118
FLJ39378	-0.54075
SLC23A1	-0.021
RBM4B	0.87225
THAP4	-0.263166666666667
OGFRL1	0.9315
KIAA0831	0.415
PPP1R15A	-0.375666666666667
C1orf96	-0.364357142857143
C12orf11	-2.04975
BMF	0.627625
MAN1A1	0.843
KIAA1600	0.1825
NLGN4X	0.039
ALOX12	-1.44216666666667
RB1CC1	-0.398
NEIL2	1.1552
EIF4E	0.507636363636364
ABHD5	-0.2535
EXOC4	-0.545666666666667
CIP29	-0.648333333333333
BATF2	-0.256
SLC29A4	-0.98225
HTR4	0.53075
EMB	-0.5285
TRAF6	1.08775
LMNB1	-3.77675
FAM19A5	0.57075
SHE	2.42675
PIK3C2B	1.142
C15orf15	-0.1853
USP15	0.1847
TCEAL2	1.75575
C5orf39	0.00733333333333333
PTGER2	2.02975
SLC31A1	-0.240625
IFT172	0.13075
ADAM29	0.40525
GFOD1	-0.91425
ST7L	0.757333333333333
C15orf26	-2.25775
PKN3	-1.71275
CNTD1	2.072
COMMD1	0.583
NTRK2	3.19833333333333
FOXN3	0.613125
MFGE8	-0.0218
PFKFB2	0.337666666666667
TAS2R4	-0.61125
ENTHD1	3.18033333333333
PRMT5	-1.46125
MGC16384	-2.59175
LOC442229	0.583
TSKU	0.851875
KRTCAP3	1.77475
PDLIM1	1.0523
KCNS2	0.6755
RNF126	-0.745333333333333
CEP63	0.29475
CLIC4	-0.067875
hCG_1990170	-0.84925
ACR	0.3545
KLK7	0.43925
ALOX5AP	4.590375
RIPK3	4.0765
TAS2R9	0.7245
C19orf18	2.4375
BIRC6	-0.162857142857143
ZNF16	2.034
RFT1	-0.783
SLC8A2	-1.77925
TACC1	-0.145625
ITGAD	1.11425
SAMHD1	2.196
SH3PXD2B	1.5129
EPC2	1.0905
C20orf85	0.4755
ATP13A2	-0.0563333333333333
KRT4	0.488875
CAPNS1	-0.28325
MDM2	-0.226333333333333
PCDH20	1.302
KCNK9	0.6845
OR2C1	0.458
KLHDC3	-1.31833333333333
IPPK	0.3115
EFHD2	-0.22675
GALR3	0.07275
NBEA	0.251166666666667
ABCA6	5.1803
CLDN3	0.129
AKT2	-0.325357142857143
EGFR	-1.7411
RBM16	0.0985
ZDHHC3	0.223
SLC25A4	-0.210333333333333
CYB5B	-0.876333333333333
CPXM1	0.89775
NDRG1	-0.838615384615385
FLJ43826	0.5115
OR5L2	0.276666666666667
FARP2	-0.0835
MRPL46	-0.590083333333333
LDHAL6B	-0.200666666666667
MAPKAPK3	0.0831666666666667
NCAM2	-0.9965
PRKD2	-0.0423333333333333
ZFP36L1	1.8014
CYSLTR1	-0.2215
OR4C3	0.43475
HIST1H2AJ	0.939
CCNB2	-2.77244444444444
ZNF10	0.279625
TMEM175	0.2465
FAM134A	0.784
TIGD4	0.1415
PCNP	-0.017
MGC39715	-0.1975
LQK1	-0.2145
CREB1	0.7968
TMPRSS3	1.06
C4orf32	1.64475
LAT	-1.14133333333333
KCNA3	-3.793
SKIV2L2	-0.5625
ROPN1B	-3.687
tcag7.23	0.1085
CDT1	-3.313625
ZHX2	1.706125
CD28	-1.10525
ZNF624	1.325
SEPT2	0.859083333333333
SOHLH2	-1.544375
MCOLN3	1.90775
UNQ1945	0.472
MASP2	-1.157
ZNRF3	-0.5193
GPATCH3	-0.57525
AGL	0.78575
QRICH2	-0.5345
PSD4	0.316833333333333
CCNB1IP1	-1.62625
ENPP7	-0.123
OBFC1	-0.136
KCNG3	-2.585
C14orf79	0.06325
ENPEP	2.31366666666667
SCT	3.291
SKI	0.109625
SEC61G	-0.724
CAPN11	0.24725
ATXN7L3	-0.93325
DBNDD1	-0.697333333333333
FAIM	0.589
ANKRD36	-2.096
GABRP	0.355333333333333
TACSTD2	1.84633333333333
EIF3J	-0.05275
PPP2R2A	-0.2525
TEKT4	-1.23933333333333
PVALB	-2.83533333333333
F10	-1.824
FAM134C	0.8218
COMP	5.1285
EFCBP1	-2.1663125
SCLT1	-0.3065
TAL1	-0.7815
ACSL1	1.367
ABCC5	-0.247583333333333
ABL1	-0.920555555555555
RBBP7	0.860583333333333
PTPRG	-0.984125
NCOR1	-0.5557
SPINK4	-1.9015
TXNRD1	-1.2789
TNRC15	-0.766375
C9orf138	0.764375
UBE2H	0.317166666666667
BRDT	1.70816666666667
C8orf31	-0.18675
CCNE2	0.0851818181818182
SLC6A8	-1.54075
CALCR	-3.39875
PPP1CB	0.755666666666667
ABHD8	-0.2775
ARF5	0.6169
SLC24A4	1.7375
CCT3	-0.1605
ZNF121	0.081875
SLC3A2	-1.3826
OR13A1	0.4245
SLC5A10	-0.029
RAD50	0.06275
IER5	-0.237
MTHFD1L	-1.626875
MBTPS2	0.957
MVK	-1.474125
NCL	-0.4485
PSMD10	0.45625
MOBP	0.03825
FLJ32894	0.5755
HRH1	0.28
C5orf30	2.12275
NUDT16L1	0.7287
RASGRP3	4.63166666666667
PRKRIP1	-0.4723
CCDC75	-0.74875
LOC253970	0.86575
KIAA1239	0.47575
MED21	-0.094
SYT11	1.08525
NTSR2	-0.0325
EGFL11	-0.3875
CXorf59	0.4855
OR2A25	0.38075
SPTBN2	-1.1385
LRMP	-0.291666666666667
RNF111	-0.1215
PTH	0.9435
LOC619208	2.07333333333333
KIAA0895	1.59125
RANBP5	-0.737625
P2RY10	0.957666666666667
NME5	4.37233333333333
DDX21	-1.24175
LRSAM1	-0.713
HDAC11	0.655166666666667
VMO1	3.546
NOLA2	-0.0261666666666667
ADAR	0.421
MTO1	-0.403
SF4	0.200166666666667
P2RX1	0.273166666666667
HBM	0.477
EN2	0.086
C14orf172	0.2805
TM9SF2	0.8577
INHBE	-1.27816666666667
TCTE3	-0.274333333333333
TOX2	-2.77075
CTAGE3	-0.405125
HBB	3.6118
MED15	-0.955333333333333
CASR	0.76525
C6orf66	-0.426666666666667
MTPN	-0.395625
UNC50	0.693
C21orf33	1.037125
IRF2	1.135875
PGR	4.496
GPR84	3.88525
CROCCL1	-2.53675
SRPX	-0.13325
BRE	0.4455
FGF10	1.9605
SDC3	0.193666666666667
ZRSR1	0.1645
DKFZP434P211	-0.901875
SOX6	0.8315
RPUSD2	-0.65075
C14orf173	-0.38175
MAPK11	-0.395333333333333
TBC1D22A	0.3835
FAM123A	-0.9215
COL4A6	-3.15366666666667
TOMM70A	0.23
NAB1	-0.030125
MGC16385	-0.3195
TSPAN18	-0.55
MED31	0.27875
PLG	-0.161
CAPSL	1.7665
ZNF532	1.5705
ASB14	0.38275
CA8	-3.25025
NUDT16P	1.79183333333333
SLFN11	-0.0105
LRRIQ2	-1.254
NOL7	-0.0645
BRMS1L	0.272
JARID1A	-0.0153333333333333
PANK2	-0.0935
ICAM3	0.13775
MDS1	-0.42725
TAF8	-0.626
RNF139	1.6825
ZNF594	-0.707333333333333
ADAM8	2.45625
SFTPC	-0.479625
MAN2B2	1.218875
RGS12	-0.3616875
EIF1AY	-4.45483333333333
LRRIQ1	-2.2655
GPR150	-0.03625
CCDC21	-1.6855
PRRG3	0.39775
SAA4	-3.9455
RAPGEF5	1.048125
ZCCHC2	-1.28525
MGC39372	0.474
PPP4R2	-0.0286666666666667
CDCA2	-2.4055
OR4D5	0.454333333333333
PTGFRN	1.8615
SIGLEC5	2.5225
C19orf61	-0.361
NMUR2	0.847
KIAA1586	-0.693833333333333
DAGLA	1.18066666666667
CHCHD6	0.19625
GPR32	1.2705
NEUROD6	0.789
SLC2A4RG	-0.310875
CA5B	0.85075
FBXL3	2.85875
MPHOSPH9	-1.72075
HMG2L1	-0.2715
HCN4	-0.639
CEACAM19	0.29575
SH2D4B	0.774833333333333
HFE2	-1.2325
TGM4	-0.0984
LYPD2	0.45675
TBC1D15	0.0175
MRPS21	-0.1262
NONO	-0.5481
CLEC5A	4.27775
ITCH	-0.1719
MGAT3	-0.46
MBP	-0.438
RPP25	-1.77375
SOSTDC1	-1.40275
HRC	-1.22875
TRIM48	-0.2035
TMEM133	0.36125
ECEL1P2	-0.99625
HOXC11	-0.22
DOK5	1.6905
HELZ	-0.125833333333333
LOC348180	-1.171
MGC33894	0.52975
ADRB3	0.133
DMD	-0.149333333333333
PTRH2	-0.496
MPEG1	3.58666666666667
NDUFA12	0.0205
KRTAP2-4	0.035
STAMBPL1	-1.05066666666667
ADCY2	0.805166666666667
UNQ6125	0.4835
KLHL20	-0.863166666666667
SRM	-1.18525
OTC	0.5355
TMIE	-0.809333333333333
SNX8	0.334
LIPK	-0.014
CHURC1	-0.067
KLC2	0.3005
HDAC1	-0.92
FAM128A	-0.109333333333333
FNDC3B	0.5969
MTCP1	0.0793333333333334
WFDC10B	0.133666666666667
PCDHGB3	0.2515
ATRNL1	0.8253
CAV2	0.20125
MED26	-0.250833333333333
DUS1L	-0.80725
CHRM3	-2.3845
NEK9	0.1285
WARS2	-0.151
TBX22	0.166
TOMM40	-1.29925
RP6-213H19.1	-1.55733333333333
TUBGCP5	-0.64575
IGSF6	6.1345
TPPP	0.2225
UNQ6190	0.2015
GSTM5	1.614875
BTD	1.03266666666667
PDCD1LG2	1.2535
SNRPB2	0.299333333333333
ERICH1	-0.538875
APOA4	-1.6135
HOXA11	-1.44625
NARG1	0.415125
MKX	-0.051
RAB28	0.890357142857143
PKP3	1.043
SH3GL2	-2.39875
CTSO	4.16775
RPN2	0.5010625
IL28RA	-0.372
SFMBT1	0.3585
WDR57	-0.062375
FER1L3	0.276916666666667
HSF5	-0.1984
TTC9B	0.98275
C4BPA	-3.65316666666667
ALB	-4.82392857142857
SORBS3	0.034625
UPF2	0.1525
JPH1	1.649
AGBL2	-0.8865
DOPEY1	1.749
TERF1	1.06708333333333
KIF22	-1.4445
NINJ1	1.4795
SEC61A2	-1.46933333333333
HIST1H1D	-2.85016666666667
SFXN4	-0.286625
UCP3	0.00159999999999999
ZNF703	1.50533333333333
MYL6B	-0.56075
TREM1	3.75725
OR52E6	0.396
CKMT2	1.58825
HLA-C	2.51675
SLC13A3	-1.43316666666667
TIMP4	-0.33675
SLIT2	3.0315
RSF1	0.124444444444444
LONRF1	-0.821571428571429
MON1A	-0.1105
CACNG6	-2.0455
DPPA4	-5.48666666666667
ZSWIM3	-0.226
ZNF804A	0.525166666666667
CCIN	2.74325
SLC25A31	0.82325
KCNMB4	0.957
RABL5	0.963875
GALNS	-0.6285
STX6	-0.372375
HIST1H1C	-2.973
CIDEB	-0.553125
CASP4	0.1185
PDK3	0.428
KCNJ11	0.2375
TPR	-0.641625
ZSCAN20	0.1345
MTX2	0.23775
HIST1H2BH	-1.217
LOC283767	1.781
LYRM7	-0.549611111111111
BRD3	-1.9505
HIST1H2BO	-1.338
MAGEB10	0.3465
SLC45A1	0.0935
SERPINA3	2.88985
KIAA0143	2.19025
KCNJ16	0.754333333333333
KRT79	-0.0395
FABP2	-1.037
NUT	-0.0855
ZNF57	0.18525
FBXL4	1.180375
CLEC9A	1.793
UGT8	-1.4535
BMP2K	0.55575
MAPK4	-3.30225
SLC25A23	0.0162
HINT1	0.136
KRTAP13-1	-0.4175
SFXN5	-0.4131
CHCHD2	0.74475
FAM3D	1.34
NDP	-1.361875
RHOBTB1	-0.660333333333333
SLC4A4	-1.23642857142857
RPL38	-0.203
HTF9C	-0.8595
AP2A2	0.7775
ZBTB46	-1.4125
MAP7D1	0.11125
AOX1	-0.585833333333333
CYR61	1.35016666666667
DTNA	-0.400642857142857
JRKL	0.73525
TMOD3	0.05275
EEA1	0.1163
ADCK5	0.722
IL1R1	2.12533333333333
KLK3	0.421857142857143
HRSP12	1.38175
KTN1	0.28825
LOH11CR2A	1.509
RELL2	-1.13475
MAB21L1	1.46875
C20orf59	-1.36766666666667
PHKB	2.54725
ADAM2	-3.0765
TBC1D8B	2.20083333333333
FAM13A1	-0.9810625
LAPTM4B	1.32316666666667
LCN8	-0.09
TMEM147	1.4095
SYT4	0.252
XPO7	-1.339
C9orf62	-0.22375
GPR75	0.1115
TRIM5	0.021125
APOC1	1.401
RNASE4	1.36833333333333
PARD6B	-1.42625
ARID1A	-0.573416666666667
TPD52L3	0.535
RRAGB	2.02566666666667
RCN2	-0.7275
HIST2H2BE	-1.2344375
STARD7	-0.275
SHMT2	-1.74225
KIAA1751	-0.6635
MLYCD	0.0855
LOC162632	-0.8016
UQCRH	-1.27525
RP11-217H1.1	0.3905
SDHA	-1.69933333333333
NCLN	-0.5555
ZNF17	1.00466666666667
RCBTB2	-0.5695
VEGFB	-0.1898
RP4-747L4.3	1.3115
COLQ	-0.0277
MPN2	-1.33616666666667
DRG2	-0.43725
KLRB1	6.255
ALPK2	-1.69875
DNASE2B	2.7495
FLJ23834	-0.543666666666667
AXUD1	-0.145666666666667
SAFB	-0.9127
NSUN4	-0.54525
RFX2	1.1875
MAPK8IP1	-0.0898333333333333
FANCD2	-0.398071428571429
ANKZF1	-1.76766666666667
C19orf50	-0.595625
DUSP8	0.56575
SENP5	-0.103125
NFKBIL2	-0.3485
LBR	-0.272125
IGFL1	1.2985
LZTS2	-0.814125
IL2RG	-0.59175
CCDC51	0.261
KLF3	0.336375
ANKRD37	-1.097
KCTD14	-1.61333333333333
FZR1	-0.150583333333333
SLC44A4	1.115
ESPL1	-1.336875
GMPR2	-0.0714
TBC1D19	0.208166666666667
ERGIC1	0.516888888888889
ERBB4	2.9851
TSPAN32	0.482583333333333
MAP4	-0.165
GPHN	-0.55575
SLC6A2	-0.41225
HIVEP1	0.86925
DFFB	-0.1823
EIF4EBP2	0.17825
DMRT1	-0.0295
HSPB6	0.07775
IER2	0.124
AIFM1	-0.402
WWC2	-0.338
MRPL4	-0.938
FLJ21062	0.428333333333333
EPB41L4A	-0.0584166666666667
SH2D6	-0.18025
TAF4B	-1.172
GAL3ST3	-0.536
MALT1	-0.858166666666667
RTDR1	0.19025
ARVCF	-0.36425
MEX3B	0.0275
FBXO16	1.10175
KIF7	-1.454
C1QC	4.71033333333333
ZNF783	-0.389166666666667
ZNF85	0.44075
MMP13	7.2495
KIAA0329	0.387125
RTP3	-2.126
ZBED3	0.0875
CLGN	-4.5505
SLC25A37	-2.03258333333333
hCG_18290	0.20825
OR5AS1	-0.292
SMARCC2	-0.3115
FAM109A	-0.500166666666667
CCDC12	-0.077
USF2	0.601
DEPDC7	0.1855
C20orf24	-0.528833333333333
JMJD3	-0.187
DSP	1.3545
SLIC1	1.02275
FAM20A	2.3765
IRF2BP2	-0.721375
ZNF230	1.115
MSN	-0.0479285714285714
SLC9A5	-1.892
EPDR1	-0.715
MUSK	0.372333333333333
ZNF434	0.00666666666666665
SMARCD1	-0.575333333333333
ZFP106	0.12275
