Hybridization REF	TCGA-BH-A18Q-01A-12R-A12D-07
USP42	0.31125
POLR2J	-1.402
SEC23IP	-0.4085
UQCRC1	-0.50775
LOC729603	0.23025
C1orf71	0.102875
POLG	-1.2935
ADAM23	-4.83475
TFR2	-1.251
RICTOR	-0.4201
MGC39606	1.362
C19orf55	-0.0271249999999999
SNAPC1	-2.09216666666667
GNA11	1.780875
CCDC52	-0.1235
FSIP1	-1.0015
UPF3A	0.996125
IGSF11	-1.48266666666667
LAGE3	0.60275
CHST6	-0.75
UNC13B	1.00975
TTLL4	1.08625
ZNF687	-0.312125
SDC2	0.7311
COX7A2	-0.07625
LAMB4	-0.54525
FAM24A	0.4585
LRRTM3	-1.5215
GPHB5	-0.19225
OR4C13	-0.3615
EIF3EIP	0.716928571428571
HABP4	-0.5665
TMEM125	3.19025
CNTN2	-0.358875
ASNSD1	-0.21925
FUT4	-0.049625
ACF	-4.2245
LOC158381	0.184
CDH8	-0.22625
AGPS	-1.46383333333333
C4orf18	-0.031625
PECI	-2.08941666666667
UNG	0.875625
GSTP1	-0.02175
DCUN1D5	-0.997333333333333
DKFZP564J0863	-1.44175
SLC9A3R1	-0.969875
BCDO2	-0.054
CHMP7	-0.318625
REM2	0.0975
DNHD1	-0.655875
FKBP4	0.22925
ZNF350	1.571
MGC11102	-0.812125
BST1	0.13475
KISS1R	0.7875
NCR2	-0.228
DEFB125	2.812
UBE2W	0.776375
KRT15	4.775625
C10orf99	0.025
SCN11A	-0.068625
GFI1	-1.906
RDHE2	3.72716666666667
FHL1	-2.193
OSGEP	-0.894166666666667
GATA1	-3.87266666666667
SMC6	-0.679
TTTY14	-1.27325
LPIN3	0.2455
RPL4	-0.263
RBPMS	1.304
PRPF3	0.435333333333333
EMR1	-2.8245
SPATA19	-0.195
XCR1	-0.1425
IRX3	2.3778
RBM6	-0.582
KLF4	-2.2379
UNC5CL	0.65625
SEBOX	-0.2185
BTK	-1.39375
KRCC1	0.87775
C6orf27	1.2035
SYTL5	-1.125
PRND	0.964875
LOC653319	-0.297
PIGL	-1.45225
HUS1	-0.728333333333333
SFRS6	-0.0360833333333333
C17orf77	0.1245
UIMC1	-0.735166666666667
FXYD2	-2.1853
LOC283152	0.565
ZNF667	2.628
ZCCHC12	-1.673
TFEC	3.4524
ATP7B	-1.57666666666667
POLD2	-0.779666666666667
RG9MTD1	0.462
ACOT2	-0.112
HIST1H4I	-0.463375
PPARGC1A	-1.2271
ETFA	-0.9505
POLRMT	-0.3405
ZNF146	0.392875
MIA2	-1.595
KLHL6	-1.50766666666667
HOXB5	0.733875
NENF	0.163166666666667
CUGBP1	-0.85625
PRSS22	2.142
CASC4	0.4818
CUL4B	0.0279
CENPJ	-0.9244
PITX1	-0.162166666666667
FLJ31033	-0.0311666666666667
CELSR3	-1.4695
ZNF568	0.43175
ITSN1	-0.532166666666667
EHBP1L1	-0.235
C19orf2	-0.2865
DCTN1	0.27325
LIN28B	-2.16833333333333
TNKS2	1.0445
C1QBP	-0.056875
CADPS2	0.50375
SRMS	0.411
GJA9	0.178333333333333
MGC24975	0.0228333333333333
TRIM45	0.0761666666666667
TSP50	0.19525
TCP1	-0.22
TMED7	-0.0967
CMA1	0.654
CENPL	0.380666666666667
PTCRA	-0.2685
FST	-2.84925
VWCE	-3.91625
PAWR	0.26425
ABCC12	-0.155833333333333
LDLR	-1.1964
ASTN2	-1.1644
LOC441212	-0.9625
GPATCH8	-0.4935
TANC2	-0.56825
KIF4A	-1.08125
C18orf18	-0.73
PGM1	-1.72425
KIAA0258	0.9625
CPD	-1.265875
SNCAIP	-2.9345
DCT	-4.8465
HLA-DOA	2.94068181818182
OR11L1	0.0425
UPK1B	-0.0456666666666667
DNAJB4	-0.116
UGT1A8	-0.959
HIST1H4L	1.058
PECR	-1.77966666666667
HSPA2	0.8015
WFIKKN1	-1.6945
SERP1	1.049125
SYDE2	0.28375
TACR2	0.845
NUP85	-0.4285
CD177	-0.0211666666666667
LGR5	-2.41633333333333
PIGG	-0.65075
PTHR1	-3.19016666666667
RAB5A	-0.0915
FLJ13224	0.0165
USP9Y	-2.7702
C7orf53	-0.882
LRP1B	-1.25366666666667
XAF1	2.9736
ABCG8	-0.218
ANKDD1A	-0.539166666666667
DAND5	-0.001
SPAG6	-0.00783333333333334
LINCR	3.2195
ZDHHC22	-1.686875
CCDC60	1.9205
THOC7	-1.19983333333333
TCTA	0.838
OR8K3	0.1055
NY-REN-7	-1.70466666666667
B2M	2.43016666666667
C6orf141	-0.31625
LPPR4	1.511
SQLE	-0.85175
SEPHS1	0.71075
BTBD14B	0.551142857142857
PLRG1	-0.32725
SPG7	-0.01825
ZNF614	-0.689666666666667
PARD6G	0.434666666666667
INPP5B	0.2389
GRPEL2	-0.611875
PPID	-1.1603
TRIM56	-0.27025
UBE2J1	0.193625
IL20RA	1.803
LOC387856	-0.072
C1orf107	1.3095
UTS2R	1.4305
C19orf22	0.256
SAFB2	0.410375
KIAA0652	0.348
KLRG1	-1.8955
MS4A8B	-0.397833333333333
FRAG1	-0.44925
KIAA1546	0.43675
E2F4	-0.2947
CLEC4M	0.160333333333333
BTBD14A	-1.78025
KIAA0999	0.1603
GYPA	-3.6295
TAC1	-1.3972
TRAIP	-1.06133333333333
KIAA0232	-0.6031
ERCC8	-1.15325
GPX4	0.05525
KIAA0368	-0.460375
GPR157	-0.710333333333333
CTAGE4	1.416
C9orf30	-1.147
OR52A1	0.6415
HSP90B3P	0.7555
ALG9	-0.7173
BTBD10	-0.11975
SDK2	0.28325
BAIAP3	-0.95475
RABGGTB	-0.578125
ANKRD40	0.2755
KRT74	0.159
CALCOCO2	0.317785714285714
SNCA	-3.6675
TMSL8	-0.23375
C2orf53	-0.221
ESRRB	-0.342
ARHGAP26	-0.731
TDRD9	-3.73975
HRAS	-0.123166666666667
KLRC4	-2.123
JAGN1	-0.124
BSDC1	0.17175
RNF43	0.9128
NDUFAF1	-0.24425
PHF12	-0.04875
OR1L3	0.436333333333333
FOLR2	1.98875
LYZL6	-0.208
tcag7.1260	-1.9205
WSB1	-1.5365
PROS1	-1.3136
OSTN	0.6225
PSMB8	2.059
SOCS4	-0.618625
DDIT4L	2.203
MAS1	-0.1415
MGC34796	-0.61925
CSHL1	0.6885
TBCCD1	1.04133333333333
ZBTB7C	0.058
AP2S1	-0.088125
P15RS	-0.2747
VAT1	-1.0868
SHANK3	1.4085
TUFM	0.506166666666667
THEG	-0.207
KRT34	-0.14025
SGSM3	1.11775
TOMM22	0.271875
SOCS3	0.758833333333333
CPO	0.576
POP4	0.30675
BHLHB3	0.055
MALL	3.23975
OR1B1	-0.00650000000000001
PARK2	1.135
GPR124	-0.69175
LCE1E	-0.536
RUVBL2	0.22325
CGRRF1	-0.8441
ACPL2	0.46025
WNT10B	-2.485375
BAIAP2L2	0.693125
ISCA1	-0.375
C1orf125	1.0215
RPAP1	-1.33
RAI16	0.0285
RPL27	-1.152125
NLRP9	-0.422
EPN1	0.445
LOC388610	-2.007125
SLC35A1	0.5349
GAL	-3.65575
SLC14A2	0.2055
RDH11	-1.34516666666667
FAM138F	-0.438
AUH	-0.95825
FLJ40243	-0.232
C14orf129	-0.776
MBD2	-0.191666666666667
ABHD14B	0.19675
PIGT	0.3775
ALS2CR4	0.01375
ALAS1	0.6924
FOXO1	0.3135
CRLF3	-0.017625
C20orf107	0.6875
FARS2	0.57475
CCDC28A	1.7795
NPHP3	0.59
OR13F1	0.437
TSEN54	0.03275
DEFB106B	-0.0327777777777778
OR8B4	-0.843
STH	-0.90675
ZC3H14	-0.3375
CBX2	-0.736
TMEM49	-1.34525
C6orf21	-0.2465
FLJ20920	-0.566
CRTAP	-0.449285714285714
DDX50	-0.096
STYXL1	-1.12575
BLVRB	-1.0285
LOC147650	1.65966666666667
MMP24	0.5245
GRID1	0.176333333333333
BANF1	0.5975
CTAGEP	0.0405
HMBS	-2.114
SLC25A24	-0.9705
C14orf50	0.52725
MRO	-0.315833333333333
SLC25A15	-0.60375
FAM84B	1.5267
TDP1	-0.9955
C16orf78	-0.583666666666667
C11orf57	0.006625
RFK	-1.536625
ZFYVE9	-0.087125
STCH	-0.7823
WIBG	0.22325
LOC283871	-1.15166666666667
GBA2	0.1211
NDUFB3	-1.03275
HSD17B13	-1.02375
GRIN3A	2.01183333333333
FMNL1	-0.425833333333333
SEPT7	-0.7965
GNLY	4.6545
GRAMD1C	1.84683333333333
ZNF165	0.71025
USP38	-0.60025
FAM83A	-4.22633333333333
C14orf24	0.65675
ARMCX3	0.3215
ARHGDIB	0.885166666666667
AK1	-0.67525
KIAA1045	0.779
DNAJB13	-0.427833333333333
NEU2	0.4525
HIST1H4B	0.8145
FAM20B	0.3868
HES2	-0.557571428571429
FAM73B	-0.3078
LOC388381	-0.0755
INTS7	0.325636363636364
AMPH	-0.114
ZNF775	-0.334375
UCKL1	0.185
C10orf97	-0.58
C1orf161	-0.8565
ALDH1L1	-1.467
FLJ39378	-0.495625
SLC23A1	-2.527
RBM4B	0.93175
THAP4	-0.2605
OGFRL1	2.904
KIAA0831	-0.539875
PPP1R15A	-0.214666666666667
C1orf96	0.612857142857143
C12orf11	-1.28925
BMF	1.39125
MAN1A1	-1.475125
KIAA1600	0.420833333333333
NLGN4X	-2.153
ALOX12	-1.27566666666667
RB1CC1	1.2505
NEIL2	-0.128
EIF4E	-0.641545454545455
ABHD5	-0.1865
EXOC4	-0.0605
CIP29	-0.194
BATF2	3.559
SLC29A4	-1.271875
HTR4	0.0625
EMB	-1.43775
TRAF6	-0.23075
LMNB1	-2.0105
FAM19A5	-1.6625
SHE	1.6685
PIK3C2B	-0.3855
C15orf15	-0.1308
USP15	-0.4691
TCEAL2	0.93175
C5orf39	0.417166666666667
PTGER2	-1.5835
SLC31A1	-0.370125
IFT172	-0.179
ADAM29	0.19
GFOD1	-1.32725
ST7L	0.496
C15orf26	-3.6655
PKN3	-1.13325
CNTD1	0.449333333333333
COMMD1	-0.190875
NTRK2	4.15233333333333
FOXN3	0.13025
MFGE8	3.8457
PFKFB2	1.167
TAS2R4	-0.7465
ENTHD1	0.389
PRMT5	-0.73975
MGC16384	-1.05725
LOC442229	-0.81075
TSKU	-0.716
KRTCAP3	2.8145
PDLIM1	0.587
KCNS2	0.389
RNF126	-0.097
CEP63	0.49875
CLIC4	1.30175
hCG_1990170	-0.011
ACR	2.4009
KLK7	5.3465
ALOX5AP	3.8655
RIPK3	1.78525
TAS2R9	0.0215
C19orf18	2.729
BIRC6	-0.606714285714286
ZNF16	1.3985
RFT1	-1.27225
SLC8A2	-0.60275
TACC1	0.580875
ITGAD	1.37425
SAMHD1	2.04675
SH3PXD2B	0.8986
EPC2	0.86325
C20orf85	0.3025
ATP13A2	-0.4115
KRT4	1.0845
CAPNS1	0.424
MDM2	-0.163083333333333
PCDH20	1.66125
KCNK9	0.2495
OR2C1	-0.981
KLHDC3	1.13366666666667
IPPK	-0.2505
EFHD2	-0.984875
GALR3	1.4
NBEA	-2.3705
ABCA6	3.3371
CLDN3	1.9575
AKT2	0.136785714285714
EGFR	-1.5903
RBM16	0.229
ZDHHC3	-0.4253
SLC25A4	-0.435166666666667
CYB5B	-0.919666666666667
CPXM1	-0.99225
NDRG1	1.35384615384615
FLJ43826	-0.29675
OR5L2	0.3735
FARP2	-0.6265
MRPL46	-0.357
LDHAL6B	-0.319
MAPKAPK3	-0.743833333333333
NCAM2	-4.75725
PRKD2	1.06033333333333
ZFP36L1	0.9472
CYSLTR1	-0.3235
OR4C3	0.36725
HIST1H2AJ	0.417
CCNB2	-1.02655555555556
ZNF10	0.38175
TMEM175	0.896
FAM134A	0.0825
TIGD4	-1.096
PCNP	0.81825
MGC39715	0.076
LQK1	-2.828
CREB1	0.1595
TMPRSS3	1.564
C4orf32	-0.359375
LAT	-1.06191666666667
KCNA3	-0.4835
SKIV2L2	-0.92975
ROPN1B	5.9495
tcag7.23	0.1075
CDT1	-0.8715
ZHX2	1.73975
CD28	-3.5215
ZNF624	0.23275
SEPT2	-0.511083333333333
SOHLH2	-1.184625
MCOLN3	1.464
UNQ1945	0.543
MASP2	-2.114
ZNRF3	-0.1666
GPATCH3	-0.148
AGL	1.23625
QRICH2	1.813
PSD4	-0.339333333333333
CCNB1IP1	-0.29125
ENPP7	-0.24125
OBFC1	-0.75825
KCNG3	-2.12
C14orf79	0.654416666666667
ENPEP	4.0915
SCT	0.551
SKI	1.212
SEC61G	-1.223
CAPN11	-0.04125
ATXN7L3	0.07
DBNDD1	0.622833333333333
FAIM	1.3585
ANKRD36	0.066
GABRP	5.37033333333333
TACSTD2	1.49333333333333
EIF3J	-0.52625
PPP2R2A	-0.75725
TEKT4	-0.583333333333333
PVALB	-4.00216666666667
F10	-3.38033333333333
FAM134C	0.7157
COMP	3.855875
EFCBP1	-3.3260625
SCLT1	1.038375
TAL1	-1.8839
ACSL1	1.36125
ABCC5	0.755583333333333
ABL1	-0.768888888888889
RBBP7	0.245166666666667
PTPRG	-0.953625
NCOR1	-0.3315
SPINK4	-3.259
TXNRD1	-0.7722
TNRC15	-0.0525
C9orf138	1.332875
UBE2H	-0.00899999999999997
BRDT	0.1785
C8orf31	-0.494
CCNE2	0.104727272727273
SLC6A8	-1.373125
CALCR	-5.22525
PPP1CB	0.667083333333333
ABHD8	0.46025
ARF5	-0.5062
SLC24A4	0.48475
CCT3	0.25375
ZNF121	0.38775
SLC3A2	-1.1215
OR13A1	0.314
SLC5A10	-0.851
RAD50	-0.361625
IER5	0.32775
MTHFD1L	0.076375
MBTPS2	-0.06925
MVK	-0.2765
NCL	-0.8111
PSMD10	-0.71525
MOBP	0.589
FLJ32894	1.8405
HRH1	-2.17216666666667
C5orf30	-0.80175
NUDT16L1	0.8465
RASGRP3	3.96166666666667
PRKRIP1	-1.1129
CCDC75	0.40625
LOC253970	0.133
KIAA1239	-0.386
MED21	-0.1185
SYT11	0.0849166666666667
NTSR2	1.032
EGFL11	0.433
CXorf59	1.191
OR2A25	-0.087
SPTBN2	-0.15925
LRMP	-1.82183333333333
RNF111	-0.3505
PTH	-0.816
LOC619208	1.56233333333333
KIAA0895	0.93225
RANBP5	0.177375
P2RY10	0.979166666666667
NME5	2.06833333333333
DDX21	-0.82475
LRSAM1	-0.254
HDAC11	1.141
VMO1	1.54725
NOLA2	-0.5815
ADAR	1.38625
MTO1	-0.505166666666667
SF4	0.712166666666667
P2RX1	-0.363166666666667
HBM	-0.25075
EN2	1.3735
C14orf172	-0.05175
TM9SF2	1.3748
INHBE	-1.342
TCTE3	0.0863333333333333
TOX2	-3.3405
CTAGE3	0.441625
HBB	3.2495
MED15	-0.194833333333333
CASR	0.35325
C6orf66	-0.4165
MTPN	0.1305
UNC50	-0.32875
C21orf33	0.1415
IRF2	0.558375
PGR	-3.3226
GPR84	3.6115
CROCCL1	-2.06525
SRPX	-3.1285
BRE	-0.2195
FGF10	-0.058
SDC3	0.524333333333333
ZRSR1	0.7345
DKFZP434P211	0.68425
SOX6	0.4885
RPUSD2	-0.54375
C14orf173	-0.539083333333333
MAPK11	-0.648166666666667
TBC1D22A	1.4245
FAM123A	4.7635
COL4A6	-2.85383333333333
TOMM70A	0.6985
NAB1	0.7255
MGC16385	0.467375
TSPAN18	-0.223
MED31	-1.49675
PLG	-0.49
CAPSL	1.558
ZNF532	1.1547
ASB14	0.362333333333333
CA8	1.57475
NUDT16P	0.7065
SLFN11	-1.4745
LRRIQ2	0.858375
NOL7	-0.287
BRMS1L	-0.627375
JARID1A	1.12916666666667
PANK2	-0.1175
ICAM3	-1.29225
MDS1	-1.23333333333333
TAF8	0.07675
RNF139	0.45625
ZNF594	0.353833333333333
ADAM8	1.207375
SFTPC	-0.536125
MAN2B2	0.415625
RGS12	0.6231875
EIF1AY	-4.99225
LRRIQ1	1.195
GPR150	1.426
CCDC21	-0.201666666666667
PRRG3	0.57775
SAA4	-1.38225
RAPGEF5	1.72775
ZCCHC2	0.452333333333333
MGC39372	0.847
PPP4R2	-1.11433333333333
CDCA2	-0.142
OR4D5	0.446
PTGFRN	0.5719
SIGLEC5	2.43416666666667
C19orf61	0.927166666666667
NMUR2	0.407
KIAA1586	-0.567333333333333
DAGLA	-0.0658333333333333
CHCHD6	0.79575
GPR32	-0.00650000000000001
NEUROD6	0.1055
SLC2A4RG	0.353
CA5B	0.09825
FBXL3	1.363
MPHOSPH9	-1.397
HMG2L1	0.43675
HCN4	0.933
CEACAM19	1.20775
SH2D4B	1.00816666666667
HFE2	-1.5245
TGM4	0.454666666666667
LYPD2	-0.50875
TBC1D15	0.47925
MRPS21	-0.1587
NONO	-0.7809
CLEC5A	2.487375
ITCH	0.4417
MGAT3	0.186333333333333
MBP	-0.152625
RPP25	0.22725
SOSTDC1	0.68025
HRC	-2.22425
TRIM48	0.126
TMEM133	0.30125
ECEL1P2	-2.45833333333333
HOXC11	1.422
DOK5	-0.407
HELZ	0.569166666666667
LOC348180	0.225
MGC33894	0.14275
ADRB3	-0.115
DMD	1.27991666666667
PTRH2	-0.40325
MPEG1	3.6715
NDUFA12	-0.00166666666666666
KRTAP2-4	-0.111
STAMBPL1	-1.62516666666667
ADCY2	2.6212
UNQ6125	-0.439
KLHL20	0.514
SRM	-1.2215
OTC	-0.31075
TMIE	0.1575
SNX8	0.771
LIPK	0.13
CHURC1	0.294
KLC2	0.1065
HDAC1	-0.451
FAM128A	-1.35966666666667
FNDC3B	1.1135
MTCP1	-0.0645
WFDC10B	0.0209
PCDHGB3	1.0745
ATRNL1	-0.4238
CAV2	-0.777125
MED26	0.3895
DUS1L	1.09675
CHRM3	0.83925
NEK9	-0.07025
WARS2	0.50125
TBX22	0.8415
TOMM40	-0.316
RP6-213H19.1	1.87833333333333
TUBGCP5	-0.89775
IGSF6	5.1795
TPPP	0.095
UNQ6190	-0.443
GSTM5	-0.16525
BTD	0.744333333333333
PDCD1LG2	0.861166666666667
SNRPB2	-0.0486666666666667
ERICH1	-0.333875
APOA4	-2.11625
HOXA11	-2.66925
NARG1	-1.235375
MKX	-1.57475
RAB28	-0.580142857142857
PKP3	0.43025
SH3GL2	-1.78625
CTSO	2.4425
RPN2	0.9485625
IL28RA	0.348
SFMBT1	0.20625
WDR57	-1.27525
FER1L3	0.744083333333333
HSF5	0.4996
TTC9B	-0.65625
C4BPA	1.02533333333333
ALB	-4.97507692307692
SORBS3	-0.822375
UPF2	0.5295
JPH1	0.262
AGBL2	-1.7115
DOPEY1	2.06
TERF1	-0.461166666666667
KIF22	0.113333333333333
NINJ1	-0.26625
SEC61A2	-0.52025
HIST1H1D	1.05716666666667
SFXN4	-0.751125
UCP3	0.6821
ZNF703	-0.107333333333333
MYL6B	-0.12725
TREM1	0.7295
OR52E6	0.268
CKMT2	2.12875
HLA-C	3.332625
SLC13A3	-0.157666666666667
TIMP4	-3.31025
SLIT2	0.53975
RSF1	0.513944444444444
LONRF1	-1.1815
MON1A	-0.863166666666667
CACNG6	-1.70066666666667
DPPA4	-5.64983333333333
ZSWIM3	0.5485
ZNF804A	0.828666666666667
CCIN	1.7915
SLC25A31	0.29775
KCNMB4	-2.1105
RABL5	-1.0775
GALNS	-0.0252
STX6	1.830875
HIST1H1C	1.00133333333333
CIDEB	0.548625
CASP4	0.212
PDK3	-0.6902
KCNJ11	-0.2725
TPR	0.636875
ZSCAN20	-0.4585
MTX2	-0.61875
HIST1H2BH	0.6745
LOC283767	-0.85075
LYRM7	-0.771555555555556
BRD3	-0.0496666666666667
HIST1H2BO	0.8145
MAGEB10	0.2965
SLC45A1	-0.111333333333333
SERPINA3	-0.60015
KIAA0143	1.25925
KCNJ16	-0.173666666666667
KRT79	0.465
FABP2	-1.84366666666667
NUT	-0.18125
ZNF57	-0.7555
FBXL4	0.77525
CLEC9A	1.449
UGT8	1.23383333333333
BMP2K	-0.7865
MAPK4	-0.0445
SLC25A23	-0.5938
HINT1	-0.0197
KRTAP13-1	-0.5535
SFXN5	-0.2175
CHCHD2	0.117
FAM3D	3.7835
NDP	-3.579
RHOBTB1	-0.0365
SLC4A4	-1.85675
RPL38	-0.2065
HTF9C	0.288
AP2A2	0.0965
ZBTB46	1.014
MAP7D1	0.1375
AOX1	-2.22666666666667
CYR61	1.9105
DTNA	1.672
JRKL	1.2645
TMOD3	-1.8075
EEA1	0.14
ADCK5	0.034
IL1R1	0.312333333333333
KLK3	0.396357142857143
HRSP12	0.31975
KTN1	-0.043
LOH11CR2A	-0.2921
RELL2	-0.296
MAB21L1	0.01575
C20orf59	-1.16866666666667
PHKB	0.26375
ADAM2	-3.11125
TBC1D8B	0.573166666666667
FAM13A1	-0.200375
LAPTM4B	0.79975
LCN8	0.2865
TMEM147	0.85
SYT4	-0.329666666666667
XPO7	-0.884
C9orf62	1.3305
GPR75	-0.6485
TRIM5	1.01825
APOC1	-2.15816666666667
RNASE4	-1.19683333333333
PARD6B	-1.965375
ARID1A	0.3545
TPD52L3	0.136
RRAGB	1.28183333333333
RCN2	0.263666666666667
HIST2H2BE	1.0396875
STARD7	-0.278
SHMT2	0.085
KIAA1751	-0.289
MLYCD	0.64375
LOC162632	-0.4376
UQCRH	-0.363
RP11-217H1.1	0.907125
SDHA	0.0566666666666667
NCLN	-0.1538
ZNF17	0.8675
RCBTB2	-1.4075
VEGFB	-0.8951
RP4-747L4.3	2.3375
COLQ	0.2692
MPN2	-1.1995
DRG2	-0.77425
KLRB1	5.238
ALPK2	-4.401
DNASE2B	1.483
FLJ23834	-0.162
AXUD1	0.115833333333333
SAFB	0.1974
NSUN4	-0.0305
RFX2	-1.1015
MAPK8IP1	-0.308666666666667
FANCD2	-0.411357142857143
ANKZF1	-1.43116666666667
C19orf50	-0.173
DUSP8	1.178125
SENP5	-0.2425
NFKBIL2	0.21025
LBR	-0.482375
IGFL1	-0.285
LZTS2	0.18125
IL2RG	-0.332
CCDC51	-0.5275
KLF3	0.401875
ANKRD37	-3.3775
KCTD14	2.4605
FZR1	0.562833333333333
SLC44A4	-3.1065
ESPL1	-0.4455
GMPR2	-0.8384
TBC1D19	-1.31916666666667
ERGIC1	-0.381074074074074
ERBB4	1.5942
TSPAN32	0.48675
MAP4	-0.098125
GPHN	-0.521
SLC6A2	1.258625
HIVEP1	0.69625
DFFB	-0.9002
EIF4EBP2	0.615375
DMRT1	4.12075
HSPB6	-0.477
IER2	1.19233333333333
AIFM1	-0.102
WWC2	-0.734
MRPL4	-0.34
FLJ21062	-1.00316666666667
EPB41L4A	-0.748916666666667
SH2D6	0.30625
TAF4B	1.0665
GAL3ST3	0.11
MALT1	-0.196166666666667
RTDR1	-0.02125
ARVCF	0.76725
MEX3B	0.219333333333333
FBXO16	-0.659
KIF7	-0.34975
C1QC	4.275
ZNF783	-1.06966666666667
ZNF85	-0.9215
MMP13	0.7785
KIAA0329	0.47525
RTP3	-1.256
ZBED3	0.15775
CLGN	-3.9965
SLC25A37	-0.443375
hCG_18290	-0.2465
OR5AS1	0.5235
SMARCC2	1.13266666666667
FAM109A	-0.529
CCDC12	-0.66925
USF2	1.1775
DEPDC7	-2.1445
C20orf24	-0.5175
JMJD3	0.746
DSP	1.66185714285714
SLIC1	1.020375
FAM20A	1.385875
IRF2BP2	0.526625
ZNF230	0.334
MSN	0.000500000000000008
SLC9A5	-2.361
EPDR1	-1.8389
MUSK	-0.62
ZNF434	0.414
SMARCD1	-0.6625
