Hybridization REF	TCGA-BH-A18S-11A-43R-A12D-07
LTBP4	0.316333333333333
SIRT6	-0.74025
CCL19	4.7675
PPIL1	-1.13416666666667
GBP7	0.0658333333333333
STK17A	-0.6764
ABR	0.971
OR9G1	0.0705
FOXE1	-0.1625
CNGA3	2.108
GML	0.219
CD38	-1.95325
ZDHHC6	-0.0126666666666667
NEFH	-2.5405
CTDSP2	0.756416666666667
PGBD5	-1.08683333333333
CCNY	0.0483571428571429
RMND5B	-0.12775
ZNF257	-2.01475
FLJ22167	-0.367375
EXOSC7	-0.1215
ROR2	0.090125
MAOA	3.29275
TNNT3	2.97566666666667
GYPC	0.26
C7orf33	0.5035
PLIN	4.778
LOC90826	0.356
RNF4	-0.4199
F8A1	0.3315
PLEKHG4	-0.693
GRB2	-0.30995
HIST1H2AD	-1.17775
DUS3L	-0.733166666666667
EIF1	0.444166666666667
RP5-1077B9.4	-1.209
FPGT	0.78875
GDF10	3.43616666666667
COQ9	-0.38925
GCC2	0.500285714285714
RARRES3	2.58075
PLXNA1	-0.2459
KIAA0100	-0.3337
PMF1	-0.76175
FNDC1	3.04125
HS2ST1	-0.323083333333333
CRELD2	0.0485
C8G	-1.7965
CD82	0.767
LIM2	-1.763
UNQ6490	-1.036
MMP16	-0.65675
DRD3	0.01375
C5orf26	0.7455
C11orf73	0.16675
PTP4A2	0.34075
OR4M2	-1.979
HPCA	-1.53066666666667
SEC14L1	0.1945
CHFR	-0.541
EMILIN1	0.391875
NDUFS4	0.13125
COL18A1	-0.371875
PDZD3	0.6623
C9orf16	-0.374
ERBB2IP	0.1765
EMX2	3.55075
FUS	-1.59075
TF	-1.744
CLCN4	0.218666666666667
CXorf56	0.89225
C11orf72	0.54225
ELAC2	-0.713833333333333
NPR1	1.40075
ASS1	-0.3105
USP42	-0.071375
POLR2J	-0.708
SEC23IP	0.0463333333333333
UQCRC1	-0.83025
LOC729603	-0.9405
C1orf71	-0.26925
POLG	-2.8935
ADAM23	-3.6295
TFR2	-1.50125
RICTOR	-0.5073
MGC39606	1.10875
C19orf55	-0.40375
SNAPC1	-0.610333333333333
GNA11	0.5325
CCDC52	-0.2065
FSIP1	1.8455
UPF3A	-0.04
IGSF11	-2.117
LAGE3	-1.26425
CHST6	-1.1775
UNC13B	0.45225
TTLL4	-1.119
ZNF687	-0.5205
SDC2	0.5249
COX7A2	-0.738
LAMB4	-0.84175
FAM24A	0.228
LRRTM3	-1.697
GPHB5	0.5605
OR4C13	-0.38
EIF3EIP	0.781214285714286
HABP4	0.283
TMEM125	2.6935
CNTN2	1.111125
ASNSD1	-0.02425
FUT4	-0.36825
ACF	-3.51225
LOC158381	1.0165
CDH8	-0.399
AGPS	-0.667
C4orf18	2.97675
PECI	0.287916666666667
UNG	-0.76425
GSTP1	-0.055125
DCUN1D5	-1.01766666666667
DKFZP564J0863	-1.05175
SLC9A3R1	-0.331625
BCDO2	0.3785
CHMP7	-0.49475
REM2	-0.7855
DNHD1	-0.32425
FKBP4	-1.6635
ZNF350	1.36625
MGC11102	-0.20375
BST1	1.883
KISS1R	0.8505
NCR2	0.387
DEFB125	-1.1805
UBE2W	0.530125
KRT15	4.3695
C10orf99	0.346
SCN11A	0.943625
GFI1	-1.9825
RDHE2	2.75816666666667
FHL1	3.36716666666667
OSGEP	0.229833333333333
GATA1	-3.37533333333333
SMC6	-1.5685
TTTY14	-1.10525
LPIN3	0.00799999999999998
RPL4	0.201
RBPMS	0.5177
PRPF3	-1.18883333333333
EMR1	-1.7725
SPATA19	-0.11625
XCR1	0.6775
IRX3	1.7408
RBM6	-0.217
KLF4	2.0699
UNC5CL	-0.47875
SEBOX	0.567
BTK	-0.157
KRCC1	1.74425
C6orf27	0.5955
SYTL5	-0.901
PRND	2.7025
LOC653319	-1.098
PIGL	-0.7015
HUS1	-0.619166666666667
SFRS6	0.39325
C17orf77	0.1785
UIMC1	0.198
FXYD2	-1.3182
LOC283152	0.49325
ZNF667	-0.15
ZCCHC12	-1.16675
TFEC	3.4616
ATP7B	-0.355333333333333
POLD2	-2.1655
RG9MTD1	0.11425
ACOT2	1.05666666666667
HIST1H4I	-1.9085
PPARGC1A	-0.6882
ETFA	-0.3294
POLRMT	-0.71975
ZNF146	-0.42575
MIA2	-3.2135
KLHL6	1.33733333333333
HOXB5	0.357
NENF	0.415166666666667
CUGBP1	-0.7465
PRSS22	1.47483333333333
CASC4	0.9556
CUL4B	-0.0588
CENPJ	-1.8985
PITX1	-2.37583333333333
FLJ31033	-0.260666666666667
CELSR3	-2.35333333333333
ZNF568	1.223
ITSN1	0.5765
EHBP1L1	-0.808166666666667
C19orf2	-0.6925
DCTN1	-0.73025
LIN28B	-5.15133333333333
TNKS2	0.08825
C1QBP	-0.524
CADPS2	1.6905
SRMS	-0.0835
GJA9	0.272
MGC24975	-1.031
TRIM45	-1.01483333333333
TSP50	0.80925
TCP1	-1.4095
TMED7	-0.1229
CMA1	1.2585
CENPL	-2.49316666666667
PTCRA	0.584
FST	-2.79225
VWCE	-1.6455
PAWR	-0.4335
ABCC12	0.643166666666667
LDLR	-0.7167
ASTN2	0.4728
LOC441212	-0.763
GPATCH8	-0.36975
TANC2	-1.0445
KIF4A	-3.60025
C18orf18	-0.2625
PGM1	0.01825
KIAA0258	0.5665
CPD	0.6035
SNCAIP	0.16325
DCT	-4.10366666666667
HLA-DOA	2.87540909090909
OR11L1	0.7425
UPK1B	-0.447833333333333
DNAJB4	1.80525
UGT1A8	-0.56275
HIST1H4L	-2.0075
PECR	-0.173666666666667
HSPA2	1.5885
WFIKKN1	-2.1685
SERP1	0.674125
SYDE2	-0.2125
TACR2	1.2755
NUP85	-0.8085
CD177	-0.468833333333333
LGR5	-2.21933333333333
PIGG	-0.335833333333333
PTHR1	0.547833333333333
RAB5A	0.61
FLJ13224	-0.2175
USP9Y	-2.3955
C7orf53	0.0825
LRP1B	2.33725
XAF1	1.4395
ABCG8	-0.343
ANKDD1A	1.251
DAND5	-0.905
SPAG6	2.17816666666667
LINCR	1.905
ZDHHC22	-1.03
CCDC60	-0.432
THOC7	-1.43066666666667
TCTA	0.6398
OR8K3	0.23325
NY-REN-7	-0.5765
B2M	2.15183333333333
C6orf141	-1.554875
LPPR4	2.996
SQLE	-3.34375
SEPHS1	-0.668
BTBD14B	0.199214285714286
PLRG1	0.0695
SPG7	-0.7589375
ZNF614	0.0431666666666667
PARD6G	1.22066666666667
INPP5B	-1.1072
GRPEL2	-0.442
PPID	-0.1984
TRIM56	-0.3675
UBE2J1	0.104
IL20RA	5.57775
LOC387856	-0.00175000000000003
C1orf107	0.175416666666667
UTS2R	0.50575
C19orf22	-0.73
SAFB2	-0.29025
KIAA0652	-0.773
KLRG1	0.699333333333333
MS4A8B	0.446666666666667
FRAG1	0.066
KIAA1546	0.087
E2F4	-1.1854
CLEC4M	0.795666666666667
BTBD14A	-0.439
KIAA0999	1.4975
GYPA	-3.9005
TAC1	4.0118
TRAIP	-2.22866666666667
KIAA0232	1.0183
ERCC8	-1.308375
GPX4	0.977375
KIAA0368	0.313875
GPR157	-0.864666666666667
CTAGE4	0.476
C9orf30	-1.28916666666667
OR52A1	-0.101
HSP90B3P	-0.416
ALG9	-0.2412
BTBD10	0.491
SDK2	-0.20775
BAIAP3	-0.911
RABGGTB	-0.5925
ANKRD40	0.000666666666666667
KRT74	0.495
CALCOCO2	0.678571428571429
SNCA	-0.78125
TMSL8	-3.6875
C2orf53	0.7765
ESRRB	-0.36025
ARHGAP26	-0.5985
TDRD9	-0.6935
HRAS	-0.466666666666667
KLRC4	-1.794
JAGN1	-0.304666666666667
BSDC1	0.85825
RNF43	-0.0434
NDUFAF1	0.847
PHF12	-0.13675
OR1L3	-0.10475
FOLR2	2.60033333333333
LYZL6	0.231833333333333
tcag7.1260	0.0205
WSB1	-0.211833333333333
PROS1	1.04
OSTN	0.225
PSMB8	0.7705
SOCS4	0.011875
DDIT4L	2.75125
MAS1	0.0875
MGC34796	0.31125
CSHL1	0.748833333333333
TBCCD1	0.0415
ZBTB7C	-0.3205
AP2S1	-1.009125
P15RS	-0.4081
VAT1	-0.4035
SHANK3	1.7385
TUFM	-1.087
THEG	0.817
KRT34	-1.84975
SGSM3	-0.072375
TOMM22	-0.685375
SOCS3	3.57666666666667
CPO	1.71
POP4	0.13275
BHLHB3	2.813
MALL	2.83275
OR1B1	0.378
PARK2	0.810333333333333
GPR124	0.933375
LCE1E	-0.3355
RUVBL2	-1.51325
CGRRF1	0.8761
ACPL2	-0.01875
WNT10B	-1.087
BAIAP2L2	-1.81375
ISCA1	0.7395
C1orf125	0.448625
RPAP1	-0.21475
RAI16	0.403333333333333
RPL27	0.141375
NLRP9	0.457
EPN1	-0.936
LOC388610	-0.599125
SLC35A1	0.8255
GAL	-3.38875
SLC14A2	0.38925
RDH11	-1.10216666666667
FAM138F	-0.116
AUH	0.9615
FLJ40243	0.03175
C14orf129	0.000333333333333334
MBD2	-0.475
ABHD14B	0.035
PIGT	-0.345
ALS2CR4	0.4655
ALAS1	0.3002
FOXO1	2.5675
CRLF3	0.1445
C20orf107	0.25
FARS2	0.51825
CCDC28A	1.45975
NPHP3	0.38425
OR13F1	0.4945
TSEN54	-1.19625
DEFB106B	0.3049
OR8B4	-0.00649999999999999
STH	-0.011
ZC3H14	-0.455875
CBX2	0.8755
TMEM49	-0.09625
C6orf21	0.396
FLJ20920	0.491625
CRTAP	0.587714285714286
DDX50	0.36625
STYXL1	-0.61875
BLVRB	0.198
LOC147650	0.418166666666667
MMP24	0.71975
GRID1	1.99683333333333
BANF1	-1.5655
CTAGEP	-0.34125
HMBS	-2.1245
SLC25A24	0.421833333333333
C14orf50	1.501
MRO	1.24683333333333
SLC25A15	-1.36725
FAM84B	0.6686
TDP1	-1.1845
C16orf78	0.0386666666666667
C11orf57	-0.423375
RFK	-0.803
ZFYVE9	-0.318875
STCH	-1.1616
WIBG	-0.13175
LOC283871	-1.16383333333333
GBA2	-0.8058
NDUFB3	-0.28425
HSD17B13	3.81025
GRIN3A	1.57466666666667
FMNL1	-1.617
SEPT7	-0.3306
GNLY	3.5715
GRAMD1C	2.18683333333333
ZNF165	0.59525
USP38	0.09625
FAM83A	-3.9495
C14orf24	1.10666666666667
ARMCX3	1.063125
ARHGDIB	0.1275
AK1	0.117125
KIAA1045	0.95875
DNAJB13	-0.202
NEU2	0.5425
HIST1H4B	-1.79333333333333
FAM20B	-0.6908
HES2	1.53642857142857
FAM73B	-0.8162
LOC388381	0.9775
INTS7	-1.30327272727273
AMPH	0.16975
ZNF775	-0.186875
UCKL1	-0.889166666666667
C10orf97	0.63925
C1orf161	0.0905
ALDH1L1	3.517
FLJ39378	-0.22975
SLC23A1	-2.5685
RBM4B	-0.1685
THAP4	-0.203166666666667
OGFRL1	1.123
KIAA0831	0.19675
PPP1R15A	1.13416666666667
C1orf96	-0.594857142857143
C12orf11	-2.2595
BMF	0.4875
MAN1A1	0.416125
KIAA1600	1.02833333333333
NLGN4X	2.00675
ALOX12	-1.646
RB1CC1	-0.01
NEIL2	0.9578
EIF4E	0.144
ABHD5	0.65525
EXOC4	-0.686333333333333
CIP29	0.282666666666667
BATF2	0.52375
SLC29A4	0.573875
HTR4	0.84875
EMB	-0.72375
TRAF6	0.93225
LMNB1	-4.62675
FAM19A5	-1.1455
SHE	3.1855
PIK3C2B	1.93675
C15orf15	0.1864
USP15	0.3083
TCEAL2	4.2695
C5orf39	0.1495
PTGER2	0.07725
SLC31A1	-0.362125
IFT172	0.88875
ADAM29	0.03175
GFOD1	1.84225
ST7L	0.6905
C15orf26	-2.98525
PKN3	-0.99925
CNTD1	2.32466666666667
COMMD1	0.53875
NTRK2	4.82216666666667
FOXN3	1.482125
MFGE8	-0.2829
PFKFB2	0.441833333333333
TAS2R4	-0.32575
ENTHD1	-0.302
PRMT5	-1.41225
MGC16384	-1.4885
LOC442229	-0.10825
TSKU	0.47775
KRTCAP3	2.324625
PDLIM1	1.2251
KCNS2	0.2345
RNF126	-0.342166666666667
CEP63	0.012
CLIC4	-0.057625
hCG_1990170	4.00575
ACR	1.4538
KLK7	6.17
ALOX5AP	3.74875
RIPK3	4.082
TAS2R9	0.3435
C19orf18	1.8435
BIRC6	0.189857142857143
ZNF16	0.487
RFT1	-0.6385
SLC8A2	-0.5585
TACC1	1.096625
ITGAD	2.33875
SAMHD1	1.42075
SH3PXD2B	0.619
EPC2	1.03875
C20orf85	0.352875
ATP13A2	-0.731
KRT4	0.4365
CAPNS1	-0.8195
MDM2	-0.201833333333333
PCDH20	0.45
KCNK9	0.182
OR2C1	0.727
KLHDC3	-1.38183333333333
IPPK	0.266
EFHD2	0.298375
GALR3	0.45375
NBEA	0.7385
ABCA6	4.8576
CLDN3	0.9265
AKT2	-0.514
EGFR	0.834
RBM16	0.33775
ZDHHC3	0.469
SLC25A4	0.0836666666666667
CYB5B	-0.239333333333333
CPXM1	0.3355
NDRG1	-0.219230769230769
FLJ43826	0.24725
OR5L2	0.0812
FARP2	-0.0446
MRPL46	-0.0754166666666667
LDHAL6B	0.5195
MAPKAPK3	-0.865833333333333
NCAM2	-1.4225
PRKD2	0.0708333333333333
ZFP36L1	2.189
CYSLTR1	0.03575
OR4C3	0.17875
HIST1H2AJ	1.449
CCNB2	-3.76122222222222
ZNF10	0.684625
TMEM175	0.6535
FAM134A	0.0676666666666667
TIGD4	-0.183
PCNP	0.1505
MGC39715	-0.737666666666667
LQK1	-0.4495
CREB1	0.2543
TMPRSS3	0.6495
C4orf32	2.537125
LAT	-1.3565
KCNA3	-1.601
SKIV2L2	-0.9155
ROPN1B	2.5595
tcag7.23	0.091
CDT1	-3.61475
ZHX2	0.772125
CD28	-1.225
ZNF624	0.65175
SEPT2	0.0594166666666667
SOHLH2	-1.20525
MCOLN3	-0.32825
UNQ1945	0.539
MASP2	0.1265
ZNRF3	-0.3136
GPATCH3	-0.43375
AGL	0.386625
QRICH2	0.0135
PSD4	0.198833333333333
CCNB1IP1	-1.22475
ENPP7	0.3425
OBFC1	0.22425
KCNG3	-2.94275
C14orf79	0.02625
ENPEP	1.83083333333333
SCT	-0.5885
SKI	0.949
SEC61G	-1.41525
CAPN11	1.04525
ATXN7L3	-0.93075
DBNDD1	-1.39983333333333
FAIM	0.6905
ANKRD36	-0.609
GABRP	4.74766666666667
TACSTD2	2.63483333333333
EIF3J	-0.5605
PPP2R2A	-0.46325
TEKT4	0.153666666666667
PVALB	-2.54783333333333
F10	-1.85833333333333
FAM134C	0.7695
COMP	3.378375
EFCBP1	-0.742
SCLT1	0.019875
TAL1	-0.4868
ACSL1	3.82875
ABCC5	-0.28
ABL1	-0.812611111111111
RBBP7	0.08125
PTPRG	-0.532
NCOR1	-0.0691
SPINK4	-2.54183333333333
TXNRD1	-1.4484
TNRC15	-0.050375
C9orf138	1.085625
UBE2H	0.425
BRDT	1.06816666666667
C8orf31	-0.301
CCNE2	-3.46809090909091
SLC6A8	-1.93725
CALCR	-3.9905
PPP1CB	1.49283333333333
ABHD8	-0.9045
ARF5	-0.14
SLC24A4	1.22025
CCT3	-1.137
ZNF121	-0.402375
SLC3A2	-1.2725
OR13A1	0.1355
SLC5A10	0.6545
RAD50	-0.804875
IER5	0.457625
MTHFD1L	-1.9355
MBTPS2	-0.0315
MVK	-0.986375
NCL	-0.0504
PSMD10	-0.39125
MOBP	0.201375
FLJ32894	0.5265
HRH1	-0.0115
C5orf30	0.6475
NUDT16L1	-0.0011
RASGRP3	3.832
PRKRIP1	-0.635
CCDC75	0.97675
LOC253970	0.17425
KIAA1239	2.4635
MED21	0.00175
SYT11	0.0765833333333333
NTSR2	0.026
EGFL11	1.173
CXorf59	0.266
OR2A25	0.432
SPTBN2	-1.45875
LRMP	0.141333333333333
RNF111	0.0295
PTH	1.1955
LOC619208	0.819333333333333
KIAA0895	0.5755
RANBP5	-0.94275
P2RY10	0.6965
NME5	4.07483333333333
DDX21	-0.529
LRSAM1	-0.717
HDAC11	0.0265
VMO1	2.025
NOLA2	-0.8275
ADAR	-0.401333333333333
MTO1	-0.917
SF4	-0.0776666666666667
P2RX1	1.01883333333333
HBM	1.285
EN2	0.547
C14orf172	-0.08425
TM9SF2	0.3417
INHBE	-1.18066666666667
TCTE3	0.382083333333333
TOX2	-1.4045
CTAGE3	-0.763375
HBB	4.599
MED15	-1.04966666666667
CASR	0.0895
C6orf66	-0.6185
MTPN	-0.838875
UNC50	0.627
C21orf33	0.6165
IRF2	0.953625
PGR	-0.370333333333333
GPR84	1.6675
CROCCL1	-0.94125
SRPX	1.2
BRE	-0.336333333333333
FGF10	3.9925
SDC3	1.23566666666667
ZRSR1	0.276
DKFZP434P211	-0.212
SOX6	0.9425
RPUSD2	-0.4535
C14orf173	-0.00283333333333332
MAPK11	0.247833333333333
TBC1D22A	0.623
FAM123A	-0.8
COL4A6	-0.502666666666667
TOMM70A	-0.20875
NAB1	1.038
MGC16385	-0.43225
TSPAN18	-0.737833333333333
MED31	-0.49575
PLG	-0.52575
CAPSL	0.162
ZNF532	1.2694
ASB14	0.58375
CA8	0.26575
NUDT16P	1.40416666666667
SLFN11	-0.595
LRRIQ2	-1.293
NOL7	-0.314166666666667
BRMS1L	-0.119875
JARID1A	0.294
PANK2	-0.61025
ICAM3	-0.6345
MDS1	0.683
TAF8	-0.6005
RNF139	0.33125
ZNF594	-0.0681666666666667
ADAM8	2.603125
SFTPC	-0.077875
MAN2B2	0.82825
RGS12	0.3216875
EIF1AY	-4.32775
LRRIQ1	0.391666666666667
GPR150	0.411
CCDC21	-2.04683333333333
PRRG3	1.071
SAA4	1.30175
RAPGEF5	1.68425
ZCCHC2	0.61225
MGC39372	-0.2875
PPP4R2	-0.417166666666667
CDCA2	-3.3625
OR4D5	-0.189833333333333
PTGFRN	-0.3022
SIGLEC5	2.20433333333333
C19orf61	-0.904833333333333
NMUR2	0.2495
KIAA1586	-1.10066666666667
DAGLA	0.437666666666667
CHCHD6	0.076
GPR32	0.1925
NEUROD6	0.151833333333333
SLC2A4RG	-0.11975
CA5B	0.7175
FBXL3	1.43675
MPHOSPH9	-2.31325
HMG2L1	-0.571
HCN4	0.288
CEACAM19	1.04275
SH2D4B	0.425666666666667
HFE2	-1.087
TGM4	0.117
LYPD2	0.24
TBC1D15	0.48
MRPS21	-0.1167
NONO	-1.2236
CLEC5A	1.34475
ITCH	0.2271
MGAT3	1.09166666666667
MBP	0.248125
RPP25	-1.444
SOSTDC1	3.76775
HRC	-0.2325
TRIM48	0.781
TMEM133	1.21825
ECEL1P2	-1.76125
HOXC11	-0.8005
DOK5	0.52225
HELZ	0.361333333333333
LOC348180	-1.02825
MGC33894	0.435
ADRB3	0.154
DMD	1.911
PTRH2	-0.369
MPEG1	3.62083333333333
NDUFA12	-0.283166666666667
KRTAP2-4	0.630583333333333
STAMBPL1	-0.708833333333333
ADCY2	0.4105
UNQ6125	0.277
KLHL20	-0.0325000000000001
SRM	-1.637
OTC	0.349
TMIE	1.2815
SNX8	-0.11175
LIPK	1.0625
CHURC1	0.0865
KLC2	0.327666666666667
HDAC1	-0.891166666666667
FAM128A	-0.315333333333333
FNDC3B	-0.0899
MTCP1	-0.0643333333333333
WFDC10B	0.3009
PCDHGB3	0.866
ATRNL1	-0.8789
CAV2	2.652875
MED26	-0.041
DUS1L	-0.44425
CHRM3	-1.056875
NEK9	0.29325
WARS2	-0.383
TBX22	0.7555
TOMM40	-1.6125
RP6-213H19.1	-1.06266666666667
TUBGCP5	-0.49325
IGSF6	5.768
TPPP	0.959166666666667
UNQ6190	-0.9845
GSTM5	1.81875
BTD	0.704333333333333
PDCD1LG2	0.634166666666667
SNRPB2	-0.470833333333333
ERICH1	0.13225
APOA4	-1.23025
HOXA11	-2.21675
NARG1	0.01125
MKX	-0.0925
RAB28	0.597142857142857
PKP3	0.70675
SH3GL2	-2.1055
CTSO	3.55225
RPN2	-0.4341875
IL28RA	0.708166666666667
SFMBT1	0.10875
WDR57	-0.453875
FER1L3	0.938083333333333
HSF5	0.638333333333333
TTC9B	0.28525
C4BPA	-0.987666666666667
ALB	-3.19264285714286
SORBS3	0.517125
UPF2	0.154
JPH1	-1.6245
AGBL2	1.07025
DOPEY1	2.5175
TERF1	-0.3365
KIF22	-1.456
NINJ1	0.54025
SEC61A2	-0.87075
HIST1H1D	-2.49516666666667
SFXN4	-0.28125
UCP3	0.1758
ZNF703	0.494666666666667
MYL6B	-0.56675
TREM1	3.03675
OR52E6	0.277
CKMT2	4.462
HLA-C	1.648875
SLC13A3	-1.278
TIMP4	3.82525
SLIT2	2.88475
RSF1	-0.182055555555556
LONRF1	0.0955
MON1A	-0.185333333333333
CACNG6	-1.51333333333333
DPPA4	-5.24416666666667
ZSWIM3	-0.29725
ZNF804A	0.110333333333333
CCIN	1.634
SLC25A31	-0.256
KCNMB4	0.377
RABL5	0.06075
GALNS	-1.0207
STX6	-0.237625
HIST1H1C	-2.67833333333333
CIDEB	-0.211125
CASP4	1.7625
PDK3	-0.7769
KCNJ11	-0.355
TPR	-0.523
ZSCAN20	-0.2305
MTX2	-0.188
HIST1H2BH	-1.29175
LOC283767	3.00975
LYRM7	-0.895055555555556
BRD3	-0.38
HIST1H2BO	-1.595
MAGEB10	1.043
SLC45A1	0.48225
SERPINA3	1.4235
KIAA0143	0.883
KCNJ16	5.19316666666667
KRT79	-0.35925
FABP2	-1.096
NUT	-0.651
ZNF57	-0.323
FBXL4	0.1195
CLEC9A	1.884
UGT8	0.8125
BMP2K	0.98275
MAPK4	-2.013
SLC25A23	-1.2438
HINT1	-0.4422
KRTAP13-1	0.8335
SFXN5	-0.3941
CHCHD2	0.0369166666666667
FAM3D	4.084
NDP	-0.048125
RHOBTB1	-0.300833333333333
SLC4A4	0.33375
RPL38	0.15975
HTF9C	-0.7
AP2A2	0.26525
ZBTB46	-0.571
MAP7D1	0.9145
AOX1	0.374333333333333
CYR61	3.29133333333333
DTNA	-0.239
JRKL	0.76425
TMOD3	-0.6255
EEA1	0.4028
ADCK5	-0.5565
IL1R1	2.57033333333333
KLK3	0.626642857142857
HRSP12	-0.05125
KTN1	0.44675
LOH11CR2A	1.6197
RELL2	-1.984
MAB21L1	2.3285
C20orf59	-1.11766666666667
PHKB	0.107
ADAM2	-2.41216666666667
TBC1D8B	1.05616666666667
FAM13A1	0.2348125
LAPTM4B	-1.06525
LCN8	-0.099
TMEM147	0.0125
SYT4	0.438166666666667
XPO7	-1.235
C9orf62	0.63425
GPR75	0.496
TRIM5	-0.13125
APOC1	2.94466666666667
RNASE4	2.23416666666667
PARD6B	-1.698375
ARID1A	-0.52475
TPD52L3	0.0863333333333333
RRAGB	1.0025
RCN2	-0.7015
HIST2H2BE	-1.176
STARD7	-0.726
SHMT2	-1.9305
KIAA1751	0.8755
MLYCD	0.528375
LOC162632	-0.2156
UQCRH	-1.31025
RP11-217H1.1	0.0521875
SDHA	-1.44066666666667
NCLN	-0.8144
ZNF17	0.154666666666667
RCBTB2	-0.367
VEGFB	0.6312
RP4-747L4.3	1.13775
COLQ	0.3767
MPN2	0.0455
DRG2	-0.6285
KLRB1	5.80475
ALPK2	-3.44725
DNASE2B	2.53475
FLJ23834	-0.673833333333333
AXUD1	2.99183333333333
SAFB	-0.5574
NSUN4	-0.54025
RFX2	1.065
MAPK8IP1	-0.656833333333333
FANCD2	-1.59871428571429
ANKZF1	-1.3795
C19orf50	-0.5005
DUSP8	2.066625
SENP5	-0.48425
NFKBIL2	-1.09175
LBR	-0.34525
IGFL1	1.104
LZTS2	0.268125
IL2RG	-0.96275
CCDC51	-0.7475
KLF3	0.1065
ANKRD37	0.3585
KCTD14	1.60966666666667
FZR1	-0.222583333333333
SLC44A4	1.0285
ESPL1	-1.65825
GMPR2	-0.2696
TBC1D19	-0.673833333333333
ERGIC1	-0.390481481481481
ERBB4	2.7825
TSPAN32	0.603916666666667
MAP4	-0.56825
GPHN	-0.81475
SLC6A2	2.8715
HIVEP1	0.433
DFFB	-0.3409
EIF4EBP2	0.72375
DMRT1	-1.049
HSPB6	1.135
IER2	2.10783333333333
AIFM1	-0.62075
WWC2	0.151583333333333
MRPL4	-1.326
FLJ21062	2.01783333333333
EPB41L4A	1.68108333333333
SH2D6	0.1855
TAF4B	-0.55025
GAL3ST3	-0.4465
MALT1	-0.441833333333333
RTDR1	0.339
ARVCF	0.217875
MEX3B	-1.5785
FBXO16	0.27875
KIF7	-1.01225
C1QC	4.34683333333333
ZNF783	-0.566166666666667
ZNF85	-0.4855
MMP13	-2.8735
KIAA0329	1.3485
RTP3	-0.5595
ZBED3	0.788
CLGN	-1.64075
SLC25A37	-0.2155
hCG_18290	0.40575
OR5AS1	0.087
SMARCC2	0.255166666666667
FAM109A	-0.395166666666667
CCDC12	0.18775
USF2	0.0665
DEPDC7	-3.3325
C20orf24	-0.908333333333333
JMJD3	0.2845
DSP	0.735928571428571
SLIC1	0.382
FAM20A	1.8715
IRF2BP2	0.5075
ZNF230	0.2465
MSN	0.100571428571429
SLC9A5	-1.0935
EPDR1	-0.3961
MUSK	-0.0401666666666667
ZNF434	-0.321
