Hybridization REF	TCGA-BH-A18T-01A-11R-A12D-07
ASS1	-2.47316666666667
USP42	0.0745
POLR2J	-0.176
SEC23IP	1.05933333333333
UQCRC1	-0.308
LOC729603	-1.14075
C1orf71	-0.02825
POLG	-1.597
ADAM23	-3.52025
TFR2	-1.07
RICTOR	-1.1133
MGC39606	0.9145
C19orf55	-0.234
SNAPC1	-0.462166666666667
GNA11	0.17975
CCDC52	0.590833333333333
FSIP1	4.1845
UPF3A	-1.051
IGSF11	-2.949
LAGE3	0.68425
CHST6	-0.3835
UNC13B	0.205125
TTLL4	-2.028625
ZNF687	0.586375
SDC2	-0.384
COX7A2	-0.22525
LAMB4	0.49775
FAM24A	0.368
LRRTM3	-1.30333333333333
GPHB5	0.22675
OR4C13	-0.239
EIF3EIP	-0.226714285714286
HABP4	-0.918
TMEM125	4.228
CNTN2	0.408875
ASNSD1	-0.53925
FUT4	-0.864
ACF	-4.0395
LOC158381	-0.2075
CDH8	0.4905
AGPS	-0.423333333333333
C4orf18	3.797375
PECI	0.53425
UNG	-0.3475
GSTP1	1.311375
DCUN1D5	-0.3065
DKFZP564J0863	0.4055
SLC9A3R1	1.2515
BCDO2	0.564875
CHMP7	-1.268
REM2	1.473
DNHD1	-0.62675
FKBP4	0.285375
ZNF350	3.393
MGC11102	0.483375
BST1	1.54675
KISS1R	1.1815
NCR2	0.1985
DEFB125	-0.0845
UBE2W	0.734
KRT15	1.136125
C10orf99	0.4735
SCN11A	0.556375
GFI1	-2.96025
RDHE2	4.14683333333333
FHL1	-1.238
OSGEP	0.616666666666667
GATA1	-3.42083333333333
SMC6	-1.01625
TTTY14	-0.81275
LPIN3	0.08825
RPL4	-1.082
RBPMS	-0.6812
PRPF3	-0.610833333333333
EMR1	-2.448
SPATA19	0.29125
XCR1	0.4215
IRX3	2.6289
RBM6	-0.65525
KLF4	-0.3806
UNC5CL	-0.65325
SEBOX	0.6775
BTK	-1.28725
KRCC1	1.2865
C6orf27	0.704
SYTL5	-0.7095
PRND	3.9735
LOC653319	-1.425
PIGL	-0.818125
HUS1	0.123833333333333
SFRS6	0.533666666666667
C17orf77	0.565
UIMC1	-0.299333333333333
FXYD2	-2.2284
LOC283152	1.5795
ZNF667	-1.20125
ZCCHC12	-1.42575
TFEC	3.0934
ATP7B	0.515166666666667
POLD2	-1.32283333333333
RG9MTD1	0.0505
ACOT2	0.7855
HIST1H4I	-1.02175
PPARGC1A	-1.8237
ETFA	-1.8862
POLRMT	-0.5925
ZNF146	-0.31625
MIA2	-2.2865
KLHL6	-1.26083333333333
HOXB5	-0.319625
NENF	1.22066666666667
CUGBP1	0.06975
PRSS22	1.963
CASC4	1.3556
CUL4B	0.1065
CENPJ	-1.2625
PITX1	0.576833333333333
FLJ31033	0.679666666666667
CELSR3	-1.53916666666667
ZNF568	0.66275
ITSN1	-0.35125
EHBP1L1	-1.1415
C19orf2	0.6855
DCTN1	-0.22275
LIN28B	-4.526
TNKS2	-0.44025
C1QBP	-0.667
CADPS2	1.709
SRMS	0.36225
GJA9	-0.00133333333333333
MGC24975	-0.704333333333333
TRIM45	0.2025
TSP50	1.38475
TCP1	-1.1485
TMED7	0.5731
CMA1	0.6325
CENPL	-1.10266666666667
PTCRA	0.339
FST	-3.64225
VWCE	-3.581
PAWR	0.27825
ABCC12	2.59466666666667
LDLR	-2.4144
ASTN2	1.0232
LOC441212	-1.054375
GPATCH8	-0.146
TANC2	-0.42975
KIF4A	-1.6085
C18orf18	-1.3645
PGM1	-1.949
KIAA0258	0.59
CPD	0.136375
SNCAIP	-0.92825
DCT	-4.37883333333333
HLA-DOA	2.53477272727273
OR11L1	0.5595
UPK1B	-0.815333333333333
DNAJB4	-0.75075
UGT1A8	-0.46375
HIST1H4L	-1.726
PECR	-0.597833333333333
HSPA2	2.44575
WFIKKN1	-0.3165
SERP1	-0.41975
SYDE2	0.101
TACR2	1.0705
NUP85	-0.66925
CD177	-0.6805
LGR5	-3.25933333333333
PIGG	-0.296583333333333
PTHR1	-0.471666666666667
RAB5A	-0.0278
FLJ13224	0.309
USP9Y	-2.0854
C7orf53	0.3805
LRP1B	-0.46375
XAF1	2.4755
ABCG8	-0.7045
ANKDD1A	-0.856333333333333
DAND5	-2.2955
SPAG6	2.0165
LINCR	2.3515
ZDHHC22	-1.0185
CCDC60	1.3095
THOC7	-1.07533333333333
TCTA	1.0347
OR8K3	0.26225
NY-REN-7	-1.0655
B2M	0.7275
C6orf141	-1.82825
LPPR4	2.61775
SQLE	-0.84
SEPHS1	-0.178
BTBD14B	0.972357142857143
PLRG1	-0.389
SPG7	-0.955875
ZNF614	1.97666666666667
PARD6G	1.52616666666667
INPP5B	-0.9002
GRPEL2	0.00700000000000001
PPID	-0.2383
TRIM56	-0.45425
UBE2J1	-0.58675
IL20RA	5.3995
LOC387856	0.156
C1orf107	1.31366666666667
UTS2R	1.16875
C19orf22	0.09175
SAFB2	-0.54425
KIAA0652	-0.79575
KLRG1	-1.11
MS4A8B	3.14183333333333
FRAG1	0.91775
KIAA1546	0.05025
E2F4	-1.3682
CLEC4M	0.0151666666666666
BTBD14A	-0.323
KIAA0999	0.8677
GYPA	-4.91833333333333
TAC1	1.2413
TRAIP	-1.09766666666667
KIAA0232	1.2224
ERCC8	-0.501
GPX4	-0.43625
KIAA0368	-0.609875
GPR157	-0.994
CTAGE4	0.7685
C9orf30	-1.21033333333333
OR52A1	0.0995
HSP90B3P	-0.91
ALG9	0.0515
BTBD10	0.316
SDK2	-0.41775
BAIAP3	0.67325
RABGGTB	-1.167625
ANKRD40	-0.726333333333333
KRT74	0.3785
CALCOCO2	0.328928571428571
SNCA	-3.66425
TMSL8	-3.87175
C2orf53	0.275
ESRRB	-0.339
ARHGAP26	-1.103
TDRD9	-2.11825
HRAS	-0.073
KLRC4	-1.7
JAGN1	0.261166666666667
BSDC1	0.28
RNF43	-0.8192
NDUFAF1	0.10025
PHF12	0.3885
OR1L3	0.00649999999999999
FOLR2	1.10625
LYZL6	0.118
tcag7.1260	-2.2585
WSB1	-1.36066666666667
PROS1	-1.035
OSTN	0.9245
PSMB8	0.6445
SOCS4	-0.54775
DDIT4L	0.11525
MAS1	-1.14
MGC34796	0.6115
CSHL1	0.3415
TBCCD1	-0.142833333333333
ZBTB7C	0.3245
AP2S1	-0.44325
P15RS	-0.7365
VAT1	-0.6938
SHANK3	0.884833333333333
TUFM	-0.345666666666667
THEG	0.00974999999999998
KRT34	-1.7905
SGSM3	-0.011625
TOMM22	-0.922
SOCS3	1.07333333333333
CPO	1.09
POP4	1.318
BHLHB3	0.93175
MALL	0.82475
OR1B1	0.335
PARK2	0.395833333333333
GPR124	0.742625
LCE1E	-0.201
RUVBL2	0.12925
CGRRF1	0.4754
ACPL2	1.10125
WNT10B	-2.154625
BAIAP2L2	-1.82125
ISCA1	-0.3645
C1orf125	4.3055
RPAP1	-0.5585
RAI16	0.216833333333333
RPL27	-0.24
NLRP9	0.07
EPN1	0.449
LOC388610	-1.707375
SLC35A1	0.7956
GAL	-3.95725
SLC14A2	0.503
RDH11	-0.1735
FAM138F	0.064
AUH	0.05075
FLJ40243	0.54
C14orf129	0.227166666666667
MBD2	-0.829833333333333
ABHD14B	-0.099875
PIGT	0.88875
ALS2CR4	-0.45475
ALAS1	-0.392
FOXO1	0.7775
CRLF3	-0.73
C20orf107	-0.3495
FARS2	0.71
CCDC28A	0.3275
NPHP3	-1.01675
OR13F1	0.5995
TSEN54	-0.755
DEFB106B	0.2515
OR8B4	1.704
STH	1.79525
ZC3H14	-0.347375
CBX2	-1.254
TMEM49	-1.3395
C6orf21	0.644
FLJ20920	0.19875
CRTAP	-0.318642857142857
DDX50	0.19225
STYXL1	0.0185
BLVRB	-0.281666666666667
LOC147650	1.15266666666667
MMP24	0.212
GRID1	2.89166666666667
BANF1	-0.767
CTAGEP	0.26475
HMBS	-1.23025
SLC25A24	0.458166666666667
C14orf50	1.018
MRO	1.096
SLC25A15	-0.706
FAM84B	0.7461
TDP1	0.0935
C16orf78	0.7615
C11orf57	0.202375
RFK	-0.555375
ZFYVE9	-1.283875
STCH	-0.9315
WIBG	0.64975
LOC283871	-0.0861666666666667
GBA2	-0.8676
NDUFB3	-0.0555
HSD17B13	-0.63425
GRIN3A	0.401
FMNL1	-1.48816666666667
SEPT7	-0.4548
GNLY	3.2845
GRAMD1C	0.2805
ZNF165	0.425
USP38	0.602
FAM83A	-4.15616666666667
C14orf24	0.755583333333333
ARMCX3	1.049
ARHGDIB	0.674833333333333
AK1	0.56175
KIAA1045	-0.265
DNAJB13	-0.433166666666667
NEU2	-0.00700000000000001
HIST1H4B	-0.5755
FAM20B	0.0133999999999998
HES2	0.937
FAM73B	-0.4738
LOC388381	-0.10375
INTS7	-0.440818181818182
AMPH	3.762
ZNF775	0.22025
UCKL1	-0.845833333333333
C10orf97	0.22525
C1orf161	0.35925
ALDH1L1	-0.85075
FLJ39378	-0.01175
SLC23A1	-1.49
RBM4B	0.01375
THAP4	-0.294333333333333
OGFRL1	0.4365
KIAA0831	-0.136125
PPP1R15A	-0.574166666666667
C1orf96	0.402857142857143
C12orf11	-1.0285
BMF	0.939625
MAN1A1	-0.146125
KIAA1600	0.431
NLGN4X	0.2165
ALOX12	-1.895
RB1CC1	0.0175
NEIL2	-0.7478
EIF4E	-0.0980454545454545
ABHD5	0.1285
EXOC4	-0.552833333333333
CIP29	0.4615
BATF2	0.73325
SLC29A4	-0.84975
HTR4	0.8065
EMB	0.30525
TRAF6	0.5995
LMNB1	-2.594
FAM19A5	-0.087875
SHE	2.03675
PIK3C2B	1.3195
C15orf15	-1.0946
USP15	-0.2455
TCEAL2	1.2055
C5orf39	-0.560666666666667
PTGER2	-1.3125
SLC31A1	-1.2359375
IFT172	0.97025
ADAM29	0.443
GFOD1	0.689
ST7L	0.213666666666667
C15orf26	-1.3735
PKN3	-1.9
CNTD1	2.889
COMMD1	0.684
NTRK2	2.66254545454545
FOXN3	-0.0857499999999999
MFGE8	-0.4164
PFKFB2	1.31166666666667
TAS2R4	-0.561
ENTHD1	2.10266666666667
PRMT5	-1.274375
MGC16384	-1.16575
LOC442229	0.06325
TSKU	-0.053375
KRTCAP3	2.444875
PDLIM1	1.2912
KCNS2	0.487
RNF126	-0.858
CEP63	-0.18025
CLIC4	-0.129625
hCG_1990170	-0.55775
ACR	0.5647
KLK7	3.249
ALOX5AP	3.134
RIPK3	3.81025
TAS2R9	-0.0745
C19orf18	3.2765
BIRC6	0.239428571428571
ZNF16	0.6615
RFT1	-0.05675
SLC8A2	-0.98525
TACC1	-0.476375
ITGAD	1.6495
SAMHD1	0.75175
SH3PXD2B	1.352
EPC2	0.7745
C20orf85	5.634
ATP13A2	0.758333333333333
KRT4	1.1855
CAPNS1	-0.13125
MDM2	0.115166666666667
PCDH20	1.6355
KCNK9	1.3095
OR2C1	0.246
KLHDC3	-0.927666666666667
IPPK	0.114
EFHD2	-0.28725
GALR3	1.334
NBEA	1.47366666666667
ABCA6	3.6459
CLDN3	2.83266666666667
AKT2	-0.629071428571429
EGFR	-1.4761
RBM16	0.493875
ZDHHC3	0.4304
SLC25A4	-0.3275
CYB5B	-1.4315
CPXM1	0.40475
NDRG1	-2.04869230769231
FLJ43826	0.42475
OR5L2	0.4068
FARP2	0.4126
MRPL46	-0.848
LDHAL6B	0.352666666666667
MAPKAPK3	-0.212
NCAM2	-1.75725
PRKD2	-0.258
ZFP36L1	1.8463
CYSLTR1	0.06425
OR4C3	0.27675
HIST1H2AJ	2.018
CCNB2	-2.41644444444444
ZNF10	-0.195375
TMEM175	0.5915
FAM134A	-0.00449999999999999
TIGD4	1.1815
PCNP	-0.595
MGC39715	0.40875
LQK1	-2.30975
CREB1	-0.3604
TMPRSS3	-0.96025
C4orf32	1.924375
LAT	-2.00725
KCNA3	-0.8305
SKIV2L2	-0.374
ROPN1B	-2.4515
tcag7.23	-0.4295
CDT1	-3.1685
ZHX2	0.686625
CD28	-4.4175
ZNF624	1.66875
SEPT2	-0.156666666666667
SOHLH2	-1.354625
MCOLN3	-1.197125
UNQ1945	0.541
MASP2	-1.2925
ZNRF3	-1.5383
GPATCH3	-0.7795
AGL	1.17075
QRICH2	-0.442
PSD4	1.211
CCNB1IP1	-1.705
ENPP7	0.17175
OBFC1	-0.0255
KCNG3	-2.93375
C14orf79	0.886083333333333
ENPEP	3.00833333333333
SCT	2.9335
SKI	0.70825
SEC61G	-0.4915
CAPN11	-0.31975
ATXN7L3	-0.51675
DBNDD1	-0.419
FAIM	-0.372
ANKRD36	-1.889
GABRP	1.693
TACSTD2	2.4985
EIF3J	-0.28825
PPP2R2A	-1.94825
TEKT4	0.3495
PVALB	-1.20066666666667
F10	-2.129
FAM134C	0.6316
COMP	5.092875
EFCBP1	-2.967
SCLT1	0.227625
TAL1	-1.0726
ACSL1	1.54025
ABCC5	1.05325
ABL1	-0.660777777777778
RBBP7	0.676666666666667
PTPRG	-0.3635
NCOR1	-0.4091
SPINK4	1.62
TXNRD1	-1.8469
TNRC15	0.055125
C9orf138	0.922875
UBE2H	1.07883333333333
BRDT	0.784333333333333
C8orf31	0.08075
CCNE2	-1.75627272727273
SLC6A8	-1.4945
CALCR	-0.1
PPP1CB	0.534083333333333
ABHD8	-0.603
ARF5	0.5479
SLC24A4	0.875
CCT3	0.12325
ZNF121	0.145125
SLC3A2	-1.6996
OR13A1	0.6275
SLC5A10	0.79525
RAD50	-0.173375
IER5	0.52475
MTHFD1L	-2.7025
MBTPS2	0.2
MVK	-0.364
NCL	-0.3683
PSMD10	-0.29825
MOBP	0.579666666666667
FLJ32894	-0.475
HRH1	0.205333333333333
C5orf30	1.51025
NUDT16L1	0.7843
RASGRP3	3.79533333333333
PRKRIP1	-0.034
CCDC75	0.58075
LOC253970	0.05025
KIAA1239	0.45625
MED21	0.6485
SYT11	0.391166666666667
NTSR2	-1.1675
EGFL11	0.301
CXorf59	-0.3335
OR2A25	0.54075
SPTBN2	-1.26125
LRMP	-1.7255
RNF111	-0.57275
PTH	0.461
LOC619208	0.989166666666667
KIAA0895	0.80925
RANBP5	-1.223
P2RY10	1.02183333333333
NME5	4.58033333333333
DDX21	-0.9885
LRSAM1	0.142
HDAC11	1.16366666666667
VMO1	1.94175
NOLA2	-0.3215
ADAR	0.5535
MTO1	-1.25383333333333
SF4	0.1635
P2RX1	0.262
HBM	0.35925
EN2	1.047
C14orf172	0.42825
TM9SF2	-0.2283
INHBE	-1.2475
TCTE3	-0.0265833333333333
TOX2	-3.2845
CTAGE3	0.20675
HBB	3.1749
MED15	-0.790666666666667
CASR	0.5215
C6orf66	-0.569166666666667
MTPN	-0.794875
UNC50	-0.36575
C21orf33	0.0485
IRF2	0.862
PGR	2.24933333333333
GPR84	2.5355
CROCCL1	-1.82875
SRPX	-0.3555
BRE	0.0921666666666667
FGF10	1.591
SDC3	-0.0121666666666667
ZRSR1	0.399
DKFZP434P211	-0.239375
SOX6	-1.988
RPUSD2	0.03175
C14orf173	-0.0361666666666667
MAPK11	-0.481333333333333
TBC1D22A	-0.129
FAM123A	-1.108
COL4A6	-1.78333333333333
TOMM70A	-0.626
NAB1	-0.450125
MGC16385	-0.255125
TSPAN18	-0.295
MED31	-0.16125
PLG	-0.0707500000000001
CAPSL	3.395
ZNF532	1.4718
ASB14	-0.191
CA8	-1.19725
NUDT16P	2.21883333333333
SLFN11	-1.033
LRRIQ2	-0.29575
NOL7	0.00950000000000001
BRMS1L	-0.211875
JARID1A	0.159333333333333
PANK2	-0.29975
ICAM3	-0.999
MDS1	-0.44075
TAF8	-0.59325
RNF139	0.5965
ZNF594	0.4595
ADAM8	2.97825
SFTPC	-0.3805
MAN2B2	0.905875
RGS12	0.188625
EIF1AY	-4.57181818181818
LRRIQ1	1.216
GPR150	1.37925
CCDC21	-1.84333333333333
PRRG3	0.422
SAA4	-4.49825
RAPGEF5	1.57475
ZCCHC2	0.43025
MGC39372	-0.704
PPP4R2	-0.078
CDCA2	-2.8865
OR4D5	0.267833333333333
PTGFRN	1.5697
SIGLEC5	1.52
C19orf61	-0.5095
NMUR2	-0.0665
KIAA1586	-0.947333333333333
DAGLA	0.677166666666667
CHCHD6	-0.45325
GPR32	0.862
NEUROD6	0.1678
SLC2A4RG	0.585125
CA5B	0.7405
FBXL3	0.15825
MPHOSPH9	-1.3355
HMG2L1	-0.1125
HCN4	0.6905
CEACAM19	0.964
SH2D4B	0.3464
HFE2	-0.768
TGM4	1.63466666666667
LYPD2	0.1065
TBC1D15	-0.356
MRPS21	0.6863
NONO	-0.928
CLEC5A	3.413375
ITCH	0.4066
MGAT3	-0.774
MBP	-1.351375
RPP25	-1.50225
SOSTDC1	-0.784
HRC	-0.775
TRIM48	-0.1925
TMEM133	-0.28725
ECEL1P2	-1.90875
HOXC11	0.88
DOK5	0.0135
HELZ	-0.101166666666667
LOC348180	-0.819
MGC33894	0.43575
ADRB3	-0.2
DMD	0.01925
PTRH2	-0.127
MPEG1	3.5365
NDUFA12	0.371333333333333
KRTAP2-4	0.505333333333333
STAMBPL1	-1.538
ADCY2	0.9594
UNQ6125	0.507
KLHL20	-0.0135
SRM	-1.2785
OTC	0.37525
TMIE	0.3535
SNX8	0.4145
LIPK	2.2665
CHURC1	-0.422916666666667
KLC2	0.131666666666667
HDAC1	-0.8435
FAM128A	1.22966666666667
FNDC3B	0.0103
MTCP1	-0.23
WFDC10B	2.043
PCDHGB3	1.751
ATRNL1	-0.00170000000000001
CAV2	-0.539
MED26	-0.144666666666667
DUS1L	-0.018
CHRM3	-1.379
NEK9	0.2555
WARS2	1.214
TBX22	-1.136
TOMM40	-0.87475
RP6-213H19.1	-0.698
TUBGCP5	-1.2095
IGSF6	5.5565
TPPP	0.800666666666667
UNQ6190	-1.185
GSTM5	0.174
BTD	0.139666666666667
PDCD1LG2	-0.2935
SNRPB2	0.479833333333333
ERICH1	-1.07025
APOA4	-1.307
HOXA11	-3.232
NARG1	0.153875
MKX	-0.4745
RAB28	-0.798642857142857
PKP3	1.2425
SH3GL2	-1.825
CTSO	2.42925
RPN2	0.3420625
IL28RA	-0.343833333333333
SFMBT1	1.2975
WDR57	-1.287125
FER1L3	0.7475
HSF5	0.684
TTC9B	0.115
C4BPA	-4.44416666666667
ALB	-0.0848571428571429
SORBS3	0.25875
UPF2	-0.097
JPH1	0.3935
AGBL2	-0.959
DOPEY1	1.504
TERF1	-0.17975
KIF22	-0.819166666666667
NINJ1	1.56325
SEC61A2	-0.0860833333333333
HIST1H1D	-0.0163333333333333
SFXN4	-0.141625
UCP3	0.317
ZNF703	0.7565
MYL6B	-0.06975
TREM1	2.63925
OR52E6	0.081
CKMT2	1.7995
HLA-C	1.942
SLC13A3	-0.3355
TIMP4	-1.30675
SLIT2	2.50875
RSF1	-0.249055555555556
LONRF1	-1.7675
MON1A	0.307166666666667
CACNG6	0.2205
DPPA4	-5.56883333333333
ZSWIM3	0.15175
ZNF804A	0.0733333333333333
CCIN	2.34575
SLC25A31	0.02075
KCNMB4	0.5355
RABL5	1.090625
GALNS	-0.5408
STX6	0.915375
HIST1H1C	0.58
CIDEB	0.314125
CASP4	0.256333333333333
PDK3	0.7111
KCNJ11	1.5505
TPR	-0.279375
ZSCAN20	0.017
MTX2	-0.055
HIST1H2BH	1.0335
LOC283767	1.72325
LYRM7	-0.763166666666667
BRD3	0.5025
HIST1H2BO	0.6205
MAGEB10	0.108
SLC45A1	-0.2515
SERPINA3	2.86285
KIAA0143	0.9865
KCNJ16	0.199333333333333
KRT79	0.065
FABP2	-2.08175
NUT	-0.865
ZNF57	0.0435
FBXL4	-0.728
CLEC9A	0.637
UGT8	-1.4686
BMP2K	-0.0015
MAPK4	-4.4765
SLC25A23	-0.6445
HINT1	-0.503
KRTAP13-1	0.28
SFXN5	-0.1643
CHCHD2	0.13825
FAM3D	1.9325
NDP	-0.855
RHOBTB1	0.199666666666667
SLC4A4	-1.5975
RPL38	0.12275
HTF9C	-0.0321666666666667
AP2A2	0.292375
ZBTB46	-1.088
MAP7D1	-0.069375
AOX1	-0.834666666666667
CYR61	0.839666666666667
DTNA	-0.276
JRKL	0.0205
TMOD3	-0.631
EEA1	0.5197
ADCK5	0.2265
IL1R1	3.35333333333333
KLK3	1.615
HRSP12	-0.2095
KTN1	0.71375
LOH11CR2A	0.2402
RELL2	-1.3385
MAB21L1	1.653
C20orf59	-0.7315
PHKB	0.38425
ADAM2	-2.909
TBC1D8B	2.19466666666667
FAM13A1	-0.6338125
LAPTM4B	-1.49425
LCN8	0.222
TMEM147	0.7
SYT4	0.1464
XPO7	-1.7685
C9orf62	1.861
GPR75	-2.583
TRIM5	-0.44025
APOC1	-0.0796666666666667
RNASE4	0.413833333333333
PARD6B	-0.48
ARID1A	-0.242416666666667
TPD52L3	0.4218
RRAGB	0.183333333333333
RCN2	-0.680833333333333
HIST2H2BE	0.4393125
STARD7	-0.926
SHMT2	-1.22775
KIAA1751	1.30633333333333
MLYCD	-0.177375
LOC162632	0.3982
UQCRH	-0.49
RP11-217H1.1	0.567625
SDHA	-1.31433333333333
NCLN	-0.392
ZNF17	2.00383333333333
RCBTB2	-1.38925
VEGFB	-0.1535
RP4-747L4.3	0.99875
COLQ	0.3742
MPN2	0.439833333333333
DRG2	-0.298
KLRB1	4.382
ALPK2	-2.31125
DNASE2B	4.801
FLJ23834	0.959833333333333
AXUD1	0.737166666666667
SAFB	-0.459
NSUN4	0.65575
RFX2	0.554166666666667
MAPK8IP1	-0.581166666666667
FANCD2	-0.6295
ANKZF1	-1.95616666666667
C19orf50	-0.54725
DUSP8	1.26575
SENP5	0.043875
NFKBIL2	-0.67
LBR	-1.45075
IGFL1	2.38
LZTS2	0.146375
IL2RG	-1.64925
CCDC51	-0.2945
KLF3	0.354375
ANKRD37	-0.52475
KCTD14	-1.4805
FZR1	-0.120666666666667
SLC44A4	3.679
ESPL1	-0.7755
GMPR2	-0.1601
TBC1D19	-0.085
ERGIC1	0.824185185185185
ERBB4	1.6746
TSPAN32	-0.0809166666666667
MAP4	-0.139875
GPHN	-0.636
SLC6A2	0.324
HIVEP1	1.091
DFFB	-0.8319
EIF4EBP2	0.927125
DMRT1	-0.88225
HSPB6	-0.13725
IER2	0.653666666666667
AIFM1	0.77125
WWC2	0.986083333333333
MRPL4	-1.104
FLJ21062	1.80816666666667
EPB41L4A	1.735
SH2D6	0.1565
TAF4B	-0.8155
GAL3ST3	0.0455
MALT1	-0.875666666666667
RTDR1	1.48775
ARVCF	0.334625
MEX3B	-0.4615
FBXO16	0.8105
KIF7	-1.2255
C1QC	4.444
ZNF783	-0.0055
ZNF85	0.04425
MMP13	4.987
KIAA0329	1.075875
RTP3	-1.0445
ZBED3	0.2785
CLGN	1.4325
SLC25A37	-2.09495833333333
hCG_18290	-0.23175
OR5AS1	0.694
SMARCC2	0.526583333333333
FAM109A	0.325833333333333
CCDC12	-0.13625
USF2	1.0573
DEPDC7	-0.92675
C20orf24	-0.341166666666667
JMJD3	0.076
DSP	1.84207142857143
SLIC1	0.21125
FAM20A	0.80275
IRF2BP2	0.80025
ZNF230	-0.5175
MSN	-0.661071428571429
SLC9A5	-0.9845
EPDR1	-1.9028
MUSK	-0.2286
ZNF434	0.139333333333333
SMARCD1	-0.678666666666667
ZFP106	-0.39775
ZNF347	1.5748
GTF2E1	0.35775
