Hybridization REF	TCGA-BH-A0BF-01A-21R-A12P-07
FARS2	0.42875
CCDC28A	0.7265
NPHP3	-0.79
OR13F1	-0.188
TSEN54	0.07275
DEFB106B	0.1641
OR8B4	-0.88
STH	-1.0375
ZC3H14	-0.56325
CBX2	-1.5215
TMEM49	0.233
C6orf21	0.222
FLJ20920	1.64575
CRTAP	0.331214285714286
DDX50	-0.277
STYXL1	0.43675
BLVRB	-0.0688333333333333
LOC147650	0.275
MMP24	-0.05375
GRID1	2.2466
BANF1	0.0318333333333333
CTAGEP	-0.41225
HMBS	-1.93425
SLC25A24	-0.0955
C14orf50	-0.55175
MRO	2.23
SLC25A15	-0.45975
FAM84B	0.3582
TDP1	-0.8925
C16orf78	-0.117666666666667
C11orf57	-0.709875
RFK	-1.029875
ZFYVE9	-1.48175
STCH	-0.4376
WIBG	0.38425
LOC283871	-0.257166666666667
GBA2	0.135
NDUFB3	-0.748
HSD17B13	-0.95675
GRIN3A	3.9672
FMNL1	1.5245
SEPT7	-0.6476
GNLY	4.843
GRAMD1C	0.626833333333333
ZNF165	0.89675
USP38	0.0615
FAM83A	-4.0112
C14orf24	0.183833333333333
ARMCX3	1.193875
ARHGDIB	1.443
AK1	-0.369875
KIAA1045	0.122
DNAJB13	0.111
NEU2	1.7925
HIST1H4B	-1.69
FAM20B	-0.3695
HES2	0.629714285714286
FAM73B	0.092
LOC388381	0.329
INTS7	-0.356
AMPH	3.0555
ZNF775	-0.118125
UCKL1	0.109166666666667
C10orf97	-0.38425
C1orf161	0.371
ALDH1L1	-0.96075
FLJ39378	0.012875
SLC23A1	-2.084
RBM4B	0.20575
THAP4	0.473166666666667
OGFRL1	-0.121
KIAA0831	-0.14675
PPP1R15A	0.743166666666667
C1orf96	-0.448928571428572
C12orf11	-0.95925
BMF	1.43825
MAN1A1	-0.42475
KIAA1600	0.689666666666667
NLGN4X	-1.9465
ALOX12	-1.4
RB1CC1	-0.6238
NEIL2	1.129
EIF4E	-0.100136363636364
ABHD5	-0.537
EXOC4	0.291666666666667
CIP29	0.328166666666667
BATF2	2.91925
SLC29A4	-0.48
HTR4	0.39075
EMB	-0.064
TRAF6	0.224
LMNB1	-3.9485
FAM19A5	-0.685
SHE	2.046
PIK3C2B	1.18125
C15orf15	-0.117
USP15	0.0243
TCEAL2	0.9205
C5orf39	-0.1375
PTGER2	-0.022
SLC31A1	0.0825
IFT172	0.37775
ADAM29	0.1555
GFOD1	0.06475
ST7L	0.251
C15orf26	-2.65725
PKN3	-1.146
CNTD1	1.48116666666667
COMMD1	0.218375
NTRK2	2.27808333333333
FOXN3	0.571625
MFGE8	0.6214
PFKFB2	0.743833333333333
TAS2R4	-0.27675
ENTHD1	1.86966666666667
PRMT5	-0.5155
MGC16384	-1.439625
LOC442229	-1.1565
TSKU	0.718625
KRTCAP3	0.7905
PDLIM1	0.5278
KCNS2	1.1765
RNF126	-0.5965
CEP63	-0.2055
CLIC4	0.379125
hCG_1990170	-1.9415
ACR	0.0125
KLK7	0.3435
ALOX5AP	3.568625
RIPK3	3.80475
TAS2R9	-0.014
C19orf18	1.0545
BIRC6	0.324357142857143
ZNF16	1.608
RFT1	-0.96275
SLC8A2	-0.65625
TACC1	0.0565
ITGAD	4.894
SAMHD1	2.5665
SH3PXD2B	0.7286
EPC2	0.53575
C20orf85	4.46775
ATP13A2	0.251
KRT4	0.331375
CAPNS1	0.8525
MDM2	-1.01933333333333
PCDH20	2.88675
KCNK9	0.794
OR2C1	-0.372
KLHDC3	0.258666666666667
IPPK	0.964
EFHD2	0.3645
GALR3	0.53725
NBEA	-0.0763333333333334
ABCA6	4.2579
CLDN3	1.6995
AKT2	0.507571428571429
EGFR	-2.2821
RBM16	-0.62675
ZDHHC3	0.1329
SLC25A4	-0.755666666666667
CYB5B	-0.344833333333333
CPXM1	2.3695
NDRG1	-0.826538461538462
FLJ43826	0.42375
OR5L2	0.0668333333333333
FARP2	0.6327
MRPL46	-0.381083333333333
LDHAL6B	0.2806
MAPKAPK3	0.103166666666667
NCAM2	-1.12075
PRKD2	1.56616666666667
ZFP36L1	1.1455
CYSLTR1	-0.16925
OR4C3	0.0747500000000001
HIST1H2AJ	0.7325
CCNB2	-1.97766666666667
ZNF10	0.166625
TMEM175	0.5725
FAM134A	1.512
TIGD4	-0.866
PCNP	0.12125
MGC39715	-0.83825
LQK1	-1.0465
CREB1	0.3071
TMPRSS3	2.194
C4orf32	0.26325
LAT	0.2975
KCNA3	0.287
SKIV2L2	-0.54925
ROPN1B	-4.878
tcag7.23	0.2175
CDT1	-2.738875
ZHX2	0.775625
CD28	-1.15925
ZNF624	0.8225
SEPT2	0.731083333333333
SOHLH2	-0.92775
MCOLN3	1.80128571428571
UNQ1945	0.517
MASP2	-1.9345
ZNRF3	-1.5419
GPATCH3	0.26275
AGL	0.443125
QRICH2	0.865
PSD4	1.84383333333333
CCNB1IP1	-1.56225
ENPP7	-0.0145
OBFC1	-0.1305
KCNG3	-2.9645
C14orf79	0.9065
ENPEP	2.091
SCT	1.9315
SKI	0.202625
SEC61G	-1.1815
CAPN11	0.0323333333333333
ATXN7L3	0.81
DBNDD1	0.205833333333333
FAIM	-0.01425
ANKRD36	-1.6495
GABRP	-0.175833333333333
TACSTD2	0.517
EIF3J	-0.4315
PPP2R2A	0.0485
TEKT4	-0.515166666666667
PVALB	-3.79683333333333
F10	-1.779
FAM134C	1.3569
COMP	4.454
EFCBP1	-2.7561875
SCLT1	-0.7885
TAL1	-1.2131
ACSL1	1.1425
ABCC5	-0.957416666666667
ABL1	-0.265222222222222
RBBP7	-0.215083333333333
PTPRG	-1.759375
NCOR1	-0.1924
SPINK4	-2.7755
TXNRD1	-2.1998
TNRC15	-0.557
C9orf138	0.47225
UBE2H	0.286166666666667
BRDT	0.8848
C8orf31	0.291
CCNE2	-2.38263636363636
SLC6A8	-0.701
CALCR	-3.26725
PPP1CB	0.899583333333333
ABHD8	0.81525
ARF5	0.5412
SLC24A4	0.613666666666667
CCT3	0.5195
ZNF121	-0.02475
SLC3A2	-0.0744
OR13A1	0.971
SLC5A10	0.0695
RAD50	-0.659
IER5	0.581375
MTHFD1L	-2.29
MBTPS2	-0.16
MVK	0.179875
NCL	-0.4836
PSMD10	0.1355
MOBP	-0.454
FLJ32894	2.538
HRH1	-0.567166666666667
C5orf30	0.33475
NUDT16L1	0.6957
RASGRP3	4.13083333333333
PRKRIP1	-0.5609
CCDC75	-0.80025
LOC253970	-0.25925
KIAA1239	-0.404
MED21	-0.72575
SYT11	0.8925
NTSR2	0.125
EGFL11	-0.9075
CXorf59	null
OR2A25	0.40675
SPTBN2	-0.157
LRMP	-0.238333333333333
RNF111	-0.086
PTH	-0.042
LOC619208	-0.0221666666666666
KIAA0895	0.6675
RANBP5	-1.04675
P2RY10	2.79666666666667
NME5	2.4075
DDX21	-0.0615
LRSAM1	0.431
HDAC11	0.850833333333333
VMO1	2.0035
NOLA2	-0.592666666666667
ADAR	0.96275
MTO1	-1.625
SF4	1.40766666666667
P2RX1	1.132
HBM	0.141
EN2	1.131
C14orf172	0.28375
TM9SF2	0.8697
INHBE	-0.726166666666667
TCTE3	-0.496
TOX2	-1.51825
CTAGE3	-0.601875
HBB	3.7352
MED15	-0.0648333333333333
CASR	1.33575
C6orf66	-1.67533333333333
MTPN	-0.99475
UNC50	0.11625
C21orf33	0.253625
IRF2	0.946375
PGR	-0.222833333333333
GPR84	3.38675
CROCCL1	-1.009
SRPX	-0.8805
BRE	0.552333333333333
FGF10	2.211
SDC3	1.61583333333333
ZRSR1	1.03916666666667
DKFZP434P211	0.145375
SOX6	-0.408
RPUSD2	-0.52
C14orf173	-0.114083333333333
MAPK11	-0.709
TBC1D22A	1.3045
FAM123A	-0.957
COL4A6	-3.19266666666667
TOMM70A	0.677
NAB1	-0.15075
MGC16385	-0.175625
TSPAN18	-0.8335
MED31	-0.9185
PLG	0.21825
CAPSL	3.1575
ZNF532	0.8157
ASB14	-1.933
CA8	-2.68125
NUDT16P	1.25
SLFN11	-0.362
LRRIQ2	-1.00375
NOL7	-0.374166666666667
BRMS1L	-0.75975
JARID1A	-0.3805
PANK2	0.214
ICAM3	0.9125
MDS1	-0.6235
TAF8	-1.33125
RNF139	0.37925
ZNF594	0.257166666666667
ADAM8	2.43525
SFTPC	-0.19425
MAN2B2	1.813125
RGS12	0.2855625
EIF1AY	-4.88041666666667
LRRIQ1	0.79
GPR150	1.164
CCDC21	-0.391166666666667
PRRG3	0.18925
SAA4	-3.1715
RAPGEF5	-0.4955
ZCCHC2	0.352833333333333
MGC39372	0.7125
PPP4R2	-0.627333333333333
CDCA2	-1.73916666666667
OR4D5	0.0748
PTGFRN	1.2335
SIGLEC5	3.04933333333333
C19orf61	0.856
NMUR2	-0.5005
KIAA1586	-1.28983333333333
DAGLA	-0.0335
CHCHD6	-0.38125
GPR32	0.776
NEUROD6	0.275666666666667
SLC2A4RG	0.497375
CA5B	0.63175
FBXL3	1.34025
MPHOSPH9	-1.37175
HMG2L1	-0.91025
HCN4	1.09883333333333
CEACAM19	1.15
SH2D4B	0.8835
HFE2	0.755
TGM4	0.098
LYPD2	-0.260333333333333
TBC1D15	-0.261
MRPS21	-0.4275
NONO	-0.6425
CLEC5A	2.137
ITCH	0.0877
MGAT3	-1.26716666666667
MBP	-0.336
RPP25	0.5005
SOSTDC1	-2.397
HRC	-1.611
TRIM48	-0.458
TMEM133	-0.082
ECEL1P2	-1.19
HOXC11	1.5415
DOK5	-0.39825
HELZ	0.0121666666666667
LOC348180	-0.135
MGC33894	-0.2875
ADRB3	0.0395
DMD	0.132666666666667
PTRH2	-0.09125
MPEG1	3.74133333333333
NDUFA12	-0.315
KRTAP2-4	0.112416666666667
STAMBPL1	-0.987666666666667
ADCY2	2.3754
UNQ6125	0.407
KLHL20	0.301
SRM	-0.0785
OTC	-0.034
TMIE	0.292
SNX8	0.351
LIPK	-0.203
CHURC1	-0.83425
KLC2	0.381333333333333
HDAC1	-0.5595
FAM128A	-0.379166666666667
FNDC3B	0.3329
MTCP1	-0.1205
WFDC10B	0.692
PCDHGB3	0.028
ATRNL1	-3.87525
CAV2	-0.037125
MED26	0.164833333333333
DUS1L	1.26775
CHRM3	-1.4785
NEK9	1.307
WARS2	0.0965
TBX22	-0.533
TOMM40	-0.26975
RP6-213H19.1	-0.608
TUBGCP5	-0.1475
IGSF6	4.9975
TPPP	1.075
UNQ6190	0.426
GSTM5	1.462625
BTD	1.0355
PDCD1LG2	2.40716666666667
SNRPB2	-0.210666666666667
ERICH1	-0.968875
APOA4	-1.398375
HOXA11	-1.81466666666667
NARG1	-0.863375
MKX	2.16
RAB28	-0.347571428571429
PKP3	0.523
SH3GL2	-3.78125
CTSO	3.701
RPN2	-0.037875
IL28RA	-0.623666666666667
SFMBT1	-0.3205
WDR57	0.20875
FER1L3	0.432166666666667
HSF5	1.0892
TTC9B	-0.11875
C4BPA	-3.77016666666667
ALB	-6.17581818181818
SORBS3	-0.34025
UPF2	0.4675
JPH1	-0.5465
AGBL2	0.38625
DOPEY1	0.682
TERF1	-0.75925
KIF22	-0.467833333333333
NINJ1	0.67675
SEC61A2	0.00908333333333334
HIST1H1D	-0.627
SFXN4	0.55625
UCP3	0.5
ZNF703	1.20116666666667
MYL6B	-0.561
TREM1	2.721
OR52E6	0.787
CKMT2	1.06575
HLA-C	2.334625
SLC13A3	-1.37516666666667
TIMP4	-2.6365
SLIT2	1.95075
RSF1	-0.317777777777778
LONRF1	-1.12521428571429
MON1A	-0.603166666666667
CACNG6	-1.66183333333333
DPPA4	-6.03066666666667
ZSWIM3	-0.04375
ZNF804A	1.6505
CCIN	1.39
SLC25A31	-0.3925
KCNMB4	-0.26525
RABL5	-0.013375
GALNS	0.0906
STX6	0.191625
HIST1H1C	-0.474
CIDEB	0.030875
CASP4	1.096
PDK3	-0.4506
KCNJ11	0.94
TPR	-0.092
ZSCAN20	-0.6515
MTX2	-0.17225
HIST1H2BH	-0.318
LOC283767	1.11075
LYRM7	-1.53911111111111
BRD3	0.4545
HIST1H2BO	-0.0305
MAGEB10	-0.0815
SLC45A1	2.06875
SERPINA3	-0.15195
KIAA0143	1.21275
KCNJ16	0.6398
KRT79	1.6095
FABP2	-0.554
NUT	-1.66375
ZNF57	0.51
FBXL4	0.2085
CLEC9A	2.327
UGT8	-2.12616666666667
BMP2K	0.24025
MAPK4	-3.93225
SLC25A23	0.2803
HINT1	-1.2652
KRTAP13-1	-0.2
SFXN5	0.7066
CHCHD2	-0.246333333333333
FAM3D	1.1175
NDP	-0.833125
RHOBTB1	-0.3645
SLC4A4	-1.60225
RPL38	0.24775
HTF9C	0.3415
AP2A2	0.463
ZBTB46	-0.335
MAP7D1	1.06
AOX1	-1.10633333333333
CYR61	1.55466666666667
DTNA	-0.275642857142857
JRKL	0.2335
TMOD3	-0.69425
EEA1	0.1996
ADCK5	0.38225
IL1R1	1.93516666666667
KLK3	0.299692307692308
HRSP12	0.096
KTN1	-0.467
LOH11CR2A	1.0557
RELL2	-0.14725
MAB21L1	1.83275
C20orf59	-0.359166666666667
PHKB	-0.54875
ADAM2	-4.03166666666667
TBC1D8B	1.44033333333333
FAM13A1	-1.183125
LAPTM4B	0.533083333333333
LCN8	0.021
TMEM147	0.7525
SYT4	0.9646
XPO7	-0.2345
C9orf62	1.03375
GPR75	0.432
TRIM5	0.80925
APOC1	1.00416666666667
RNASE4	0.572666666666667
PARD6B	-1.24925
ARID1A	0.519666666666667
TPD52L3	0.415571428571429
RRAGB	0.982166666666667
RCN2	-0.661
HIST2H2BE	0.9911875
STARD7	0.26525
SHMT2	-0.22025
KIAA1751	0.172833333333333
MLYCD	0.449375
LOC162632	-0.06
UQCRH	-1.72525
RP11-217H1.1	-0.245625
SDHA	0.266
NCLN	-0.126
ZNF17	0.217666666666667
RCBTB2	-1.0425
VEGFB	-0.1724
RP4-747L4.3	-0.737
COLQ	0.709
MPN2	-1.8925
DRG2	-0.00150000000000003
KLRB1	6.09775
ALPK2	-1.4345
DNASE2B	0.9135
FLJ23834	0.1016
AXUD1	1.0975
SAFB	-0.2322
NSUN4	-0.444
RFX2	0.7115
MAPK8IP1	0.485833333333333
FANCD2	-1.24807142857143
ANKZF1	-0.321
C19orf50	0.030375
DUSP8	0.3205
SENP5	-0.31525
NFKBIL2	-0.32125
LBR	-1.176
IGFL1	0.847
LZTS2	-0.129625
IL2RG	0.958875
CCDC51	-0.7455
KLF3	0.418375
ANKRD37	-2.02975
KCTD14	0.115
FZR1	0.705416666666667
SLC44A4	4.0584
ESPL1	-1.243625
GMPR2	0.1015
TBC1D19	-0.861666666666667
ERGIC1	0.0494444444444444
ERBB4	1.7044
TSPAN32	1.56541666666667
MAP4	1.029125
GPHN	-1.22875
SLC6A2	-0.934
HIVEP1	0.92175
DFFB	-0.1684
EIF4EBP2	0.672125
DMRT1	-1.2625
HSPB6	0.01525
IER2	-0.239666666666667
AIFM1	-0.775
WWC2	-0.90375
MRPL4	-0.0755
FLJ21062	0.106166666666667
EPB41L4A	0.743
SH2D6	0.01975
TAF4B	-0.5035
GAL3ST3	-0.1105
MALT1	-0.509666666666667
RTDR1	-0.43325
ARVCF	-0.339
MEX3B	-1.51183333333333
FBXO16	0.868
KIF7	-0.01525
C1QC	3.96616666666667
ZNF783	-0.140666666666667
ZNF85	-0.57075
MMP13	6.422
KIAA0329	-0.268875
RTP3	-2.0825
ZBED3	-0.4115
CLGN	-3.656
SLC25A37	-1.19758333333333
hCG_18290	-0.53575
OR5AS1	0.315
SMARCC2	0.683583333333333
FAM109A	0.378666666666667
CCDC12	-0.45125
USF2	1.0906
DEPDC7	-1.04425
C20orf24	-0.274833333333333
JMJD3	1.0005
DSP	1.229
SLIC1	1.3795
FAM20A	2.712875
IRF2BP2	-0.46075
ZNF230	0.1715
MSN	0.489857142857143
SLC9A5	-2.125
EPDR1	-0.8677
MUSK	0.2244
ZNF434	0.412666666666667
SMARCD1	-0.705666666666667
ZFP106	-1.036
ZNF347	0.1709
GTF2E1	0.7025
