Hybridization REF	TCGA-AR-A1AX-01A-11R-A12P-07
PGBD5	-1.70366666666667
CCNY	-0.111714285714286
RMND5B	0.40525
ZNF257	-1.703
FLJ22167	-1.15683333333333
EXOSC7	-0.00766666666666666
ROR2	1.47475
MAOA	-0.48025
TNNT3	0.83
GYPC	-0.3445
C7orf33	0.4055
PLIN	1.11033333333333
LOC90826	-0.1645
RNF4	-0.0476
F8A1	-0.735666666666667
PLEKHG4	-2.5435
GRB2	0.01205
HIST1H2AD	0.8795
DUS3L	-1.61266666666667
EIF1	-0.962333333333333
RP5-1077B9.4	-0.793833333333334
FPGT	0.75175
GDF10	1.4605
COQ9	-0.63475
GCC2	0.117071428571429
RARRES3	4.096875
PLXNA1	-0.9497
KIAA0100	-0.272
PMF1	0.17025
FNDC1	5.5865
HS2ST1	0.0863333333333333
CRELD2	0.59475
C8G	-2.213
CD82	1.06775
LIM2	-0.8425
UNQ6490	1.162
MMP16	-0.074
DRD3	-0.8385
C5orf26	-0.6245
C11orf73	-0.063125
PTP4A2	0.309375
OR4M2	0.652
HPCA	-0.686166666666667
SEC14L1	-0.743333333333333
CHFR	-0.47825
EMILIN1	0.99525
NDUFS4	-0.4535
COL18A1	-0.21175
PDZD3	-0.0123
C9orf16	-0.0675
ERBB2IP	-0.1015
EMX2	2.478
FUS	-0.6185
TF	-4.54466666666667
CLCN4	-0.161833333333333
CXorf56	1.17525
C11orf72	-0.06825
ELAC2	-0.75825
NPR1	-0.843
ASS1	-1.85866666666667
USP42	-0.047875
POLR2J	-0.9855
SEC23IP	0.202666666666667
UQCRC1	-0.3685
LOC729603	-0.6105
C1orf71	-0.6115
POLG	-1.3565
ADAM23	-3.21525
TFR2	-1.61125
RICTOR	-0.6358
MGC39606	-0.01875
C19orf55	-0.731625
SNAPC1	-1.774
GNA11	-0.221125
CCDC52	-0.642333333333333
FSIP1	3.143
UPF3A	-0.9065
IGSF11	-1.85883333333333
LAGE3	0.71775
CHST6	-1.9805
UNC13B	0.099625
TTLL4	-1.71175
ZNF687	-0.36325
SDC2	-0.6915
COX7A2	-0.1725
LAMB4	0.223
FAM24A	-0.6215
LRRTM3	-0.508833333333333
GPHB5	0.301
OR4C13	-0.3625
EIF3EIP	0.0940714285714286
HABP4	-0.4105
TMEM125	3.46075
CNTN2	0.177714285714286
ASNSD1	-0.269
FUT4	-0.594625
ACF	-4.098
LOC158381	2.359
CDH8	-0.0263333333333333
AGPS	-0.211166666666667
C4orf18	2.20275
PECI	0.22075
UNG	-0.057625
GSTP1	-0.931125
DCUN1D5	-0.579666666666667
DKFZP564J0863	-1.38575
SLC9A3R1	0.133625
BCDO2	0.79625
CHMP7	-0.259875
REM2	0.845
DNHD1	-0.24075
FKBP4	-0.175875
ZNF350	1.4575
MGC11102	0.06825
BST1	1.35725
KISS1R	0.32
NCR2	0.9255
DEFB125	0.702
UBE2W	2.1795
KRT15	1.595625
C10orf99	-0.409
SCN11A	0.230833333333333
GFI1	-0.31525
RDHE2	0.641333333333333
FHL1	-1.1365
OSGEP	-0.725
GATA1	-3.50666666666667
SMC6	-1.085
TTTY14	-1.065
LPIN3	0.25525
RPL4	0.3653
RBPMS	-0.3768
PRPF3	-0.453333333333333
EMR1	-1.653
SPATA19	0.15225
XCR1	0.6025
IRX3	1.6366
RBM6	-0.375
KLF4	-1.3362
UNC5CL	2.16225
SEBOX	1.343
BTK	1.44725
KRCC1	1.46125
C6orf27	0.508
SYTL5	-1.461
PRND	1.491
LOC653319	-1.779
PIGL	-1.75075
HUS1	-0.0378333333333333
SFRS6	0.5085
C17orf77	1.002
UIMC1	-0.209166666666667
FXYD2	-2.024
LOC283152	0.8125
ZNF667	-0.94075
ZCCHC12	-0.66475
TFEC	4.2811
ATP7B	-0.316333333333333
POLD2	-1.57333333333333
RG9MTD1	0.278
ACOT2	-0.838333333333333
HIST1H4I	-0.969428571428571
PPARGC1A	-2.0169
ETFA	0.0684
POLRMT	-0.907
ZNF146	0.354
MIA2	-1.4405
KLHL6	0.990166666666667
HOXB5	1.171625
NENF	0.302166666666667
CUGBP1	-0.772
PRSS22	1.862
CASC4	0.7344
CUL4B	-0.2649
CENPJ	-1.2669
PITX1	1.50616666666667
FLJ31033	1.99566666666667
CELSR3	-2.067
ZNF568	1.048
ITSN1	0.0879166666666666
EHBP1L1	-0.439666666666667
C19orf2	-0.464
DCTN1	-0.09975
LIN28B	-3.7524
TNKS2	0.7835
C1QBP	-0.07475
CADPS2	1.512
SRMS	1.36625
GJA9	1.035
MGC24975	-1.22816666666667
TRIM45	-1.26816666666667
TSP50	-1.2335
TCP1	-0.6285
TMED7	0.319
CMA1	2.329
CENPL	-1.05866666666667
PTCRA	1.911
FST	-4.428
VWCE	-3.5655
PAWR	-1.595
ABCC12	-0.155333333333333
LDLR	-0.5884
ASTN2	0.7495
LOC441212	-1.20075
GPATCH8	-0.05025
TANC2	-1.17681818181818
KIF4A	-1.72775
C18orf18	-1.21875
PGM1	-0.83375
KIAA0258	0.1745
CPD	0.450625
SNCAIP	-0.937
DCT	-5.21416666666667
HLA-DOA	3.43585714285714
OR11L1	0.3665
UPK1B	0.3186
DNAJB4	0.3035
UGT1A8	-1.89566666666667
HIST1H4L	-1.535
PECR	-1.168
HSPA2	0.77075
WFIKKN1	-3.635
SERP1	1.157375
SYDE2	0.165666666666667
TACR2	-0.0155
NUP85	-0.86825
CD177	-0.241333333333333
LGR5	-2.70566666666667
PIGG	-0.836166666666667
PTHR1	-2.17733333333333
RAB5A	0.4396
FLJ13224	-0.46
USP9Y	-2.266
C7orf53	-1.109
LRP1B	1.13625
XAF1	3.5236
ABCG8	0.18
ANKDD1A	-0.536833333333333
DAND5	-2.266
SPAG6	0.399
LINCR	0.9655
ZDHHC22	-1.386875
CCDC60	0.59
THOC7	-0.737
TCTA	1.3936
OR8K3	-0.27525
NY-REN-7	-0.973
B2M	3.58883333333333
C6orf141	-0.9785
LPPR4	2.30575
SQLE	-0.212125
SEPHS1	-0.90575
BTBD14B	0.534714285714286
PLRG1	-0.18
SPG7	-0.992125
ZNF614	-0.275166666666667
PARD6G	0.637333333333333
INPP5B	-1.0147
GRPEL2	-0.251
PPID	-0.6592
TRIM56	-0.495
UBE2J1	0.242125
IL20RA	3.80825
LOC387856	0.161
C1orf107	0.0975
UTS2R	0.944
C19orf22	-0.522
SAFB2	-0.273625
KIAA0652	-0.163
KLRG1	1.5505
MS4A8B	0.667666666666667
FRAG1	0.000499999999999997
KIAA1546	-0.10525
E2F4	-1.3732
CLEC4M	0.0785
BTBD14A	-1.2245
KIAA0999	0.7607
GYPA	-1.716
TAC1	3.7809
TRAIP	-1.55533333333333
KIAA0232	0.4685
ERCC8	-1.25075
GPX4	-0.14625
KIAA0368	0.36
GPR157	-0.279166666666667
CTAGE4	-0.6905
C9orf30	-1.17516666666667
OR52A1	-0.617
HSP90B3P	-0.0875
ALG9	-0.6446
BTBD10	0.0945
SDK2	-0.0823333333333333
BAIAP3	-1.03925
RABGGTB	-0.201875
ANKRD40	0.0948333333333333
KRT74	0.438
CALCOCO2	1.09642857142857
SNCA	-2.73975
TMSL8	-3.807875
C2orf53	0.051
ESRRB	-0.79575
ARHGAP26	-1.519375
TDRD9	-2.305
HRAS	0.4875
KLRC4	-1.014
JAGN1	-0.533333333333333
BSDC1	0.2465
RNF43	-0.3577
NDUFAF1	0.68475
PHF12	0.2245
OR1L3	0.12525
FOLR2	2.35783333333333
LYZL6	-0.1655
tcag7.1260	-1.923
WSB1	-1.00516666666667
PROS1	0.0833333333333333
OSTN	0.49
PSMB8	2.2255
SOCS4	-0.846375
DDIT4L	1.9385
MAS1	-0.4035
MGC34796	1.88
CSHL1	0.378833333333333
TBCCD1	-0.204833333333333
ZBTB7C	1.334
AP2S1	1.033875
P15RS	-0.3106
VAT1	-1.0492
SHANK3	0.553333333333333
TUFM	-0.786166666666667
THEG	-1.4565
KRT34	-2.25466666666667
SGSM3	0.570125
TOMM22	-0.3945
SOCS3	1.02633333333333
CPO	-0.6995
POP4	0.63
BHLHB3	1.63525
MALL	2.156
OR1B1	0.2375
PARK2	0.191333333333333
GPR124	1.0175
LCE1E	-0.361
RUVBL2	-0.70325
CGRRF1	-0.012
ACPL2	-0.136
WNT10B	-2.399625
BAIAP2L2	-2.401375
ISCA1	0.3955
C1orf125	-0.943625
RPAP1	-0.71375
RAI16	-0.158
RPL27	-0.36475
NLRP9	-0.945
EPN1	1.3145
LOC388610	0.47975
SLC35A1	1.3226
GAL	-5.03925
SLC14A2	-0.19125
RDH11	-0.709166666666667
FAM138F	-0.035
AUH	0.7095
FLJ40243	0.20475
C14orf129	0.331833333333333
MBD2	-0.660333333333333
ABHD14B	0.303625
PIGT	-0.4585
ALS2CR4	-0.370875
ALAS1	0.1178
FOXO1	1.4705
CRLF3	0.269625
C20orf107	0.68
FARS2	0.6225
CCDC28A	0.9115
NPHP3	-0.77775
OR13F1	0.138
TSEN54	-0.895
DEFB106B	0.167875
OR8B4	-1.0995
STH	-0.25
ZC3H14	-0.98225
CBX2	1.1505
TMEM49	-1.07225
C6orf21	0.533
FLJ20920	-0.167875
CRTAP	-0.129071428571429
DDX50	-0.2435
STYXL1	-0.12625
BLVRB	0.639
LOC147650	1.37183333333333
MMP24	-0.26225
GRID1	1.8732
BANF1	-0.699333333333333
CTAGEP	-0.4135
HMBS	-2.05325
SLC25A24	0.0561666666666667
C14orf50	0.15275
MRO	0.613
SLC25A15	-0.51175
FAM84B	2.0365
TDP1	-1.0635
C16orf78	-0.455166666666667
C11orf57	-0.382
RFK	-0.554625
ZFYVE9	0.323875
STCH	-0.746
WIBG	0.23175
LOC283871	0.0261666666666667
GBA2	-0.4015
NDUFB3	0.762
HSD17B13	0.333
GRIN3A	1.566
FMNL1	0.154666666666667
SEPT7	0.00129999999999999
GNLY	5.023
GRAMD1C	0.546833333333333
ZNF165	-0.1685
USP38	0.34725
FAM83A	-4.0712
C14orf24	0.0955833333333333
ARMCX3	0.740125
ARHGDIB	1.2825
AK1	0.05825
KIAA1045	0.378666666666667
DNAJB13	0.155
NEU2	0.775
HIST1H4B	-1.1715
FAM20B	-0.5109
HES2	0.0888461538461538
FAM73B	-0.478666666666667
LOC388381	-0.66375
INTS7	-0.658818181818182
AMPH	0.80675
ZNF775	-0.084125
UCKL1	-0.653333333333333
C10orf97	0.521
C1orf161	-0.20475
ALDH1L1	-1.552
FLJ39378	-0.809375
SLC23A1	-1.2895
RBM4B	0.37725
THAP4	-0.137833333333333
OGFRL1	0.16125
KIAA0831	0.2725
PPP1R15A	-0.793166666666667
C1orf96	-0.0755
C12orf11	-1.763
BMF	1.12375
MAN1A1	-0.755625
KIAA1600	0.786
NLGN4X	-0.05375
ALOX12	-1.10216666666667
RB1CC1	0.3977
NEIL2	0.5545
EIF4E	0.348363636363636
ABHD5	-0.23925
EXOC4	-0.5095
CIP29	0.272166666666667
BATF2	2.39575
SLC29A4	-1.174875
HTR4	-0.06025
EMB	0.50125
TRAF6	0.08675
LMNB1	-2.69325
FAM19A5	-1.7575
SHE	1.6985
PIK3C2B	1.38275
C15orf15	0.611
USP15	0.0328
TCEAL2	1.78975
C5orf39	0.711333333333333
PTGER2	-0.076
SLC31A1	0.3005
IFT172	0.4025
ADAM29	1.02433333333333
GFOD1	0.471
ST7L	0.139833333333333
C15orf26	-2.25533333333333
PKN3	-1.4625
CNTD1	0.72
COMMD1	0.461125
NTRK2	2.636
FOXN3	0.00774999999999998
MFGE8	-0.7821
PFKFB2	0.847
TAS2R4	-0.20475
ENTHD1	2.498
PRMT5	-1.760125
MGC16384	-1.132375
LOC442229	-0.6085
TSKU	1.54875
KRTCAP3	2.4175
PDLIM1	0.7071
KCNS2	0.561666666666667
RNF126	-0.763666666666667
CEP63	0.28475
CLIC4	-0.745125
hCG_1990170	0.2325
ACR	0.2128
KLK7	1.85825
ALOX5AP	4.17825
RIPK3	3.243
TAS2R9	0.426
C19orf18	0.0205
BIRC6	0.336142857142857
ZNF16	1.018
RFT1	-0.84425
SLC8A2	-1.20425
TACC1	-0.039875
ITGAD	1.55925
SAMHD1	2.224
SH3PXD2B	0.4307
EPC2	0.558
C20orf85	1.254375
ATP13A2	0.3655
KRT4	0.54475
CAPNS1	0.04075
MDM2	-1.58541666666667
PCDH20	2.4905
KCNK9	1.2005
OR2C1	0.591
KLHDC3	-0.784666666666667
IPPK	0.896
EFHD2	-0.371
GALR3	0.6925
NBEA	0.503166666666667
ABCA6	3.7571
CLDN3	-0.388833333333333
AKT2	-0.460357142857143
EGFR	-1.9484
RBM16	0.016375
ZDHHC3	0.2532
SLC25A4	-1.53266666666667
CYB5B	-0.494666666666667
CPXM1	0.4175
NDRG1	-1.43746153846154
FLJ43826	0.44325
OR5L2	0.872
FARP2	0.1339
MRPL46	0.56175
LDHAL6B	-0.871333333333333
MAPKAPK3	0.176
NCAM2	1.5775
PRKD2	0.9375
ZFP36L1	1.4159
CYSLTR1	2.50825
OR4C3	-0.11725
HIST1H2AJ	0.8235
CCNB2	-1.74088888888889
ZNF10	0.12275
TMEM175	0.1445
FAM134A	0.553833333333333
TIGD4	0.2675
PCNP	0.00575
MGC39715	0.69325
LQK1	-1.008
CREB1	0.2369
TMPRSS3	1.7765
C4orf32	1.913
LAT	0.350666666666667
KCNA3	-0.4375
SKIV2L2	-0.79425
ROPN1B	-1.355
tcag7.23	0.5135
CDT1	-3.46325
ZHX2	1.047625
CD28	-0.61325
ZNF624	0.38825
SEPT2	0.522833333333333
SOHLH2	-2.573
MCOLN3	-0.989714285714286
UNQ1945	0.454
MASP2	-2.496
ZNRF3	-0.1048
GPATCH3	-0.50175
AGL	3.325
QRICH2	-0.4765
PSD4	1.14133333333333
CCNB1IP1	-2.45275
ENPP7	-0.917
OBFC1	0.12
KCNG3	-2.51266666666667
C14orf79	-0.34125
ENPEP	1.217
SCT	2.2085
SKI	0.552571428571429
SEC61G	-0.86225
CAPN11	0.183
ATXN7L3	-0.40675
DBNDD1	-1.02616666666667
FAIM	0.78025
ANKRD36	-0.8915
GABRP	2.4535
TACSTD2	1.6685
EIF3J	-0.12475
PPP2R2A	-1.01825
TEKT4	-0.169333333333333
PVALB	-3.10533333333333
F10	-1.931
FAM134C	0.6519
COMP	5.00325
EFCBP1	-2.56692857142857
SCLT1	0.760625
TAL1	-0.7698
ACSL1	2.376
ABCC5	-0.75225
ABL1	-0.714058823529412
RBBP7	4.0705
PTPRG	-1.4685
NCOR1	-0.3974
SPINK4	0.195833333333333
TXNRD1	-1.7244
TNRC15	0.285875
C9orf138	1.25625
UBE2H	0.097
BRDT	3.2055
C8orf31	-0.1575
CCNE2	-0.147090909090909
SLC6A8	-1.739375
CALCR	-3.16725
PPP1CB	0.805666666666667
ABHD8	-0.01925
ARF5	0.2415
SLC24A4	2.04125
CCT3	-0.15075
ZNF121	0.138375
SLC3A2	-1.5862
OR13A1	0.3185
SLC5A10	0.04125
RAD50	0.078125
IER5	-0.123
MTHFD1L	-2.5185
MBTPS2	-0.2535
MVK	-0.220625
NCL	-0.0529
PSMD10	0.1445
MOBP	0.852333333333333
FLJ32894	0.6185
HRH1	-0.173166666666667
C5orf30	0.88925
NUDT16L1	1.3877
RASGRP3	4.11366666666667
PRKRIP1	-0.7635
CCDC75	0.21125
LOC253970	1.20175
KIAA1239	0.745
MED21	-0.43325
SYT11	0.3935
NTSR2	0.6215
EGFL11	0.361
CXorf59	0.695
OR2A25	1.172
SPTBN2	0.41225
LRMP	1.086
RNF111	0.27025
PTH	-0.5495
LOC619208	0.511333333333333
KIAA0895	0.32
RANBP5	-1.1405
P2RY10	2.91033333333333
NME5	2.6055
DDX21	-0.40325
LRSAM1	-0.3015
HDAC11	0.558833333333333
VMO1	1.37725
NOLA2	-0.227666666666667
ADAR	0.844166666666667
MTO1	-0.8205
SF4	0.726166666666667
P2RX1	0.710666666666667
HBM	0.101
EN2	0.474
C14orf172	-0.3655
TM9SF2	0.932
INHBE	-0.998333333333333
TCTE3	-8.33333333333427e-05
TOX2	-1.23875
CTAGE3	-0.05325
HBB	3.8249
MED15	-0.373166666666667
CASR	-0.54975
C6orf66	-0.732666666666667
MTPN	-0.4375
UNC50	0.506
C21orf33	0.5935
IRF2	0.77675
PGR	1.96533333333333
GPR84	2.39925
CROCCL1	-1.9675
SRPX	-1.3965
BRE	0.115333333333333
FGF10	-0.6815
SDC3	-0.307333333333333
ZRSR1	1.406
DKFZP434P211	-0.474857142857143
SOX6	0.187
RPUSD2	-0.1195
C14orf173	-0.380916666666667
MAPK11	0.291833333333333
TBC1D22A	0.9095
FAM123A	-0.4325
COL4A6	-1.56516666666667
TOMM70A	0.72775
NAB1	-0.270125
MGC16385	-0.914125
TSPAN18	-1.06533333333333
MED31	0.03475
PLG	-0.048
CAPSL	3.754
ZNF532	1.1829
ASB14	-0.264
CA8	0.34125
NUDT16P	0.5425
SLFN11	0.3055
LRRIQ2	-0.66625
NOL7	-0.2795
BRMS1L	-0.598625
JARID1A	0.0561666666666667
PANK2	-0.57125
ICAM3	0.52675
MDS1	0.086
TAF8	-1.79375
RNF139	1.655
ZNF594	-0.477
ADAM8	1.7955
SFTPC	0.186125
MAN2B2	1.3245
RGS12	-0.104625
EIF1AY	-3.916
LRRIQ1	-0.999166666666667
GPR150	0.92575
CCDC21	-1.8695
PRRG3	-0.40625
SAA4	-4.188
RAPGEF5	0.080125
ZCCHC2	0.630416666666667
MGC39372	0.478
PPP4R2	-0.129833333333333
CDCA2	-2.1244
OR4D5	0.3642
PTGFRN	0.7206
SIGLEC5	2.914
C19orf61	-0.0751666666666667
NMUR2	0.163
KIAA1586	-0.367
DAGLA	-1.18033333333333
CHCHD6	-0.63375
GPR32	1.3615
NEUROD6	0.7125
SLC2A4RG	-0.0470625
CA5B	0.84425
FBXL3	1.39425
MPHOSPH9	-1.8985
HMG2L1	-0.548
HCN4	0.6615
CEACAM19	1.39575
SH2D4B	-0.2426
HFE2	-2.347
TGM4	-0.00420000000000003
LYPD2	-0.517333333333333
TBC1D15	0.5315
MRPS21	0.5363
NONO	-0.5685
CLEC5A	1.228625
ITCH	-0.2817
MGAT3	-0.096
MBP	0.208125
RPP25	0.194
SOSTDC1	-0.25575
HRC	-1.95925
TRIM48	-0.0970000000000001
TMEM133	-0.06675
ECEL1P2	-1.05133333333333
HOXC11	0.717
DOK5	-0.2175
HELZ	-0.484666666666667
LOC348180	-1.441
MGC33894	-0.145
ADRB3	-0.3085
DMD	-0.241916666666667
PTRH2	-0.52825
MPEG1	4.06016666666667
NDUFA12	0.0661666666666667
KRTAP2-4	-0.0395
STAMBPL1	-0.263833333333333
ADCY2	-0.3058
UNQ6125	-0.019
KLHL20	-0.201833333333333
SRM	-0.09525
OTC	0.29175
TMIE	-0.200166666666667
SNX8	-0.186
LIPK	1.4365
CHURC1	-0.480333333333333
KLC2	0.1695
HDAC1	-0.776833333333333
FAM128A	-0.170333333333333
FNDC3B	-0.141
MTCP1	-0.772666666666667
WFDC10B	-0.0482222222222222
PCDHGB3	0.9535
ATRNL1	1.8714
CAV2	-0.756125
MED26	0.0566666666666667
DUS1L	0.32675
CHRM3	-2.01275
NEK9	-0.0685
WARS2	0.04275
TBX22	-0.3725
TOMM40	-0.3155
RP6-213H19.1	-0.111333333333333
TUBGCP5	-0.31275
IGSF6	6.62425
TPPP	0.172333333333333
UNQ6190	-0.3575
GSTM5	0.141375
BTD	-0.262666666666667
PDCD1LG2	1.03283333333333
SNRPB2	0.0428333333333333
ERICH1	-0.49
APOA4	-1.840875
HOXA11	-0.440666666666667
NARG1	0.33375
MKX	-0.7355
RAB28	0.229642857142857
PKP3	1.1255
SH3GL2	-2.27133333333333
CTSO	3.4425
RPN2	0.1779375
IL28RA	0.263666666666667
SFMBT1	-0.289
WDR57	-0.075875
FER1L3	-0.14225
HSF5	0.8402
TTC9B	-0.3495
C4BPA	-3.99983333333333
ALB	-5.71625
SORBS3	-0.889875
UPF2	0.4945
JPH1	0.2995
AGBL2	0.10425
DOPEY1	1.624
TERF1	0.354
KIF22	-0.656
NINJ1	1.049
SEC61A2	-0.375
HIST1H1D	-0.0161666666666667
SFXN4	0.14125
UCP3	0.4752
ZNF703	0.497333333333333
MYL6B	-0.73725
TREM1	0.196
OR52E6	1.383
CKMT2	2.24425
HLA-C	3.161625
SLC13A3	-1.07633333333333
TIMP4	-2.688
SLIT2	2.5315
RSF1	0.196611111111111
LONRF1	-1.20578571428571
MON1A	-0.548
CACNG6	-1.3884
DPPA4	-5.76333333333333
ZSWIM3	-0.826
ZNF804A	0.3904
CCIN	1.4035
SLC25A31	0.25325
KCNMB4	-0.75075
RABL5	0.324125
GALNS	-1.0674
STX6	0.25175
HIST1H1C	0.466
CIDEB	-0.4795
CASP4	1.11116666666667
PDK3	-0.5078
KCNJ11	0.6985
TPR	-0.336875
ZSCAN20	-1.6465
MTX2	0.0405
HIST1H2BH	0.63375
LOC283767	1.44925
LYRM7	-0.733555555555556
BRD3	-0.0358333333333333
HIST1H2BO	0.66875
MAGEB10	0.704
SLC45A1	-0.1155
SERPINA3	-0.25335
KIAA0143	2.0975
KCNJ16	2.6702
KRT79	-0.3955
FABP2	0.4575
NUT	0.82175
ZNF57	-0.54125
FBXL4	0.608625
CLEC9A	2.1655
UGT8	-1.2295
BMP2K	0.2975
MAPK4	-4.1965
SLC25A23	-1.7569
HINT1	-0.2533
KRTAP13-1	0.8865
SFXN5	0.1034
CHCHD2	-0.115166666666667
FAM3D	1.319
NDP	4.525375
RHOBTB1	0.312166666666667
SLC4A4	-0.87925
RPL38	0.25675
HTF9C	-0.889833333333333
AP2A2	0.106375
ZBTB46	-1.142
MAP7D1	0.079375
AOX1	-0.942333333333333
CYR61	1.6815
DTNA	-1.2035
JRKL	0.11625
TMOD3	-0.15375
EEA1	0.0375
ADCK5	0.54
IL1R1	1.8085
KLK3	0.308357142857143
HRSP12	1.43225
KTN1	0.20475
LOH11CR2A	1.8609
RELL2	-0.4415
MAB21L1	1.70925
C20orf59	-0.755
PHKB	0.14725
ADAM2	-1.4866
TBC1D8B	1.30183333333333
FAM13A1	-0.4638
LAPTM4B	-0.774083333333333
LCN8	-0.4025
TMEM147	0.5475
SYT4	-0.832
XPO7	-1.373
C9orf62	1.10575
GPR75	-0.38
TRIM5	0.4575
APOC1	0.264
RNASE4	0.636833333333333
PARD6B	-2.47075
ARID1A	0.00416666666666668
TPD52L3	0.965125
RRAGB	0.518333333333333
RCN2	-0.304166666666667
HIST2H2BE	0.518125
STARD7	-0.34925
SHMT2	-1.4745
KIAA1751	-0.6895
MLYCD	-0.53725
LOC162632	-1.2394
UQCRH	-1.34
RP11-217H1.1	0.419375
SDHA	-1.2355
NCLN	-1.0303
ZNF17	0.708166666666667
RCBTB2	-0.402
VEGFB	-0.5587
RP4-747L4.3	0.5725
COLQ	-0.367333333333333
MPN2	-0.891
DRG2	-0.91775
KLRB1	6.54075
ALPK2	-2.982
DNASE2B	1.06825
FLJ23834	-0.751666666666667
AXUD1	0.587166666666667
SAFB	-0.8992
NSUN4	-0.69275
RFX2	-0.507333333333333
MAPK8IP1	-0.032
FANCD2	-0.465357142857143
ANKZF1	-1.47566666666667
C19orf50	-0.52475
DUSP8	0.66525
SENP5	-0.5525
NFKBIL2	0.132
LBR	-0.467
IGFL1	1.0935
LZTS2	-0.96725
IL2RG	0.78675
CCDC51	0.1465
KLF3	0.144
ANKRD37	-2.01525
KCTD14	-0.8825
FZR1	-0.348583333333333
SLC44A4	3.3789
ESPL1	-1.46075
GMPR2	-0.5656
TBC1D19	-0.450666666666667
ERGIC1	0.596888888888889
ERBB4	3.0972
TSPAN32	1.40125
MAP4	0.133625
GPHN	-1.4205
SLC6A2	-0.602375
HIVEP1	0.68025
DFFB	-0.5516
EIF4EBP2	0.266625
DMRT1	0.0635
HSPB6	-0.59975
IER2	0.633333333333333
AIFM1	-0.4215
WWC2	-1.35766666666667
MRPL4	-0.568
FLJ21062	0.471166666666667
EPB41L4A	0.661833333333333
SH2D6	0.092
TAF4B	-1.65175
GAL3ST3	0.422
MALT1	-0.234666666666667
RTDR1	-0.58
ARVCF	0.494625
MEX3B	-1.444
FBXO16	0.79575
KIF7	-1.71675
C1QC	4.57033333333333
ZNF783	-0.8906
ZNF85	0.2245
MMP13	0.878
KIAA0329	0.0522857142857143
RTP3	-0.819
ZBED3	-0.51775
CLGN	-2.258
SLC25A37	-1.89833333333333
hCG_18290	-0.17025
OR5AS1	0.1265
SMARCC2	0.223083333333333
FAM109A	-0.509166666666667
CCDC12	-0.1755
USF2	0.705
DEPDC7	-1.87475
C20orf24	-0.6005
JMJD3	-0.8805
DSP	0.839285714285714
SLIC1	1.305375
FAM20A	1.1425
IRF2BP2	-0.5305
ZNF230	0.193
MSN	-0.319214285714286
