Hybridization REF	TCGA-BH-A1ET-01A-11R-A137-07
RMND5B	0.451083333333333
ZNF257	-0.30625
FLJ22167	-0.5825
EXOSC7	-0.1255
ROR2	1.65325
MAOA	-0.3585
TNNT3	1.407
GYPC	-1.4875
C7orf33	-0.0875000000000001
PLIN	3.561
LOC90826	0.1285
RNF4	-0.1377
F8A1	0.172833333333333
PLEKHG4	-1.35775
GRB2	-0.1118
HIST1H2AD	0.3405
DUS3L	-1.325
EIF1	-0.1565
RP5-1077B9.4	-1.28816666666667
FPGT	2.18425
GDF10	1.44516666666667
COQ9	-0.60525
GCC2	0.698071428571429
RARRES3	3.21575
PLXNA1	-1.1192
KIAA0100	-0.801
PMF1	0.16325
FNDC1	5.55375
HS2ST1	-0.369083333333333
CRELD2	-0.18225
C8G	-1.8325
CD82	0.18875
LIM2	-1.6765
UNQ6490	-0.5675
MMP16	0.759
DRD3	-0.00675000000000001
C5orf26	-0.83175
C11orf73	-0.188375
PTP4A2	2.31175
OR4M2	0.381
HPCA	-1.14366666666667
SEC14L1	-0.4145
CHFR	-0.290125
EMILIN1	0.564625
NDUFS4	-0.23925
COL18A1	0.3075
PDZD3	0.1202
C9orf16	0.0593333333333333
ERBB2IP	0.08
EMX2	4.18125
FUS	-0.05625
TF	-3.8659
CLCN4	-0.324
CXorf56	0.61825
C11orf72	-0.0745
ELAC2	-0.15225
NPR1	-0.4075
ASS1	-3.1075
USP42	0.095125
POLR2J	-0.1575
SEC23IP	1.328
UQCRC1	-0.10375
LOC729603	-0.3915
C1orf71	-0.49725
POLG	-2.605
ADAM23	-3.40075
TFR2	-1.55325
RICTOR	-0.3937
MGC39606	-0.13125
C19orf55	-0.33025
SNAPC1	-1.05233333333333
GNA11	0.78525
CCDC52	0.528333333333333
FSIP1	5.569
UPF3A	-0.270375
IGSF11	-2.40633333333333
LAGE3	0.13775
CHST6	-2.513
UNC13B	-0.141875
TTLL4	-1.617625
ZNF687	-0.305875
SDC2	-0.5975
COX7A2	0.19925
LAMB4	0.11225
FAM24A	0.68
LRRTM3	-1.88266666666667
GPHB5	0.015
OR4C13	0.0255
EIF3EIP	-0.550357142857143
HABP4	-1.0455
TMEM125	3.89275
CNTN2	-0.254625
ASNSD1	-0.3685
FUT4	-0.6775
ACF	-3.93875
LOC158381	1.305
CDH8	-0.447
AGPS	0.672833333333333
C4orf18	3.6705
PECI	0.867166666666667
UNG	-0.46125
GSTP1	-1.618
DCUN1D5	-1.253
DKFZP564J0863	-0.72775
SLC9A3R1	1.640625
BCDO2	0.081
CHMP7	0.270875
REM2	1.4235
DNHD1	-0.857125
FKBP4	0.147375
ZNF350	1.92325
MGC11102	-0.00737499999999999
BST1	1.16575
KISS1R	-0.0775
NCR2	-0.3215
DEFB125	0.397
UBE2W	1.123875
KRT15	0.061
C10orf99	-0.017
SCN11A	0.047
GFI1	-2.417
RDHE2	4.192
FHL1	-1.0575
OSGEP	0.202666666666667
GATA1	-3.50333333333333
SMC6	-1.14425
TTTY14	-1.80675
LPIN3	0.000750000000000001
RPL4	-0.7391
RBPMS	0.1945
PRPF3	-0.249166666666667
EMR1	0.1005
SPATA19	0.32575
XCR1	0.2915
IRX3	2.4197
RBM6	-0.402
KLF4	1.2632
UNC5CL	-2.031
SEBOX	0.1315
BTK	-0.738
KRCC1	1.133
C6orf27	0.4205
SYTL5	0.2495
PRND	3.143
LOC653319	-1.3385
PIGL	-1.436625
HUS1	-0.357833333333333
SFRS6	-0.202083333333333
C17orf77	0.256
UIMC1	-0.535833333333333
FXYD2	-2.1867
LOC283152	2.23675
ZNF667	-1.095
ZCCHC12	-1.32766666666667
TFEC	3.2234
ATP7B	2.66483333333333
POLD2	-1.45066666666667
RG9MTD1	-0.10975
ACOT2	1.10433333333333
HIST1H4I	-2.0225
PPARGC1A	-1.9796
ETFA	-2.1968
POLRMT	-0.38325
ZNF146	0.09225
MIA2	-3.0685
KLHL6	-0.714
HOXB5	-0.08325
NENF	0.394833333333333
CUGBP1	-0.3085
PRSS22	2.0575
CASC4	1.556
CUL4B	0.0954
CENPJ	-2.2854
PITX1	1.07916666666667
FLJ31033	0.617166666666667
CELSR3	-1.85216666666667
ZNF568	1.6095
ITSN1	-0.571
EHBP1L1	-1.11066666666667
C19orf2	-0.723
DCTN1	0.13475
LIN28B	-4.66683333333333
TNKS2	1.2035
C1QBP	-0.273125
CADPS2	1.808
SRMS	0.66175
GJA9	0.895666666666667
MGC24975	-0.378333333333333
TRIM45	-0.158666666666667
TSP50	0.256
TCP1	-1.05325
TMED7	0.8565
CMA1	1.241
CENPL	-1.96533333333333
PTCRA	-0.2745
FST	-2.76075
VWCE	-4.17675
PAWR	-0.3505
ABCC12	0.323833333333333
LDLR	-0.8065
ASTN2	1.0598
LOC441212	-1.292125
GPATCH8	-0.08275
TANC2	-0.522166666666667
KIF4A	-2.96675
C18orf18	-0.51025
PGM1	-0.85925
KIAA0258	0.6975
CPD	1.027125
SNCAIP	-0.93625
DCT	-4.56966666666667
HLA-DOA	3.13354545454545
OR11L1	0.426
UPK1B	-0.602333333333333
DNAJB4	0.197625
UGT1A8	-0.15475
HIST1H4L	-2.4425
PECR	-0.726
HSPA2	1.61775
WFIKKN1	-1.522
SERP1	1.849625
SYDE2	1.4515
TACR2	1.191
NUP85	-0.686
CD177	-1.28466666666667
LGR5	-3.1002
PIGG	0.126583333333333
PTHR1	-1.5415
RAB5A	0.3617
FLJ13224	-1.331
USP9Y	-2.13066666666667
C7orf53	-1.247
LRP1B	-1.1835
XAF1	1.0728
ABCG8	-0.743
ANKDD1A	-0.623
DAND5	-2.289
SPAG6	0.0493333333333333
LINCR	1.00525
ZDHHC22	-1.463125
CCDC60	0.2615
THOC7	-0.974333333333333
TCTA	1.7714
OR8K3	0.1445
NY-REN-7	-0.499
B2M	1.21833333333333
C6orf141	-2.6295
LPPR4	1.84175
SQLE	-3.142
SEPHS1	-0.61375
BTBD14B	0.447428571428571
PLRG1	-0.36175
SPG7	-0.7150625
ZNF614	-0.136833333333333
PARD6G	0.646666666666667
INPP5B	-0.6056
GRPEL2	-0.419875
PPID	-1.1122
TRIM56	-0.33625
UBE2J1	0.017
IL20RA	6.19325
LOC387856	0.54
C1orf107	-0.428333333333333
UTS2R	0.501
C19orf22	0.2155
SAFB2	0.08325
KIAA0652	0.091625
KLRG1	0.0325
MS4A8B	4.16283333333333
FRAG1	0.42
KIAA1546	0.68525
E2F4	-1.1932
CLEC4M	-0.272
BTBD14A	-0.91325
KIAA0999	1.2564
GYPA	-4.12133333333333
TAC1	2.83
TRAIP	-2.26366666666667
KIAA0232	1.2083
ERCC8	-1.253375
GPX4	0.377375
KIAA0368	-0.128125
GPR157	-1.52916666666667
CTAGE4	1.0985
C9orf30	-1.65183333333333
OR52A1	0.6865
HSP90B3P	-0.1855
ALG9	-0.3082
BTBD10	0.10675
SDK2	-1.03725
BAIAP3	1.64225
RABGGTB	-0.357875
ANKRD40	0.539166666666667
KRT74	0.8125
CALCOCO2	0.467571428571428
SNCA	-3.04775
TMSL8	-4.515875
C2orf53	0.058
ESRRB	-0.293
ARHGAP26	-2.033625
TDRD9	-2.3175
HRAS	0.439833333333333
KLRC4	-1.8005
JAGN1	0.102166666666667
BSDC1	0.4715
RNF43	-0.3902
NDUFAF1	1.16725
PHF12	0.784
OR1L3	0.36475
FOLR2	1.49541666666667
LYZL6	0.443333333333333
tcag7.1260	-1.8365
WSB1	-1.148
PROS1	-0.5704
OSTN	0.389
PSMB8	0.821
SOCS4	-0.2745
DDIT4L	0.954
MAS1	-0.372
MGC34796	2.901
CSHL1	0.61
TBCCD1	0.0966666666666667
ZBTB7C	0.5545
AP2S1	0.097125
P15RS	-0.3796
VAT1	-0.7739
SHANK3	0.807
TUFM	-0.0828333333333333
THEG	-1.37025
KRT34	-2.309
SGSM3	-0.193875
TOMM22	-1.087875
SOCS3	1.39933333333333
CPO	0.854
POP4	0.12825
BHLHB3	1.54875
MALL	1.56725
OR1B1	-0.1005
PARK2	0.201166666666667
GPR124	0.678
LCE1E	-0.5855
RUVBL2	-1.07
CGRRF1	0.5253
ACPL2	1.211
WNT10B	-2.922
BAIAP2L2	-2.650625
ISCA1	0.316
C1orf125	0.17025
RPAP1	-0.6165
RAI16	0.0755
RPL27	-0.427625
NLRP9	-0.0105000000000001
EPN1	0.4195
LOC388610	-0.878625
SLC35A1	1.6434
GAL	-4.74525
SLC14A2	0.553
RDH11	-0.355333333333333
FAM138F	-0.145
AUH	0.68475
FLJ40243	-0.099
C14orf129	0.766
MBD2	-0.431666666666667
ABHD14B	0.833625
PIGT	0.7535
ALS2CR4	-0.6965
ALAS1	0.8507
FOXO1	0.795833333333333
CRLF3	-0.884125
C20orf107	-0.444
FARS2	0.8555
CCDC28A	0.99375
NPHP3	-0.63975
OR13F1	0.747
TSEN54	-0.701
DEFB106B	0.2417
OR8B4	0.7345
STH	1.6255
ZC3H14	-0.267625
CBX2	0.0635
TMEM49	-1.1715
C6orf21	0.414
FLJ20920	1.40875
CRTAP	0.426142857142857
DDX50	-0.28075
STYXL1	-0.10475
BLVRB	1.002
LOC147650	-0.951166666666666
MMP24	0.55375
GRID1	2.4455
BANF1	-0.253666666666667
CTAGEP	0.9905
HMBS	-1.8945
SLC25A24	0.743666666666667
C14orf50	2.6585
MRO	0.323666666666667
SLC25A15	-0.19225
FAM84B	1.5718
TDP1	-0.657
C16orf78	-0.0728333333333333
C11orf57	-0.04875
RFK	-0.459125
ZFYVE9	0.0505
STCH	-0.7941
WIBG	0.782
LOC283871	0.413333333333333
GBA2	0.00190000000000001
NDUFB3	0.33325
HSD17B13	-0.581
GRIN3A	0.9522
FMNL1	-0.549333333333333
SEPT7	-0.6422
GNLY	2.6495
GRAMD1C	1.558
ZNF165	-0.26575
USP38	0.8345
FAM83A	-3.76233333333333
C14orf24	0.558666666666667
ARMCX3	1.455625
ARHGDIB	1.72083333333333
AK1	0.7615
KIAA1045	0.2725
DNAJB13	-0.395333333333333
NEU2	1.428
HIST1H4B	-1.829
FAM20B	-0.5496
HES2	-0.274307692307692
FAM73B	-0.2524
LOC388381	0.647
INTS7	-1.17509090909091
AMPH	1.2025
ZNF775	-0.655375
UCKL1	-0.796333333333333
C10orf97	0.40375
C1orf161	0.29925
ALDH1L1	-1.19525
FLJ39378	-0.166875
SLC23A1	-0.4305
RBM4B	0.4775
THAP4	0.813
OGFRL1	-0.63375
KIAA0831	0.37975
PPP1R15A	-0.747833333333333
C1orf96	-1.33764285714286
C12orf11	-1.8595
BMF	0.240125
MAN1A1	-0.239375
KIAA1600	1.01766666666667
NLGN4X	-0.96325
ALOX12	-1.35166666666667
RB1CC1	0.1154
NEIL2	0.7456
EIF4E	-0.0455
ABHD5	-0.11625
EXOC4	0.0185
CIP29	-0.0911666666666667
BATF2	1.235
SLC29A4	-1.315125
HTR4	0.159
EMB	-1.0795
TRAF6	0.78875
LMNB1	-4.15275
FAM19A5	-1.53325
SHE	2.0685
PIK3C2B	0.713
C15orf15	0.0751
USP15	-0.2408
TCEAL2	1.0265
C5orf39	-0.6215
PTGER2	-1.7575
SLC31A1	0.0786875
IFT172	0.397
ADAM29	0.2625
GFOD1	-0.000500000000000001
ST7L	0.386333333333333
C15orf26	-2.9605
PKN3	-1.6015
CNTD1	4.016
COMMD1	0.690625
NTRK2	3.14025
FOXN3	-0.484
MFGE8	-0.8111
PFKFB2	0.431666666666667
TAS2R4	-0.299
ENTHD1	-0.5045
PRMT5	-0.889625
MGC16384	-1.832125
LOC442229	-0.64075
TSKU	2.128375
KRTCAP3	2.218
PDLIM1	-0.2499
KCNS2	-0.062
RNF126	-0.635
CEP63	0.398
CLIC4	-0.199
hCG_1990170	0.707
ACR	0.7507
KLK7	0.69825
ALOX5AP	3.591
RIPK3	4.49275
TAS2R9	0.1845
C19orf18	3.0015
BIRC6	0.214857142857143
ZNF16	0.922
RFT1	-0.8145
SLC8A2	-0.558
TACC1	-0.3335
ITGAD	0.6245
SAMHD1	0.99925
SH3PXD2B	0.9749
EPC2	1.149
C20orf85	0.5765
ATP13A2	0.513666666666667
KRT4	0.227
CAPNS1	0.5185
MDM2	-0.124166666666667
PCDH20	3.694
KCNK9	0.479
OR2C1	0.636
KLHDC3	-0.6575
IPPK	1.125
EFHD2	0.155125
GALR3	0.3985
NBEA	1.18333333333333
ABCA6	3.7086
CLDN3	0.8145
AKT2	0.0200714285714286
EGFR	-2.0904
RBM16	0.66075
ZDHHC3	0.1577
SLC25A4	-0.818333333333333
CYB5B	-1.40866666666667
CPXM1	0.54375
NDRG1	-0.818538461538462
FLJ43826	1.856
OR5L2	-0.131166666666667
FARP2	0.85
MRPL46	-0.285583333333333
LDHAL6B	0.1285
MAPKAPK3	0.543666666666667
NCAM2	-1.91825
PRKD2	0.286833333333333
ZFP36L1	1.381
CYSLTR1	1.75125
OR4C3	0.6205
HIST1H2AJ	1.635
CCNB2	-3.75066666666667
ZNF10	0.519
TMEM175	0.2475
FAM134A	0.781333333333333
TIGD4	0.6845
PCNP	-0.10525
MGC39715	1.0645
LQK1	-0.59375
CREB1	0.5887
TMPRSS3	0.753
C4orf32	3.2285
LAT	-1.7825
KCNA3	-0.92
SKIV2L2	-0.832
ROPN1B	-2.129
tcag7.23	0.1955
CDT1	-3.9365
ZHX2	0.822625
CD28	-3.7765
ZNF624	1.51525
SEPT2	0.67075
SOHLH2	-2.003375
MCOLN3	-0.985857142857143
UNQ1945	0.344
MASP2	-1.5765
ZNRF3	-0.6029
GPATCH3	-0.43825
AGL	0.7455
QRICH2	-0.5675
PSD4	1.76033333333333
CCNB1IP1	-1.963
ENPP7	0.32475
OBFC1	0.3425
KCNG3	-2.53925
C14orf79	1.33108333333333
ENPEP	2.032
SCT	1.2825
SKI	0.185875
SEC61G	-0.96
CAPN11	0.424
ATXN7L3	-0.21275
DBNDD1	-0.863333333333333
FAIM	0.22575
ANKRD36	-1.46
GABRP	3.1435
TACSTD2	3.25716666666667
EIF3J	-0.48525
PPP2R2A	-0.61825
TEKT4	-0.8655
PVALB	-3.64833333333333
F10	-2.89183333333333
FAM134C	1.2013
COMP	4.40075
EFCBP1	-2.63675
SCLT1	-0.153875
TAL1	-1.0294
ACSL1	-0.2945
ABCC5	0.122916666666667
ABL1	-0.356944444444444
RBBP7	2.49866666666667
PTPRG	-0.31125
NCOR1	0.1066
SPINK4	2.26883333333333
TXNRD1	-2.1955
TNRC15	0.087375
C9orf138	1.082125
UBE2H	0.944
BRDT	-0.4795
C8orf31	0.2135
CCNE2	-2.43227272727273
SLC6A8	-1.56
CALCR	-4.4685
PPP1CB	0.127666666666667
ABHD8	0.487
ARF5	0.4342
SLC24A4	0.8615
CCT3	-0.8445
ZNF121	0.677375
SLC3A2	-1.4229
OR13A1	0.2665
SLC5A10	-0.03625
RAD50	-0.01875
IER5	-0.287875
MTHFD1L	-2.710875
MBTPS2	0.258
MVK	-0.68725
NCL	-0.6644
PSMD10	-0.125
MOBP	0.20525
FLJ32894	-0.8315
HRH1	-1.08283333333333
C5orf30	1.555
NUDT16L1	1.5153
RASGRP3	4.124
PRKRIP1	-0.4065
CCDC75	0.28875
LOC253970	-0.2455
KIAA1239	0.50975
MED21	-0.08075
SYT11	0.559333333333333
NTSR2	-0.909
EGFL11	-0.469
CXorf59	-1.206
OR2A25	0.3095
SPTBN2	0.137
LRMP	-1.06383333333333
RNF111	0.37125
PTH	0.314
LOC619208	0.649666666666667
KIAA0895	1.34225
RANBP5	-1.1735
P2RY10	1.203
NME5	4.7195
DDX21	-0.95925
LRSAM1	-0.333
HDAC11	2.39733333333333
VMO1	2.5
NOLA2	-0.452833333333333
ADAR	0.500416666666667
MTO1	-0.857333333333333
SF4	0.0701666666666667
P2RX1	-0.233666666666667
HBM	0.20775
EN2	0.3655
C14orf172	-0.04875
TM9SF2	0.8183
INHBE	-1.0045
TCTE3	-0.095
TOX2	-3.1285
CTAGE3	1.326875
HBB	3.3864
MED15	-1.17666666666667
CASR	0.372
C6orf66	-1.0995
MTPN	-0.029
UNC50	0.534
C21orf33	0.36775
IRF2	1.458125
PGR	3.16066666666667
GPR84	2.596
CROCCL1	-2.02075
SRPX	-1.659
BRE	0.409833333333333
FGF10	1.615
SDC3	-0.106666666666667
ZRSR1	1.98266666666667
DKFZP434P211	-0.404
SOX6	-0.362
RPUSD2	-0.139
C14orf173	0.00566666666666666
MAPK11	-0.391
TBC1D22A	0.0305
FAM123A	-1.454
COL4A6	-2.93266666666667
TOMM70A	0.073
NAB1	-0.061375
MGC16385	-0.226625
TSPAN18	-0.298166666666667
MED31	0.369
PLG	-0.32325
CAPSL	2.717
ZNF532	0.4481
ASB14	0.04125
CA8	0.24375
NUDT16P	2.87983333333333
SLFN11	-1.2505
LRRIQ2	0.4995
NOL7	-0.398166666666667
BRMS1L	-0.40575
JARID1A	-0.145666666666667
PANK2	-0.604
ICAM3	-0.087
MDS1	-0.5995
TAF8	-0.0555
RNF139	1.07275
ZNF594	0.587833333333333
ADAM8	-0.019875
SFTPC	-0.115875
MAN2B2	1.700875
RGS12	0.6316875
EIF1AY	-4.9555
LRRIQ1	-0.893666666666666
GPR150	0.556
CCDC21	-1.14733333333333
PRRG3	-0.1615
SAA4	-3.954
RAPGEF5	1.993375
ZCCHC2	0.240833333333333
MGC39372	-0.178
PPP4R2	-0.00716666666666667
CDCA2	-2.98566666666667
OR4D5	0.414166666666667
PTGFRN	1.7439
SIGLEC5	2.54233333333333
C19orf61	-0.0531666666666667
NMUR2	0.3845
KIAA1586	-0.643333333333333
DAGLA	0.453
CHCHD6	-0.363
GPR32	0.3205
NEUROD6	0.142166666666667
SLC2A4RG	0.533
CA5B	1.1915
FBXL3	1.357
MPHOSPH9	-1.537
HMG2L1	0.0115
HCN4	-0.167666666666667
CEACAM19	0.35225
SH2D4B	0.670166666666667
HFE2	-0.9735
TGM4	0.2146
LYPD2	-0.6295
TBC1D15	0.254
MRPS21	-0.5747
NONO	-0.9423
CLEC5A	3.493375
ITCH	-0.1772
MGAT3	-1.182
MBP	-0.5925
RPP25	-1.55825
SOSTDC1	-0.26
HRC	-1.35575
TRIM48	0.4165
TMEM133	0.20825
ECEL1P2	-1.90775
HOXC11	1.401
DOK5	-0.66925
HELZ	-0.183666666666667
LOC348180	-1.04925
MGC33894	0.35075
ADRB3	0.234
DMD	0.152416666666667
PTRH2	-0.561
MPEG1	3.07933333333333
NDUFA12	0.216166666666667
KRTAP2-4	-0.00166666666666664
STAMBPL1	-1.88316666666667
ADCY2	0.191166666666667
UNQ6125	-0.261
KLHL20	-0.259333333333333
SRM	-0.92075
OTC	-0.2445
TMIE	-0.1365
SNX8	-0.48675
LIPK	1.038
CHURC1	0.719333333333333
KLC2	0.269
HDAC1	-0.2635
FAM128A	1.0325
FNDC3B	-0.1092
MTCP1	-0.2055
WFDC10B	1.7189
PCDHGB3	-0.00750000000000001
ATRNL1	1.2065
CAV2	-0.4715
MED26	0.0015
DUS1L	0.52125
CHRM3	-1.636625
NEK9	0.783
WARS2	0.50475
TBX22	-0.695
TOMM40	-0.77525
RP6-213H19.1	-2.09083333333333
TUBGCP5	-0.46775
IGSF6	4.90575
TPPP	0.471333333333333
UNQ6190	0.7245
GSTM5	0.8625
BTD	1.25983333333333
PDCD1LG2	0.0876666666666667
SNRPB2	-0.320833333333333
ERICH1	-0.852375
APOA4	-1.72375
HOXA11	-2.33675
NARG1	-0.473125
MKX	-1.521
RAB28	-0.152857142857143
PKP3	0.9065
SH3GL2	-4.152
CTSO	3.6815
RPN2	-0.065
IL28RA	0.7915
SFMBT1	0.679
WDR57	-1.3545
FER1L3	1.03866666666667
HSF5	0.613666666666667
TTC9B	0.86775
C4BPA	-3.79733333333333
ALB	-5.07121428571429
SORBS3	0.314375
UPF2	-0.121
JPH1	0.392
AGBL2	1.3705
DOPEY1	2.017
TERF1	-0.454416666666667
KIF22	0.0496666666666667
NINJ1	1.44125
SEC61A2	-0.283666666666667
HIST1H1D	-1.33216666666667
SFXN4	-0.129625
UCP3	0.0356
ZNF703	0.7545
MYL6B	-0.5015
TREM1	2.16175
OR52E6	0.78
CKMT2	1.926
HLA-C	1.88775
SLC13A3	-1.576
TIMP4	1.21875
SLIT2	2.36425
RSF1	0.126888888888889
LONRF1	-0.763214285714286
MON1A	0.139
CACNG6	-1.96583333333333
DPPA4	-6.01533333333333
ZSWIM3	0.783
ZNF804A	0.209166666666667
CCIN	2.19075
SLC25A31	2.096
KCNMB4	-0.7845
RABL5	1.013125
GALNS	-0.1471
STX6	-0.0495
HIST1H1C	-0.742333333333333
CIDEB	-0.850375
CASP4	0.333166666666667
PDK3	0.2044
KCNJ11	2.42
TPR	-0.515125
ZSCAN20	-0.596
MTX2	0.2005
HIST1H2BH	0.39475
LOC283767	1.43275
LYRM7	-1.17894444444444
BRD3	0.535666666666667
HIST1H2BO	0.22475
MAGEB10	0.119
SLC45A1	1.03125
SERPINA3	2.22405
KIAA0143	1.8985
KCNJ16	0.5855
KRT79	-0.52175
FABP2	-1.219
NUT	-0.5595
ZNF57	-0.50175
FBXL4	0.11925
CLEC9A	3.7375
UGT8	-1.81466666666667
BMP2K	0.542
MAPK4	-3.7405
SLC25A23	-0.174
HINT1	-1.6273
KRTAP13-1	-0.156
SFXN5	1.2733
CHCHD2	-0.39375
FAM3D	2.461
NDP	-0.427
RHOBTB1	-0.508
SLC4A4	5.105875
RPL38	-0.095
HTF9C	-0.994666666666667
AP2A2	0.715875
ZBTB46	-0.2595
MAP7D1	-0.107625
AOX1	-1.16733333333333
CYR61	1.19491666666667
DTNA	-1.79892857142857
JRKL	-0.0375
TMOD3	-0.29425
EEA1	0.4432
ADCK5	-0.4795
IL1R1	0.637166666666667
KLK3	0.362357142857143
HRSP12	-0.02475
KTN1	0.46825
LOH11CR2A	1.4125
RELL2	-1.38
MAB21L1	1.72875
C20orf59	-1.03083333333333
PHKB	0.00575
ADAM2	-2.44333333333333
TBC1D8B	2.3415
FAM13A1	-0.942375
LAPTM4B	-2.51558333333333
LCN8	0.167
TMEM147	0.505
SYT4	-0.0946666666666667
XPO7	-0.598
C9orf62	0.57525
GPR75	0.3365
TRIM5	0.163625
APOC1	-0.314833333333333
RNASE4	1.9805
PARD6B	-0.305875
ARID1A	0.442083333333333
TPD52L3	0.3213
RRAGB	1.237
RCN2	-0.726
HIST2H2BE	0.65675
STARD7	-0.66025
SHMT2	-1.4555
KIAA1751	-0.0691666666666666
MLYCD	0.322625
LOC162632	-0.1546
UQCRH	-1.501
RP11-217H1.1	0.76675
SDHA	-0.916333333333333
NCLN	-0.5803
ZNF17	1.08933333333333
RCBTB2	-0.876
VEGFB	0.051
RP4-747L4.3	-0.31225
COLQ	0.1123
MPN2	-1.58816666666667
DRG2	-0.22575
KLRB1	5.21675
ALPK2	-3.11525
DNASE2B	3.5105
FLJ23834	2.041
AXUD1	1.222
SAFB	-0.4687
NSUN4	-0.138
RFX2	0.0651666666666667
MAPK8IP1	-0.9565
FANCD2	-1.29342857142857
ANKZF1	-1.59983333333333
C19orf50	-0.28125
DUSP8	1.145625
SENP5	-0.372375
NFKBIL2	-0.55475
LBR	-1.663625
IGFL1	-0.237
LZTS2	0.0315
IL2RG	-0.83225
CCDC51	0.047
KLF3	0.7855
ANKRD37	-0.976
KCTD14	-1.54083333333333
FZR1	0.225083333333333
SLC44A4	4.1565
ESPL1	-1.795
GMPR2	0.4397
TBC1D19	0.0395
ERGIC1	1.2052962962963
ERBB4	3.0575
TSPAN32	0.350666666666667
MAP4	-0.0145
GPHN	-0.22775
SLC6A2	-0.28025
HIVEP1	0.526
DFFB	-0.1466
EIF4EBP2	0.534
DMRT1	-0.85525
HSPB6	-0.05125
IER2	0.593166666666667
AIFM1	0.306
WWC2	-0.0955
MRPL4	-0.58625
FLJ21062	2.563
EPB41L4A	1.80858333333333
SH2D6	0.47225
TAF4B	-1.9575
GAL3ST3	-0.122
MALT1	-0.879666666666667
RTDR1	-0.061
ARVCF	-0.213
MEX3B	-1.27283333333333
FBXO16	1.7565
KIF7	-1.2725
C1QC	4.09933333333333
ZNF783	-0.843
ZNF85	0.83475
MMP13	2.6975
KIAA0329	0.933
RTP3	-0.989
ZBED3	-0.69575
CLGN	1.87525
SLC25A37	-1.61870833333333
hCG_18290	-0.43125
OR5AS1	-0.232
SMARCC2	0.48075
FAM109A	-0.0126666666666667
CCDC12	-0.112
USF2	0.9738
DEPDC7	-2.458
C20orf24	-0.839833333333333
JMJD3	0.872
DSP	-2.348
SLIC1	0.4635
FAM20A	-0.228125
IRF2BP2	-0.526
ZNF230	0.109
MSN	-0.707428571428571
SLC9A5	-1.5
EPDR1	-2.2029
