Hybridization REF	TCGA-E2-A14V-01A-11R-A12D-07
DNAJB13	0.263666666666667
NEU2	0.899
HIST1H4B	-0.639
FAM20B	-0.4027
HES2	1.01061538461538
FAM73B	-0.4538
LOC388381	-0.11725
INTS7	0.121454545454545
AMPH	0.527333333333333
ZNF775	0.322625
UCKL1	-0.127833333333333
C10orf97	0.16175
C1orf161	0.239
ALDH1L1	-1.32625
FLJ39378	-0.34425
SLC23A1	-1.875
RBM4B	0.1445
THAP4	0.166333333333333
OGFRL1	-0.17375
KIAA0831	-0.032
PPP1R15A	0.362
C1orf96	-0.136571428571429
C12orf11	-1.309
BMF	0.89425
MAN1A1	0.488
KIAA1600	1.04683333333333
NLGN4X	-0.469
ALOX12	-1.363
RB1CC1	0.3774
NEIL2	0.6075
EIF4E	0.457045454545455
ABHD5	-0.479
EXOC4	-0.172833333333333
CIP29	0.5155
BATF2	-0.0875
SLC29A4	-0.555375
HTR4	0.00649999999999999
EMB	-2.14475
TRAF6	0.596
LMNB1	-0.1605
FAM19A5	-1.07425
SHE	1.26325
PIK3C2B	1.37975
C15orf15	-0.389
USP15	-0.1586
TCEAL2	0.71575
C5orf39	-1.06616666666667
PTGER2	-1.557
SLC31A1	-0.4988125
IFT172	0.13825
ADAM29	0.37575
GFOD1	-1.90075
ST7L	0.215666666666667
C15orf26	-2.0105
PKN3	-0.904
CNTD1	1.39733333333333
COMMD1	0.21325
NTRK2	2.87633333333333
FOXN3	-0.3095
MFGE8	-0.8051
PFKFB2	0.5985
TAS2R4	-0.7815
ENTHD1	1.071
PRMT5	-1.017625
MGC16384	-1.051
LOC442229	-0.86325
TSKU	0.988625
KRTCAP3	2.006375
PDLIM1	1.5299
KCNS2	0.24425
RNF126	-0.331333333333333
CEP63	0.0695
CLIC4	-0.66875
hCG_1990170	0.07075
ACR	0.2993
KLK7	2.69075
ALOX5AP	2.5715
RIPK3	4.237
TAS2R9	-0.258
C19orf18	2.9475
BIRC6	0.1085
ZNF16	0.687
RFT1	-0.93525
SLC8A2	-1.32366666666667
TACC1	-0.555125
ITGAD	-0.045
SAMHD1	1.16775
SH3PXD2B	1.0394
EPC2	0.4545
C20orf85	0.643
ATP13A2	-0.0863333333333334
KRT4	2.1375
CAPNS1	-0.28725
MDM2	-0.172916666666667
PCDH20	2.84825
KCNK9	0.7325
OR2C1	-0.0945
KLHDC3	-0.97
IPPK	0.8955
EFHD2	-0.0925
GALR3	1.30425
NBEA	0.466
ABCA6	1.7426
CLDN3	2.656
AKT2	-0.508642857142857
EGFR	-2.0579
RBM16	0.03525
ZDHHC3	0.1402
SLC25A4	-0.283
CYB5B	-0.671833333333333
CPXM1	0.14
NDRG1	-0.0790769230769231
FLJ43826	0.12375
OR5L2	-0.1492
FARP2	0.2414
MRPL46	-0.448916666666667
LDHAL6B	0.6792
MAPKAPK3	-0.511
NCAM2	0.66075
PRKD2	0.144666666666667
ZFP36L1	0.8821
CYSLTR1	-1.00525
OR4C3	0.703
HIST1H2AJ	1.5675
CCNB2	-0.944
ZNF10	-0.145375
TMEM175	0.7885
FAM134A	0.622833333333333
TIGD4	-0.1655
PCNP	-0.26575
MGC39715	1.1135
LQK1	-0.74875
CREB1	0.1247
TMPRSS3	1.92225
C4orf32	1.029875
LAT	-2.03325
KCNA3	-1.06
SKIV2L2	-0.58825
ROPN1B	-1.8675
tcag7.23	0.095
CDT1	-2.284125
ZHX2	1.389375
CD28	-3.652
ZNF624	1.264
SEPT2	0.198166666666667
SOHLH2	-3.7112
MCOLN3	-0.889
UNQ1945	0.5475
MASP2	-1.979
ZNRF3	-0.3215
GPATCH3	-0.72375
AGL	0.740875
QRICH2	-0.401
PSD4	-0.161666666666667
CCNB1IP1	-1.7645
ENPP7	-0.26475
OBFC1	0.575
KCNG3	-1.84875
C14orf79	0.342833333333333
ENPEP	0.735666666666667
SCT	2.0635
SKI	0.226
SEC61G	-0.70925
CAPN11	-0.1505
ATXN7L3	-0.76425
DBNDD1	-0.148333333333333
FAIM	0.6405
ANKRD36	-0.853
GABRP	3.38233333333333
TACSTD2	2.40066666666667
EIF3J	-0.52725
PPP2R2A	-0.49275
TEKT4	-0.640666666666667
PVALB	-0.383333333333333
F10	-2.69866666666667
FAM134C	0.5912
COMP	4.658
EFCBP1	-2.7749375
SCLT1	0.857
TAL1	-1.2926
ACSL1	2.05275
ABCC5	1.37933333333333
ABL1	-0.410388888888889
RBBP7	0.172416666666667
PTPRG	-0.685125
NCOR1	-0.2125
SPINK4	-0.847833333333333
TXNRD1	-1.8835
TNRC15	0.38375
C9orf138	-0.416625
UBE2H	1.27683333333333
BRDT	1.97133333333333
C8orf31	0.27625
CCNE2	0.131909090909091
SLC6A8	-1.50575
CALCR	-3.23625
PPP1CB	1.16741666666667
ABHD8	-0.058
ARF5	0.8264
SLC24A4	0.31825
CCT3	0.089
ZNF121	0.381375
SLC3A2	0.1975
OR13A1	0.5805
SLC5A10	1.083
RAD50	0.309
IER5	0.715375
MTHFD1L	-2.911375
MBTPS2	0.5075
MVK	0.12925
NCL	0.4014
PSMD10	0.1925
MOBP	0.9495
FLJ32894	0.803
HRH1	-0.441333333333333
C5orf30	0.73025
NUDT16L1	0.6831
RASGRP3	3.035
PRKRIP1	-0.3951
CCDC75	0.29325
LOC253970	0.23225
KIAA1239	-0.592666666666667
MED21	-0.70025
SYT11	-0.630333333333333
NTSR2	-0.33
EGFL11	0.173
CXorf59	0.266
OR2A25	0.576
SPTBN2	0.3775
LRMP	-2.04516666666667
RNF111	-0.5095
PTH	0.712
LOC619208	2.44133333333333
KIAA0895	1.6755
RANBP5	-0.648875
P2RY10	-0.0976666666666667
NME5	3.80433333333333
DDX21	-0.3215
LRSAM1	0.155
HDAC11	0.771
VMO1	1.163
NOLA2	-0.6065
ADAR	0.71
MTO1	-1.55066666666667
SF4	0.287666666666667
P2RX1	0.00483333333333333
HBM	-0.06375
EN2	1.2685
C14orf172	0.505
TM9SF2	0.83
INHBE	-1.63016666666667
TCTE3	-0.366166666666667
TOX2	-3.228
CTAGE3	-0.2685
HBB	3.5805
MED15	-0.577833333333333
CASR	0.414
C6orf66	-1.38383333333333
MTPN	-0.279
UNC50	-0.38975
C21orf33	-0.146875
IRF2	0.67675
PGR	1.26233333333333
GPR84	1.626
CROCCL1	-2.83825
SRPX	-2.02475
BRE	0.3775
FGF10	0.0783333333333333
SDC3	-1.02633333333333
ZRSR1	-0.0158333333333333
DKFZP434P211	-0.1395
SOX6	1.364
RPUSD2	-0.40025
C14orf173	-0.27975
MAPK11	-0.0813333333333333
TBC1D22A	0.5715
FAM123A	0.4355
COL4A6	-2.34766666666667
TOMM70A	0.686
NAB1	-1.154875
MGC16385	-0.284
TSPAN18	-0.834333333333333
MED31	-0.69875
PLG	-0.3555
CAPSL	3.899
ZNF532	1.8256
ASB14	-0.3005
CA8	-0.8235
NUDT16P	1.4085
SLFN11	-2.2935
LRRIQ2	-0.073125
NOL7	-0.338833333333333
BRMS1L	0.099375
JARID1A	0.381833333333333
PANK2	-0.10225
ICAM3	-0.665
MDS1	0.708
TAF8	-0.90775
RNF139	0.97475
ZNF594	-0.488833333333333
ADAM8	2.20825
SFTPC	0.12825
MAN2B2	1.08125
RGS12	-0.0193125
EIF1AY	-4.86072727272727
LRRIQ1	1.55383333333333
GPR150	1.1345
CCDC21	-1.30333333333333
PRRG3	0.21475
SAA4	-2.95625
RAPGEF5	0.36225
ZCCHC2	0.814083333333333
MGC39372	-0.4435
PPP4R2	0.151333333333333
CDCA2	-1.55616666666667
OR4D5	1.20466666666667
PTGFRN	1.433
SIGLEC5	0.565333333333333
C19orf61	-0.223333333333333
NMUR2	0.531
KIAA1586	0.426833333333333
DAGLA	-0.538666666666667
CHCHD6	0.24825
GPR32	0.573
NEUROD6	0.063
SLC2A4RG	0.536625
CA5B	-0.0175
FBXL3	1.19575
MPHOSPH9	-0.49
HMG2L1	0.15375
HCN4	0.6165
CEACAM19	0.038
SH2D4B	-0.191166666666667
HFE2	-0.7365
TGM4	-0.0736666666666667
LYPD2	-0.69075
TBC1D15	0.32875
MRPS21	-0.3219
NONO	-0.1813
CLEC5A	2.125375
ITCH	0.1318
MGAT3	-1.67516666666667
MBP	-1.444625
RPP25	-0.7475
SOSTDC1	1.13925
HRC	-2.2815
TRIM48	0.134
TMEM133	-0.276
ECEL1P2	-1.68775
HOXC11	1.7945
DOK5	-1.45825
HELZ	0.651
LOC348180	-1.34375
MGC33894	0.30225
ADRB3	0.0585
DMD	-0.262666666666667
PTRH2	0.83775
MPEG1	2.97316666666667
NDUFA12	-0.2755
KRTAP2-4	0.0793333333333333
STAMBPL1	-1.44766666666667
ADCY2	-0.7185
UNQ6125	-0.0595
KLHL20	0.578
SRM	-1.017
OTC	-0.24025
TMIE	0.0193333333333334
SNX8	1.41075
LIPK	-1.204
CHURC1	0.494583333333333
KLC2	0.309
HDAC1	-0.4685
FAM128A	0.483333333333333
FNDC3B	-0.6061
MTCP1	-0.351833333333333
WFDC10B	0.2019
PCDHGB3	0.066
ATRNL1	-0.7377
CAV2	-0.97675
MED26	0.00149999999999999
DUS1L	-0.364
CHRM3	-1.978375
NEK9	-0.29375
WARS2	-0.48825
TBX22	-1.057
TOMM40	-0.5915
RP6-213H19.1	1.064
TUBGCP5	-0.65975
IGSF6	4.2535
TPPP	0.144833333333333
UNQ6190	-0.3615
GSTM5	0.267625
BTD	-0.625
PDCD1LG2	-0.1362
SNRPB2	0.547666666666667
ERICH1	-0.767125
APOA4	-1.49825
HOXA11	-1.5125
NARG1	0.550625
MKX	-1.90675
RAB28	-0.114071428571429
PKP3	1.9585
SH3GL2	-3.74625
CTSO	3.02175
RPN2	0.9028125
IL28RA	0.17
SFMBT1	-0.28475
WDR57	0.0235
FER1L3	-0.246333333333333
HSF5	0.95
TTC9B	0.21325
C4BPA	-3.0978
ALB	-4.71128571428571
SORBS3	-0.016875
UPF2	0.335
JPH1	-1.058
AGBL2	-0.3765
DOPEY1	0.503
TERF1	-0.181
KIF22	-0.0168333333333333
NINJ1	1.51175
SEC61A2	-0.53225
HIST1H1D	-0.661833333333333
SFXN4	0.17475
UCP3	0.6954
ZNF703	1.01916666666667
MYL6B	-1.369
TREM1	2.75925
OR52E6	0.3925
CKMT2	0.23875
HLA-C	1.457875
SLC13A3	1.35083333333333
TIMP4	-3.095
SLIT2	0.99825
RSF1	-0.0920555555555556
LONRF1	-0.927
MON1A	-0.504
CACNG6	-1.55316666666667
DPPA4	-5.868
ZSWIM3	0.3005
ZNF804A	-0.3455
CCIN	1.99825
SLC25A31	0.7595
KCNMB4	-0.9895
RABL5	0.437625
GALNS	-0.9285
STX6	1.18175
HIST1H1C	-1.8205
CIDEB	0.508375
CASP4	0.255833333333333
PDK3	0.0697
KCNJ11	1.4295
TPR	-0.012
ZSCAN20	-0.707
MTX2	0.331
HIST1H2BH	0.02775
LOC283767	0.99475
LYRM7	-1.583
BRD3	0.344333333333333
HIST1H2BO	-0.1795
MAGEB10	2.2325
SLC45A1	-0.576
SERPINA3	1.062
KIAA0143	1.56875
KCNJ16	0.9415
KRT79	0.79825
FABP2	-1.283
NUT	-0.12
ZNF57	0.43725
FBXL4	-0.55025
CLEC9A	0.379
UGT8	-1.35066666666667
BMP2K	-0.33825
MAPK4	-3.357
SLC25A23	-0.379
HINT1	-0.4361
KRTAP13-1	-0.17
SFXN5	0.7569
CHCHD2	0.954833333333334
FAM3D	1.2235
NDP	-0.74625
RHOBTB1	-0.1575
SLC4A4	-1.94142857142857
RPL38	-0.52525
HTF9C	-0.409666666666667
AP2A2	0.671375
ZBTB46	-0.6035
MAP7D1	0.05975
AOX1	0.0516666666666666
CYR61	0.59675
DTNA	-0.229357142857143
JRKL	0.29175
TMOD3	0.177
EEA1	0.3034
ADCK5	0.32725
IL1R1	1.90533333333333
KLK3	0.752142857142857
HRSP12	-0.0335
KTN1	0.11075
LOH11CR2A	0.1609
RELL2	-0.54125
MAB21L1	-0.56625
C20orf59	-0.736666666666667
PHKB	0.34925
ADAM2	-2.28266666666667
TBC1D8B	1.80216666666667
FAM13A1	-0.953
LAPTM4B	-0.8245
LCN8	0.2185
TMEM147	0.7125
SYT4	0.17425
XPO7	-1.0235
C9orf62	1.41375
GPR75	0.6685
TRIM5	0.63925
APOC1	-0.916333333333333
RNASE4	0.577666666666667
PARD6B	-0.635125
ARID1A	-0.254333333333333
TPD52L3	0.166222222222222
RRAGB	0.984833333333333
RCN2	-0.535
HIST2H2BE	-0.9136875
STARD7	-0.50625
SHMT2	-0.7845
KIAA1751	-0.182
MLYCD	-0.24825
LOC162632	1.1898
UQCRH	-1.79375
RP11-217H1.1	0.718
SDHA	-1.327
NCLN	-0.0189
ZNF17	0.5135
RCBTB2	-2.83125
VEGFB	-1.0313
RP4-747L4.3	0.856
COLQ	0.4392
MPN2	-0.977333333333333
DRG2	-0.56225
KLRB1	4.12125
ALPK2	-3.01525
DNASE2B	1.19425
FLJ23834	-0.7085
AXUD1	0.3745
SAFB	0.0898
NSUN4	-0.8125
RFX2	0.3465
MAPK8IP1	-0.311833333333333
FANCD2	-1.10742857142857
ANKZF1	-1.36716666666667
C19orf50	-0.675
DUSP8	0.806
SENP5	0.402
NFKBIL2	-0.108
LBR	0.025125
IGFL1	2.3585
LZTS2	-0.236375
IL2RG	-1.402875
CCDC51	-0.1165
KLF3	0.14575
ANKRD37	-0.4975
KCTD14	-0.443
FZR1	0.624833333333333
SLC44A4	3.5913
ESPL1	-0.57075
GMPR2	-0.5187
TBC1D19	-0.663333333333333
ERGIC1	0.133925925925926
ERBB4	2.5765
TSPAN32	-0.19675
MAP4	-0.27325
GPHN	-1.51375
SLC6A2	-0.096
HIVEP1	0.63725
DFFB	-0.1979
EIF4EBP2	0.376875
DMRT1	-1.19475
HSPB6	-0.19375
IER2	0.6815
AIFM1	-0.0885
WWC2	-0.183545454545455
MRPL4	-0.50725
FLJ21062	0.0591666666666667
EPB41L4A	1.52791666666667
SH2D6	0.071
TAF4B	-1.30975
GAL3ST3	0.079
MALT1	-1.45733333333333
RTDR1	1.7065
ARVCF	0.65675
MEX3B	-1.19516666666667
FBXO16	0.6655
KIF7	-1.60625
C1QC	3.86033333333333
ZNF783	-0.403166666666667
ZNF85	-0.04425
MMP13	3.3395
KIAA0329	0.125333333333333
RTP3	-0.859
ZBED3	-0.249
CLGN	0.2105
SLC25A37	-1.47633333333333
hCG_18290	-0.31425
OR5AS1	0.6885
SMARCC2	0.27375
FAM109A	0.306333333333333
CCDC12	-0.6065
USF2	0.0419
DEPDC7	-2.70925
C20orf24	-0.0638333333333333
JMJD3	0.3715
DSP	1.32792857142857
SLIC1	0.0295
FAM20A	0.265875
IRF2BP2	0.116375
ZNF230	0.2015
MSN	-1.19357142857143
SLC9A5	-1.5625
EPDR1	-2.6033
MUSK	-0.4945
ZNF434	0.557833333333333
SMARCD1	-0.563666666666667
