Hybridization REF	TCGA-BH-A18S-01A-11R-A12D-07
CTDSP2	0.361666666666667
PGBD5	-2.4135
CCNY	0.0308571428571429
RMND5B	0.629166666666667
ZNF257	-1.6245
FLJ22167	0.187375
EXOSC7	-0.0648333333333333
ROR2	2.41075
MAOA	0.81625
TNNT3	-0.0926666666666667
GYPC	-1.59125
C7orf33	0.3725
PLIN	1.7745
LOC90826	0.272
RNF4	-0.2537
F8A1	0.863666666666667
PLEKHG4	-1.87825
GRB2	0.49735
HIST1H2AD	3.22575
DUS3L	-0.6115
EIF1	0.328666666666667
RP5-1077B9.4	-1.0725
FPGT	1.892
GDF10	-1.33333333333333
COQ9	-0.06825
GCC2	0.0496428571428571
RARRES3	3.05075
PLXNA1	-1.6478
KIAA0100	-1.1719
PMF1	0.3795
FNDC1	4.732
HS2ST1	-0.23975
CRELD2	0.86925
C8G	-1.8685
CD82	1.72225
LIM2	-0.853
UNQ6490	0.27
MMP16	0.15675
DRD3	0.127
C5orf26	0.29
C11orf73	-0.602875
PTP4A2	2.3635
OR4M2	0.392
HPCA	-1.29083333333333
SEC14L1	-0.777333333333333
CHFR	-0.8405
EMILIN1	0.511625
NDUFS4	-0.4075
COL18A1	-1.253625
PDZD3	0.0131
C9orf16	-0.046
ERBB2IP	0.237166666666667
EMX2	2.3505
FUS	-1.1125
TF	-4.2051
CLCN4	-0.681
CXorf56	0.8455
C11orf72	0.24
ELAC2	-1.04275
NPR1	-1.029
ASS1	-1.0215
USP42	-0.034875
POLR2J	-0.3745
SEC23IP	0.773666666666667
UQCRC1	0.02225
LOC729603	-0.9115
C1orf71	0.538875
POLG	-3.1275
ADAM23	-4.66525
TFR2	-1.64325
RICTOR	-0.94
MGC39606	0.00699999999999999
C19orf55	-0.4025
SNAPC1	-1.35483333333333
GNA11	0.94
CCDC52	0.454
FSIP1	5.1825
UPF3A	-0.733125
IGSF11	-2.32016666666667
LAGE3	-0.688
CHST6	-3.6455
UNC13B	1.001625
TTLL4	-1.296125
ZNF687	0.904
SDC2	-0.399
COX7A2	-1.01425
LAMB4	-0.137
FAM24A	-0.1715
LRRTM3	-0.758166666666667
GPHB5	0.16225
OR4C13	-0.2545
EIF3EIP	0.347714285714286
HABP4	-0.026
TMEM125	4.257
CNTN2	0.208875
ASNSD1	0.2545
FUT4	-0.196
ACF	-3.961
LOC158381	1.0295
CDH8	-0.71275
AGPS	-0.237666666666667
C4orf18	3.870125
PECI	0.746416666666667
UNG	0.18925
GSTP1	-1.596375
DCUN1D5	-1.4335
DKFZP564J0863	-0.6745
SLC9A3R1	2.089875
BCDO2	-1.487875
CHMP7	-0.106
REM2	0.7805
DNHD1	-0.5025
FKBP4	0.184875
ZNF350	2.09325
MGC11102	0.1865
BST1	0.7915
KISS1R	0.417
NCR2	0.073
DEFB125	1.5585
UBE2W	0.800875
KRT15	-0.151375
C10orf99	0.2425
SCN11A	0.254625
GFI1	-2.9175
RDHE2	4.6775
FHL1	-2.78083333333333
OSGEP	-0.365666666666667
GATA1	-3.703
SMC6	-0.8975
TTTY14	-1.45125
LPIN3	0.077
RPL4	-0.5355
RBPMS	-0.4614
PRPF3	-0.312
EMR1	-2.646
SPATA19	0.04175
XCR1	0.597
IRX3	2.6486
RBM6	-0.69525
KLF4	-0.172
UNC5CL	-0.7105
SEBOX	-0.127
BTK	-0.568
KRCC1	1.7355
C6orf27	0.627
SYTL5	-1.1075
PRND	1.668
LOC653319	-1.1375
PIGL	-1.403375
HUS1	-0.2305
SFRS6	0.722666666666667
C17orf77	0.676
UIMC1	-0.4
FXYD2	-1.8522
LOC283152	2.67825
ZNF667	-1.976
ZCCHC12	-0.9735
TFEC	2.0964
ATP7B	-0.091
POLD2	-1.06566666666667
RG9MTD1	0.20775
ACOT2	0.688166666666667
HIST1H4I	-0.047625
PPARGC1A	-2.7956
ETFA	-0.9891
POLRMT	-0.33875
ZNF146	0.20425
MIA2	-1.563
KLHL6	-0.806166666666667
HOXB5	3.294
NENF	1.4915
CUGBP1	0.7285
PRSS22	1.39083333333333
CASC4	1.7652
CUL4B	-0.4166
CENPJ	-2.1341
PITX1	-2.063
FLJ31033	-0.0695
CELSR3	-0.806666666666667
ZNF568	1.8745
ITSN1	-0.720583333333333
EHBP1L1	-1.0945
C19orf2	-0.57475
DCTN1	-0.38075
LIN28B	-3.405
TNKS2	-1.14975
C1QBP	-1.26425
CADPS2	2.087
SRMS	0.4795
GJA9	0.942166666666667
MGC24975	-1.052
TRIM45	0.642166666666667
TSP50	0.86225
TCP1	-2.16725
TMED7	0.6825
CMA1	0.7425
CENPL	-0.954333333333333
PTCRA	0.133
FST	-4.1485
VWCE	-4.44475
PAWR	1.1295
ABCC12	3.1185
LDLR	-1.2431
ASTN2	1.2863
LOC441212	-0.85325
GPATCH8	0.1815
TANC2	-0.00483333333333335
KIF4A	-3.74025
C18orf18	-0.37625
PGM1	-0.63725
KIAA0258	0.5945
CPD	0.765
SNCAIP	-1.57625
DCT	-4.71766666666667
HLA-DOA	2.43263636363636
OR11L1	0.349
UPK1B	-0.428666666666667
DNAJB4	-0.50375
UGT1A8	0.4555
HIST1H4L	-2.935
PECR	-0.504333333333333
HSPA2	2.19475
WFIKKN1	-2.1985
SERP1	1.357125
SYDE2	1.1405
TACR2	0.874
NUP85	-0.83875
CD177	-0.770333333333333
LGR5	-2.14566666666667
PIGG	0.597416666666667
PTHR1	-2.3925
RAB5A	0.4269
FLJ13224	-0.235
USP9Y	-1.48266666666667
C7orf53	-1.908
LRP1B	-0.7175
XAF1	0.3183
ABCG8	0.32
ANKDD1A	-0.989166666666667
DAND5	-1.8835
SPAG6	6.55633333333333
LINCR	-0.493
ZDHHC22	-1.663875
CCDC60	0.029
THOC7	-1.04766666666667
TCTA	1.7233
OR8K3	0.018
NY-REN-7	-0.22475
B2M	0.820333333333333
C6orf141	-2.035125
LPPR4	-0.29075
SQLE	-1.308875
SEPHS1	-0.84825
BTBD14B	0.215357142857143
PLRG1	0.214
SPG7	-0.495375
ZNF614	0.380166666666667
PARD6G	0.474166666666667
INPP5B	-0.6698
GRPEL2	0.32875
PPID	-0.9771
TRIM56	-0.58675
UBE2J1	-1.082
IL20RA	5.2145
LOC387856	0.43225
C1orf107	0.79775
UTS2R	0.584
C19orf22	-0.156
SAFB2	0.1665
KIAA0652	-0.1195
KLRG1	-0.2965
MS4A8B	0.408166666666667
FRAG1	1.1115
KIAA1546	0.232
E2F4	-0.9058
CLEC4M	-0.00219999999999998
BTBD14A	-1.3835
KIAA0999	2.1515
GYPA	-2.61283333333333
TAC1	-0.2186
TRAIP	-2.04383333333333
KIAA0232	1.245
ERCC8	-1.126
GPX4	0.75025
KIAA0368	-0.620625
GPR157	-1.341
CTAGE4	1.034
C9orf30	-1.09416666666667
OR52A1	0.603
HSP90B3P	0.178
ALG9	-0.7653
BTBD10	0.425
SDK2	0.10925
BAIAP3	-1.339
RABGGTB	-0.383125
ANKRD40	0.531666666666667
KRT74	0.243
CALCOCO2	1.04692857142857
SNCA	-3.33375
TMSL8	-4.96225
C2orf53	-0.6665
ESRRB	-0.23075
ARHGAP26	-1.792125
TDRD9	-3.06525
HRAS	0.5045
KLRC4	-2.284
JAGN1	-0.0803333333333333
BSDC1	0.5905
RNF43	-1.5304
NDUFAF1	1.583
PHF12	0.6625
OR1L3	0.24925
FOLR2	2.1715
LYZL6	0.527
tcag7.1260	-1.492
WSB1	-1.9915
PROS1	-1.6552
OSTN	0.53
PSMB8	0.65725
SOCS4	-0.129375
DDIT4L	0.1065
MAS1	-0.0835
MGC34796	1.73475
CSHL1	0.288
TBCCD1	0.506
ZBTB7C	0.4105
AP2S1	-0.364
P15RS	0.4102
VAT1	-0.2351
SHANK3	0.367166666666667
TUFM	-0.198833333333333
THEG	-0.2415
KRT34	-1.50075
SGSM3	0.04025
TOMM22	-0.260875
SOCS3	0.558833333333333
CPO	1.8195
POP4	0.555
BHLHB3	0.936
MALL	0.306
OR1B1	0.4245
PARK2	0.258166666666667
GPR124	-1.049125
LCE1E	-0.6595
RUVBL2	-0.43675
CGRRF1	1.0363
ACPL2	0.90125
WNT10B	-2.236625
BAIAP2L2	-2.37825
ISCA1	0.335
C1orf125	0.419375
RPAP1	-0.33275
RAI16	0.151666666666667
RPL27	-0.3
NLRP9	-0.1345
EPN1	0.2925
LOC388610	-0.48575
SLC35A1	0.4284
GAL	-5.45
SLC14A2	0.23675
RDH11	-0.348333333333333
FAM138F	-1.084
AUH	0.80075
FLJ40243	0.0725
C14orf129	0.601166666666667
MBD2	-0.339666666666667
ABHD14B	0.950125
PIGT	1.207875
ALS2CR4	-0.88625
ALAS1	-0.1783
FOXO1	-0.461166666666667
CRLF3	-0.68475
C20orf107	-0.292
FARS2	1.40725
CCDC28A	0.1775
NPHP3	-1.11725
OR13F1	0.3055
TSEN54	-0.039
DEFB106B	0.0869
OR8B4	0.5715
STH	0.8995
ZC3H14	-0.078625
CBX2	0.2835
TMEM49	-0.92275
C6orf21	0.7115
FLJ20920	2.24725
CRTAP	-0.342928571428571
DDX50	-0.03375
STYXL1	0.13275
BLVRB	0.978333333333333
LOC147650	-0.289833333333333
MMP24	0.22475
GRID1	0.283833333333333
BANF1	-0.6345
CTAGEP	0.34375
HMBS	-1.4615
SLC25A24	-0.467166666666667
C14orf50	1.22775
MRO	-0.00183333333333335
SLC25A15	-1.1035
FAM84B	1.5474
TDP1	-0.599
C16orf78	0.276
C11orf57	-0.761625
RFK	-0.107625
ZFYVE9	0.187625
STCH	-0.901
WIBG	0.756
LOC283871	-0.797
GBA2	-0.6972
NDUFB3	0.31075
HSD17B13	-0.2915
GRIN3A	0.542833333333333
FMNL1	-0.7785
SEPT7	-0.7915
GNLY	0.8475
GRAMD1C	0.298833333333333
ZNF165	0.52125
USP38	0.8475
FAM83A	-3.7645
C14orf24	0.807666666666667
ARMCX3	1.33575
ARHGDIB	1.62633333333333
AK1	0.109375
KIAA1045	-0.56725
DNAJB13	-0.391666666666667
NEU2	0.588
HIST1H4B	-0.229333333333333
FAM20B	0.7837
HES2	0.0617142857142857
FAM73B	-0.7769
LOC388381	1.51225
INTS7	-0.251181818181818
AMPH	-0.01825
ZNF775	-0.42075
UCKL1	-1.00916666666667
C10orf97	0.01825
C1orf161	-0.065
ALDH1L1	-1.559
FLJ39378	-0.078625
SLC23A1	-1.108
RBM4B	0.251
THAP4	1.03433333333333
OGFRL1	-0.28825
KIAA0831	0.342625
PPP1R15A	-0.551
C1orf96	-0.335928571428571
C12orf11	-1.98675
BMF	-0.113375
MAN1A1	-1.02975
KIAA1600	0.441
NLGN4X	-0.67475
ALOX12	-0.96
RB1CC1	-0.1937
NEIL2	0.5024
EIF4E	0.0744545454545455
ABHD5	0.12625
EXOC4	-0.1535
CIP29	-0.183
BATF2	2.6405
SLC29A4	-1.232875
HTR4	0.2535
EMB	0.80175
TRAF6	0.91775
LMNB1	-3.23275
FAM19A5	1.16875
SHE	1.42475
PIK3C2B	0.35225
C15orf15	-0.2603
USP15	-0.4218
TCEAL2	1.2615
C5orf39	-0.717
PTGER2	-1.875
SLC31A1	-0.4915
IFT172	0.83475
ADAM29	0.32475
GFOD1	-1.5755
ST7L	1.33466666666667
C15orf26	-3.1175
PKN3	-1.08925
CNTD1	3.79616666666667
COMMD1	0.7525
NTRK2	4.70208333333333
FOXN3	-1.227125
MFGE8	-1.7898
PFKFB2	1.07583333333333
TAS2R4	-0.75425
ENTHD1	-0.201333333333333
PRMT5	-0.67425
MGC16384	-2.35225
LOC442229	0.08
TSKU	0.10525
KRTCAP3	3.37525
PDLIM1	2.3167
KCNS2	0.237
RNF126	-0.397833333333333
CEP63	0.269875
CLIC4	-1.38775
hCG_1990170	-0.60425
ACR	0.6531
KLK7	-0.08525
ALOX5AP	3.23675
RIPK3	4.41025
TAS2R9	0.222
C19orf18	2.539
BIRC6	0.0802142857142857
ZNF16	1.1715
RFT1	-0.196
SLC8A2	-0.62925
TACC1	-1.416625
ITGAD	1.02875
SAMHD1	0.6245
SH3PXD2B	0.0101
EPC2	0.731
C20orf85	1.157125
ATP13A2	-0.351666666666667
KRT4	0.505625
CAPNS1	0.22975
MDM2	-0.531583333333333
PCDH20	0.8845
KCNK9	1.0615
OR2C1	0.256
KLHDC3	-0.851
IPPK	1.307
EFHD2	-0.43175
GALR3	0.605
NBEA	0.364333333333333
ABCA6	1.3346
CLDN3	0.850166666666667
AKT2	-0.799428571428572
EGFR	-3.7494
RBM16	-0.389
ZDHHC3	0.2897
SLC25A4	0.564333333333333
CYB5B	-0.565
CPXM1	-2.20725
NDRG1	-2.30984615384615
FLJ43826	0.05125
OR5L2	-0.0186666666666667
FARP2	0.7572
MRPL46	-0.191583333333333
LDHAL6B	0.6235
MAPKAPK3	-0.344
NCAM2	-2.128
PRKD2	0.346166666666667
ZFP36L1	0.8479
CYSLTR1	-0.836
OR4C3	0.6985
HIST1H2AJ	2.842
CCNB2	-4.24322222222222
ZNF10	0.319
TMEM175	0.259
FAM134A	1.41666666666667
TIGD4	0.249
PCNP	-0.571
MGC39715	-0.11675
LQK1	1.14175
CREB1	0.3022
TMPRSS3	2.12875
C4orf32	2.923375
LAT	-2.81691666666667
KCNA3	0.2355
SKIV2L2	-0.6955
ROPN1B	-4.44725
tcag7.23	-0.4775
CDT1	-3.351125
ZHX2	0.51675
CD28	-4.0545
ZNF624	0.66825
SEPT2	0.335083333333333
SOHLH2	-1.692875
MCOLN3	-0.843875
UNQ1945	0.6
MASP2	-0.9835
ZNRF3	0.6379
GPATCH3	0.28225
AGL	-0.17
QRICH2	-0.4615
PSD4	1.3045
CCNB1IP1	-2.4435
ENPP7	0.56375
OBFC1	0.6535
KCNG3	-1.50175
C14orf79	1.77133333333333
ENPEP	0.842333333333333
SCT	0.919
SKI	0.55775
SEC61G	-1.7785
CAPN11	0.49
ATXN7L3	0.0445
DBNDD1	0.238666666666667
FAIM	0.45075
ANKRD36	-2.131
GABRP	-0.425
TACSTD2	2.6315
EIF3J	-0.65075
PPP2R2A	-0.34075
TEKT4	0.0935
PVALB	-3.86716666666667
F10	-3.80133333333333
FAM134C	1.2391
COMP	4.297625
EFCBP1	-3.2464375
SCLT1	-0.3845
TAL1	-1.5483
ACSL1	0.42575
ABCC5	-0.45525
ABL1	-0.572444444444444
RBBP7	-0.430333333333333
PTPRG	-2.76925
NCOR1	-0.3324
SPINK4	-1.20416666666667
TXNRD1	-1.6773
TNRC15	1.1715
C9orf138	1.288375
UBE2H	0.990333333333333
BRDT	0.294833333333333
C8orf31	-0.08825
CCNE2	-1.97263636363636
SLC6A8	-1.97975
CALCR	-3.46725
PPP1CB	0.4515
ABHD8	0.46525
ARF5	0.179
SLC24A4	0.28075
CCT3	0.36075
ZNF121	0.88675
SLC3A2	-0.24
OR13A1	0.398
SLC5A10	-0.12575
RAD50	0.735375
IER5	0.13875
MTHFD1L	-3.323125
MBTPS2	0.2395
MVK	-0.287625
NCL	-0.1343
PSMD10	-0.1145
MOBP	0.2335
FLJ32894	-0.075
HRH1	-1.64483333333333
C5orf30	1.3
NUDT16L1	1.0658
RASGRP3	3.2675
PRKRIP1	-0.0017
CCDC75	0.293
LOC253970	0.30075
KIAA1239	0.02125
MED21	-0.4945
SYT11	0.01825
NTSR2	-0.1335
EGFL11	-0.3
CXorf59	0.0265
OR2A25	-0.07725
SPTBN2	-0.03225
LRMP	-1.76466666666667
RNF111	0.42475
PTH	-0.946
LOC619208	0.296833333333333
KIAA0895	1.7645
RANBP5	-1.722125
P2RY10	-0.2045
NME5	5.13433333333333
DDX21	-0.8125
LRSAM1	0.6385
HDAC11	2.07816666666667
VMO1	2.196
NOLA2	0.205166666666667
ADAR	0.951333333333333
MTO1	-1.51566666666667
SF4	0.446833333333333
P2RX1	-0.2085
HBM	0.35625
EN2	0.4985
C14orf172	0.2795
TM9SF2	0.0913
INHBE	-1.0145
TCTE3	-0.0938333333333333
TOX2	1.23925
CTAGE3	0.610625
HBB	3.2855
MED15	-0.718166666666667
CASR	0.2325
C6orf66	-1.37866666666667
MTPN	-0.516375
UNC50	0.52825
C21orf33	0.44275
IRF2	1.037875
PGR	2.38066666666667
GPR84	2.7005
CROCCL1	-1.848
SRPX	-3.453
BRE	0.338166666666667
FGF10	3.40375
SDC3	-0.0766666666666667
ZRSR1	0.693666666666667
DKFZP434P211	-0.561625
SOX6	-0.2155
RPUSD2	0.3325
C14orf173	-0.3985
MAPK11	-0.779166666666667
TBC1D22A	0.35
FAM123A	0.014
COL4A6	-1.826
TOMM70A	0.44375
NAB1	0.031875
MGC16385	0.940375
TSPAN18	-0.8765
MED31	-0.20325
PLG	-0.36625
CAPSL	2.735
ZNF532	-0.0531
ASB14	-0.252
CA8	2.286
NUDT16P	1.80233333333333
SLFN11	-2.3015
LRRIQ2	0.096
NOL7	-0.3015
BRMS1L	-0.826125
JARID1A	0.284
PANK2	-0.25325
ICAM3	-0.1305
MDS1	-0.263
TAF8	-0.34875
RNF139	1.242
ZNF594	0.213833333333333
ADAM8	1.5235
SFTPC	-0.160625
MAN2B2	1.255625
RGS12	0.79875
EIF1AY	-4.64558333333333
LRRIQ1	0.978666666666667
GPR150	0.70525
CCDC21	-1.19133333333333
PRRG3	0.316
SAA4	-4.2925
RAPGEF5	1.701125
ZCCHC2	-0.470666666666667
MGC39372	-0.147
PPP4R2	0.653333333333333
CDCA2	-3.225
OR4D5	0.721333333333333
PTGFRN	0.6772
SIGLEC5	1.82483333333333
C19orf61	0.0645
NMUR2	0.221
KIAA1586	-0.398166666666667
DAGLA	-0.237
CHCHD6	0.12875
GPR32	0.954
NEUROD6	0.0298333333333333
SLC2A4RG	0.12625
CA5B	-0.0435
FBXL3	0.25125
MPHOSPH9	-1.408
HMG2L1	0.5725
HCN4	0.299
CEACAM19	0.01125
SH2D4B	-0.139166666666667
HFE2	-0.913
TGM4	0.57
LYPD2	0.15375
TBC1D15	0.31075
MRPS21	1.0349
NONO	-0.6997
CLEC5A	2.310125
ITCH	-0.0606
MGAT3	-2.306
MBP	-1.011125
RPP25	-1.388
SOSTDC1	-2.83075
HRC	-1.48825
TRIM48	-0.041
TMEM133	0.0925
ECEL1P2	-0.9355
HOXC11	-1.194
DOK5	-1.79675
HELZ	0.554833333333333
LOC348180	-0.569
MGC33894	0.30975
ADRB3	-0.0325
DMD	-0.482833333333333
PTRH2	0.27825
MPEG1	3.18983333333333
NDUFA12	0.0766666666666667
KRTAP2-4	-0.0140833333333333
STAMBPL1	-1.07633333333333
ADCY2	0.319666666666667
UNQ6125	0.7615
KLHL20	0.334666666666667
SRM	-1.56675
OTC	0.03575
TMIE	0.194666666666667
SNX8	-0.11025
LIPK	-0.5095
CHURC1	-0.175
KLC2	0.029
HDAC1	-0.422833333333333
FAM128A	0.824833333333333
FNDC3B	-0.6619
MTCP1	-0.0776666666666667
WFDC10B	0.0463
PCDHGB3	0.2725
ATRNL1	-1.51555555555556
CAV2	-2.0735
MED26	0.0423333333333333
DUS1L	0.7915
CHRM3	-2.135875
NEK9	1.0915
WARS2	1.321
TBX22	0.195
TOMM40	-1.03325
RP6-213H19.1	-1.715
TUBGCP5	0.234
IGSF6	5.00675
TPPP	0.884833333333333
UNQ6190	0.0005
GSTM5	1.340875
BTD	1.52133333333333
PDCD1LG2	0.0904
SNRPB2	-0.5575
ERICH1	-1.213875
APOA4	-1.668625
HOXA11	-1.8085
NARG1	-0.37
MKX	-0.9985
RAB28	-0.175642857142857
PKP3	1.38025
SH3GL2	0.177
CTSO	3.80475
RPN2	0.559125
IL28RA	-0.85
SFMBT1	0.8015
WDR57	-0.31975
FER1L3	0.81725
HSF5	0.524666666666667
TTC9B	0.4395
C4BPA	-3.86133333333333
ALB	-4.2825
SORBS3	0.332
UPF2	0.492
JPH1	-0.3885
AGBL2	1.29675
DOPEY1	0.7675
TERF1	-0.0055
KIF22	-1.03233333333333
NINJ1	1.679
SEC61A2	-0.221916666666667
HIST1H1D	0.919833333333333
SFXN4	0.447125
UCP3	0.0828
ZNF703	0.935833333333333
MYL6B	-0.79725
TREM1	1.022
OR52E6	0.439
CKMT2	0.832
HLA-C	1.74825
SLC13A3	-1.31283333333333
TIMP4	-2.86125
SLIT2	0.5595
RSF1	0.163666666666667
LONRF1	-0.578071428571429
MON1A	0.391166666666667
CACNG6	-1.7815
DPPA4	-5.84316666666667
ZSWIM3	0.3375
ZNF804A	0.202666666666667
CCIN	0.43625
SLC25A31	0.74125
KCNMB4	-2.10925
RABL5	0.74825
GALNS	-0.0229
STX6	1.015
HIST1H1C	2.222
CIDEB	1.102
CASP4	-0.63
PDK3	0.563
KCNJ11	3.142
TPR	-0.019625
ZSCAN20	-0.2265
MTX2	-0.25175
HIST1H2BH	1.99
LOC283767	0.8765
LYRM7	-0.957666666666667
BRD3	-0.133333333333333
HIST1H2BO	1.653
MAGEB10	0.1115
SLC45A1	2.41475
SERPINA3	1.76025
KIAA0143	0.38975
KCNJ16	0.0868333333333333
KRT79	0.78925
FABP2	-0.21825
NUT	-0.275
ZNF57	-0.06725
FBXL4	0.021875
CLEC9A	1.4625
UGT8	-1.48066666666667
BMP2K	1.77725
MAPK4	2.68075
SLC25A23	-0.5545
HINT1	-0.9416
KRTAP13-1	0.629
SFXN5	0.6846
CHCHD2	-0.199
FAM3D	0.9615
NDP	3.169375
RHOBTB1	-0.8095
SLC4A4	-1.472875
RPL38	0.049
HTF9C	0.1825
AP2A2	0.535
ZBTB46	-0.439
MAP7D1	-0.3235
AOX1	-2.52533333333333
CYR61	0.969666666666667
DTNA	-1.42814285714286
JRKL	0.09875
TMOD3	-0.35475
EEA1	0.2444
ADCK5	-0.71125
IL1R1	0.0165
KLK3	0.410857142857143
HRSP12	0.19325
KTN1	0.156
LOH11CR2A	0.955
RELL2	-0.7
MAB21L1	0.93225
C20orf59	-1.50783333333333
PHKB	0.6295
ADAM2	-1.98116666666667
TBC1D8B	1.38166666666667
FAM13A1	-0.7849375
LAPTM4B	-2.87033333333333
LCN8	0.21
TMEM147	0.6305
SYT4	-0.132333333333333
XPO7	-0.9165
C9orf62	0.41975
GPR75	1.533
TRIM5	0.420625
APOC1	-0.239333333333333
RNASE4	1.77216666666667
PARD6B	-0.224375
ARID1A	0.486666666666667
TPD52L3	0.3428
RRAGB	1.3595
RCN2	-0.829166666666667
HIST2H2BE	2.0495625
STARD7	0.13325
SHMT2	-1.93875
KIAA1751	-0.190166666666667
MLYCD	0.668375
LOC162632	-0.1935
UQCRH	-1.48575
RP11-217H1.1	0.3808125
SDHA	-0.774
NCLN	-0.2677
ZNF17	1.2515
RCBTB2	-2.036
VEGFB	-0.000199999999999989
RP4-747L4.3	-0.44075
COLQ	0.4461
MPN2	-1.00916666666667
DRG2	-0.581
KLRB1	3.809
ALPK2	-2.75425
DNASE2B	1.72
FLJ23834	3.835
AXUD1	0.93
SAFB	-0.1536
NSUN4	0.372
RFX2	-1.345
MAPK8IP1	0.537666666666667
FANCD2	-1.747
ANKZF1	-1.40983333333333
C19orf50	-0.307125
DUSP8	0.67
SENP5	-0.242125
NFKBIL2	-1.28325
LBR	-2.220875
IGFL1	0.512
LZTS2	0.236
IL2RG	-1.500375
CCDC51	0.333
KLF3	0.200875
ANKRD37	-0.61125
KCTD14	0.097
FZR1	0.576583333333333
SLC44A4	4.2902
ESPL1	-1.653625
GMPR2	0.4382
TBC1D19	-0.191
ERGIC1	1.04803703703704
ERBB4	3.7645
TSPAN32	-0.00391666666666664
MAP4	-0.099125
GPHN	0.15175
SLC6A2	-0.108
HIVEP1	-0.653
DFFB	-0.2157
EIF4EBP2	0.177
DMRT1	-0.202
HSPB6	0.3375
IER2	1.23333333333333
AIFM1	-0.17525
WWC2	-0.180083333333333
MRPL4	-0.469
FLJ21062	1.49183333333333
EPB41L4A	1.50066666666667
SH2D6	0.41875
TAF4B	-1.489
GAL3ST3	-0.1105
MALT1	-1.27483333333333
RTDR1	1.15975
ARVCF	0.1465
MEX3B	-2.74816666666667
FBXO16	1.88875
KIF7	-1.60975
C1QC	3.88966666666667
ZNF783	-1.15783333333333
ZNF85	0.51575
MMP13	1.1685
KIAA0329	0.346428571428571
RTP3	-0.693
ZBED3	-0.977
CLGN	2.2535
SLC25A37	-2.041
hCG_18290	-0.23825
OR5AS1	0.447
SMARCC2	0.380333333333333
FAM109A	0.099
CCDC12	0.08625
USF2	0.7363
DEPDC7	-3.1995
C20orf24	-0.926166666666667
JMJD3	0.472
DSP	1.68571428571429
SLIC1	-0.060375
FAM20A	-0.194875
IRF2BP2	1.078375
ZNF230	0.805
MSN	-1.2675
SLC9A5	-1.958
EPDR1	-1.2369
MUSK	0.0436666666666667
ZNF434	-0.314333333333333
SMARCD1	-0.569
ZFP106	-0.71775
ZNF347	0.5525
