Hybridization REF	TCGA-BH-A0AZ-01A-21R-A12P-07
LAGE3	-0.55275
CHST6	-0.008
UNC13B	0.15175
TTLL4	-1.108375
ZNF687	0.5165
SDC2	0.978
COX7A2	0.129
LAMB4	0.12875
FAM24A	-0.149
LRRTM3	-0.19975
GPHB5	-0.2935
OR4C13	0.166
EIF3EIP	-0.124857142857143
HABP4	1.1425
TMEM125	3.2555
CNTN2	-0.279625
ASNSD1	-0.11175
FUT4	0.1825
ACF	-4.08425
LOC158381	1.383
CDH8	-0.146333333333333
AGPS	-0.553666666666667
C4orf18	3.254
PECI	-0.105916666666667
UNG	-0.814875
GSTP1	-1.046875
DCUN1D5	-2.1055
DKFZP564J0863	-1.0265
SLC9A3R1	1.071625
BCDO2	-1.121375
CHMP7	0.109625
REM2	0.121
DNHD1	-0.439125
FKBP4	-0.86425
ZNF350	0.000999999999999987
MGC11102	0.171
BST1	1.905
KISS1R	2.2415
NCR2	1.0875
DEFB125	0.4245
UBE2W	0.47125
KRT15	1.47975
C10orf99	-0.3185
SCN11A	-0.189166666666667
GFI1	-2.98075
RDHE2	4.471
FHL1	0.0931666666666667
OSGEP	-0.516166666666667
GATA1	-3.68416666666667
SMC6	-0.6445
TTTY14	-1.62
LPIN3	0.211
RPL4	0.273
RBPMS	-0.2338
PRPF3	-0.309166666666667
EMR1	-2.711
SPATA19	-0.2
XCR1	0.212
IRX3	2.2045
RBM6	-0.884
KLF4	-0.2017
UNC5CL	-1.156
SEBOX	-0.8585
BTK	-0.64325
KRCC1	1.565
C6orf27	0.556
SYTL5	-0.2795
PRND	4.22725
LOC653319	-1.8365
PIGL	-1.730625
HUS1	0.0771666666666667
SFRS6	-0.8025
C17orf77	-0.148
UIMC1	-0.261166666666667
FXYD2	-2.2894
LOC283152	0.7115
ZNF667	-0.44375
ZCCHC12	-1.037
TFEC	2.7017
ATP7B	-0.344833333333333
POLD2	-0.2295
RG9MTD1	-0.5195
ACOT2	0.2075
HIST1H4I	-1.179875
PPARGC1A	-2.13788888888889
ETFA	-1.3455
POLRMT	0.21875
ZNF146	-0.45075
MIA2	-1.42
KLHL6	-1.24
HOXB5	0.43975
NENF	1.34816666666667
CUGBP1	0.1795
PRSS22	1.0455
CASC4	2.2065
CUL4B	0.1208
CENPJ	-2.255
PITX1	1.13483333333333
FLJ31033	0.826166666666667
CELSR3	-2.01033333333333
ZNF568	0.623
ITSN1	-0.1545
EHBP1L1	0.125166666666667
C19orf2	-0.77025
DCTN1	1.043
LIN28B	-4.4915
TNKS2	0.19625
C1QBP	-1.732625
CADPS2	0.9655
SRMS	-0.082
GJA9	0.1905
MGC24975	-1.1145
TRIM45	-0.0186666666666667
TSP50	1.75225
TCP1	-1.3025
TMED7	0.6391
CMA1	-0.246
CENPL	-1.07183333333333
PTCRA	0.4355
FST	-1.94525
VWCE	-4.182
PAWR	-0.17675
ABCC12	2.94
LDLR	-0.6954
ASTN2	0.7391
LOC441212	-0.471875
GPATCH8	0.3505
TANC2	0.196166666666667
KIF4A	-2.32175
C18orf18	-0.449
PGM1	-0.812
KIAA0258	-0.17775
CPD	0.352625
SNCAIP	-0.4855
DCT	-5.01766666666667
HLA-DOA	2.54063636363636
OR11L1	0.3995
UPK1B	-0.240333333333333
DNAJB4	-0.280875
UGT1A8	0.0176666666666667
HIST1H4L	-2.1245
PECR	-1.18866666666667
HSPA2	2.11925
WFIKKN1	-2.0325
SERP1	0.433125
SYDE2	-0.2225
TACR2	0.286
NUP85	-0.478
CD177	-1.40133333333333
LGR5	-1.50725
PIGG	-0.6885
PTHR1	0.924
RAB5A	0.0849
FLJ13224	-0.668
USP9Y	-1.9204
C7orf53	-2.383
LRP1B	-0.737
XAF1	1.4898
ABCG8	-0.3505
ANKDD1A	-0.248333333333333
DAND5	-1.632
SPAG6	3.59516666666667
LINCR	0.84025
ZDHHC22	-1.126125
CCDC60	0.337
THOC7	-1.36016666666667
TCTA	1.0405
OR8K3	-0.353
NY-REN-7	-0.77475
B2M	2.13366666666667
C6orf141	-3.298
LPPR4	1.996
SQLE	-1.68075
SEPHS1	-0.7215
BTBD14B	0.641571428571429
PLRG1	-0.273
SPG7	-0.54125
ZNF614	-1.06233333333333
PARD6G	1.65566666666667
INPP5B	-0.6657
GRPEL2	-0.269375
PPID	-1.4765
TRIM56	-0.41575
UBE2J1	-0.062625
IL20RA	5.83375
LOC387856	1.1305
C1orf107	0.335333333333333
UTS2R	2.10325
C19orf22	0.8295
SAFB2	0.0445
KIAA0652	0.985875
KLRG1	-0.8215
MS4A8B	0.510833333333333
FRAG1	0.233
KIAA1546	-0.10575
E2F4	-0.6476
CLEC4M	-0.1016
BTBD14A	-0.77275
KIAA0999	0.6287
GYPA	-3.4215
TAC1	3.9078
TRAIP	-2.50066666666667
KIAA0232	0.0957
ERCC8	-1.85975
GPX4	1.13975
KIAA0368	-0.3415
GPR157	-0.971333333333333
CTAGE4	-0.0915
C9orf30	-0.696666666666667
OR52A1	-0.3185
HSP90B3P	0.006
ALG9	-0.847
BTBD10	0.34125
SDK2	0.70125
BAIAP3	1.5825
RABGGTB	-0.611875
ANKRD40	0.116333333333333
KRT74	1.177
CALCOCO2	0.627571428571429
SNCA	-3.1915
TMSL8	-4.5075
C2orf53	0.0305
ESRRB	-0.53875
ARHGAP26	-1.162125
TDRD9	-2.35775
HRAS	1.1405
KLRC4	-1.277
JAGN1	-0.246333333333333
BSDC1	0.8455
RNF43	-0.7239
NDUFAF1	0.7585
PHF12	0.34075
OR1L3	-0.04525
FOLR2	1.95583333333333
LYZL6	0.159833333333333
tcag7.1260	-0.67
WSB1	-1.865
PROS1	-0.0015
OSTN	0.709
PSMB8	1.27675
SOCS4	-0.975857142857143
DDIT4L	1.719
MAS1	-0.812
MGC34796	2.18075
CSHL1	-0.2504
TBCCD1	0.5935
ZBTB7C	0.573
AP2S1	0.26225
P15RS	-1.0933
VAT1	-0.0732
SHANK3	1.52416666666667
TUFM	-0.0851666666666667
THEG	-0.539
KRT34	-2.40025
SGSM3	0.676375
TOMM22	-0.42375
SOCS3	1.03133333333333
CPO	1.9345
POP4	0.1075
BHLHB3	2.615
MALL	1.18175
OR1B1	-0.0815
PARK2	0.8855
GPR124	1.12225
LCE1E	-0.278
RUVBL2	0.018
CGRRF1	0.512
ACPL2	0.52525
WNT10B	-2.35625
BAIAP2L2	-2.54675
ISCA1	0.367
C1orf125	0.055375
RPAP1	-1.19975
RAI16	0.5895
RPL27	-0.0615
NLRP9	0.435
EPN1	1.16
LOC388610	-1.88575
SLC35A1	0.6425
GAL	-3.8815
SLC14A2	0.24575
RDH11	-1.11266666666667
FAM138F	-0.6345
AUH	-0.253
FLJ40243	0.0217499999999999
C14orf129	-0.188333333333333
MBD2	-1.145
ABHD14B	0.177125
PIGT	0.991
ALS2CR4	-0.456875
ALAS1	-0.1651
FOXO1	1.737
CRLF3	-0.9125
C20orf107	0.0845
FARS2	1.039
CCDC28A	0.613
NPHP3	-0.96225
OR13F1	-0.296
TSEN54	-0.4575
DEFB106B	0.0576666666666667
OR8B4	4.202
STH	0.7185
ZC3H14	-0.69525
CBX2	0.023
TMEM49	-0.67425
C6orf21	0.6085
FLJ20920	1.589875
CRTAP	0.727142857142857
DDX50	-0.343
STYXL1	-0.918
BLVRB	0.565833333333333
LOC147650	-0.301166666666667
MMP24	0.1435
GRID1	2.14216666666667
BANF1	-0.167166666666667
CTAGEP	-0.04325
HMBS	-2.5215
SLC25A24	-0.687
C14orf50	0.19675
MRO	0.822166666666666
SLC25A15	-1.01425
FAM84B	1.0086
TDP1	-2.1625
C16orf78	-0.216666666666667
C11orf57	-0.600125
RFK	-0.577875
ZFYVE9	-0.778
STCH	-0.9168
WIBG	0.42625
LOC283871	-0.431333333333333
GBA2	-0.0307
NDUFB3	-0.30275
HSD17B13	-1.0055
GRIN3A	0.0436
FMNL1	0.1095
SEPT7	0.0035
GNLY	3.15
GRAMD1C	0.681166666666667
ZNF165	0.10325
USP38	0.486
FAM83A	-4.04866666666667
C14orf24	0.983333333333333
ARMCX3	1.0205
ARHGDIB	0.627333333333333
AK1	0.722
KIAA1045	0.014
DNAJB13	-0.0538
NEU2	1.917
HIST1H4B	-1.666
FAM20B	-0.2138
HES2	-0.0222857142857143
FAM73B	-0.2108
LOC388381	0.835
INTS7	-0.0978181818181818
AMPH	2.52175
ZNF775	0.60825
UCKL1	-1.0345
C10orf97	-0.35575
C1orf161	0.0215
ALDH1L1	0.57825
FLJ39378	0.090625
SLC23A1	-2.015
RBM4B	0.6855
THAP4	0.778833333333333
OGFRL1	-0.18125
KIAA0831	0.27725
PPP1R15A	0.401333333333333
C1orf96	-0.540857142857143
C12orf11	-2.6315
BMF	0.78575
MAN1A1	-0.063125
KIAA1600	0.951166666666667
NLGN4X	0.0865
ALOX12	-1.69583333333333
RB1CC1	0.0637
NEIL2	0.7404
EIF4E	-0.446909090909091
ABHD5	-0.18275
EXOC4	-0.00166666666666665
CIP29	-0.133166666666667
BATF2	0.899
SLC29A4	0.43125
HTR4	-0.07
EMB	0.783
TRAF6	0.3905
LMNB1	-4.61775
FAM19A5	1.02575
SHE	2.15825
PIK3C2B	0.646
C15orf15	-0.5958
USP15	-0.2903
TCEAL2	2.0775
C5orf39	-0.745833333333333
PTGER2	0.06025
SLC31A1	-0.640625
IFT172	0.545
ADAM29	0.6115
GFOD1	-0.48625
ST7L	0.257
C15orf26	-3.59125
PKN3	0.2265
CNTD1	2.1895
COMMD1	0.842875
NTRK2	3.68241666666667
FOXN3	0.598125
MFGE8	1.3838
PFKFB2	1.284
TAS2R4	-0.407
ENTHD1	0.581833333333333
PRMT5	-0.746125
MGC16384	-2.366375
LOC442229	-0.754
TSKU	0.862
KRTCAP3	1.616875
PDLIM1	0.3999
KCNS2	0.7475
RNF126	-0.233166666666667
CEP63	-0.029125
CLIC4	0.12675
hCG_1990170	0.93225
ACR	1.0352
KLK7	3.20425
ALOX5AP	3.23575
RIPK3	3.842
TAS2R9	0.586
C19orf18	1.941
BIRC6	0.0839285714285714
ZNF16	1.561
RFT1	-1.04175
SLC8A2	-0.11525
TACC1	0.329875
ITGAD	0.8515
SAMHD1	1.01925
SH3PXD2B	1.8166
EPC2	0.89425
C20orf85	0.574875
ATP13A2	0.870166666666667
KRT4	0.711
CAPNS1	1.04575
MDM2	-0.128333333333333
PCDH20	3.40025
KCNK9	0.5805
OR2C1	-0.448
KLHDC3	0.156666666666667
IPPK	1.1125
EFHD2	0.270875
GALR3	2.20275
NBEA	0.0905
ABCA6	3.7281
CLDN3	0.991333333333333
AKT2	-0.63
EGFR	-1.324
RBM16	0.159875
ZDHHC3	0.5411
SLC25A4	0.129666666666667
CYB5B	-0.596833333333333
CPXM1	3.16325
NDRG1	-0.753230769230769
FLJ43826	0.30675
OR5L2	0.11
FARP2	0.9042
MRPL46	-0.434
LDHAL6B	0.0235
MAPKAPK3	-0.523666666666667
NCAM2	-2.9585
PRKD2	1.36133333333333
ZFP36L1	0.9256
CYSLTR1	-1.358
OR4C3	0.35375
HIST1H2AJ	2.4145
CCNB2	-2.92633333333333
ZNF10	-0.454875
TMEM175	1.1275
FAM134A	0.977333333333333
TIGD4	-0.6285
PCNP	-0.57325
MGC39715	0.600666666666667
LQK1	-1.813
CREB1	-0.0131
TMPRSS3	1.82875
C4orf32	0.4405
LAT	-1.851
KCNA3	-0.8535
SKIV2L2	-0.7755
ROPN1B	-1.2185
tcag7.23	-0.193
CDT1	-3.521
ZHX2	1.295375
CD28	-4.035
ZNF624	1.41975
SEPT2	0.256583333333333
SOHLH2	-0.78475
MCOLN3	0.596714285714286
UNQ1945	0.492
MASP2	-1.887
ZNRF3	0.5617
GPATCH3	0.4215
AGL	2.242
QRICH2	0.3575
PSD4	0.969166666666667
CCNB1IP1	-2.014
ENPP7	0.1675
OBFC1	0.42725
KCNG3	-1.314
C14orf79	1.24683333333333
ENPEP	2.06916666666667
SCT	2.421
SKI	1.08875
SEC61G	-1.19975
CAPN11	0.9745
ATXN7L3	0.54075
DBNDD1	-0.057
FAIM	-0.15175
ANKRD36	-1.0625
GABRP	3.35616666666667
TACSTD2	1.8675
EIF3J	-0.794
PPP2R2A	-1.0645
TEKT4	-0.493333333333333
PVALB	-0.1675
F10	-1.17533333333333
FAM134C	1.5736
COMP	4.897625
EFCBP1	-2.0095
SCLT1	0.09175
TAL1	-1.04
ACSL1	1.662
ABCC5	0.162
ABL1	0.00366666666666667
RBBP7	-0.904333333333333
PTPRG	-0.900875
NCOR1	0.06
SPINK4	0.5125
TXNRD1	-1.44
TNRC15	0.403
C9orf138	0.778875
UBE2H	-0.288833333333333
BRDT	-0.141833333333333
C8orf31	-0.094
CCNE2	-2.08563636363636
SLC6A8	-1.04875
CALCR	-3.9235
PPP1CB	0.407583333333333
ABHD8	0.9655
ARF5	0.1424
SLC24A4	0.68075
CCT3	0.68925
ZNF121	-0.436125
SLC3A2	-0.774
OR13A1	0.5
SLC5A10	0.6305
RAD50	-0.535125
IER5	1.310875
MTHFD1L	-2.0935
MBTPS2	0.6725
MVK	0.02675
NCL	-0.426
PSMD10	-0.33775
MOBP	0.80025
FLJ32894	0.294
HRH1	-0.1165
C5orf30	0.25775
NUDT16L1	0.765
RASGRP3	3.611
PRKRIP1	-0.9857
CCDC75	0.46925
LOC253970	-0.3855
KIAA1239	1.05525
MED21	-1.0985
SYT11	0.705833333333333
NTSR2	-2.396
EGFL11	-0.871
CXorf59	0.2235
OR2A25	0.161
SPTBN2	-0.261
LRMP	-1.0625
RNF111	-0.01925
PTH	0.927
LOC619208	0.887
KIAA0895	1.29775
RANBP5	-0.793625
P2RY10	0.895166666666667
NME5	3.54266666666667
DDX21	-1.072
LRSAM1	0.5025
HDAC11	1.91533333333333
VMO1	1.6355
NOLA2	-0.391333333333333
ADAR	1.33816666666667
MTO1	-1.11783333333333
SF4	1.14683333333333
P2RX1	-0.0945
HBM	0.4055
EN2	1.9565
C14orf172	0.30125
TM9SF2	0.1885
INHBE	-0.335833333333333
TCTE3	-0.459
TOX2	-2.7745
CTAGE3	0.291625
HBB	4.3843
MED15	0.413666666666667
CASR	0.868
C6orf66	-1.36683333333333
MTPN	-0.72925
UNC50	0.01175
C21orf33	0.5315
IRF2	0.96525
PGR	-0.994833333333333
GPR84	1.56325
CROCCL1	-2.1025
SRPX	-0.4565
BRE	0.382666666666667
FGF10	2.34
SDC3	-0.850666666666667
ZRSR1	1.6955
DKFZP434P211	0.118875
SOX6	0.6325
RPUSD2	-0.37725
C14orf173	0.02875
MAPK11	-0.0598333333333333
TBC1D22A	1.5085
FAM123A	-2.947
COL4A6	-1.79816666666667
TOMM70A	0.0575
NAB1	-0.08
MGC16385	-0.413625
TSPAN18	0.660333333333333
MED31	-0.7405
PLG	0.1205
CAPSL	3.541
ZNF532	0.9935
ASB14	-0.62
CA8	-0.43175
NUDT16P	1.9315
SLFN11	-1.148
LRRIQ2	-0.52375
NOL7	-0.477833333333333
BRMS1L	-0.88625
JARID1A	-0.424666666666667
PANK2	-0.52375
ICAM3	0.17875
MDS1	-1.2915
TAF8	-0.45375
RNF139	0.42175
ZNF594	-0.790166666666667
ADAM8	1.631
SFTPC	0.31425
MAN2B2	1.733
RGS12	0.753875
EIF1AY	-4.78072727272727
LRRIQ1	0.3985
GPR150	2.4905
CCDC21	-0.8605
PRRG3	0.8285
SAA4	-2.9325
RAPGEF5	1.975625
ZCCHC2	-1.31425
MGC39372	1.618
PPP4R2	0.072
CDCA2	-2.65666666666667
OR4D5	0.246666666666667
PTGFRN	1.9478
SIGLEC5	1.195
C19orf61	0.835666666666667
NMUR2	0.307
KIAA1586	-1.24366666666667
DAGLA	-0.808
CHCHD6	0.5605
GPR32	1.0035
NEUROD6	0.012
SLC2A4RG	-0.04325
CA5B	0.077
FBXL3	0.63275
MPHOSPH9	-1.683
HMG2L1	-0.08325
HCN4	2.072
CEACAM19	0.40725
SH2D4B	-0.163166666666667
HFE2	-1.079
TGM4	1.26825
LYPD2	-0.0715
TBC1D15	-0.1735
MRPS21	0.1113
NONO	-0.7472
CLEC5A	2.0965
ITCH	-0.2383
MGAT3	-0.495166666666667
MBP	-0.0128749999999999
RPP25	0.1595
SOSTDC1	1.1755
HRC	-0.94125
TRIM48	0.688
TMEM133	0.381
ECEL1P2	-1.1295
HOXC11	-0.099
DOK5	-0.32425
HELZ	0.476
LOC348180	0.08575
MGC33894	0.21325
ADRB3	0.3485
DMD	0.700833333333333
PTRH2	-0.54475
MPEG1	3.1825
NDUFA12	0.367
KRTAP2-4	0.0987272727272728
STAMBPL1	-1.59916666666667
ADCY2	0.289333333333333
UNQ6125	-0.1695
KLHL20	0.671166666666667
SRM	-0.168
OTC	-0.341
TMIE	0.308666666666667
SNX8	0.7545
LIPK	-0.0795
CHURC1	-0.268166666666667
KLC2	0.401666666666667
HDAC1	-0.165666666666667
FAM128A	1.26833333333333
FNDC3B	0.1665
MTCP1	-0.443333333333333
WFDC10B	0.267
PCDHGB3	-0.972
ATRNL1	-2.0496
CAV2	0.75525
MED26	-0.005
DUS1L	1.49825
CHRM3	-1.46575
NEK9	0.688
WARS2	-0.25375
TBX22	-0.396
TOMM40	-0.287
RP6-213H19.1	-1.10083333333333
TUBGCP5	-0.04125
IGSF6	5.18
TPPP	-0.00716666666666667
UNQ6190	0.688
GSTM5	1.736125
BTD	1.21233333333333
PDCD1LG2	0.197333333333333
SNRPB2	-0.532833333333333
ERICH1	-0.876125
APOA4	-1.47575
HOXA11	-0.428
NARG1	-0.58675
MKX	-0.67525
RAB28	-0.126
PKP3	0.76975
SH3GL2	-2.4785
CTSO	4.653
RPN2	0.3706875
IL28RA	0.491833333333333
SFMBT1	-0.46725
WDR57	-0.48375
FER1L3	1.02716666666667
HSF5	0.685833333333333
TTC9B	0.09825
C4BPA	-4.0314
ALB	-5.57741666666667
SORBS3	0.2975
UPF2	0.1165
JPH1	-0.4075
AGBL2	0.13125
DOPEY1	1.3045
TERF1	-0.589833333333333
KIF22	-0.937666666666667
NINJ1	0.69025
SEC61A2	-1.00075
HIST1H1D	-0.536333333333333
SFXN4	-0.182125
UCP3	0.1846
ZNF703	1.0825
MYL6B	-0.7435
TREM1	2.06975
OR52E6	0.6015
CKMT2	2.82575
HLA-C	2.493375
SLC13A3	-1.31016666666667
TIMP4	0.68925
SLIT2	3.14625
RSF1	-0.151777777777778
LONRF1	-1.01628571428571
MON1A	-0.204833333333333
CACNG6	-1.7585
DPPA4	-6.10233333333333
ZSWIM3	-0.10825
ZNF804A	0.2245
CCIN	2.507
SLC25A31	0.441666666666667
KCNMB4	0.611
RABL5	-0.297625
GALNS	-0.3423
STX6	0.332
HIST1H1C	-1.087
CIDEB	-0.655375
CASP4	-0.0866666666666667
PDK3	-0.771
KCNJ11	0.957
TPR	0.181
ZSCAN20	-0.679
MTX2	-0.35475
HIST1H2BH	-0.02475
LOC283767	0.34275
LYRM7	-1.14622222222222
BRD3	-0.053
HIST1H2BO	-0.0425
MAGEB10	-0.1375
SLC45A1	2.47925
SERPINA3	2.9
KIAA0143	1.16525
KCNJ16	0.5874
KRT79	-0.1905
FABP2	-0.881
NUT	-1.17
ZNF57	-0.86175
FBXL4	0.7825
CLEC9A	1.737
UGT8	-0.1335
BMP2K	-0.44975
MAPK4	-3.43025
SLC25A23	0.0316
HINT1	-0.8929
KRTAP13-1	-0.2095
SFXN5	0.4313
CHCHD2	-0.497333333333333
FAM3D	2.256
NDP	-3.015875
RHOBTB1	0.199
SLC4A4	-0.990375
RPL38	0.096
HTF9C	0.2065
AP2A2	0.821125
ZBTB46	-0.48
MAP7D1	1.388875
AOX1	-0.482166666666667
CYR61	0.573083333333333
DTNA	-1.00178571428571
JRKL	0.21075
TMOD3	-0.381
EEA1	0.2209
ADCK5	-0.35775
IL1R1	2.07116666666667
KLK3	0.994076923076923
HRSP12	-0.60375
KTN1	0.1455
LOH11CR2A	0.6948
RELL2	-1.10775
MAB21L1	2.07625
C20orf59	-0.269833333333333
PHKB	0.11825
ADAM2	-2.413
TBC1D8B	1.4805
FAM13A1	-0.859
LAPTM4B	-1.55116666666667
LCN8	-0.5295
TMEM147	0.6995
SYT4	-0.289
XPO7	-0.7115
C9orf62	2.67825
GPR75	-0.5405
TRIM5	-0.013125
APOC1	0.349333333333333
RNASE4	1.67816666666667
PARD6B	-1.00225
ARID1A	0.304666666666667
TPD52L3	-0.087875
RRAGB	0.585166666666667
RCN2	-0.2495
HIST2H2BE	0.756375
STARD7	-0.0785
SHMT2	-1.3085
KIAA1751	-0.082
MLYCD	0.025
LOC162632	-0.3497
UQCRH	-1.3545
RP11-217H1.1	0.329
SDHA	-0.3395
NCLN	0.1601
ZNF17	0.151166666666667
RCBTB2	-0.94025
VEGFB	0.3907
RP4-747L4.3	0.76775
COLQ	0.5595
MPN2	-0.793166666666667
DRG2	0.4735
KLRB1	5.181
ALPK2	-1.957
DNASE2B	4.38375
FLJ23834	-0.68
AXUD1	1.656
SAFB	0.1649
NSUN4	-0.2745
RFX2	0.451333333333333
MAPK8IP1	0.102166666666667
FANCD2	-1.79871428571429
ANKZF1	-1.538
C19orf50	-0.206625
DUSP8	0.50375
SENP5	-0.864
NFKBIL2	-0.6325
LBR	-1.2395
IGFL1	0.104
LZTS2	0.47775
IL2RG	-0.79875
CCDC51	-1.199
KLF3	0.29825
ANKRD37	-1.78375
KCTD14	0.144833333333333
FZR1	0.570166666666667
SLC44A4	3.3648
ESPL1	-1.694375
GMPR2	-0.1608
TBC1D19	-0.583
ERGIC1	1.1142962962963
ERBB4	3.2908
TSPAN32	0.503583333333333
MAP4	0.899
GPHN	-0.02775
SLC6A2	-0.418625
HIVEP1	0.1375
DFFB	-0.7669
EIF4EBP2	0.52775
DMRT1	-0.85875
HSPB6	0.06675
IER2	0.273
AIFM1	-0.7365
WWC2	0.0394166666666667
MRPL4	-0.73775
FLJ21062	-0.6208
EPB41L4A	0.928666666666667
SH2D6	-0.23725
TAF4B	-1.30725
GAL3ST3	0.3455
MALT1	-1.711
RTDR1	1.0625
ARVCF	-0.01
MEX3B	-0.808833333333333
FBXO16	0.6815
KIF7	1.191
C1QC	3.856
ZNF783	-1.24516666666667
ZNF85	-0.738
MMP13	6.124
KIAA0329	0.5
RTP3	-1.731
ZBED3	0.27125
CLGN	0.923
SLC25A37	-1.60866666666667
hCG_18290	-0.4555
OR5AS1	0.1935
SMARCC2	0.8455
FAM109A	0.801666666666667
CCDC12	-0.32
USF2	1.0226
DEPDC7	-0.719
C20orf24	-0.991666666666667
JMJD3	0.029
DSP	2.05507142857143
SLIC1	0.176125
FAM20A	1.805625
IRF2BP2	0.263125
ZNF230	-0.055
MSN	0.213428571428571
SLC9A5	-2.193
EPDR1	0.3511
MUSK	0.7125
ZNF434	-0.519
SMARCD1	-0.459666666666667
ZFP106	-0.64375
ZNF347	-0.2137
GTF2E1	0.0735
RY1	-0.2175
