Hybridization REF	TCGA-BH-A0DO-01B-11R-A12D-07
PRPF3	-0.416166666666667
EMR1	-1.989
SPATA19	0.0145
XCR1	0.175
IRX3	2.777
RBM6	-0.049
KLF4	0.4284
UNC5CL	0.245
SEBOX	0.0705
BTK	-1.1645
KRCC1	2.07275
C6orf27	0.582
SYTL5	-0.1995
PRND	2.473625
LOC653319	-1.5775
PIGL	-1.091
HUS1	-0.2875
SFRS6	-0.09725
C17orf77	0.15
UIMC1	-0.496833333333333
FXYD2	-1.7693
LOC283152	1.959
ZNF667	-1.107
ZCCHC12	-1.1595
TFEC	1.6834
ATP7B	0.2855
POLD2	-0.7795
RG9MTD1	0.23375
ACOT2	0.369166666666667
HIST1H4I	-2.20025
PPARGC1A	-1.8591
ETFA	-1.2203
POLRMT	0.09425
ZNF146	0.13875
MIA2	-3.722
KLHL6	-1.28966666666667
HOXB5	-1.28375
NENF	0.5195
CUGBP1	0.2245
PRSS22	1.62816666666667
CASC4	0.7761
CUL4B	-0.1827
CENPJ	-2.2161
PITX1	1.98433333333333
FLJ31033	-0.130666666666667
CELSR3	-0.952666666666667
ZNF568	1.50225
ITSN1	-0.6825
EHBP1L1	-0.435
C19orf2	-0.129
DCTN1	0.5595
LIN28B	-5.27933333333333
TNKS2	-0.88625
C1QBP	-0.685
CADPS2	3.10725
SRMS	0.24675
GJA9	0.742666666666667
MGC24975	-0.0526666666666667
TRIM45	0.6745
TSP50	0.7015
TCP1	-1.4325
TMED7	-0.1717
CMA1	-0.1825
CENPL	-1.687
PTCRA	0.3585
FST	-2.69075
VWCE	-3.572
PAWR	-0.9375
ABCC12	-0.011
LDLR	-1.0531
ASTN2	0.4285
LOC441212	-0.914375
GPATCH8	-0.01275
TANC2	-1.57325
KIF4A	-3.285
C18orf18	-1.05925
PGM1	-0.73075
KIAA0258	0.4575
CPD	0.81925
SNCAIP	-0.62175
DCT	-4.54316666666667
HLA-DOA	2.80663636363636
OR11L1	0.152
UPK1B	-0.6142
DNAJB4	-0.445
UGT1A8	-1.12875
HIST1H4L	-3.3465
PECR	-1.72316666666667
HSPA2	2.96925
WFIKKN1	-2.196
SERP1	0.87525
SYDE2	1.12775
TACR2	0.575
NUP85	-0.7755
CD177	-0.9395
LGR5	-2.81383333333333
PIGG	0.283416666666667
PTHR1	-1.07633333333333
RAB5A	0.396
FLJ13224	-0.2295
USP9Y	-1.68033333333333
C7orf53	-0.374
LRP1B	5.4775
XAF1	0.2301
ABCG8	-0.7565
ANKDD1A	-0.553
DAND5	-1.297
SPAG6	5.34933333333333
LINCR	3.40975
ZDHHC22	-1.27775
CCDC60	-0.3445
THOC7	-1.28716666666667
TCTA	1.1393
OR8K3	0.46525
NY-REN-7	-1.1845
B2M	0.5825
C6orf141	-1.389375
LPPR4	1.79225
SQLE	-1.99225
SEPHS1	-0.7885
BTBD14B	0.584857142857143
PLRG1	-0.051
SPG7	-0.3630625
ZNF614	0.222166666666667
PARD6G	0.995333333333333
INPP5B	-0.7991
GRPEL2	-0.4785
PPID	-0.772
TRIM56	0.19275
UBE2J1	-0.369125
IL20RA	5.77925
LOC387856	0.31875
C1orf107	1.01691666666667
UTS2R	1.093
C19orf22	0.3905
SAFB2	-0.6745
KIAA0652	0.620625
KLRG1	-0.927666666666667
MS4A8B	2.2405
FRAG1	0.98125
KIAA1546	0.03775
E2F4	-1.1781
CLEC4M	0.420333333333333
BTBD14A	-1.1505
KIAA0999	1.6489
GYPA	-4.78833333333333
TAC1	2.409
TRAIP	-1.43966666666667
KIAA0232	0.5181
ERCC8	-1.1455
GPX4	0.68975
KIAA0368	0.077625
GPR157	-0.559333333333333
CTAGE4	1.995
C9orf30	-1.829
OR52A1	-0.0265
HSP90B3P	-0.4
ALG9	0.034
BTBD10	0.6445
SDK2	-0.092
BAIAP3	1.39425
RABGGTB	-0.594625
ANKRD40	-0.142833333333333
KRT74	1.0245
CALCOCO2	0.0468571428571429
SNCA	-2.8615
TMSL8	-5.014625
C2orf53	0.7735
ESRRB	-0.31775
ARHGAP26	-0.619375
TDRD9	-2.5565
HRAS	-0.208666666666667
KLRC4	-1.66
JAGN1	-0.263
BSDC1	0.56475
RNF43	-0.00330000000000001
NDUFAF1	0.358
PHF12	0.2405
OR1L3	0.115
FOLR2	1.38175
LYZL6	-0.2175
tcag7.1260	-1.514
WSB1	-1.47816666666667
PROS1	-0.1736
OSTN	0.6525
PSMB8	0.115
SOCS4	-0.331375
DDIT4L	1.54775
MAS1	-0.1055
MGC34796	0.8545
CSHL1	0.146
TBCCD1	0.0583333333333333
ZBTB7C	0.5845
AP2S1	-0.6875
P15RS	-0.2379
VAT1	-0.7831
SHANK3	1.17983333333333
TUFM	-0.121
THEG	-0.0115
KRT34	-1.92075
SGSM3	0.600375
TOMM22	-0.754375
SOCS3	1.29
CPO	2.25
POP4	0.42775
BHLHB3	2.91075
MALL	1.65575
OR1B1	0.011
PARK2	0.8775
GPR124	0.438125
LCE1E	0.161
RUVBL2	-0.49675
CGRRF1	1.1785
ACPL2	0.73175
WNT10B	-2.375375
BAIAP2L2	-1.92525
ISCA1	0.5655
C1orf125	0.66225
RPAP1	-0.5505
RAI16	0.551
RPL27	-0.200875
NLRP9	-0.6045
EPN1	0.381
LOC388610	-0.7525
SLC35A1	1.0101
GAL	-3.6215
SLC14A2	1.27225
RDH11	-0.9265
FAM138F	-0.0745
AUH	0.979
FLJ40243	0.21125
C14orf129	0.332
MBD2	-0.800333333333333
ABHD14B	0.4245
PIGT	0.225375
ALS2CR4	-0.09225
ALAS1	0.2518
FOXO1	1.08266666666667
CRLF3	-0.679
C20orf107	-0.4265
FARS2	0.88025
CCDC28A	1.44375
NPHP3	-0.64375
OR13F1	1.14
TSEN54	-0.983
DEFB106B	0.3185
OR8B4	0.294
STH	2.22325
ZC3H14	-0.273625
CBX2	-0.76
TMEM49	-0.8495
C6orf21	0.7225
FLJ20920	1.216
CRTAP	0.245214285714286
DDX50	-0.08775
STYXL1	0.43625
BLVRB	-0.5995
LOC147650	0.151166666666667
MMP24	0.3485
GRID1	1.7865
BANF1	-0.585833333333333
CTAGEP	0.58875
HMBS	-1.604
SLC25A24	0.436333333333333
C14orf50	2.3355
MRO	0.37
SLC25A15	-1.13725
FAM84B	1.663
TDP1	-1.3435
C16orf78	-0.213166666666667
C11orf57	-0.655875
RFK	-1.280625
ZFYVE9	-2.265
STCH	-1.0035
WIBG	0.67225
LOC283871	-0.164
GBA2	0.0469
NDUFB3	-0.2095
HSD17B13	-0.543
GRIN3A	0.779833333333333
FMNL1	-1.20966666666667
SEPT7	-1.202
GNLY	3.1725
GRAMD1C	1.44116666666667
ZNF165	-0.8755
USP38	0.111
FAM83A	-3.6715
C14orf24	0.00624999999999997
ARMCX3	1.698
ARHGDIB	0.958666666666667
AK1	-0.149625
KIAA1045	0.803
DNAJB13	-0.4615
NEU2	0.8035
HIST1H4B	-2.63916666666667
FAM20B	0.0911
HES2	0.671785714285714
FAM73B	0.0441
LOC388381	-0.158
INTS7	-0.356727272727273
AMPH	2.91925
ZNF775	0.383
UCKL1	-0.644666666666667
C10orf97	0.422
C1orf161	0.30875
ALDH1L1	0.4495
FLJ39378	-0.295625
SLC23A1	-2.055
RBM4B	0.50875
THAP4	0.0673333333333333
OGFRL1	0.12175
KIAA0831	0.280125
PPP1R15A	0.557333333333333
C1orf96	-0.937642857142857
C12orf11	-1.43875
BMF	0.67975
MAN1A1	-1.0965
KIAA1600	0.7595
NLGN4X	2.01775
ALOX12	-0.961166666666667
RB1CC1	-0.6204
NEIL2	0.642
EIF4E	-0.154454545454546
ABHD5	-0.272
EXOC4	-0.1585
CIP29	0.208
BATF2	-0.15125
SLC29A4	-0.4035
HTR4	0.235
EMB	-1.691
TRAF6	0.8655
LMNB1	-4.56925
FAM19A5	-1.20325
SHE	2.71725
PIK3C2B	1.09125
C15orf15	-0.5622
USP15	-0.0383
TCEAL2	2.6495
C5orf39	-1.228
PTGER2	-1.9765
SLC31A1	-0.6664375
IFT172	0.77075
ADAM29	0.2975
GFOD1	0.11475
ST7L	0.222666666666667
C15orf26	-2.5725
PKN3	-1.18175
CNTD1	2.56233333333333
COMMD1	0.310375
NTRK2	4.10425
FOXN3	0.21675
MFGE8	-0.393
PFKFB2	1.36683333333333
TAS2R4	-0.2365
ENTHD1	-0.247833333333333
PRMT5	-0.52125
MGC16384	-1.452625
LOC442229	-0.85975
TSKU	0.126375
KRTCAP3	2.355
PDLIM1	2.3694
KCNS2	0.67725
RNF126	0.212833333333333
CEP63	-0.555875
CLIC4	-0.88125
hCG_1990170	2.12725
ACR	0.7736
KLK7	2.80975
ALOX5AP	2.768625
RIPK3	3.92
TAS2R9	0.1405
C19orf18	1.934
BIRC6	0.276285714285714
ZNF16	1.2675
RFT1	-0.67525
SLC8A2	-0.46225
TACC1	-0.94025
ITGAD	0.444333333333333
SAMHD1	-0.206
SH3PXD2B	0.9787
EPC2	1.19625
C20orf85	0.200125
ATP13A2	1.05033333333333
KRT4	0.555
CAPNS1	0.1315
MDM2	-1.26633333333333
PCDH20	2.493
KCNK9	0.781
OR2C1	-0.1285
KLHDC3	-0.635
IPPK	0.679
EFHD2	0.62875
GALR3	0.94975
NBEA	1.3
ABCA6	3.4692
CLDN3	1.00883333333333
AKT2	-0.132857142857143
EGFR	-0.6981
RBM16	0.407875
ZDHHC3	0.307
SLC25A4	-0.515333333333333
CYB5B	-0.861
CPXM1	0.28875
NDRG1	-0.756076923076923
FLJ43826	0.706
OR5L2	0.443833333333333
FARP2	1.1845
MRPL46	-0.469333333333333
LDHAL6B	-0.315333333333333
MAPKAPK3	-0.289666666666667
NCAM2	-0.3785
PRKD2	0.805
ZFP36L1	1.645
CYSLTR1	-0.79825
OR4C3	0.234
HIST1H2AJ	0.572
CCNB2	-3.74488888888889
ZNF10	0.0395
TMEM175	0.5985
FAM134A	1.00933333333333
TIGD4	-0.912
PCNP	-0.088
MGC39715	0.5115
LQK1	-3.12975
CREB1	0.15
TMPRSS3	0.97725
C4orf32	2.27825
LAT	-1.75033333333333
KCNA3	-1.634
SKIV2L2	-0.5885
ROPN1B	0.55475
tcag7.23	0.5015
CDT1	-3.45325
ZHX2	0.99975
CD28	-3.85225
ZNF624	1.23925
SEPT2	0.0881666666666667
SOHLH2	-1.199
MCOLN3	-1.40828571428571
UNQ1945	0.57
MASP2	-1.384
ZNRF3	-0.6004
GPATCH3	0.084
AGL	1.857125
QRICH2	-0.2695
PSD4	1.64666666666667
CCNB1IP1	-1.49
ENPP7	0.3875
OBFC1	-0.06525
KCNG3	-2.819
C14orf79	0.988583333333333
ENPEP	1.351
SCT	0.597
SKI	0.3565
SEC61G	-1.28175
CAPN11	2.02
ATXN7L3	-0.055
DBNDD1	-0.416166666666667
FAIM	-0.51975
ANKRD36	-1.8
GABRP	3.82833333333333
TACSTD2	3.3945
EIF3J	-0.7185
PPP2R2A	-0.134
TEKT4	-0.989666666666667
PVALB	-3.37616666666667
F10	-1.96
FAM134C	1.2831
COMP	4.1225
EFCBP1	-2.3394375
SCLT1	-1.50875
TAL1	-1.0537
ACSL1	0.977
ABCC5	-0.46
ABL1	-0.686611111111111
RBBP7	-0.09875
PTPRG	-1.1175
NCOR1	0.0424
SPINK4	-2.38183333333333
TXNRD1	-2.0844
TNRC15	-0.76
C9orf138	0.583625
UBE2H	0.505666666666667
BRDT	0.116
C8orf31	0.03575
CCNE2	-2.55109090909091
SLC6A8	-2.0035
CALCR	-3.4255
PPP1CB	1.495
ABHD8	0.366
ARF5	0.3293
SLC24A4	0.46125
CCT3	-0.35875
ZNF121	0.06875
SLC3A2	-0.9797
OR13A1	0.2665
SLC5A10	-0.24725
RAD50	-0.3
IER5	0.194375
MTHFD1L	-2.704875
MBTPS2	0.43325
MVK	-0.358625
NCL	-0.3202
PSMD10	-0.55225
MOBP	-0.456
FLJ32894	0.202
HRH1	-2.19633333333333
C5orf30	1.16525
NUDT16L1	1.2286
RASGRP3	3.36166666666667
PRKRIP1	-0.2323
CCDC75	-1.176
LOC253970	-0.24
KIAA1239	1.171
MED21	-0.5615
SYT11	-0.641916666666667
NTSR2	-0.082
EGFL11	0.023
CXorf59	0.453
OR2A25	0.032
SPTBN2	0.0175
LRMP	-1.09816666666667
RNF111	0.34425
PTH	-0.348
LOC619208	0.473666666666667
KIAA0895	0.64275
RANBP5	-1.165625
P2RY10	0.5535
NME5	4.0805
DDX21	-1.314
LRSAM1	0.142
HDAC11	1.14383333333333
VMO1	1.4745
NOLA2	-0.315333333333333
ADAR	0.360333333333333
MTO1	-0.926
SF4	0.7265
P2RX1	-0.078
HBM	0.16575
EN2	1.2925
C14orf172	0.30875
TM9SF2	0.8162
INHBE	-1.03683333333333
TCTE3	-0.0993333333333333
TOX2	-2.9045
CTAGE3	-0.3965
HBB	3.6687
MED15	-0.424333333333333
CASR	0.6025
C6orf66	-1.4155
MTPN	-1.560125
UNC50	0.39175
C21orf33	0.450875
IRF2	1.064625
PGR	2.28733333333333
GPR84	1.47475
CROCCL1	-1.00225
SRPX	-0.85675
BRE	0.352166666666667
FGF10	1.397
SDC3	1.13083333333333
ZRSR1	0.406833333333333
DKFZP434P211	-0.194625
SOX6	1.47
RPUSD2	-0.15
C14orf173	-0.498
MAPK11	-0.0818333333333333
TBC1D22A	0.6065
FAM123A	-1.259
COL4A6	-0.943666666666667
TOMM70A	-0.03925
NAB1	-0.33775
MGC16385	-0.44
TSPAN18	-1.51566666666667
MED31	-0.56025
PLG	-0.869
CAPSL	2.5895
ZNF532	0.9087
ASB14	0.3705
CA8	2.55175
NUDT16P	2.23283333333333
SLFN11	-1.431
LRRIQ2	-1.618375
NOL7	-0.467666666666667
BRMS1L	-0.72625
JARID1A	-0.4285
PANK2	-0.48
ICAM3	-0.41025
MDS1	-0.2985
TAF8	-1.04125
RNF139	0.56575
ZNF594	-0.0858333333333333
ADAM8	2.338125
SFTPC	0.02525
MAN2B2	1.73725
RGS12	0.5938125
EIF1AY	-5.27916666666667
LRRIQ1	0.0546666666666667
GPR150	1.193
CCDC21	-1.35733333333333
PRRG3	0.5215
SAA4	-0.817
RAPGEF5	1.805125
ZCCHC2	-0.387833333333333
MGC39372	1.254
PPP4R2	-0.387333333333333
CDCA2	-3.57283333333333
OR4D5	0.3405
PTGFRN	0.6728
SIGLEC5	0.637666666666667
C19orf61	0.414166666666667
NMUR2	0.4395
KIAA1586	-1.6235
DAGLA	1.0085
CHCHD6	-0.40625
GPR32	0.6725
NEUROD6	-0.062
SLC2A4RG	0.2231875
CA5B	0.37175
FBXL3	2.126
MPHOSPH9	-2.01275
HMG2L1	0.384
HCN4	0.808666666666667
CEACAM19	0.18475
SH2D4B	0.0675
HFE2	-1.158
TGM4	-0.5534
LYPD2	0.3735
TBC1D15	0.316
MRPS21	-0.0787
NONO	-1.105
CLEC5A	2.122125
ITCH	-0.1877
MGAT3	-0.175166666666667
MBP	-0.250125
RPP25	-1.67525
SOSTDC1	4.61775
HRC	-1.1265
TRIM48	0.499
TMEM133	1.482
ECEL1P2	-1.677
HOXC11	-0.5025
DOK5	-0.203
HELZ	0.274
LOC348180	-1.02825
MGC33894	0.2075
ADRB3	0.215
DMD	0.880166666666667
PTRH2	-0.5575
MPEG1	2.57866666666667
NDUFA12	-0.542
KRTAP2-4	0.101916666666667
STAMBPL1	-1.58416666666667
ADCY2	2.54166666666667
UNQ6125	0.1885
KLHL20	-0.534166666666667
SRM	-1.2025
OTC	-0.45225
TMIE	0.0836666666666667
SNX8	-0.29275
LIPK	-0.069
CHURC1	-0.9415
KLC2	0.311166666666667
HDAC1	-0.218833333333333
FAM128A	0.356166666666667
FNDC3B	-0.4769
MTCP1	-0.847166666666667
WFDC10B	-0.1363
PCDHGB3	-1.734
ATRNL1	-0.8597
CAV2	0.232
MED26	0.5085
DUS1L	0.04175
CHRM3	-1.686625
NEK9	0.626
WARS2	-0.078
TBX22	1.561
TOMM40	-0.7675
RP6-213H19.1	-1.683
TUBGCP5	-0.20325
IGSF6	4.06725
TPPP	0.521833333333333
UNQ6190	0.2165
GSTM5	1.022375
BTD	1.4995
PDCD1LG2	0.100166666666667
SNRPB2	-0.4645
ERICH1	-0.512375
APOA4	-1.676375
HOXA11	-2.86125
NARG1	-0.1725
MKX	-0.87075
RAB28	-0.152571428571429
PKP3	1.21225
SH3GL2	-1.895
CTSO	3.49025
RPN2	-0.36525
IL28RA	0.448166666666667
SFMBT1	0.39975
WDR57	-0.0825
FER1L3	0.517916666666667
HSF5	-0.112166666666667
TTC9B	0.9345
C4BPA	-2.76883333333333
ALB	-2.94078571428571
SORBS3	0.25
UPF2	0.041
JPH1	-0.2185
AGBL2	0.96475
DOPEY1	1.722
TERF1	0.06175
KIF22	-0.573833333333333
NINJ1	1.0005
SEC61A2	-0.543083333333333
HIST1H1D	-1.90283333333333
SFXN4	-0.0865
UCP3	0.2894
ZNF703	0.744666666666667
MYL6B	-0.8445
TREM1	0.3715
OR52E6	0.472
CKMT2	3.38275
HLA-C	1.185875
SLC13A3	0.261
TIMP4	-0.05175
SLIT2	2.98725
RSF1	-0.105888888888889
LONRF1	-0.868
MON1A	-0.754833333333333
CACNG6	0.0815
DPPA4	-5.76816666666667
ZSWIM3	-0.01075
ZNF804A	-0.108833333333333
CCIN	1.20775
SLC25A31	1.29975
KCNMB4	-0.222
RABL5	0.96625
GALNS	-0.4627
STX6	-0.756375
HIST1H1C	-2.071
CIDEB	-0.478375
CASP4	0.48
PDK3	-0.313
KCNJ11	1.8745
TPR	-0.39075
ZSCAN20	0.3685
MTX2	-0.314
HIST1H2BH	-0.882
LOC283767	1.011
LYRM7	-0.961722222222222
BRD3	-0.7415
HIST1H2BO	-0.797
MAGEB10	1.0115
SLC45A1	1.719
SERPINA3	3.7973
KIAA0143	1.3055
KCNJ16	3.64866666666667
KRT79	-0.13675
FABP2	-1.80033333333333
NUT	-0.1595
ZNF57	0.4995
FBXL4	0.133125
CLEC9A	1.5415
UGT8	-0.765333333333333
BMP2K	0.515
MAPK4	-2.51575
SLC25A23	-0.1399
HINT1	0.3232
KRTAP13-1	-0.0015
SFXN5	-0.2856
CHCHD2	0.110583333333333
FAM3D	3.2835
NDP	-0.818
RHOBTB1	-0.749333333333333
SLC4A4	-1.205875
RPL38	-0.16125
HTF9C	-0.154666666666667
AP2A2	1.163125
ZBTB46	-0.437
MAP7D1	0.168625
AOX1	-0.523833333333333
CYR61	1.30791666666667
DTNA	-1.41828571428571
JRKL	0.233
TMOD3	-0.78675
EEA1	-0.1971
ADCK5	0.06625
IL1R1	1.574
KLK3	0.967428571428572
HRSP12	-0.792
KTN1	-0.162
LOH11CR2A	0.8428
RELL2	-0.94175
MAB21L1	2.67725
C20orf59	-0.860666666666667
PHKB	-0.2835
ADAM2	-2.496
TBC1D8B	1.43
FAM13A1	-0.175875
LAPTM4B	-1.20675
LCN8	-0.047
TMEM147	0.6155
SYT4	0.0818333333333333
XPO7	-0.9715
C9orf62	1.21125
GPR75	1.1535
TRIM5	0.204875
APOC1	-0.885833333333333
RNASE4	2.55633333333333
PARD6B	-1.921
ARID1A	0.540083333333333
TPD52L3	-0.436625
RRAGB	0.9085
RCN2	-1.0055
HIST2H2BE	-0.497625
STARD7	-0.0935
SHMT2	-1.4735
KIAA1751	-0.695833333333333
MLYCD	0.282375
LOC162632	-0.6639
UQCRH	-1.657
RP11-217H1.1	-0.5670625
SDHA	-0.929333333333333
NCLN	-0.2068
ZNF17	1.041
RCBTB2	-1.0185
VEGFB	-0.3402
RP4-747L4.3	1.46325
COLQ	0.8943
MPN2	-0.999166666666667
DRG2	0.22575
KLRB1	4.8835
ALPK2	-2.4165
DNASE2B	1.09025
FLJ23834	-0.294166666666667
AXUD1	1.33633333333333
SAFB	-0.5673
NSUN4	-0.304
RFX2	0.215333333333333
MAPK8IP1	0.9525
FANCD2	-1.18692857142857
ANKZF1	-1.3985
C19orf50	0.01675
DUSP8	0.466375
SENP5	-0.9665
NFKBIL2	-0.72925
LBR	-1.92
IGFL1	0.006
LZTS2	0.016
IL2RG	-1.23125
CCDC51	-0.395
KLF3	0.745
ANKRD37	-1.55475
KCTD14	0.985
FZR1	0.534916666666667
SLC44A4	4.311
ESPL1	-1.4895
GMPR2	0.0183
TBC1D19	-0.260333333333333
ERGIC1	0.0240740740740741
ERBB4	4.3769
TSPAN32	0.316
MAP4	-0.105625
GPHN	-0.82675
SLC6A2	-0.160625
HIVEP1	0.5215
DFFB	-0.6505
EIF4EBP2	0.106375
DMRT1	-0.6655
HSPB6	0.2085
IER2	1.05483333333333
AIFM1	-0.2775
WWC2	-0.630916666666667
MRPL4	-0.0725
FLJ21062	2.5735
EPB41L4A	1.72925
SH2D6	0.1375
TAF4B	-1.42925
GAL3ST3	-0.141
MALT1	-1.08516666666667
RTDR1	0.6195
ARVCF	0.70325
MEX3B	-1.35916666666667
FBXO16	1.57325
KIF7	-0.76875
C1QC	3.65766666666667
ZNF783	-0.554666666666667
ZNF85	0.18725
MMP13	-0.2065
KIAA0329	0.901
RTP3	1.6405
ZBED3	0.1115
CLGN	0.665
SLC25A37	-1.04283333333333
hCG_18290	0.1245
OR5AS1	-0.0205
SMARCC2	0.516
FAM109A	0.049
CCDC12	0.00475
USF2	0.7615
DEPDC7	-2.62125
C20orf24	-1.1085
JMJD3	0.453
DSP	1.67307142857143
SLIC1	0.255625
FAM20A	0.469
IRF2BP2	0.683
ZNF230	0.49
MSN	-0.7345
SLC9A5	-1.5545
EPDR1	-1.3112
MUSK	0.661833333333333
ZNF434	0.233166666666667
SMARCD1	-0.876166666666667
ZFP106	-0.33425
ZNF347	0.8581
GTF2E1	-0.1475
