Hybridization REF	TCGA-A7-A13D-01A-13R-A12P-07
C19orf55	-0.287625
SNAPC1	-0.375333333333333
GNA11	0.54025
CCDC52	-0.100666666666667
FSIP1	-0.9115
UPF3A	-0.67925
IGSF11	-2.3582
LAGE3	0.49175
CHST6	-0.026
UNC13B	0.546875
TTLL4	0.866
ZNF687	0.899875
SDC2	1.3179
COX7A2	-0.958
LAMB4	0.72675
FAM24A	1.2335
LRRTM3	-0.955333333333333
GPHB5	-0.56575
OR4C13	-0.364
EIF3EIP	0.282285714285714
HABP4	0.04
TMEM125	3.6125
CNTN2	0.983375
ASNSD1	-0.4595
FUT4	0.052625
ACF	-3.911
LOC158381	1.058
CDH8	0.66075
AGPS	-0.489833333333333
C4orf18	1.79
PECI	-2.3955
UNG	-0.535625
GSTP1	-1.149375
DCUN1D5	-0.553666666666667
DKFZP564J0863	-0.8985
SLC9A3R1	0.312375
BCDO2	-0.67275
CHMP7	-1.07325
REM2	0.1445
DNHD1	-0.359875
FKBP4	-0.39575
ZNF350	1.0455
MGC11102	0.05925
BST1	-0.035
KISS1R	1.951
NCR2	0.025
DEFB125	0.0875
UBE2W	1.695125
KRT15	3.622375
C10orf99	0.449
SCN11A	0.127375
GFI1	-3.80125
RDHE2	-1.266
FHL1	-1.49466666666667
OSGEP	-0.713
GATA1	-3.95483333333333
SMC6	-0.69975
TTTY14	-1.13875
LPIN3	0.0306666666666667
RPL4	-0.7895
RBPMS	-0.9314
PRPF3	0.362166666666667
EMR1	-1.8855
SPATA19	-0.48325
XCR1	0.2295
IRX3	2.3383
RBM6	-1.1755
KLF4	-1.8485
UNC5CL	-1.1225
SEBOX	1.02
BTK	-2.31475
KRCC1	0.923
C6orf27	0.866
SYTL5	-0.426
PRND	3.666875
LOC653319	-1.363
PIGL	-1.335375
HUS1	0.486333333333333
SFRS6	0.271916666666667
C17orf77	0.164
UIMC1	-1.486
FXYD2	-2.0488
LOC283152	-0.164
ZNF667	1.40575
ZCCHC12	-0.1425
TFEC	1.0518
ATP7B	-1.36366666666667
POLD2	-0.223666666666667
RG9MTD1	-0.00550000000000001
ACOT2	-1.1525
HIST1H4I	-1.22014285714286
PPARGC1A	-1.6049
ETFA	-0.9848
POLRMT	-0.1885
ZNF146	0.987125
MIA2	-0.9895
KLHL6	-2.583
HOXB5	-1.443875
NENF	0.00583333333333333
CUGBP1	-0.62025
PRSS22	3.10333333333333
CASC4	0.5654
CUL4B	1.6673
CENPJ	-1.05
PITX1	0.316666666666667
FLJ31033	0.657666666666667
CELSR3	-1.952
ZNF568	0.50475
ITSN1	-0.361583333333333
EHBP1L1	0.0446666666666667
C19orf2	0.65825
DCTN1	-0.25725
LIN28B	-3.5456
TNKS2	-0.77225
C1QBP	-0.51325
CADPS2	2.33325
SRMS	0.351
GJA9	-0.402
MGC24975	-0.891166666666667
TRIM45	-1.5905
TSP50	-0.23525
TCP1	-0.64075
TMED7	-0.2633
CMA1	0.753
CENPL	0.086
PTCRA	0.0905
FST	-3.41325
VWCE	-4.34675
PAWR	-0.28175
ABCC12	0.71675
LDLR	-1.9308
ASTN2	-0.6896
LOC441212	-0.04575
GPATCH8	-0.34025
TANC2	0.235545454545455
KIF4A	-0.68675
C18orf18	-1.45175
PGM1	0.1385
KIAA0258	1.167
CPD	-0.767
SNCAIP	-2.852
DCT	-5.21083333333333
HLA-DOA	0.676809523809524
OR11L1	0.618
UPK1B	0.3118
DNAJB4	0.139375
UGT1A8	0.274
HIST1H4L	-0.8485
PECR	-1.15533333333333
HSPA2	1.7825
WFIKKN1	-2.1205
SERP1	0.929
SYDE2	0.03875
TACR2	0.767
NUP85	0.13575
CD177	-0.485166666666667
LGR5	-2.215
PIGG	-0.84975
PTHR1	-1.91783333333333
RAB5A	-0.2632
FLJ13224	-0.2885
USP9Y	-1.4775
C7orf53	0.622
LRP1B	-1.05275
XAF1	1.6758
ABCG8	-0.4005
ANKDD1A	-0.437
DAND5	-1.0595
SPAG6	0.3042
LINCR	1.88125
ZDHHC22	-1.778875
CCDC60	3.669
THOC7	-1.498
TCTA	0.5519
OR8K3	0.06625
NY-REN-7	-0.31
B2M	1.61733333333333
C6orf141	-1.642875
LPPR4	2.05175
SQLE	-0.25
SEPHS1	1.106
BTBD14B	0.796142857142857
PLRG1	-0.19125
SPG7	-0.70875
ZNF614	-0.14
PARD6G	1.70033333333333
INPP5B	0.0155
GRPEL2	0.43975
PPID	-0.4955
TRIM56	-0.456
UBE2J1	0.194875
IL20RA	0.4775
LOC387856	0.4
C1orf107	0.0545
UTS2R	2.204
C19orf22	0.000749999999999994
SAFB2	-0.572625
KIAA0652	-0.184125
KLRG1	-0.9282
MS4A8B	0.2272
FRAG1	-0.07025
KIAA1546	0.52075
E2F4	-0.832
CLEC4M	-0.1005
BTBD14A	0.7165
KIAA0999	-0.2361
GYPA	-3.389
TAC1	-0.0301428571428571
TRAIP	-0.877333333333333
KIAA0232	-0.7372
ERCC8	-2.16025
GPX4	-0.565875
KIAA0368	-1.03125
GPR157	0.0485
CTAGE4	0.1905
C9orf30	-0.1535
OR52A1	0.5375
HSP90B3P	0.7985
ALG9	-1.4055
BTBD10	-0.11675
SDK2	0.54825
BAIAP3	-0.841
RABGGTB	-1.22575
ANKRD40	-0.581333333333333
KRT74	1.3655
CALCOCO2	-0.7615
SNCA	-3.075
TMSL8	-3.2365
C2orf53	0.0295
ESRRB	-0.73175
ARHGAP26	-0.911875
TDRD9	-3.52225
HRAS	0.847666666666667
KLRC4	-1.9905
JAGN1	-0.162166666666667
BSDC1	-0.1125
RNF43	-2.6263
NDUFAF1	-0.8505
PHF12	-0.6275
OR1L3	0.67875
FOLR2	0.528363636363636
LYZL6	-0.274
tcag7.1260	0.4505
WSB1	-1.0875
PROS1	0.7035
OSTN	0.6435
PSMB8	-0.074
SOCS4	-0.7095
DDIT4L	3.35075
MAS1	0.225
MGC34796	1.61825
CSHL1	0.323166666666667
TBCCD1	0.189833333333333
ZBTB7C	-0.4925
AP2S1	0.924
P15RS	-0.5761
VAT1	1.2764
SHANK3	1.37683333333333
TUFM	-0.8195
THEG	0.10475
KRT34	-1.588
SGSM3	0.72325
TOMM22	0.452125
SOCS3	1.91966666666667
CPO	-0.576
POP4	0.87575
BHLHB3	2.03
MALL	3.31175
OR1B1	-2.425
PARK2	-0.0806
GPR124	0.104375
LCE1E	3.0325
RUVBL2	0.16075
CGRRF1	-0.5966
ACPL2	0.30075
WNT10B	-0.973
BAIAP2L2	0.995
ISCA1	-0.3985
C1orf125	0.095
RPAP1	-0.96425
RAI16	-1.48533333333333
RPL27	1.04875
NLRP9	-0.0775
EPN1	1.375
LOC388610	-1.66075
SLC35A1	0.0791
GAL	0.211
SLC14A2	0.48425
RDH11	-1.53183333333333
FAM138F	-0.4995
AUH	-0.84025
FLJ40243	-0.526
C14orf129	-0.856833333333333
MBD2	-0.805
ABHD14B	-1.06325
PIGT	0.0945
ALS2CR4	-0.0245
ALAS1	0.3226
FOXO1	0.956
CRLF3	-0.20925
C20orf107	0.275
FARS2	0.15125
CCDC28A	-0.337
NPHP3	-0.7245
OR13F1	-0.129
TSEN54	0.39275
DEFB106B	-0.121111111111111
OR8B4	0.4875
STH	-2.10666666666667
ZC3H14	-0.884
CBX2	-0.198
TMEM49	-1.737
C6orf21	0.5335
FLJ20920	0.5605
CRTAP	-0.702142857142857
DDX50	-0.18875
STYXL1	-0.15825
BLVRB	0.0555
LOC147650	1.0765
MMP24	0.7365
GRID1	1.918
BANF1	-0.834333333333333
CTAGEP	-0.749
HMBS	-2.3225
SLC25A24	0.264333333333333
C14orf50	0.1035
MRO	0.0351666666666666
SLC25A15	-1.06525
FAM84B	2.1552
TDP1	-0.7
C16orf78	-0.559166666666667
C11orf57	-1.09125
RFK	-0.939375
ZFYVE9	-0.477
STCH	-0.7553
WIBG	-0.38175
LOC283871	-0.330666666666667
GBA2	-0.3565
NDUFB3	0.261
HSD17B13	-0.28925
GRIN3A	0.1945
FMNL1	-1.39383333333333
SEPT7	0.0017
GNLY	1.285
GRAMD1C	0.6425
ZNF165	-1.041
USP38	-0.8495
FAM83A	-4.2345
C14orf24	0.721
ARMCX3	1.235375
ARHGDIB	0.175333333333333
AK1	0.27275
KIAA1045	1.87566666666667
DNAJB13	-0.5588
NEU2	0.52
HIST1H4B	-0.313333333333333
FAM20B	-0.0646
HES2	1.45846153846154
FAM73B	-0.5341
LOC388381	-0.00824999999999998
INTS7	-0.770454545454545
AMPH	-0.40775
ZNF775	0.135125
UCKL1	-0.352333333333333
C10orf97	0.2525
C1orf161	-1.2905
ALDH1L1	-1.169
FLJ39378	-0.1475
SLC23A1	-2.0525
RBM4B	-0.564
THAP4	0.0825
OGFRL1	2.66825
KIAA0831	-0.2095
PPP1R15A	1.31483333333333
C1orf96	0.532285714285714
C12orf11	-1.42
BMF	0.736
MAN1A1	-3.01271428571429
KIAA1600	1.07866666666667
NLGN4X	-2.2835
ALOX12	-0.812166666666667
RB1CC1	0.1561
NEIL2	-0.0826
EIF4E	-0.0808636363636364
ABHD5	-0.06875
EXOC4	0.229666666666667
CIP29	-0.476333333333333
BATF2	0.66075
SLC29A4	0.861375
HTR4	-0.03475
EMB	-2.905
TRAF6	-0.28525
LMNB1	-3.187
FAM19A5	0.042
SHE	0.60575
PIK3C2B	0.88075
C15orf15	-0.7
USP15	-0.5218
TCEAL2	-0.99675
C5orf39	-1.0995
PTGER2	-2.118
SLC31A1	-0.084375
IFT172	0.868
ADAM29	-0.1195
GFOD1	2.0715
ST7L	-0.5245
C15orf26	-3.434
PKN3	-1.2895
CNTD1	0.418666666666667
COMMD1	0.270375
NTRK2	2.34841666666667
FOXN3	-0.349625
MFGE8	0.5442
PFKFB2	0.219833333333333
TAS2R4	0.06375
ENTHD1	4.09933333333333
PRMT5	-1.38425
MGC16384	-2.158625
LOC442229	-0.729
TSKU	-0.1045
KRTCAP3	3.699625
PDLIM1	0.1725
KCNS2	-0.543
RNF126	-0.348
CEP63	0.076125
CLIC4	0.144625
hCG_1990170	3.0635
ACR	0.1957
KLK7	6.96425
ALOX5AP	2.694
RIPK3	0.83775
TAS2R9	0.086
C19orf18	0.628
BIRC6	0.409428571428572
ZNF16	0.774
RFT1	0.2275
SLC8A2	-0.1845
TACC1	-0.355875
ITGAD	0.401
SAMHD1	0.46625
SH3PXD2B	1.4544
EPC2	0.53775
C20orf85	0.238571428571429
ATP13A2	0.788833333333333
KRT4	2.87175
CAPNS1	0.46175
MDM2	-0.752833333333333
PCDH20	1.98475
KCNK9	1.4195
OR2C1	-0.8985
KLHDC3	-0.7155
IPPK	0.255
EFHD2	-0.965
GALR3	2.244
NBEA	-0.714666666666667
ABCA6	-0.3659
CLDN3	3.26566666666667
AKT2	0.406
EGFR	0.2035
RBM16	-0.699875
ZDHHC3	-0.1385
SLC25A4	0.163333333333333
CYB5B	-0.8875
CPXM1	-0.54025
NDRG1	2.31084615384615
FLJ43826	-0.55475
OR5L2	-0.431666666666667
FARP2	-0.4094
MRPL46	-1.04916666666667
LDHAL6B	0.446833333333333
MAPKAPK3	-1.01066666666667
NCAM2	-2.9245
PRKD2	1.42166666666667
ZFP36L1	1.6803
CYSLTR1	-1.86825
OR4C3	-0.0595
HIST1H2AJ	2.389
CCNB2	-1.21455555555556
ZNF10	-0.389125
TMEM175	0.8845
FAM134A	0.3905
TIGD4	-0.72
PCNP	-0.44725
MGC39715	6.77433333333333
LQK1	-2.43025
CREB1	0.1766
TMPRSS3	1.56975
C4orf32	0.152
LAT	-2.38091666666667
KCNA3	-1.4255
SKIV2L2	-1.86925
ROPN1B	4.646
tcag7.23	-0.1075
CDT1	-2.556125
ZHX2	0.509875
CD28	-4.706
ZNF624	0.40625
SEPT2	0.472666666666667
SOHLH2	-2.17457142857143
MCOLN3	-1.86271428571429
UNQ1945	0.7975
MASP2	-1.9725
ZNRF3	-0.1457
GPATCH3	-0.1835
AGL	0.285375
QRICH2	-0.435
PSD4	0.648
CCNB1IP1	-1.87575
ENPP7	-0.20575
OBFC1	-1.80575
KCNG3	-1.406
C14orf79	-0.54225
ENPEP	2.067
SCT	2.8965
SKI	1.165125
SEC61G	0.606
CAPN11	-0.270666666666667
ATXN7L3	-0.2965
DBNDD1	0.6985
FAIM	0.807
ANKRD36	0.503
GABRP	6.1475
TACSTD2	1.98383333333333
EIF3J	-0.67025
PPP2R2A	-1.07025
TEKT4	-0.179
PVALB	-4.02216666666667
F10	-3.062
FAM134C	1.6607
COMP	5.51475
EFCBP1	-2.5146
SCLT1	0.3095
TAL1	-1.5916
ACSL1	2.14725
ABCC5	-0.0895
ABL1	-0.465055555555556
RBBP7	0.174416666666667
PTPRG	-0.994875
NCOR1	-0.08
SPINK4	-2.83583333333333
TXNRD1	-1.0865
TNRC15	0.112625
C9orf138	0.417
UBE2H	1.041
BRDT	-0.6696
C8orf31	0.12675
CCNE2	-1.845
SLC6A8	-0.140875
CALCR	-4.39475
PPP1CB	1.62475
ABHD8	-0.11525
ARF5	0.6983
SLC24A4	-0.8695
CCT3	1.186
ZNF121	-0.2445
SLC3A2	-0.8274
OR13A1	0.478
SLC5A10	-1.18675
RAD50	-1.43975
IER5	0.672125
MTHFD1L	-1.230125
MBTPS2	1.17125
MVK	-0.215625
NCL	0.1499
PSMD10	-0.27625
MOBP	0.556166666666667
FLJ32894	-0.625
HRH1	0.146
C5orf30	-0.44925
NUDT16L1	0.5561
RASGRP3	4.63083333333333
PRKRIP1	-0.1678
CCDC75	0.72475
LOC253970	0.354
KIAA1239	0.36275
MED21	-0.0175
SYT11	-0.0590833333333333
NTSR2	-0.7455
EGFL11	0.4035
CXorf59	0.245
OR2A25	0.8525
SPTBN2	0.1775
LRMP	-2.704
RNF111	-0.6615
PTH	4.8725
LOC619208	-0.0888333333333333
KIAA0895	1.535
RANBP5	-1.399625
P2RY10	-1.6512
NME5	2.08833333333333
DDX21	-0.26925
LRSAM1	0.0665
HDAC11	0.582166666666667
VMO1	1.484
NOLA2	-0.257833333333333
ADAR	1.16408333333333
MTO1	-2.11016666666667
SF4	0.219833333333333
P2RX1	-0.7205
HBM	0.15225
EN2	2.184
C14orf172	0.37125
TM9SF2	0.8945
INHBE	-0.93
TCTE3	0.195083333333333
TOX2	-2.3335
CTAGE3	-0.4665
HBB	4.1383
MED15	-0.102
CASR	-0.0643333333333333
C6orf66	-0.746333333333333
MTPN	0.07
UNC50	-0.35375
C21orf33	0.110625
IRF2	0.57875
PGR	-1.799
GPR84	2.4105
CROCCL1	-2.154
SRPX	-1.1995
BRE	-0.234166666666667
FGF10	0.376333333333333
SDC3	0.3455
ZRSR1	-0.092
DKFZP434P211	0.0625
SOX6	2.9515
RPUSD2	-0.65075
C14orf173	1.05283333333333
MAPK11	-0.525333333333334
TBC1D22A	1.3685
FAM123A	0.124
COL4A6	-4.047
TOMM70A	0.22975
NAB1	0.637625
MGC16385	-0.773
TSPAN18	0.197166666666667
MED31	-0.72475
PLG	-0.01475
CAPSL	0.8915
ZNF532	2.063
ASB14	1.071
CA8	-0.18
NUDT16P	-0.0263333333333334
SLFN11	-1.297
LRRIQ2	-1.1925
NOL7	0.0645
BRMS1L	-0.63875
JARID1A	0.0653333333333333
PANK2	-0.3645
ICAM3	-1.10775
MDS1	1.277
TAF8	-0.893
RNF139	0.65525
ZNF594	0.0895
ADAM8	2.3635
SFTPC	-0.18775
MAN2B2	0.09325
RGS12	-0.4378125
EIF1AY	-3.31825
LRRIQ1	-0.216666666666667
GPR150	2.30625
CCDC21	-1.45316666666667
PRRG3	-0.0205
SAA4	-3.89625
RAPGEF5	2.44975
ZCCHC2	0.86725
MGC39372	0.046
PPP4R2	-0.0095
CDCA2	-0.457
OR4D5	0.3
PTGFRN	1.3319
SIGLEC5	1.1178
C19orf61	0.726833333333333
NMUR2	0.616
KIAA1586	-2.17966666666667
DAGLA	0.211666666666667
CHCHD6	0.20125
GPR32	-0.3215
NEUROD6	1.345
SLC2A4RG	0.4188125
CA5B	-0.18825
FBXL3	-0.142
MPHOSPH9	-1.27025
HMG2L1	-0.25125
HCN4	1.46033333333333
CEACAM19	2.01825
SH2D4B	0.281
HFE2	0.028
TGM4	0.2892
LYPD2	-0.177
TBC1D15	-0.2925
MRPS21	0.8569
NONO	-0.4012
CLEC5A	2.637
ITCH	0.7001
MGAT3	2.11333333333333
MBP	-0.6505
RPP25	-0.23725
SOSTDC1	4.45275
HRC	-1.9775
TRIM48	0.5795
TMEM133	0.40175
ECEL1P2	-1.0905
HOXC11	-0.897
DOK5	2.27875
HELZ	0.326666666666667
LOC348180	-0.136
MGC33894	-0.60975
ADRB3	-0.1425
DMD	-0.0624545454545456
PTRH2	-0.758
MPEG1	1.503
NDUFA12	-0.603166666666667
KRTAP2-4	1.22141666666667
STAMBPL1	-1.6794
ADCY2	-0.326333333333333
UNQ6125	1.289
KLHL20	-0.5158
SRM	-0.8105
OTC	-1.49875
TMIE	0.2505
SNX8	1.72075
LIPK	1.6855
CHURC1	0.124833333333333
KLC2	0.291666666666667
HDAC1	-0.8175
FAM128A	0.402333333333333
FNDC3B	0.699
MTCP1	-1.0292
WFDC10B	1.3008
PCDHGB3	-0.9325
ATRNL1	-2.32388888888889
CAV2	0.832875
MED26	1.07666666666667
DUS1L	1.83375
CHRM3	-0.969625
NEK9	-1.04925
WARS2	-0.1455
TBX22	0.669
TOMM40	0.79675
RP6-213H19.1	0.3395
TUBGCP5	-1.29125
IGSF6	2.86266666666667
TPPP	-0.197833333333333
UNQ6190	0.8565
GSTM5	0.481625
BTD	-0.258833333333333
PDCD1LG2	-1.141
SNRPB2	0.549333333333333
ERICH1	-0.5865
APOA4	-1.647125
HOXA11	-0.31375
NARG1	-0.431
MKX	-0.3145
RAB28	-0.646428571428571
PKP3	1.759
SH3GL2	-3.23425
CTSO	2.06625
RPN2	0.8990625
IL28RA	-1.448
SFMBT1	-0.48825
WDR57	0.413125
FER1L3	0.933833333333333
HSF5	-0.1862
TTC9B	0.20725
C4BPA	-3.01783333333333
ALB	-5.17823076923077
SORBS3	-0.588
UPF2	1.0045
JPH1	0.368
AGBL2	-2.27575
DOPEY1	1.041
TERF1	-0.113833333333333
KIF22	-0.816166666666667
NINJ1	-0.306
SEC61A2	0.866916666666667
HIST1H1D	-0.0721666666666667
SFXN4	-0.059
UCP3	0.5286
ZNF703	0.692833333333333
MYL6B	-0.9535
TREM1	4.081
OR52E6	0.9825
CKMT2	0.81925
HLA-C	1.590625
SLC13A3	0.3926
TIMP4	-3.117
SLIT2	0.19525
RSF1	-0.613
LONRF1	-1.10392857142857
MON1A	-0.6105
CACNG6	-0.406166666666667
DPPA4	-5.70716666666667
ZSWIM3	-0.26975
ZNF804A	-0.6685
CCIN	1.6585
SLC25A31	1.316
KCNMB4	0.145
RABL5	0.37075
GALNS	0.0265
STX6	0.5695
HIST1H1C	-2.04833333333333
CIDEB	-1.185125
CASP4	-0.156833333333333
PDK3	2.0905
KCNJ11	0.043
TPR	-0.72975
ZSCAN20	0.0285
MTX2	-0.059
HIST1H2BH	-0.6715
LOC283767	0.06375
LYRM7	-2.10823529411765
BRD3	-0.552166666666667
HIST1H2BO	-0.84775
MAGEB10	0.175
SLC45A1	-0.747333333333333
SERPINA3	2.15715
KIAA0143	1.487
KCNJ16	3.69233333333333
KRT79	1.17375
FABP2	-0.8525
NUT	2.127
ZNF57	0.29125
FBXL4	-0.42275
CLEC9A	0.675
UGT8	3.12333333333333
BMP2K	-1.20275
MAPK4	-1.79675
SLC25A23	-1.3376
HINT1	-1.2121
KRTAP13-1	-0.985
SFXN5	0.0753
CHCHD2	0.6645
FAM3D	1.1715
NDP	-2.470125
RHOBTB1	0.342166666666667
SLC4A4	-0.776833333333333
RPL38	0.472
HTF9C	-0.212333333333333
AP2A2	0.389125
ZBTB46	-0.9645
MAP7D1	1.021875
AOX1	-2.32383333333333
CYR61	1.06925
DTNA	-0.661285714285714
JRKL	0.51725
TMOD3	-0.44275
EEA1	-0.8242
ADCK5	0.29175
IL1R1	2.47916666666667
KLK3	0.606642857142857
HRSP12	-0.1145
KTN1	-0.294
LOH11CR2A	-0.4486
RELL2	0.07475
MAB21L1	-1.072
C20orf59	-0.829333333333333
PHKB	-0.90725
ADAM2	-2.87783333333333
TBC1D8B	2.42083333333333
FAM13A1	-0.7639375
LAPTM4B	1.42683333333333
LCN8	-0.4595
TMEM147	1.7765
SYT4	0.5526
XPO7	-1.249
C9orf62	2.43075
GPR75	-0.684
TRIM5	0.517875
APOC1	-2.12133333333333
RNASE4	-0.5975
PARD6B	-1.501875
ARID1A	-0.148166666666667
TPD52L3	0.0849
RRAGB	-0.4085
RCN2	-0.785
HIST2H2BE	-0.159
STARD7	-0.0635
SHMT2	-0.73275
KIAA1751	1.4115
MLYCD	-0.024625
LOC162632	-1.2012
UQCRH	-0.30675
RP11-217H1.1	1.017625
SDHA	-0.153833333333333
NCLN	-0.1133
ZNF17	0.120333333333333
RCBTB2	-2.65
VEGFB	-0.6707
RP4-747L4.3	1.82325
COLQ	-0.3887
MPN2	-1.5436
DRG2	-0.20275
KLRB1	0.879
ALPK2	-2.34425
DNASE2B	-0.359
FLJ23834	-0.8314
AXUD1	0.645166666666667
SAFB	0.0337
NSUN4	0.041
RFX2	-0.688166666666667
MAPK8IP1	-0.5118
FANCD2	0.354571428571428
ANKZF1	-0.0908333333333333
C19orf50	-1.076875
DUSP8	0.5095
SENP5	0.5595
NFKBIL2	0.2925
LBR	-0.01925
IGFL1	0.0165
LZTS2	-0.293375
IL2RG	-1.806625
CCDC51	0.218
KLF3	-0.305125
ANKRD37	0.868
KCTD14	-4.2312
FZR1	0.638833333333333
SLC44A4	-1.741
ESPL1	-0.942857142857143
GMPR2	-1.7717
TBC1D19	-1.25583333333333
ERGIC1	-0.244148148148148
ERBB4	-2.03833333333333
TSPAN32	0.28875
MAP4	1.059375
GPHN	-2.252
SLC6A2	3.184125
HIVEP1	0.4665
DFFB	-0.2674
EIF4EBP2	1.239625
DMRT1	4.134
HSPB6	-0.7365
IER2	-0.0881666666666667
AIFM1	-0.19925
WWC2	1.04163636363636
MRPL4	0.25875
FLJ21062	-0.732
EPB41L4A	0.67375
SH2D6	0.332666666666667
TAF4B	-0.83875
GAL3ST3	0.0045
MALT1	-0.957166666666666
RTDR1	0.15775
ARVCF	0.292375
MEX3B	-0.0648333333333333
FBXO16	-0.6
KIF7	0.6835
C1QC	3.36416666666667
ZNF783	-0.117333333333333
ZNF85	-1.01275
MMP13	2.421
KIAA0329	0.041
RTP3	-0.2585
ZBED3	-1.665
CLGN	-4.5875
SLC25A37	-0.731217391304348
hCG_18290	-1.25925
OR5AS1	-0.7955
SMARCC2	0.344916666666667
FAM109A	0.335333333333333
CCDC12	-0.6315
USF2	1.4706
DEPDC7	-1.15625
C20orf24	0.4375
JMJD3	1.094
DSP	2.07128571428571
SLIC1	0.4305
FAM20A	2.589
IRF2BP2	0.4415
ZNF230	0.1465
MSN	1.02585714285714
SLC9A5	-1.7955
EPDR1	-1.0961
MUSK	0.2466
