Hybridization REF	TCGA-BH-A0DT-01A-21R-A12D-07
EGFL11	0.377
CXorf59	null
OR2A25	0.41725
SPTBN2	-2.19075
LRMP	-1.223
RNF111	-0.16025
PTH	-0.79
LOC619208	1.21933333333333
KIAA0895	0.81925
RANBP5	-1.228625
P2RY10	1.82616666666667
NME5	4.97733333333333
DDX21	-0.5975
LRSAM1	-0.443
HDAC11	1.1825
VMO1	1.9675
NOLA2	-0.447
ADAR	0.815833333333333
MTO1	-0.878333333333333
SF4	0.052
P2RX1	-0.284833333333333
HBM	0.09325
EN2	-0.0125
C14orf172	0.19725
TM9SF2	0.4112
INHBE	-1.78483333333333
TCTE3	0.264666666666667
TOX2	-2.67525
CTAGE3	-0.00912500000000004
HBB	3.7161
MED15	-1.13216666666667
CASR	0.82975
C6orf66	-0.930166666666667
MTPN	-0.66625
UNC50	0.52225
C21orf33	0.36275
IRF2	1.10275
PGR	3.57666666666667
GPR84	2.853
CROCCL1	-1.711
SRPX	-0.4035
BRE	-0.187833333333333
FGF10	5.82275
SDC3	-0.39
ZRSR1	0.163833333333333
DKFZP434P211	-0.095
SOX6	0.2205
RPUSD2	0.2495
C14orf173	-0.350166666666667
MAPK11	-0.3495
TBC1D22A	0.3235
FAM123A	-2.3015
COL4A6	-0.264166666666667
TOMM70A	-0.43525
NAB1	0.45625
MGC16385	-0.435625
TSPAN18	-1.031
MED31	-0.53875
PLG	-0.73775
CAPSL	3.468
ZNF532	1.2674
ASB14	0.12975
CA8	1.228
NUDT16P	1.55066666666667
SLFN11	-1.3855
LRRIQ2	-0.576
NOL7	-0.301166666666667
BRMS1L	-0.457375
JARID1A	0.373
PANK2	-0.52525
ICAM3	-0.4245
MDS1	-0.86675
TAF8	-0.9095
RNF139	0.79825
ZNF594	-0.3295
ADAM8	1.715125
SFTPC	-0.00662499999999999
MAN2B2	1.1975
RGS12	0.6256875
EIF1AY	-4.22741666666667
LRRIQ1	0.4065
GPR150	-0.19425
CCDC21	-1.94883333333333
PRRG3	0.48875
SAA4	-2.4715
RAPGEF5	1.650875
ZCCHC2	0.427166666666667
MGC39372	0.896
PPP4R2	0.0336666666666667
CDCA2	-2.37816666666667
OR4D5	-0.147833333333333
PTGFRN	0.6398
SIGLEC5	1.72516666666667
C19orf61	-0.456166666666667
NMUR2	0.152
KIAA1586	-2.34133333333333
DAGLA	0.600666666666667
CHCHD6	-0.619
GPR32	0.0235
NEUROD6	0.0976666666666667
SLC2A4RG	0.200625
CA5B	0.622
FBXL3	1.5285
MPHOSPH9	-1.53725
HMG2L1	-0.32825
HCN4	-0.277
CEACAM19	0.357
SH2D4B	0.917166666666667
HFE2	-0.6605
TGM4	0.35925
LYPD2	-0.1785
TBC1D15	0.301
MRPS21	0.6295
NONO	-0.7395
CLEC5A	2.215125
ITCH	0.2097
MGAT3	-0.232333333333333
MBP	-0.0787499999999999
RPP25	-2.0085
SOSTDC1	2.094
HRC	-1.27975
TRIM48	0.628
TMEM133	0.2575
ECEL1P2	-1.53075
HOXC11	-0.242
DOK5	-0.67375
HELZ	-0.14
LOC348180	-1.52475
MGC33894	0.2795
ADRB3	0.2235
DMD	0.0981666666666666
PTRH2	-0.20225
MPEG1	3.52116666666667
NDUFA12	-0.521166666666667
KRTAP2-4	-0.03725
STAMBPL1	-1.53116666666667
ADCY2	-0.363
UNQ6125	-0.249
KLHL20	0.157
SRM	-1.3885
OTC	-0.244
TMIE	-0.094
SNX8	-0.2695
LIPK	-1.4145
CHURC1	0.0848333333333334
KLC2	0.0963333333333333
HDAC1	-0.5805
FAM128A	0.461166666666667
FNDC3B	-0.0622
MTCP1	-0.196333333333333
WFDC10B	-0.1881
PCDHGB3	-0.885
ATRNL1	-3.2245
CAV2	0.3095
MED26	0.0336666666666667
DUS1L	-0.0645
CHRM3	-2.115125
NEK9	0.28575
WARS2	0.456
TBX22	0.014
TOMM40	-1.49175
RP6-213H19.1	-1.1125
TUBGCP5	-0.9405
IGSF6	5.513
TPPP	-0.245833333333333
UNQ6190	0.0485
GSTM5	0.86925
BTD	1.15983333333333
PDCD1LG2	0.539666666666667
SNRPB2	-0.632833333333333
ERICH1	0.126125
APOA4	-1.315125
HOXA11	-3.532
NARG1	0.016125
MKX	-0.3415
RAB28	0.543928571428571
PKP3	1.454
SH3GL2	-2.11625
CTSO	4.08525
RPN2	0.2743125
IL28RA	-0.4065
SFMBT1	0.714
WDR57	-0.281
FER1L3	1.63875
HSF5	0.0856
TTC9B	-0.16425
C4BPA	-1.88
ALB	-4.45092307692308
SORBS3	0.553875
UPF2	0.697
JPH1	0.277
AGBL2	2.179
DOPEY1	1.879
TERF1	-0.225666666666667
KIF22	-0.873
NINJ1	1.12475
SEC61A2	-0.301666666666667
HIST1H1D	-1.5775
SFXN4	0.150875
UCP3	-0.159
ZNF703	1.434
MYL6B	-0.27975
TREM1	1.1035
OR52E6	0.318
CKMT2	1.6
HLA-C	1.83325
SLC13A3	-2.12433333333333
TIMP4	0.19975
SLIT2	3.0025
RSF1	0.135888888888889
LONRF1	0.117785714285714
MON1A	-0.0603333333333333
CACNG6	-1.61416666666667
DPPA4	-4.92816666666667
ZSWIM3	-0.46625
ZNF804A	0.441333333333333
CCIN	2.331
SLC25A31	0.2755
KCNMB4	-0.01025
RABL5	1.1185
GALNS	-0.8968
STX6	0.817375
HIST1H1C	-2.1425
CIDEB	-0.70225
CASP4	0.786
PDK3	-0.4346
KCNJ11	0.6475
TPR	0.283375
ZSCAN20	0.1125
MTX2	-0.00325
HIST1H2BH	-0.52675
LOC283767	0.4215
LYRM7	-1.26027777777778
BRD3	0.1575
HIST1H2BO	-0.60025
MAGEB10	0.754
SLC45A1	0.7515
SERPINA3	2.7952
KIAA0143	1.32275
KCNJ16	1.57316666666667
KRT79	-1.13
FABP2	-2.186
NUT	-0.134
ZNF57	0.233
FBXL4	0.6745
CLEC9A	2.206
UGT8	-1.1075
BMP2K	0.09475
MAPK4	-2.98875
SLC25A23	-1.2812
HINT1	-0.1412
KRTAP13-1	-0.613
SFXN5	0.3172
CHCHD2	0.588583333333333
FAM3D	1.79
NDP	2.22625
RHOBTB1	0.144833333333333
SLC4A4	-1.30442857142857
RPL38	-0.07475
HTF9C	-0.8465
AP2A2	0.220875
ZBTB46	-0.288
MAP7D1	-0.202875
AOX1	-0.504166666666667
CYR61	1.41275
DTNA	-0.3655
JRKL	-0.43
TMOD3	-0.08625
EEA1	0.2253
ADCK5	0.0035
IL1R1	1.74783333333333
KLK3	0.5015
HRSP12	0.0265
KTN1	0.9585
LOH11CR2A	1.1288
RELL2	-1.56
MAB21L1	2.21025
C20orf59	-1.55116666666667
PHKB	-0.5285
ADAM2	-1.83
TBC1D8B	1.5365
FAM13A1	-1.2075
LAPTM4B	-0.836666666666667
LCN8	-0.0205
TMEM147	0.326
SYT4	0.739833333333333
XPO7	-0.3035
C9orf62	-0.1835
GPR75	-0.9435
TRIM5	0.2605
APOC1	-0.889333333333333
RNASE4	1.7755
PARD6B	-0.079875
ARID1A	-0.276833333333333
TPD52L3	0.78625
RRAGB	0.9645
RCN2	-0.671
HIST2H2BE	-0.814625
STARD7	-0.561
SHMT2	-1.453
KIAA1751	-0.278
MLYCD	-0.275
LOC162632	-0.3428
UQCRH	-1.516
RP11-217H1.1	0.705125
SDHA	-1.57866666666667
NCLN	-0.6672
ZNF17	0.227333333333333
RCBTB2	-1.36175
VEGFB	-0.5089
RP4-747L4.3	1.71775
COLQ	0.1056
MPN2	-0.721166666666667
DRG2	-0.59425
KLRB1	6.8175
ALPK2	-2.40925
DNASE2B	1.32725
FLJ23834	0.510333333333333
AXUD1	0.866166666666667
SAFB	-0.4754
NSUN4	-0.71375
RFX2	-0.033
MAPK8IP1	-1.2105
FANCD2	-0.431428571428571
ANKZF1	-1.34466666666667
C19orf50	-0.625625
DUSP8	0.838875
SENP5	-0.66825
NFKBIL2	-0.8285
LBR	-0.9465
IGFL1	2.773
LZTS2	0.65925
IL2RG	-0.75
CCDC51	-0.25175
KLF3	0.36775
ANKRD37	-0.97675
KCTD14	0.417666666666667
FZR1	-0.0721666666666667
SLC44A4	3.2076
ESPL1	-1.514625
GMPR2	-0.0336
TBC1D19	-0.132666666666667
ERGIC1	-0.150962962962963
ERBB4	3.6182
TSPAN32	0.423333333333333
MAP4	-0.40425
GPHN	-0.51725
SLC6A2	0.053625
HIVEP1	0.68175
DFFB	-0.0253999999999999
EIF4EBP2	0.733625
DMRT1	-1.70325
HSPB6	-0.20325
IER2	0.414166666666667
AIFM1	-0.413
WWC2	0.3989
MRPL4	-1.23575
FLJ21062	2.3495
EPB41L4A	1.21075
SH2D6	-0.62575
TAF4B	-0.82675
GAL3ST3	-0.018
MALT1	-0.52
RTDR1	0.26075
ARVCF	0.631375
MEX3B	-0.913833333333333
FBXO16	2.40275
KIF7	-1.44675
C1QC	4.04266666666667
ZNF783	-0.632666666666667
ZNF85	-0.31975
MMP13	3.6775
KIAA0329	0.872125
RTP3	-1.6485
ZBED3	-0.1135
CLGN	-0.076
SLC25A37	-1.225375
hCG_18290	0.212
OR5AS1	-0.0135
SMARCC2	-0.0270833333333334
FAM109A	-0.142333333333333
CCDC12	0.14825
USF2	0.1096
DEPDC7	-1.4955
C20orf24	-1.01233333333333
JMJD3	-0.2225
DSP	2.51235714285714
SLIC1	0.685875
FAM20A	1.41475
IRF2BP2	0.7675
ZNF230	0.5535
MSN	-0.635142857142857
SLC9A5	-1.7015
EPDR1	-2.086
