Hybridization REF	TCGA-BH-A18V-01A-11R-A12D-07
UNC50	0.615
C21orf33	-0.650375
IRF2	1.14175
PGR	-2.40083333333333
GPR84	3.66
CROCCL1	-2.41625
SRPX	-1.23825
BRE	-0.616166666666667
FGF10	0.884
SDC3	0.617333333333333
ZRSR1	0.340833333333333
DKFZP434P211	-0.455375
SOX6	0.221
RPUSD2	0.36725
C14orf173	0.4705
MAPK11	-0.263833333333333
TBC1D22A	0.8135
FAM123A	-1.065
COL4A6	-3.92716666666667
TOMM70A	-0.52875
NAB1	0.603375
MGC16385	1.1415
TSPAN18	0.0283333333333333
MED31	-1.3085
PLG	-0.6245
CAPSL	0.4155
ZNF532	2.1364
ASB14	-0.26775
CA8	2.57875
NUDT16P	1.6885
SLFN11	0.153
LRRIQ2	-1.12275
NOL7	-0.352833333333333
BRMS1L	-0.330625
JARID1A	0.484
PANK2	-1.19225
ICAM3	-0.7515
MDS1	-0.593
TAF8	-0.98275
RNF139	0.76825
ZNF594	-0.079
ADAM8	2.832375
SFTPC	-0.279125
MAN2B2	0.25
RGS12	-0.152125
EIF1AY	-4.5155
LRRIQ1	-2.129
GPR150	0.29575
CCDC21	-1.09666666666667
PRRG3	0.882
SAA4	0.47375
RAPGEF5	1.421125
ZCCHC2	-0.0124166666666667
MGC39372	0.569
PPP4R2	1.01733333333333
CDCA2	0.799333333333333
OR4D5	0.54
PTGFRN	1.2706
SIGLEC5	1.89316666666667
C19orf61	-0.235666666666667
NMUR2	-0.0275
KIAA1586	-0.3345
DAGLA	1.114
CHCHD6	-0.10075
GPR32	0.544
NEUROD6	0.2255
SLC2A4RG	-0.0390625
CA5B	-0.36125
FBXL3	1.35725
MPHOSPH9	-1.33125
HMG2L1	-0.3075
HCN4	0.0986666666666666
CEACAM19	2.69125
SH2D4B	1.15916666666667
HFE2	-0.545
TGM4	0.682833333333333
LYPD2	0.1925
TBC1D15	-0.318
MRPS21	1.3119
NONO	-0.4183
CLEC5A	3.77675
ITCH	0.1517
MGAT3	2.26233333333333
MBP	0.734625
RPP25	0.74575
SOSTDC1	1.37625
HRC	-2.134
TRIM48	-0.1305
TMEM133	0.8725
ECEL1P2	-1.1375
HOXC11	-0.6095
DOK5	0.27075
HELZ	-0.769166666666667
LOC348180	0.54525
MGC33894	0.25825
ADRB3	0.07
DMD	0.365583333333333
PTRH2	-0.77725
MPEG1	3.53333333333333
NDUFA12	-0.749833333333333
KRTAP2-4	0.21275
STAMBPL1	-1.07966666666667
ADCY2	0.905666666666667
UNQ6125	0.376
KLHL20	-0.366333333333333
SRM	-0.7375
OTC	0.0325
TMIE	0.541833333333333
SNX8	-0.00225
LIPK	-1.319
CHURC1	0.480333333333333
KLC2	0.417
HDAC1	-0.699666666666667
FAM128A	0.539
FNDC3B	1.9986
MTCP1	-0.141833333333333
WFDC10B	0.1673
PCDHGB3	1.2495
ATRNL1	-2.1496
CAV2	1.04525
MED26	0.338
DUS1L	-0.025
CHRM3	-1.449
NEK9	0.29025
WARS2	-0.573
TBX22	-0.3335
TOMM40	0.02225
RP6-213H19.1	0.260833333333333
TUBGCP5	0.0415
IGSF6	4.75875
TPPP	0.603666666666667
UNQ6190	0.527
GSTM5	1.685875
BTD	-0.9755
PDCD1LG2	1.443
SNRPB2	-1.35916666666667
ERICH1	-0.124875
APOA4	-1.81625
HOXA11	-0.5035
NARG1	-0.334
MKX	2.49475
RAB28	0.0919285714285715
PKP3	1.08775
SH3GL2	-2.61975
CTSO	3.743
RPN2	-0.2329375
IL28RA	0.966
SFMBT1	0.95025
WDR57	0.015125
FER1L3	0.99625
HSF5	0.814333333333333
TTC9B	0.1635
C4BPA	-3.16366666666667
ALB	-5.19314285714286
SORBS3	1.289875
UPF2	0.739
JPH1	1.034
AGBL2	-2.07975
DOPEY1	0.9515
TERF1	-0.57825
KIF22	0.126
NINJ1	0.4795
SEC61A2	-0.640333333333333
HIST1H1D	-0.00133333333333335
SFXN4	-0.48725
UCP3	-0.0744
ZNF703	0.690666666666667
MYL6B	-1.07075
TREM1	3.30875
OR52E6	0.535
CKMT2	-0.81725
HLA-C	3.18775
SLC13A3	-0.259666666666667
TIMP4	-2.13875
SLIT2	0.80875
RSF1	0.235444444444444
LONRF1	-1.00914285714286
MON1A	0.407333333333333
CACNG6	-1.57466666666667
DPPA4	-5.20266666666667
ZSWIM3	0.53025
ZNF804A	0.602166666666667
CCIN	1.14825
SLC25A31	-1.00725
KCNMB4	-1.98925
RABL5	-0.466
GALNS	0.7744
STX6	0.422625
HIST1H1C	-1.64716666666667
CIDEB	0.19925
CASP4	0.0323333333333333
PDK3	0.3862
KCNJ11	-0.4465
TPR	-0.191625
ZSCAN20	0.043
MTX2	0.11875
HIST1H2BH	0.31075
LOC283767	0.692
LYRM7	-1.78305555555556
BRD3	0.313
HIST1H2BO	-0.0035
MAGEB10	3.732
SLC45A1	1.57525
SERPINA3	-0.21655
KIAA0143	1.683
KCNJ16	-0.524
KRT79	-0.05025
FABP2	-0.99725
NUT	1.022
ZNF57	-0.5705
FBXL4	0.67925
CLEC9A	1.3395
UGT8	2.24033333333333
BMP2K	0.181
MAPK4	-2.763
SLC25A23	-0.9394
HINT1	-0.6693
KRTAP13-1	0.3575
SFXN5	-0.4953
CHCHD2	0.845916666666667
FAM3D	1.4205
NDP	-2.909875
RHOBTB1	-0.845166666666667
SLC4A4	-1.35075
RPL38	-1.2105
HTF9C	-0.604333333333333
AP2A2	0.139625
ZBTB46	-0.296
MAP7D1	0.301375
AOX1	-1.78616666666667
CYR61	0.93175
DTNA	-1.28864285714286
JRKL	1.0145
TMOD3	0.532
EEA1	0.3504
ADCK5	0.41225
IL1R1	0.996166666666667
KLK3	0.147642857142857
HRSP12	0.12475
KTN1	-0.5645
LOH11CR2A	-0.5892
RELL2	1.12425
MAB21L1	0.3645
C20orf59	-0.236833333333333
PHKB	0.371
ADAM2	-3.14166666666667
TBC1D8B	2.14133333333333
FAM13A1	0.041
LAPTM4B	0.923583333333334
LCN8	0.302
TMEM147	-0.1505
SYT4	0.308
XPO7	-0.061
C9orf62	0.22725
GPR75	1.259
TRIM5	0.056125
APOC1	-0.159166666666667
RNASE4	-0.786833333333333
PARD6B	-1.77425
ARID1A	-0.633083333333333
TPD52L3	0.336
RRAGB	0.602333333333333
RCN2	-0.398666666666667
HIST2H2BE	-0.2871875
STARD7	-0.2765
SHMT2	-0.8405
KIAA1751	0.1705
MLYCD	0.37625
LOC162632	-0.3214
UQCRH	-0.879
RP11-217H1.1	1.64575
SDHA	-0.820333333333333
NCLN	-0.1852
ZNF17	-0.300333333333333
RCBTB2	-1.50375
VEGFB	-0.6023
RP4-747L4.3	3.0355
COLQ	0.0545
MPN2	-1.62633333333333
DRG2	-0.58525
KLRB1	4.84
ALPK2	-1.8285
DNASE2B	0.06925
FLJ23834	-0.7288
AXUD1	0.416166666666667
SAFB	-0.0439
NSUN4	-0.158
RFX2	-1.075
MAPK8IP1	-0.586
FANCD2	-0.0468571428571428
ANKZF1	-1.04833333333333
C19orf50	0.451375
DUSP8	0.083625
SENP5	1.957
NFKBIL2	0.0135
LBR	0.881375
IGFL1	1.256
LZTS2	0.391875
IL2RG	0.06275
CCDC51	0.383
KLF3	0.27175
ANKRD37	-1.0295
KCTD14	-1.12983333333333
FZR1	0.233333333333333
SLC44A4	-0.1329
ESPL1	-0.56775
GMPR2	-1.1279
TBC1D19	-0.806166666666667
ERGIC1	-0.64237037037037
ERBB4	-2.20888888888889
TSPAN32	0.473666666666667
MAP4	0.684
GPHN	-0.5935
SLC6A2	5.02125
HIVEP1	0.098
DFFB	0.079
EIF4EBP2	0.14575
DMRT1	-0.1975
HSPB6	-0.29
IER2	0.366
AIFM1	-0.3765
WWC2	0.153666666666667
MRPL4	0.054
FLJ21062	-1.63916666666667
EPB41L4A	-0.480083333333333
SH2D6	0.39
TAF4B	-0.50225
GAL3ST3	-0.1965
MALT1	-0.420333333333333
RTDR1	0.869
ARVCF	-1.352625
MEX3B	-1.1915
FBXO16	-1.48125
KIF7	-0.2105
C1QC	3.84
ZNF783	-0.878
ZNF85	-0.051
MMP13	3.349
KIAA0329	0.129875
RTP3	-0.5015
ZBED3	-0.96175
CLGN	-4.592
SLC25A37	0.260583333333333
hCG_18290	-0.74325
OR5AS1	0.159
SMARCC2	-0.1275
FAM109A	-0.116
CCDC12	-0.04025
USF2	0.4829
DEPDC7	-1.96275
C20orf24	-0.336166666666667
JMJD3	-0.3575
DSP	2.06707142857143
SLIC1	0.707875
FAM20A	1.43525
IRF2BP2	0.756625
ZNF230	0.1705
MSN	1.30864285714286
SLC9A5	-1.724
EPDR1	0.6536
MUSK	0.165666666666667
ZNF434	-0.264
SMARCD1	-0.603333333333333
ZFP106	-0.331
