Hybridization REF	TCGA-C8-A1HM-01A-12R-A137-07
ABCD4	-0.703166666666667
DIMT1L	-0.492833333333333
TEK	-0.108375
SLC25A46	-0.31625
LARP7	-1.0229
CD160	1.67916666666667
MT1JP	0.504666666666667
PHF20	0.3903125
CPNE4	-1.71225
GTPBP1	-0.211214285714286
RAB33B	0.806166666666667
ALDOC	-1.29375
ZNF212	-0.77275
NUDT1	-0.1025
RFPL2	1.068
ZNF83	0.658333333333333
GDPD5	-0.75525
PDCD4	0.04205
CEP350	0.10175
OR10A2	0.71
CST7	3.1795
CIAO1	-0.11325
SELL	2.5855
OR8J3	-0.3625
LTBP4	-0.520833333333333
SIRT6	0.15175
CCL19	4.54975
PPIL1	0.142333333333333
GBP7	4.37716666666667
STK17A	-0.3686
ABR	-0.39425
OR9G1	0.1665
FOXE1	-0.554875
CNGA3	-0.5575
GML	0.542
CD38	1.985
ZDHHC6	-0.998833333333333
NEFH	-2.92425
CTDSP2	1.18875
PGBD5	-2.041
CCNY	-0.192071428571429
RMND5B	0.190083333333333
ZNF257	0.067
FLJ22167	-1.04775
EXOSC7	-0.417
ROR2	1.491375
MAOA	-1.85775
TNNT3	0.0726666666666667
GYPC	-1.09275
C7orf33	0.6775
PLIN	1.70333333333333
LOC90826	0.21825
RNF4	-0.3582
F8A1	0.821
PLEKHG4	-1.2565
GRB2	0.77255
HIST1H2AD	-0.04
DUS3L	-0.812666666666667
EIF1	-0.557
RP5-1077B9.4	-0.415333333333333
FPGT	1.1065
GDF10	-1.63983333333333
COQ9	-0.58925
GCC2	0.397
RARRES3	3.411125
PLXNA1	-1.0053
KIAA0100	-0.0055
PMF1	0.44275
FNDC1	5.21775
HS2ST1	-0.0311666666666667
CRELD2	0.92275
C8G	-0.488
CD82	0.54925
LIM2	-0.1235
UNQ6490	0.902
MMP16	-0.97225
DRD3	0.05475
C5orf26	-0.9915
C11orf73	-0.43675
PTP4A2	0.703625
OR4M2	0.037
HPCA	-1.084
SEC14L1	-0.435166666666667
CHFR	0.123375
EMILIN1	0.14
NDUFS4	0.413
COL18A1	-0.762875
PDZD3	-0.0203
C9orf16	0.0968333333333333
ERBB2IP	0.252
EMX2	2.39325
FUS	-0.64775
TF	-3.8537
CLCN4	1.31316666666667
CXorf56	1.3695
C11orf72	0.125
ELAC2	-0.528
NPR1	-1.77325
ASS1	-0.659666666666667
USP42	0.565625
POLR2J	-1.1555
SEC23IP	0.771333333333333
UQCRC1	-0.51425
LOC729603	-0.777
C1orf71	-0.147875
POLG	-0.6615
ADAM23	-4.28775
TFR2	-1.13
RICTOR	-0.4792
MGC39606	0.9235
C19orf55	-0.16525
SNAPC1	-1.053
GNA11	0.521125
CCDC52	-0.69
FSIP1	3.835
UPF3A	-0.835375
IGSF11	-2.30566666666667
LAGE3	1.416
CHST6	-3.517
UNC13B	-1.024375
TTLL4	-0.17775
ZNF687	0.306125
SDC2	-2.9251
COX7A2	1.0635
LAMB4	-0.111
FAM24A	0.406
LRRTM3	-3.65
GPHB5	0.2505
OR4C13	-0.345
EIF3EIP	-0.781285714285714
HABP4	-1.313
TMEM125	2.36975
CNTN2	0.874375
ASNSD1	0.5705
FUT4	0.13025
ACF	-3.737
LOC158381	1.3555
CDH8	-1.04225
AGPS	0.2935
C4orf18	1.348
PECI	-0.120666666666667
UNG	-0.029625
GSTP1	-2.28025
DCUN1D5	-0.492166666666667
DKFZP564J0863	-0.3035
SLC9A3R1	1.245
BCDO2	-1.030375
CHMP7	-0.32475
REM2	0.2195
DNHD1	0.262625
FKBP4	-0.2485
ZNF350	2.527
MGC11102	0.6905
BST1	1.176
KISS1R	0.461
NCR2	0.1285
DEFB125	-1.454
UBE2W	1.9855
KRT15	-0.42075
C10orf99	0.1735
SCN11A	-0.0865
GFI1	0.1075
RDHE2	0.242666666666667
FHL1	-3.0755
OSGEP	0.3655
GATA1	-3.41583333333333
SMC6	-0.81125
TTTY14	-0.64575
LPIN3	-0.03975
RPL4	-0.6377
RBPMS	-0.6828
PRPF3	1.22016666666667
EMR1	-0.5405
SPATA19	0.2965
XCR1	0.0765
IRX3	1.1612
RBM6	-0.87175
KLF4	-0.4265
UNC5CL	-0.8445
SEBOX	0.18
BTK	0.117
KRCC1	0.46875
C6orf27	0.303
SYTL5	-0.8125
PRND	1.922125
LOC653319	-1.321
PIGL	-0.607
HUS1	-0.115666666666667
SFRS6	0.747666666666667
C17orf77	1.263
UIMC1	-0.549166666666667
FXYD2	-1.6222
LOC283152	0.6255
ZNF667	-3.02325
ZCCHC12	0.91425
TFEC	4.991
ATP7B	-1.15483333333333
POLD2	-1.071
RG9MTD1	0.3655
ACOT2	-0.236333333333333
HIST1H4I	-1.258375
PPARGC1A	-3.4846
ETFA	-0.7138
POLRMT	-0.5905
ZNF146	-0.07375
MIA2	-2.606
KLHL6	0.457666666666667
HOXB5	1.825125
NENF	0.92
CUGBP1	0.449
PRSS22	1.9795
CASC4	1.0716
CUL4B	1.1198
CENPJ	-1.399
PITX1	-0.8275
FLJ31033	1.09516666666667
CELSR3	-2.23666666666667
ZNF568	0.77925
ITSN1	0.318083333333333
EHBP1L1	-0.429
C19orf2	0.29225
DCTN1	-0.59025
LIN28B	-4.7835
TNKS2	0.37875
C1QBP	-0.48125
CADPS2	2.11475
SRMS	0.191
GJA9	0.315333333333333
MGC24975	0.1215
TRIM45	-0.313
TSP50	0.55425
TCP1	0.076
TMED7	0.082
CMA1	0.666
CENPL	-0.145
PTCRA	0.5875
FST	-4.07075
VWCE	-3.94975
PAWR	-0.29075
ABCC12	0.225666666666667
LDLR	-0.7394
ASTN2	0.4799
LOC441212	-0.51
GPATCH8	-0.206
TANC2	0.245333333333333
KIF4A	0.3715
C18orf18	-1.22625
PGM1	-1.6625
KIAA0258	0.6855
CPD	1.82975
SNCAIP	-0.48875
DCT	-4.50716666666667
HLA-DOA	3.58495454545455
OR11L1	0.493
UPK1B	-0.460166666666667
DNAJB4	0.567125
UGT1A8	-0.821
HIST1H4L	-1.0865
PECR	-0.3875
HSPA2	1.079
WFIKKN1	-0.8325
SERP1	0.384875
SYDE2	0.85675
TACR2	0.251
NUP85	0.1725
CD177	-0.206166666666667
LGR5	-3.2698
PIGG	-0.12
PTHR1	-2.263
RAB5A	0.5651
FLJ13224	0.057
USP9Y	-2.18933333333333
C7orf53	-1.1705
LRP1B	2.97275
XAF1	3.9956
ABCG8	-1.4525
ANKDD1A	-0.438166666666667
DAND5	-1.9695
SPAG6	6.20166666666667
LINCR	1.453
ZDHHC22	-1.41275
CCDC60	0.808
THOC7	-1.22583333333333
TCTA	0.5519
OR8K3	-0.01375
NY-REN-7	-0.871
B2M	3.18366666666667
C6orf141	0.86375
LPPR4	1.242
SQLE	-0.738
SEPHS1	0.54625
BTBD14B	0.537785714285714
PLRG1	-1.3
SPG7	-0.8039375
ZNF614	0.4025
PARD6G	0.164333333333333
INPP5B	-0.7986
GRPEL2	0.39075
PPID	-1.0152
TRIM56	-0.581
UBE2J1	0.4345
IL20RA	4.52675
LOC387856	-0.08625
C1orf107	0.64875
UTS2R	0.878
C19orf22	-0.60625
SAFB2	-0.513625
KIAA0652	-0.19175
KLRG1	0.223
MS4A8B	0.751666666666667
FRAG1	0.391
KIAA1546	0.14225
E2F4	-0.9099
CLEC4M	0.0328333333333333
BTBD14A	0.40625
KIAA0999	0.6398
GYPA	-3.85916666666667
TAC1	-0.9343
TRAIP	-0.6905
KIAA0232	0.4673
ERCC8	-1.402375
GPX4	-0.15475
KIAA0368	-0.892
GPR157	-0.229166666666667
CTAGE4	0.828
C9orf30	-0.774333333333333
OR52A1	0.378
HSP90B3P	-0.333
ALG9	-0.6061
BTBD10	0.91375
SDK2	0.1855
BAIAP3	1.339
RABGGTB	-0.8405
ANKRD40	1.67816666666667
KRT74	0.203
CALCOCO2	0.362857142857143
SNCA	-4.22425
TMSL8	-3.470375
C2orf53	0.168
ESRRB	-0.558
ARHGAP26	-0.1695
TDRD9	-2.88425
HRAS	0.807666666666667
KLRC4	-0.7765
JAGN1	0.2685
BSDC1	0.413
RNF43	1.362
NDUFAF1	0.0925
PHF12	0.6105
OR1L3	0.364
FOLR2	2.3005
LYZL6	0.037
tcag7.1260	-2.012
WSB1	-1.0765
PROS1	-2.3498
OSTN	0.5015
PSMB8	2.538
SOCS4	-0.640142857142857
DDIT4L	-0.06975
MAS1	-0.26
MGC34796	0.9565
CSHL1	0.107833333333333
TBCCD1	0.862833333333333
ZBTB7C	0.1
AP2S1	0.02775
P15RS	-0.7778
VAT1	-1.0251
SHANK3	0.298
TUFM	-0.577333333333333
THEG	1.1505
KRT34	-1.70775
SGSM3	-0.888875
TOMM22	-0.7415
SOCS3	0.874833333333333
CPO	0.212
POP4	0.91625
BHLHB3	-0.295
MALL	0.809
OR1B1	0.555
PARK2	-0.180333333333333
GPR124	-0.94025
LCE1E	0.0865
RUVBL2	0.61425
CGRRF1	0.143
ACPL2	1.06475
WNT10B	-0.4025
BAIAP2L2	-2.195125
ISCA1	-0.263
C1orf125	1.6435
RPAP1	-0.92925
RAI16	-0.858666666666667
RPL27	-0.339625
NLRP9	-0.1425
EPN1	0.36
LOC388610	-2.222625
SLC35A1	1.6297
GAL	-3.538
SLC14A2	0.379
RDH11	-0.747833333333333
FAM138F	-0.5425
AUH	-0.1535
FLJ40243	0.281
C14orf129	0.451833333333333
MBD2	-0.8795
ABHD14B	-0.5795
PIGT	1.6675
ALS2CR4	-0.1365
ALAS1	0.3663
FOXO1	0.567333333333333
CRLF3	0.17025
C20orf107	1.0245
FARS2	0.33075
CCDC28A	1.167
NPHP3	-0.5705
OR13F1	0.262
TSEN54	-0.116
DEFB106B	-0.0278888888888889
OR8B4	0.778
STH	-0.33
ZC3H14	-0.5775
CBX2	-0.405
TMEM49	0.32875
C6orf21	0.651
FLJ20920	0.8295
CRTAP	-0.818428571428571
DDX50	0.55225
STYXL1	-0.4075
BLVRB	1.36066666666667
LOC147650	0.4725
MMP24	-0.12525
GRID1	-0.319833333333333
BANF1	-0.506
CTAGEP	0.14
HMBS	-1.76925
SLC25A24	0.717666666666667
C14orf50	1.485
MRO	0.360166666666667
SLC25A15	-0.43075
FAM84B	1.9394
TDP1	0.194
C16orf78	0.27
C11orf57	0.425625
RFK	-0.59
ZFYVE9	-1.139875
STCH	0.3879
WIBG	0.35625
LOC283871	0.0513333333333333
GBA2	-0.5099
NDUFB3	0.60525
HSD17B13	-1.3515
GRIN3A	3.24983333333333
FMNL1	0.285166666666667
SEPT7	-0.5003
GNLY	5.2325
GRAMD1C	-1.07183333333333
ZNF165	0.50275
USP38	0.44025
FAM83A	-3.3905
C14orf24	0.107833333333333
ARMCX3	1.39625
ARHGDIB	1.23766666666667
AK1	0.160125
KIAA1045	-0.05075
DNAJB13	-0.2895
NEU2	0.4425
HIST1H4B	-0.0435
FAM20B	0.6753
HES2	0.00799999999999991
FAM73B	-0.3559
LOC388381	-0.698
INTS7	0.817636363636364
AMPH	3.1145
ZNF775	-0.011125
UCKL1	-0.0948333333333333
C10orf97	0.45175
C1orf161	-0.119
ALDH1L1	-1.68325
FLJ39378	-0.346375
SLC23A1	-0.642
RBM4B	0.35825
THAP4	-0.684833333333333
OGFRL1	1.36025
KIAA0831	-0.438875
PPP1R15A	0.045
C1orf96	0.691642857142857
C12orf11	-1.173
BMF	0.195875
MAN1A1	-1.192375
KIAA1600	-0.6165
NLGN4X	1.0135
ALOX12	-1.41483333333333
RB1CC1	0.9423
NEIL2	-0.3635
EIF4E	-0.0629090909090909
ABHD5	-0.11275
EXOC4	-0.707166666666667
CIP29	-0.6505
BATF2	3.24375
SLC29A4	-0.74575
HTR4	0.294
EMB	1.02075
TRAF6	1.19525
LMNB1	-2.96025
FAM19A5	-2.318125
SHE	1.88775
PIK3C2B	0.59825
C15orf15	-0.1223
USP15	-0.5372
TCEAL2	0.0825
C5orf39	-0.386
PTGER2	-1.2505
SLC31A1	-0.3490625
IFT172	0.391
ADAM29	0.0795
GFOD1	-1.10775
ST7L	1.008
C15orf26	-2.447
PKN3	-1.21
CNTD1	3.78616666666667
COMMD1	0.669125
NTRK2	1.40058333333333
FOXN3	-0.593625
MFGE8	-1.3027
PFKFB2	0.954333333333333
TAS2R4	-0.30675
ENTHD1	1.836
PRMT5	-0.588625
MGC16384	-1.275625
LOC442229	0.4755
TSKU	1.032
KRTCAP3	2.5645
PDLIM1	-0.3682
KCNS2	0.2065
RNF126	-1.10283333333333
CEP63	-0.398
CLIC4	-0.93175
hCG_1990170	-1.222
ACR	1.0057
KLK7	-0.62425
ALOX5AP	3.686875
RIPK3	3.32975
TAS2R9	0.136
C19orf18	1.2895
BIRC6	-0.125642857142857
ZNF16	1.071
RFT1	-0.4035
SLC8A2	-0.0915
TACC1	-0.381
ITGAD	1.49075
SAMHD1	2.99475
SH3PXD2B	-0.3331
EPC2	0.4415
C20orf85	0.428375
ATP13A2	-0.207333333333333
KRT4	0.358125
CAPNS1	-0.1535
MDM2	-0.326666666666667
PCDH20	4.8405
KCNK9	0.8045
OR2C1	0.1625
KLHDC3	-1.0665
IPPK	0.463
EFHD2	0.3445
GALR3	0.882
NBEA	0.0508333333333333
ABCA6	1.9326
CLDN3	2.07333333333333
AKT2	-0.255214285714286
EGFR	-3.6862
RBM16	0.52825
ZDHHC3	-0.5011
SLC25A4	-1.6675
CYB5B	-0.875
CPXM1	-0.65075
NDRG1	0.154923076923077
FLJ43826	0.1565
OR5L2	0.28
FARP2	-0.1787
MRPL46	0.218833333333333
LDHAL6B	-0.211166666666667
MAPKAPK3	-0.465833333333333
NCAM2	2.279
PRKD2	0.991166666666667
ZFP36L1	0.9454
CYSLTR1	-0.19725
OR4C3	0.5445
HIST1H2AJ	3.7375
CCNB2	-0.351
ZNF10	-0.49325
TMEM175	0.2815
FAM134A	0.929
TIGD4	-0.3885
PCNP	-0.392
MGC39715	-0.06575
LQK1	-0.66975
CREB1	0.2827
TMPRSS3	-0.56525
C4orf32	0.85375
LAT	0.24675
KCNA3	-0.6925
SKIV2L2	-0.345
ROPN1B	-1.876
tcag7.23	0.681
CDT1	-1.853625
ZHX2	0.868625
CD28	-1.67075
ZNF624	0.67775
SEPT2	-0.213
SOHLH2	-1.37375
MCOLN3	1.78675
UNQ1945	0.6165
MASP2	-0.9695
ZNRF3	0.4641
GPATCH3	-0.351
AGL	0.516125
QRICH2	0.3075
PSD4	0.760666666666667
CCNB1IP1	-2.2125
ENPP7	0.19
OBFC1	-1.14825
KCNG3	-0.39275
C14orf79	-0.0494166666666667
ENPEP	0.961666666666667
SCT	1.4485
SKI	0.11075
SEC61G	0.56475
CAPN11	-0.3445
ATXN7L3	-0.21725
DBNDD1	-0.210333333333333
FAIM	0.199
ANKRD36	-1.1725
GABRP	0.237166666666667
TACSTD2	1.01466666666667
EIF3J	-0.1375
PPP2R2A	-0.523
TEKT4	-0.886166666666667
PVALB	-3.67916666666667
F10	-3.07216666666667
FAM134C	0.9135
COMP	4.29925
EFCBP1	-4.2783125
SCLT1	0.33
TAL1	-1.7736
ACSL1	0.1125
ABCC5	0.703666666666667
ABL1	-0.522333333333333
RBBP7	1.33625
PTPRG	-1.814375
NCOR1	-0.4245
SPINK4	-1.69566666666667
TXNRD1	-0.00239999999999998
TNRC15	-0.860875
C9orf138	0.613
UBE2H	0.425166666666667
BRDT	4.08583333333333
C8orf31	0.56775
CCNE2	1.22009090909091
SLC6A8	-1.2705
CALCR	-4.114
PPP1CB	-0.344
ABHD8	-0.662
ARF5	-0.4917
SLC24A4	1.17425
CCT3	0.7145
ZNF121	-0.024875
SLC3A2	-0.7738
OR13A1	0.471
SLC5A10	1.0335
RAD50	-0.900875
IER5	0.4295
MTHFD1L	-2.17225
MBTPS2	0.56575
MVK	-0.51175
NCL	-0.4232
PSMD10	1.012
MOBP	0.418375
FLJ32894	1.2265
HRH1	-2.05383333333333
C5orf30	-0.04925
NUDT16L1	0.4562
RASGRP3	3.97566666666667
PRKRIP1	-0.849
CCDC75	0.219
LOC253970	0.43275
KIAA1239	-0.11625
MED21	1.1385
SYT11	0.687416666666667
NTSR2	-0.1515
EGFL11	0.2875
CXorf59	0.349
OR2A25	0.725
SPTBN2	-0.50025
LRMP	-0.489166666666667
RNF111	0.205
PTH	0.2465
LOC619208	1.61716666666667
KIAA0895	1.5655
RANBP5	-1.71725
P2RY10	2.67916666666667
NME5	2.7745
DDX21	0.16325
LRSAM1	-0.3925
HDAC11	0.786666666666667
VMO1	2.18225
NOLA2	-0.604833333333333
ADAR	2.21083333333333
MTO1	-0.275666666666667
SF4	0.334
P2RX1	0.0496666666666667
HBM	0.109
EN2	0.7835
C14orf172	0.057
TM9SF2	-0.0016
INHBE	-1.1305
TCTE3	1.3765
TOX2	-1.50675
CTAGE3	-0.36825
HBB	3.6039
MED15	-0.762666666666667
CASR	0.7335
C6orf66	-0.136666666666667
MTPN	-1.217375
UNC50	-0.11875
C21orf33	0.670375
IRF2	0.993125
PGR	0.9185
GPR84	3.8635
CROCCL1	-2.3205
SRPX	-3.68925
BRE	0.0656666666666667
FGF10	5.0745
SDC3	-0.0365
ZRSR1	0.242
DKFZP434P211	-0.455125
SOX6	-0.5875
RPUSD2	-0.32025
C14orf173	-0.31
MAPK11	-0.5785
TBC1D22A	0.4195
FAM123A	-3.1765
COL4A6	-3.98633333333333
TOMM70A	0.11125
NAB1	1.061875
MGC16385	0.1595
TSPAN18	-1.607
MED31	-0.1435
PLG	-0.92
CAPSL	1.287
ZNF532	0.2039
ASB14	-0.66025
CA8	1.947
NUDT16P	0.366666666666667
SLFN11	-1.129
LRRIQ2	0.1835
NOL7	0.0671666666666667
BRMS1L	-0.331125
JARID1A	0.607
PANK2	0.16725
ICAM3	0.1235
MDS1	-0.8675
TAF8	-0.213
RNF139	0.98
ZNF594	0.210333333333333
ADAM8	2.941625
SFTPC	-0.35375
MAN2B2	1.018625
RGS12	0.0445
EIF1AY	-4.91333333333333
LRRIQ1	-2.422
GPR150	0.979
CCDC21	-1.207
PRRG3	0.1695
SAA4	-3.642
RAPGEF5	1.4305
ZCCHC2	0.125833333333333
MGC39372	0.5115
PPP4R2	0.0943333333333333
CDCA2	-1.45116666666667
OR4D5	0.537666666666667
PTGFRN	1.2328
SIGLEC5	2.17166666666667
C19orf61	-0.422666666666667
NMUR2	0.1575
KIAA1586	-1.13683333333333
DAGLA	-0.179833333333333
CHCHD6	-0.27475
GPR32	0.5845
NEUROD6	0.00199999999999998
SLC2A4RG	-0.154125
CA5B	0.19325
FBXL3	0.905
MPHOSPH9	-0.48575
HMG2L1	-0.09475
HCN4	0.489
CEACAM19	0.8965
SH2D4B	0.738666666666667
HFE2	-0.4835
TGM4	-0.270833333333333
LYPD2	-0.02675
TBC1D15	0.0895
MRPS21	0.3421
NONO	0.4146
CLEC5A	2.930875
ITCH	0.0958
MGAT3	-1.60133333333333
MBP	-0.11725
RPP25	-1.50175
SOSTDC1	-3.8885
HRC	-1.706
TRIM48	0.282
TMEM133	-1.22725
ECEL1P2	-2.30925
HOXC11	1.1645
DOK5	-0.88025
HELZ	1.08566666666667
LOC348180	-0.5575
MGC33894	0.2065
ADRB3	-0.071
DMD	-0.624583333333333
PTRH2	1.1895
MPEG1	3.824
NDUFA12	0.5885
KRTAP2-4	0.300416666666667
STAMBPL1	-0.457333333333333
ADCY2	-0.623833333333333
UNQ6125	0.4335
KLHL20	-0.0848333333333334
SRM	-1.13775
OTC	0.0895
TMIE	-0.415166666666667
SNX8	0.626
LIPK	-0.0325
CHURC1	-0.356333333333333
KLC2	0.219333333333333
HDAC1	-0.407166666666667
FAM128A	0.661166666666667
FNDC3B	0.9294
MTCP1	0.0773333333333334
WFDC10B	0.132
PCDHGB3	-1.4085
ATRNL1	-1.9936
CAV2	-2.146375
MED26	-0.3745
DUS1L	0.21475
CHRM3	-1.3155
NEK9	-0.048
WARS2	0.784
TBX22	-0.2135
TOMM40	-0.786
RP6-213H19.1	0.325333333333333
TUBGCP5	0.1455
IGSF6	5.54125
TPPP	0.111166666666667
UNQ6190	-0.5325
GSTM5	-0.636375
BTD	0.578333333333333
PDCD1LG2	1.99733333333333
SNRPB2	0.580666666666667
ERICH1	-0.72225
APOA4	-1.381625
HOXA11	-2.21325
NARG1	-0.072875
MKX	2.883
RAB28	-0.322214285714286
PKP3	1.0165
SH3GL2	-2.94125
CTSO	2.0605
RPN2	1.6265
IL28RA	0.342166666666667
SFMBT1	0.94125
WDR57	-0.679125
FER1L3	-0.269
HSF5	0.628333333333333
TTC9B	0.18975
C4BPA	-3.75833333333333
ALB	-5.49442857142857
SORBS3	-0.13525
UPF2	0.607
JPH1	1.0145
AGBL2	1.2975
DOPEY1	2.159
TERF1	0.34425
KIF22	-0.1465
NINJ1	1.74375
SEC61A2	1.29883333333333
HIST1H1D	-0.812
SFXN4	0.267375
UCP3	0.406
ZNF703	1.0235
MYL6B	-0.96075
TREM1	1.625
OR52E6	1.461
CKMT2	-0.61125
HLA-C	3.182375
SLC13A3	-2.3185
TIMP4	-0.20275
SLIT2	0.792
RSF1	-0.0588888888888889
LONRF1	-0.563142857142857
MON1A	-0.791333333333333
CACNG6	2.28666666666667
DPPA4	-5.56133333333333
ZSWIM3	0.90375
ZNF804A	0.958333333333333
CCIN	0.92875
SLC25A31	0.50725
KCNMB4	-2.8305
RABL5	0.0965
GALNS	-0.2514
STX6	0.10775
HIST1H1C	-1.48216666666667
CIDEB	-1.011125
CASP4	0.916833333333333
PDK3	1.0184
KCNJ11	0.684
TPR	-0.2155
ZSCAN20	-1.123
MTX2	-0.05675
HIST1H2BH	-0.72825
LOC283767	0.956
LYRM7	-1.72661111111111
BRD3	-0.594833333333333
HIST1H2BO	-0.674
MAGEB10	0.146
SLC45A1	0.6515
SERPINA3	-0.01165
KIAA0143	1.9805
KCNJ16	0.0556666666666666
KRT79	0.28975
FABP2	-0.61525
NUT	-0.42875
ZNF57	-0.00900000000000001
FBXL4	0.69275
CLEC9A	1.7995
UGT8	-1.6455
BMP2K	0.9165
MAPK4	-3.44375
SLC25A23	-1.081
HINT1	-0.0344
KRTAP13-1	0.2435
SFXN5	-0.1013
CHCHD2	0.365333333333333
FAM3D	0.456
NDP	-0.908875
RHOBTB1	0.804166666666667
SLC4A4	-1.38175
RPL38	1.03725
HTF9C	-0.3045
AP2A2	0.5825
ZBTB46	-0.3355
MAP7D1	-0.262
AOX1	2.3855
CYR61	-0.310916666666667
DTNA	-1.34221428571429
JRKL	-0.95775
TMOD3	0.61
EEA1	0.5874
ADCK5	0.637
IL1R1	0.531333333333333
KLK3	0.295214285714286
HRSP12	1.18075
KTN1	-0.0405
LOH11CR2A	-0.3519
RELL2	-1.27
MAB21L1	-0.499
C20orf59	-0.8405
PHKB	0.455
ADAM2	-3.24483333333333
TBC1D8B	1.7765
FAM13A1	-0.5465625
LAPTM4B	-0.0375833333333333
LCN8	-0.017
TMEM147	0.9575
SYT4	-0.2568
XPO7	-0.335
C9orf62	1.127
GPR75	0.8315
TRIM5	0.786
APOC1	1.40266666666667
RNASE4	-0.219333333333333
PARD6B	1.4035
ARID1A	-0.16525
TPD52L3	-0.1469
RRAGB	1.734
RCN2	0.127833333333333
HIST2H2BE	-0.129375
STARD7	-0.00700000000000001
SHMT2	-0.67575
KIAA1751	-0.2965
MLYCD	0.106
LOC162632	-0.2222
UQCRH	-1.23575
RP11-217H1.1	1.623625
SDHA	-1.20216666666667
NCLN	-0.2444
ZNF17	0.321333333333333
RCBTB2	-1.90375
VEGFB	-0.6723
RP4-747L4.3	0.96575
COLQ	0.1297
MPN2	-0.646166666666667
DRG2	-0.2235
KLRB1	5.3935
ALPK2	-2.13225
DNASE2B	0.804
FLJ23834	-1.02833333333333
AXUD1	-0.182166666666667
SAFB	-0.5275
NSUN4	-0.20475
RFX2	0.5315
MAPK8IP1	-0.408833333333333
FANCD2	-0.0965
ANKZF1	-0.7925
C19orf50	-0.573375
DUSP8	0.83125
SENP5	1.460125
NFKBIL2	-0.29575
LBR	0.58875
IGFL1	0.339
LZTS2	-0.07975
IL2RG	1.25775
CCDC51	-0.56075
KLF3	0.626
ANKRD37	-2.238
KCTD14	0.183166666666667
FZR1	0.346333333333333
SLC44A4	2.455
ESPL1	-0.084
GMPR2	-0.54
TBC1D19	0.190166666666667
ERGIC1	-0.161740740740741
ERBB4	1.8501
TSPAN32	1.55316666666667
MAP4	-0.351375
GPHN	-0.09175
SLC6A2	-0.508
HIVEP1	0.7465
DFFB	-0.2099
EIF4EBP2	1.7885
DMRT1	-0.9405
HSPB6	-0.46975
IER2	-0.278333333333333
AIFM1	0.81
WWC2	-1.11991666666667
MRPL4	-0.69475
FLJ21062	0.817166666666667
EPB41L4A	0.164666666666667
SH2D6	0.57575
TAF4B	-1.35325
GAL3ST3	0.0375
MALT1	-0.845666666666667
RTDR1	0.3265
ARVCF	-0.567375
MEX3B	-2.514
FBXO16	1.874
KIF7	-0.58425
C1QC	4.29366666666667
ZNF783	-1.0125
ZNF85	-0.24275
MMP13	1.2805
KIAA0329	-0.337625
RTP3	-0.6765
ZBED3	-1.383
CLGN	-1.8615
SLC25A37	-2.089625
hCG_18290	0.0965
OR5AS1	0.1645
SMARCC2	0.0945
FAM109A	-0.357666666666667
CCDC12	-0.632
USF2	0.2707
DEPDC7	-3.55
C20orf24	0.3655
JMJD3	-0.317
DSP	1.59921428571429
SLIC1	1.216875
FAM20A	1.6355
IRF2BP2	0.647625
ZNF230	0.28
MSN	-0.132142857142857
SLC9A5	-1.7565
EPDR1	-0.4952
MUSK	0.184666666666667
ZNF434	0.319666666666667
SMARCD1	-0.213
ZFP106	-0.471
