Hybridization REF	TCGA-E2-A1BC-01A-11R-A12P-07
C1orf125	-0.22575
RPAP1	-1.0605
RAI16	-0.4145
RPL27	-0.262125
NLRP9	-0.5435
EPN1	0.995
LOC388610	-1.73775
SLC35A1	0.4775
GAL	-4.624
SLC14A2	0.114
RDH11	-0.435666666666667
FAM138F	-0.551
AUH	0.10825
FLJ40243	0.573
C14orf129	0.6715
MBD2	0.2435
ABHD14B	0.7715
PIGT	0.153875
ALS2CR4	-0.54675
ALAS1	0.4052
FOXO1	2.14966666666667
CRLF3	-1.232
C20orf107	1.0045
FARS2	0.71975
CCDC28A	-0.303
NPHP3	-0.5685
OR13F1	0.197
TSEN54	-0.76
DEFB106B	-0.118888888888889
OR8B4	0.795
STH	1.2055
ZC3H14	-0.217
CBX2	0.3805
TMEM49	-0.2805
C6orf21	0.102
FLJ20920	1.977625
CRTAP	0.0695
DDX50	-0.3235
STYXL1	0.264
BLVRB	0.451833333333333
LOC147650	0.881333333333333
MMP24	0.4955
GRID1	1.76016666666667
BANF1	-0.888833333333333
CTAGEP	0.0305
HMBS	-1.751
SLC25A24	-0.0923333333333333
C14orf50	-0.15125
MRO	0.8405
SLC25A15	-0.95975
FAM84B	2.4333
TDP1	-1.2125
C16orf78	0.1445
C11orf57	-0.823125
RFK	-0.90575
ZFYVE9	0.32525
STCH	-0.8678
WIBG	0.2875
LOC283871	-0.2345
GBA2	-0.2735
NDUFB3	-0.2675
HSD17B13	1.50825
GRIN3A	0.510333333333333
FMNL1	-0.8745
SEPT7	-0.2275
GNLY	1.654
GRAMD1C	1.521
ZNF165	-0.76175
USP38	0.416
FAM83A	-4.36716666666667
C14orf24	0.92325
ARMCX3	1.2795
ARHGDIB	1.66483333333333
AK1	0.394375
KIAA1045	0.55125
DNAJB13	-0.4465
NEU2	-0.182
HIST1H4B	-0.877333333333333
FAM20B	-0.6665
HES2	-0.281571428571429
FAM73B	0.2301
LOC388381	1.02125
INTS7	-1.10009090909091
AMPH	1.549
ZNF775	-0.0365
UCKL1	-0.971666666666667
C10orf97	0.03625
C1orf161	-0.50625
ALDH1L1	3.6575
FLJ39378	-0.327
SLC23A1	-1.619
RBM4B	0.582
THAP4	0.512166666666667
OGFRL1	-0.67725
KIAA0831	0.404875
PPP1R15A	0.720166666666667
C1orf96	-1.1675
C12orf11	-2.11875
BMF	0.45475
MAN1A1	-0.455875
KIAA1600	1.16766666666667
NLGN4X	-0.5195
ALOX12	-1.76666666666667
RB1CC1	-0.099
NEIL2	-0.0233
EIF4E	0.0673181818181818
ABHD5	0.382
EXOC4	-0.380833333333333
CIP29	0.400666666666667
BATF2	-1.0635
SLC29A4	-0.06775
HTR4	-0.403
EMB	-1.9135
TRAF6	0.60325
LMNB1	-5.0825
FAM19A5	-0.142125
SHE	2.6375
PIK3C2B	1.15775
C15orf15	0.3887
USP15	0.2451
TCEAL2	0.981
C5orf39	-0.802833333333333
PTGER2	1.47425
SLC31A1	0.2784375
IFT172	0.50525
ADAM29	0.2115
GFOD1	1.3095
ST7L	0.393
C15orf26	-3.618
PKN3	0.007
CNTD1	1.932
COMMD1	0.959625
NTRK2	4.50241666666667
FOXN3	0.66875
MFGE8	0.2022
PFKFB2	-0.009
TAS2R4	0.25275
ENTHD1	0.579666666666667
PRMT5	-0.487375
MGC16384	-1.703875
LOC442229	-0.80825
TSKU	0.36875
KRTCAP3	1.531375
PDLIM1	0.1629
KCNS2	0.445666666666667
RNF126	-0.377333333333333
CEP63	0.299125
CLIC4	-0.17625
hCG_1990170	-0.44125
ACR	0.4697
KLK7	0.67325
ALOX5AP	3.164
RIPK3	4.05575
TAS2R9	-0.5705
C19orf18	2.083
BIRC6	0.110285714285714
ZNF16	1.253
RFT1	-0.865
SLC8A2	-0.23275
TACC1	0.78175
ITGAD	0.81125
SAMHD1	0.181
SH3PXD2B	1.5292
EPC2	1.0765
C20orf85	1.92425
ATP13A2	0.566166666666667
KRT4	-0.072125
CAPNS1	0.62825
MDM2	-0.268333333333333
PCDH20	0.53
KCNK9	0.704
OR2C1	0.2785
KLHDC3	-0.258833333333333
IPPK	1.15
EFHD2	-0.24725
GALR3	1.5935
NBEA	1.14683333333333
ABCA6	4.0427
CLDN3	1.834
AKT2	0.424785714285714
EGFR	-0.8015
RBM16	-0.34975
ZDHHC3	0.6594
SLC25A4	-0.245833333333333
CYB5B	-0.386166666666667
CPXM1	0.59625
NDRG1	-0.768
FLJ43826	0.2415
OR5L2	-0.3095
FARP2	1.0065
MRPL46	-0.173333333333333
LDHAL6B	-0.497
MAPKAPK3	-0.2065
NCAM2	-0.21225
PRKD2	1.00016666666667
ZFP36L1	1.6683
CYSLTR1	-1.236
OR4C3	-0.60325
HIST1H2AJ	1.804
CCNB2	-4.36977777777778
ZNF10	0.154
TMEM175	0.758
FAM134A	0.948666666666667
TIGD4	-0.51
PCNP	-0.00275
MGC39715	0.244
LQK1	-0.95125
CREB1	0.6839
TMPRSS3	-1.4375
C4orf32	1.9315
LAT	-1.81333333333333
KCNA3	-0.9365
SKIV2L2	-0.7855
ROPN1B	-3.63825
tcag7.23	-0.37
CDT1	-3.950375
ZHX2	0.593375
CD28	-4.0885
ZNF624	0.34725
SEPT2	0.986
SOHLH2	-2.03625
MCOLN3	-0.539
UNQ1945	0.048
MASP2	-1.6655
ZNRF3	-1.0374
GPATCH3	0.10725
AGL	0.74725
QRICH2	-0.096
PSD4	1.67716666666667
CCNB1IP1	-2.02525
ENPP7	-0.239
OBFC1	0.239
KCNG3	-2.9135
C14orf79	1.21683333333333
ENPEP	2.07083333333333
SCT	2.6405
SKI	1.18575
SEC61G	-2.133
CAPN11	1.14625
ATXN7L3	0.05075
DBNDD1	-0.743166666666667
FAIM	0.069
ANKRD36	-1
GABRP	1.5435
TACSTD2	2.90033333333333
EIF3J	-0.67125
PPP2R2A	-0.988
TEKT4	-1.17116666666667
PVALB	-4.0085
F10	-2.0585
FAM134C	1.4285
COMP	4.836375
EFCBP1	-2.2594375
SCLT1	0.273
TAL1	-1.0678
ACSL1	2.79575
ABCC5	0.5825
ABL1	-0.18
RBBP7	0.185083333333333
PTPRG	-0.291875
NCOR1	0.0227
SPINK4	-2.63983333333333
TXNRD1	-1.3215
TNRC15	0.853125
C9orf138	0.556625
UBE2H	0.608333333333333
BRDT	0.2038
C8orf31	-0.07825
CCNE2	-3.26836363636364
SLC6A8	-1.44825
CALCR	-5.187
PPP1CB	0.863
ABHD8	0.51875
ARF5	-0.524
SLC24A4	0.20275
CCT3	-0.44325
ZNF121	0.344375
SLC3A2	-0.4947
OR13A1	0.1585
SLC5A10	-0.77325
RAD50	0.113125
IER5	0.3945
MTHFD1L	-3.03925
MBTPS2	0.130333333333333
MVK	0.3845
NCL	-0.408
PSMD10	-0.17675
MOBP	1.034375
FLJ32894	1.2665
HRH1	-0.511166666666667
C5orf30	1.827
NUDT16L1	1.7277
RASGRP3	3.34666666666667
PRKRIP1	-0.8727
CCDC75	0.904
LOC253970	0.31925
KIAA1239	3.60975
MED21	-0.2155
SYT11	0.477
NTSR2	0.483
EGFL11	-0.3685
CXorf59	0.972
OR2A25	0.126
SPTBN2	0.364
LRMP	-1.24166666666667
RNF111	-0.04775
PTH	0.4675
LOC619208	0.785666666666667
KIAA0895	0.74325
RANBP5	-1.352625
P2RY10	0.119
NME5	4.58033333333333
DDX21	-1.13675
LRSAM1	0.3345
HDAC11	1.67283333333333
VMO1	0.974
NOLA2	-0.705666666666667
ADAR	0.731833333333333
MTO1	-1.70016666666667
SF4	0.727833333333333
P2RX1	-0.469833333333333
HBM	0.3095
EN2	1.6875
C14orf172	0.05425
TM9SF2	0.5029
INHBE	-1.09783333333333
TCTE3	-0.566083333333333
TOX2	-2.927
CTAGE3	0.324
HBB	4.4123
MED15	-0.051
CASR	-0.00675000000000002
C6orf66	-2.2415
MTPN	-1.097625
UNC50	0.55825
C21orf33	0.354625
IRF2	0.78975
PGR	2.087
GPR84	1.90175
CROCCL1	-1.78
SRPX	-0.20925
BRE	0.408333333333333
FGF10	1.95425
SDC3	-0.198166666666667
ZRSR1	1.24133333333333
DKFZP434P211	-0.057
SOX6	1.917
RPUSD2	-0.3015
C14orf173	0.1195
MAPK11	0.262166666666667
TBC1D22A	1.2575
FAM123A	-0.61
COL4A6	-0.786166666666667
TOMM70A	0.06375
NAB1	-0.450875
MGC16385	-0.808125
TSPAN18	0.534
MED31	-1.15925
PLG	-0.3945
CAPSL	1.696
ZNF532	0.9556
ASB14	-0.03175
CA8	-0.564
NUDT16P	0.982666666666667
SLFN11	-1.5985
LRRIQ2	0.069125
NOL7	-0.432666666666667
BRMS1L	-0.713125
JARID1A	0.2405
PANK2	-0.419
ICAM3	-0.20375
MDS1	0.07525
TAF8	-0.564
RNF139	0.75825
ZNF594	0.198833333333333
ADAM8	0.42625
SFTPC	0.161375
MAN2B2	1.471625
RGS12	0.554875
EIF1AY	-4.93008333333333
LRRIQ1	1.4175
GPR150	1.9525
CCDC21	-1.39366666666667
PRRG3	0.36625
SAA4	-2.07
RAPGEF5	1.255
ZCCHC2	0.0378333333333333
MGC39372	0.172
PPP4R2	0.352333333333333
CDCA2	-3.69316666666667
OR4D5	-0.23
PTGFRN	1.5143
SIGLEC5	1.58533333333333
C19orf61	0.122
NMUR2	0.7165
KIAA1586	-0.509666666666667
DAGLA	0.498166666666667
CHCHD6	-0.379
GPR32	0.53
NEUROD6	0.5184
SLC2A4RG	0.305375
CA5B	0.1505
FBXL3	1.91175
MPHOSPH9	-2.042
HMG2L1	-0.17825
HCN4	0.9695
CEACAM19	-0.68625
SH2D4B	-0.00800000000000003
HFE2	-0.6635
TGM4	-0.4065
LYPD2	0.68925
TBC1D15	0.2245
MRPS21	-0.3947
NONO	-0.5088
CLEC5A	2.268375
ITCH	0.0184
MGAT3	-0.431666666666667
MBP	-0.646875
RPP25	-1.71775
SOSTDC1	-1.71275
HRC	-1.17075
TRIM48	-0.024
TMEM133	-0.26475
ECEL1P2	-1.44066666666667
HOXC11	0.417
DOK5	-0.26675
HELZ	-0.179833333333333
LOC348180	-0.62125
MGC33894	0.26125
ADRB3	-0.1205
DMD	0.7695
PTRH2	-0.5425
MPEG1	2.39733333333333
NDUFA12	0.138166666666667
KRTAP2-4	-0.05875
STAMBPL1	-1.25
ADCY2	1.37616666666667
UNQ6125	-0.0505
KLHL20	0.8235
SRM	-0.98425
OTC	0.10425
TMIE	0.0725
SNX8	0.429
LIPK	-0.3265
CHURC1	0.238666666666667
KLC2	-0.1235
HDAC1	-0.695166666666667
FAM128A	-0.658166666666667
FNDC3B	0.4712
MTCP1	-0.542333333333333
WFDC10B	-0.2441
PCDHGB3	0.3285
ATRNL1	0.7168
CAV2	0.81525
MED26	0.257
DUS1L	0.744
CHRM3	-1.3465
NEK9	1.2515
WARS2	0.27725
TBX22	1.613
TOMM40	-0.7625
RP6-213H19.1	-2.53966666666667
TUBGCP5	-0.57275
IGSF6	4.017
TPPP	0.6555
UNQ6190	-0.597
GSTM5	2.8855
BTD	1.571
PDCD1LG2	0.337
SNRPB2	-0.450833333333333
ERICH1	-1.354375
APOA4	-1.696875
HOXA11	-0.95675
NARG1	-0.671875
MKX	2.86775
RAB28	-0.349571428571429
PKP3	1.369
SH3GL2	-1.967
CTSO	4.1495
RPN2	-0.1591875
IL28RA	-0.0408333333333333
SFMBT1	0.20325
WDR57	0.11925
FER1L3	0.764
HSF5	0.295
TTC9B	0.36925
C4BPA	-4.09
ALB	-6.10915384615385
SORBS3	-0.196375
UPF2	-0.163
JPH1	-0.7805
AGBL2	1.12125
DOPEY1	1.179
TERF1	-0.608416666666667
KIF22	-0.632166666666667
NINJ1	1.228
SEC61A2	-0.632166666666667
HIST1H1D	0.3235
SFXN4	-0.433625
UCP3	0.2358
ZNF703	0.891666666666667
MYL6B	-1.0275
TREM1	1.95825
OR52E6	-0.0055
CKMT2	2.83925
HLA-C	1.6635
SLC13A3	-2.26966666666667
TIMP4	3.29475
SLIT2	2.53
RSF1	0.277777777777778
LONRF1	-1.21078571428571
MON1A	-0.0388333333333333
CACNG6	-1.48683333333333
DPPA4	-5.77533333333333
ZSWIM3	-0.299
ZNF804A	0.2252
CCIN	1.98125
SLC25A31	0.504
KCNMB4	0.103
RABL5	-0.1885
GALNS	-0.4338
STX6	-0.0695
HIST1H1C	0.694166666666667
CIDEB	-0.598625
CASP4	0.247333333333333
PDK3	-0.7386
KCNJ11	2.3865
TPR	-0.61525
ZSCAN20	0.036
MTX2	-0.0785
HIST1H2BH	1.43
LOC283767	2.3455
LYRM7	-1.18361111111111
BRD3	1.21933333333333
HIST1H2BO	0.9365
MAGEB10	0.121
SLC45A1	1.6085
SERPINA3	0.000349999999999993
KIAA0143	1.14775
KCNJ16	1.07816666666667
KRT79	0.5535
FABP2	-0.91875
NUT	-0.230333333333333
ZNF57	-0.48075
FBXL4	-0.010625
CLEC9A	0.425
UGT8	-1.31516666666667
BMP2K	-0.1455
MAPK4	-3.481
SLC25A23	-0.3806
HINT1	-0.7034
KRTAP13-1	-0.226
SFXN5	-0.571
CHCHD2	-0.94825
FAM3D	0.961
NDP	-0.081
RHOBTB1	1.32183333333333
SLC4A4	-0.149375
RPL38	-0.7345
HTF9C	0.106666666666667
AP2A2	0.626875
ZBTB46	0.4045
MAP7D1	1.0555
AOX1	-0.825
CYR61	2.5425
DTNA	-1.64633333333333
JRKL	-0.2565
TMOD3	-0.2515
EEA1	0.3172
ADCK5	-0.2545
IL1R1	1.6215
KLK3	0.208384615384615
HRSP12	-0.487
KTN1	0.5305
LOH11CR2A	1.2957
RELL2	-1.21675
MAB21L1	2.07525
C20orf59	-0.8755
PHKB	-0.313
ADAM2	-3.736
TBC1D8B	1.67933333333333
FAM13A1	-0.391125
LAPTM4B	-2.458
LCN8	-0.3705
TMEM147	-0.123
SYT4	0.3952
XPO7	-1.043
C9orf62	2.34025
GPR75	0.4405
TRIM5	1.0145
APOC1	-1.349
RNASE4	1.2905
PARD6B	-1.909625
ARID1A	0.337333333333333
TPD52L3	0.330375
RRAGB	1.11883333333333
RCN2	-0.840166666666667
HIST2H2BE	1.2479375
STARD7	-0.39875
SHMT2	-1.61975
KIAA1751	-0.3804
MLYCD	0.509375
LOC162632	-0.4829
UQCRH	-1.40225
RP11-217H1.1	0.5370625
SDHA	-1.04
NCLN	-0.2293
ZNF17	0.527
RCBTB2	-1.5015
VEGFB	0.2453
RP4-747L4.3	0.398
COLQ	0.7398
MPN2	-0.642
DRG2	-0.36475
KLRB1	3.4625
ALPK2	-2.5615
DNASE2B	1.90675
FLJ23834	0.396666666666667
AXUD1	1.93716666666667
SAFB	0.044
NSUN4	-0.482
RFX2	-0.2055
MAPK8IP1	-0.950166666666667
FANCD2	-2.32135714285714
ANKZF1	-1.45083333333333
C19orf50	-0.196875
DUSP8	0.966
SENP5	-0.281
NFKBIL2	-1.153
LBR	-0.985
IGFL1	-0.1495
LZTS2	0.505
IL2RG	-1.835
CCDC51	0.03575
KLF3	0.360625
ANKRD37	-1.48525
KCTD14	-2.03533333333333
FZR1	0.745166666666667
SLC44A4	4.0981
ESPL1	-2.23475
GMPR2	0.3101
TBC1D19	-0.466833333333333
ERGIC1	0.850296296296296
ERBB4	3.9135
TSPAN32	0.16175
MAP4	0.64675
GPHN	-0.44075
SLC6A2	-0.541875
HIVEP1	0.5465
DFFB	-0.5753
EIF4EBP2	0.6385
DMRT1	-1.283
HSPB6	0.92825
IER2	1.16883333333333
AIFM1	0.00800000000000001
WWC2	0.798545454545455
MRPL4	-0.8755
FLJ21062	0.572333333333333
EPB41L4A	1.96783333333333
SH2D6	0.2885
TAF4B	-2.03725
GAL3ST3	-1.1325
MALT1	-1.6305
RTDR1	-1.3095
ARVCF	0.455625
MEX3B	-1.3185
FBXO16	1.32475
KIF7	-0.93825
C1QC	3.7445
ZNF783	-1.14483333333333
ZNF85	0.1545
MMP13	4.519
KIAA0329	0.733
RTP3	-1.7065
ZBED3	0.136
CLGN	0.50575
SLC25A37	-2.177625
hCG_18290	-0.61425
OR5AS1	0.25
SMARCC2	0.977333333333333
FAM109A	0.440333333333333
CCDC12	0.08075
USF2	0.4906
DEPDC7	-2.63275
C20orf24	-1.09933333333333
JMJD3	0.8115
DSP	-2.65007142857143
SLIC1	0.0221428571428571
FAM20A	0.6065
IRF2BP2	-0.293125
ZNF230	0.485
MSN	-0.397714285714286
SLC9A5	-1.9165
EPDR1	-2.0125
MUSK	0.0646666666666667
ZNF434	0.963166666666667
SMARCD1	-0.137
ZFP106	-0.19
ZNF347	0.0914
GTF2E1	0.23425
RY1	0.00333333333333334
