Hybridization REF	TCGA-E2-A1B4-01A-11R-A12P-07
ZNF687	-0.417875
SDC2	-1.7859
COX7A2	0.37625
LAMB4	-0.03
FAM24A	1.0615
LRRTM3	-0.5206
GPHB5	0.8415
OR4C13	1.063
EIF3EIP	0.445
HABP4	-0.877
TMEM125	4.161
CNTN2	-0.34375
ASNSD1	0.22575
FUT4	-0.707875
ACF	-3.67725
LOC158381	0.796
CDH8	-0.39325
AGPS	-1.49833333333333
C4orf18	2.122875
PECI	0.736833333333333
UNG	-1.098
GSTP1	0.868625
DCUN1D5	-1.42316666666667
DKFZP564J0863	-0.5945
SLC9A3R1	-0.41025
BCDO2	0.1885
CHMP7	-0.02775
REM2	-0.478
DNHD1	-0.57025
FKBP4	-0.461875
ZNF350	2.4995
MGC11102	0.23375
BST1	0.456
KISS1R	-0.0635
NCR2	-0.0805
DEFB125	-0.4035
UBE2W	0.22275
KRT15	2.28275
C10orf99	0.303
SCN11A	0.646
GFI1	-2.8435
RDHE2	3.0585
FHL1	-2.11
OSGEP	0.5685
GATA1	-3.56433333333333
SMC6	-1.25875
TTTY14	-1.02775
LPIN3	-0.85425
RPL4	-1.1436
RBPMS	0.5637
PRPF3	0.086
EMR1	-1.874
SPATA19	0.29125
XCR1	0.566
IRX3	1.7506
RBM6	-0.363
KLF4	-0.9
UNC5CL	1.91575
SEBOX	0.3355
BTK	-1.66575
KRCC1	1.78475
C6orf27	0.46
SYTL5	-0.8385
PRND	1.687625
LOC653319	-0.9035
PIGL	-0.50775
HUS1	-0.587333333333333
SFRS6	0.386833333333333
C17orf77	0.398
UIMC1	-0.0198333333333333
FXYD2	-1.7655
LOC283152	2.10525
ZNF667	-0.299
ZCCHC12	-2.38575
TFEC	1.32688888888889
ATP7B	0.675166666666667
POLD2	-1.9415
RG9MTD1	-0.28175
ACOT2	0.7665
HIST1H4I	-1.261125
PPARGC1A	-2.256
ETFA	-1.6311
POLRMT	0.1615
ZNF146	-0.223625
MIA2	-1.865
KLHL6	-2.016
HOXB5	-0.551875
NENF	0.9495
CUGBP1	0.21575
PRSS22	2.18183333333333
CASC4	1.3566
CUL4B	0.1742
CENPJ	-2.0083
PITX1	-1.50866666666667
FLJ31033	-0.255833333333333
CELSR3	-2.60333333333333
ZNF568	2.26325
ITSN1	-0.588416666666667
EHBP1L1	-1.84666666666667
C19orf2	-0.39
DCTN1	0.02525
LIN28B	-4.2108
TNKS2	-0.5745
C1QBP	-0.378
CADPS2	3.212
SRMS	0.152
GJA9	0.166166666666667
MGC24975	-0.414833333333333
TRIM45	0.178833333333333
TSP50	1.4385
TCP1	-1.504
TMED7	-0.7172
CMA1	-0.3765
CENPL	-2.3505
PTCRA	0.027
FST	-0.84975
VWCE	-3.68575
PAWR	-0.54725
ABCC12	0.318166666666667
LDLR	-1.7098
ASTN2	1.8877
LOC441212	-0.434
GPATCH8	0.4315
TANC2	-1.16525
KIF4A	-3.4235
C18orf18	-0.03425
PGM1	-1.8845
KIAA0258	0.63375
CPD	0.661625
SNCAIP	-1.80725
DCT	-5.13316666666667
HLA-DOA	2.48036363636364
OR11L1	0.789
UPK1B	-0.60625
DNAJB4	-1.17425
UGT1A8	0.4295
HIST1H4L	-2.4695
PECR	-1.05316666666667
HSPA2	3.03225
WFIKKN1	-2.22
SERP1	0.052625
SYDE2	0.71725
TACR2	1.048
NUP85	-0.8965
CD177	1.62016666666667
LGR5	-2.0675
PIGG	0.190833333333333
PTHR1	-0.8455
RAB5A	-0.2357
FLJ13224	-0.0435
USP9Y	-1.6302
C7orf53	-0.3585
LRP1B	-1.12825
XAF1	0.5235
ABCG8	-0.505
ANKDD1A	-1.3605
DAND5	-2.118
SPAG6	-0.3028
LINCR	-0.01775
ZDHHC22	-0.905125
CCDC60	0.00499999999999989
THOC7	-0.718333333333333
TCTA	1.0107
OR8K3	0.02825
NY-REN-7	-1.00775
B2M	0.300833333333333
C6orf141	-2.9445
LPPR4	0.62725
SQLE	-2.561
SEPHS1	-0.37625
BTBD14B	0.258642857142857
PLRG1	0.0935
SPG7	-1.3175
ZNF614	0.307
PARD6G	0.971
INPP5B	-0.3382
GRPEL2	-0.4425
PPID	-0.6878
TRIM56	0.23275
UBE2J1	-1.176
IL20RA	6.744
LOC387856	-0.095
C1orf107	0.343333333333333
UTS2R	-0.07925
C19orf22	0.23225
SAFB2	-0.121125
KIAA0652	-0.418625
KLRG1	-0.799333333333333
MS4A8B	3.03416666666667
FRAG1	0.67275
KIAA1546	1.0025
E2F4	-1.9319
CLEC4M	0.1175
BTBD14A	-1.64625
KIAA0999	2.2548
GYPA	-4.0386
TAC1	0.8939
TRAIP	-1.90683333333333
KIAA0232	1.2622
ERCC8	-1.692875
GPX4	0.786125
KIAA0368	0.03875
GPR157	-1.218
CTAGE4	0.292
C9orf30	-1.83633333333333
OR52A1	0.589
HSP90B3P	-0.537
ALG9	0.1925
BTBD10	0.483
SDK2	0.01925
BAIAP3	0.71525
RABGGTB	-0.605625
ANKRD40	-0.329333333333333
KRT74	-0.015
CALCOCO2	0.353642857142857
SNCA	-3.422
TMSL8	-4.43725
C2orf53	0.2255
ESRRB	0.03325
ARHGAP26	-1.256625
TDRD9	-1.22225
HRAS	-0.444
KLRC4	-1.5595
JAGN1	0.0065
BSDC1	1.086
RNF43	0.9004
NDUFAF1	0.96775
PHF12	2.50825
OR1L3	0.00624999999999998
FOLR2	0.534909090909091
LYZL6	0.131666666666667
tcag7.1260	-2.2025
WSB1	-0.661666666666667
PROS1	-1.654
OSTN	0.6275
PSMB8	-0.022
SOCS4	-0.62575
DDIT4L	0.786
MAS1	0.178
MGC34796	1.66825
CSHL1	-0.121666666666667
TBCCD1	0.419833333333333
ZBTB7C	0.0195
AP2S1	-0.315375
P15RS	0.118
VAT1	-1.223
SHANK3	0.558
TUFM	-0.753666666666667
THEG	-0.1185
KRT34	-2.0435
SGSM3	0.152625
TOMM22	-0.913875
SOCS3	1.028
CPO	1.579
POP4	-0.04825
BHLHB3	2.09775
MALL	1.338
OR1B1	1.404
PARK2	0.631
GPR124	0.324375
LCE1E	-0.63
RUVBL2	-1.029
CGRRF1	0.778
ACPL2	1.0465
WNT10B	-2.4005
BAIAP2L2	-1.989125
ISCA1	0.4285
C1orf125	2.84025
RPAP1	-0.71225
RAI16	0.6645
RPL27	-0.188625
NLRP9	0.042
EPN1	0.0245
LOC388610	-0.29325
SLC35A1	1.6485
GAL	-5.0225
SLC14A2	0.402
RDH11	0.139
FAM138F	-0.2405
AUH	1.40875
FLJ40243	-0.625666666666667
C14orf129	-0.466333333333333
MBD2	-0.485333333333333
ABHD14B	0.484
PIGT	0.576625
ALS2CR4	-0.376875
ALAS1	-0.1047
FOXO1	0.863666666666667
CRLF3	-0.8305
C20orf107	-0.117
FARS2	0.64175
CCDC28A	1.3485
NPHP3	-0.1545
OR13F1	1.0315
TSEN54	-0.7665
DEFB106B	-0.2155
OR8B4	0.759
STH	2.56925
ZC3H14	-0.204125
CBX2	0.2245
TMEM49	-1.69475
C6orf21	0.3615
FLJ20920	1.901
CRTAP	0.157642857142857
DDX50	0.14075
STYXL1	0.35175
BLVRB	0.595333333333333
LOC147650	0.620166666666667
MMP24	0.48625
GRID1	2.2
BANF1	-0.409333333333333
CTAGEP	0.224
HMBS	-2.138
SLC25A24	0.356666666666667
C14orf50	3.3125
MRO	-0.661
SLC25A15	0.02875
FAM84B	0.2991
TDP1	-0.7925
C16orf78	-0.6566
C11orf57	0.54725
RFK	-0.816875
ZFYVE9	-0.994285714285714
STCH	-2.0649
WIBG	0.94025
LOC283871	-0.467
GBA2	-0.1707
NDUFB3	0.465
HSD17B13	-1.12575
GRIN3A	-0.2105
FMNL1	-1.70583333333333
SEPT7	-1.1457
GNLY	0.9755
GRAMD1C	1.79616666666667
ZNF165	0.665
USP38	1.09825
FAM83A	-3.70583333333333
C14orf24	0.528666666666667
ARMCX3	1.175125
ARHGDIB	2.12416666666667
AK1	0.77975
KIAA1045	-0.333
DNAJB13	-0.22
NEU2	2.282
HIST1H4B	-2.04216666666667
FAM20B	-0.6981
HES2	1.388
FAM73B	-0.38
LOC388381	0.7135
INTS7	-0.560909090909091
AMPH	-0.7545
ZNF775	-0.593125
UCKL1	-1.22366666666667
C10orf97	-0.08075
C1orf161	-0.09075
ALDH1L1	-1.48275
FLJ39378	-0.07275
SLC23A1	-1.2675
RBM4B	0.513
THAP4	0.501833333333333
OGFRL1	0.37675
KIAA0831	0.854875
PPP1R15A	-0.649166666666667
C1orf96	-1.20564285714286
C12orf11	-1.148
BMF	1.079875
MAN1A1	0.41675
KIAA1600	0.428166666666667
NLGN4X	-0.95475
ALOX12	-1.4364
RB1CC1	-0.21
NEIL2	1.0679
EIF4E	-0.3625
ABHD5	-0.3065
EXOC4	-0.609
CIP29	-0.4215
BATF2	-0.868
SLC29A4	-0.952625
HTR4	-0.169333333333333
EMB	-3.02075
TRAF6	0.93725
LMNB1	-4.1595
FAM19A5	-1.04325
SHE	0.9435
PIK3C2B	1.3465
C15orf15	-0.5197
USP15	-0.2808
TCEAL2	2.20475
C5orf39	-0.683333333333333
PTGER2	1.8335
SLC31A1	-1.486125
IFT172	1.036
ADAM29	1.05825
GFOD1	1.486
ST7L	1.28483333333333
C15orf26	-3.191
PKN3	-2.14375
CNTD1	2.5115
COMMD1	0.70925
NTRK2	3.92016666666667
FOXN3	-0.34675
MFGE8	-1.0058
PFKFB2	0.285
TAS2R4	0.12375
ENTHD1	-0.337333333333333
PRMT5	-1.865125
MGC16384	-1.246
LOC442229	-1.0595
TSKU	0.99425
KRTCAP3	2.878
PDLIM1	1.0712
KCNS2	0.11825
RNF126	-0.561333333333333
CEP63	0.28575
CLIC4	0.412
hCG_1990170	-1.72325
ACR	1.0862
KLK7	1.8155
ALOX5AP	1.63875
RIPK3	4.982
TAS2R9	0.428
C19orf18	3.5325
BIRC6	0.5505
ZNF16	1.4545
RFT1	-0.539
SLC8A2	-0.137
TACC1	-1.49625
ITGAD	0.0446666666666667
SAMHD1	-1.35775
SH3PXD2B	0.9125
EPC2	1.6535
C20orf85	0.366142857142857
ATP13A2	0.482333333333333
KRT4	-0.028375
CAPNS1	-0.131
MDM2	-0.385833333333333
PCDH20	1.673
KCNK9	0.647
OR2C1	0.68
KLHDC3	-1.05783333333333
IPPK	0.8955
EFHD2	-0.727875
GALR3	-0.06625
NBEA	1.22083333333333
ABCA6	2.4485
CLDN3	1.80016666666667
AKT2	-0.255428571428571
EGFR	-2.4897
RBM16	1.175
ZDHHC3	0.6551
SLC25A4	-0.105333333333333
CYB5B	-2.50933333333333
CPXM1	-0.79975
NDRG1	-2.35346153846154
FLJ43826	1.70725
OR5L2	0.246
FARP2	0.685
MRPL46	-1.02841666666667
LDHAL6B	-0.354333333333333
MAPKAPK3	-0.349
NCAM2	1.31775
PRKD2	-0.302833333333333
ZFP36L1	1.0502
CYSLTR1	0.03475
OR4C3	-0.00575
HIST1H2AJ	1.584
CCNB2	-3.90888888888889
ZNF10	1.614375
TMEM175	0.3335
FAM134A	0.671166666666667
TIGD4	0.098
PCNP	-1.0375
MGC39715	0.13575
LQK1	-0.8145
CREB1	-0.494
TMPRSS3	1.05675
C4orf32	2.708125
LAT	-2.03
KCNA3	-1.2435
SKIV2L2	-0.5915
ROPN1B	-1.24375
tcag7.23	0.3395
CDT1	-4.257375
ZHX2	1.290375
CD28	-4.97875
ZNF624	1.878
SEPT2	0.0359166666666667
SOHLH2	-1.596875
MCOLN3	-1.36942857142857
UNQ1945	0.063
MASP2	-0.5515
ZNRF3	-0.7783
GPATCH3	-0.314
AGL	0.917
QRICH2	0.36
PSD4	1.5335
CCNB1IP1	-1.99175
ENPP7	-0.143
OBFC1	0.73925
KCNG3	-3.03575
C14orf79	0.697666666666667
ENPEP	1.33733333333333
SCT	2.416
SKI	0.11375
SEC61G	-0.74275
CAPN11	-0.19525
ATXN7L3	-0.418
DBNDD1	-1.29616666666667
FAIM	0.20325
ANKRD36	-1.451
GABRP	3.0605
TACSTD2	2.75233333333333
EIF3J	-0.54275
PPP2R2A	-0.567
TEKT4	-1.05433333333333
PVALB	-1.93816666666667
F10	-2.959
FAM134C	0.7893
COMP	5.041625
EFCBP1	-3.2755625
SCLT1	0.318125
TAL1	-0.8286
ACSL1	-1.6825
ABCC5	0.0486666666666667
ABL1	-0.635888888888889
RBBP7	-0.386166666666667
PTPRG	-0.601375
NCOR1	0.3298
SPINK4	1.89983333333333
TXNRD1	-2.2267
TNRC15	0.402375
C9orf138	0.622875
UBE2H	1.38766666666667
BRDT	0.8115
C8orf31	0.50075
CCNE2	-1.27809090909091
SLC6A8	-2.2085
CALCR	-3.9585
PPP1CB	0.08125
ABHD8	0.15
ARF5	0.316
SLC24A4	0.378333333333333
CCT3	-0.90325
ZNF121	-0.2385
SLC3A2	-1.4987
OR13A1	0.5095
SLC5A10	0.714
RAD50	-0.1835
IER5	-0.453875
MTHFD1L	-2.979875
MBTPS2	-0.530666666666667
MVK	-0.656125
NCL	-0.3535
PSMD10	-0.926
MOBP	-0.778125
FLJ32894	2.2105
HRH1	-1.88766666666667
C5orf30	2.168
NUDT16L1	0.5422
RASGRP3	3.79183333333333
PRKRIP1	-0.1749
CCDC75	0.1965
LOC253970	-0.8935
KIAA1239	-0.578333333333333
MED21	-0.521
SYT11	-0.723833333333333
NTSR2	0.8465
EGFL11	-0.2295
CXorf59	0.8945
OR2A25	-0.0225
SPTBN2	-0.487
LRMP	-2.1915
RNF111	0.188
PTH	0.577
LOC619208	0.880666666666667
KIAA0895	1.7575
RANBP5	-0.707625
P2RY10	0.145166666666667
NME5	5.06166666666667
DDX21	-1.06575
LRSAM1	-0.2015
HDAC11	1.75316666666667
VMO1	1.90075
NOLA2	-0.268833333333333
ADAR	-0.493083333333333
MTO1	-0.709666666666667
SF4	0.09
P2RX1	0.2515
HBM	0.3015
EN2	0.1125
C14orf172	0.1835
TM9SF2	-0.1758
INHBE	-0.9755
TCTE3	0.116916666666667
TOX2	-3.42725
CTAGE3	-0.132125
HBB	3.0875
MED15	-0.598666666666667
CASR	1.53975
C6orf66	-0.843333333333333
MTPN	-1.016125
UNC50	-0.13075
C21orf33	0.43575
IRF2	1.868625
PGR	3.6765
GPR84	1.01275
CROCCL1	-2.10325
SRPX	-2.07975
BRE	0.585833333333333
FGF10	4.6985
SDC3	-1.701
ZRSR1	0.0343333333333333
DKFZP434P211	-1.153375
SOX6	-0.3035
RPUSD2	0.12075
C14orf173	0.06375
MAPK11	-0.272333333333333
TBC1D22A	0.4335
FAM123A	-0.516
COL4A6	-1.58766666666667
TOMM70A	-0.40825
NAB1	0.32875
MGC16385	-0.5865
TSPAN18	-1.03583333333333
MED31	0.99975
PLG	-0.06975
CAPSL	0.795
ZNF532	0.908
ASB14	0.218
CA8	2.5985
NUDT16P	2.90916666666667
SLFN11	-1.107
LRRIQ2	-0.358125
NOL7	-0.3805
BRMS1L	-1.421875
JARID1A	-0.029
PANK2	-0.0995
ICAM3	-0.5395
MDS1	-0.10475
TAF8	-0.65325
RNF139	0.88925
ZNF594	1.33333333333333
ADAM8	-0.235625
SFTPC	-0.108
MAN2B2	0.835625
RGS12	0.740125
EIF1AY	-4.16133333333333
LRRIQ1	-2.05583333333333
GPR150	-0.11475
CCDC21	-1.961
PRRG3	-0.415
SAA4	-3.051
RAPGEF5	2.000375
ZCCHC2	-0.212333333333333
MGC39372	0.5805
PPP4R2	-0.301166666666667
CDCA2	-3.29483333333333
OR4D5	0.296666666666667
PTGFRN	0.8603
SIGLEC5	0.158833333333333
C19orf61	-0.63
NMUR2	-0.239
KIAA1586	-1.05466666666667
DAGLA	1.07316666666667
CHCHD6	-0.4595
GPR32	0.6395
NEUROD6	0.151
SLC2A4RG	0.1326875
CA5B	0.2245
FBXL3	2.18275
MPHOSPH9	-1.39625
HMG2L1	0.96375
HCN4	-0.6805
CEACAM19	-0.23975
SH2D4B	-0.0723333333333334
HFE2	-5.375
TGM4	0.125666666666667
LYPD2	-0.378
TBC1D15	-0.17975
MRPS21	0.2941
NONO	-0.8905
CLEC5A	2.59975
ITCH	-0.00620000000000003
MGAT3	-0.940166666666667
MBP	-0.0977499999999999
RPP25	-1.381
SOSTDC1	0.45225
HRC	-0.9475
TRIM48	-0.176
TMEM133	0.286
ECEL1P2	-1.0595
HOXC11	-2.594
DOK5	-0.375
HELZ	0.6215
LOC348180	-1.225
MGC33894	0.69425
ADRB3	-0.966
DMD	0.0950833333333333
PTRH2	-0.719
MPEG1	1.91783333333333
NDUFA12	0.0971666666666667
KRTAP2-4	-0.151166666666667
STAMBPL1	-2.245
ADCY2	0.458166666666667
UNQ6125	0.83
KLHL20	-0.492833333333333
SRM	-2.04775
OTC	-0.265
TMIE	0.0553333333333333
SNX8	-0.60275
LIPK	2.3055
CHURC1	0.2305
KLC2	0.4555
HDAC1	0.4555
FAM128A	0.331166666666667
FNDC3B	-0.1351
MTCP1	-0.00783333333333334
WFDC10B	0.0705
PCDHGB3	-2.7345
ATRNL1	3.139
CAV2	-1.799125
MED26	0.3515
DUS1L	0.46275
CHRM3	-2.355
NEK9	-0.57225
WARS2	0.36125
TBX22	-1.07
TOMM40	-1.24675
RP6-213H19.1	-2.087
TUBGCP5	-0.52425
IGSF6	4.6055
TPPP	0.358333333333333
UNQ6190	-0.358
GSTM5	0.435375
BTD	0.614166666666667
PDCD1LG2	-0.786
SNRPB2	0.0131666666666667
ERICH1	-0.874125
APOA4	-1.142375
HOXA11	-0.761
NARG1	-0.36975
MKX	-0.6925
RAB28	-1.18992857142857
PKP3	1.397
SH3GL2	-2.8695
CTSO	2.971
RPN2	0.174125
IL28RA	0.4155
SFMBT1	1.873
WDR57	-1.4075
FER1L3	0.11475
HSF5	0.2275
TTC9B	1.134
C4BPA	-3.3915
ALB	-4.90335714285714
SORBS3	0.776375
UPF2	0.3865
JPH1	-0.137
AGBL2	1.7705
DOPEY1	1.9775
TERF1	0.4425
KIF22	-0.6925
NINJ1	2.74275
SEC61A2	0.280833333333333
HIST1H1D	-3.18883333333333
SFXN4	-0.187875
UCP3	0.4322
ZNF703	0.816333333333333
MYL6B	-0.142
TREM1	0.18975
OR52E6	-1.9805
CKMT2	1.68775
HLA-C	1.886375
SLC13A3	-1.29416666666667
TIMP4	-2.886
SLIT2	2.675
RSF1	-0.0695555555555556
LONRF1	-1.1675
MON1A	0.2465
CACNG6	-2.00116666666667
DPPA4	-5.87783333333333
ZSWIM3	0.34975
ZNF804A	0.283833333333333
CCIN	2.00925
SLC25A31	1.07025
KCNMB4	0.71375
RABL5	0.5535
GALNS	-0.639
STX6	-0.157375
HIST1H1C	-2.85666666666667
CIDEB	1.217125
CASP4	0.431
PDK3	0.249
KCNJ11	0.015
TPR	-0.75125
ZSCAN20	-0.143
MTX2	-0.059
HIST1H2BH	-1.062
LOC283767	3.50675
LYRM7	-1.34152941176471
BRD3	-0.2655
HIST1H2BO	-1.67575
MAGEB10	-0.3405
SLC45A1	-0.34725
SERPINA3	2.18185
KIAA0143	1.2055
KCNJ16	2.3725
KRT79	0.42525
FABP2	0.81825
NUT	0.6455
ZNF57	-0.23925
FBXL4	-0.469875
CLEC9A	1.5895
UGT8	-1.59066666666667
BMP2K	1.219
MAPK4	-2.282
SLC25A23	0.0546
HINT1	-0.8963
KRTAP13-1	0.115
SFXN5	0.4775
CHCHD2	-0.326
FAM3D	1.8395
NDP	1.278
RHOBTB1	0.4645
SLC4A4	1.84225
RPL38	0.37875
HTF9C	-0.331166666666667
AP2A2	0.607
ZBTB46	-0.455
MAP7D1	0.048125
AOX1	-1.57616666666667
CYR61	0.874833333333333
DTNA	-2.449
JRKL	0.87625
TMOD3	-0.659
EEA1	-0.0275
ADCK5	-0.3425
IL1R1	4.15483333333333
KLK3	-0.089
HRSP12	-0.46325
KTN1	1.319
LOH11CR2A	1.8235
RELL2	-1.39225
MAB21L1	1.5355
C20orf59	-0.996333333333333
PHKB	-0.19925
ADAM2	-2.5745
TBC1D8B	1.36616666666667
FAM13A1	-0.3526875
LAPTM4B	-4.29541666666667
LCN8	-0.018
TMEM147	0.443
SYT4	0.2188
XPO7	-0.8735
C9orf62	-0.47175
GPR75	0.4695
TRIM5	0.424875
APOC1	-1.17316666666667
RNASE4	0.753
PARD6B	-1.881
ARID1A	0.49375
TPD52L3	0.058875
RRAGB	0.407333333333333
RCN2	-0.675833333333333
HIST2H2BE	-0.6386875
STARD7	-0.634
SHMT2	-1.74125
KIAA1751	0.66075
MLYCD	-0.531125
LOC162632	-0.3102
UQCRH	-1.65275
RP11-217H1.1	-0.44275
SDHA	-1.85833333333333
NCLN	-0.5537
ZNF17	1.378
RCBTB2	-1.35575
VEGFB	-0.5348
RP4-747L4.3	-1.40725
COLQ	0.4936
MPN2	-0.8925
DRG2	0.14475
KLRB1	3.06975
ALPK2	-0.9265
DNASE2B	0.055
FLJ23834	-0.8275
AXUD1	0.453333333333333
SAFB	-0.4641
NSUN4	0.29775
RFX2	-0.2415
MAPK8IP1	-2.46583333333333
FANCD2	-0.953571428571428
ANKZF1	-1.48916666666667
C19orf50	-0.71875
DUSP8	-0.358875
SENP5	-0.24375
NFKBIL2	-1.1475
LBR	-2.84925
IGFL1	0.89
LZTS2	0.415375
IL2RG	-1.08225
CCDC51	-0.514
KLF3	-0.269375
ANKRD37	-0.596
KCTD14	1.307
FZR1	0.28325
SLC44A4	3.4787
ESPL1	-1.755625
GMPR2	-0.1575
TBC1D19	-0.420333333333333
ERGIC1	0.400481481481481
ERBB4	3.6269
TSPAN32	0.05575
MAP4	-0.6095
GPHN	-1.922
SLC6A2	0.116
HIVEP1	0.55725
DFFB	-0.3354
EIF4EBP2	0.46175
DMRT1	0.19525
HSPB6	0.482
IER2	-0.275
AIFM1	0.0345
WWC2	-0.147
MRPL4	-1.0875
FLJ21062	2.7905
EPB41L4A	2.20291666666667
SH2D6	0.31725
TAF4B	-1.4895
GAL3ST3	0.5775
MALT1	-0.687833333333333
RTDR1	0.258
ARVCF	0.4505
MEX3B	-1.70816666666667
FBXO16	1.80125
KIF7	-0.64375
C1QC	3.77716666666667
ZNF783	-0.111666666666667
ZNF85	0.64925
MMP13	3.4645
KIAA0329	0.883
RTP3	-1.5835
ZBED3	-0.1145
CLGN	1.04475
SLC25A37	-1.902
hCG_18290	0.37525
OR5AS1	-0.697
SMARCC2	0.2525
FAM109A	-0.188333333333333
CCDC12	0.459
USF2	-0.2505
DEPDC7	-1.57525
C20orf24	-1.43333333333333
JMJD3	0.1435
DSP	1.65785714285714
SLIC1	0.293
FAM20A	-0.2815
IRF2BP2	-0.16275
ZNF230	0.5205
MSN	-1.08385714285714
SLC9A5	-1.427
EPDR1	-2.8114
MUSK	0.258666666666667
ZNF434	0.514166666666667
SMARCD1	-0.738
ZFP106	0.7375
