Hybridization REF	TCGA-AR-A1AJ-01A-21R-A12P-07
MAP1LC3C	1.9535
CRYGC	-0.469
POU3F1	-0.7171
C20orf32	-0.5565
CCDC95	-0.395
HIGD1B	1.728
USP6NL	0.622375
ABCD4	-0.283
DIMT1L	-0.1675
TEK	1.398625
SLC25A46	-0.51475
LARP7	-0.7003
CD160	0.897833333333333
MT1JP	0.288166666666667
PHF20	-0.4121875
CPNE4	-1.51425
GTPBP1	0.187142857142857
RAB33B	0.408833333333333
ALDOC	-1.37125
ZNF212	-0.18
NUDT1	-0.397666666666667
RFPL2	-0.89975
ZNF83	-0.631666666666667
GDPD5	0.093
PDCD4	0.56495
CEP350	0.111
OR10A2	0.13675
CST7	2.478
CIAO1	-0.41775
SELL	2.68075
OR8J3	0.1875
LTBP4	-0.321166666666667
SIRT6	0.04375
CCL19	4.60225
PPIL1	-0.557833333333333
GBP7	0.6336
STK17A	-0.3051
ABR	0.7935
OR9G1	-0.467
FOXE1	-0.3415
CNGA3	0.1165
GML	0.393
CD38	1.309
ZDHHC6	-0.556166666666667
NEFH	-2.65375
CTDSP2	0.259
PGBD5	2.78683333333333
CCNY	0.672857142857143
RMND5B	-0.1845
ZNF257	-0.05325
FLJ22167	-0.196375
EXOSC7	0.194833333333333
ROR2	1.759125
MAOA	0.57375
TNNT3	1.9185
GYPC	0.04175
C7orf33	1.093
PLIN	3.66533333333333
LOC90826	-0.4345
RNF4	-0.2601
F8A1	0.716833333333333
PLEKHG4	-1.559
GRB2	0.43255
HIST1H2AD	-0.06425
DUS3L	-0.316666666666667
EIF1	-0.510333333333333
RP5-1077B9.4	0.551
FPGT	1.2245
GDF10	1.96416666666667
COQ9	-0.093
GCC2	0.0746428571428572
RARRES3	2.48425
PLXNA1	0.5652
KIAA0100	0.2501
PMF1	0.79675
FNDC1	4.92025
HS2ST1	0.102166666666667
CRELD2	0.63325
C8G	0.0895
CD82	1.92975
LIM2	-0.3935
UNQ6490	-0.0315
MMP16	-0.191
DRD3	-0.042
C5orf26	-1.1055
C11orf73	0.142125
PTP4A2	0.3885
OR4M2	0.3835
HPCA	0.216166666666667
SEC14L1	-0.303
CHFR	0.101375
EMILIN1	0.790875
NDUFS4	-0.653
COL18A1	1.15225
PDZD3	-0.0055
C9orf16	-0.412333333333333
ERBB2IP	-0.0226666666666667
EMX2	3.393
FUS	0.079
TF	-2.1116
CLCN4	1.10983333333333
CXorf56	0.28325
C11orf72	0.2855
ELAC2	-0.2785
NPR1	0.48025
ASS1	0.222833333333333
USP42	0.85025
POLR2J	-1.014
SEC23IP	0.214
UQCRC1	-0.13625
LOC729603	-0.054
C1orf71	-0.53675
POLG	-1.5475
ADAM23	-3.267
TFR2	-0.8875
RICTOR	-0.4563
MGC39606	0.9225
C19orf55	-0.440625
SNAPC1	-1.07916666666667
GNA11	0.840125
CCDC52	-0.505333333333333
FSIP1	-1.1965
UPF3A	-0.754375
IGSF11	-2.12416666666667
LAGE3	0.4135
CHST6	-2.0725
UNC13B	-0.098875
TTLL4	1.22525
ZNF687	0.49825
SDC2	-0.5769
COX7A2	-0.18725
LAMB4	-0.67175
FAM24A	0.35
LRRTM3	-1.28433333333333
GPHB5	-0.15825
OR4C13	0.0305
EIF3EIP	-0.846571428571429
HABP4	0.301
TMEM125	1.99225
CNTN2	0.741625
ASNSD1	0.05925
FUT4	0.26825
ACF	-2.7975
LOC158381	0.156
CDH8	-0.4745
AGPS	-0.527833333333333
C4orf18	1.646625
PECI	-1.1385
UNG	-0.4795
GSTP1	0.386375
DCUN1D5	-0.875666666666667
DKFZP564J0863	-0.05375
SLC9A3R1	-0.7795
BCDO2	-0.7995
CHMP7	-0.413
REM2	-0.254
DNHD1	-0.555375
FKBP4	-0.818875
ZNF350	0.989
MGC11102	-0.266625
BST1	2.23925
KISS1R	0.487
NCR2	0.484
DEFB125	-0.061
UBE2W	0.819125
KRT15	0.526625
C10orf99	0.893
SCN11A	0.102875
GFI1	-0.25625
RDHE2	-0.838166666666667
FHL1	0.956
OSGEP	-0.107166666666667
GATA1	-3.26233333333333
SMC6	-0.3245
TTTY14	-0.72875
LPIN3	0.02875
RPL4	-0.797
RBPMS	-1.2572
PRPF3	0.294166666666667
EMR1	0.3825
SPATA19	-0.206
XCR1	-0.081
IRX3	2.0958
RBM6	0.005
KLF4	-0.00810000000000001
UNC5CL	-0.8295
SEBOX	0.1625
BTK	0.54975
KRCC1	1.63875
C6orf27	0.179
SYTL5	-0.5455
PRND	0.715375
LOC653319	-1.4845
PIGL	-1.56725
HUS1	0.0723333333333333
SFRS6	0.0615
C17orf77	0.3095
UIMC1	-0.414
FXYD2	-1.4622
LOC283152	-0.547
ZNF667	0.635
ZCCHC12	-0.9115
TFEC	4.798
ATP7B	-1.872
POLD2	-0.407
RG9MTD1	0.60075
ACOT2	-0.467666666666667
HIST1H4I	-0.909875
PPARGC1A	-2.3544
ETFA	-1.4787
POLRMT	-0.3825
ZNF146	-0.379875
MIA2	-1.082
KLHL6	0.758
HOXB5	-0.987125
NENF	0.263833333333333
CUGBP1	-0.03575
PRSS22	1.3155
CASC4	0.2947
CUL4B	0.1921
CENPJ	-1.0697
PITX1	-0.451666666666667
FLJ31033	2.04966666666667
CELSR3	-1.81566666666667
ZNF568	0.13375
ITSN1	0.248
EHBP1L1	0.474166666666667
C19orf2	2.007
DCTN1	-0.0315
LIN28B	-3.08933333333333
TNKS2	0.56425
C1QBP	-0.681875
CADPS2	1.1105
SRMS	0.19
GJA9	0.0818333333333333
MGC24975	-0.521333333333333
TRIM45	-1.87633333333333
TSP50	0.30875
TCP1	-0.334
TMED7	0.0447
CMA1	1.012
CENPL	0.477333333333333
PTCRA	0.7865
FST	-4.0975
VWCE	-2.98975
PAWR	-1.18175
ABCC12	-0.363833333333333
LDLR	-0.9189
ASTN2	-0.5505
LOC441212	-0.663875
GPATCH8	-0.42275
TANC2	-1.3965
KIF4A	-0.7645
C18orf18	-0.926
PGM1	0.12375
KIAA0258	0.0715
CPD	-0.87775
SNCAIP	1.9185
DCT	-3.80983333333333
HLA-DOA	2.87945454545455
OR11L1	0.2905
UPK1B	0.0993333333333333
DNAJB4	-0.11575
UGT1A8	-0.36675
HIST1H4L	-0.094
PECR	-1.31983333333333
HSPA2	-0.63225
WFIKKN1	-2.1635
SERP1	0.51375
SYDE2	-1.8725
TACR2	0.02
NUP85	-0.58425
CD177	0.122833333333333
LGR5	-1.9975
PIGG	-0.620166666666667
PTHR1	-1.29616666666667
RAB5A	0.3068
FLJ13224	0.332
USP9Y	-1.763
C7orf53	-0.6795
LRP1B	-0.4285
XAF1	3.6697
ABCG8	0.197
ANKDD1A	0.11
DAND5	-1.2935
SPAG6	0.8565
LINCR	2.291
ZDHHC22	-1.1015
CCDC60	-0.4
THOC7	-0.7005
TCTA	0.582
OR8K3	0.19375
NY-REN-7	-0.3825
B2M	2.668
C6orf141	-2.7955
LPPR4	2.626
SQLE	-1.086875
SEPHS1	0.8175
BTBD14B	0.445785714285714
PLRG1	0.3955
SPG7	-0.3865
ZNF614	-0.562666666666667
PARD6G	1.37883333333333
INPP5B	-0.1078
GRPEL2	-0.28675
PPID	-0.4529
TRIM56	0.37925
UBE2J1	0.60925
IL20RA	2.752
LOC387856	-0.02525
C1orf107	0.5155
UTS2R	1.16625
C19orf22	-0.11475
SAFB2	0.02075
KIAA0652	0.2955
KLRG1	0.709
MS4A8B	0.113666666666667
FRAG1	-0.25125
KIAA1546	0.554
E2F4	-0.1359
CLEC4M	0.243333333333333
BTBD14A	0.55125
KIAA0999	0.4718
GYPA	-3.28483333333333
TAC1	0.1603
TRAIP	-0.609166666666667
KIAA0232	-0.367
ERCC8	-1.374625
GPX4	0.136625
KIAA0368	0.70075
GPR157	0.146166666666667
CTAGE4	-0.293
C9orf30	0.2475
OR52A1	0.557
HSP90B3P	0.2585
ALG9	-1.5374
BTBD10	0.29725
SDK2	0.32025
BAIAP3	-1.0065
RABGGTB	-0.437125
ANKRD40	-0.228666666666667
KRT74	0.3985
CALCOCO2	0.169071428571429
SNCA	-2.89375
TMSL8	-0.59525
C2orf53	0.2975
ESRRB	-0.22675
ARHGAP26	-0.120375
TDRD9	-2.582
HRAS	-0.0075
KLRC4	-0.844
JAGN1	-0.141833333333333
BSDC1	0.327
RNF43	-1.2206
NDUFAF1	0.012
PHF12	0.3605
OR1L3	-0.064
FOLR2	2.11141666666667
LYZL6	-0.2885
tcag7.1260	-0.624
WSB1	-0.299166666666667
PROS1	-0.5005
OSTN	0.4855
PSMB8	2.242
SOCS4	-0.70725
DDIT4L	3.0885
MAS1	0.448
MGC34796	0.22775
CSHL1	0.074
TBCCD1	0.307
ZBTB7C	0.3385
AP2S1	-0.67725
P15RS	0.000199999999999992
VAT1	-0.7192
SHANK3	0.7285
TUFM	-0.420166666666667
THEG	-0.4065
KRT34	-0.24
SGSM3	0.267
TOMM22	0.087125
SOCS3	1.96883333333333
CPO	0.5985
POP4	2.222
BHLHB3	0.816
MALL	1.25525
OR1B1	0.2585
PARK2	0.348333333333333
GPR124	0.734875
LCE1E	-0.358
RUVBL2	-0.96075
CGRRF1	-0.3225
ACPL2	-0.22375
WNT10B	-0.483
BAIAP2L2	-1.8775
ISCA1	0.012
C1orf125	0.258
RPAP1	-0.77525
RAI16	-0.127833333333333
RPL27	-0.654625
NLRP9	0.609
EPN1	-0.058
LOC388610	-0.235875
SLC35A1	-0.2235
GAL	-2.12025
SLC14A2	0.2535
RDH11	-1.406
FAM138F	-0.3935
AUH	-0.00874999999999999
FLJ40243	0.36225
C14orf129	-0.104
MBD2	-0.418166666666667
ABHD14B	0.058375
PIGT	-0.581875
ALS2CR4	-0.063125
ALAS1	0.9399
FOXO1	1.11433333333333
CRLF3	0.346
C20orf107	-0.059
FARS2	0.4345
CCDC28A	0.86025
NPHP3	-0.3695
OR13F1	0.461
TSEN54	-0.48725
DEFB106B	0.0599
OR8B4	0.794
STH	-0.72775
ZC3H14	-0.48275
CBX2	0.5825
TMEM49	-1.483
C6orf21	0.468
FLJ20920	-0.722125
CRTAP	-0.423214285714286
DDX50	0.484
STYXL1	0.04
BLVRB	-0.630666666666667
LOC147650	0.260833333333333
MMP24	-0.0395
GRID1	1.801
BANF1	-0.915666666666667
CTAGEP	-0.059
HMBS	-2.0115
SLC25A24	0.844166666666667
C14orf50	-0.4255
MRO	1.25016666666667
SLC25A15	-0.519
FAM84B	0.5577
TDP1	0.1145
C16orf78	-0.059
C11orf57	-0.5555
RFK	-0.5315
ZFYVE9	-0.9795
STCH	-0.0973999999999999
WIBG	0.026
LOC283871	-0.507166666666667
GBA2	-0.514
NDUFB3	0.24125
HSD17B13	-0.0585
GRIN3A	2.31766666666667
FMNL1	0.995666666666667
SEPT7	-0.4018
GNLY	4.5025
GRAMD1C	0.703
ZNF165	1.112
USP38	0.30525
FAM83A	-2.56816666666667
C14orf24	0.326666666666667
ARMCX3	1.020125
ARHGDIB	0.985666666666667
AK1	0.9045
KIAA1045	1.29025
DNAJB13	-0.0776666666666667
NEU2	-0.0445
HIST1H4B	-0.544666666666667
FAM20B	0.2904
HES2	0.984642857142857
FAM73B	-0.0489
LOC388381	-0.37375
INTS7	0.253818181818182
AMPH	0.94325
ZNF775	-0.0675
UCKL1	-0.0821666666666667
C10orf97	-0.083
C1orf161	0.04375
ALDH1L1	0.2915
FLJ39378	-0.64825
SLC23A1	-1.064
RBM4B	-0.09175
THAP4	0.638833333333333
OGFRL1	2.68425
KIAA0831	-0.0815
PPP1R15A	-0.1245
C1orf96	0.643714285714286
C12orf11	-1.99525
BMF	0.635375
MAN1A1	-1.133125
KIAA1600	0.968666666666667
NLGN4X	-0.64275
ALOX12	-0.451333333333333
RB1CC1	0.2751
NEIL2	0.1604
EIF4E	0.303818181818182
ABHD5	0.283
EXOC4	0.2085
CIP29	-0.130666666666667
BATF2	3.62425
SLC29A4	0.170625
HTR4	0.26325
EMB	0.3175
TRAF6	0.44475
LMNB1	-1.8565
FAM19A5	0.70125
SHE	1.6535
PIK3C2B	1.41025
C15orf15	-0.5716
USP15	0.1895
TCEAL2	-0.2815
C5orf39	1.04766666666667
PTGER2	0.264
SLC31A1	0.722
IFT172	1.0965
ADAM29	0.35475
GFOD1	0.7935
ST7L	0.209666666666667
C15orf26	-2.2595
PKN3	0.67725
CNTD1	-0.273666666666667
COMMD1	0.516375
NTRK2	3.04291666666667
FOXN3	0.67325
MFGE8	0.3147
PFKFB2	0.979166666666667
TAS2R4	-0.29025
ENTHD1	1.73183333333333
PRMT5	-0.894625
MGC16384	-0.9
LOC442229	-0.5725
TSKU	0.25175
KRTCAP3	3.026625
PDLIM1	0.3013
KCNS2	0.1635
RNF126	-0.0651666666666667
CEP63	0.228
CLIC4	0.378375
hCG_1990170	4.1745
ACR	0.8424
KLK7	3.412
ALOX5AP	4.128875
RIPK3	3.14325
TAS2R9	0.3015
C19orf18	0.648
BIRC6	-0.219428571428571
ZNF16	0.487
RFT1	-0.47325
SLC8A2	-0.33775
TACC1	0.5805
ITGAD	1.26125
SAMHD1	3.00875
SH3PXD2B	0.8776
EPC2	1.307
C20orf85	0.17275
ATP13A2	-0.2185
KRT4	0.425125
CAPNS1	-0.5295
MDM2	-0.354833333333333
PCDH20	0.3155
KCNK9	0.314
OR2C1	-0.00699999999999999
KLHDC3	0.00516666666666666
IPPK	0.5675
EFHD2	1.077625
GALR3	1.12425
NBEA	-1.86683333333333
ABCA6	3.5877
CLDN3	1.50616666666667
AKT2	-0.8065
EGFR	0.4489
RBM16	0.318125
ZDHHC3	-0.262
SLC25A4	-2.152
CYB5B	-0.7635
CPXM1	1.182
NDRG1	0.365153846153846
FLJ43826	0.2275
OR5L2	0.0818333333333333
FARP2	-0.0104
MRPL46	-0.295666666666667
LDHAL6B	0.452333333333333
MAPKAPK3	0.187666666666667
NCAM2	-2.70725
PRKD2	0.898
ZFP36L1	0.9712
CYSLTR1	0.53775
OR4C3	0.06275
HIST1H2AJ	0.0795
CCNB2	-0.930555555555555
ZNF10	-0.37425
TMEM175	0.337
FAM134A	0.441833333333333
TIGD4	-0.9425
PCNP	0.38025
MGC39715	-1.261
LQK1	-2.759
CREB1	0.454
TMPRSS3	1.32575
C4orf32	0.867125
LAT	0.447416666666667
KCNA3	0.6125
SKIV2L2	-1.0915
ROPN1B	1.66925
tcag7.23	-1.069
CDT1	-1.897
ZHX2	0.784375
CD28	-0.4295
ZNF624	0.506
SEPT2	0.547833333333334
SOHLH2	-1.896875
MCOLN3	-0.7425
UNQ1945	0.146
MASP2	-1.07
ZNRF3	-1.0036
GPATCH3	0.084
AGL	0.04475
QRICH2	-0.165
PSD4	1.16033333333333
CCNB1IP1	-1.6455
ENPP7	0.16575
OBFC1	-0.60025
KCNG3	-0.968
C14orf79	-0.580333333333333
ENPEP	1.10466666666667
SCT	0.5105
SKI	0.65025
SEC61G	-0.641
CAPN11	0.442
ATXN7L3	-0.0895
DBNDD1	-0.314833333333333
FAIM	1.11675
ANKRD36	-0.823
GABRP	4.96433333333333
TACSTD2	1.70083333333333
EIF3J	-0.5125
PPP2R2A	-1.1895
TEKT4	-0.6105
PVALB	-3.48016666666667
F10	-1.52866666666667
FAM134C	0.6837
COMP	4.225
EFCBP1	-2.761375
SCLT1	1.209875
TAL1	-1.6225
ACSL1	1.989
ABCC5	-0.142583333333333
ABL1	-0.0808333333333334
RBBP7	0.5385
PTPRG	-1.105
NCOR1	-0.1882
SPINK4	-1.88416666666667
TXNRD1	-1.627
TNRC15	0.026875
C9orf138	1.333875
UBE2H	0.547833333333333
BRDT	-0.229166666666667
C8orf31	-0.00825
CCNE2	-1.94354545454545
SLC6A8	-0.782125
CALCR	-3.3565
PPP1CB	1.03475
ABHD8	-0.373
ARF5	0.4603
SLC24A4	1.30525
CCT3	0.41325
ZNF121	0.06375
SLC3A2	-0.9896
OR13A1	0.384
SLC5A10	-0.364
RAD50	-0.583625
IER5	1.586875
MTHFD1L	-1.313375
MBTPS2	0.3815
MVK	-0.592375
NCL	0.4276
PSMD10	-0.03625
MOBP	0.0815
FLJ32894	0.865
HRH1	0.592333333333333
C5orf30	0.04575
NUDT16L1	-0.0085
RASGRP3	3.6285
PRKRIP1	-0.3235
CCDC75	0.724
LOC253970	-0.39975
KIAA1239	2.19575
MED21	-0.928
SYT11	1.0355
NTSR2	0.357
EGFL11	-0.2055
CXorf59	1.7045
OR2A25	-0.01225
SPTBN2	0.21875
LRMP	0.365
RNF111	-0.2265
PTH	0.3745
LOC619208	0.237333333333333
KIAA0895	0.213
RANBP5	-1.6285
P2RY10	2.85466666666667
NME5	1.4125
DDX21	0.56575
LRSAM1	-0.182
HDAC11	0.116
VMO1	2.693
NOLA2	-0.244166666666667
ADAR	1.90991666666667
MTO1	-0.936166666666667
SF4	0.325
P2RX1	-0.005
HBM	0.316
EN2	1.558
C14orf172	-0.021
TM9SF2	0.0097
INHBE	-0.400833333333333
TCTE3	0.28375
TOX2	-1.20325
CTAGE3	0.55075
HBB	3.8464
MED15	-0.499
CASR	0.29375
C6orf66	-0.504333333333333
MTPN	0.445875
UNC50	0.15525
C21orf33	0.386125
IRF2	1.45225
PGR	-2.86366666666667
GPR84	3.2885
CROCCL1	-1.40625
SRPX	-0.52
BRE	0.0113333333333333
FGF10	0.64475
SDC3	0.4135
ZRSR1	1.20416666666667
DKFZP434P211	-0.036375
SOX6	1.066
RPUSD2	-0.25375
C14orf173	-0.4175
MAPK11	-0.198833333333333
TBC1D22A	0.851
FAM123A	-0.5925
COL4A6	-3.623
TOMM70A	0.38175
NAB1	0.249375
MGC16385	0.254625
TSPAN18	-0.0763333333333333
MED31	-0.77175
PLG	-0.34225
CAPSL	0.754
ZNF532	1.4654
ASB14	0.2605
CA8	-1.809
NUDT16P	0.699
SLFN11	-0.312
LRRIQ2	-0.372375
NOL7	-0.0143333333333333
BRMS1L	-0.225125
JARID1A	0.0968333333333333
PANK2	-0.5395
ICAM3	0.10775
MDS1	-0.395
TAF8	-0.3665
RNF139	0.52375
ZNF594	-0.276166666666667
ADAM8	3.418625
SFTPC	0.00862499999999999
MAN2B2	0.69075
RGS12	0.4209375
EIF1AY	-4.16166666666667
LRRIQ1	-0.944333333333333
GPR150	1.422
CCDC21	-0.499166666666667
PRRG3	0.39125
SAA4	-1.26425
RAPGEF5	1.24375
ZCCHC2	1.4255
MGC39372	0.2435
PPP4R2	0.348
CDCA2	-1.1875
OR4D5	0.773166666666667
PTGFRN	1.2871
SIGLEC5	2.5005
C19orf61	-0.465833333333333
NMUR2	0.0425
KIAA1586	-0.804833333333333
DAGLA	0.421833333333333
CHCHD6	-0.3915
GPR32	0.4235
NEUROD6	-0.0406666666666667
SLC2A4RG	0.369
CA5B	0.094
FBXL3	0.50375
MPHOSPH9	-1.23225
HMG2L1	-0.197
HCN4	0.871
CEACAM19	1.751
SH2D4B	1.1055
HFE2	-0.2785
TGM4	-0.1745
LYPD2	0.139
TBC1D15	0.05825
MRPS21	0.3057
NONO	-0.213
CLEC5A	3.228875
ITCH	0.3268
MGAT3	1.94416666666667
MBP	0.52275
RPP25	0.46525
SOSTDC1	-1.00775
HRC	-1.755
TRIM48	0.491
TMEM133	-0.38725
ECEL1P2	-0.9655
HOXC11	-0.084
DOK5	0.55425
HELZ	-0.421333333333333
LOC348180	0.25975
MGC33894	-0.089
ADRB3	0.1755
DMD	0.74125
PTRH2	-0.48275
MPEG1	3.5305
NDUFA12	-0.124333333333333
KRTAP2-4	0.257916666666667
STAMBPL1	-0.289666666666667
ADCY2	0.323833333333333
UNQ6125	0.247
KLHL20	0.278666666666667
SRM	-0.0455
OTC	0.08575
TMIE	0.617833333333333
SNX8	0.929
LIPK	0.292
CHURC1	-0.430833333333333
KLC2	0.219333333333333
HDAC1	-0.6225
FAM128A	-0.614333333333333
FNDC3B	0.4837
MTCP1	-0.6595
WFDC10B	0.2518
PCDHGB3	0.359
ATRNL1	-2.089
CAV2	0.304
MED26	0.0943333333333333
DUS1L	0.19675
CHRM3	-1.74
NEK9	0.27525
WARS2	-0.31325
TBX22	-0.1
TOMM40	-1.003
RP6-213H19.1	-0.846833333333333
TUBGCP5	-0.257
IGSF6	4.94825
TPPP	0.4525
UNQ6190	0.315
GSTM5	0.22175
BTD	-0.125
PDCD1LG2	1.57366666666667
SNRPB2	-0.239666666666667
ERICH1	-0.3495
APOA4	-1.526375
HOXA11	-1.1095
NARG1	0.1085
MKX	0.000500000000000028
RAB28	-0.323214285714286
PKP3	1.543
SH3GL2	-2.0015
CTSO	3.05775
RPN2	-0.226
IL28RA	0.079
SFMBT1	0.24675
WDR57	-0.49475
FER1L3	0.691
HSF5	0.228833333333333
TTC9B	0.128
C4BPA	-2.79333333333333
ALB	-4.16628571428571
SORBS3	-0.918125
UPF2	0.3945
JPH1	-0.4055
AGBL2	-0.3055
DOPEY1	1.6595
TERF1	-0.563416666666667
KIF22	-0.202833333333333
NINJ1	0.96525
SEC61A2	-0.10725
HIST1H1D	-0.752666666666667
SFXN4	-0.71175
UCP3	0.3741
ZNF703	0.0983333333333333
MYL6B	-0.939
TREM1	2.9835
OR52E6	0.372
CKMT2	1.6115
HLA-C	3.240875
SLC13A3	-0.301
TIMP4	0.31125
SLIT2	1.8065
RSF1	0.126388888888889
LONRF1	-1.20335714285714
MON1A	-0.499166666666667
CACNG6	-1.01133333333333
DPPA4	-5.01166666666667
ZSWIM3	-0.08875
ZNF804A	0.721166666666667
CCIN	0.9985
SLC25A31	-0.25025
KCNMB4	-1.6845
RABL5	-0.027875
GALNS	-0.5145
STX6	1.140625
HIST1H1C	-2.11116666666667
CIDEB	0.065375
CASP4	1.1515
PDK3	0.2716
KCNJ11	0.0365
TPR	0.530125
ZSCAN20	-0.488
MTX2	-0.0235
HIST1H2BH	-0.15875
LOC283767	1.586
LYRM7	-1.37361111111111
BRD3	0.6755
HIST1H2BO	-0.5475
MAGEB10	0.4015
SLC45A1	0.35075
SERPINA3	-0.8266
KIAA0143	1.11
KCNJ16	1.87883333333333
KRT79	-0.63425
FABP2	-0.6105
NUT	-0.26925
ZNF57	-0.5925
FBXL4	0.175625
CLEC9A	1.463
UGT8	-0.582666666666667
BMP2K	0.627
MAPK4	-1.71075
SLC25A23	-1.0429
HINT1	-0.7956
KRTAP13-1	0.094
SFXN5	-0.018
CHCHD2	0.114
FAM3D	1.036
NDP	-2.675
RHOBTB1	0.539
SLC4A4	-0.432875
RPL38	-0.45725
HTF9C	-0.390666666666667
AP2A2	0.591375
ZBTB46	0.073
MAP7D1	0.95025
AOX1	0.220333333333333
CYR61	0.37575
DTNA	0.514
JRKL	-0.15925
TMOD3	-0.486
EEA1	-0.0018
ADCK5	0.06
IL1R1	1.91016666666667
KLK3	0.405071428571429
HRSP12	0.47475
KTN1	-0.5615
LOH11CR2A	1.07
RELL2	-0.5545
MAB21L1	0.396
C20orf59	-0.325166666666667
PHKB	-0.13125
ADAM2	-1.38866666666667
TBC1D8B	1.19016666666667
FAM13A1	-0.0986875
LAPTM4B	0.0775833333333333
LCN8	-0.0035
TMEM147	-0.3015
SYT4	-0.329833333333333
XPO7	-1.1435
C9orf62	1.44675
GPR75	0.292
TRIM5	1.453125
APOC1	0.247166666666667
RNASE4	-0.815333333333333
PARD6B	-2.07225
ARID1A	0.00591666666666667
TPD52L3	-0.0402
RRAGB	0.446
RCN2	-0.990833333333333
HIST2H2BE	0.1365625
STARD7	0.01925
SHMT2	-0.97425
KIAA1751	-0.197833333333333
MLYCD	0.385625
LOC162632	-0.9135
UQCRH	-1.45225
RP11-217H1.1	1.0419375
SDHA	-0.624666666666667
NCLN	-0.3219
ZNF17	0.0301666666666666
RCBTB2	-0.88325
VEGFB	-0.4396
RP4-747L4.3	2.274
COLQ	0.0121
MPN2	-0.634666666666667
DRG2	-0.72425
KLRB1	4.70725
ALPK2	-1.34575
DNASE2B	0.5355
FLJ23834	-0.0893333333333333
AXUD1	1.22666666666667
SAFB	-0.2192
NSUN4	-0.18825
RFX2	0.0443333333333333
MAPK8IP1	-0.163333333333333
FANCD2	-0.538642857142857
ANKZF1	-0.827666666666667
C19orf50	-0.468875
DUSP8	1.056125
SENP5	0.45425
NFKBIL2	0.1065
LBR	0.31575
IGFL1	0.0755
LZTS2	0.065
IL2RG	1.1155
CCDC51	-0.3005
KLF3	0.511125
ANKRD37	-0.90375
KCTD14	1.53333333333333
FZR1	0.174416666666667
SLC44A4	-1.4195
ESPL1	-0.579375
GMPR2	-0.7639
TBC1D19	-1.0385
ERGIC1	-0.519111111111111
ERBB4	-1.0395
TSPAN32	1.26625
MAP4	0.622625
GPHN	-1.088
SLC6A2	0.708125
HIVEP1	0.61375
DFFB	0.22
EIF4EBP2	1.208125
DMRT1	0.863
HSPB6	0.10125
IER2	0.502
AIFM1	0.15075
WWC2	-0.872333333333333
MRPL4	-0.83575
FLJ21062	0.0411666666666667
EPB41L4A	-0.34675
SH2D6	0.13325
TAF4B	0.25475
GAL3ST3	-0.511
MALT1	-0.0688333333333333
RTDR1	-0.15775
ARVCF	-0.44825
MEX3B	-1.40483333333333
FBXO16	-1.86775
KIF7	-0.8455
C1QC	4.1255
ZNF783	-0.2975
ZNF85	-0.722
MMP13	0.847
KIAA0329	-0.494625
RTP3	-0.1495
ZBED3	-0.584
CLGN	-4.4665
SLC25A37	-0.758875
hCG_18290	-0.61825
OR5AS1	-0.004
SMARCC2	0.506583333333333
FAM109A	0.134
CCDC12	-0.24125
USF2	0.1147
DEPDC7	-1.9555
C20orf24	0.313833333333333
JMJD3	0.653
DSP	1.82621428571429
SLIC1	1.204875
FAM20A	3.24675
IRF2BP2	0.421875
ZNF230	-0.287
MSN	0.869928571428571
SLC9A5	-1.9395
EPDR1	-0.9942
MUSK	0.2265
ZNF434	0.263666666666667
