Hybridization REF	TCGA-BH-A18Q-11A-34R-A12D-07
NEFH	-2.73475
CTDSP2	1.109
PGBD5	-1.18566666666667
CCNY	0.00692857142857143
RMND5B	0.25025
ZNF257	-0.9435
FLJ22167	0.105625
EXOSC7	-0.247
ROR2	0.850125
MAOA	2.53225
TNNT3	2.08233333333333
GYPC	0.46075
C7orf33	0.641
PLIN	4.31483333333333
LOC90826	0.32575
RNF4	-0.4069
F8A1	0.280166666666667
PLEKHG4	-0.059
GRB2	-0.5047
HIST1H2AD	-1.6555
DUS3L	-0.348
EIF1	-0.0965
RP5-1077B9.4	-0.908166666666667
FPGT	0.888
GDF10	3.50483333333333
COQ9	-0.292
GCC2	0.4235
RARRES3	2.325125
PLXNA1	-0.2878
KIAA0100	-0.537
PMF1	-0.14775
FNDC1	3.30425
HS2ST1	-0.00599999999999997
CRELD2	0.02675
C8G	-1.557
CD82	1.23925
LIM2	-0.9815
UNQ6490	0.306
MMP16	0.356
DRD3	-0.1745
C5orf26	1.1595
C11orf73	-0.446875
PTP4A2	-0.264625
OR4M2	0.0935
HPCA	-1.599
SEC14L1	-0.568666666666667
CHFR	-0.82925
EMILIN1	0.773
NDUFS4	-0.12175
COL18A1	-0.075375
PDZD3	0.1756
C9orf16	-0.4355
ERBB2IP	0.0285
EMX2	4.146
FUS	-0.98325
TF	-1.3305
CLCN4	0.601666666666667
CXorf56	0.0125
C11orf72	0.39025
ELAC2	-0.467333333333333
NPR1	1.51375
ASS1	-1.19566666666667
USP42	0.059375
POLR2J	-1.022
SEC23IP	0.0713333333333333
UQCRC1	-0.46125
LOC729603	-0.536
C1orf71	-0.480625
POLG	-3.0625
ADAM23	-3.85125
TFR2	-1.52375
RICTOR	-0.2029
MGC39606	2.10325
C19orf55	-0.288875
SNAPC1	-1.11583333333333
GNA11	0.9475
CCDC52	-0.480833333333333
FSIP1	1.0605
UPF3A	0.460875
IGSF11	-1.96583333333333
LAGE3	-0.949
CHST6	-2.5905
UNC13B	-0.138625
TTLL4	-0.58225
ZNF687	-0.137125
SDC2	0.3301
COX7A2	-1.07075
LAMB4	0.7005
FAM24A	0.1995
LRRTM3	-1.96916666666667
GPHB5	0.0025
OR4C13	0.2285
EIF3EIP	0.790857142857143
HABP4	0.5945
TMEM125	2.545
CNTN2	0.45225
ASNSD1	0.222
FUT4	-0.406
ACF	-3.72675
LOC158381	0.6205
CDH8	-0.234
AGPS	-1.24033333333333
C4orf18	3.533625
PECI	0.144833333333333
UNG	-0.697125
GSTP1	0.2655
DCUN1D5	-1.43983333333333
DKFZP564J0863	-1.68975
SLC9A3R1	-0.374625
BCDO2	0.62625
CHMP7	-0.185375
REM2	-1.023
DNHD1	0.074375
FKBP4	-1.31
ZNF350	1.69125
MGC11102	-0.619875
BST1	1.80875
KISS1R	0.615
NCR2	-0.0195
DEFB125	-0.741
UBE2W	0.160125
KRT15	4.02
C10orf99	0.1505
SCN11A	0.89975
GFI1	-1.70225
RDHE2	1.495
FHL1	2.24316666666667
OSGEP	-0.152833333333333
GATA1	-3.47983333333333
SMC6	-1.647
TTTY14	-0.8035
LPIN3	0.127
RPL4	0.2818
RBPMS	0.7729
PRPF3	-0.467333333333333
EMR1	-2.091
SPATA19	0.03925
XCR1	-0.056
IRX3	1.9522
RBM6	0.272
KLF4	1.4004
UNC5CL	-0.31475
SEBOX	0.076
BTK	-1.4315
KRCC1	1.567
C6orf27	0.434
SYTL5	-0.1115
PRND	3.474875
LOC653319	-0.8065
PIGL	-1.402875
HUS1	-1.14366666666667
SFRS6	0.318916666666667
C17orf77	-0.204
UIMC1	0.226
FXYD2	-1.5196
LOC283152	0.069
ZNF667	0.90675
ZCCHC12	-0.00199999999999999
TFEC	1.4447
ATP7B	-0.293166666666667
POLD2	-1.269
RG9MTD1	-0.3765
ACOT2	0.0348333333333333
HIST1H4I	-1.879625
PPARGC1A	0.0476
ETFA	-0.9222
POLRMT	-0.56775
ZNF146	-0.082375
MIA2	0.4535
KLHL6	-1.17883333333333
HOXB5	-0.403125
NENF	0.391333333333333
CUGBP1	-0.9105
PRSS22	1.0085
CASC4	1.0149
CUL4B	0.0738
CENPJ	-1.1304
PITX1	-1.874
FLJ31033	0.537333333333333
CELSR3	-2.43466666666667
ZNF568	1.233
ITSN1	0.381333333333333
EHBP1L1	-0.479166666666667
C19orf2	-0.72075
DCTN1	-0.08825
LIN28B	-4.8955
TNKS2	0.09375
C1QBP	-1.051625
CADPS2	1.25725
SRMS	-0.09475
GJA9	0.018
MGC24975	-0.734666666666667
TRIM45	0.16
TSP50	1.72325
TCP1	-1.20325
TMED7	0.0456
CMA1	1.6665
CENPL	-2.0945
PTCRA	-0.453
FST	-2.685
VWCE	-1.93125
PAWR	-0.2575
ABCC12	1.0685
LDLR	-0.5407
ASTN2	0.5569
LOC441212	-0.3235
GPATCH8	-0.053
TANC2	-0.83575
KIF4A	-3.5325
C18orf18	0.02325
PGM1	-0.19475
KIAA0258	0.16975
CPD	0.069125
SNCAIP	0.8965
DCT	-4.03633333333333
HLA-DOA	2.32095454545455
OR11L1	0.362
UPK1B	-0.403166666666667
DNAJB4	1.611875
UGT1A8	0.036
HIST1H4L	-1.223
PECR	-0.617
HSPA2	1.45425
WFIKKN1	-1.4955
SERP1	0.893125
SYDE2	1.383
TACR2	1.087
NUP85	-0.8545
CD177	-0.394333333333333
LGR5	-1.85016666666667
PIGG	-0.211416666666667
PTHR1	0.3035
RAB5A	0.4838
FLJ13224	-0.2295
USP9Y	-2.0704
C7orf53	-0.422
LRP1B	1.954
XAF1	1.7807
ABCG8	-1.594
ANKDD1A	0.742
DAND5	-1.5905
SPAG6	0.737333333333333
LINCR	2.4965
ZDHHC22	-1.262125
CCDC60	-1.037
THOC7	-1.43033333333333
TCTA	0.7095
OR8K3	-0.23525
NY-REN-7	-1.10033333333333
B2M	1.07816666666667
C6orf141	-1.421375
LPPR4	2.304
SQLE	-2.273
SEPHS1	-0.773
BTBD14B	0.115857142857143
PLRG1	0.15225
SPG7	-0.3445625
ZNF614	-0.0471666666666667
PARD6G	1.9895
INPP5B	-0.7918
GRPEL2	-0.62775
PPID	-0.4625
TRIM56	0.26025
UBE2J1	0.00074999999999998
IL20RA	5.656
LOC387856	0.4035
C1orf107	0.113333333333333
UTS2R	0.6845
C19orf22	-1.23825
SAFB2	0.06125
KIAA0652	-0.2835
KLRG1	-0.990166666666667
MS4A8B	0.8605
FRAG1	0.185
KIAA1546	0.47975
E2F4	-0.9779
CLEC4M	0.572166666666667
BTBD14A	-1.67925
KIAA0999	1.2584
GYPA	-4.36166666666667
TAC1	2.7297
TRAIP	-1.6805
KIAA0232	0.6989
ERCC8	-1.52825
GPX4	0.536375
KIAA0368	0.321625
GPR157	-0.820333333333333
CTAGE4	1.077
C9orf30	-1.66016666666667
OR52A1	-0.049
HSP90B3P	-0.7325
ALG9	-0.5558
BTBD10	0.18525
SDK2	0.27925
BAIAP3	0.42525
RABGGTB	-0.936
ANKRD40	-0.307
KRT74	1.1275
CALCOCO2	0.530857142857143
SNCA	-1.71725
TMSL8	-2.98825
C2orf53	-0.21
ESRRB	-0.4005
ARHGAP26	-0.321
TDRD9	-2.6375
HRAS	-0.0483333333333333
KLRC4	-1.3785
JAGN1	-0.253833333333333
BSDC1	0.62
RNF43	0.7395
NDUFAF1	0.38575
PHF12	0.104
OR1L3	-0.3535
FOLR2	1.81625
LYZL6	0.0726666666666667
tcag7.1260	-0.737
WSB1	-0.223666666666667
PROS1	0.9641
OSTN	-0.078
PSMB8	0.446
SOCS4	0.12975
DDIT4L	2.632
MAS1	-0.6065
MGC34796	0.1095
CSHL1	0.179166666666667
TBCCD1	0.015
ZBTB7C	-0.129
AP2S1	-0.99125
P15RS	-0.5022
VAT1	-0.3046
SHANK3	1.32416666666667
TUFM	-0.7285
THEG	0.1575
KRT34	-1.63975
SGSM3	0.203875
TOMM22	-0.4925
SOCS3	1.8725
CPO	0.901
POP4	-0.107
BHLHB3	3.46025
MALL	2.144
OR1B1	0.3395
PARK2	1.2365
GPR124	2.0775
LCE1E	-0.3005
RUVBL2	-0.96725
CGRRF1	0.715
ACPL2	0.23275
WNT10B	-1.354375
BAIAP2L2	-1.945875
ISCA1	0.7095
C1orf125	0.5595
RPAP1	-0.45875
RAI16	0.165333333333333
RPL27	-0.046
NLRP9	0.3755
EPN1	-0.1145
LOC388610	0.05
SLC35A1	0.9882
GAL	-3.66875
SLC14A2	0.0975
RDH11	-1.0655
FAM138F	-0.448
AUH	0.7115
FLJ40243	0.34675
C14orf129	-0.278
MBD2	-0.772166666666666
ABHD14B	0.23575
PIGT	-0.3275
ALS2CR4	1.04225
ALAS1	-0.2472
FOXO1	2.3505
CRLF3	-0.058
C20orf107	-0.0075
FARS2	0.61775
CCDC28A	1.064
NPHP3	0.93075
OR13F1	0.094
TSEN54	-0.852
DEFB106B	-0.1397
OR8B4	0.016
STH	-0.38625
ZC3H14	-0.23925
CBX2	-0.658
TMEM49	-0.974
C6orf21	0.1915
FLJ20920	0.6015
CRTAP	0.701214285714286
DDX50	0.202
STYXL1	-0.07425
BLVRB	-0.0203333333333333
LOC147650	0.783333333333333
MMP24	0.35225
GRID1	2.88183333333333
BANF1	-0.517166666666667
CTAGEP	-0.1135
HMBS	-2.57525
SLC25A24	0.286
C14orf50	1.55675
MRO	0.468333333333333
SLC25A15	-1.44575
FAM84B	1.1387
TDP1	-1.473
C16orf78	0.0498333333333333
C11orf57	-0.3955
RFK	-0.936125
ZFYVE9	0.074625
STCH	-1.2644
WIBG	-0.00875
LOC283871	-1.40833333333333
GBA2	-0.5934
NDUFB3	-0.88675
HSD17B13	0.98275
GRIN3A	1.84866666666667
FMNL1	-1.198
SEPT7	0.087
GNLY	3.835
GRAMD1C	2.0795
ZNF165	-0.457
USP38	0.128
FAM83A	-3.504
C14orf24	0.583416666666667
ARMCX3	0.785125
ARHGDIB	0.064
AK1	-0.12825
KIAA1045	2.68775
DNAJB13	-0.326
NEU2	-0.0025
HIST1H4B	-1.50866666666667
FAM20B	-0.5896
HES2	0.733
FAM73B	-0.1529
LOC388381	0.10625
INTS7	-1.33672727272727
AMPH	1.2195
ZNF775	0.096625
UCKL1	-0.448666666666667
C10orf97	0.35525
C1orf161	-0.254
ALDH1L1	2.0825
FLJ39378	0.075125
SLC23A1	-2.066
RBM4B	0.67725
THAP4	-0.0278333333333333
OGFRL1	0.7915
KIAA0831	0.4055
PPP1R15A	1.59016666666667
C1orf96	-0.673071428571429
C12orf11	-2.1605
BMF	0.141375
MAN1A1	0.22125
KIAA1600	1.0335
NLGN4X	0.34925
ALOX12	-0.835166666666667
RB1CC1	0.0329
NEIL2	0.5224
EIF4E	-0.154409090909091
ABHD5	-0.159
EXOC4	-0.390833333333333
CIP29	-0.2395
BATF2	0.63275
SLC29A4	0.149
HTR4	0.2105
EMB	-1.1045
TRAF6	0.7525
LMNB1	-3.9125
FAM19A5	-0.8915
SHE	2.53375
PIK3C2B	1.431
C15orf15	-0.1117
USP15	0.2351
TCEAL2	3.46625
C5orf39	0.162166666666667
PTGER2	-0.82725
SLC31A1	-0.7343125
IFT172	0.8185
ADAM29	0.114
GFOD1	0.6825
ST7L	0.395
C15orf26	-2.7255
PKN3	-0.754
CNTD1	2.8955
COMMD1	0.495
NTRK2	4.5815
FOXN3	1.094
MFGE8	0.7148
PFKFB2	0.6285
TAS2R4	-0.699
ENTHD1	-0.8365
PRMT5	-0.992875
MGC16384	-1.03375
LOC442229	-1.27075
TSKU	0.07075
KRTCAP3	1.8195
PDLIM1	1.1297
KCNS2	-0.2225
RNF126	-0.412666666666667
CEP63	-0.1585
CLIC4	-0.176
hCG_1990170	3.388
ACR	0.797
KLK7	4.252
ALOX5AP	2.704625
RIPK3	2.93275
TAS2R9	-0.0935
C19orf18	1.9955
BIRC6	0.129857142857143
ZNF16	0.813
RFT1	-1.04825
SLC8A2	-0.72875
TACC1	0.988625
ITGAD	1.094
SAMHD1	0.64775
SH3PXD2B	0.7905
EPC2	1.498
C20orf85	0.3895
ATP13A2	-0.256333333333333
KRT4	1.147125
CAPNS1	-0.14475
MDM2	-0.667083333333333
PCDH20	1.295
KCNK9	0.3525
OR2C1	0.0055
KLHDC3	-0.606166666666667
IPPK	-0.374
EFHD2	-0.748625
GALR3	0.68625
NBEA	1.63483333333333
ABCA6	5.0194
CLDN3	1.19233333333333
AKT2	-0.315142857142857
EGFR	0.802
RBM16	0.609625
ZDHHC3	-0.0544
SLC25A4	0.0045
CYB5B	-0.2625
CPXM1	0.29275
NDRG1	-0.566615384615385
FLJ43826	0.1205
OR5L2	-0.2875
FARP2	0.0704
MRPL46	-0.269666666666667
LDHAL6B	-0.902333333333333
MAPKAPK3	-0.8545
NCAM2	-0.65125
PRKD2	0.5365
ZFP36L1	2.3374
CYSLTR1	-0.5705
OR4C3	0.1695
HIST1H2AJ	0.5205
CCNB2	-3.71977777777778
ZNF10	0.730125
TMEM175	0.6
FAM134A	0.357666666666667
TIGD4	-0.05
PCNP	0.5915
MGC39715	1.63025
LQK1	-2.7705
CREB1	0.5036
TMPRSS3	0.289
C4orf32	1.34125
LAT	-1.03116666666667
KCNA3	0.7215
SKIV2L2	-0.878
ROPN1B	2.3285
tcag7.23	0.4025
CDT1	-3.367625
ZHX2	1.133125
CD28	-3.14875
ZNF624	1.04375
SEPT2	0.0020833333333333
SOHLH2	-0.069875
MCOLN3	-0.121428571428571
UNQ1945	0.0315
MASP2	-0.378
ZNRF3	1.0049
GPATCH3	-0.24525
AGL	0.415
QRICH2	-0.024
PSD4	0.919666666666667
CCNB1IP1	-0.63
ENPP7	-0.003
OBFC1	0.12975
KCNG3	-2.6065
C14orf79	0.678083333333333
ENPEP	1.62016666666667
SCT	0.059
SKI	0.775125
SEC61G	-2.369
CAPN11	2.9165
ATXN7L3	-0.8265
DBNDD1	-1.2505
FAIM	0.384
ANKRD36	-0.4015
GABRP	4.49316666666667
TACSTD2	2.6515
EIF3J	-1.04975
PPP2R2A	-0.4675
TEKT4	-0.258333333333333
PVALB	-2.99766666666667
F10	-0.0811666666666667
FAM134C	0.6798
COMP	1.344125
EFCBP1	-0.3610625
SCLT1	0.531875
TAL1	-0.646
ACSL1	2.7085
ABCC5	-0.138166666666667
ABL1	-0.512222222222222
RBBP7	-0.311916666666667
PTPRG	-0.35775
NCOR1	0.2261
SPINK4	-2.35716666666667
TXNRD1	-1.6612
TNRC15	0.688
C9orf138	1.39425
UBE2H	-0.173333333333333
BRDT	1.1115
C8orf31	-0.03975
CCNE2	-3.12118181818182
SLC6A8	-1.829
CALCR	-4.136
PPP1CB	1.0925
ABHD8	-0.276
ARF5	-0.3121
SLC24A4	0.3505
CCT3	-1.11675
ZNF121	-0.047125
SLC3A2	-1.0638
OR13A1	-0.043
SLC5A10	0.01575
RAD50	-0.392
IER5	0.7485
MTHFD1L	-2.513375
MBTPS2	-0.435
MVK	-0.248
NCL	-0.1229
PSMD10	-0.31025
MOBP	0.296285714285714
FLJ32894	0.934
HRH1	-0.970166666666667
C5orf30	0.37525
NUDT16L1	0.1268
RASGRP3	3.81983333333333
PRKRIP1	-0.5028
CCDC75	0.0595
LOC253970	-0.8565
KIAA1239	2.88975
MED21	-0.4515
SYT11	-0.4155
NTSR2	0.113
EGFL11	1.0125
CXorf59	-0.685
OR2A25	0.21825
SPTBN2	-1.03475
LRMP	-0.735166666666667
RNF111	0.12375
PTH	0.8325
LOC619208	0.7695
KIAA0895	0.3015
RANBP5	-1.03575
P2RY10	0.729166666666667
NME5	3.611
DDX21	-1.34875
LRSAM1	0.1285
HDAC11	-0.0773333333333333
VMO1	1.45525
NOLA2	-0.769
ADAR	-0.0518333333333333
MTO1	-0.720833333333333
SF4	0.138666666666667
P2RX1	0.6405
HBM	0.08875
EN2	0.528
C14orf172	-0.10625
TM9SF2	0.1927
INHBE	-1.38516666666667
TCTE3	0.2165
TOX2	-2.80825
CTAGE3	-0.3665
HBB	4.1143
MED15	-0.627333333333333
CASR	0.503
C6orf66	-1.1925
MTPN	-1.069
UNC50	0.4385
C21orf33	0.419875
IRF2	1.334625
PGR	-1.12966666666667
GPR84	1.39225
CROCCL1	-0.6975
SRPX	1.34425
BRE	0.0745
FGF10	4.71425
SDC3	0.677
ZRSR1	0.638666666666667
DKFZP434P211	0.28875
SOX6	-0.454
RPUSD2	-0.368
C14orf173	-0.526916666666667
MAPK11	0.0426666666666667
TBC1D22A	0.0965
FAM123A	-0.661
COL4A6	0.12
TOMM70A	-0.0035
NAB1	0.54325
MGC16385	-0.135
TSPAN18	0.153166666666667
MED31	-0.55875
PLG	-0.86475
CAPSL	1.3065
ZNF532	1.3293
ASB14	0.4985
CA8	-0.09975
NUDT16P	1.2125
SLFN11	-0.746
LRRIQ2	-0.916375
NOL7	-0.4485
BRMS1L	-0.08425
JARID1A	-0.0393333333333333
PANK2	-0.60075
ICAM3	-0.547
MDS1	0.165
TAF8	-0.83875
RNF139	0.50375
ZNF594	0.6565
ADAM8	0.68675
SFTPC	-0.400625
MAN2B2	1.03375
RGS12	0.6105
EIF1AY	-4.96958333333333
LRRIQ1	0.804833333333333
GPR150	0.643
CCDC21	-1.949
PRRG3	0.95125
SAA4	-1.55125
RAPGEF5	0.610875
ZCCHC2	0.278333333333333
MGC39372	0.498
PPP4R2	-0.236
CDCA2	-3.49866666666667
OR4D5	0.156666666666667
PTGFRN	0.4939
SIGLEC5	0.9295
C19orf61	-0.502666666666667
NMUR2	0.199
KIAA1586	-0.656
DAGLA	0.457333333333333
CHCHD6	0.00875
GPR32	0.0635
NEUROD6	0.260666666666667
SLC2A4RG	0.097125
CA5B	0.7565
FBXL3	1.84675
MPHOSPH9	-2.39025
HMG2L1	-0.0405
HCN4	0.388
CEACAM19	0.5995
SH2D4B	0.483333333333333
HFE2	-0.758
TGM4	0.9904
LYPD2	-0.035
TBC1D15	0.2325
MRPS21	-0.6008
NONO	-0.7437
CLEC5A	0.626
ITCH	-0.0429000000000001
MGAT3	0.371833333333333
MBP	0.20575
RPP25	-1.316
SOSTDC1	3.59525
HRC	-0.454
TRIM48	0.086
TMEM133	1.0725
ECEL1P2	-1.6455
HOXC11	-0.8165
DOK5	0.35425
HELZ	0.5385
LOC348180	-0.998
MGC33894	0.22275
ADRB3	-0.2235
DMD	1.78416666666667
PTRH2	-0.808
MPEG1	2.1945
NDUFA12	-0.401
KRTAP2-4	-0.0566666666666666
STAMBPL1	-1.12283333333333
ADCY2	1.27216666666667
UNQ6125	0.4725
KLHL20	0.517833333333333
SRM	-1.03375
OTC	0.01775
TMIE	1.25033333333333
SNX8	-0.59525
LIPK	-0.1635
CHURC1	0.73175
KLC2	0.0921666666666667
HDAC1	-0.618333333333333
FAM128A	-0.301
FNDC3B	-0.2324
MTCP1	-0.536
WFDC10B	0.00669999999999997
PCDHGB3	0.0455
ATRNL1	-0.4959
CAV2	2.06125
MED26	0.0308333333333333
DUS1L	-0.2065
CHRM3	-0.581625
NEK9	0.44925
WARS2	-0.415
TBX22	1.319
TOMM40	-1.3105
RP6-213H19.1	-0.864666666666667
TUBGCP5	-0.45825
IGSF6	4.16925
TPPP	1.075
UNQ6190	0.00800000000000001
GSTM5	2.652125
BTD	0.1715
PDCD1LG2	1.09233333333333
SNRPB2	-0.7405
ERICH1	0.55625
APOA4	-1.4365
HOXA11	-2.34225
NARG1	-0.3575
MKX	0.36525
RAB28	0.470142857142857
PKP3	0.412
SH3GL2	-2.19975
CTSO	4.1425
RPN2	-0.8145625
IL28RA	1.59483333333333
SFMBT1	-0.32825
WDR57	-0.4195
FER1L3	0.91125
HSF5	0.301666666666667
TTC9B	0.13925
C4BPA	-1.99283333333333
ALB	-2.5665
SORBS3	0.67825
UPF2	0.589
JPH1	-0.245
AGBL2	1.03725
DOPEY1	2.1665
TERF1	-0.00158333333333332
KIF22	-1.24366666666667
NINJ1	0.90125
SEC61A2	-0.72725
HIST1H1D	-2.38266666666667
SFXN4	-0.332625
UCP3	0.297
ZNF703	0.552666666666667
MYL6B	-0.25425
TREM1	-0.146
OR52E6	0.137
CKMT2	3.747
HLA-C	1.484
SLC13A3	-1.09716666666667
TIMP4	2.0225
SLIT2	3.61975
RSF1	0.171222222222222
LONRF1	0.312285714285714
MON1A	-0.347333333333333
CACNG6	-1.4545
DPPA4	-5.40716666666667
ZSWIM3	-0.179
ZNF804A	0.1712
CCIN	1.10425
SLC25A31	0.4685
KCNMB4	-0.28325
RABL5	0.194625
GALNS	-0.6222
STX6	-0.309875
HIST1H1C	-3.25583333333333
CIDEB	0.4065
CASP4	0.784666666666667
PDK3	-1.352
KCNJ11	-0.0935
TPR	-0.40225
ZSCAN20	-0.4065
MTX2	-0.51675
HIST1H2BH	-1.65775
LOC283767	1.993
LYRM7	-0.576833333333334
BRD3	0.0861666666666667
HIST1H2BO	-1.67975
MAGEB10	0.1775
SLC45A1	1.1575
SERPINA3	-0.2569
KIAA0143	0.66225
KCNJ16	4.71016666666667
KRT79	-0.31375
FABP2	-1.57575
NUT	-0.47425
ZNF57	-0.26025
FBXL4	0.40875
CLEC9A	1.2505
UGT8	0.0418333333333333
BMP2K	0.0175
MAPK4	-1.715
SLC25A23	-0.5222
HINT1	-0.7393
KRTAP13-1	0.3495
SFXN5	-0.2294
CHCHD2	-0.61
FAM3D	3.6715
NDP	-0.115
RHOBTB1	-0.803166666666667
SLC4A4	0.985125
RPL38	0.0995
HTF9C	-0.347666666666667
AP2A2	0.303125
ZBTB46	-0.3155
MAP7D1	0.34
AOX1	0.00583333333333337
CYR61	3.51625
DTNA	-0.587714285714286
JRKL	0.925
TMOD3	-0.79675
EEA1	0.1849
ADCK5	-0.604
IL1R1	2.15183333333333
KLK3	1.81057142857143
HRSP12	-0.7325
KTN1	0.206
LOH11CR2A	0.7896
RELL2	-1.65375
MAB21L1	4.2645
C20orf59	-1.47533333333333
PHKB	-0.139
ADAM2	-2.69783333333333
TBC1D8B	1.15333333333333
FAM13A1	0.581
LAPTM4B	-1.24275
LCN8	-0.1155
TMEM147	-0.0765
SYT4	0.471
XPO7	-1.05
C9orf62	0.67825
GPR75	0.683
TRIM5	0.549
APOC1	-1.6405
RNASE4	2.222
PARD6B	-2.419125
ARID1A	-0.152583333333333
TPD52L3	0.154
RRAGB	1.07933333333333
RCN2	-0.8095
HIST2H2BE	-1.2365625
STARD7	-0.75625
SHMT2	-1.978
KIAA1751	0.807833333333333
MLYCD	0.4475
LOC162632	-0.7746
UQCRH	-1.44525
RP11-217H1.1	0.42925
SDHA	-0.9535
NCLN	-1.0727
ZNF17	0.789833333333333
RCBTB2	-0.03725
VEGFB	0.1795
RP4-747L4.3	1.444
COLQ	0.3504
MPN2	0.0486666666666667
DRG2	-0.23725
KLRB1	5.7845
ALPK2	-2.62175
DNASE2B	0.87975
FLJ23834	0.208333333333333
AXUD1	2.27966666666667
SAFB	-0.3229
NSUN4	-0.63925
RFX2	1.69166666666667
MAPK8IP1	0.183833333333333
FANCD2	-1.5035
ANKZF1	-1.17233333333333
C19orf50	-0.472875
DUSP8	1.363625
SENP5	-0.994375
NFKBIL2	-0.99225
LBR	-1.1325
IGFL1	0.574
LZTS2	0.50875
IL2RG	-0.6295
CCDC51	-0.728
KLF3	0.618875
ANKRD37	-0.371
KCTD14	2.00433333333333
FZR1	-0.174083333333333
SLC44A4	1.7661
ESPL1	-1.513625
GMPR2	-0.2025
TBC1D19	-0.684166666666667
ERGIC1	-0.556259259259259
ERBB4	3.3743
TSPAN32	0.29525
MAP4	-0.402875
GPHN	-0.595
SLC6A2	1.229625
HIVEP1	0.6265
DFFB	-0.2904
EIF4EBP2	0.494
DMRT1	-0.976
HSPB6	1.337
IER2	1.76
AIFM1	-0.877
WWC2	-0.076
MRPL4	-0.82225
FLJ21062	1.88283333333333
EPB41L4A	1.71133333333333
SH2D6	-0.06725
TAF4B	-0.3665
GAL3ST3	-0.4755
MALT1	-0.880833333333333
RTDR1	0.3855
ARVCF	0.5675
MEX3B	-0.658166666666667
FBXO16	0.05675
KIF7	-0.72125
C1QC	3.52016666666667
ZNF783	-0.18
ZNF85	0.22675
MMP13	-1.7315
KIAA0329	1.173375
RTP3	-0.327
ZBED3	0.262
CLGN	-2.5355
SLC25A37	-1.005375
hCG_18290	0.364
OR5AS1	-0.54
SMARCC2	0.71575
FAM109A	-0.243166666666667
CCDC12	0.114
USF2	0.0573
DEPDC7	-2.54275
C20orf24	-1.47566666666667
JMJD3	0.6775
DSP	1.34814285714286
SLIC1	0.30925
FAM20A	1.41525
IRF2BP2	0.557
ZNF230	0.298
MSN	-0.343428571428571
SLC9A5	-1.294
EPDR1	0.2115
MUSK	-0.150333333333333
ZNF434	0.0755
SMARCD1	-0.6715
ZFP106	0.482
ZNF347	0.3458
GTF2E1	-0.624
RY1	0.089
