Hybridization REF	TCGA-BH-A0AU-01A-11R-A12P-07
USP6NL	-0.34325
ABCD4	-0.936833333333333
DIMT1L	-0.502416666666667
TEK	1.52475
SLC25A46	-0.31875
LARP7	-0.8439
CD160	0.729833333333333
MT1JP	-0.41
PHF20	0.7005625
CPNE4	-1.08525
GTPBP1	-0.607285714285714
RAB33B	0.864166666666667
ALDOC	-2.072125
ZNF212	-0.35925
NUDT1	-0.188166666666667
RFPL2	0.09325
ZNF83	0.217
GDPD5	-1.623125
PDCD4	3.20645
CEP350	0.3325
OR10A2	0.24275
CST7	0.94525
CIAO1	-0.9865
SELL	1.4675
OR8J3	1.2075
LTBP4	-0.649333333333333
SIRT6	-0.6915
CCL19	4.348
PPIL1	-0.658166666666667
GBP7	-0.0131666666666667
STK17A	-0.2487
ABR	0.58725
OR9G1	0.786
FOXE1	-0.40825
CNGA3	0.2865
GML	0.727
CD38	-0.616
ZDHHC6	0.6595
NEFH	-0.167
CTDSP2	0.520916666666667
PGBD5	-0.663333333333333
CCNY	-0.514285714285714
RMND5B	0.7935
ZNF257	-2.081
FLJ22167	-0.77625
EXOSC7	-0.735833333333333
ROR2	1.393
MAOA	1.28725
TNNT3	0.4605
GYPC	-1.47
C7orf33	-0.174
PLIN	3.65116666666667
LOC90826	0.61725
RNF4	0.5419
F8A1	0.132333333333333
PLEKHG4	-1.67225
GRB2	0.3241
HIST1H2AD	1.2365
DUS3L	-1.6085
EIF1	0.261166666666667
RP5-1077B9.4	-1.32066666666667
FPGT	2.02125
GDF10	0.468166666666667
COQ9	0.23325
GCC2	0.0382142857142857
RARRES3	2.973625
PLXNA1	-0.5135
KIAA0100	0.1907
PMF1	-0.10425
FNDC1	5.4955
HS2ST1	-0.637
CRELD2	0.661
C8G	-1.927
CD82	0.7255
LIM2	-0.297
UNQ6490	-0.2015
MMP16	-0.2995
DRD3	-0.587
C5orf26	-0.9775
C11orf73	-0.354375
PTP4A2	1.78275
OR4M2	0.3485
HPCA	-1.20033333333333
SEC14L1	-0.412166666666667
CHFR	-0.2685
EMILIN1	1.248875
NDUFS4	-0.4825
COL18A1	-0.640125
PDZD3	-0.0956
C9orf16	-0.717833333333333
ERBB2IP	-0.24
EMX2	3.261
FUS	-0.90525
TF	-3.9068
CLCN4	0.613666666666667
CXorf56	0.1035
C11orf72	-0.13025
ELAC2	0.0711666666666666
NPR1	-1.1
ASS1	-2.86766666666667
USP42	-0.13325
POLR2J	-0.236
SEC23IP	1.25283333333333
UQCRC1	-1.01375
LOC729603	-1.171
C1orf71	-0.200125
POLG	-0.947
ADAM23	-2.829
TFR2	-0.68075
RICTOR	-0.4689
MGC39606	1.09925
C19orf55	-0.401
SNAPC1	-1.56766666666667
GNA11	-0.212625
CCDC52	0.566
FSIP1	5.4325
UPF3A	-0.309125
IGSF11	-1.93
LAGE3	0.641
CHST6	-1.2895
UNC13B	-0.2355
TTLL4	-1.745
ZNF687	0.757125
SDC2	0.3143
COX7A2	-0.10275
LAMB4	-0.26325
FAM24A	-0.632
LRRTM3	-1.0345
GPHB5	0.47425
OR4C13	0.857
EIF3EIP	-0.602285714285714
HABP4	-0.5055
TMEM125	3.59225
CNTN2	0.65675
ASNSD1	0.17825
FUT4	-0.2625
ACF	-3.32075
LOC158381	1.5155
CDH8	-0.23425
AGPS	-1.699
C4orf18	3.493
PECI	0.3575
UNG	-0.05025
GSTP1	-1.94125
DCUN1D5	-1.1945
DKFZP564J0863	-1.019
SLC9A3R1	2.54225
BCDO2	-0.47325
CHMP7	0.542375
REM2	0.095
DNHD1	-0.673375
FKBP4	0.601625
ZNF350	1.36425
MGC11102	0.5435
BST1	1.53525
KISS1R	-0.291
NCR2	0.7905
DEFB125	-0.497
UBE2W	1.341
KRT15	3.639625
C10orf99	-0.3935
SCN11A	0.303
GFI1	-1.324
RDHE2	1.81383333333333
FHL1	-0.705666666666667
OSGEP	-0.957166666666667
GATA1	-3.257
SMC6	-1.045
TTTY14	-1.27925
LPIN3	0.4095
RPL4	-1.0661
RBPMS	0.0514
PRPF3	-1.013
EMR1	-1.652
SPATA19	0.701
XCR1	0.7585
IRX3	1.4986
RBM6	-1.04575
KLF4	-1.7631
UNC5CL	0.009
SEBOX	0.181
BTK	-0.3985
KRCC1	2.15875
C6orf27	0.5645
SYTL5	-0.6165
PRND	2.352375
LOC653319	-1.7195
PIGL	0.06975
HUS1	0.491666666666667
SFRS6	0.729416666666667
C17orf77	-0.887
UIMC1	-0.176166666666667
FXYD2	-1.7602
LOC283152	2.32075
ZNF667	-1.7125
ZCCHC12	-0.87525
TFEC	3.8273
ATP7B	0.061
POLD2	-1.2445
RG9MTD1	0.84775
ACOT2	0.661666666666667
HIST1H4I	-1.857875
PPARGC1A	-2.0705
ETFA	-0.6022
POLRMT	0.08825
ZNF146	0.241875
MIA2	-2.2065
KLHL6	-0.343833333333333
HOXB5	0.1785
NENF	1.35383333333333
CUGBP1	0.1075
PRSS22	1.611
CASC4	0.9038
CUL4B	-0.0667
CENPJ	-1.3378
PITX1	-0.713666666666667
FLJ31033	1.21733333333333
CELSR3	-2.48133333333333
ZNF568	1.42425
ITSN1	-0.5745
EHBP1L1	-1.06983333333333
C19orf2	-0.0065
DCTN1	-0.63775
LIN28B	-4.15666666666667
TNKS2	0.59075
C1QBP	-0.6745
CADPS2	1.60625
SRMS	0.4735
GJA9	-0.2095
MGC24975	-1.29766666666667
TRIM45	-0.385833333333333
TSP50	0.1645
TCP1	-1.206
TMED7	-0.152
CMA1	0.975
CENPL	-0.852666666666667
PTCRA	-0.1715
FST	-3.3945
VWCE	-3.6155
PAWR	-1.007
ABCC12	0.361
LDLR	-1.0907
ASTN2	0.4546
LOC441212	0.065125
GPATCH8	-0.044
TANC2	-1.14825
KIF4A	-1.216
C18orf18	-1.322
PGM1	-1.279
KIAA0258	0.3635
CPD	1.11225
SNCAIP	-0.4985
DCT	-4.55216666666667
HLA-DOA	2.82763636363636
OR11L1	0.2055
UPK1B	-0.072
DNAJB4	0.04775
UGT1A8	-0.21975
HIST1H4L	-2.929
PECR	-1.26116666666667
HSPA2	1.632
WFIKKN1	-3.3135
SERP1	1.237875
SYDE2	0.97475
TACR2	0.507
NUP85	-0.61525
CD177	-0.510166666666667
LGR5	-2.889
PIGG	0.354916666666667
PTHR1	-0.7165
RAB5A	0.9387
FLJ13224	-1.228
USP9Y	-1.3995
C7orf53	-0.413
LRP1B	-0.692
XAF1	1.5581
ABCG8	0.085
ANKDD1A	-0.948666666666667
DAND5	-1.811
SPAG6	4.857
LINCR	1.2795
ZDHHC22	-1.1045
CCDC60	1.2925
THOC7	-0.386833333333333
TCTA	1.1224
OR8K3	-0.0225
NY-REN-7	-1.12525
B2M	1.35483333333333
C6orf141	-1.967125
LPPR4	1.851
SQLE	-0.083375
SEPHS1	-1.105
BTBD14B	0.451928571428571
PLRG1	-0.067
SPG7	-1.283375
ZNF614	-0.502333333333333
PARD6G	0.160666666666667
INPP5B	-1.2362
GRPEL2	-0.261
PPID	-0.4491
TRIM56	-0.2175
UBE2J1	-0.036
IL20RA	5.796
LOC387856	-0.50425
C1orf107	1.06191666666667
UTS2R	-0.681
C19orf22	0.611
SAFB2	-0.856625
KIAA0652	0.236375
KLRG1	0.621
MS4A8B	4.58283333333333
FRAG1	1.1205
KIAA1546	0.338
E2F4	-1.4064
CLEC4M	-0.365166666666667
BTBD14A	-1.02575
KIAA0999	0.3283
GYPA	-2.19033333333333
TAC1	2.8082
TRAIP	-1.63233333333333
KIAA0232	1.5199
ERCC8	-0.649625
GPX4	0.6155
KIAA0368	0.25425
GPR157	-0.6065
CTAGE4	1.152
C9orf30	-0.896
OR52A1	0.344
HSP90B3P	0.258
ALG9	-0.5383
BTBD10	1.57925
SDK2	0.21125
BAIAP3	0.66625
RABGGTB	-0.857625
ANKRD40	0.25
KRT74	-0.132
CALCOCO2	0.678
SNCA	-3.10375
TMSL8	-1.869125
C2orf53	-0.7675
ESRRB	-0.215
ARHGAP26	-1.45325
TDRD9	-3.0145
HRAS	0.7445
KLRC4	-1.5835
JAGN1	0.0673333333333333
BSDC1	0.813
RNF43	0.1229
NDUFAF1	0.2285
PHF12	0.54675
OR1L3	-0.42075
FOLR2	1.52525
LYZL6	0.490833333333333
tcag7.1260	-1.723
WSB1	-1.6095
PROS1	-0.7573
OSTN	0.533
PSMB8	0.70525
SOCS4	-1.01914285714286
DDIT4L	1.7205
MAS1	-0.833
MGC34796	1.36275
CSHL1	-0.274666666666667
TBCCD1	0.239166666666667
ZBTB7C	-0.1435
AP2S1	0.58625
P15RS	0.4806
VAT1	0.0811
SHANK3	0.0653333333333333
TUFM	-0.606666666666667
THEG	2.30175
KRT34	-2.0035
SGSM3	-0.303125
TOMM22	-0.7985
SOCS3	0.531666666666667
CPO	1.751
POP4	0.98325
BHLHB3	1.17875
MALL	0.65375
OR1B1	-0.18
PARK2	0.740333333333333
GPR124	0.387
LCE1E	0.9625
RUVBL2	-0.82925
CGRRF1	0.8485
ACPL2	0.864
WNT10B	-2.243625
BAIAP2L2	-1.999625
ISCA1	0.357
C1orf125	0.664875
RPAP1	-0.77425
RAI16	0.2395
RPL27	-0.27875
NLRP9	0.2405
EPN1	0.473
LOC388610	-0.836875
SLC35A1	1.5681
GAL	-4.5525
SLC14A2	0.35075
RDH11	0.268666666666667
FAM138F	-0.209
AUH	0.6375
FLJ40243	0.2565
C14orf129	0.696666666666667
MBD2	-0.650666666666667
ABHD14B	-0.527375
PIGT	0.239125
ALS2CR4	-0.339125
ALAS1	-0.083
FOXO1	1.24683333333333
CRLF3	-0.2675
C20orf107	0.517
FARS2	0.398
CCDC28A	0.3875
NPHP3	-1.003
OR13F1	-0.309
TSEN54	-0.59975
DEFB106B	0.1199
OR8B4	0.0345
STH	2.34875
ZC3H14	-0.90375
CBX2	0.764
TMEM49	-1.091
C6orf21	-0.472
FLJ20920	0.14175
CRTAP	0.509285714285714
DDX50	-0.25275
STYXL1	0.72375
BLVRB	0.809333333333333
LOC147650	-0.095
MMP24	0.403
GRID1	2.44466666666667
BANF1	-0.434666666666667
CTAGEP	0.09225
HMBS	-2.19125
SLC25A24	-0.109333333333333
C14orf50	1.12175
MRO	0.596
SLC25A15	-0.5495
FAM84B	1.0776
TDP1	-1.1995
C16orf78	-0.0251666666666666
C11orf57	-0.37325
RFK	-0.815125
ZFYVE9	-0.899
STCH	-0.1003
WIBG	0.41925
LOC283871	0.1495
GBA2	-0.3924
NDUFB3	0.3985
HSD17B13	-0.041
GRIN3A	1.37483333333333
FMNL1	-0.505666666666667
SEPT7	-0.5888
GNLY	3.5075
GRAMD1C	2.34833333333333
ZNF165	0.18775
USP38	1.04375
FAM83A	-3.22216666666667
C14orf24	-0.01625
ARMCX3	2.287125
ARHGDIB	-0.207833333333333
AK1	-0.410125
KIAA1045	-0.051
DNAJB13	-0.0811666666666667
NEU2	0.712
HIST1H4B	-2.088
FAM20B	-0.3391
HES2	0.137857142857143
FAM73B	-0.5805
LOC388381	-0.06525
INTS7	-0.594636363636364
AMPH	1.87675
ZNF775	-0.400125
UCKL1	-1.66966666666667
C10orf97	-0.107
C1orf161	-0.4545
ALDH1L1	-0.65875
FLJ39378	0.53675
SLC23A1	-0.9425
RBM4B	-0.286
THAP4	-0.21
OGFRL1	-0.172
KIAA0831	-0.067125
PPP1R15A	-0.932833333333333
C1orf96	-0.236
C12orf11	-0.36475
BMF	-0.04975
MAN1A1	-0.694625
KIAA1600	0.8955
NLGN4X	-0.265
ALOX12	-1.06883333333333
RB1CC1	-0.6273
NEIL2	1.7763
EIF4E	0.705090909090909
ABHD5	0.134
EXOC4	0.124833333333333
CIP29	0.191
BATF2	2.25125
SLC29A4	-0.56425
HTR4	0.30275
EMB	-0.5945
TRAF6	0.27525
LMNB1	-4.251
FAM19A5	-0.98625
SHE	2.0525
PIK3C2B	1.2715
C15orf15	-1.1882
USP15	0.2429
TCEAL2	2.11775
C5orf39	-0.6575
PTGER2	0.0685
SLC31A1	-1.105125
IFT172	0.47275
ADAM29	0.608
GFOD1	-1.39425
ST7L	-0.176333333333333
C15orf26	-1.72175
PKN3	-1.90475
CNTD1	4.25483333333333
COMMD1	0.301875
NTRK2	2.03475
FOXN3	-0.22375
MFGE8	-0.5106
PFKFB2	1.26
TAS2R4	-0.2155
ENTHD1	1.973
PRMT5	-1.358625
MGC16384	-1.888625
LOC442229	0.0505
TSKU	1.319625
KRTCAP3	3.33275
PDLIM1	-0.9297
KCNS2	0.34275
RNF126	0.226833333333333
CEP63	0.62025
CLIC4	-0.039375
hCG_1990170	-0.76225
ACR	1.1649
KLK7	-0.871666666666667
ALOX5AP	2.8985
RIPK3	3.812
TAS2R9	-0.696
C19orf18	1.64
BIRC6	0.206785714285714
ZNF16	1.6025
RFT1	-0.969
SLC8A2	-0.27675
TACC1	-1.39475
ITGAD	2.59975
SAMHD1	1.511
SH3PXD2B	1.098
EPC2	0.7305
C20orf85	0.15925
ATP13A2	0.484
KRT4	0.05475
CAPNS1	-0.34575
MDM2	-0.0783333333333333
PCDH20	3.12225
KCNK9	1.7395
OR2C1	-0.3675
KLHDC3	-1.53983333333333
IPPK	0.656
EFHD2	-0.475
GALR3	-0.995
NBEA	1.9065
ABCA6	3.9284
CLDN3	1.035
AKT2	-0.709071428571429
EGFR	-1.7173
RBM16	0.3715
ZDHHC3	0.152
SLC25A4	0.147
CYB5B	-1.13633333333333
CPXM1	1.055
NDRG1	-1.11207692307692
FLJ43826	-0.26325
OR5L2	0.536333333333333
FARP2	0.6512
MRPL46	0.46025
LDHAL6B	0.0436666666666667
MAPKAPK3	-0.848333333333333
NCAM2	-0.91775
PRKD2	0.486166666666667
ZFP36L1	0.9486
CYSLTR1	-0.74
OR4C3	1.06525
HIST1H2AJ	0.778
CCNB2	-2.364
ZNF10	0.445875
TMEM175	0.1295
FAM134A	0.981666666666667
TIGD4	0.083
PCNP	0.51375
MGC39715	1.52575
LQK1	-2.22
CREB1	0.4701
TMPRSS3	-0.648
C4orf32	0.650375
LAT	-1.25491666666667
KCNA3	-1.3445
SKIV2L2	-1.04325
ROPN1B	-0.6765
tcag7.23	-0.3025
CDT1	-3.587125
ZHX2	-0.003125
CD28	-2.0235
ZNF624	2.13275
SEPT2	0.17175
SOHLH2	-1.31857142857143
MCOLN3	0.888
UNQ1945	0.395
MASP2	-1.262
ZNRF3	-0.4883
GPATCH3	-0.1575
AGL	2.059125
QRICH2	0.6085
PSD4	0.648166666666667
CCNB1IP1	-2.5635
ENPP7	-0.10375
OBFC1	0.542
KCNG3	-1.3885
C14orf79	0.122666666666667
ENPEP	0.125833333333333
SCT	1.9335
SKI	-0.764125
SEC61G	0.30775
CAPN11	-0.2665
ATXN7L3	0.0315
DBNDD1	-0.534833333333333
FAIM	0.0505
ANKRD36	-2.2125
GABRP	1.654
TACSTD2	0.995
EIF3J	-0.71225
PPP2R2A	0.09875
TEKT4	0.277333333333333
PVALB	-3.61066666666667
F10	-2.29666666666667
FAM134C	1.0798
COMP	4.42425
EFCBP1	-2.24025
SCLT1	-0.337375
TAL1	-1.4139
ACSL1	2.7435
ABCC5	1.12866666666667
ABL1	-0.920333333333333
RBBP7	1.04591666666667
PTPRG	-0.722375
NCOR1	0.3328
SPINK4	-0.5275
TXNRD1	-1.2811
TNRC15	-0.4435
C9orf138	1.008125
UBE2H	0.6335
BRDT	0.8125
C8orf31	0.34875
CCNE2	-0.586818181818182
SLC6A8	-1.19225
CALCR	-3.90275
PPP1CB	1.27158333333333
ABHD8	0.291
ARF5	0.4664
SLC24A4	0.711
CCT3	-0.2535
ZNF121	1.0225
SLC3A2	-1.1399
OR13A1	0.3925
SLC5A10	0.82825
RAD50	-0.320625
IER5	-0.732875
MTHFD1L	-2.2815
MBTPS2	0.2955
MVK	0.126625
NCL	-0.1216
PSMD10	0.43825
MOBP	0.01625
FLJ32894	2.3335
HRH1	-0.811333333333333
C5orf30	0.95375
NUDT16L1	1.4589
RASGRP3	3.333
PRKRIP1	0.0145
CCDC75	-0.57725
LOC253970	0.99675
KIAA1239	-0.11625
MED21	-0.03925
SYT11	0.282
NTSR2	-0.584
EGFL11	0.167
CXorf59	0.7145
OR2A25	0.05175
SPTBN2	-0.69825
LRMP	-0.820833333333333
RNF111	-0.02575
PTH	0.431
LOC619208	1.09133333333333
KIAA0895	1.882
RANBP5	-0.513875
P2RY10	1.61616666666667
NME5	4.89
DDX21	-1.024
LRSAM1	-0.431
HDAC11	1.6205
VMO1	1.60475
NOLA2	0.893166666666667
ADAR	0.876
MTO1	-0.922
SF4	0.0546666666666667
P2RX1	-0.3895
HBM	0.04275
EN2	-0.6865
C14orf172	-0.2305
TM9SF2	0.8511
INHBE	-1.28116666666667
TCTE3	-0.435333333333333
TOX2	-2.92475
CTAGE3	-0.8155
HBB	2.9098
MED15	0.0305
CASR	-0.17825
C6orf66	-0.9895
MTPN	-0.374
UNC50	0.5205
C21orf33	0.404875
IRF2	1.165375
PGR	2.096
GPR84	1.862
CROCCL1	-1.24425
SRPX	-1.3055
BRE	0.2495
FGF10	0.775
SDC3	-0.988166666666667
ZRSR1	0.719
DKFZP434P211	-0.8105
SOX6	1.9885
RPUSD2	-0.51625
C14orf173	-0.909166666666667
MAPK11	-0.722
TBC1D22A	0.3435
FAM123A	-1.3285
COL4A6	-2.9865
TOMM70A	0.5955
NAB1	-0.31875
MGC16385	-0.56675
TSPAN18	-1.29566666666667
MED31	0.22975
PLG	-0.644
CAPSL	5.6035
ZNF532	0.8891
ASB14	-0.4455
CA8	1.24275
NUDT16P	1.82983333333333
SLFN11	1.2705
LRRIQ2	-0.304375
NOL7	-0.7445
BRMS1L	-0.47825
JARID1A	-0.115333333333333
PANK2	-0.362
ICAM3	0.64375
MDS1	-0.783
TAF8	-0.8655
RNF139	1.923
ZNF594	-0.119833333333333
ADAM8	1.83775
SFTPC	-0.1645
MAN2B2	1.829875
RGS12	-0.194625
EIF1AY	-4.1205
LRRIQ1	1.80116666666667
GPR150	-1.14525
CCDC21	-1.458
PRRG3	-0.0525
SAA4	-3.29
RAPGEF5	0.6615
ZCCHC2	-0.383083333333333
MGC39372	1.4575
PPP4R2	0.384666666666667
CDCA2	-1.9035
OR4D5	-0.1535
PTGFRN	1.1723
SIGLEC5	1.61616666666667
C19orf61	0.41
NMUR2	0.4965
KIAA1586	-0.975333333333333
DAGLA	2.16866666666667
CHCHD6	0.45
GPR32	1.0845
NEUROD6	0.4125
SLC2A4RG	-0.4680625
CA5B	0.628
FBXL3	1.311
MPHOSPH9	-1.70675
HMG2L1	-0.391
HCN4	-1.15733333333333
CEACAM19	0.8725
SH2D4B	0.8695
HFE2	-0.78
TGM4	0.668
LYPD2	0.84
TBC1D15	0.1
MRPS21	0.013
NONO	-1.2087
CLEC5A	1.503
ITCH	-0.917
MGAT3	-0.557333333333333
MBP	-0.440125
RPP25	-1.54425
SOSTDC1	-1.56575
HRC	-1.348
TRIM48	-0.3125
TMEM133	-0.0435
ECEL1P2	-1.272
HOXC11	-0.142
DOK5	-0.12275
HELZ	0.181166666666667
LOC348180	-1.37775
MGC33894	0.0985
ADRB3	-0.063
DMD	-0.371666666666667
PTRH2	-0.48375
MPEG1	3.04666666666667
NDUFA12	0.331833333333333
KRTAP2-4	0.0333333333333333
STAMBPL1	-0.855666666666667
ADCY2	0.419666666666667
UNQ6125	0.553
KLHL20	-0.36
SRM	-0.6955
OTC	0.333
TMIE	-1.17166666666667
SNX8	-0.25075
LIPK	0.2455
CHURC1	-0.856083333333333
KLC2	0.350166666666667
HDAC1	-0.292666666666667
FAM128A	0.399333333333333
FNDC3B	0.2404
MTCP1	-0.0405
WFDC10B	0.1702
PCDHGB3	-0.941
ATRNL1	-0.7218
CAV2	-0.288625
MED26	0.398166666666667
DUS1L	0.369
CHRM3	-2.57175
NEK9	0.02175
WARS2	0.38875
TBX22	1.03
TOMM40	-0.522
RP6-213H19.1	-0.745166666666667
TUBGCP5	-0.99975
IGSF6	5.114
TPPP	0.449
UNQ6190	0.303
GSTM5	0.76625
BTD	0.708333333333333
PDCD1LG2	0.683666666666667
SNRPB2	0.183833333333333
ERICH1	-0.152125
APOA4	-1.201375
HOXA11	-1.1345
NARG1	0.974875
MKX	-1.0945
RAB28	0.156
PKP3	1.6895
SH3GL2	-1.60575
CTSO	3.16525
RPN2	1.084375
IL28RA	0.181666666666667
SFMBT1	-0.07875
WDR57	0.113
FER1L3	1.69883333333333
HSF5	0.323833333333333
TTC9B	0.40875
C4BPA	-3.377
ALB	-4.42935714285714
SORBS3	0.59625
UPF2	-0.1675
JPH1	0.999
AGBL2	3.00775
DOPEY1	0.9805
TERF1	0.457083333333333
KIF22	-0.8885
NINJ1	1.25675
SEC61A2	-0.572583333333333
HIST1H1D	-1.556
SFXN4	0.836125
UCP3	-0.6515
ZNF703	1.53833333333333
MYL6B	0.44775
TREM1	1.714
OR52E6	0.1115
CKMT2	2.36525
HLA-C	1.831125
SLC13A3	-0.885
TIMP4	0.00575
SLIT2	2.07225
RSF1	-0.467222222222222
LONRF1	0.226642857142857
MON1A	-0.587833333333333
CACNG6	0.577
DPPA4	-5.49133333333333
ZSWIM3	0.601
ZNF804A	0.566333333333333
CCIN	1.78375
SLC25A31	1.19825
KCNMB4	0.5305
RABL5	1.584
GALNS	-0.6855
STX6	0.058875
HIST1H1C	-0.109666666666667
CIDEB	-0.997875
CASP4	-0.322
PDK3	0.1333
KCNJ11	1.3875
TPR	-0.59625
ZSCAN20	-0.268
MTX2	0.396
HIST1H2BH	0.775
LOC283767	2.2215
LYRM7	-1.14644444444444
BRD3	-1.90633333333333
HIST1H2BO	0.6735
MAGEB10	0.611
SLC45A1	1.7585
SERPINA3	2.63945
KIAA0143	2.37125
KCNJ16	0.422833333333333
KRT79	-0.6875
FABP2	-0.75975
NUT	-0.00125000000000001
ZNF57	-0.8945
FBXL4	0.754
CLEC9A	2.6425
UGT8	-1.1055
BMP2K	0.638
MAPK4	-3.7095
SLC25A23	-0.7397
HINT1	-0.7321
KRTAP13-1	-1.2115
SFXN5	0.3814
CHCHD2	0.306916666666667
FAM3D	1.7035
NDP	-3.184
RHOBTB1	-0.927333333333333
SLC4A4	-1.71975
RPL38	0.1325
HTF9C	1.1635
AP2A2	0.58175
ZBTB46	-0.3215
MAP7D1	0.224625
AOX1	-1.05783333333333
CYR61	-0.054
DTNA	-0.286857142857143
JRKL	0.33525
TMOD3	-0.53125
EEA1	0.4996
ADCK5	-0.37925
IL1R1	1.49816666666667
KLK3	0.286785714285714
HRSP12	1.79225
KTN1	-0.215
LOH11CR2A	0.5336
RELL2	-1.17325
MAB21L1	1.048
C20orf59	-1.14633333333333
PHKB	0.548
ADAM2	-1.95575
TBC1D8B	1.474
FAM13A1	-0.9175625
LAPTM4B	0.853583333333333
LCN8	-0.169
TMEM147	1.089
SYT4	0.428
XPO7	-0.831
C9orf62	-1.54025
GPR75	1.013
TRIM5	-0.361
APOC1	0.427333333333333
RNASE4	0.703833333333333
PARD6B	0.758875
ARID1A	0.5405
TPD52L3	0.0932
RRAGB	1.92566666666667
RCN2	0.293166666666667
HIST2H2BE	0.917875
STARD7	-0.199
SHMT2	-0.99125
KIAA1751	-0.110166666666667
MLYCD	0.04475
LOC162632	-0.0867
UQCRH	-0.76425
RP11-217H1.1	-0.0190625
SDHA	-0.838666666666667
NCLN	-0.666
ZNF17	0.713666666666667
RCBTB2	-1.21075
VEGFB	0.5999
RP4-747L4.3	0.35325
COLQ	-0.3956
MPN2	-0.871166666666667
DRG2	0.01875
KLRB1	5.53325
ALPK2	-2.29875
DNASE2B	0.6345
FLJ23834	-0.592
AXUD1	0.3795
SAFB	-1.1659
NSUN4	-0.67925
RFX2	-0.148666666666667
MAPK8IP1	0.282
FANCD2	-0.814857142857143
ANKZF1	-1.7775
C19orf50	-0.15175
DUSP8	1.811
SENP5	0.164375
NFKBIL2	-0.4935
LBR	-1.516125
IGFL1	0.6845
LZTS2	0.126125
IL2RG	-0.1525
CCDC51	-0.10775
KLF3	0.620375
ANKRD37	-0.9895
KCTD14	-1.087
FZR1	-0.539916666666667
SLC44A4	2.4492
ESPL1	-1.19625
GMPR2	-0.005
TBC1D19	0.278
ERGIC1	1.79477777777778
ERBB4	2.84
TSPAN32	-0.458916666666667
MAP4	-0.195875
GPHN	0.7095
SLC6A2	0.1025
HIVEP1	0.45925
DFFB	-0.6058
EIF4EBP2	0.090125
DMRT1	0.0945
HSPB6	0.18175
IER2	-0.176833333333333
AIFM1	0.70725
WWC2	-0.564583333333333
MRPL4	0.239
FLJ21062	0.954166666666667
EPB41L4A	0.700416666666667
SH2D6	-0.01075
TAF4B	-1.179
GAL3ST3	-0.118
MALT1	-0.312166666666667
RTDR1	2.07225
ARVCF	0.18425
MEX3B	-0.7885
FBXO16	2.637
KIF7	-0.58925
C1QC	4.03066666666667
ZNF783	-0.740833333333333
ZNF85	-0.26725
MMP13	5.4225
KIAA0329	0.171
RTP3	0.391
ZBED3	-1.04525
CLGN	-0.683
SLC25A37	-1.23529166666667
hCG_18290	-0.21075
OR5AS1	0.2525
SMARCC2	0.157666666666667
FAM109A	-0.0401666666666667
CCDC12	-0.549
USF2	0.5389
DEPDC7	-1.02
C20orf24	1.03833333333333
JMJD3	-0.3645
DSP	0.318071428571429
SLIC1	0.724625
FAM20A	1.95775
IRF2BP2	0.638125
ZNF230	0.1445
MSN	-0.724
SLC9A5	-1.8495
EPDR1	-0.039
MUSK	-0.1095
ZNF434	0.742666666666667
SMARCD1	-0.7925
ZFP106	-0.3045
ZNF347	-0.141
GTF2E1	0.964
RY1	-0.861
ATAD2B	0.346875
ARHGAP17	-0.2888
KCNIP3	-1.2875
