Hybridization REF	TCGA-E2-A15E-06A-11R-A12D-07
SLC25A46	-0.4495
LARP7	-0.5891
CD160	0.2955
MT1JP	-1.39366666666667
PHF20	0.014625
CPNE4	-0.151
GTPBP1	-0.374714285714286
RAB33B	1.4295
ALDOC	-2.53675
ZNF212	0.25
NUDT1	-1.0305
RFPL2	-1.2195
ZNF83	1.27166666666667
GDPD5	-0.991875
PDCD4	1.9778
CEP350	-0.242
OR10A2	0.19625
CST7	0.783
CIAO1	-1.388
SELL	2.547875
OR8J3	-0.1765
LTBP4	0.359
SIRT6	-0.256
CCL19	4.651
PPIL1	-1.17483333333333
GBP7	0.186
STK17A	-0.817
ABR	-0.6015
OR9G1	1.2745
FOXE1	-0.310625
CNGA3	3.033
GML	0.531
CD38	-2.451
ZDHHC6	-0.128833333333333
NEFH	-3.5045
CTDSP2	1.04191666666667
PGBD5	-1.87033333333333
CCNY	0.422571428571428
RMND5B	1.08116666666667
ZNF257	-0.8565
FLJ22167	-0.943375
EXOSC7	-0.1215
ROR2	-0.4885
MAOA	-2.406625
TNNT3	0.378833333333333
GYPC	-0.9125
C7orf33	0.319
PLIN	1.67533333333333
LOC90826	-0.198
RNF4	-0.1615
F8A1	0.2855
PLEKHG4	-1.56875
GRB2	0.0324
HIST1H2AD	0.87225
DUS3L	-0.732333333333333
EIF1	0.788333333333333
RP5-1077B9.4	-0.340166666666667
FPGT	1.86425
GDF10	-0.8935
COQ9	-0.2935
GCC2	-0.969357142857143
RARRES3	2.996125
PLXNA1	-1.094
KIAA0100	-0.6409
PMF1	0.36175
FNDC1	4.85375
HS2ST1	-0.12075
CRELD2	0.01475
C8G	-1.1925
CD82	0.57675
LIM2	-0.6835
UNQ6490	-0.051
MMP16	-0.77625
DRD3	-0.092
C5orf26	-0.334
C11orf73	-0.211125
PTP4A2	2.705125
OR4M2	0.6115
HPCA	-0.9875
SEC14L1	-1.06933333333333
CHFR	-0.276125
EMILIN1	0.54375
NDUFS4	-0.226
COL18A1	-1.411875
PDZD3	0.0934
C9orf16	0.302333333333333
ERBB2IP	0.638833333333333
EMX2	2.40775
FUS	-0.32825
TF	-3.6205
CLCN4	-0.368666666666667
CXorf56	0.6155
C11orf72	0.44275
ELAC2	-1.20625
NPR1	-1.5635
ASS1	-3.14383333333333
USP42	0.24625
POLR2J	0.0205
SEC23IP	0.8005
UQCRC1	0.25025
LOC729603	-0.46625
C1orf71	-0.813125
POLG	-2.1245
ADAM23	-4.21775
TFR2	-1.06525
RICTOR	-0.4803
MGC39606	-0.011
C19orf55	0.179
SNAPC1	-1.70866666666667
GNA11	0.447875
CCDC52	0.797333333333333
FSIP1	5.662
UPF3A	-0.2525
IGSF11	-1.92133333333333
LAGE3	0.67925
CHST6	-4.256
UNC13B	-0.436125
TTLL4	-1.98625
ZNF687	0.114375
SDC2	-0.4556
COX7A2	-1.074
LAMB4	-0.44925
FAM24A	0.448
LRRTM3	-2.2225
GPHB5	0.2225
OR4C13	0.0455
EIF3EIP	-0.401571428571429
HABP4	-1.5735
TMEM125	3.97025
CNTN2	0.47125
ASNSD1	-1.213
FUT4	-0.4095
ACF	-3.1235
LOC158381	1.244
CDH8	-0.8115
AGPS	-1.8625
C4orf18	3.210375
PECI	0.365083333333333
UNG	-1.261875
GSTP1	-1.538375
DCUN1D5	-0.9415
DKFZP564J0863	-1.046
SLC9A3R1	2.429125
BCDO2	0.94825
CHMP7	-0.5675
REM2	0.7865
DNHD1	0.4475
FKBP4	1.016
ZNF350	1.7845
MGC11102	0.455375
BST1	0.21
KISS1R	1.625
NCR2	0.217
DEFB125	0.4025
UBE2W	1.035
KRT15	2.752375
C10orf99	0.403
SCN11A	-0.037625
GFI1	-2.50075
RDHE2	3.5025
FHL1	-1.84716666666667
OSGEP	0.954666666666667
GATA1	-3.465
SMC6	-1.573
TTTY14	-1.13075
LPIN3	0.33475
RPL4	-0.082
RBPMS	1.6595
PRPF3	-0.517333333333333
EMR1	-1.621
SPATA19	0.322
XCR1	0.2625
IRX3	3.4173
RBM6	0.02825
KLF4	-0.2999
UNC5CL	1.32075
SEBOX	-0.0915
BTK	-0.126
KRCC1	1.58125
C6orf27	0.337
SYTL5	0.918
PRND	2.107625
LOC653319	-1.4675
PIGL	-1.60475
HUS1	0.0788333333333333
SFRS6	0.88675
C17orf77	0.2485
UIMC1	-0.299333333333333
FXYD2	-1.6109
LOC283152	0.4115
ZNF667	-1.13875
ZCCHC12	-0.644
TFEC	2.6593
ATP7B	1.31966666666667
POLD2	-0.526666666666667
RG9MTD1	0.10025
ACOT2	1.32416666666667
HIST1H4I	-0.36975
PPARGC1A	-2.9355
ETFA	-0.9557
POLRMT	-0.5655
ZNF146	0.290125
MIA2	-3.045
KLHL6	-0.874333333333333
HOXB5	-1.07925
NENF	0.506166666666667
CUGBP1	-0.46525
PRSS22	1.976
CASC4	-0.1191
CUL4B	-0.037
CENPJ	-1.6405
PITX1	2.0025
FLJ31033	1.2795
CELSR3	-2.018
ZNF568	0.69675
ITSN1	-0.756333333333333
EHBP1L1	-0.6665
C19orf2	-0.417
DCTN1	0.6585
LIN28B	-4.71483333333333
TNKS2	0.21325
C1QBP	-0.777875
CADPS2	1.17025
SRMS	1.0545
GJA9	0.374666666666667
MGC24975	-0.783833333333333
TRIM45	0.734166666666667
TSP50	1.3275
TCP1	-1.82725
TMED7	-0.0323
CMA1	0.7185
CENPL	-2.31133333333333
PTCRA	0.234
FST	-4.75025
VWCE	-4.21775
PAWR	-0.84725
ABCC12	-0.105333333333333
LDLR	-2.2501
ASTN2	0.0672
LOC441212	-1.448625
GPATCH8	-0.4215
TANC2	-1.74091666666667
KIF4A	-2.509
C18orf18	-1.108
PGM1	-1.78425
KIAA0258	0.60475
CPD	-0.691875
SNCAIP	-1.3605
DCT	-4.15
HLA-DOA	2.76540909090909
OR11L1	0.466
UPK1B	-0.227833333333333
DNAJB4	-1.242
UGT1A8	-0.10975
HIST1H4L	-3.159
PECR	-1.97483333333333
HSPA2	2.159
WFIKKN1	-1.901
SERP1	0.898125
SYDE2	1.884
TACR2	0.6965
NUP85	-0.083
CD177	-0.697166666666667
LGR5	-2.70066666666667
PIGG	-0.0775
PTHR1	-1.91216666666667
RAB5A	0.3368
FLJ13224	0.2575
USP9Y	-2.16266666666667
C7orf53	0.0575
LRP1B	0.6725
XAF1	0.1326
ABCG8	-2.1235
ANKDD1A	-0.3685
DAND5	-2.3875
SPAG6	0.0765
LINCR	-0.4985
ZDHHC22	-1.042375
CCDC60	0.95
THOC7	-0.983166666666667
TCTA	1.0009
OR8K3	0.2665
NY-REN-7	-0.21175
B2M	1.278
C6orf141	0.40925
LPPR4	0.65925
SQLE	-3.668125
SEPHS1	-0.05275
BTBD14B	0.825071428571428
PLRG1	-0.21775
SPG7	-0.5735625
ZNF614	0.0893333333333333
PARD6G	-0.103833333333333
INPP5B	-0.0809
GRPEL2	0.0225
PPID	-0.4972
TRIM56	-0.26075
UBE2J1	-0.534125
IL20RA	-0.084
LOC387856	-0.0145
C1orf107	0.38925
UTS2R	1.664
C19orf22	0.053
SAFB2	-0.592125
KIAA0652	0.28175
KLRG1	-0.2445
MS4A8B	1.31116666666667
FRAG1	0.8895
KIAA1546	0.877
E2F4	-0.8556
CLEC4M	0.315833333333333
BTBD14A	-1.839
KIAA0999	0.6824
GYPA	-3.51166666666667
TAC1	-0.5825
TRAIP	-1.53116666666667
KIAA0232	0.9201
ERCC8	-1.605875
GPX4	0.561125
KIAA0368	-1.185125
GPR157	0.0211666666666667
CTAGE4	1.0345
C9orf30	-2.51066666666667
OR52A1	-0.1575
HSP90B3P	-0.692
ALG9	-0.5101
BTBD10	0.2635
SDK2	-0.01925
BAIAP3	-1.196
RABGGTB	-0.7015
ANKRD40	-0.0871666666666667
KRT74	0.3875
CALCOCO2	-0.333714285714286
SNCA	-3.626
TMSL8	-4.351375
C2orf53	0.084
ESRRB	-0.481
ARHGAP26	-0.855
TDRD9	1.987
HRAS	0.466833333333333
KLRC4	-1.225
JAGN1	0.0696666666666667
BSDC1	0.9675
RNF43	0.3938
NDUFAF1	0.98225
PHF12	0.4445
OR1L3	0.088
FOLR2	1.83616666666667
LYZL6	0.330833333333333
tcag7.1260	-2.0695
WSB1	-3.689
PROS1	-2.6211
OSTN	0.6895
PSMB8	0.7345
SOCS4	-0.106875
DDIT4L	3.675
MAS1	-1.372
MGC34796	2.03175
CSHL1	0.455
TBCCD1	0.752666666666667
ZBTB7C	0.501
AP2S1	0.355375
P15RS	-0.1294
VAT1	-0.8516
SHANK3	0.0453333333333333
TUFM	-0.0306666666666667
THEG	-0.5745
KRT34	-1.526
SGSM3	0.323125
TOMM22	-1.027
SOCS3	0.144
CPO	1.5845
POP4	0.331
BHLHB3	-1.09275
MALL	-0.3375
OR1B1	0.6855
PARK2	0.357666666666667
GPR124	-0.9905
LCE1E	0.1865
RUVBL2	-0.189
CGRRF1	0.7225
ACPL2	1.20425
WNT10B	-2.00275
BAIAP2L2	-2.163375
ISCA1	-0.3565
C1orf125	0.176625
RPAP1	-0.3965
RAI16	0.0721666666666666
RPL27	-0.54
NLRP9	0.147
EPN1	0.7645
LOC388610	-1.968625
SLC35A1	0.4731
GAL	-4.31
SLC14A2	0.356
RDH11	-0.897666666666667
FAM138F	0.0595
AUH	-0.1525
FLJ40243	0.3615
C14orf129	0.610833333333333
MBD2	-0.763666666666667
ABHD14B	1.035625
PIGT	0.529875
ALS2CR4	-1.329375
ALAS1	0.411
FOXO1	-0.0968333333333333
CRLF3	-0.71725
C20orf107	-0.134
FARS2	0.90625
CCDC28A	-0.108
NPHP3	-0.814
OR13F1	0.5795
TSEN54	-0.1745
DEFB106B	-0.0314444444444445
OR8B4	1.2245
STH	2.7255
ZC3H14	-0.06325
CBX2	-0.039
TMEM49	-2.04075
C6orf21	0.586
FLJ20920	0.826625
CRTAP	0.1585
DDX50	-0.419
STYXL1	0.6525
BLVRB	1.02083333333333
LOC147650	0.301666666666667
MMP24	0.11475
GRID1	0.8735
BANF1	-0.0633333333333333
CTAGEP	0.89
HMBS	-2.1395
SLC25A24	0.472333333333333
C14orf50	2.22725
MRO	0.702333333333333
SLC25A15	-0.82825
FAM84B	2.0744
TDP1	-1.0235
C16orf78	-0.0653333333333334
C11orf57	-1.02425
RFK	-1.819
ZFYVE9	-0.818125
STCH	-1.85
WIBG	1.415
LOC283871	0.868666666666667
GBA2	-0.2242
NDUFB3	-0.333
HSD17B13	-0.415
GRIN3A	0.627666666666667
FMNL1	-0.534166666666667
SEPT7	-1.5359
GNLY	2.5865
GRAMD1C	1.52916666666667
ZNF165	0.536
USP38	0.92725
FAM83A	-3.46566666666667
C14orf24	-0.213916666666667
ARMCX3	0.458375
ARHGDIB	1.04783333333333
AK1	0.891125
KIAA1045	0.52075
DNAJB13	-0.0593333333333333
NEU2	0.4925
HIST1H4B	-1.52816666666667
FAM20B	-0.5411
HES2	-0.459857142857143
FAM73B	0.6266
LOC388381	1.319
INTS7	-1.25209090909091
AMPH	0.3175
ZNF775	0.51125
UCKL1	0.160333333333333
C10orf97	1.12975
C1orf161	-0.0405
ALDH1L1	-1.602
FLJ39378	-1.075875
SLC23A1	-1.184
RBM4B	0.176
THAP4	-0.0173333333333333
OGFRL1	-0.28175
KIAA0831	0.5995
PPP1R15A	-0.545166666666667
C1orf96	-0.4785
C12orf11	-1.85225
BMF	1.579
MAN1A1	-1.836
KIAA1600	-0.0168333333333333
NLGN4X	-0.15625
ALOX12	-1.02183333333333
RB1CC1	0.6317
NEIL2	-0.4526
EIF4E	0.250285714285714
ABHD5	0.749
EXOC4	-0.029
CIP29	1.6005
BATF2	1.3205
SLC29A4	-1.035
HTR4	0.31925
EMB	-1.3385
TRAF6	0.46225
LMNB1	-3.53825
FAM19A5	0.252625
SHE	1.06475
PIK3C2B	0.708
C15orf15	0.0649
USP15	-0.18
TCEAL2	0.14225
C5orf39	-0.019
PTGER2	-2.0405
SLC31A1	-1.730875
IFT172	0.29725
ADAM29	0.37
GFOD1	-1.16
ST7L	0.532333333333333
C15orf26	-2.98275
PKN3	-0.95975
CNTD1	3.74983333333333
COMMD1	0.515125
NTRK2	2.04141666666667
FOXN3	-0.121125
MFGE8	-1.1552
PFKFB2	0.513166666666667
TAS2R4	-0.18825
ENTHD1	0.452666666666667
PRMT5	-0.1415
MGC16384	-0.907625
LOC442229	-1.1265
TSKU	1.027875
KRTCAP3	2.683875
PDLIM1	-0.994
KCNS2	0.10575
RNF126	-0.718166666666667
CEP63	0.283875
CLIC4	-1.651875
hCG_1990170	-1.39425
ACR	0.4752
KLK7	-0.903333333333333
ALOX5AP	3.055125
RIPK3	4.52
TAS2R9	0.548
C19orf18	2.377
BIRC6	-0.232071428571429
ZNF16	1.8975
RFT1	-0.3175
SLC8A2	0.10875
TACC1	-1.494875
ITGAD	1.89175
SAMHD1	0.72025
SH3PXD2B	-0.2638
EPC2	0.30025
C20orf85	0.389125
ATP13A2	0.982
KRT4	0.901375
CAPNS1	1.14175
MDM2	-0.264083333333333
PCDH20	4.2445
KCNK9	1.1995
OR2C1	0.5245
KLHDC3	-0.371833333333333
IPPK	0.1695
EFHD2	-0.370375
GALR3	1.618
NBEA	0.768833333333333
ABCA6	2.0132
CLDN3	0.642166666666667
AKT2	0.373071428571429
EGFR	-3.366
RBM16	-0.4185
ZDHHC3	0.6055
SLC25A4	0.0481666666666667
CYB5B	-1.2645
CPXM1	-2.23625
NDRG1	-0.877692307692308
FLJ43826	1.338
OR5L2	0.272166666666667
FARP2	0.4717
MRPL46	-0.015
LDHAL6B	-0.076
MAPKAPK3	0.611833333333333
NCAM2	-1.466
PRKD2	0.827
ZFP36L1	0.9287
CYSLTR1	-0.37475
OR4C3	0.2435
HIST1H2AJ	1.6265
CCNB2	-2.74088888888889
ZNF10	0.1775
TMEM175	1.206
FAM134A	0.648666666666667
TIGD4	-0.333
PCNP	-0.27925
MGC39715	-0.41525
LQK1	-1.47725
CREB1	-0.2387
TMPRSS3	3.48775
C4orf32	2.058875
LAT	-0.923083333333333
KCNA3	-0.6015
SKIV2L2	-0.751
ROPN1B	-4.44475
tcag7.23	0.2915
CDT1	-3.247125
ZHX2	1.6135
CD28	-2.732
ZNF624	0.52725
SEPT2	-0.500416666666667
SOHLH2	-3.14725
MCOLN3	-1.469375
UNQ1945	0.785
MASP2	-1.316
ZNRF3	-1.3563
GPATCH3	-0.0175
AGL	0.341875
QRICH2	0.4275
PSD4	1.07166666666667
CCNB1IP1	-1.6505
ENPP7	0.11525
OBFC1	0.7795
KCNG3	-2.40375
C14orf79	1.53258333333333
ENPEP	0.025
SCT	0.5585
SKI	0.600125
SEC61G	-0.611
CAPN11	0.07325
ATXN7L3	0.4455
DBNDD1	-0.0593333333333333
FAIM	0.702
ANKRD36	-2.55
GABRP	-0.6924
TACSTD2	2.2996
EIF3J	0.2315
PPP2R2A	-2.03475
TEKT4	0.835333333333333
PVALB	-3.5775
F10	-2.33516666666667
FAM134C	0.7922
COMP	4.46675
EFCBP1	-4.0564375
SCLT1	-1.646375
TAL1	-1.5474
ACSL1	0.2555
ABCC5	0.837083333333333
ABL1	-0.4085
RBBP7	1.15833333333333
PTPRG	1.58475
NCOR1	-0.5508
SPINK4	-0.539333333333333
TXNRD1	-1.897
TNRC15	-1.32725
C9orf138	0.454375
UBE2H	0.643666666666667
BRDT	0.331333333333333
C8orf31	0.09675
CCNE2	-2.37572727272727
SLC6A8	-0.06275
CALCR	-3.51475
PPP1CB	0.0156666666666667
ABHD8	0.8315
ARF5	0.9879
SLC24A4	0.83575
CCT3	-0.14175
ZNF121	0.078875
SLC3A2	-0.9754
OR13A1	0.561
SLC5A10	-0.0455
RAD50	0.20425
IER5	-0.420625
MTHFD1L	-3.4425
MBTPS2	0.0525
MVK	-0.2285
NCL	-0.8194
PSMD10	-0.15325
MOBP	0.428125
FLJ32894	0.039
HRH1	-2.552
C5orf30	1.87325
NUDT16L1	1.5558
RASGRP3	2.70616666666667
PRKRIP1	-0.3511
CCDC75	-1.83375
LOC253970	0.06525
KIAA1239	0.5085
MED21	-0.0285
SYT11	-0.626666666666667
NTSR2	-0.1295
EGFL11	0.407
CXorf59	0.4245
OR2A25	0.04375
SPTBN2	-0.0385
LRMP	-0.2975
RNF111	0.498
PTH	0.358
LOC619208	-0.361833333333333
KIAA0895	0.537
RANBP5	-0.78125
P2RY10	1.54983333333333
NME5	3.7985
DDX21	-1.54725
LRSAM1	0.824
HDAC11	2.45716666666667
VMO1	1.0495
NOLA2	0.0995
ADAR	0.758916666666667
MTO1	-1.6175
SF4	0.5505
P2RX1	0.120333333333333
HBM	0.31425
EN2	1.883
C14orf172	0.53425
TM9SF2	0.88
INHBE	-0.908833333333333
TCTE3	-0.122583333333333
TOX2	-3.31875
CTAGE3	0.415375
HBB	3.8445
MED15	-0.645666666666667
CASR	0.3305
C6orf66	-1.623
MTPN	-1.450125
UNC50	-0.41075
C21orf33	-0.04625
IRF2	1.18325
PGR	4.32566666666667
GPR84	1.558
CROCCL1	-1.1545
SRPX	-3.455
BRE	0.670333333333333
FGF10	0.6065
SDC3	0.936833333333333
ZRSR1	0.935833333333333
DKFZP434P211	0.081875
SOX6	0.7625
RPUSD2	0.1245
C14orf173	-0.34225
MAPK11	-0.146666666666667
TBC1D22A	0.39
FAM123A	-1.385
COL4A6	-2.16666666666667
TOMM70A	0.15275
NAB1	-0.659
MGC16385	0.112875
TSPAN18	-1.7765
MED31	-0.369
PLG	0.26
CAPSL	0.497
ZNF532	0.3646
ASB14	-0.0433333333333333
CA8	1.34375
NUDT16P	2.64566666666667
SLFN11	-1.9615
LRRIQ2	-0.886625
NOL7	-0.3515
BRMS1L	-0.742375
JARID1A	-0.542166666666667
PANK2	-1.596
ICAM3	0.758
MDS1	0.023
TAF8	-0.43175
RNF139	1.23475
ZNF594	-0.225
ADAM8	1.5985
SFTPC	-0.16375
MAN2B2	1.145875
RGS12	0.3305625
EIF1AY	-5.16158333333333
LRRIQ1	-1.44066666666667
GPR150	1.681
CCDC21	-0.825833333333333
PRRG3	0.199
SAA4	-4.21575
RAPGEF5	0.726375
ZCCHC2	0.48
MGC39372	1.5635
PPP4R2	0.0151666666666666
CDCA2	-3.49233333333333
OR4D5	0.416666666666667
PTGFRN	0.1944
SIGLEC5	1.24283333333333
C19orf61	0.142833333333333
NMUR2	0.478
KIAA1586	-1.8485
DAGLA	-0.0828333333333333
CHCHD6	-0.4525
GPR32	0.6625
NEUROD6	0.0228333333333333
SLC2A4RG	1.041
CA5B	-0.15475
FBXL3	1.226
MPHOSPH9	-1.33225
HMG2L1	-0.13375
HCN4	1.11433333333333
CEACAM19	0.88875
SH2D4B	-0.272333333333333
HFE2	-0.108
TGM4	0.173
LYPD2	0.4205
TBC1D15	0.51375
MRPS21	-0.7268
NONO	-0.672
CLEC5A	1.312875
ITCH	-0.0822
MGAT3	-0.967666666666667
MBP	-0.800375
RPP25	0.18225
SOSTDC1	-3.271
HRC	0.01425
TRIM48	0.241
TMEM133	-1.072
ECEL1P2	-1.36
HOXC11	2.455
DOK5	-1.995
HELZ	-0.245166666666667
LOC348180	-0.836
MGC33894	0.38125
ADRB3	-0.038
DMD	-0.402166666666667
PTRH2	-1.2795
MPEG1	2.96416666666667
NDUFA12	0.415333333333333
KRTAP2-4	0.225166666666667
STAMBPL1	-1.47783333333333
ADCY2	0.1036
UNQ6125	0.36
KLHL20	-0.661833333333333
SRM	-0.53725
OTC	-0.122
TMIE	0.0755
SNX8	0.1435
LIPK	-0.337
CHURC1	0.42525
KLC2	0.316333333333333
HDAC1	0.573
FAM128A	0.312
FNDC3B	-0.2426
MTCP1	-0.297666666666667
WFDC10B	0.16
PCDHGB3	-0.499
ATRNL1	-1.2806
CAV2	-2.724625
MED26	0.243333333333333
DUS1L	0.84275
CHRM3	-1.560125
NEK9	1.0995
WARS2	-0.93625
TBX22	2.865
TOMM40	-0.716
RP6-213H19.1	-0.643333333333333
TUBGCP5	-0.6365
IGSF6	4.132
TPPP	-0.222833333333333
UNQ6190	0.189
GSTM5	-0.07575
BTD	1.03866666666667
PDCD1LG2	-0.180166666666667
SNRPB2	-0.668833333333333
ERICH1	-1.782625
APOA4	-1.463625
HOXA11	-2.33525
NARG1	-0.0975
MKX	-0.52075
RAB28	-0.492071428571429
PKP3	1.198
SH3GL2	-3.421
CTSO	2.1355
RPN2	-0.019125
IL28RA	0.269666666666667
SFMBT1	0.54575
WDR57	0.8105
FER1L3	0.992416666666667
HSF5	0.725333333333333
TTC9B	0.65325
C4BPA	-3.398
ALB	-4.13128571428571
SORBS3	-0.769125
UPF2	-0.1245
JPH1	-0.346
AGBL2	0.9575
DOPEY1	0.328
TERF1	-0.07875
KIF22	-0.471833333333333
NINJ1	1.1195
SEC61A2	-0.09125
HIST1H1D	-0.7955
SFXN4	-0.49875
UCP3	0.499
ZNF703	1.17283333333333
MYL6B	-0.068
TREM1	0.172
OR52E6	0.5785
CKMT2	0.041
HLA-C	1.36725
SLC13A3	-2.202
TIMP4	-4.101
SLIT2	0.61175
RSF1	-0.756777777777778
LONRF1	-1.76185714285714
MON1A	-0.148166666666667
CACNG6	-0.962666666666667
DPPA4	-5.55616666666667
ZSWIM3	0.408
ZNF804A	0.5245
CCIN	0.99225
SLC25A31	0.32825
KCNMB4	-1.839
RABL5	0.812625
GALNS	-0.5272
STX6	-0.59575
HIST1H1C	0.7915
CIDEB	1.010875
CASP4	1.2005
PDK3	0.0242
KCNJ11	1.632
TPR	-0.9735
ZSCAN20	-0.5795
MTX2	-0.899
HIST1H2BH	0.84925
LOC283767	1.39925
LYRM7	-1.4885
BRD3	0.1915
HIST1H2BO	0.9565
MAGEB10	0.147
SLC45A1	0.032
SERPINA3	2.50295
KIAA0143	1.34275
KCNJ16	-0.509166666666667
KRT79	1.29025
FABP2	-0.556
NUT	-0.14575
ZNF57	-0.66475
FBXL4	0.23375
CLEC9A	2.3155
UGT8	-1.19433333333333
BMP2K	-0.44975
MAPK4	-3.228
SLC25A23	-0.2897
HINT1	-1.0069
KRTAP13-1	0.033
SFXN5	0.6083
CHCHD2	0.199333333333333
FAM3D	1.072
NDP	-1.686
RHOBTB1	-0.361666666666667
SLC4A4	-1.560375
RPL38	-0.13025
HTF9C	-0.036
AP2A2	0.840125
ZBTB46	-0.5015
MAP7D1	0.6295
AOX1	-1.51233333333333
CYR61	-1.45333333333333
DTNA	0.971714285714286
JRKL	-0.374
TMOD3	0.204
EEA1	-0.021
ADCK5	1.0635
IL1R1	1.43783333333333
KLK3	0.763357142857143
HRSP12	-0.251
KTN1	0.0155
LOH11CR2A	1.5046
RELL2	-1.3765
MAB21L1	0.39075
C20orf59	-0.427833333333333
PHKB	-0.4445
ADAM2	-0.771666666666667
TBC1D8B	0.979666666666667
FAM13A1	-1.659875
LAPTM4B	-2.5465
LCN8	0.132
TMEM147	1.1
SYT4	0.419166666666667
XPO7	-2.1485
C9orf62	1.771
GPR75	0.38
TRIM5	0.13225
APOC1	-0.697
RNASE4	1.8285
PARD6B	0.9795
ARID1A	0.857
TPD52L3	0.215777777777778
RRAGB	1.6565
RCN2	-0.711833333333333
HIST2H2BE	0.8685
STARD7	-0.39125
SHMT2	-1.19775
KIAA1751	-0.614333333333333
MLYCD	0.086125
LOC162632	-1.7009
UQCRH	-1.856
RP11-217H1.1	0.10975
SDHA	-0.808
NCLN	-0.8763
ZNF17	0.747166666666667
RCBTB2	-1.986
VEGFB	0.2214
RP4-747L4.3	0.39625
COLQ	1.5926
MPN2	-0.858333333333333
DRG2	0.147
KLRB1	4.96875
ALPK2	-3.322
DNASE2B	0.64275
FLJ23834	-0.3285
AXUD1	0.626
SAFB	-0.5411
NSUN4	-0.707
RFX2	-1.17833333333333
MAPK8IP1	-0.983333333333333
FANCD2	-1.02778571428571
ANKZF1	-1.23483333333333
C19orf50	-0.053125
DUSP8	1.308125
SENP5	-0.340625
NFKBIL2	-0.17125
LBR	-1.884
IGFL1	0.32
LZTS2	0.19825
IL2RG	-0.071625
CCDC51	0.72475
KLF3	0.142125
ANKRD37	-0.9495
KCTD14	-1.37816666666667
FZR1	0.409333333333333
SLC44A4	3.6786
ESPL1	-0.817125
GMPR2	0.733
TBC1D19	-0.0231666666666667
ERGIC1	0.803259259259259
ERBB4	2.65
TSPAN32	0.577333333333333
MAP4	0.35175
GPHN	-0.35425
SLC6A2	-0.2055
HIVEP1	0.53625
DFFB	-0.3067
EIF4EBP2	0.60025
DMRT1	-0.6355
HSPB6	-0.112
IER2	-0.429833333333333
AIFM1	0.3075
WWC2	0.226
MRPL4	0.18425
FLJ21062	0.883666666666667
EPB41L4A	1.64891666666667
SH2D6	-0.1335
TAF4B	-1.14375
GAL3ST3	0.2655
MALT1	-0.555
RTDR1	-0.3945
ARVCF	0.833625
MEX3B	-2.88
FBXO16	1.8165
KIF7	-2.00375
C1QC	3.89683333333333
ZNF783	0.113333333333333
ZNF85	-0.03425
MMP13	-1.3135
KIAA0329	0.334125
RTP3	-0.513
ZBED3	-0.712
CLGN	-2.135
SLC25A37	-2.49854166666667
hCG_18290	-0.1285
OR5AS1	0.114
SMARCC2	1.15441666666667
FAM109A	0.4985
CCDC12	0.1655
USF2	1.802
DEPDC7	-3.81025
C20orf24	-0.380166666666667
JMJD3	0.5145
DSP	0.565785714285714
SLIC1	0.591125
FAM20A	-0.58025
IRF2BP2	0.466
ZNF230	0.861
MSN	-1.13857142857143
SLC9A5	-1.679
EPDR1	-1.1063
MUSK	0.117166666666667
ZNF434	0.914166666666667
SMARCD1	0.132666666666667
