Hybridization REF	TCGA-E2-A15L-01A-11R-A12D-07
COX7A2	-0.37525
LAMB4	0.120666666666667
FAM24A	0.0355
LRRTM3	-0.865
GPHB5	0.244
OR4C13	0.005
EIF3EIP	0.4645
HABP4	-0.5545
TMEM125	3.3715
CNTN2	0.393875
ASNSD1	-0.4495
FUT4	-0.40025
ACF	-4.41625
LOC158381	1.595
CDH8	-0.503
AGPS	0.110166666666667
C4orf18	4.6
PECI	-0.143083333333333
UNG	-0.515
GSTP1	-0.26275
DCUN1D5	0.340166666666667
DKFZP564J0863	-0.74775
SLC9A3R1	0.86825
BCDO2	-0.557375
CHMP7	0.1165
REM2	0.217
DNHD1	-1.13575
FKBP4	-0.1995
ZNF350	1.3205
MGC11102	-0.115
BST1	1.5085
KISS1R	0.992
NCR2	-0.7735
DEFB125	0.4235
UBE2W	0.71725
KRT15	-1.15825
C10orf99	0.29
SCN11A	0.109428571428571
GFI1	-3.25825
RDHE2	4.1185
FHL1	-0.326333333333333
OSGEP	0.153833333333333
GATA1	-3.749
SMC6	-0.8255
TTTY14	-1.327
LPIN3	-0.45175
RPL4	-0.2996
RBPMS	0.2745
PRPF3	-0.664166666666667
EMR1	-2.151
SPATA19	-1.07475
XCR1	0.5225
IRX3	1.719
RBM6	-0.518
KLF4	0.9059
UNC5CL	-1.2985
SEBOX	-0.2505
BTK	-1.10425
KRCC1	0.597
C6orf27	0.4155
SYTL5	-1.209
PRND	0.831625
LOC653319	-1.6455
PIGL	-1.2695
HUS1	-0.190333333333333
SFRS6	-1.15641666666667
C17orf77	-0.259
UIMC1	-0.582
FXYD2	-1.9922
LOC283152	1.9645
ZNF667	1.326
ZCCHC12	-0.2355
TFEC	2.4508
ATP7B	1.28933333333333
POLD2	-0.8485
RG9MTD1	-0.2515
ACOT2	1.42166666666667
HIST1H4I	-1.248375
PPARGC1A	-2.3345
ETFA	-2.805
POLRMT	-0.227
ZNF146	0.02475
MIA2	-1.208
KLHL6	-0.688166666666667
HOXB5	-0.932
NENF	0.390666666666667
CUGBP1	0.66875
PRSS22	1.093
CASC4	1.3004
CUL4B	0.0593
CENPJ	-1.4496
PITX1	-2.20766666666667
FLJ31033	-0.0025
CELSR3	-2.2915
ZNF568	1.2415
ITSN1	-0.584083333333333
EHBP1L1	-0.715666666666667
C19orf2	-0.63025
DCTN1	0.39125
LIN28B	-4.0356
TNKS2	-0.36825
C1QBP	-0.320625
CADPS2	2.152
SRMS	-0.00600000000000001
GJA9	-0.00916666666666668
MGC24975	-1.15383333333333
TRIM45	0.2085
TSP50	0.02475
TCP1	-1.01325
TMED7	0.8375
CMA1	-0.082
CENPL	-0.8285
PTCRA	-0.209
FST	-2.93075
VWCE	-4.239
PAWR	0.381
ABCC12	3.3375
LDLR	-1.4782
ASTN2	1.3776
LOC441212	-1.626875
GPATCH8	0.05525
TANC2	0.739666666666667
KIF4A	-1.27925
C18orf18	-1.48425
PGM1	-0.85425
KIAA0258	0.45375
CPD	1.46925
SNCAIP	-1.26866666666667
DCT	-4.8945
HLA-DOA	2.67745454545455
OR11L1	0.388
UPK1B	0.2778
DNAJB4	0.106375
UGT1A8	-0.207
HIST1H4L	-1.238
PECR	-0.651166666666667
HSPA2	1.7925
WFIKKN1	-2.222
SERP1	0.772875
SYDE2	1.21025
TACR2	0.865
NUP85	-0.71375
CD177	-0.845166666666667
LGR5	-1.94466666666667
PIGG	-0.0253333333333333
PTHR1	-1.3375
RAB5A	0.2622
FLJ13224	-0.135
USP9Y	-1.01083333333333
C7orf53	-0.8815
LRP1B	-0.652
XAF1	0.1718
ABCG8	-0.1345
ANKDD1A	-0.856833333333333
DAND5	-1.132
SPAG6	-0.105666666666667
LINCR	-0.16375
ZDHHC22	-2.18071428571429
CCDC60	0.234
THOC7	-1.05883333333333
TCTA	1.6344
OR8K3	0.299333333333333
NY-REN-7	0.237
B2M	1.09566666666667
C6orf141	-0.1235
LPPR4	2.24775
SQLE	-1.93975
SEPHS1	-0.44825
BTBD14B	0.450214285714286
PLRG1	-0.026
SPG7	-0.6158125
ZNF614	0.134333333333333
PARD6G	0.9025
INPP5B	-0.3081
GRPEL2	-0.007625
PPID	-0.696
TRIM56	-0.715
UBE2J1	-0.28375
IL20RA	1.59425
LOC387856	0.29525
C1orf107	0.281166666666667
UTS2R	0.99525
C19orf22	0.41275
SAFB2	-0.08675
KIAA0652	0.21875
KLRG1	-0.810666666666667
MS4A8B	2.86033333333333
FRAG1	0.37625
KIAA1546	0.5235
E2F4	-1.5687
CLEC4M	0.191333333333333
BTBD14A	-1.23875
KIAA0999	1.6384
GYPA	-3.02316666666667
TAC1	0.405
TRAIP	-1.32833333333333
KIAA0232	0.5203
ERCC8	-0.00612500000000001
GPX4	0.5685
KIAA0368	-0.134375
GPR157	-1.06616666666667
CTAGE4	0.7045
C9orf30	-1.41983333333333
OR52A1	0.4605
HSP90B3P	-0.21
ALG9	-0.2827
BTBD10	0.40875
SDK2	0.0396666666666666
BAIAP3	-0.60175
RABGGTB	-0.29875
ANKRD40	0.606166666666667
KRT74	-0.173
CALCOCO2	0.524071428571429
SNCA	-3.285
TMSL8	-3.355125
C2orf53	-0.297
ESRRB	-0.785
ARHGAP26	-1.082625
TDRD9	-2.62425
HRAS	-0.0245
KLRC4	-2.4385
JAGN1	0.1955
BSDC1	0.56325
RNF43	-0.5711
NDUFAF1	0.306
PHF12	0.66825
OR1L3	0.601
FOLR2	0.82725
LYZL6	0.232666666666667
tcag7.1260	-1.9095
WSB1	-1.77266666666667
PROS1	-1.0913
OSTN	0.346
PSMB8	0.0185
SOCS4	-0.519428571428571
DDIT4L	-1.0205
MAS1	0.2805
MGC34796	1.6635
CSHL1	-0.0243333333333333
TBCCD1	-0.0838333333333333
ZBTB7C	0.468
AP2S1	-0.054625
P15RS	0.2356
VAT1	-0.5297
SHANK3	0.7495
TUFM	-0.251
THEG	-0.267
KRT34	-1.266
SGSM3	0.8215
TOMM22	-0.532
SOCS3	1.65233333333333
CPO	0.7535
POP4	0.0815
BHLHB3	1.54775
MALL	0.77875
OR1B1	0.4665
PARK2	0.762833333333333
GPR124	0.835
LCE1E	-0.147
RUVBL2	-0.544
CGRRF1	0.3757
ACPL2	0.677
WNT10B	-2.970625
BAIAP2L2	-2.175125
ISCA1	0.4625
C1orf125	1.057
RPAP1	-0.8585
RAI16	-0.928
RPL27	-0.37875
NLRP9	-0.004
EPN1	0.7765
LOC388610	-1.6405
SLC35A1	0.7016
GAL	-5.34825
SLC14A2	0.232
RDH11	-0.727666666666667
FAM138F	-0.851
AUH	0.704
FLJ40243	0.73175
C14orf129	0.682666666666667
MBD2	-0.535833333333333
ABHD14B	0.565375
PIGT	0.662375
ALS2CR4	0.083
ALAS1	0.6032
FOXO1	1.5525
CRLF3	-0.544375
C20orf107	-0.215
FARS2	0.8085
CCDC28A	1.29925
NPHP3	-0.46825
OR13F1	0.4315
TSEN54	-0.7685
DEFB106B	-0.0361111111111111
OR8B4	1.035
STH	2.60775
ZC3H14	-0.554
CBX2	-0.114
TMEM49	-0.53625
C6orf21	0.481
FLJ20920	1.732625
CRTAP	0.278857142857143
DDX50	-0.163
STYXL1	-0.01525
BLVRB	0.178333333333333
LOC147650	0.194333333333333
MMP24	0.51825
GRID1	1.40266666666667
BANF1	-0.5245
CTAGEP	0.53225
HMBS	-1.87625
SLC25A24	0.656666666666667
C14orf50	0.22375
MRO	1.25466666666667
SLC25A15	-0.15375
FAM84B	1.0444
TDP1	-0.6765
C16orf78	-0.532333333333333
C11orf57	-0.019625
RFK	-0.163625
ZFYVE9	0.192857142857143
STCH	0.3835
WIBG	0.314
LOC283871	-1.0895
GBA2	-0.2874
NDUFB3	-0.3975
HSD17B13	-0.3495
GRIN3A	0.104
FMNL1	-1.51666666666667
SEPT7	-0.5161
GNLY	0.233
GRAMD1C	-0.014
ZNF165	-0.14325
USP38	0.236
FAM83A	-3.137
C14orf24	0.619666666666667
ARMCX3	1.635875
ARHGDIB	0.9725
AK1	0.180125
KIAA1045	-0.266
DNAJB13	-0.654
NEU2	0.4565
HIST1H4B	-1.12566666666667
FAM20B	0.124
HES2	0.186142857142857
FAM73B	-0.2048
LOC388381	-0.06725
INTS7	-0.669909090909091
AMPH	3.1905
ZNF775	-0.01725
UCKL1	-0.4765
C10orf97	0.364
C1orf161	0.05825
ALDH1L1	-1.5135
FLJ39378	-0.095
SLC23A1	-1.444
RBM4B	0.0105
THAP4	0.376833333333333
OGFRL1	-0.09025
KIAA0831	0.012375
PPP1R15A	-0.4215
C1orf96	-0.817642857142857
C12orf11	-2.1805
BMF	1.317625
MAN1A1	0.101875
KIAA1600	0.760833333333333
NLGN4X	-2.6925
ALOX12	-1.46783333333333
RB1CC1	-0.159
NEIL2	0.6069
EIF4E	0.453409090909091
ABHD5	-0.28175
EXOC4	-0.1215
CIP29	0.0643333333333333
BATF2	-1.6255
SLC29A4	-0.928
HTR4	0.175333333333333
EMB	-1.40075
TRAF6	0.659
LMNB1	-0.6205
FAM19A5	-0.847125
SHE	1.285
PIK3C2B	0.31475
C15orf15	0.0728
USP15	-0.6814
TCEAL2	0.4035
C5orf39	-1.59516666666667
PTGER2	1.013
SLC31A1	-0.4620625
IFT172	-0.2415
ADAM29	-0.72475
GFOD1	0.32625
ST7L	0.663333333333333
C15orf26	-3.11466666666667
PKN3	-1.07
CNTD1	3.53466666666667
COMMD1	0.4485
NTRK2	2.62141666666667
FOXN3	-0.096375
MFGE8	1.041
PFKFB2	0.306
TAS2R4	-0.34525
ENTHD1	0.497833333333333
PRMT5	-0.2385
MGC16384	-1.583875
LOC442229	-0.62875
TSKU	0.02375
KRTCAP3	2.959375
PDLIM1	1.3295
KCNS2	0.6195
RNF126	-0.673166666666667
CEP63	0.0595
CLIC4	1.458875
hCG_1990170	-0.90675
ACR	0.2307
KLK7	1.21375
ALOX5AP	3.858875
RIPK3	4.33225
TAS2R9	0.581
C19orf18	2.356
BIRC6	0.136428571428571
ZNF16	1.2815
RFT1	-0.07775
SLC8A2	-0.75425
TACC1	-0.441875
ITGAD	0.867
SAMHD1	0.21
SH3PXD2B	1.4707
EPC2	0.37925
C20orf85	3.3375
ATP13A2	0.148833333333333
KRT4	0.762875
CAPNS1	0.03475
MDM2	-0.348083333333333
PCDH20	0.330333333333333
KCNK9	0.621
OR2C1	-0.00299999999999997
KLHDC3	-0.623333333333333
IPPK	0.582
EFHD2	-0.353125
GALR3	1.01875
NBEA	1.428
ABCA6	1.6716
CLDN3	-0.0316666666666667
AKT2	-0.239928571428571
EGFR	-2.1699
RBM16	0.13325
ZDHHC3	0.2169
SLC25A4	0.264833333333333
CYB5B	-1.493
CPXM1	-0.07575
NDRG1	0.148769230769231
FLJ43826	0.63925
OR5L2	0.193666666666667
FARP2	0.9889
MRPL46	-0.0624166666666667
LDHAL6B	0.338666666666667
MAPKAPK3	-0.652833333333333
NCAM2	0.6305
PRKD2	0.0866666666666667
ZFP36L1	1.1369
CYSLTR1	-0.0575
OR4C3	-0.112
HIST1H2AJ	1.1475
CCNB2	-2.25188888888889
ZNF10	-0.09625
TMEM175	0.4225
FAM134A	0.7215
TIGD4	-0.9155
PCNP	-0.07475
MGC39715	-0.92125
LQK1	-2.72725
CREB1	0.1735
TMPRSS3	1.1355
C4orf32	2.81025
LAT	-2.64866666666667
KCNA3	0.511
SKIV2L2	-0.45575
ROPN1B	-3.5355
tcag7.23	-0.056
CDT1	-2.646
ZHX2	0.730875
CD28	-4.59975
ZNF624	1.24875
SEPT2	0.517916666666667
SOHLH2	-1.683625
MCOLN3	-1.131125
UNQ1945	0.4615
MASP2	-1.2005
ZNRF3	0.0679
GPATCH3	-0.401
AGL	0.683375
QRICH2	-0.7225
PSD4	1.27766666666667
CCNB1IP1	-2.02775
ENPP7	0.17275
OBFC1	-0.02675
KCNG3	-2.91575
C14orf79	1.6845
ENPEP	2.45316666666667
SCT	2.681
SKI	0.926375
SEC61G	-0.9015
CAPN11	0.08
ATXN7L3	-0.1175
DBNDD1	-0.882333333333333
FAIM	-0.51075
ANKRD36	-0.7095
GABRP	1.15083333333333
TACSTD2	2.33
EIF3J	-0.3425
PPP2R2A	0.25325
TEKT4	0.446166666666667
PVALB	-4.48283333333333
F10	-3.51816666666667
FAM134C	0.9926
COMP	5.518875
EFCBP1	-2.24186666666667
SCLT1	0.060875
TAL1	-1.3087
ACSL1	0.42425
ABCC5	1.63425
ABL1	-0.317888888888889
RBBP7	0.360333333333333
PTPRG	0.092875
NCOR1	0.5682
SPINK4	-0.8355
TXNRD1	-1.5017
TNRC15	0.930875
C9orf138	0.565625
UBE2H	0.974
BRDT	0.0122
C8orf31	-0.123
CCNE2	-0.933090909090909
SLC6A8	-1.658
CALCR	-4.07225
PPP1CB	0.273166666666667
ABHD8	0.2825
ARF5	0.1121
SLC24A4	0.4285
CCT3	-0.16975
ZNF121	0.17625
SLC3A2	-1.0174
OR13A1	0.0295
SLC5A10	0.0445
RAD50	0.168375
IER5	0.313125
MTHFD1L	-2.63625
MBTPS2	-0.183
MVK	-0.95225
NCL	-0.2804
PSMD10	-0.349
MOBP	0.183285714285714
FLJ32894	0.13
HRH1	-1.02966666666667
C5orf30	1.576
NUDT16L1	1.0983
RASGRP3	3.438
PRKRIP1	-0.4901
CCDC75	-0.505
LOC253970	0.687
KIAA1239	1.231
MED21	-0.35225
SYT11	1.10558333333333
NTSR2	-0.793
EGFL11	0.1515
CXorf59	0.326
OR2A25	-0.00849999999999999
SPTBN2	1.575
LRMP	-1.6525
RNF111	0.05725
PTH	0.538
LOC619208	0.776666666666667
KIAA0895	0.78025
RANBP5	-0.852625
P2RY10	1.22116666666667
NME5	4.42633333333333
DDX21	-1.329
LRSAM1	0.1125
HDAC11	2.498
VMO1	1.68875
NOLA2	-0.354666666666667
ADAR	0.7285
MTO1	-0.903666666666667
SF4	0.0348333333333333
P2RX1	-0.218833333333333
HBM	0.71
EN2	1.0635
C14orf172	-0.346
TM9SF2	0.582
INHBE	-1.30733333333333
TCTE3	0.128416666666667
TOX2	-3.61025
CTAGE3	0.283
HBB	4.0423
MED15	-0.7275
CASR	0.083
C6orf66	-1.57466666666667
MTPN	-0.682125
UNC50	-0.09825
C21orf33	-0.25525
IRF2	1.4125
PGR	2.63216666666667
GPR84	1.23075
CROCCL1	-1.1325
SRPX	-0.7915
BRE	0.417
FGF10	5.76575
SDC3	0.687833333333333
ZRSR1	0.6715
DKFZP434P211	-0.000624999999999973
SOX6	0.16
RPUSD2	-0.21025
C14orf173	0.398666666666667
MAPK11	-0.508833333333333
TBC1D22A	0.8355
FAM123A	0.002
COL4A6	-3.06616666666667
TOMM70A	0.112
NAB1	-0.188
MGC16385	-0.421125
TSPAN18	-0.150166666666667
MED31	-0.564
PLG	-0.58325
CAPSL	3.303
ZNF532	1.2141
ASB14	-0.16525
CA8	2.03725
NUDT16P	2.32983333333333
SLFN11	-1.1995
LRRIQ2	0.693
NOL7	-0.395833333333333
BRMS1L	-0.84975
JARID1A	0.0253333333333333
PANK2	-0.3015
ICAM3	-0.95275
MDS1	-1.4995
TAF8	-0.3895
RNF139	0.331
ZNF594	-0.0163333333333333
ADAM8	2.6325
SFTPC	-0.37775
MAN2B2	1.5745
RGS12	0.3865625
EIF1AY	-4.84133333333333
LRRIQ1	-1.922
GPR150	1.14375
CCDC21	-1.14883333333333
PRRG3	0.48975
SAA4	-4.01425
RAPGEF5	1.871125
ZCCHC2	-0.568416666666667
MGC39372	0.274
PPP4R2	-0.007
CDCA2	-1.89566666666667
OR4D5	0.348166666666667
PTGFRN	1.8058
SIGLEC5	1.92583333333333
C19orf61	0.0213333333333333
NMUR2	0.3525
KIAA1586	-1.04783333333333
DAGLA	-0.591833333333333
CHCHD6	-0.23325
GPR32	1.404
NEUROD6	0.074
SLC2A4RG	0.2709375
CA5B	0.475
FBXL3	1.4645
MPHOSPH9	-0.5655
HMG2L1	0.63075
HCN4	0.622833333333333
CEACAM19	0.36175
SH2D4B	0.384833333333333
HFE2	-2.258
TGM4	-0.3142
LYPD2	-0.49625
TBC1D15	0.1375
MRPS21	-0.2126
NONO	-0.4641
CLEC5A	2.34975
ITCH	-0.1637
MGAT3	-1.68333333333333
MBP	-0.406625
RPP25	-0.5065
SOSTDC1	-0.77175
HRC	-2.75125
TRIM48	-0.4965
TMEM133	1.10175
ECEL1P2	-0.558
HOXC11	0.5745
DOK5	-1.3415
HELZ	-0.0513333333333333
LOC348180	-0.9195
MGC33894	-0.00600000000000001
ADRB3	0.4565
DMD	-0.382833333333333
PTRH2	-0.89525
MPEG1	2.66233333333333
NDUFA12	-0.0701666666666667
KRTAP2-4	0.173272727272727
STAMBPL1	-1.52333333333333
ADCY2	1.35666666666667
UNQ6125	-1.566
KLHL20	0.0573333333333333
SRM	-1.3135
OTC	-0.25
TMIE	-0.1745
SNX8	-0.426
LIPK	-2.2555
CHURC1	0.520416666666667
KLC2	0.2085
HDAC1	-0.0888333333333333
FAM128A	0.388
FNDC3B	0.3359
MTCP1	-0.467666666666667
WFDC10B	-0.0686666666666667
PCDHGB3	-0.0785
ATRNL1	-1.0902
CAV2	-0.556375
MED26	0.0378333333333333
DUS1L	0.176
CHRM3	-2.048625
NEK9	1.033
WARS2	0.52525
TBX22	-0.674
TOMM40	-1.222
RP6-213H19.1	-0.5975
TUBGCP5	-0.7615
IGSF6	4.82775
TPPP	0.93275
UNQ6190	-0.6705
GSTM5	1.97125
BTD	1.96983333333333
PDCD1LG2	-0.657333333333333
SNRPB2	-0.4335
ERICH1	-1.032625
APOA4	-1.319375
HOXA11	-2.3915
NARG1	-0.521875
MKX	-1.462
RAB28	-0.00407142857142856
PKP3	0.71025
SH3GL2	-1.0975
CTSO	3.40925
RPN2	0.4243125
IL28RA	0.383333333333333
SFMBT1	0.50875
WDR57	-0.950625
FER1L3	0.946916666666667
HSF5	0.807166666666667
TTC9B	0.09275
C4BPA	-3.02116666666667
ALB	-4.43464285714286
SORBS3	0.287125
UPF2	-0.42
JPH1	-0.2425
AGBL2	0.80475
DOPEY1	1.5925
TERF1	-0.21875
KIF22	-0.7075
NINJ1	1.35575
SEC61A2	-0.512416666666667
HIST1H1D	-0.6005
SFXN4	-0.244625
UCP3	0.0272
ZNF703	1.0685
MYL6B	-0.653
TREM1	3.35375
OR52E6	1.029
CKMT2	1.485
HLA-C	1.38975
SLC13A3	-2.08266666666667
TIMP4	-1.042
SLIT2	1.524
RSF1	0.178222222222222
LONRF1	-0.516285714285714
MON1A	-0.442833333333333
CACNG6	-0.187333333333333
DPPA4	-5.543
ZSWIM3	-0.16575
ZNF804A	-0.055
CCIN	0.557
SLC25A31	0.758666666666667
KCNMB4	-0.437
RABL5	0.461625
GALNS	-0.2593
STX6	0.52175
HIST1H1C	-1.25633333333333
CIDEB	0.36375
CASP4	0.242333333333333
PDK3	0.57
KCNJ11	2.1345
TPR	-0.23275
ZSCAN20	-0.3015
MTX2	0.031
HIST1H2BH	0.2875
LOC283767	0.717
LYRM7	-1.02944444444444
BRD3	0.499
HIST1H2BO	-0.31825
MAGEB10	-0.1395
SLC45A1	1.0285
SERPINA3	3.87905
KIAA0143	1.35725
KCNJ16	0.991666666666667
KRT79	-0.25275
FABP2	-0.89275
NUT	0.0306666666666667
ZNF57	-0.352
FBXL4	0.441
CLEC9A	-0.306
UGT8	-1.3095
BMP2K	0.53975
MAPK4	-4.0095
SLC25A23	-0.8705
HINT1	-0.115
KRTAP13-1	0.0355
SFXN5	0.122
CHCHD2	0.00316666666666664
FAM3D	1.5165
NDP	-3.097875
RHOBTB1	0.514666666666667
SLC4A4	-1.191
RPL38	-0.23225
HTF9C	-0.376666666666667
AP2A2	0.819875
ZBTB46	-0.1715
MAP7D1	0.250125
AOX1	-0.627833333333333
CYR61	2.28433333333333
DTNA	-1.76471428571429
JRKL	-0.723
TMOD3	-0.49675
EEA1	0.2725
ADCK5	-0.18975
IL1R1	2.9535
KLK3	0.472642857142857
HRSP12	-0.7335
KTN1	0.39875
LOH11CR2A	2.2516
RELL2	-1.95675
MAB21L1	0.443
C20orf59	-1.48383333333333
PHKB	-0.50425
ADAM2	-1.76466666666667
TBC1D8B	1.99416666666667
FAM13A1	-0.0219375
LAPTM4B	-2.59308333333333
LCN8	-0.12
TMEM147	0.1145
SYT4	0.249333333333333
XPO7	-0.369
C9orf62	1.21625
GPR75	0.125
TRIM5	0.32
APOC1	-0.330666666666667
RNASE4	1.11
PARD6B	-1.8125
ARID1A	0.47075
TPD52L3	0.0213
RRAGB	0.743833333333333
RCN2	-0.547833333333333
HIST2H2BE	0.4185625
STARD7	-0.50175
SHMT2	-1.05375
KIAA1751	0.489833333333333
MLYCD	-0.075
LOC162632	-0.1893
UQCRH	-1.54825
RP11-217H1.1	0.282625
SDHA	-0.312333333333333
NCLN	-0.2551
ZNF17	0.822666666666667
RCBTB2	-1.51725
VEGFB	0.2718
RP4-747L4.3	-0.09375
COLQ	0.9162
MPN2	-0.4696
DRG2	-0.1355
KLRB1	2.0195
ALPK2	-1.5955
DNASE2B	2.2335
FLJ23834	0.942
AXUD1	1.39766666666667
SAFB	-0.3306
NSUN4	0.227
RFX2	-0.3545
MAPK8IP1	-1.00683333333333
FANCD2	-0.0427857142857142
ANKZF1	-1.389
C19orf50	-0.410125
DUSP8	0.621875
SENP5	-0.41175
NFKBIL2	-0.46825
LBR	-1.574375
IGFL1	1.835
LZTS2	0.275875
IL2RG	-1.72975
CCDC51	-0.01025
KLF3	0.662625
ANKRD37	-1.20625
KCTD14	-1.88016666666667
FZR1	0.432916666666667
SLC44A4	4.7195
ESPL1	-1.0045
GMPR2	0.0315
TBC1D19	-0.0618333333333333
ERGIC1	1.04411111111111
ERBB4	2.5612
TSPAN32	-0.15025
MAP4	0.2595
GPHN	-0.40375
SLC6A2	-0.483875
HIVEP1	0.40875
DFFB	-0.678
EIF4EBP2	0.1805
DMRT1	-0.646
HSPB6	-0.4785
IER2	-0.208666666666667
AIFM1	0.2165
WWC2	0.621666666666667
MRPL4	-0.73475
FLJ21062	1.97116666666667
EPB41L4A	2.47016666666667
SH2D6	0.23925
TAF4B	-1.543
GAL3ST3	-0.462
MALT1	-1.354
RTDR1	-0.61425
ARVCF	0.189
MEX3B	-0.857333333333333
FBXO16	1.5885
KIF7	-0.551
C1QC	4.413
ZNF783	-0.811
ZNF85	0.1675
MMP13	3.423
KIAA0329	0.611
RTP3	-0.802
ZBED3	0.1235
CLGN	0.95
SLC25A37	-1.131375
hCG_18290	0.17
OR5AS1	0.2365
SMARCC2	0.577833333333333
FAM109A	-0.0226666666666667
CCDC12	-0.46025
USF2	0.5804
DEPDC7	-1.82075
C20orf24	-1.23783333333333
JMJD3	-0.464
DSP	1.78064285714286
SLIC1	0.09725
FAM20A	-0.30325
IRF2BP2	0.791625
