Hybridization REF	TCGA-C8-A1HL-01A-11R-A137-07
WFIKKN1	0.314
SERP1	-0.094125
SYDE2	0.01225
TACR2	1.4415
NUP85	-0.162
CD177	-0.607833333333333
LGR5	-3.41683333333333
PIGG	-0.83725
PTHR1	-1.10033333333333
RAB5A	0.0452
FLJ13224	0.4075
USP9Y	-2.79316666666667
C7orf53	0.7085
LRP1B	5.39625
XAF1	0.95
ABCG8	-1.092
ANKDD1A	-0.949666666666667
DAND5	-1.406
SPAG6	3.42016666666667
LINCR	-0.25325
ZDHHC22	-1.515125
CCDC60	1.1005
THOC7	-0.387666666666667
TCTA	1.171
OR8K3	0.57425
NY-REN-7	-1.54275
B2M	1.02233333333333
C6orf141	-0.369625
LPPR4	3.885
SQLE	-1.394
SEPHS1	-0.5345
BTBD14B	0.515285714285714
PLRG1	-0.95525
SPG7	0.0648125
ZNF614	0.127166666666667
PARD6G	0.655333333333333
INPP5B	-0.2414
GRPEL2	-0.077375
PPID	-0.3416
TRIM56	-0.2255
UBE2J1	0.0295
IL20RA	5.85775
LOC387856	0.37675
C1orf107	0.0214166666666667
UTS2R	0.36125
C19orf22	1.242
SAFB2	-0.63825
KIAA0652	0.244625
KLRG1	-0.858833333333333
MS4A8B	0.583833333333333
FRAG1	1.196
KIAA1546	0.164
E2F4	-0.3157
CLEC4M	-0.6948
BTBD14A	0.50225
KIAA0999	0.3911
GYPA	-3.7555
TAC1	1.0785
TRAIP	0.068
KIAA0232	0.2189
ERCC8	-0.94325
GPX4	0.985125
KIAA0368	-0.04625
GPR157	-0.242333333333333
CTAGE4	3.196
C9orf30	-1.16933333333333
OR52A1	0.0355
HSP90B3P	-0.451
ALG9	-0.6156
BTBD10	0.66625
SDK2	0.102
BAIAP3	-1.39925
RABGGTB	-0.90675
ANKRD40	-0.336666666666667
KRT74	-0.0605
CALCOCO2	-0.617928571428571
SNCA	-3.19575
TMSL8	-4.69525
C2orf53	-0.256
ESRRB	-0.5015
ARHGAP26	-0.865375
TDRD9	-2.87325
HRAS	1.68916666666667
KLRC4	-1.9285
JAGN1	-0.158833333333333
BSDC1	0.769
RNF43	0.9118
NDUFAF1	0.646
PHF12	0.84275
OR1L3	0.41575
FOLR2	2.73033333333333
LYZL6	-0.0228
tcag7.1260	-1.1995
WSB1	-1.60016666666667
PROS1	-1.097
OSTN	0.75
PSMB8	1.19625
SOCS4	-0.058625
DDIT4L	0.90175
MAS1	0.3325
MGC34796	1.702
CSHL1	0.629166666666667
TBCCD1	0.934833333333333
ZBTB7C	0.428
AP2S1	0.39975
P15RS	-0.1685
VAT1	-0.4796
SHANK3	1.5485
TUFM	-0.054
THEG	-0.486
KRT34	-2.5465
SGSM3	0.47375
TOMM22	-1.07425
SOCS3	1.1595
CPO	0.1395
POP4	0.175
BHLHB3	2.82925
MALL	2.21975
OR1B1	1.3125
PARK2	0.251166666666667
GPR124	0.95725
LCE1E	0.735
RUVBL2	0.0955
CGRRF1	0.0708
ACPL2	0.53675
WNT10B	-2.328
BAIAP2L2	-1.791875
ISCA1	-0.172
C1orf125	-0.4515
RPAP1	-0.68325
RAI16	-0.69
RPL27	-1.1225
NLRP9	0.236
EPN1	0.5135
LOC388610	-2.658875
SLC35A1	1.2452
GAL	-3.356
SLC14A2	0.82375
RDH11	0.2245
FAM138F	0.185
AUH	-0.48525
FLJ40243	0.39675
C14orf129	0.231
MBD2	-0.358
ABHD14B	1.056
PIGT	0.80425
ALS2CR4	-0.67625
ALAS1	0.3027
FOXO1	0.2275
CRLF3	-1.0375
C20orf107	0.2935
FARS2	0.3955
CCDC28A	-0.24975
NPHP3	-1.10975
OR13F1	-0.016
TSEN54	0.24225
DEFB106B	0.8812
OR8B4	0.364
STH	-1.14025
ZC3H14	-0.24225
CBX2	-0.977
TMEM49	0.5545
C6orf21	0.755
FLJ20920	0.873
CRTAP	0.269857142857143
DDX50	-0.3825
STYXL1	-0.79575
BLVRB	0.564833333333333
LOC147650	-0.157666666666667
MMP24	0.2475
GRID1	2.70533333333333
BANF1	0.786666666666667
CTAGEP	1.00425
HMBS	-1.817
SLC25A24	-0.642166666666667
C14orf50	2.736
MRO	2.43833333333333
SLC25A15	0.514
FAM84B	-0.2094
TDP1	-0.366
C16orf78	0.042
C11orf57	-0.566125
RFK	-0.461875
ZFYVE9	-1.14075
STCH	-1.7129
WIBG	1.33225
LOC283871	0.7385
GBA2	-0.416
NDUFB3	-0.64175
HSD17B13	-1.441
GRIN3A	1.87866666666667
FMNL1	-0.0781666666666667
SEPT7	-1.3055
GNLY	2.775
GRAMD1C	0.660166666666667
ZNF165	0.54975
USP38	0.33225
FAM83A	-0.604166666666667
C14orf24	0.6465
ARMCX3	0.728125
ARHGDIB	1.24716666666667
AK1	1.155125
KIAA1045	0.236333333333333
DNAJB13	-0.443166666666667
NEU2	0.4345
HIST1H4B	-1.125
FAM20B	-0.7005
HES2	-0.0539285714285714
FAM73B	0.3357
LOC388381	0.708
INTS7	0.183545454545455
AMPH	1.282
ZNF775	-0.25325
UCKL1	-0.374666666666667
C10orf97	0.06775
C1orf161	-0.07375
ALDH1L1	-1.6285
FLJ39378	0.041125
SLC23A1	-1.9285
RBM4B	0.48525
THAP4	0.720166666666667
OGFRL1	0.34375
KIAA0831	-0.0505
PPP1R15A	0.57
C1orf96	-0.08
C12orf11	-0.727
BMF	1.63075
MAN1A1	-1.307
KIAA1600	-0.245166666666667
NLGN4X	-1.78725
ALOX12	-1.634
RB1CC1	-0.9105
NEIL2	-0.604
EIF4E	-0.392272727272727
ABHD5	0.11
EXOC4	-0.142666666666667
CIP29	0.514666666666667
BATF2	0.5775
SLC29A4	-0.2145
HTR4	0.15725
EMB	-2.017
TRAF6	0.71575
LMNB1	-1.19675
FAM19A5	-2.015
SHE	3.03475
PIK3C2B	2.2885
C15orf15	-0.591
USP15	-0.8688
TCEAL2	-0.89625
C5orf39	-0.729
PTGER2	-0.845
SLC31A1	-1.157625
IFT172	-0.07525
ADAM29	1.31725
GFOD1	-0.22225
ST7L	0.6645
C15orf26	-1.719
PKN3	-0.17575
CNTD1	2.28116666666667
COMMD1	0.3
NTRK2	1.71091666666667
FOXN3	-0.25825
MFGE8	0.291
PFKFB2	1.41483333333333
TAS2R4	-0.3235
ENTHD1	0.584833333333333
PRMT5	-0.83275
MGC16384	-1.286875
LOC442229	-0.91125
TSKU	1.80125
KRTCAP3	3.001875
PDLIM1	1.1659
KCNS2	0.38975
RNF126	0.434333333333333
CEP63	-0.34275
CLIC4	-0.628375
hCG_1990170	-1.60125
ACR	1.0986
KLK7	0.019
ALOX5AP	2.16875
RIPK3	4.3665
TAS2R9	0.3015
C19orf18	2.2985
BIRC6	0.504142857142857
ZNF16	1.118
RFT1	-0.0735
SLC8A2	-0.9025
TACC1	-1.033375
ITGAD	2.46175
SAMHD1	0.93675
SH3PXD2B	1.2428
EPC2	0.895
C20orf85	-0.3785
ATP13A2	1.12433333333333
KRT4	0.827125
CAPNS1	1.112
MDM2	-0.796166666666667
PCDH20	-0.02825
KCNK9	0.8755
OR2C1	-0.426
KLHDC3	0.038
IPPK	0.7355
EFHD2	1.415625
GALR3	0.05775
NBEA	-1.15066666666667
ABCA6	3.3589
CLDN3	3.236
AKT2	0.0461428571428572
EGFR	-2.7928
RBM16	0.478
ZDHHC3	0.7111
SLC25A4	0.317333333333333
CYB5B	-0.641333333333333
CPXM1	1.045
NDRG1	-1.73115384615385
FLJ43826	0.9185
OR5L2	0.701
FARP2	0.6112
MRPL46	-0.544916666666667
LDHAL6B	-0.1345
MAPKAPK3	0.372333333333333
NCAM2	-2.51975
PRKD2	0.670166666666667
ZFP36L1	-0.0707
CYSLTR1	-1.46125
OR4C3	0.218
HIST1H2AJ	2.7425
CCNB2	-0.634111111111111
ZNF10	-0.189
TMEM175	0.332
FAM134A	1.38216666666667
TIGD4	1.0455
PCNP	-1.21975
MGC39715	-0.49275
LQK1	-2.232
CREB1	-0.671
TMPRSS3	-1.13975
C4orf32	1.449875
LAT	-1.92558333333333
KCNA3	-1.862
SKIV2L2	-1.1895
ROPN1B	-2.96225
tcag7.23	0.0375
CDT1	-0.96725
ZHX2	-0.029
CD28	-2.4925
ZNF624	1.1925
SEPT2	0.0348333333333333
SOHLH2	-2.44125
MCOLN3	-1.154125
UNQ1945	0.325
MASP2	0.752
ZNRF3	-1.7963
GPATCH3	0.10725
AGL	1.31925
QRICH2	1.2925
PSD4	0.980666666666667
CCNB1IP1	-1.61
ENPP7	0.56175
OBFC1	0.17625
KCNG3	-1.90166666666667
C14orf79	1.35375
ENPEP	3.56766666666667
SCT	1.0845
SKI	0.473625
SEC61G	-0.17075
CAPN11	0.9755
ATXN7L3	0.56075
DBNDD1	2.146
FAIM	0.4975
ANKRD36	-1.152
GABRP	1.7015
TACSTD2	2.0165
EIF3J	-0.0295
PPP2R2A	-1.40725
TEKT4	-0.705666666666667
PVALB	1.90716666666667
F10	-2.617
FAM134C	1.0279
COMP	4.362
EFCBP1	-1.7323125
SCLT1	-0.876125
TAL1	-0.5358
ACSL1	-0.96375
ABCC5	-0.578916666666667
ABL1	-0.476277777777778
RBBP7	-0.0105
PTPRG	-1.136
NCOR1	-0.7122
SPINK4	3.44683333333333
TXNRD1	-1.1261
TNRC15	-0.23025
C9orf138	-0.018875
UBE2H	1.02483333333333
BRDT	0.154166666666667
C8orf31	0.1215
CCNE2	-0.272181818181818
SLC6A8	-1.004875
CALCR	-4.8075
PPP1CB	0.479583333333333
ABHD8	0.29575
ARF5	1.1235
SLC24A4	1.37975
CCT3	0.946
ZNF121	-0.753625
SLC3A2	-1.1543
OR13A1	0.744
SLC5A10	0.4155
RAD50	-0.410875
IER5	0.205875
MTHFD1L	-2.575125
MBTPS2	0.174
MVK	0.643625
NCL	0.2503
PSMD10	-0.87775
MOBP	0.241
FLJ32894	0.347
HRH1	-0.0485
C5orf30	0.66675
NUDT16L1	0.8344
RASGRP3	4.82583333333333
PRKRIP1	0.0176
CCDC75	-0.536
LOC253970	-0.371
KIAA1239	-0.539
MED21	-0.24725
SYT11	0.64675
NTSR2	-0.519
EGFL11	-0.2485
CXorf59	-0.263
OR2A25	0.65675
SPTBN2	0.3275
LRMP	-1.18383333333333
RNF111	-0.3425
PTH	0.546
LOC619208	-0.462
KIAA0895	1.17275
RANBP5	-1.19375
P2RY10	-0.327833333333333
NME5	2.93616666666667
DDX21	-0.7885
LRSAM1	0.9955
HDAC11	1.88466666666667
VMO1	2.062
NOLA2	0.0628333333333333
ADAR	0.20325
MTO1	-0.661666666666667
SF4	0.7705
P2RX1	0.402166666666667
HBM	0.449
EN2	0.1965
C14orf172	0.83925
TM9SF2	0.0169
INHBE	-1.03566666666667
TCTE3	0.193545454545455
TOX2	-2.74475
CTAGE3	-0.158125
HBB	3.8534
MED15	-0.225
CASR	-0.20125
C6orf66	-1.19183333333333
MTPN	-0.63925
UNC50	-0.67975
C21orf33	0.449
IRF2	1.124
PGR	-2.659
GPR84	2.373
CROCCL1	-1.864
SRPX	-1.5615
BRE	-0.035
FGF10	-0.6815
SDC3	0.6255
ZRSR1	1.08866666666667
DKFZP434P211	-0.208125
SOX6	-1.2305
RPUSD2	-0.22
C14orf173	0.333416666666667
MAPK11	-0.287166666666667
TBC1D22A	0.804
FAM123A	-1.5395
COL4A6	-3.97116666666667
TOMM70A	-0.5635
NAB1	-1.29875
MGC16385	0.6355
TSPAN18	-0.647166666666667
MED31	-0.56625
PLG	-0.55075
CAPSL	0.743
ZNF532	1.5441
ASB14	-0.126
CA8	-0.82025
NUDT16P	3.46533333333333
SLFN11	-0.806
LRRIQ2	-0.049375
NOL7	-0.271166666666667
BRMS1L	-1.081625
JARID1A	-0.8275
PANK2	0.0335
ICAM3	0.00775
MDS1	-0.712
TAF8	-0.34325
RNF139	0.4
ZNF594	0.023
ADAM8	3.726625
SFTPC	0.323285714285714
MAN2B2	1.455625
RGS12	0.0829375
EIF1AY	-5.22341666666667
LRRIQ1	-1.858
GPR150	0.14
CCDC21	-0.985833333333333
PRRG3	0.49
SAA4	-3.9375
RAPGEF5	1.59475
ZCCHC2	0.00366666666666669
MGC39372	-0.127
PPP4R2	-0.433
CDCA2	-2.24566666666667
OR4D5	0.429666666666667
PTGFRN	0.3893
SIGLEC5	2.23566666666667
C19orf61	0.753833333333333
NMUR2	0.4275
KIAA1586	-2.173
DAGLA	-0.527
CHCHD6	-0.44
GPR32	0.555
NEUROD6	0.1025
SLC2A4RG	1.066375
CA5B	0.43025
FBXL3	0.87975
MPHOSPH9	-0.985
HMG2L1	-0.09925
HCN4	-0.225833333333333
CEACAM19	0.8475
SH2D4B	-0.0423333333333334
HFE2	-1.81
TGM4	0.568666666666667
LYPD2	0.2385
TBC1D15	-0.5595
MRPS21	-0.6671
NONO	-0.4944
CLEC5A	2.259
ITCH	-0.1979
MGAT3	-0.663333333333333
MBP	-0.851625
RPP25	1.066
SOSTDC1	-2.414
HRC	-0.36925
TRIM48	-0.2125
TMEM133	0.265
ECEL1P2	-2.0175
HOXC11	0.4475
DOK5	0.07525
HELZ	1.10583333333333
LOC348180	0.17525
MGC33894	0.51875
ADRB3	0.621
DMD	-0.550833333333333
PTRH2	1.099
MPEG1	3.71616666666667
NDUFA12	0.502666666666667
KRTAP2-4	0.236333333333333
STAMBPL1	-1.7985
ADCY2	-0.3255
UNQ6125	0.8885
KLHL20	-0.343
SRM	-0.728
OTC	0.4295
TMIE	-0.322833333333333
SNX8	0.96225
LIPK	-0.5295
CHURC1	-0.750083333333333
KLC2	0.843
HDAC1	0.148666666666667
FAM128A	1.48433333333333
FNDC3B	-0.7983
MTCP1	0.0238333333333334
WFDC10B	0.2209
PCDHGB3	-0.5335
ATRNL1	-2.1592
CAV2	-0.063
MED26	-0.332833333333333
DUS1L	0.53125
CHRM3	-1.26625
NEK9	0.44375
WARS2	0.11325
TBX22	-0.7845
TOMM40	0.03075
RP6-213H19.1	-0.0958333333333333
TUBGCP5	0.2715
IGSF6	5.273
TPPP	0.464166666666667
UNQ6190	0.03
GSTM5	-0.473875
BTD	1.55933333333333
PDCD1LG2	0.297666666666667
SNRPB2	0.130833333333333
ERICH1	-1.7425
APOA4	-1.434
HOXA11	-1.979
NARG1	-0.689375
MKX	-2.201
RAB28	-1.19364285714286
PKP3	1.69
SH3GL2	-3.3325
CTSO	2.48325
RPN2	0.1620625
IL28RA	-0.346
SFMBT1	1.3
WDR57	-0.920625
FER1L3	-0.50225
HSF5	0.2395
TTC9B	1.199
C4BPA	-3.76766666666667
ALB	-4.90523076923077
SORBS3	0.49525
UPF2	0.3565
JPH1	-0.2305
AGBL2	0.88
DOPEY1	0.7045
TERF1	-0.8925
KIF22	0.8015
NINJ1	0.5935
SEC61A2	-0.11475
HIST1H1D	0.365333333333333
SFXN4	0.1895
UCP3	0.0597
ZNF703	2.17866666666667
MYL6B	-0.591
TREM1	2.42375
OR52E6	0.706
CKMT2	-0.11225
HLA-C	1.38725
SLC13A3	0.136
TIMP4	-2.04975
SLIT2	2.36325
RSF1	-0.839777777777778
LONRF1	-2.255
MON1A	0.159333333333333
CACNG6	-2.01166666666667
DPPA4	-5.78033333333333
ZSWIM3	0.785
ZNF804A	1.48833333333333
CCIN	1.65575
SLC25A31	0.211
KCNMB4	-0.2835
RABL5	0.797625
GALNS	0.9061
STX6	0.61125
HIST1H1C	0.6855
CIDEB	-0.5705
CASP4	0.693166666666667
PDK3	0.5289
KCNJ11	2.476
TPR	-0.63025
ZSCAN20	-0.518
MTX2	-0.3075
HIST1H2BH	1.5035
LOC283767	1.36325
LYRM7	-1.51988888888889
BRD3	0.666833333333333
HIST1H2BO	1.037
MAGEB10	-0.245
SLC45A1	1.1985
SERPINA3	2.40075
KIAA0143	0.65775
KCNJ16	-0.2262
KRT79	0.58325
FABP2	-1.249
NUT	-0.0755
ZNF57	-0.626
FBXL4	-0.895125
CLEC9A	1.034
UGT8	-1.82283333333333
BMP2K	-0.29525
MAPK4	-3.651
SLC25A23	-0.4512
HINT1	-0.9148
KRTAP13-1	0.683
SFXN5	1.2276
CHCHD2	0.432083333333333
FAM3D	1.727
NDP	-4.55375
RHOBTB1	-0.668833333333333
SLC4A4	-1.709625
RPL38	0.4895
HTF9C	-0.198833333333333
AP2A2	1.095375
ZBTB46	0.317
MAP7D1	0.412625
AOX1	-2.54133333333333
CYR61	-0.303666666666667
DTNA	0.688357142857143
JRKL	-1.00375
TMOD3	-0.64975
EEA1	-0.3709
ADCK5	0.69475
IL1R1	0.636
KLK3	0.308285714285714
HRSP12	-0.85775
KTN1	-0.4025
LOH11CR2A	-0.4508
RELL2	0.8025
MAB21L1	1.9185
C20orf59	-0.315166666666667
PHKB	-0.2465
ADAM2	-0.837666666666667
TBC1D8B	0.7455
FAM13A1	-1.4338125
LAPTM4B	-1.7635
LCN8	0.453
TMEM147	0.43
SYT4	-0.326166666666667
XPO7	-1.6045
C9orf62	-0.27475
GPR75	0.1485
TRIM5	0.513625
APOC1	1.88216666666667
RNASE4	-0.537666666666667
PARD6B	-2.036625
ARID1A	0.134166666666667
TPD52L3	0.1811
RRAGB	0.103666666666667
RCN2	-1.32283333333333
HIST2H2BE	1.61975
STARD7	-0.41
SHMT2	-0.473
KIAA1751	0.021
MLYCD	0.32375
LOC162632	1.213
UQCRH	-1.142
RP11-217H1.1	-0.55025
SDHA	-1.19366666666667
NCLN	-0.5707
ZNF17	0.152
RCBTB2	-1.1925
VEGFB	-0.0678
RP4-747L4.3	-1.33875
COLQ	1.0004
MPN2	-0.838666666666667
DRG2	0.05775
KLRB1	5.3375
ALPK2	-2.424
DNASE2B	4.395
FLJ23834	-0.6495
AXUD1	1.00116666666667
SAFB	-0.3447
NSUN4	0.31425
RFX2	0.321
MAPK8IP1	-0.496666666666667
FANCD2	-0.157714285714286
ANKZF1	-0.775833333333333
C19orf50	-0.52875
DUSP8	1.802625
SENP5	-0.01075
NFKBIL2	1.018
LBR	-1.135625
IGFL1	1.404
LZTS2	0.88675
IL2RG	-1.4245
CCDC51	-0.36625
KLF3	0.34775
ANKRD37	-0.64475
KCTD14	-2.1595
FZR1	0.666583333333333
SLC44A4	4.269
ESPL1	-0.25375
GMPR2	-0.0434
TBC1D19	-1.34783333333333
ERGIC1	1.18555555555556
ERBB4	4.0261
TSPAN32	0.0205
MAP4	0.720125
GPHN	-1.7885
SLC6A2	-0.815875
HIVEP1	-0.1425
DFFB	-0.3427
EIF4EBP2	0.664
DMRT1	-0.10875
HSPB6	0.879
IER2	0.648166666666667
AIFM1	0.326
WWC2	0.483583333333333
MRPL4	-1.1105
FLJ21062	0.0781666666666667
EPB41L4A	1.51841666666667
SH2D6	0.75725
TAF4B	-2.10725
GAL3ST3	-0.1485
MALT1	-0.678333333333333
RTDR1	-0.4875
ARVCF	0.12775
MEX3B	0.0576666666666667
FBXO16	0.051
KIF7	-1.103
C1QC	4.16133333333333
ZNF783	-1.0635
ZNF85	-0.54625
MMP13	5.972
KIAA0329	0.55325
RTP3	-0.6485
ZBED3	-0.985
CLGN	0.34375
SLC25A37	-2.09283333333333
hCG_18290	-0.5385
OR5AS1	-1.1855
SMARCC2	0.353916666666667
FAM109A	0.290333333333333
CCDC12	0.76925
USF2	0.8083
DEPDC7	-2.20825
C20orf24	-0.708
JMJD3	0.8685
DSP	0.339357142857143
SLIC1	0.635375
FAM20A	0.978125
IRF2BP2	0.1445
ZNF230	0.0545
MSN	-0.445857142857143
SLC9A5	-1.5485
EPDR1	-1.6604
MUSK	0.353166666666667
ZNF434	-0.3275
SMARCD1	-0.486
ZFP106	-0.4255
ZNF347	0.2027
GTF2E1	0.23775
RY1	-0.397666666666667
ATAD2B	0.7445
