Hybridization REF	TCGA-AR-A1AN-01A-11R-A12P-07
CLDN3	0.657666666666667
AKT2	-0.915642857142857
EGFR	-0.9874
RBM16	-0.12975
ZDHHC3	0.1255
SLC25A4	-1.16283333333333
CYB5B	-0.737
CPXM1	2.73975
NDRG1	-0.580230769230769
FLJ43826	0.29675
OR5L2	0.391
FARP2	0.6938
MRPL46	0.0573333333333333
LDHAL6B	-0.792333333333333
MAPKAPK3	0.292333333333333
NCAM2	0.5525
PRKD2	1.261
ZFP36L1	1.3684
CYSLTR1	0.91475
OR4C3	0.28975
HIST1H2AJ	0.438
CCNB2	-3.28811111111111
ZNF10	0.168125
TMEM175	0.5425
FAM134A	1.2465
TIGD4	-1.169
PCNP	0.17575
MGC39715	-2.67366666666667
LQK1	-0.36675
CREB1	0.4657
TMPRSS3	1.777
C4orf32	1.674
LAT	-1.42433333333333
KCNA3	-0.087
SKIV2L2	-1.05225
ROPN1B	0.9485
tcag7.23	0.1345
CDT1	-4.04
ZHX2	0.950125
CD28	-2.2525
ZNF624	0.7085
SEPT2	0.381666666666667
SOHLH2	-1.911
MCOLN3	-0.409571428571429
UNQ1945	0.611
MASP2	-2.2985
ZNRF3	-1.2845
GPATCH3	0.18
AGL	0.9915
QRICH2	0.712
PSD4	1.79383333333333
CCNB1IP1	-0.776
ENPP7	0.22525
OBFC1	-0.13
KCNG3	-4.21033333333333
C14orf79	0.98375
ENPEP	2.3425
SCT	0.665
SKI	-0.061
SEC61G	-1.3215
CAPN11	1.17
ATXN7L3	0.02475
DBNDD1	-0.587333333333333
FAIM	-0.046
ANKRD36	-1.7705
GABRP	3.814
TACSTD2	1.86633333333333
EIF3J	-0.679
PPP2R2A	0.42075
TEKT4	0.0851666666666667
PVALB	0.916
F10	-1.5515
FAM134C	1.1067
COMP	5.27775
EFCBP1	-1.72186666666667
SCLT1	-0.572125
TAL1	-0.8237
ACSL1	0.2015
ABCC5	-1.60566666666667
ABL1	-0.286722222222222
RBBP7	1.11108333333333
PTPRG	-1.00625
NCOR1	0.0407
SPINK4	-1.50116666666667
TXNRD1	-2.0135
TNRC15	-0.442125
C9orf138	0.34175
UBE2H	0.230166666666667
BRDT	-0.248333333333333
C8orf31	-0.2925
CCNE2	-2.42209090909091
SLC6A8	-1.4435
CALCR	-3.96775
PPP1CB	0.93275
ABHD8	0.6055
ARF5	0.7174
SLC24A4	0.9225
CCT3	-0.08275
ZNF121	-0.12175
SLC3A2	-0.7728
OR13A1	0.275
SLC5A10	-0.32825
RAD50	-0.18325
IER5	0.276375
MTHFD1L	-2.677125
MBTPS2	0.0393333333333333
MVK	-0.637375
NCL	-0.3422
PSMD10	0.1035
MOBP	-0.509
FLJ32894	0.872
HRH1	-0.457333333333333
C5orf30	1.43
NUDT16L1	1.3526
RASGRP3	3.55666666666667
PRKRIP1	-0.7618
CCDC75	-1.0985
LOC253970	0.0170000000000001
KIAA1239	0.0623333333333333
MED21	0.18475
SYT11	0.33525
NTSR2	-1.202
EGFL11	-0.353
CXorf59	-0.0435
OR2A25	0.1035
SPTBN2	0.1755
LRMP	-0.406833333333333
RNF111	0.017
PTH	-0.305
LOC619208	0.911333333333333
KIAA0895	0.456
RANBP5	-1.43425
P2RY10	1.53633333333333
NME5	4.5215
DDX21	-0.683
LRSAM1	0.0445
HDAC11	1.67966666666667
VMO1	2.108
NOLA2	-0.301333333333333
ADAR	0.907666666666667
MTO1	-0.739333333333333
SF4	1.09783333333333
P2RX1	0.188833333333333
HBM	-0.16875
EN2	0.1625
C14orf172	0.0995
TM9SF2	0.7877
INHBE	-0.889666666666667
TCTE3	-0.270583333333333
TOX2	-2.80325
CTAGE3	-0.392857142857143
HBB	3.8728
MED15	0.0731666666666667
CASR	0.0393333333333333
C6orf66	-1.19166666666667
MTPN	-1.154875
UNC50	0.63525
C21orf33	0.294625
IRF2	0.583125
PGR	2.72733333333333
GPR84	1.39875
CROCCL1	-1.52175
SRPX	0.6415
BRE	0.1795
FGF10	1.31875
SDC3	0.163333333333333
ZRSR1	0.773
DKFZP434P211	-0.201625
SOX6	0.625
RPUSD2	-0.4445
C14orf173	-0.374583333333333
MAPK11	-0.4365
TBC1D22A	0.9525
FAM123A	-0.4915
COL4A6	-1.70933333333333
TOMM70A	-0.1035
NAB1	0.184375
MGC16385	-0.501
TSPAN18	-0.434666666666667
MED31	-0.3515
PLG	0.88575
CAPSL	0.0705
ZNF532	0.225
ASB14	-0.178666666666667
CA8	0.27925
NUDT16P	1.10516666666667
SLFN11	-1.053
LRRIQ2	-1.1215
NOL7	-0.695166666666667
BRMS1L	-0.13675
JARID1A	-0.5215
PANK2	-0.791
ICAM3	0.02825
MDS1	-0.578
TAF8	-0.478
RNF139	0.4845
ZNF594	-0.106
ADAM8	2.193125
SFTPC	-0.408375
MAN2B2	1.4715
RGS12	0.7455
EIF1AY	-4.49745454545454
LRRIQ1	0.850333333333333
GPR150	1.159
CCDC21	-1.3815
PRRG3	0.7315
SAA4	-3.25075
RAPGEF5	1.096625
ZCCHC2	-0.390083333333333
MGC39372	-0.453
PPP4R2	-0.373833333333333
CDCA2	-3.45633333333333
OR4D5	0.458
PTGFRN	1.0303
SIGLEC5	0.889833333333333
C19orf61	0.5695
NMUR2	0.0595
KIAA1586	-0.7945
DAGLA	-0.5835
CHCHD6	-0.25275
GPR32	1.349
NEUROD6	0.115333333333333
SLC2A4RG	0.410625
CA5B	0.48
FBXL3	1.58825
MPHOSPH9	-2.008
HMG2L1	0.03225
HCN4	0.869833333333333
CEACAM19	0.015
SH2D4B	-0.1955
HFE2	-0.9275
TGM4	2.7706
LYPD2	0.36375
TBC1D15	0.03575
MRPS21	0.9181
NONO	-0.6828
CLEC5A	0.617714285714286
ITCH	-0.428
MGAT3	0.132333333333333
MBP	-0.121375
RPP25	-1.2165
SOSTDC1	3.359
HRC	-1.09575
TRIM48	-0.0455
TMEM133	-0.0295
ECEL1P2	-0.5445
HOXC11	0.9315
DOK5	-0.238
HELZ	-0.421166666666667
LOC348180	-0.33475
MGC33894	-0.33925
ADRB3	0.0335
DMD	0.469727272727273
PTRH2	-0.7185
MPEG1	3.71716666666667
NDUFA12	0.0391666666666667
KRTAP2-4	0.100727272727273
STAMBPL1	-1.227
ADCY2	1.6998
UNQ6125	0.5885
KLHL20	-0.00450000000000002
SRM	-0.372
OTC	0.24875
TMIE	-0.0451666666666666
SNX8	0.091
LIPK	0.095
CHURC1	-0.513916666666667
KLC2	0.303
HDAC1	-0.513666666666667
FAM128A	0.262666666666667
FNDC3B	-0.8536
MTCP1	-0.1675
WFDC10B	-0.0287999999999999
PCDHGB3	0.7475
ATRNL1	1.2467
CAV2	0.704875
MED26	-0.109333333333333
DUS1L	0.43825
CHRM3	-1.785
NEK9	0.53525
WARS2	-0.30725
TBX22	-0.1725
TOMM40	-0.71175
RP6-213H19.1	-2.52783333333333
TUBGCP5	-0.12325
IGSF6	4.47775
TPPP	0.4205
UNQ6190	0.5305
GSTM5	1.849
BTD	0.797166666666667
PDCD1LG2	-0.244166666666667
SNRPB2	-0.6485
ERICH1	-0.92075
APOA4	-1.571625
HOXA11	-1.23333333333333
NARG1	0.023375
MKX	-1.00175
RAB28	0.6035
PKP3	0.50425
SH3GL2	-3.36875
CTSO	3.69075
RPN2	-0.08525
IL28RA	0.773166666666667
SFMBT1	0.04275
WDR57	-0.284375
FER1L3	0.60325
HSF5	-0.334
TTC9B	-0.417
C4BPA	-2.21583333333333
ALB	-3.28778571428571
SORBS3	0.07175
UPF2	-0.248
JPH1	-1.1275
AGBL2	0.7915
DOPEY1	1.74
TERF1	-0.6275
KIF22	0.0208333333333333
NINJ1	1.345
SEC61A2	-0.314916666666667
HIST1H1D	-2.96766666666667
SFXN4	0.302375
UCP3	0.0151
ZNF703	0.383333333333333
MYL6B	-0.35025
TREM1	1.7935
OR52E6	0.874
CKMT2	1.93975
HLA-C	1.625625
SLC13A3	-0.7495
TIMP4	1.84775
SLIT2	3.706
RSF1	-0.360833333333333
LONRF1	-0.527785714285714
MON1A	-0.601833333333333
CACNG6	-1.82383333333333
DPPA4	-6.374
ZSWIM3	-0.4105
ZNF804A	-0.0995
CCIN	1.588
SLC25A31	0.011
KCNMB4	0.0515
RABL5	0.186
GALNS	-0.5531
STX6	-0.562375
HIST1H1C	-3.27516666666667
CIDEB	0.324375
CASP4	0.708166666666667
PDK3	-0.4694
KCNJ11	1.277
TPR	-0.4955
ZSCAN20	-0.6645
MTX2	0.2265
HIST1H2BH	-1.48075
LOC283767	1.451
LYRM7	-0.853777777777778
BRD3	-0.805166666666667
HIST1H2BO	-1.24325
MAGEB10	-0.207
SLC45A1	0.98675
SERPINA3	2.4331
KIAA0143	1.1915
KCNJ16	4.103
KRT79	-0.49525
FABP2	-0.177666666666667
NUT	-0.31
ZNF57	-0.48775
FBXL4	0.4455
CLEC9A	3.437
UGT8	-0.624333333333333
BMP2K	-0.4395
MAPK4	-3.06375
SLC25A23	-0.5578
HINT1	0.1829
KRTAP13-1	0.722
SFXN5	1.0716
CHCHD2	-0.354916666666667
FAM3D	3.5175
NDP	-1.833
RHOBTB1	-0.2705
SLC4A4	-1.36557142857143
RPL38	-0.0875
HTF9C	0.019
AP2A2	0.729625
ZBTB46	-0.1775
MAP7D1	0.602125
AOX1	-0.8475
CYR61	2.45133333333333
DTNA	-1.20328571428571
JRKL	-0.65775
TMOD3	-1.03625
EEA1	-0.3062
ADCK5	-0.35925
IL1R1	1.90483333333333
KLK3	0.974
HRSP12	-0.85225
KTN1	-0.17075
LOH11CR2A	1.0812
RELL2	-1.2675
MAB21L1	2.45025
C20orf59	-0.506833333333333
PHKB	-0.51825
ADAM2	-1.8714
TBC1D8B	1.5205
FAM13A1	-0.2398125
LAPTM4B	-0.326833333333333
LCN8	0.0365
TMEM147	0.38
SYT4	-0.474166666666667
XPO7	-0.9185
C9orf62	0.99425
GPR75	0.704
TRIM5	0.25475
APOC1	-1.868
RNASE4	1.87633333333333
PARD6B	-0.96225
ARID1A	0.284083333333333
TPD52L3	-0.20775
RRAGB	1.33416666666667
RCN2	-0.567333333333333
HIST2H2BE	-0.286625
STARD7	-0.19625
SHMT2	-1.098
KIAA1751	-1.096
MLYCD	0.152125
LOC162632	-1.037
UQCRH	-1.68325
RP11-217H1.1	-0.1658125
SDHA	-0.446833333333333
NCLN	-0.8613
ZNF17	0.4325
RCBTB2	-0.805
VEGFB	-0.0467
RP4-747L4.3	1.006
COLQ	0.8128
MPN2	-1.19983333333333
DRG2	0.399
KLRB1	6.0665
ALPK2	-2.76725
DNASE2B	-0.1065
FLJ23834	0.4405
AXUD1	2.52133333333333
SAFB	-0.9557
NSUN4	-0.33
RFX2	0.526666666666667
MAPK8IP1	0.843166666666667
FANCD2	-1.42764285714286
ANKZF1	-1.48466666666667
C19orf50	-0.36925
DUSP8	2.118125
SENP5	-0.88375
NFKBIL2	-0.65975
LBR	-0.4715
IGFL1	0.321
LZTS2	-0.188625
IL2RG	-0.64475
CCDC51	-0.33875
KLF3	0.40425
ANKRD37	-1.3885
KCTD14	1.52983333333333
FZR1	0.258583333333333
SLC44A4	3.6969
ESPL1	-1.3715
GMPR2	0.3757
TBC1D19	-0.536666666666667
ERGIC1	-0.0461851851851852
ERBB4	3.2176
TSPAN32	0.508
MAP4	0.321875
GPHN	-1.13325
SLC6A2	-0.023125
HIVEP1	0.45175
DFFB	-0.4774
EIF4EBP2	0.057875
DMRT1	-0.794333333333333
HSPB6	0.39375
IER2	1.39666666666667
AIFM1	-0.86425
WWC2	-0.225
MRPL4	-0.62175
FLJ21062	2.15583333333333
EPB41L4A	1.51091666666667
SH2D6	0.13875
TAF4B	-1.23075
GAL3ST3	-0.06
MALT1	-0.682333333333333
RTDR1	0.0415
ARVCF	1.249
MEX3B	-1.492
FBXO16	1.26025
KIF7	-0.04875
C1QC	4.0625
ZNF783	-0.7445
ZNF85	-0.2455
MMP13	3.04
KIAA0329	0.433125
RTP3	-1.4785
ZBED3	-0.35775
CLGN	1.24175
SLC25A37	-0.853
hCG_18290	0.15975
OR5AS1	0.587
SMARCC2	0.411166666666667
FAM109A	-0.687833333333333
CCDC12	-0.08575
USF2	0.7837
DEPDC7	-3.61
C20orf24	-0.970666666666667
JMJD3	1.095
DSP	1.38507142857143
SLIC1	0.5325
FAM20A	2.3195
IRF2BP2	0.191
ZNF230	0.2475
MSN	-0.250428571428571
SLC9A5	-1.6545
EPDR1	-2.5069
MUSK	0.386666666666667
