Hybridization REF	TCGA-BH-A0DT-11A-12R-A12D-07
NUDT1	-1.28233333333333
RFPL2	-0.558
ZNF83	0.708
GDPD5	-1.42775
PDCD4	1.93495
CEP350	-0.216
OR10A2	0.6405
CST7	-1.29766666666667
CIAO1	-1.6775
SELL	-0.60725
OR8J3	4.0935
LTBP4	-0.203
SIRT6	-1.172
CCL19	4.882
PPIL1	-1.04833333333333
GBP7	-0.250666666666667
STK17A	-0.2989
ABR	0.11
OR9G1	0.535
FOXE1	-0.826
CNGA3	0.7445
GML	0.7665
CD38	-1.982
ZDHHC6	-0.0796666666666667
NEFH	-1.5205
CTDSP2	0.75525
PGBD5	-2.4885
CCNY	0.0724285714285714
RMND5B	-0.445083333333333
ZNF257	-0.90025
FLJ22167	-0.44225
EXOSC7	0.0475
ROR2	0.539625
MAOA	2.5795
TNNT3	1.75816666666667
GYPC	-0.896
C7orf33	-0.2845
PLIN	5.33733333333333
LOC90826	0.82775
RNF4	-0.2309
F8A1	-0.185666666666667
PLEKHG4	-1.117
GRB2	-1.80945
HIST1H2AD	-0.707
DUS3L	-1.65166666666667
EIF1	-0.2865
RP5-1077B9.4	-2.4734
FPGT	1.33275
GDF10	3.48766666666667
COQ9	-0.49825
GCC2	0.519142857142857
RARRES3	3.183875
PLXNA1	-0.6546
KIAA0100	-0.7521
PMF1	-0.58925
FNDC1	4.4435
HS2ST1	-0.95275
CRELD2	-0.25325
C8G	-3.5875
CD82	-0.0845
LIM2	-0.9895
UNQ6490	0.332
MMP16	1.26125
DRD3	-0.175666666666667
C5orf26	0.942
C11orf73	-0.189
PTP4A2	-0.099625
OR4M2	1.2025
HPCA	-2.89016666666667
SEC14L1	-0.853666666666667
CHFR	-1.33725
EMILIN1	-0.20275
NDUFS4	0.51575
COL18A1	-1.243625
PDZD3	0.0403
C9orf16	-0.582666666666667
ERBB2IP	-0.366
EMX2	3.843
FUS	-1.81925
TF	-2.9703
CLCN4	0.0345
CXorf56	0.91575
C11orf72	1.97075
ELAC2	-1.05091666666667
NPR1	0.0235
ASS1	-1.82766666666667
USP42	-0.3585
POLR2J	-1.3465
SEC23IP	0.5145
UQCRC1	-0.875
LOC729603	-1.4205
C1orf71	-0.708
POLG	-2.8575
ADAM23	-4.36775
TFR2	-1.718
RICTOR	-0.331
MGC39606	1.1795
C19orf55	0.00312499999999999
SNAPC1	-0.9745
GNA11	-0.66975
CCDC52	0.0245
FSIP1	3.5165
UPF3A	-0.171125
IGSF11	-2.09916666666667
LAGE3	-1.28575
CHST6	-3.412
UNC13B	-0.31325
TTLL4	-1.534125
ZNF687	-0.7925
SDC2	0.555
COX7A2	-0.26
LAMB4	0.3695
FAM24A	1.0165
LRRTM3	-0.87275
GPHB5	1.17725
OR4C13	-0.215
EIF3EIP	1.05628571428571
HABP4	-1.004
TMEM125	3.468
CNTN2	0.5515
ASNSD1	0.56275
FUT4	-1.143875
ACF	-2.26775
LOC158381	0.652
CDH8	0.0195
AGPS	-1.187
C4orf18	3.186625
PECI	0.830333333333333
UNG	-0.749125
GSTP1	-0.345125
DCUN1D5	-1.17666666666667
DKFZP564J0863	-1.33925
SLC9A3R1	0.061375
BCDO2	0.228875
CHMP7	-0.26425
REM2	1.245
DNHD1	0.197
FKBP4	-0.941
ZNF350	2.10975
MGC11102	-0.847125
BST1	1.26975
KISS1R	2.068
NCR2	0.917
DEFB125	-2.732
UBE2W	0.53525
KRT15	4.607375
C10orf99	2.196
SCN11A	-0.086
GFI1	-1.73725
RDHE2	3.983
FHL1	1.49966666666667
OSGEP	0.240333333333333
GATA1	-2.99633333333333
SMC6	-1.6245
TTTY14	-0.8425
LPIN3	0.15825
RPL4	-0.1211
RBPMS	0.1438
PRPF3	-0.475166666666667
EMR1	-2.631
SPATA19	0.56725
XCR1	3.365
IRX3	1.9733
RBM6	-0.26
KLF4	1.3809
UNC5CL	-0.1445
SEBOX	-0.054
BTK	-2.017
KRCC1	2.1455
C6orf27	0.712
SYTL5	0.417
PRND	4.475125
LOC653319	-1.2465
PIGL	-1.446625
HUS1	-0.631333333333333
SFRS6	-0.240166666666667
C17orf77	0.642
UIMC1	0.209333333333333
FXYD2	-1.0499
LOC283152	-0.177
ZNF667	-0.2455
ZCCHC12	0.97025
TFEC	1.4097
ATP7B	-0.43
POLD2	-2.0305
RG9MTD1	0.41175
ACOT2	-0.527666666666667
HIST1H4I	-1.17975
PPARGC1A	-1.4474
ETFA	-0.2927
POLRMT	-1.74375
ZNF146	0.108875
MIA2	-2.1665
KLHL6	-1.60566666666667
HOXB5	0.146625
NENF	0.386
CUGBP1	-0.9085
PRSS22	0.8805
CASC4	0.1153
CUL4B	-0.0201
CENPJ	-1.5006
PITX1	-0.801833333333333
FLJ31033	0.371166666666667
CELSR3	-2.878
ZNF568	1.62875
ITSN1	-0.483416666666667
EHBP1L1	-2.364
C19orf2	-0.29675
DCTN1	0.3465
LIN28B	-4.7332
TNKS2	0.544
C1QBP	-0.130125
CADPS2	2.23475
SRMS	0.392
GJA9	0.4226
MGC24975	-1.2875
TRIM45	-0.7985
TSP50	1.6895
TCP1	-1.00625
TMED7	0.4628
CMA1	0.1895
CENPL	-2.28366666666667
PTCRA	0.2155
FST	-2.656
VWCE	-1.81625
PAWR	-0.612
ABCC12	2.333
LDLR	-1.5227
ASTN2	0.9841
LOC441212	-0.67325
GPATCH8	-0.72575
TANC2	-0.1985
KIF4A	-3.8245
C18orf18	-0.0925
PGM1	-0.7005
KIAA0258	0.16
CPD	1.016875
SNCAIP	0.71625
DCT	-4.8144
HLA-DOA	2.31331818181818
OR11L1	2.2505
UPK1B	-0.121666666666667
DNAJB4	1.7455
UGT1A8	1.16175
HIST1H4L	-2.1
PECR	-0.99
HSPA2	1.6845
WFIKKN1	-2.9695
SERP1	1.32725
SYDE2	-0.659
TACR2	4.313
NUP85	-1.0395
CD177	0.932333333333333
LGR5	-2.01183333333333
PIGG	-0.30075
PTHR1	-1.00416666666667
RAB5A	0.5362
FLJ13224	-0.091
USP9Y	-1.8288
C7orf53	-0.0025
LRP1B	1.3395
XAF1	1.3098
ABCG8	-3.684
ANKDD1A	0.930333333333333
DAND5	-2.1615
SPAG6	3.9105
LINCR	2.2515
ZDHHC22	-0.110125
CCDC60	0.5205
THOC7	-0.5135
TCTA	0.2923
OR8K3	0.01475
NY-REN-7	2.0095
B2M	1.7255
C6orf141	-2.54
LPPR4	2.997
SQLE	-1.6425
SEPHS1	-0.878
BTBD14B	0.912285714285714
PLRG1	0.41375
SPG7	-1.755
ZNF614	-0.0681666666666667
PARD6G	1.032
INPP5B	-1.62077777777778
GRPEL2	-0.526375
PPID	1.1964
TRIM56	-0.4565
UBE2J1	-0.11525
IL20RA	7.0875
LOC387856	-0.2355
C1orf107	0.304666666666667
UTS2R	-0.6585
C19orf22	-1.7985
SAFB2	-0.8595
KIAA0652	-1.093125
KLRG1	-1.1088
MS4A8B	-0.167333333333333
FRAG1	0.40575
KIAA1546	0.42325
E2F4	-1.7008
CLEC4M	2.62
BTBD14A	-2.09425
KIAA0999	1.3139
GYPA	-3.9305
TAC1	5.124
TRAIP	-2.22383333333333
KIAA0232	1.1063
ERCC8	-0.99025
GPX4	0.38175
KIAA0368	0.454
GPR157	-1.09266666666667
CTAGE4	1.2365
C9orf30	-1.28266666666667
OR52A1	0.3535
HSP90B3P	-0.4405
ALG9	-0.2505
BTBD10	0.1695
SDK2	0.68275
BAIAP3	-1.87
RABGGTB	-0.47275
ANKRD40	-0.433833333333333
KRT74	0.3705
CALCOCO2	0.510285714285714
SNCA	-1.7755
TMSL8	-2.305875
C2orf53	2.081
ESRRB	-0.0592500000000001
ARHGAP26	-0.658875
TDRD9	-1.10875
HRAS	-1.53466666666667
KLRC4	-1.179
JAGN1	-0.231
BSDC1	0.5465
RNF43	-0.223
NDUFAF1	0.7035
PHF12	0.722
OR1L3	0.389
FOLR2	2.17108333333333
LYZL6	1.1882
tcag7.1260	2.34
WSB1	-0.727333333333333
PROS1	0.7696
OSTN	-0.7775
PSMB8	0.35925
SOCS4	-0.421625
DDIT4L	2.302
MAS1	-0.32
MGC34796	-0.27675
CSHL1	1.74916666666667
TBCCD1	-0.516333333333333
ZBTB7C	-0.632
AP2S1	-0.881125
P15RS	-0.0126
VAT1	-1.1223
SHANK3	0.935166666666667
TUFM	-1.75616666666667
THEG	2.25725
KRT34	-3.0405
SGSM3	-0.85825
TOMM22	-0.82225
SOCS3	1.11066666666667
CPO	1.116
POP4	0.07525
BHLHB3	3.75175
MALL	1.13875
OR1B1	0.126
PARK2	0.8245
GPR124	0.8775
LCE1E	-0.9675
RUVBL2	-2.109
CGRRF1	0.8887
ACPL2	1.25225
WNT10B	-0.756875
BAIAP2L2	-2.07875
ISCA1	1.1835
C1orf125	-0.456571428571428
RPAP1	-0.36625
RAI16	-0.405833333333333
RPL27	0.272125
NLRP9	0.7095
EPN1	-0.2915
LOC388610	-0.148875
SLC35A1	1.4558
GAL	-4.16125
SLC14A2	1.4335
RDH11	-0.309833333333333
FAM138F	0.257
AUH	1.27225
FLJ40243	-0.3415
C14orf129	0.210166666666667
MBD2	-0.59
ABHD14B	-0.426375
PIGT	-0.515625
ALS2CR4	1.072
ALAS1	-0.7125
FOXO1	2.17933333333333
CRLF3	-0.2845
C20orf107	-0.887
FARS2	0.419
CCDC28A	1.215
NPHP3	0.398
OR13F1	0.6675
TSEN54	-1.88525
DEFB106B	0.7719
OR8B4	0.85
STH	-0.22225
ZC3H14	-0.4785
CBX2	0.231
TMEM49	-0.82825
C6orf21	0.3635
FLJ20920	0.403125
CRTAP	-0.0614285714285714
DDX50	0.4525
STYXL1	0.00474999999999999
BLVRB	0.0621666666666667
LOC147650	-0.243833333333333
MMP24	0.44625
GRID1	2.33116666666667
BANF1	-0.889666666666667
CTAGEP	0.30975
HMBS	-2.42225
SLC25A24	0.5915
C14orf50	1.493
MRO	-0.037
SLC25A15	-0.3545
FAM84B	0.2276
TDP1	-1.356
C16orf78	1.3332
C11orf57	-0.271625
RFK	-0.43725
ZFYVE9	-0.2455
STCH	-1.0833
WIBG	-0.0935
LOC283871	-1.17516666666667
GBA2	-1.0432
NDUFB3	0.7075
HSD17B13	-0.4215
GRIN3A	2.1255
FMNL1	-2.61733333333333
SEPT7	0.000399999999999989
GNLY	3.153
GRAMD1C	2.23066666666667
ZNF165	0.72525
USP38	0.468
FAM83A	-3.96816666666667
C14orf24	0.874
ARMCX3	0.995375
ARHGDIB	0.4075
AK1	-0.10525
KIAA1045	1.36425
DNAJB13	0.2775
NEU2	-0.327
HIST1H4B	-1.99016666666667
FAM20B	-1.3361
HES2	-0.029
FAM73B	-0.9856
LOC388381	-0.49525
INTS7	-1.02172727272727
AMPH	0.26825
ZNF775	-0.292625
UCKL1	-1.4025
C10orf97	0.71175
C1orf161	1.151
ALDH1L1	0.62025
FLJ39378	-0.41575
SLC23A1	-3.4485
RBM4B	0.22375
THAP4	-0.486333333333333
OGFRL1	1.638
KIAA0831	0.69625
PPP1R15A	-0.182833333333333
C1orf96	-0.562714285714286
C12orf11	-1.40825
BMF	-0.9735
MAN1A1	-0.097625
KIAA1600	0.307
NLGN4X	1.35375
ALOX12	-1.63083333333333
RB1CC1	-0.0679
NEIL2	0.00460000000000003
EIF4E	0.271909090909091
ABHD5	-0.0265
EXOC4	-1.62766666666667
CIP29	0.1135
BATF2	-0.2115
SLC29A4	-1.059
HTR4	-0.795
EMB	-2.21075
TRAF6	1.05425
LMNB1	-3.301
FAM19A5	-1.678375
SHE	2.57425
PIK3C2B	1.43
C15orf15	0.4139
USP15	0.1825
TCEAL2	3.90275
C5orf39	-0.651833333333333
PTGER2	-1.02775
SLC31A1	-1.17025
IFT172	0.75975
ADAM29	0.69275
GFOD1	0.6975
ST7L	0.366833333333333
C15orf26	-2.4045
PKN3	-2.25725
CNTD1	3.98683333333333
COMMD1	0.256875
NTRK2	5.74325
FOXN3	0.35725
MFGE8	-0.6053
PFKFB2	0.926666666666667
TAS2R4	-0.937333333333333
ENTHD1	-0.696666666666667
PRMT5	-2.030875
MGC16384	-1.37825
LOC442229	-0.714
TSKU	1.076625
KRTCAP3	2.530625
PDLIM1	1.5504
KCNS2	0.105
RNF126	-0.759666666666667
CEP63	-0.262625
CLIC4	0.04175
hCG_1990170	3.83175
ACR	2.0541
KLK7	5.70025
ALOX5AP	2.48
RIPK3	3.06475
TAS2R9	-0.8935
C19orf18	2.1625
BIRC6	0.837285714285714
ZNF16	-0.132
RFT1	-1.008
SLC8A2	0.08
TACC1	-0.63675
ITGAD	0.825
SAMHD1	0.138
SH3PXD2B	0.9898
EPC2	1.41875
C20orf85	1.222875
ATP13A2	-0.345833333333333
KRT4	1.2205
CAPNS1	-1.08075
MDM2	-1.48941666666667
PCDH20	2.5515
KCNK9	0.139
OR2C1	2.8015
KLHDC3	-2.06916666666667
IPPK	-0.1655
EFHD2	-1.38175
GALR3	-1.1445
NBEA	0.715
ABCA6	4.4459
CLDN3	1.076
AKT2	-1.51164285714286
EGFR	0.9657
RBM16	0.91525
ZDHHC3	-0.2882
SLC25A4	-0.0806666666666667
CYB5B	-0.647
CPXM1	-0.2605
NDRG1	-1.26892307692308
FLJ43826	0.5075
OR5L2	0.498333333333333
FARP2	-0.4685
MRPL46	-0.29225
LDHAL6B	0.815833333333333
MAPKAPK3	-0.993
NCAM2	-1.28725
PRKD2	-1.40316666666667
ZFP36L1	1.7754
CYSLTR1	-0.77375
OR4C3	0.38325
HIST1H2AJ	0.031
CCNB2	-4.10577777777778
ZNF10	1.022125
TMEM175	1.6395
FAM134A	-0.180166666666667
TIGD4	0.147
PCNP	0.14925
MGC39715	-0.00775000000000001
LQK1	-1.2605
CREB1	-0.1877
TMPRSS3	-0.39375
C4orf32	1.7725
LAT	-2.10383333333333
KCNA3	-2.1545
SKIV2L2	-0.3935
ROPN1B	3.3845
tcag7.23	0.374
CDT1	-4.3455
ZHX2	0.96475
CD28	-3.52475
ZNF624	1.25025
SEPT2	0.469416666666667
SOHLH2	-0.834875
MCOLN3	-0.0031428571428572
UNQ1945	0.8315
MASP2	2.802
ZNRF3	-0.5062
GPATCH3	-1.243
AGL	0.912875
QRICH2	-0.247
PSD4	-0.341833333333333
CCNB1IP1	-0.648
ENPP7	0.90525
OBFC1	-0.07375
KCNG3	-2.794
C14orf79	-0.2055
ENPEP	1.633
SCT	0.2325
SKI	0.0315
SEC61G	-1.08625
CAPN11	1.60825
ATXN7L3	-1.879
DBNDD1	-2.08233333333333
FAIM	1.08275
ANKRD36	-1.337
GABRP	5.78266666666667
TACSTD2	3.03966666666667
EIF3J	-0.393
PPP2R2A	0.111
TEKT4	-0.328833333333333
PVALB	-3.13266666666667
F10	-2.22016666666667
FAM134C	-0.0244
COMP	1.378875
EFCBP1	-1.11975
SCLT1	-0.218125
TAL1	-0.3594
ACSL1	2.79825
ABCC5	-1.48725
ABL1	-1.56744444444444
RBBP7	0.149666666666667
PTPRG	-0.734125
NCOR1	-0.3867
SPINK4	-1.8705
TXNRD1	-2.5251
TNRC15	0.10275
C9orf138	1.183375
UBE2H	0.214
BRDT	0.778
C8orf31	-0.53825
CCNE2	-2.63063636363636
SLC6A8	-2.64
CALCR	-2.221
PPP1CB	1.13175
ABHD8	-1.7315
ARF5	-0.5138
SLC24A4	0.519
CCT3	-1.373
ZNF121	0.145375
SLC3A2	-1.8003
OR13A1	1.498
SLC5A10	1.527
RAD50	-0.16075
IER5	-1.143625
MTHFD1L	-2.535
MBTPS2	2.2845
MVK	-1.1455
NCL	-0.0156
PSMD10	0.1455
MOBP	1.572875
FLJ32894	1.5175
HRH1	-0.810333333333333
C5orf30	0.4305
NUDT16L1	-0.7493
RASGRP3	3.18766666666667
PRKRIP1	-1.1048
CCDC75	-0.65825
LOC253970	1.1465
KIAA1239	-0.1725
MED21	-0.0535
SYT11	-1.05241666666667
NTSR2	2.5655
EGFL11	-0.049
CXorf59	0.363
OR2A25	0.42075
SPTBN2	-1.1585
LRMP	-0.466166666666667
RNF111	0.41
PTH	1.314
LOC619208	0.5985
KIAA0895	0.321
RANBP5	-0.673875
P2RY10	-0.930166666666667
NME5	5.06616666666667
DDX21	-0.64275
LRSAM1	-0.5905
HDAC11	0.313666666666667
VMO1	0.5435
NOLA2	-0.509
ADAR	-1.28733333333333
MTO1	-0.504666666666667
SF4	-1.2005
P2RX1	2.9375
HBM	0.812
EN2	0.4695
C14orf172	-0.57575
TM9SF2	0.8275
INHBE	-1.02283333333333
TCTE3	1.37258333333333
TOX2	-2.3795
CTAGE3	-0.62475
HBB	4.9571
MED15	-1.7995
CASR	0.70925
C6orf66	-0.176833333333333
MTPN	-1.583125
UNC50	0.7125
C21orf33	0.585
IRF2	2.261125
PGR	1.94233333333333
GPR84	1.102
CROCCL1	-1.77275
SRPX	0.83325
BRE	-0.137833333333333
FGF10	2.72225
SDC3	-1.047
ZRSR1	-0.704666666666667
DKFZP434P211	0.64
SOX6	0.402
RPUSD2	-0.3905
C14orf173	-1.18741666666667
MAPK11	0.193166666666667
TBC1D22A	-0.5715
FAM123A	-1.379
COL4A6	0.0938333333333333
TOMM70A	0.5955
NAB1	0.515625
MGC16385	-0.200625
TSPAN18	-1.18716666666667
MED31	0.61725
PLG	0.23925
CAPSL	0.059
ZNF532	1.4045
ASB14	0.37425
CA8	1.4545
NUDT16P	1.08716666666667
SLFN11	-0.9155
LRRIQ2	-1.20725
NOL7	-0.105166666666667
BRMS1L	0.26375
JARID1A	-0.728666666666667
PANK2	-0.56725
ICAM3	-1.31175
MDS1	-1.0635
TAF8	-0.88125
RNF139	1.0265
ZNF594	0.865666666666667
ADAM8	-1.092875
SFTPC	0.458625
MAN2B2	0.549
RGS12	-0.142
EIF1AY	-4.213
LRRIQ1	1.06433333333333
GPR150	-1.7725
CCDC21	-2.45316666666667
PRRG3	1.27075
SAA4	-0.42975
RAPGEF5	-0.288
ZCCHC2	0.30625
MGC39372	-0.4075
PPP4R2	-0.421333333333333
CDCA2	-3.63733333333333
OR4D5	0.59
PTGFRN	-0.2812
SIGLEC5	0.295
C19orf61	-1.61583333333333
NMUR2	0.101
KIAA1586	-1.74916666666667
DAGLA	0.113666666666667
CHCHD6	-0.372
GPR32	0.547
NEUROD6	1.4225
SLC2A4RG	-0.6341875
CA5B	0.64825
FBXL3	2.35575
MPHOSPH9	-2.3785
HMG2L1	0.1905
HCN4	-0.642
CEACAM19	0.693
SH2D4B	1.106
HFE2	-0.4465
TGM4	0.8465
LYPD2	-1.04675
TBC1D15	0.417
MRPS21	0.0335
NONO	-0.4917
CLEC5A	0.291857142857143
ITCH	-0.282
MGAT3	0.0121666666666667
MBP	0.311875
RPP25	-2.05925
SOSTDC1	5.14675
HRC	-0.8185
TRIM48	0.5095
TMEM133	1.317
ECEL1P2	-1.37675
HOXC11	-1.656
DOK5	0.69675
HELZ	-0.1995
LOC348180	-1.44975
MGC33894	1.41025
ADRB3	0.094
DMD	1.37072727272727
PTRH2	-0.30175
MPEG1	3.36033333333333
NDUFA12	-0.0141666666666667
KRTAP2-4	0.12625
STAMBPL1	-1.12116666666667
ADCY2	1.37816666666667
UNQ6125	1.2755
KLHL20	-0.2735
SRM	-1.90675
OTC	0.8845
TMIE	2.44266666666667
SNX8	-1.0925
LIPK	0.131
CHURC1	-0.128
KLC2	1.05716666666667
HDAC1	-0.404
FAM128A	-0.629666666666667
FNDC3B	-0.7201
MTCP1	-0.339
WFDC10B	1.61
PCDHGB3	0.342
ATRNL1	-0.1736
CAV2	1.719
MED26	0.259666666666667
DUS1L	-1.07675
CHRM3	-1.208
NEK9	-1.40925
WARS2	0.08125
TBX22	0.963
TOMM40	-1.95675
RP6-213H19.1	-1.11116666666667
TUBGCP5	-0.5845
IGSF6	4.05775
TPPP	0.483833333333333
UNQ6190	-0.1795
GSTM5	4.761875
BTD	-0.022
PDCD1LG2	-0.273
SNRPB2	0.101666666666667
ERICH1	0.14575
APOA4	-0.0962500000000001
HOXA11	-1.949
NARG1	0.0195
MKX	-0.4575
RAB28	0.297642857142857
PKP3	0.6085
SH3GL2	-1.99975
CTSO	3.908
RPN2	-0.256625
IL28RA	0.429833333333333
SFMBT1	0.50575
WDR57	-0.929375
FER1L3	0.867416666666667
HSF5	0.8165
TTC9B	2.36275
C4BPA	1.044
ALB	-1.99107142857143
SORBS3	0.595
UPF2	0.6795
JPH1	-0.0245
AGBL2	0.61225
DOPEY1	2.1655
TERF1	0.05175
KIF22	-2.103
NINJ1	-0.16425
SEC61A2	-1.33525
HIST1H1D	-2.97966666666667
SFXN4	-0.45725
UCP3	0.7702
ZNF703	1.97716666666667
MYL6B	-0.33725
TREM1	-0.78475
OR52E6	0.4755
CKMT2	3.3315
HLA-C	1.456125
SLC13A3	-0.686
TIMP4	0.72025
SLIT2	2.656
RSF1	-0.160055555555556
LONRF1	0.291538461538462
MON1A	-0.559666666666667
CACNG6	-2.32333333333333
DPPA4	-6.23766666666667
ZSWIM3	-0.33925
ZNF804A	0.368833333333333
CCIN	2.0355
SLC25A31	1.31325
KCNMB4	0.40125
RABL5	0.554375
GALNS	-1.1771
STX6	-0.828875
HIST1H1C	-1.4675
CIDEB	0.402
CASP4	0.901333333333333
PDK3	-0.926
KCNJ11	-0.087
TPR	-1.059
ZSCAN20	-0.559
MTX2	0.062
HIST1H2BH	-0.93525
LOC283767	1.8155
LYRM7	-0.671611111111111
BRD3	-1.332
HIST1H2BO	-1.21875
MAGEB10	-0.5995
SLC45A1	-0.784
SERPINA3	1.3748
KIAA0143	1.16875
KCNJ16	4.20433333333333
KRT79	-0.849
FABP2	-0.85225
NUT	-0.00849999999999999
ZNF57	0.01025
FBXL4	-0.215625
CLEC9A	1.8495
UGT8	0.2635
BMP2K	0.14225
MAPK4	-1.458
SLC25A23	-1.2842
HINT1	-0.3716
KRTAP13-1	0.9225
SFXN5	-0.9668
CHCHD2	-0.396583333333333
FAM3D	4.2485
NDP	-0.96125
RHOBTB1	-1.5125
SLC4A4	-0.505714285714286
RPL38	0.58825
HTF9C	-1.17566666666667
AP2A2	-0.22675
ZBTB46	-0.0435
MAP7D1	-0.798125
AOX1	0.114666666666667
CYR61	2.53366666666667
DTNA	-0.248428571428571
JRKL	0.9135
TMOD3	-1.18125
EEA1	0.1834
ADCK5	-1.4845
IL1R1	2.4395
KLK3	1.52442857142857
HRSP12	-0.21025
KTN1	0.66425
LOH11CR2A	1.1075
RELL2	-2.1545
MAB21L1	4.64525
C20orf59	-0.984333333333333
PHKB	0.87125
ADAM2	-2.1716
TBC1D8B	1.467
FAM13A1	0.2559375
LAPTM4B	-0.87225
LCN8	0.017
TMEM147	-0.0055
SYT4	0.458833333333333
XPO7	-1.6795
C9orf62	-2.13
GPR75	1.7675
TRIM5	-0.197625
APOC1	-1.711
RNASE4	2.4205
PARD6B	-2.826375
ARID1A	-0.358272727272727
TPD52L3	1.30655555555556
RRAGB	0.765
RCN2	-0.607833333333333
HIST2H2BE	-0.946625
STARD7	-1.133
SHMT2	-2.22425
KIAA1751	3.21966666666667
MLYCD	-0.377875
LOC162632	-0.2341
UQCRH	-1.46975
RP11-217H1.1	0.1835625
SDHA	-2.53416666666667
NCLN	-1.4677
ZNF17	1.03466666666667
RCBTB2	-0.06625
VEGFB	-1.0863
RP4-747L4.3	0.0555
COLQ	-0.1631
MPN2	-0.8575
DRG2	-0.965
KLRB1	5.78675
ALPK2	-0.60275
DNASE2B	3.5535
FLJ23834	0.454166666666667
AXUD1	1.94366666666667
SAFB	-1.7765
NSUN4	-0.801
RFX2	1.01983333333333
MAPK8IP1	-0.782833333333333
FANCD2	-1.34642857142857
ANKZF1	-2.19916666666667
C19orf50	-1.19825
DUSP8	0.891375
SENP5	-0.889
NFKBIL2	-0.603
LBR	-1.718
IGFL1	0.6585
LZTS2	-0.956875
IL2RG	-1.045875
CCDC51	-0.88725
KLF3	-0.17275
ANKRD37	0.37875
KCTD14	2.11633333333333
FZR1	-1.0215
SLC44A4	0.9952
ESPL1	-1.787375
GMPR2	-0.3413
TBC1D19	-0.363666666666667
ERGIC1	-0.426222222222222
ERBB4	3.1387
TSPAN32	0.986416666666667
MAP4	-1.618
GPHN	-0.274
SLC6A2	0.965875
HIVEP1	0.59975
DFFB	-0.841
EIF4EBP2	0.141
DMRT1	-1.61275
HSPB6	2.55875
IER2	1.242
AIFM1	-0.69675
WWC2	-0.0545833333333333
MRPL4	-1.66475
FLJ21062	2.62066666666667
EPB41L4A	1.40508333333333
SH2D6	0.301
TAF4B	1.413
GAL3ST3	-0.2145
MALT1	-0.594666666666667
RTDR1	0.33
ARVCF	-0.357
MEX3B	-0.556666666666667
FBXO16	1.1065
KIF7	-2.77725
C1QC	3.84733333333333
ZNF783	0.172333333333333
ZNF85	0.4695
MMP13	-1.1585
KIAA0329	1.008375
RTP3	-2.8085
ZBED3	-0.225
CLGN	-1.29625
SLC25A37	-1.01591666666667
hCG_18290	0.93975
OR5AS1	-0.3935
SMARCC2	0.403583333333333
FAM109A	-0.3875
CCDC12	-0.318
USF2	-0.5529
DEPDC7	-2.54675
C20orf24	-1.21466666666667
JMJD3	-1.775
DSP	1.04771428571429
SLIC1	0.635875
FAM20A	1.099125
IRF2BP2	0.2755
ZNF230	0.073
MSN	-0.682785714285714
SLC9A5	-1.138
EPDR1	-1.3399
MUSK	0.1975
