Hybridization REF	TCGA-C8-A12Y-01A-11R-A12D-07
FKBP4	0.000249999999999972
ZNF350	1.53375
MGC11102	0.844875
BST1	1.65025
KISS1R	0.2625
NCR2	0.016
DEFB125	-0.4785
UBE2W	0.481
KRT15	2.044375
C10orf99	0.377
SCN11A	0.3365
GFI1	-2.47525
RDHE2	5.04616666666667
FHL1	-1.42566666666667
OSGEP	0.1
GATA1	-3.2575
SMC6	-0.65625
TTTY14	-0.9735
LPIN3	0.10325
RPL4	-1.093
RBPMS	-0.0778
PRPF3	-0.3105
EMR1	-2.3795
SPATA19	0.179
XCR1	0.275
IRX3	3.1041
RBM6	-1.299
KLF4	0.2681
UNC5CL	1.27025
SEBOX	0.407
BTK	-0.9415
KRCC1	0.545
C6orf27	0.3655
SYTL5	0.6385
PRND	2.949625
LOC653319	-1.6105
PIGL	-1.8405
HUS1	-0.4645
SFRS6	-0.826916666666667
C17orf77	0.9145
UIMC1	0.0381666666666667
FXYD2	-1.9047
LOC283152	1.75025
ZNF667	-1.92325
ZCCHC12	-0.6165
TFEC	2.9926
ATP7B	-0.1055
POLD2	-1.301
RG9MTD1	-0.224
ACOT2	-0.318166666666667
HIST1H4I	-0.844625
PPARGC1A	-2.6076
ETFA	-1.9907
POLRMT	-0.22025
ZNF146	-0.097
MIA2	-1.8045
KLHL6	-0.995
HOXB5	-0.341875
NENF	1.3705
CUGBP1	0.181
PRSS22	1.95616666666667
CASC4	1.2176
CUL4B	-0.3224
CENPJ	-1.8958
PITX1	0.8085
FLJ31033	2.675
CELSR3	-2.1495
ZNF568	1.116
ITSN1	0.195
EHBP1L1	-1.23883333333333
C19orf2	-0.17975
DCTN1	-0.9035
LIN28B	-4.2155
TNKS2	-0.265
C1QBP	-0.91075
CADPS2	2.19275
SRMS	0.28675
GJA9	0.0943333333333333
MGC24975	-0.512666666666667
TRIM45	0.642166666666667
TSP50	-0.464
TCP1	-1.107
TMED7	0.1798
CMA1	1.2135
CENPL	-0.314833333333333
PTCRA	0.147
FST	-3.44325
VWCE	-3.77725
PAWR	0.30275
ABCC12	0.765166666666667
LDLR	-1.793
ASTN2	1.8696
LOC441212	-0.4155
GPATCH8	-0.1255
TANC2	-0.237166666666667
KIF4A	-1.553
C18orf18	-1.11675
PGM1	-1.3575
KIAA0258	1.89175
CPD	0.542125
SNCAIP	-0.815
DCT	-4.25933333333333
HLA-DOA	2.16009090909091
OR11L1	0.6635
UPK1B	-0.682166666666666
DNAJB4	0.39225
UGT1A8	0.14175
HIST1H4L	-2.032
PECR	-0.507166666666667
HSPA2	2.063
WFIKKN1	-1.145
SERP1	-0.613625
SYDE2	1.687
TACR2	0.591
NUP85	-0.7775
CD177	-0.265166666666667
LGR5	-2.548
PIGG	-0.182333333333333
PTHR1	-1.79
RAB5A	0.5148
FLJ13224	-0.134
USP9Y	-2.0244
C7orf53	0.2415
LRP1B	-1.63825
XAF1	3.7564
ABCG8	-0.776
ANKDD1A	-0.496
DAND5	-1.2325
SPAG6	-0.201666666666667
LINCR	1.60475
ZDHHC22	-1.53075
CCDC60	0.1865
THOC7	-1.34616666666667
TCTA	0.3053
OR8K3	0.4895
NY-REN-7	-1.10075
B2M	2.0045
C6orf141	0.1
LPPR4	2.01575
SQLE	-1.4245
SEPHS1	-0.1845
BTBD14B	0.445642857142857
PLRG1	-0.1505
SPG7	-1.4338125
ZNF614	-0.0873333333333333
PARD6G	0.8115
INPP5B	-0.8383
GRPEL2	-0.00925000000000001
PPID	-0.629
TRIM56	0.03375
UBE2J1	0.047
IL20RA	5.12175
LOC387856	0.55675
C1orf107	0.814416666666667
UTS2R	-0.06225
C19orf22	0.28
SAFB2	0.1205
KIAA0652	-0.7665
KLRG1	-0.969333333333333
MS4A8B	2.15883333333333
FRAG1	0.9265
KIAA1546	-0.225
E2F4	-1.5387
CLEC4M	-0.0593333333333334
BTBD14A	-0.2415
KIAA0999	1.1444
GYPA	-4.58416666666667
TAC1	1.8075
TRAIP	-1.618
KIAA0232	1.4877
ERCC8	-0.85825
GPX4	0.94575
KIAA0368	-0.018625
GPR157	-0.5085
CTAGE4	1.5785
C9orf30	-0.509333333333333
OR52A1	-0.016
HSP90B3P	-0.316
ALG9	-0.4494
BTBD10	1.00975
SDK2	0.02525
BAIAP3	1.28225
RABGGTB	-0.429
ANKRD40	-0.0771666666666667
KRT74	1.1975
CALCOCO2	0.337642857142857
SNCA	-3.68825
TMSL8	-4.312625
C2orf53	-0.424
ESRRB	-0.51075
ARHGAP26	0.917125
TDRD9	-2.26825
HRAS	0.367333333333333
KLRC4	-1.304
JAGN1	-0.0798333333333333
BSDC1	1.098
RNF43	-0.9895
NDUFAF1	0.23375
PHF12	-0.08175
OR1L3	0.39225
FOLR2	0.647833333333333
LYZL6	0.4265
tcag7.1260	-2.229
WSB1	-1.061
PROS1	-1.6947
OSTN	0.785
PSMB8	1.724
SOCS4	-0.46225
DDIT4L	1.5495
MAS1	-1.252
MGC34796	1.3015
CSHL1	-0.0158333333333333
TBCCD1	0.913333333333333
ZBTB7C	0.288
AP2S1	-0.346375
P15RS	0.3795
VAT1	-0.3671
SHANK3	0.607666666666667
TUFM	-0.0821666666666667
THEG	-0.50075
KRT34	-2.26375
SGSM3	-0.423375
TOMM22	-1.116375
SOCS3	1.013
CPO	1.314
POP4	0.137
BHLHB3	0.09325
MALL	0.814
OR1B1	0.2865
PARK2	0.146333333333333
GPR124	0.85275
LCE1E	0.836
RUVBL2	-0.69125
CGRRF1	0.5162
ACPL2	1.32525
WNT10B	-2.449375
BAIAP2L2	-2.065125
ISCA1	0.685
C1orf125	0.794125
RPAP1	-0.33825
RAI16	-0.826
RPL27	-0.37175
NLRP9	-0.273
EPN1	0.029
LOC388610	0.134125
SLC35A1	0.835
GAL	-3.9645
SLC14A2	0.41375
RDH11	-0.299166666666667
FAM138F	0.1975
AUH	0.35625
FLJ40243	0.2335
C14orf129	0.0743333333333333
MBD2	0.410166666666667
ABHD14B	-1.32175
PIGT	1.449875
ALS2CR4	-0.4245
ALAS1	-1.1262
FOXO1	0.274333333333333
CRLF3	-0.52575
C20orf107	0.4555
FARS2	0.442
CCDC28A	0.54225
NPHP3	-0.282
OR13F1	0.652
TSEN54	-0.55325
DEFB106B	-0.0052
OR8B4	0.187
STH	2.57275
ZC3H14	-0.33975
CBX2	-0.429
TMEM49	-0.981
C6orf21	0.841
FLJ20920	0.193375
CRTAP	-1.05014285714286
DDX50	0.11125
STYXL1	-0.6175
BLVRB	0.854
LOC147650	-0.535833333333333
MMP24	0.3545
GRID1	2.38066666666667
BANF1	-0.9015
CTAGEP	0.06175
HMBS	-1.9785
SLC25A24	1.04883333333333
C14orf50	0.9085
MRO	1.065
SLC25A15	-1.04275
FAM84B	0.2539
TDP1	-0.7745
C16orf78	-0.0384
C11orf57	-0.48775
RFK	-0.20125
ZFYVE9	-0.0564285714285715
STCH	-0.4408
WIBG	0.7055
LOC283871	-0.0256666666666667
GBA2	-0.7081
NDUFB3	-0.13175
HSD17B13	-0.7145
GRIN3A	0.959333333333333
FMNL1	-1.38283333333333
SEPT7	-0.16
GNLY	3.693
GRAMD1C	0.237333333333333
ZNF165	1.26325
USP38	1.4615
FAM83A	-3.44566666666667
C14orf24	1.704
ARMCX3	0.929
ARHGDIB	-0.053
AK1	0.514875
KIAA1045	0.25975
DNAJB13	0.1385
NEU2	0.7065
HIST1H4B	-1.55083333333333
FAM20B	0.6061
HES2	0.0834285714285715
FAM73B	-0.547
LOC388381	-0.3445
INTS7	-0.0335454545454545
AMPH	2.7225
ZNF775	-0.12525
UCKL1	-1.017
C10orf97	0.05025
C1orf161	0.1865
ALDH1L1	-2.05075
FLJ39378	0.092875
SLC23A1	-2.2865
RBM4B	0.161
THAP4	0.262833333333333
OGFRL1	1.686
KIAA0831	0.2765
PPP1R15A	-0.122166666666667
C1orf96	0.487714285714286
C12orf11	-1.253
BMF	0.296125
MAN1A1	-0.989625
KIAA1600	0.5135
NLGN4X	-1.29725
ALOX12	-1.475
RB1CC1	-0.0024
NEIL2	0.3953
EIF4E	0.0760909090909091
ABHD5	-0.10325
EXOC4	-0.5075
CIP29	0.8335
BATF2	2.0775
SLC29A4	-0.28575
HTR4	0.54575
EMB	-0.5275
TRAF6	0.94825
LMNB1	-2.23675
FAM19A5	0.59075
SHE	1.78725
PIK3C2B	1.5445
C15orf15	-0.3713
USP15	-0.0583
TCEAL2	1.0085
C5orf39	0.170833333333333
PTGER2	-1.89925
SLC31A1	-0.5971875
IFT172	0.72925
ADAM29	0.75675
GFOD1	1.6545
ST7L	0.689833333333333
C15orf26	-2.81575
PKN3	-1.57175
CNTD1	3.194
COMMD1	0.202875
NTRK2	2.80091666666667
FOXN3	0.082
MFGE8	-0.7824
PFKFB2	2.30433333333333
TAS2R4	0.165
ENTHD1	0.578833333333333
PRMT5	-1.42175
MGC16384	-1.17375
LOC442229	0.3285
TSKU	0.41275
KRTCAP3	2.932875
PDLIM1	0.4874
KCNS2	0.23925
RNF126	-0.602333333333333
CEP63	0.527
CLIC4	-0.04125
hCG_1990170	-0.7725
ACR	1.3499
KLK7	2.45475
ALOX5AP	1.67625
RIPK3	4.2285
TAS2R9	0.32
C19orf18	3.724
BIRC6	0.136785714285714
ZNF16	0.962
RFT1	-1.05225
SLC8A2	-0.9775
TACC1	-0.91
ITGAD	1.86933333333333
SAMHD1	2.24975
SH3PXD2B	1.0018
EPC2	1.11175
C20orf85	0.376125
ATP13A2	0.530333333333333
KRT4	0.622375
CAPNS1	-0.504
MDM2	-0.462166666666667
PCDH20	1.72725
KCNK9	0.9755
OR2C1	0.18
KLHDC3	-1.61716666666667
IPPK	0.9265
EFHD2	0.32025
GALR3	-0.00125
NBEA	0.478833333333333
ABCA6	3.6442
CLDN3	1.02766666666667
AKT2	-0.374857142857143
EGFR	-2.2375
RBM16	1.084875
ZDHHC3	-0.666
SLC25A4	-2.634
CYB5B	-0.897333333333333
CPXM1	-0.45525
NDRG1	-1.59723076923077
FLJ43826	-0.258
OR5L2	-0.16
FARP2	0.3444
MRPL46	-0.9605
LDHAL6B	0.225
MAPKAPK3	-1.09366666666667
NCAM2	0.08125
PRKD2	0.139
ZFP36L1	1.7213
CYSLTR1	-0.3685
OR4C3	-0.017
HIST1H2AJ	2.5115
CCNB2	-2.351
ZNF10	0.122875
TMEM175	0.1505
FAM134A	0.817833333333333
TIGD4	0.4775
PCNP	-0.561
MGC39715	0.95475
LQK1	0.00975
CREB1	0.3593
TMPRSS3	-1.734
C4orf32	2.52725
LAT	-1.72975
KCNA3	-0.7925
SKIV2L2	-0.66475
ROPN1B	-3.16125
tcag7.23	-0.0495
CDT1	-3.06925
ZHX2	0.907625
CD28	-4.2125
ZNF624	1.28275
SEPT2	0.785666666666667
SOHLH2	0.0835714285714286
MCOLN3	-1.40714285714286
UNQ1945	-0.0255
MASP2	-1.476
ZNRF3	-0.5164
GPATCH3	-0.058
AGL	1.46125
QRICH2	-0.6345
PSD4	0.961833333333333
CCNB1IP1	-1.66125
ENPP7	0.09525
OBFC1	0.39725
KCNG3	-2.289
C14orf79	0.3265
ENPEP	1.692
SCT	3.0515
SKI	0.569
SEC61G	-0.91475
CAPN11	0.02975
ATXN7L3	0.114
DBNDD1	-0.5495
FAIM	0.752
ANKRD36	-1.08
GABRP	1.074
TACSTD2	1.34883333333333
EIF3J	-0.15025
PPP2R2A	-1.61525
TEKT4	-1.26466666666667
PVALB	-3.96366666666667
F10	-2.21533333333333
FAM134C	0.7678
COMP	4.568625
EFCBP1	-2.9464375
SCLT1	0.731625
TAL1	-1.0316
ACSL1	0.772
ABCC5	1.03608333333333
ABL1	-0.905611111111111
RBBP7	0.378916666666667
PTPRG	-1.146
NCOR1	-0.1282
SPINK4	-1.0105
TXNRD1	-2.1436
TNRC15	0.409125
C9orf138	1.073875
UBE2H	1.4715
BRDT	0.752
C8orf31	0.552
CCNE2	-0.881454545454546
SLC6A8	-1.854125
CALCR	-2.5685
PPP1CB	0.201833333333333
ABHD8	0.1265
ARF5	0.722
SLC24A4	0.23125
CCT3	0.83625
ZNF121	0.131625
SLC3A2	-1.1991
OR13A1	0.797
SLC5A10	0.864
RAD50	-0.374375
IER5	0.10875
MTHFD1L	-2.674375
MBTPS2	0.1985
MVK	-0.59
NCL	0.2479
PSMD10	0.08075
MOBP	0.13575
FLJ32894	0.8225
HRH1	0.0763333333333333
C5orf30	2.00975
NUDT16L1	1.5384
RASGRP3	3.68233333333333
PRKRIP1	-0.2096
CCDC75	0.83425
LOC253970	-0.18575
KIAA1239	-0.1295
MED21	0.30975
SYT11	0.26625
NTSR2	-0.00199999999999997
EGFL11	0.182
CXorf59	0.5475
OR2A25	0.11825
SPTBN2	-0.63575
LRMP	-1.99616666666667
RNF111	-0.75175
PTH	-0.958
LOC619208	1.48183333333333
KIAA0895	1.5595
RANBP5	-1.983625
P2RY10	0.582833333333333
NME5	4.15683333333333
DDX21	-0.8085
LRSAM1	-0.0455
HDAC11	1.16666666666667
VMO1	1.64175
NOLA2	-0.0378333333333333
ADAR	1.00883333333333
MTO1	-0.957833333333333
SF4	0.185
P2RX1	-0.0418333333333333
HBM	0.21275
EN2	0.364
C14orf172	0.43025
TM9SF2	-0.8119
INHBE	-1.597
TCTE3	-0.088
TOX2	-2.455
CTAGE3	0.0055
HBB	2.8544
MED15	-1.14683333333333
CASR	0.29175
C6orf66	-0.840333333333333
MTPN	-0.110625
UNC50	-0.2225
C21orf33	-0.01025
IRF2	0.875125
PGR	3.182
GPR84	2.7355
CROCCL1	-1.402
SRPX	-1.83425
BRE	-0.214666666666667
FGF10	1.39775
SDC3	1.1575
ZRSR1	0.564166666666667
DKFZP434P211	-0.521875
SOX6	-0.959
RPUSD2	-0.10375
C14orf173	-0.340666666666667
MAPK11	-0.602166666666667
TBC1D22A	-0.361
FAM123A	-1.614
COL4A6	-0.627
TOMM70A	-0.345
NAB1	0.715875
MGC16385	0.074375
TSPAN18	-1.103
MED31	-0.799
PLG	-0.23875
CAPSL	4.375
ZNF532	2.3856
ASB14	0.3525
CA8	1.20975
NUDT16P	3.3695
SLFN11	-1.3165
LRRIQ2	0.017625
NOL7	0.0496666666666667
BRMS1L	-0.2465
JARID1A	0.358166666666667
PANK2	-0.07
ICAM3	-0.2645
MDS1	-0.89425
TAF8	-0.2635
RNF139	0.2945
ZNF594	-0.347
ADAM8	2.1255
SFTPC	-0.1715
MAN2B2	1.023375
RGS12	0.44525
EIF1AY	-4.35925
LRRIQ1	0.775833333333333
GPR150	-0.10975
CCDC21	-1.18566666666667
PRRG3	0.19625
SAA4	-2.81125
RAPGEF5	1.114375
ZCCHC2	1.39058333333333
MGC39372	0.1005
PPP4R2	0.384166666666667
CDCA2	-2.49033333333333
OR4D5	0.329833333333333
PTGFRN	1.1944
SIGLEC5	2.719
C19orf61	-0.535666666666667
NMUR2	0.3135
KIAA1586	-1.11983333333333
DAGLA	1.721
CHCHD6	-0.42575
GPR32	0.2795
NEUROD6	0.385833333333333
SLC2A4RG	0.441625
CA5B	0.452
FBXL3	-0.32175
MPHOSPH9	-1.76875
HMG2L1	-0.58375
HCN4	-0.251833333333333
CEACAM19	0.81325
SH2D4B	0.235166666666667
HFE2	-0.906
TGM4	-0.4394
LYPD2	0.3
TBC1D15	-0.4905
MRPS21	0.2549
NONO	-1.0976
CLEC5A	2.35175
ITCH	0.4607
MGAT3	-1.46216666666667
MBP	-0.34925
RPP25	-1.7935
SOSTDC1	0.49075
HRC	-1.48125
TRIM48	0.392
TMEM133	0.53225
ECEL1P2	-1.13575
HOXC11	0.102
DOK5	-1.27625
HELZ	0.166333333333333
LOC348180	-1.31275
MGC33894	0.3235
ADRB3	-0.0315
DMD	-0.541583333333333
PTRH2	-0.39075
MPEG1	3.01716666666667
NDUFA12	0.00116666666666667
KRTAP2-4	0.0839166666666667
STAMBPL1	-1.35616666666667
ADCY2	-0.691333333333333
UNQ6125	-0.341
KLHL20	0.659833333333333
SRM	-1.10175
OTC	-0.0875
TMIE	1.20416666666667
SNX8	-0.355
LIPK	1.3335
CHURC1	0.558916666666667
KLC2	0.216
HDAC1	-0.418666666666667
FAM128A	0.854166666666667
FNDC3B	-0.4898
MTCP1	-0.0861666666666667
WFDC10B	1.5011
PCDHGB3	0.6055
ATRNL1	-3.0478
CAV2	-0.686375
MED26	0.225
DUS1L	-0.1175
CHRM3	-1.95175
NEK9	0.33675
WARS2	-0.195
TBX22	0.717
TOMM40	-1.06625
RP6-213H19.1	0.153833333333333
TUBGCP5	-1.34875
IGSF6	5.01375
TPPP	1.39616666666667
UNQ6190	0.139
GSTM5	0.013875
BTD	0.919833333333333
PDCD1LG2	0.560333333333333
SNRPB2	0.296
ERICH1	-0.690125
APOA4	-1.604125
HOXA11	-1.836
NARG1	0.227875
MKX	-0.73675
RAB28	0.0208571428571429
PKP3	1.57375
SH3GL2	-3.36025
CTSO	3.18175
RPN2	0.3279375
IL28RA	-0.116
SFMBT1	0.9275
WDR57	-0.486375
FER1L3	1.26658333333333
HSF5	-0.0148333333333333
TTC9B	-0.125
C4BPA	-3.59283333333333
ALB	-3.81923076923077
SORBS3	0.094875
UPF2	0.3565
JPH1	0.066
AGBL2	1.22875
DOPEY1	1.781
TERF1	-0.0673333333333333
KIF22	0.387666666666667
NINJ1	1.3065
SEC61A2	0.365666666666667
HIST1H1D	-0.848666666666667
SFXN4	-0.551625
UCP3	1.377
ZNF703	1.7505
MYL6B	-0.13875
TREM1	2.59475
OR52E6	-0.228
CKMT2	1.5165
HLA-C	2.109875
SLC13A3	-0.957166666666667
TIMP4	-0.8915
SLIT2	2.667
RSF1	2.37472222222222
LONRF1	-0.703285714285714
MON1A	-0.0521666666666667
CACNG6	-0.748333333333333
DPPA4	-5.2325
ZSWIM3	0.7865
ZNF804A	-0.335666666666667
CCIN	2.3425
SLC25A31	0.638
KCNMB4	-0.62075
RABL5	1.072875
GALNS	-0.793
STX6	1.150125
HIST1H1C	-1.3415
CIDEB	0.539625
CASP4	0.645666666666667
PDK3	0.2303
KCNJ11	2.699
TPR	0.231125
ZSCAN20	0.4285
MTX2	0.43175
HIST1H2BH	0.12925
LOC283767	1.13425
LYRM7	-1.09094444444444
BRD3	0.157666666666667
HIST1H2BO	-0.36675
MAGEB10	0.6115
SLC45A1	0.5385
SERPINA3	3.62695
KIAA0143	1.05625
KCNJ16	0.113
KRT79	0.5405
FABP2	-1.85633333333333
NUT	-1.28125
ZNF57	0.0965
FBXL4	0.399125
CLEC9A	1.363
UGT8	-1.74066666666667
BMP2K	0.124
MAPK4	-3.46675
SLC25A23	-0.8877
HINT1	-0.4529
KRTAP13-1	0.0985
SFXN5	0.1975
CHCHD2	0.569416666666667
FAM3D	0.586
NDP	-3.4315
RHOBTB1	0.0108333333333334
SLC4A4	-1.694625
RPL38	-0.1175
HTF9C	-1.124
AP2A2	0.012875
ZBTB46	-1.0515
MAP7D1	0.10275
AOX1	-0.608
CYR61	1.39258333333333
DTNA	0.671857142857143
JRKL	0.293
TMOD3	0.56025
EEA1	0.5284
ADCK5	-0.1495
IL1R1	1.564
KLK3	0.419928571428571
HRSP12	0.2515
KTN1	0.975
LOH11CR2A	0.8315
RELL2	-1.093
MAB21L1	1.52775
C20orf59	-0.875333333333333
PHKB	-1.1295
ADAM2	-2.1784
TBC1D8B	1.03766666666667
FAM13A1	-0.706
LAPTM4B	-1.22075
LCN8	0.05
TMEM147	0.456
SYT4	-0.852166666666667
XPO7	-1.1125
C9orf62	-0.163
GPR75	0.421
TRIM5	1.138625
APOC1	-0.34
RNASE4	0.699666666666667
PARD6B	0.116
ARID1A	-0.0276666666666667
TPD52L3	-0.073
RRAGB	1.278
RCN2	-0.290833333333333
HIST2H2BE	-0.233125
STARD7	-0.56475
SHMT2	-1.4055
KIAA1751	0.453833333333333
MLYCD	-0.482625
LOC162632	0.1352
UQCRH	-1.1415
RP11-217H1.1	0.37175
SDHA	-1.96066666666667
NCLN	-0.6329
ZNF17	1.85616666666667
RCBTB2	-2.0975
VEGFB	-0.5229
RP4-747L4.3	0.28125
COLQ	0.9245
MPN2	-0.344166666666667
DRG2	-0.84575
KLRB1	3.6705
ALPK2	-0.7595
DNASE2B	1.15725
FLJ23834	1.223
AXUD1	0.368166666666667
SAFB	0.197
NSUN4	-0.18125
RFX2	0.745
MAPK8IP1	-0.765833333333333
FANCD2	-0.886928571428572
ANKZF1	-1.39133333333333
C19orf50	-0.590125
DUSP8	0.689875
SENP5	1.824625
NFKBIL2	-0.70325
LBR	-1.26425
IGFL1	1.928
LZTS2	0.897625
IL2RG	-1.329375
CCDC51	-0.8815
KLF3	0.481625
ANKRD37	-1.29425
KCTD14	-0.998833333333333
FZR1	0.248166666666667
SLC44A4	3.6559
ESPL1	-0.782625
GMPR2	-0.231
TBC1D19	-0.122166666666667
ERGIC1	0.136037037037037
ERBB4	1.5269
TSPAN32	0.0506666666666667
MAP4	-0.61025
GPHN	-0.424
SLC6A2	-0.386875
HIVEP1	1.106
DFFB	-0.3068
EIF4EBP2	0.2265
DMRT1	-0.31475
HSPB6	-0.069
IER2	0.2965
AIFM1	-0.05175
WWC2	0.883416666666667
MRPL4	-0.98875
FLJ21062	1.11533333333333
EPB41L4A	1.61258333333333
SH2D6	0.261
TAF4B	-0.78075
GAL3ST3	0.089
MALT1	-0.257166666666667
RTDR1	0.95925
ARVCF	-0.236875
MEX3B	-1.11683333333333
FBXO16	0.94275
KIF7	-1.03325
C1QC	4.00833333333333
ZNF783	0.140833333333333
ZNF85	-0.48425
MMP13	4.2
KIAA0329	0.708375
RTP3	-0.6065
ZBED3	0.131
CLGN	-0.534
SLC25A37	-1.76429166666667
hCG_18290	-0.28925
OR5AS1	-0.164
SMARCC2	0.192166666666667
FAM109A	-0.0333333333333333
CCDC12	-0.27475
USF2	0.6364
DEPDC7	-1.5165
C20orf24	0.0566666666666667
JMJD3	-0.3235
DSP	-1.81071428571429
SLIC1	0.019625
FAM20A	-0.153625
IRF2BP2	1.114375
ZNF230	0.7335
MSN	-0.510642857142857
SLC9A5	-1.9265
EPDR1	-2.2186
MUSK	0.568833333333333
