Hybridization REF	TCGA-BH-A0B5-11A-23R-A12P-07
FLJ22167	-0.396125
EXOSC7	-0.213166666666667
ROR2	-0.57325
MAOA	5.5045
TNNT3	4.638
GYPC	2.4465
C7orf33	0.013
PLIN	4.97483333333333
LOC90826	-0.01725
RNF4	-0.9923
F8A1	0.750666666666667
PLEKHG4	-1.59025
GRB2	-0.6435
HIST1H2AD	-0.9
DUS3L	-0.114333333333333
EIF1	1.08816666666667
RP5-1077B9.4	-0.0363333333333333
FPGT	1.1275
GDF10	4.39333333333333
COQ9	0.6275
GCC2	0.1825
RARRES3	0.440875
PLXNA1	-0.8644
KIAA0100	-0.5734
PMF1	-0.17525
FNDC1	5.49525
HS2ST1	-0.163833333333333
CRELD2	0.0615
C8G	-1.1945
CD82	0.583
LIM2	-1.084
UNQ6490	-0.5815
MMP16	-0.30425
DRD3	-0.2145
C5orf26	1.06625
C11orf73	0.5665
PTP4A2	0.851875
OR4M2	-0.5915
HPCA	-1.03816666666667
SEC14L1	0.0538333333333333
CHFR	-0.717875
EMILIN1	0.762125
NDUFS4	0.83275
COL18A1	-0.831625
PDZD3	0.6378
C9orf16	-0.349666666666667
ERBB2IP	-0.0201666666666667
EMX2	5.8325
FUS	-1.5775
TF	-0.1967
CLCN4	1.4455
CXorf56	0.2065
C11orf72	0.57075
ELAC2	-0.51775
NPR1	3.38425
ASS1	2.24033333333333
USP42	-1.078375
POLR2J	-0.5445
SEC23IP	-0.0838333333333334
UQCRC1	0.3855
LOC729603	-0.051
C1orf71	-0.23175
POLG	-3.173
ADAM23	-4.1535
TFR2	-1.14025
RICTOR	-0.775333333333334
MGC39606	1.4995
C19orf55	-0.24125
SNAPC1	-1.12883333333333
GNA11	0.54475
CCDC52	-1.28816666666667
FSIP1	-1.0075
UPF3A	-0.40825
IGSF11	-2.13583333333333
LAGE3	-1.3765
CHST6	-3.864
UNC13B	0.585625
TTLL4	-1.619375
ZNF687	-0.69
SDC2	1.3264
COX7A2	-0.221
LAMB4	0.02
FAM24A	1.98
LRRTM3	-0.957166666666667
GPHB5	1.102
OR4C13	-0.321
EIF3EIP	1.43642857142857
HABP4	1.535
TMEM125	-3.29825
CNTN2	0.38175
ASNSD1	-0.2665
FUT4	0.278
ACF	-3.0555
LOC158381	1.2095
CDH8	-1.17625
AGPS	-0.247
C4orf18	2.20825
PECI	2.0645
UNG	-0.7875
GSTP1	-0.507
DCUN1D5	-1.424
DKFZP564J0863	-0.8565
SLC9A3R1	-2.317
BCDO2	-0.549875
CHMP7	0.04375
REM2	0.1375
DNHD1	-0.0475
FKBP4	-1.509875
ZNF350	1.046
MGC11102	0.064625
BST1	2.10475
KISS1R	1.1205
NCR2	0.813
DEFB125	-0.284
UBE2W	1.000375
KRT15	-0.73825
C10orf99	0.71
SCN11A	0.966625
GFI1	-2.82725
RDHE2	-1.30083333333333
FHL1	3.00816666666667
OSGEP	-0.0995
GATA1	-2.9025
SMC6	-1.41475
TTTY14	-1.10825
LPIN3	0.8825
RPL4	1.072
RBPMS	2.3046
PRPF3	-0.614
EMR1	-2.676
SPATA19	-0.87325
XCR1	1.5435
IRX3	0.5435
RBM6	-0.212
KLF4	2.5704
UNC5CL	-1.654
SEBOX	-0.3075
BTK	-1.678
KRCC1	2.11725
C6orf27	0.862
SYTL5	-1.4745
PRND	1.1895
LOC653319	-1.6985
PIGL	-1.480875
HUS1	-0.00233333333333333
SFRS6	-0.398
C17orf77	1.04
UIMC1	0.063
FXYD2	-1.2138
LOC283152	1.422
ZNF667	-1.60625
ZCCHC12	-0.70325
TFEC	1.123
ATP7B	0.345833333333333
POLD2	-0.618
RG9MTD1	-0.439
ACOT2	2.947
HIST1H4I	-1.715
PPARGC1A	-0.7162
ETFA	0.6716
POLRMT	0.34325
ZNF146	-1.122625
MIA2	-2.504
KLHL6	-2.70633333333333
HOXB5	0.23475
NENF	0.6825
CUGBP1	-0.4435
PRSS22	-1.08766666666667
CASC4	0.6106
CUL4B	0.0022
CENPJ	-1.8761
PITX1	-1.69016666666667
FLJ31033	-0.152666666666667
CELSR3	-2.38266666666667
ZNF568	0.259
ITSN1	0.912333333333333
EHBP1L1	-0.680333333333333
C19orf2	-0.01175
DCTN1	0.1485
LIN28B	-4.35266666666667
TNKS2	0.175
C1QBP	-0.900125
CADPS2	0.61375
SRMS	0.4925
GJA9	-0.188333333333333
MGC24975	-1.45383333333333
TRIM45	-1.37966666666667
TSP50	0.7805
TCP1	-1.328
TMED7	-0.2065
CMA1	1.9055
CENPL	-2.51283333333333
PTCRA	-0.25
FST	-2.6365
VWCE	-2.26425
PAWR	-2.35525
ABCC12	0.28
LDLR	-2.2945
ASTN2	-0.3623
LOC441212	-0.00625
GPATCH8	-0.19925
TANC2	-0.851666666666667
KIF4A	-3.791
C18orf18	1.2065
PGM1	1.387
KIAA0258	-0.66
CPD	0.218875
SNCAIP	-0.536
DCT	-4.01416666666667
HLA-DOA	2.56559090909091
OR11L1	0.905
UPK1B	-0.447166666666667
DNAJB4	0.829125
UGT1A8	0.17675
HIST1H4L	-1.3815
PECR	2.44833333333333
HSPA2	0.85275
WFIKKN1	-3.2075
SERP1	-0.039375
SYDE2	-0.08175
TACR2	2.0625
NUP85	-0.703
CD177	-0.664
LGR5	-2.4278
PIGG	-0.681
PTHR1	1.97133333333333
RAB5A	-0.0622
FLJ13224	-0.0205
USP9Y	-2.653
C7orf53	-0.153
LRP1B	6.2305
XAF1	1.1152
ABCG8	-1.316
ANKDD1A	0.165833333333333
DAND5	-1.911
SPAG6	-0.734
LINCR	-2.456
ZDHHC22	-0.87
CCDC60	-0.125
THOC7	-1.27316666666667
TCTA	1.188
OR8K3	0.6895
NY-REN-7	0.03775
B2M	2.395
C6orf141	-1.50175
LPPR4	3.54675
SQLE	-5.44425
SEPHS1	-0.29275
BTBD14B	0.208071428571429
PLRG1	0.002
SPG7	-0.536375
ZNF614	-0.484833333333333
PARD6G	0.5825
INPP5B	-0.0854
GRPEL2	-0.154625
PPID	-0.2792
TRIM56	-0.0465
UBE2J1	-0.344
IL20RA	2.46275
LOC387856	-0.094
C1orf107	-0.552583333333333
UTS2R	1.76925
C19orf22	-0.997
SAFB2	-0.303625
KIAA0652	0.528375
KLRG1	0.5845
MS4A8B	0.102166666666667
FRAG1	-0.582
KIAA1546	-0.3465
E2F4	-0.8513
CLEC4M	0.4426
BTBD14A	-0.90275
KIAA0999	0.6112
GYPA	-3.9185
TAC1	-0.3999
TRAIP	-2.47766666666667
KIAA0232	0.3815
ERCC8	-1.01525
GPX4	2.40675
KIAA0368	0.320375
GPR157	-1.01016666666667
CTAGE4	-0.472
C9orf30	-1.93116666666667
OR52A1	0.768
HSP90B3P	-0.9235
ALG9	0.3905
BTBD10	0.16
SDK2	-0.11475
BAIAP3	-0.50625
RABGGTB	-0.313375
ANKRD40	0.738666666666667
KRT74	0.196
CALCOCO2	1.68071428571429
SNCA	-3.09925
TMSL8	-4.960875
C2orf53	0.705
ESRRB	-1.0305
ARHGAP26	-0.390875
TDRD9	-1.9175
HRAS	0.221833333333333
KLRC4	-1.032
JAGN1	0.243833333333333
BSDC1	0.205
RNF43	-2.7917
NDUFAF1	0.30275
PHF12	0.44875
OR1L3	0.9115
FOLR2	3.24491666666667
LYZL6	0.5775
tcag7.1260	-1.148
WSB1	-1.3005
PROS1	0.3337
OSTN	0.4395
PSMB8	0.4645
SOCS4	-0.234625
DDIT4L	2.89625
MAS1	1.255
MGC34796	1.0485
CSHL1	0.851166666666667
TBCCD1	-0.141666666666667
ZBTB7C	-0.268
AP2S1	-0.501875
P15RS	-0.4763
VAT1	-0.1644
SHANK3	2.3955
TUFM	0.3505
THEG	1.032
KRT34	-1.946
SGSM3	-0.2765
TOMM22	-0.157875
SOCS3	2.56666666666667
CPO	5.2605
POP4	0.27875
BHLHB3	1.72475
MALL	1.782
OR1B1	-0.339
PARK2	1.46566666666667
GPR124	1.564125
LCE1E	-0.04
RUVBL2	-0.91525
CGRRF1	1.2388
ACPL2	-1.26975
WNT10B	-0.10825
BAIAP2L2	-1.670625
ISCA1	0.9025
C1orf125	-0.47525
RPAP1	-0.35025
RAI16	0.711
RPL27	0.70525
NLRP9	0.063
EPN1	-0.306
LOC388610	-1.6895
SLC35A1	0.4518
GAL	-4.1255
SLC14A2	0.79725
RDH11	-1.513
FAM138F	0.344
AUH	1.2315
FLJ40243	0.73975
C14orf129	-0.411666666666667
MBD2	-0.46
ABHD14B	1.685125
PIGT	-0.82075
ALS2CR4	-0.330375
ALAS1	-0.0237
FOXO1	4.1495
CRLF3	-0.57
C20orf107	0.091
FARS2	1.07975
CCDC28A	1.408
NPHP3	0.69475
OR13F1	1.091
TSEN54	-1.25725
DEFB106B	-0.0951
OR8B4	1.6925
STH	-0.06225
ZC3H14	0.371625
CBX2	0.049
TMEM49	-1.89975
C6orf21	0.324
FLJ20920	2.2975
CRTAP	1.22778571428571
DDX50	0.30025
STYXL1	-0.57875
BLVRB	0.790833333333333
LOC147650	0.513166666666667
MMP24	0.5555
GRID1	1.891
BANF1	-1.1635
CTAGEP	-0.85225
HMBS	-2.42725
SLC25A24	0.0988333333333333
C14orf50	1.8315
MRO	3.107
SLC25A15	-2.142
FAM84B	-0.6109
TDP1	-1.984
C16orf78	-0.0498333333333333
C11orf57	-0.2605
RFK	-1.2735
ZFYVE9	0.57375
STCH	-2.2017
WIBG	0.2665
LOC283871	-0.290166666666667
GBA2	0.2559
NDUFB3	-0.09225
HSD17B13	3.78
GRIN3A	0.302166666666667
FMNL1	-0.9285
SEPT7	-0.2879
GNLY	3.418
GRAMD1C	0.636333333333333
ZNF165	-2.3835
USP38	-0.026
FAM83A	-3.37716666666667
C14orf24	0.3475
ARMCX3	0.686
ARHGDIB	-0.473666666666667
AK1	0.35325
KIAA1045	0.98175
DNAJB13	-0.1405
NEU2	0.796
HIST1H4B	-1.2925
FAM20B	-0.5161
HES2	-0.867357142857143
FAM73B	0.2993
LOC388381	0.69375
INTS7	-1.83190909090909
AMPH	2.494
ZNF775	0.353375
UCKL1	0.0921666666666667
C10orf97	1.361
C1orf161	1.4845
ALDH1L1	5.54975
FLJ39378	-0.25375
SLC23A1	-2.6395
RBM4B	0.04025
THAP4	0.504333333333333
OGFRL1	0.5975
KIAA0831	0.681125
PPP1R15A	0.801333333333333
C1orf96	-1.40721428571429
C12orf11	-2.631
BMF	0.02575
MAN1A1	1.0895
KIAA1600	0.889333333333333
NLGN4X	0.387
ALOX12	-1.01616666666667
RB1CC1	0.3086
NEIL2	0.6553
EIF4E	-0.444090909090909
ABHD5	2.559
EXOC4	-0.00166666666666668
CIP29	-0.329333333333333
BATF2	0.56175
SLC29A4	1.2825
HTR4	1.2485
EMB	-1.59025
TRAF6	1.0735
LMNB1	-5.487
FAM19A5	-0.890875
SHE	3.8065
PIK3C2B	1.11575
C15orf15	0.4388
USP15	0.8727
TCEAL2	1.5725
C5orf39	0.907333333333333
PTGER2	0.2525
SLC31A1	-1.062125
IFT172	-0.525
ADAM29	0.03475
GFOD1	1.9775
ST7L	0.452833333333333
C15orf26	-3.0145
PKN3	-0.0685
CNTD1	0.608166666666667
COMMD1	0.75775
NTRK2	4.82491666666667
FOXN3	2.163625
MFGE8	1.5012
PFKFB2	-0.2675
TAS2R4	-0.08925
ENTHD1	-0.8305
PRMT5	-0.839625
MGC16384	-2.203875
LOC442229	0.84325
TSKU	2.138875
KRTCAP3	-2.02725
PDLIM1	0.7498
KCNS2	0.567
RNF126	-0.281166666666667
CEP63	0.665
CLIC4	-0.22875
hCG_1990170	1.20925
ACR	1.5574
KLK7	-0.74925
ALOX5AP	2.285125
RIPK3	3.03525
TAS2R9	0.625
C19orf18	0.84
BIRC6	-0.217857142857143
ZNF16	1.165
RFT1	-1.303
SLC8A2	0.123
TACC1	2.10025
ITGAD	0.198
SAMHD1	1.452
SH3PXD2B	0.4792
EPC2	0.8615
C20orf85	0.8685
ATP13A2	-0.226833333333333
KRT4	0.67475
CAPNS1	0.096
MDM2	0.102083333333333
PCDH20	1.74925
KCNK9	0.598
OR2C1	1.174
KLHDC3	-0.254833333333333
IPPK	-1.0925
EFHD2	-0.72125
GALR3	1.80125
NBEA	-0.0221666666666667
ABCA6	6.4237
CLDN3	-2.68933333333333
AKT2	0.0245
EGFR	2.215
RBM16	0.222375
ZDHHC3	0.94
SLC25A4	0.885166666666667
CYB5B	-0.3705
CPXM1	0.75475
NDRG1	0.202
FLJ43826	-0.2015
OR5L2	0.448166666666667
FARP2	-0.034
MRPL46	1.23308333333333
LDHAL6B	0.659166666666667
MAPKAPK3	-0.220666666666667
NCAM2	-1.98875
PRKD2	0.412
ZFP36L1	1.4739
CYSLTR1	0.17075
OR4C3	0.19375
HIST1H2AJ	2.222
CCNB2	-4.10755555555556
ZNF10	-0.335
TMEM175	1.0635
FAM134A	0.534833333333333
TIGD4	-0.747
PCNP	0.06325
MGC39715	0.350666666666667
LQK1	-0.828
CREB1	0.5852
TMPRSS3	-0.394
C4orf32	2.43075
LAT	-1.5755
KCNA3	-2.2955
SKIV2L2	-0.4645
ROPN1B	-2.907
tcag7.23	0.247
CDT1	-3.974
ZHX2	1.0425
CD28	-3.786
ZNF624	0.7515
SEPT2	0.467916666666667
SOHLH2	-1.87
MCOLN3	0.63275
UNQ1945	0.7415
MASP2	0.1535
ZNRF3	-0.528
GPATCH3	0.105
AGL	0.340125
QRICH2	-0.0055
PSD4	-2.03183333333333
CCNB1IP1	-0.47175
ENPP7	0.06225
OBFC1	0.97525
KCNG3	-2.8845
C14orf79	-0.525166666666667
ENPEP	2.8705
SCT	-0.29
SKI	1.47725
SEC61G	-1.4975
CAPN11	1.16775
ATXN7L3	-0.70925
DBNDD1	-1.95083333333333
FAIM	0.91325
ANKRD36	-1.605
GABRP	0.485666666666667
TACSTD2	-2.818
EIF3J	-0.519
PPP2R2A	-0.1445
TEKT4	-0.281166666666667
PVALB	-3.83883333333333
F10	0.386833333333333
FAM134C	1.3399
COMP	2.014
EFCBP1	-1.1455
SCLT1	0.333625
TAL1	0.5519
ACSL1	5.25975
ABCC5	-0.702083333333333
ABL1	-0.331833333333333
RBBP7	-0.4885
PTPRG	1.596625
NCOR1	0.121
SPINK4	-1.84066666666667
TXNRD1	-1.1492
TNRC15	-0.287625
C9orf138	0.508375
UBE2H	0.306333333333333
BRDT	-0.349
C8orf31	0.0105
CCNE2	-3.82172727272727
SLC6A8	-0.796125
CALCR	-4.64875
PPP1CB	0.42375
ABHD8	-0.1845
ARF5	-0.0294
SLC24A4	1.01725
CCT3	-1.27925
ZNF121	-1.054125
SLC3A2	-0.8739
OR13A1	0.6485
SLC5A10	0.28375
RAD50	-0.23025
IER5	-0.116
MTHFD1L	-2.39725
MBTPS2	0.8215
MVK	-0.410125
NCL	-0.1088
PSMD10	-0.93825
MOBP	0.784666666666667
FLJ32894	-0.4975
HRH1	-0.189166666666667
C5orf30	0.74475
NUDT16L1	0.517
RASGRP3	3.67566666666667
PRKRIP1	-0.4581
CCDC75	2.38725
LOC253970	0.449
KIAA1239	7.332
MED21	-0.253
SYT11	0.509333333333333
NTSR2	3.7205
EGFL11	1.2815
CXorf59	1.262
OR2A25	-0.26825
SPTBN2	-2.03125
LRMP	0.0671666666666667
RNF111	0.1525
PTH	0.351
LOC619208	0.625333333333333
KIAA0895	-1.6055
RANBP5	0.021875
P2RY10	-0.0618333333333333
NME5	1.31966666666667
DDX21	-1.4425
LRSAM1	-0.528
HDAC11	0.219333333333333
VMO1	1.0725
NOLA2	-0.738833333333333
ADAR	-0.393583333333333
MTO1	-0.982333333333333
SF4	0.363333333333333
P2RX1	0.93
HBM	1.91525
EN2	1.8425
C14orf172	0.3605
TM9SF2	-0.0501
INHBE	-1.782
TCTE3	0.703166666666667
TOX2	-1.41375
CTAGE3	-0.965625
HBB	5.0143
MED15	-0.333666666666667
CASR	0.20425
C6orf66	-0.389333333333333
MTPN	-1.13325
UNC50	0.2255
C21orf33	1.527625
IRF2	1.40175
PGR	-2.14733333333333
GPR84	0.1935
CROCCL1	-2.00375
SRPX	2.6495
BRE	0.350333333333333
FGF10	3.7355
SDC3	-0.3345
ZRSR1	0.7605
DKFZP434P211	0.0319999999999999
SOX6	1.066
RPUSD2	-0.798
C14orf173	0.0915833333333333
MAPK11	1.4505
TBC1D22A	0.8085
FAM123A	-1.752
COL4A6	-3.13833333333333
TOMM70A	0.42075
NAB1	0.577
MGC16385	-0.512125
TSPAN18	0.649833333333333
MED31	-0.527
PLG	0.25275
CAPSL	-0.4865
ZNF532	1.1062
ASB14	-0.307333333333333
CA8	-1.2125
NUDT16P	2.22183333333333
SLFN11	-0.069
LRRIQ2	-1.5045
NOL7	-0.304333333333333
BRMS1L	0.04575
JARID1A	-0.14
PANK2	0.1255
ICAM3	0.92875
MDS1	0.707
TAF8	0.0465
RNF139	0.221
ZNF594	-0.039
ADAM8	-0.80675
SFTPC	0.542125
MAN2B2	0.965375
RGS12	0.6721875
EIF1AY	-4.51909090909091
LRRIQ1	-2.03183333333333
GPR150	1.8585
CCDC21	-2.05433333333333
PRRG3	1.55725
SAA4	-1.2665
RAPGEF5	1.5065
ZCCHC2	0.0689166666666667
MGC39372	-0.2085
PPP4R2	-0.568166666666667
CDCA2	-3.51733333333333
OR4D5	0.569666666666667
PTGFRN	-1.0471
SIGLEC5	0.662333333333333
C19orf61	-1.1045
NMUR2	1.135
KIAA1586	-0.830166666666667
DAGLA	-1.10166666666667
CHCHD6	-0.277
GPR32	0.854
NEUROD6	0.555166666666667
SLC2A4RG	1.17225
CA5B	0.5255
FBXL3	1.81525
MPHOSPH9	-1.16725
HMG2L1	0.03425
HCN4	1.15166666666667
CEACAM19	0.18275
SH2D4B	0.208166666666667
HFE2	-0.16
TGM4	0.367833333333333
LYPD2	0.10525
TBC1D15	0.81275
MRPS21	0.0871
NONO	-0.7534
CLEC5A	0.283666666666667
ITCH	0.1709
MGAT3	1.666
MBP	-0.381625
RPP25	-1.0245
SOSTDC1	-1.708
HRC	1.13125
TRIM48	0.6625
TMEM133	1.5615
ECEL1P2	-1.382
HOXC11	-0.676
DOK5	-0.71075
HELZ	0.594166666666667
LOC348180	-0.29225
MGC33894	1.532
ADRB3	0.3225
DMD	2.52608333333333
PTRH2	-0.98575
MPEG1	3.18766666666667
NDUFA12	0.4985
KRTAP2-4	0.502916666666667
STAMBPL1	-0.161666666666667
ADCY2	1.43283333333333
UNQ6125	1.305
KLHL20	0.574833333333333
SRM	-0.72025
OTC	2.13775
TMIE	1.94316666666667
SNX8	1.6505
LIPK	-0.485
CHURC1	0.368666666666667
KLC2	0.496833333333333
HDAC1	-1.57383333333333
FAM128A	-0.383333333333333
FNDC3B	0.6197
MTCP1	0.0223333333333333
WFDC10B	0.0495555555555557
PCDHGB3	-0.2925
ATRNL1	-3.1207
CAV2	3.28
MED26	-0.135166666666667
DUS1L	0.212
CHRM3	-0.55925
NEK9	0.78575
WARS2	1.05325
TBX22	-1.4535
TOMM40	-0.58475
RP6-213H19.1	-0.0413333333333333
TUBGCP5	-0.07375
IGSF6	3.46425
TPPP	1.43383333333333
UNQ6190	-0.108
GSTM5	2.33175
BTD	1.85816666666667
PDCD1LG2	1.63733333333333
SNRPB2	-0.4425
ERICH1	0.162375
APOA4	-0.701625
HOXA11	-1.42375
NARG1	-0.795625
MKX	2.8715
RAB28	1.00192857142857
PKP3	-3.2625
SH3GL2	-1.598
CTSO	3.154
RPN2	-0.717375
IL28RA	-2.07516666666667
SFMBT1	-0.084
WDR57	-0.664875
FER1L3	-0.994666666666667
HSF5	0.574833333333333
TTC9B	0.59525
C4BPA	-4.12966666666667
ALB	-4.93207692307692
SORBS3	0.89975
UPF2	0.0765
JPH1	-1.3175
AGBL2	-2.63275
DOPEY1	1.9425
TERF1	-0.421916666666667
KIF22	-1.073
NINJ1	-0.79525
SEC61A2	-1.80858333333333
HIST1H1D	-0.2555
SFXN4	0.63425
UCP3	0.1213
ZNF703	0.867166666666667
MYL6B	-0.78025
TREM1	0.6805
OR52E6	0.1875
CKMT2	4.74925
HLA-C	1.698125
SLC13A3	-1.745
TIMP4	4.9745
SLIT2	2.92075
RSF1	-0.0211111111111111
LONRF1	1.09114285714286
MON1A	-0.344666666666667
CACNG6	-1.21283333333333
DPPA4	-5.0525
ZSWIM3	-0.178
ZNF804A	0.349666666666667
CCIN	0.95925
SLC25A31	0.98
KCNMB4	-0.664
RABL5	-0.531625
GALNS	-0.5983
STX6	-0.501
HIST1H1C	-0.3165
CIDEB	-0.32575
CASP4	0.674
PDK3	-1.9564
KCNJ11	0.152
TPR	-0.897875
ZSCAN20	-0.7175
MTX2	-0.59625
HIST1H2BH	-1.1015
LOC283767	4.0465
LYRM7	-0.426611111111111
BRD3	0.00400000000000001
HIST1H2BO	-1.24725
MAGEB10	1.134
SLC45A1	1.125
SERPINA3	-1.69235
KIAA0143	0.5245
KCNJ16	2.54
KRT79	0.586
FABP2	-1.81133333333333
NUT	-0.4895
ZNF57	-0.437
FBXL4	0.7495
CLEC9A	0.0395
UGT8	-1.44433333333333
BMP2K	-0.89025
MAPK4	-2.29525
SLC25A23	0.3555
HINT1	-0.2933
KRTAP13-1	0.6295
SFXN5	-0.8786
CHCHD2	-0.135166666666667
FAM3D	0.5765
NDP	-2.1845
RHOBTB1	0.104333333333333
SLC4A4	2.305375
RPL38	0.35225
HTF9C	0.757333333333333
AP2A2	0.721125
ZBTB46	0.5785
MAP7D1	1.335625
AOX1	2.61666666666667
CYR61	1.82325
DTNA	-0.745642857142857
JRKL	0.53275
TMOD3	-0.614
EEA1	0.4067
ADCK5	-0.146
IL1R1	3.62466666666667
KLK3	0.971785714285714
HRSP12	2.26675
KTN1	0.345
LOH11CR2A	0.8676
RELL2	-1.987
MAB21L1	3.68225
C20orf59	-0.987
PHKB	0.0145
ADAM2	-1.83875
TBC1D8B	0.206833333333333
FAM13A1	1.1871875
LAPTM4B	-2.82975
LCN8	0.191
TMEM147	0.136
SYT4	0.8555
XPO7	-0.334
C9orf62	1.7665
GPR75	-0.213
TRIM5	-0.5085
APOC1	-0.231
RNASE4	3.42516666666667
PARD6B	-3.485
ARID1A	-0.42325
TPD52L3	0.9605
RRAGB	0.895666666666667
RCN2	-1.3695
HIST2H2BE	-0.7320625
STARD7	-0.6565
SHMT2	-1.815
KIAA1751	1.341
MLYCD	2.132625
LOC162632	0.068
UQCRH	-0.324
RP11-217H1.1	-0.53375
SDHA	-0.0316666666666667
NCLN	-0.5668
ZNF17	0.424333333333333
RCBTB2	-0.57925
VEGFB	2.1239
RP4-747L4.3	0.22125
COLQ	0.0636
MPN2	0.638166666666667
DRG2	0.41825
KLRB1	4.68325
ALPK2	-2.6305
DNASE2B	0.4165
FLJ23834	0.461
AXUD1	2.52583333333333
SAFB	-0.3662
NSUN4	-0.7815
RFX2	0.0728333333333333
MAPK8IP1	-0.695666666666667
FANCD2	-2.85557142857143
ANKZF1	-1.277
C19orf50	-0.46525
DUSP8	-0.0815
SENP5	-0.323625
NFKBIL2	-0.75925
LBR	0.244
IGFL1	-0.186
LZTS2	0.77575
IL2RG	-1.7925
CCDC51	-0.32975
KLF3	1.33275
ANKRD37	-0.6775
KCTD14	-0.88
FZR1	0.237
SLC44A4	-2.5079
ESPL1	-1.63875
GMPR2	-0.3431
TBC1D19	-0.2565
ERGIC1	-0.108037037037037
ERBB4	-0.133777777777778
TSPAN32	0.696083333333333
MAP4	0.0865
GPHN	2.09375
SLC6A2	1.874375
HIVEP1	0.1305
DFFB	-0.7937
EIF4EBP2	2.677625
DMRT1	-0.1575
HSPB6	2.7425
IER2	1.09833333333333
AIFM1	-0.104
WWC2	-0.309166666666667
MRPL4	-0.161
FLJ21062	0.473666666666667
EPB41L4A	1.99366666666667
SH2D6	-0.0372499999999999
TAF4B	0.2495
GAL3ST3	0.5235
MALT1	-1.0915
RTDR1	-0.0135
ARVCF	-1.360125
MEX3B	-1.23983333333333
FBXO16	-3.57975
KIF7	-1.02175
C1QC	4.252
ZNF783	-1.013
ZNF85	-0.542
MMP13	-2.122
KIAA0329	0.445375
RTP3	-0.943
ZBED3	1.84475
CLGN	-4.09175
SLC25A37	-1.59895833333333
hCG_18290	0.7105
OR5AS1	-0.035
SMARCC2	1.08825
FAM109A	-0.259166666666667
CCDC12	-0.139
USF2	0.8884
DEPDC7	-3.08975
C20orf24	-1.67266666666667
JMJD3	-0.648
DSP	-2.65178571428571
SLIC1	0.6765
FAM20A	1.032125
IRF2BP2	-0.986375
ZNF230	-0.201
MSN	-0.438857142857143
SLC9A5	-1.6795
EPDR1	-0.7027
MUSK	0.352166666666667
