Hybridization REF	TCGA-E2-A14P-01A-31R-A12D-07
GML	0.7885
CD38	-0.9875
ZDHHC6	-1.01133333333333
NEFH	-3.48525
CTDSP2	0.21925
PGBD5	-0.510833333333333
CCNY	0.746571428571429
RMND5B	0.899916666666667
ZNF257	0.512
FLJ22167	-0.725
EXOSC7	0.568333333333333
ROR2	0.225375
MAOA	0.437125
TNNT3	1.7005
GYPC	-0.70225
C7orf33	1.3805
PLIN	4.29933333333333
LOC90826	-0.61
RNF4	-1.1792
F8A1	-0.0368333333333333
PLEKHG4	-2.48675
GRB2	1.2603
HIST1H2AD	0.936
DUS3L	-0.277833333333333
EIF1	-0.772333333333333
RP5-1077B9.4	0.0116666666666667
FPGT	0.2195
GDF10	0.660666666666667
COQ9	2.54975
GCC2	0.450785714285714
RARRES3	2.89775
PLXNA1	-0.3874
KIAA0100	1.1055
PMF1	0.46675
FNDC1	3.85775
HS2ST1	0.0108333333333333
CRELD2	1.70575
C8G	-2.2385
CD82	1.7855
LIM2	-0.956
UNQ6490	0.2745
MMP16	-0.997
DRD3	0.0645
C5orf26	-1.9665
C11orf73	-1.216375
PTP4A2	0.67925
OR4M2	-0.5355
HPCA	1.117
SEC14L1	-0.301166666666667
CHFR	0.351875
EMILIN1	0.553375
NDUFS4	-0.77575
COL18A1	0.19725
PDZD3	0.0888
C9orf16	1.0995
ERBB2IP	0.103333333333333
EMX2	1.82975
FUS	0.33775
TF	-3.876
CLCN4	-0.156333333333333
CXorf56	0.38125
C11orf72	0.32475
ELAC2	0.24875
NPR1	0.33025
ASS1	2.00416666666667
USP42	-0.1315
POLR2J	0.429
SEC23IP	0.4105
UQCRC1	0.6475
LOC729603	-0.01925
C1orf71	-0.130625
POLG	-1.0015
ADAM23	-4.0285
TFR2	-0.70525
RICTOR	-1.01333333333333
MGC39606	0.34475
C19orf55	-0.174875
SNAPC1	-0.671
GNA11	1.48525
CCDC52	-0.633666666666667
FSIP1	0.8825
UPF3A	0.671625
IGSF11	-2.95266666666667
LAGE3	-0.09425
CHST6	-3.186
UNC13B	1.308875
TTLL4	-0.013
ZNF687	0.4835
SDC2	-2.6603
COX7A2	-0.2355
LAMB4	-0.18225
FAM24A	0.445
LRRTM3	-0.843166666666667
GPHB5	-0.24725
OR4C13	-0.142
EIF3EIP	-0.336857142857143
HABP4	1.1345
TMEM125	2.01875
CNTN2	-0.059125
ASNSD1	-0.75275
FUT4	-0.77975
ACF	-3.6705
LOC158381	0.2845
CDH8	-0.2875
AGPS	-3.09433333333333
C4orf18	0.964625
PECI	-0.0430833333333334
UNG	-0.009625
GSTP1	1.1865
DCUN1D5	-1.23683333333333
DKFZP564J0863	0.3885
SLC9A3R1	1.807
BCDO2	-1.15975
CHMP7	-0.060375
REM2	0.538
DNHD1	-0.158375
FKBP4	0.6835
ZNF350	1.0805
MGC11102	0.87
BST1	0.06025
KISS1R	1.801
NCR2	0.1505
DEFB125	0.0445
UBE2W	-0.26225
KRT15	-0.655
C10orf99	0.2795
SCN11A	0.073375
GFI1	-2.2305
RDHE2	0.72
FHL1	-0.110166666666667
OSGEP	0.542666666666667
GATA1	-3.27266666666667
SMC6	-0.73825
TTTY14	-1.438
LPIN3	0.17775
RPL4	0.2322
RBPMS	1.4178
PRPF3	-0.9645
EMR1	-2.8005
SPATA19	-0.66625
XCR1	0.3575
IRX3	2.2194
RBM6	-0.588
KLF4	-0.6253
UNC5CL	-1.52125
SEBOX	-0.621
BTK	-0.8175
KRCC1	0.19575
C6orf27	0.698
SYTL5	-0.592
PRND	0.750125
LOC653319	-0.6595
PIGL	-1.362625
HUS1	-0.652833333333333
SFRS6	0.449166666666667
C17orf77	0.753
UIMC1	-0.693666666666667
FXYD2	-2.0723
LOC283152	-0.62725
ZNF667	-1.93225
ZCCHC12	-1.8405
TFEC	2.5709
ATP7B	-1.792
POLD2	-0.00683333333333332
RG9MTD1	-1.21475
ACOT2	0.169166666666667
HIST1H4I	0.32875
PPARGC1A	-2.4966
ETFA	0.8599
POLRMT	0.514
ZNF146	-0.3645
MIA2	-2.098
KLHL6	-1.24666666666667
HOXB5	-1.33
NENF	-0.408
CUGBP1	0.36125
PRSS22	1.78366666666667
CASC4	0.6311
CUL4B	-0.4024
CENPJ	-0.8845
PITX1	0.0298333333333333
FLJ31033	0.1075
CELSR3	1.32516666666667
ZNF568	-0.58425
ITSN1	0.850166666666667
EHBP1L1	0.271666666666667
C19orf2	-0.19625
DCTN1	1.03625
LIN28B	-4.83166666666667
TNKS2	-0.4995
C1QBP	-0.179
CADPS2	3.406
SRMS	0.179
GJA9	0.21
MGC24975	-1.34283333333333
TRIM45	-2.01
TSP50	0.44075
TCP1	-1.03325
TMED7	-0.4156
CMA1	0.1925
CENPL	-1.048
PTCRA	0.1055
FST	-4.07325
VWCE	-3.695
PAWR	0.56425
ABCC12	2.29466666666667
LDLR	0.4372
ASTN2	1.6235
LOC441212	-1.57225
GPATCH8	-0.80375
TANC2	1.72433333333333
KIF4A	-0.48175
C18orf18	-0.0315
PGM1	-1.01425
KIAA0258	0.6885
CPD	-0.849625
SNCAIP	-1.93975
DCT	-4.7965
HLA-DOA	2.45968181818182
OR11L1	0.728
UPK1B	0.00733333333333333
DNAJB4	-1.6365
UGT1A8	0.221
HIST1H4L	-0.021
PECR	-0.3235
HSPA2	-0.25525
WFIKKN1	-3.574
SERP1	-1.3585
SYDE2	-0.233
TACR2	0.4145
NUP85	0.703
CD177	-0.454333333333333
LGR5	-2.43366666666667
PIGG	-0.989166666666667
PTHR1	-1.34983333333333
RAB5A	-0.7849
FLJ13224	1.185
USP9Y	-2.57416666666667
C7orf53	0.0325
LRP1B	-1.47725
XAF1	0.736
ABCG8	0.7545
ANKDD1A	-0.8325
DAND5	-3.037
SPAG6	0.268666666666667
LINCR	-0.899
ZDHHC22	-1.173125
CCDC60	0.718
THOC7	-1.317
TCTA	1.4531
OR8K3	0.0222499999999999
NY-REN-7	-0.433
B2M	1.05833333333333
C6orf141	-2.111
LPPR4	0.52125
SQLE	-1.435
SEPHS1	-0.0545
BTBD14B	0.802142857142857
PLRG1	-0.9195
SPG7	0.72675
ZNF614	-0.103833333333333
PARD6G	1.20566666666667
INPP5B	1.3776
GRPEL2	-0.329125
PPID	-0.8894
TRIM56	-0.278
UBE2J1	-0.1305
IL20RA	3.742
LOC387856	-0.0125
C1orf107	-1.27
UTS2R	2.597
C19orf22	0.8325
SAFB2	0.535625
KIAA0652	0.875
KLRG1	-0.782666666666667
MS4A8B	0.0323333333333333
FRAG1	-0.39575
KIAA1546	-0.266
E2F4	0.6156
CLEC4M	0.144166666666667
BTBD14A	-0.19875
KIAA0999	-0.4412
GYPA	-3.588
TAC1	-0.532
TRAIP	-1.985
KIAA0232	-0.3159
ERCC8	-1.00475
GPX4	1.067
KIAA0368	-1.33975
GPR157	-0.347833333333333
CTAGE4	0.897
C9orf30	-1.05433333333333
OR52A1	0.325
HSP90B3P	-0.2375
ALG9	-1.3305
BTBD10	0.27325
SDK2	0.05
BAIAP3	0.19775
RABGGTB	-0.819375
ANKRD40	1.13266666666667
KRT74	0.222
CALCOCO2	-1.34342857142857
SNCA	-4.24625
TMSL8	-2.096125
C2orf53	0.145
ESRRB	-0.00625
ARHGAP26	-1.0605
TDRD9	-3.23475
HRAS	1.97183333333333
KLRC4	-1.711
JAGN1	-1.22183333333333
BSDC1	0.67975
RNF43	0.9186
NDUFAF1	-0.177
PHF12	0.223
OR1L3	0.16625
FOLR2	1.52016666666667
LYZL6	0.783
tcag7.1260	1.0655
WSB1	-2.54433333333333
PROS1	-2.0297
OSTN	0.894
PSMB8	0.15175
SOCS4	-0.73375
DDIT4L	-0.2925
MAS1	-0.3415
MGC34796	1.52275
CSHL1	0.8545
TBCCD1	0.985833333333333
ZBTB7C	1.1315
AP2S1	0.79175
P15RS	-0.8448
VAT1	-0.3876
SHANK3	0.577166666666667
TUFM	0.01
THEG	-0.51675
KRT34	-2.4035
SGSM3	1.2785
TOMM22	0.1325
SOCS3	1.82483333333333
CPO	0.3495
POP4	0.193
BHLHB3	0.64175
MALL	2.669
OR1B1	0.5435
PARK2	0.2565
GPR124	-0.540125
LCE1E	0.222
RUVBL2	0.29375
CGRRF1	-0.0964
ACPL2	-1.36875
WNT10B	-2.094625
BAIAP2L2	-2.266
ISCA1	0.277
C1orf125	0.60125
RPAP1	-0.7075
RAI16	0.161666666666667
RPL27	0.09025
NLRP9	0.9685
EPN1	0.2805
LOC388610	-0.755375
SLC35A1	0.6876
GAL	-3.1775
SLC14A2	0.37025
RDH11	-0.414333333333333
FAM138F	-0.829
AUH	-1.0655
FLJ40243	-0.18425
C14orf129	0.725166666666667
MBD2	0.336
ABHD14B	-0.219625
PIGT	1.436
ALS2CR4	-0.128125
ALAS1	0.3913
FOXO1	0.546833333333333
CRLF3	-1.384875
C20orf107	1.875
FARS2	0.56
CCDC28A	0.04025
NPHP3	-1.28825
OR13F1	1.2525
TSEN54	1.12125
DEFB106B	-0.1159
OR8B4	-0.2915
STH	0.035
ZC3H14	0.229375
CBX2	0.143
TMEM49	1.03025
C6orf21	0.605
FLJ20920	0.942625
CRTAP	-0.350071428571429
DDX50	-1.0685
STYXL1	0.29875
BLVRB	0.235666666666667
LOC147650	-0.657
MMP24	-0.45225
GRID1	0.593833333333333
BANF1	0.771833333333333
CTAGEP	0.0375
HMBS	-0.9295
SLC25A24	-1.26133333333333
C14orf50	-0.64375
MRO	-0.0951666666666667
SLC25A15	-0.15575
FAM84B	0.3636
TDP1	0.429
C16orf78	-0.1795
C11orf57	-0.957625
RFK	-1.886
ZFYVE9	-0.872125
STCH	-0.5247
WIBG	0.07925
LOC283871	-0.503833333333333
GBA2	-0.0565
NDUFB3	-0.53075
HSD17B13	-0.1825
GRIN3A	0.417166666666667
FMNL1	-0.534333333333333
SEPT7	-0.3687
GNLY	3.056
GRAMD1C	0.253666666666667
ZNF165	-0.33725
USP38	-0.142
FAM83A	-3.09933333333333
C14orf24	1.68808333333333
ARMCX3	0.35025
ARHGDIB	-0.0705
AK1	0.528125
KIAA1045	0.06075
DNAJB13	-0.227666666666667
NEU2	0.3525
HIST1H4B	0.601333333333333
FAM20B	-0.4595
HES2	1.86757142857143
FAM73B	1.1603
LOC388381	0.37575
INTS7	-0.772181818181818
AMPH	1.09075
ZNF775	0.7165
UCKL1	1.60483333333333
C10orf97	-1.114
C1orf161	-0.029
ALDH1L1	0.23825
FLJ39378	-0.58
SLC23A1	-2.017
RBM4B	0.89925
THAP4	0.905166666666667
OGFRL1	-0.844
KIAA0831	-0.1695
PPP1R15A	0.648
C1orf96	1.01192857142857
C12orf11	-2.588
BMF	0.904625
MAN1A1	-0.887
KIAA1600	0.174
NLGN4X	2.7085
ALOX12	-0.698166666666667
RB1CC1	-0.9852
NEIL2	-0.082
EIF4E	-0.802409090909091
ABHD5	0.43275
EXOC4	-0.211666666666667
CIP29	-0.221166666666667
BATF2	-0.003
SLC29A4	1.3125
HTR4	0.4925
EMB	0.081
TRAF6	-0.2495
LMNB1	-2.47175
FAM19A5	-0.532875
SHE	1.50225
PIK3C2B	1.56475
C15orf15	-0.5902
USP15	-0.8337
TCEAL2	1.78575
C5orf39	-0.452166666666667
PTGER2	-1.67125
SLC31A1	0.6715
IFT172	-0.36975
ADAM29	0.55775
GFOD1	-0.92475
ST7L	-0.1235
C15orf26	-2.4015
PKN3	-0.49925
CNTD1	1.6475
COMMD1	0.8055
NTRK2	2.3445
FOXN3	-0.26175
MFGE8	-0.0834
PFKFB2	-0.248833333333333
TAS2R4	-0.03925
ENTHD1	1.5715
PRMT5	0.616875
MGC16384	-1.887625
LOC442229	0.226
TSKU	0.799125
KRTCAP3	0.39725
PDLIM1	1.9771
KCNS2	0.33475
RNF126	-0.00533333333333332
CEP63	0.599
CLIC4	-0.06275
hCG_1990170	0.42575
ACR	0.9725
KLK7	-0.46975
ALOX5AP	1.927125
RIPK3	2.098
TAS2R9	0.1925
C19orf18	1.927
BIRC6	-0.0909285714285714
ZNF16	1.259
RFT1	0.062
SLC8A2	-0.0995
TACC1	1.444
ITGAD	0.0372499999999999
SAMHD1	0.9375
SH3PXD2B	1.2662
EPC2	0.475
C20orf85	3.66575
ATP13A2	1.12216666666667
KRT4	1.15975
CAPNS1	1.4305
MDM2	-0.044
PCDH20	1.95025
KCNK9	0.424
OR2C1	-0.357
KLHDC3	0.316833333333333
IPPK	-0.15
EFHD2	1.26225
GALR3	2.5625
NBEA	1.5375
ABCA6	2.0931
CLDN3	3.4975
AKT2	-0.4035
EGFR	-1.4234
RBM16	-0.994625
ZDHHC3	0.7582
SLC25A4	0.759
CYB5B	0.294166666666667
CPXM1	0.33425
NDRG1	-0.354
FLJ43826	-0.16025
OR5L2	0.4482
FARP2	1.6024
MRPL46	0.526666666666667
LDHAL6B	-0.297166666666667
MAPKAPK3	-0.325666666666667
NCAM2	-2.55075
PRKD2	1.14116666666667
ZFP36L1	0.9346
CYSLTR1	-0.83375
OR4C3	0.76775
HIST1H2AJ	2.15
CCNB2	-1.082
ZNF10	-0.4475
TMEM175	1.129
FAM134A	1.20483333333333
TIGD4	-1.61
PCNP	-0.8375
MGC39715	1.024
LQK1	-2.24825
CREB1	0.8211
TMPRSS3	-1.88175
C4orf32	0.961875
LAT	-1.293
KCNA3	0.165
SKIV2L2	-1.3535
ROPN1B	-2.46675
tcag7.23	-0.137
CDT1	-1.389875
ZHX2	0.49975
CD28	-2.9385
ZNF624	0.80425
SEPT2	1.20116666666667
SOHLH2	-2.57885714285714
MCOLN3	-1.16014285714286
UNQ1945	0.442
MASP2	-1.675
ZNRF3	-0.9129
GPATCH3	0.61925
AGL	0.2135
QRICH2	-0.242
PSD4	0.909833333333333
CCNB1IP1	-1.2885
ENPP7	-0.138
OBFC1	-0.291
KCNG3	-0.674
C14orf79	1.90441666666667
ENPEP	0.0465
SCT	0.9375
SKI	1.5255
SEC61G	-0.79875
CAPN11	-0.107
ATXN7L3	-0.133
DBNDD1	1.62866666666667
FAIM	-0.61175
ANKRD36	0.0825
GABRP	1.7935
TACSTD2	2.40366666666667
EIF3J	-1.217
PPP2R2A	-1.6295
TEKT4	-1.21116666666667
PVALB	-3.64083333333333
F10	-2.49583333333333
FAM134C	0.9513
COMP	3.836125
EFCBP1	-3.1364375
SCLT1	0.953875
TAL1	-1.5536
ACSL1	2.36
ABCC5	0.959083333333333
ABL1	0.8995
RBBP7	0.247833333333333
PTPRG	-1.359125
NCOR1	1.1658
SPINK4	-2.103
TXNRD1	-0.3732
TNRC15	1.245
C9orf138	1.319
UBE2H	1.55683333333333
BRDT	0.270666666666667
C8orf31	-0.26525
CCNE2	-0.412636363636364
SLC6A8	-0.042375
CALCR	-2.89
PPP1CB	0.105583333333333
ABHD8	0.0155
ARF5	0.7658
SLC24A4	0.3905
CCT3	-0.066
ZNF121	-0.11525
SLC3A2	0.119
OR13A1	0.8235
SLC5A10	-0.346
RAD50	-0.60375
IER5	1.0065
MTHFD1L	-3.18
MBTPS2	0.76675
MVK	0.5475
NCL	-0.1832
PSMD10	0.161
MOBP	0.262375
FLJ32894	0.5005
HRH1	-0.7955
C5orf30	-0.74075
NUDT16L1	1.7315
RASGRP3	2.61983333333333
PRKRIP1	0.175
CCDC75	0.0715
LOC253970	1.11066666666667
KIAA1239	1.223
MED21	-0.36475
SYT11	-0.274416666666667
NTSR2	-0.1135
EGFL11	1.585
CXorf59	0.52
OR2A25	0.558
SPTBN2	0.75175
LRMP	-1.21166666666667
RNF111	-1.142
PTH	0.091
LOC619208	-1.0145
KIAA0895	0.5615
RANBP5	-0.99675
P2RY10	1.14766666666667
NME5	1.69333333333333
DDX21	-1.27025
LRSAM1	0.906
HDAC11	1.05766666666667
VMO1	1.241
NOLA2	-0.792166666666667
ADAR	1.13233333333333
MTO1	-1.8965
SF4	1.06166666666667
P2RX1	-0.1375
HBM	0.082
EN2	2.664
C14orf172	1.1405
TM9SF2	0.9038
INHBE	-0.7492
TCTE3	0.673666666666667
TOX2	-2.52675
CTAGE3	0.46775
HBB	3.4646
MED15	-0.4725
CASR	-0.088
C6orf66	-0.9595
MTPN	-0.047875
UNC50	-0.02525
C21orf33	0.08675
IRF2	0.47925
PGR	-2.77866666666667
GPR84	1.911
CROCCL1	-2.319
SRPX	-2.55075
BRE	-0.3665
FGF10	1.027
SDC3	0.848666666666667
ZRSR1	0.8335
DKFZP434P211	0.470875
SOX6	0.407
RPUSD2	-0.48975
C14orf173	0.775
MAPK11	0.464833333333333
TBC1D22A	1.4735
FAM123A	-0.3325
COL4A6	-3.3965
TOMM70A	-0.2495
NAB1	-0.08725
MGC16385	0.574375
TSPAN18	-0.152
MED31	-0.87275
PLG	0.06325
CAPSL	2.051
ZNF532	0.0996
ASB14	-0.22525
CA8	-0.1255
NUDT16P	0.435
SLFN11	-2.573
LRRIQ2	-0.638375
NOL7	-0.405666666666667
BRMS1L	-0.49025
JARID1A	0.633333333333333
PANK2	0.59825
ICAM3	-0.1035
MDS1	-0.884
TAF8	-0.502
RNF139	-0.48525
ZNF594	0.0326666666666667
ADAM8	2.21925
SFTPC	0.295625
MAN2B2	0.452875
RGS12	0.5885
EIF1AY	-4.43108333333333
LRRIQ1	-1.25266666666667
GPR150	2.95875
CCDC21	0.450166666666667
PRRG3	0.31775
SAA4	-3.00975
RAPGEF5	1.2535
ZCCHC2	-0.04175
MGC39372	-0.8215
PPP4R2	0.433666666666667
CDCA2	-1.425
OR4D5	0.0818333333333333
PTGFRN	0.538
SIGLEC5	1.2875
C19orf61	0.469833333333333
NMUR2	0.245
KIAA1586	-1.7385
DAGLA	-0.337166666666667
CHCHD6	-0.47575
GPR32	0.293
NEUROD6	0.422833333333333
SLC2A4RG	1.484875
CA5B	0.8045
FBXL3	0.72125
MPHOSPH9	-1.0375
HMG2L1	-0.36225
HCN4	2.1685
CEACAM19	0.584
SH2D4B	0.1465
HFE2	-0.4005
TGM4	-0.1314
LYPD2	0.3365
TBC1D15	-0.46775
MRPS21	-0.1392
NONO	-0.2292
CLEC5A	0.597625
ITCH	0.041
MGAT3	-1.25083333333333
MBP	-0.78825
RPP25	-0.39825
SOSTDC1	-2.174
HRC	-1.84925
TRIM48	0.4625
TMEM133	-1.06625
ECEL1P2	-2.01125
HOXC11	1.3925
DOK5	-2.46
HELZ	0.316
LOC348180	1.56525
MGC33894	0.3105
ADRB3	0.1445
DMD	1.469
PTRH2	1.3745
MPEG1	2.8725
NDUFA12	0.126666666666667
KRTAP2-4	0.2135
STAMBPL1	-1.82566666666667
ADCY2	3.2315
UNQ6125	0.5925
KLHL20	0.0403333333333333
SRM	-0.4775
OTC	0.38575
TMIE	-0.269833333333333
SNX8	1.0185
LIPK	-0.169
CHURC1	0.6005
KLC2	0.517166666666667
HDAC1	-0.0703333333333333
FAM128A	0.107833333333333
FNDC3B	0.0998
MTCP1	-0.424166666666667
WFDC10B	0.1964
PCDHGB3	0.2995
ATRNL1	-2.9044
CAV2	-1.156625
MED26	-0.362
DUS1L	1.324
CHRM3	-0.693875
NEK9	1.555
WARS2	-0.09475
TBX22	-1.236
TOMM40	0.665
RP6-213H19.1	-1.013
TUBGCP5	0.18175
IGSF6	4.7715
TPPP	2.47366666666667
UNQ6190	0.195
GSTM5	-0.025375
BTD	1.455
PDCD1LG2	-0.489833333333333
SNRPB2	-0.8005
ERICH1	-1.055
APOA4	-1.768875
HOXA11	-1.6705
NARG1	-0.537
MKX	-0.724
RAB28	-1.44642857142857
PKP3	0.31
SH3GL2	-3.0535
CTSO	1.12125
RPN2	0.549875
IL28RA	-0.4035
SFMBT1	0.73325
WDR57	-0.31125
FER1L3	-0.863416666666667
HSF5	0.5282
TTC9B	0.03225
C4BPA	-3.66466666666667
ALB	-4.95757142857143
SORBS3	-1.0705
UPF2	-0.128
JPH1	-0.871
AGBL2	0.18625
DOPEY1	0.438
TERF1	-2.05083333333333
KIF22	0.700833333333334
NINJ1	0.38525
SEC61A2	1.06425
HIST1H1D	1.49983333333333
SFXN4	-0.273625
UCP3	0.527
ZNF703	0.8
MYL6B	-1.331
TREM1	0.86025
OR52E6	0.5365
CKMT2	0.261
HLA-C	1.812
SLC13A3	-0.3665
TIMP4	0.90425
SLIT2	1.527
RSF1	-0.202166666666667
LONRF1	-1.56142857142857
MON1A	-1.88133333333333
CACNG6	-0.331
DPPA4	-5.42466666666667
ZSWIM3	0.66325
ZNF804A	0.268833333333333
CCIN	1.29275
SLC25A31	0.63325
KCNMB4	-1.97525
RABL5	0.926125
GALNS	1.1838
STX6	0.69125
HIST1H1C	-1.18783333333333
CIDEB	-0.397125
CASP4	0.569666666666667
PDK3	0.8699
KCNJ11	0.98
TPR	-0.604875
ZSCAN20	-1.417
MTX2	-0.14875
HIST1H2BH	2.69075
LOC283767	0.4575
LYRM7	-1.76522222222222
BRD3	1.36766666666667
HIST1H2BO	0.7595
MAGEB10	0.0995
SLC45A1	0.93275
SERPINA3	-1.26905
KIAA0143	0.9705
KCNJ16	-0.478833333333333
KRT79	0.91425
FABP2	-0.7075
NUT	0.141
ZNF57	0.28625
FBXL4	-1.0035
CLEC9A	1.1385
UGT8	2.036
BMP2K	0.25075
MAPK4	-1.0375
SLC25A23	-0.8377
HINT1	-1.3327
KRTAP13-1	0.3865
SFXN5	0.5476
CHCHD2	0.982583333333333
FAM3D	1.3345
NDP	-3.044375
RHOBTB1	-1.08633333333333
SLC4A4	-1.496875
RPL38	0.86375
HTF9C	-0.238166666666667
AP2A2	0.655375
ZBTB46	0.5695
MAP7D1	0.976
AOX1	-2.52533333333333
CYR61	0.225333333333333
DTNA	1.07842857142857
JRKL	-0.471
TMOD3	-0.37675
EEA1	-0.8037
ADCK5	0.17675
IL1R1	2.13033333333333
KLK3	0.737714285714286
HRSP12	-1.29625
KTN1	0.37675
LOH11CR2A	0.3671
RELL2	-0.56925
MAB21L1	0.0435
C20orf59	-0.433666666666667
PHKB	-0.30425
ADAM2	-1.2305
TBC1D8B	0.468166666666667
FAM13A1	-1.512375
LAPTM4B	-0.538583333333333
LCN8	0.004
TMEM147	0.8005
SYT4	0.079
XPO7	-0.573
C9orf62	2.90175
GPR75	0.8555
TRIM5	-0.149875
APOC1	-0.0166666666666667
RNASE4	-0.840166666666667
PARD6B	-1.55775
ARID1A	0.727666666666667
TPD52L3	0.722
RRAGB	-0.881166666666667
RCN2	-0.805833333333334
HIST2H2BE	1.399375
STARD7	0.34575
SHMT2	-1.3365
KIAA1751	-0.352333333333333
MLYCD	1.171
LOC162632	1.2751
UQCRH	0.10475
RP11-217H1.1	1.0238125
SDHA	1.1225
NCLN	0.398
ZNF17	-0.335333333333333
RCBTB2	-2.80225
VEGFB	-0.8928
RP4-747L4.3	-0.94
COLQ	0.6725
MPN2	0.0733333333333333
DRG2	1.15275
KLRB1	4.827
ALPK2	-3.666
DNASE2B	1.14575
FLJ23834	-0.477666666666667
AXUD1	1.05266666666667
SAFB	0.5688
NSUN4	-0.7515
RFX2	0.566166666666667
MAPK8IP1	1.14666666666667
FANCD2	-0.413
ANKZF1	-1.086
C19orf50	-0.414625
DUSP8	1.199875
SENP5	0.545125
NFKBIL2	0.36975
LBR	-0.159625
IGFL1	3.4555
LZTS2	-0.164875
IL2RG	-0.48575
CCDC51	-0.5695
KLF3	0.09125
ANKRD37	-0.39975
KCTD14	-1.98333333333333
FZR1	1.13283333333333
SLC44A4	-0.8441
ESPL1	-1.057375
GMPR2	0.7858
TBC1D19	-1.92083333333333
ERGIC1	0.743777777777778
ERBB4	2.1867
TSPAN32	0.670833333333333
MAP4	0.98475
GPHN	-1.3705
SLC6A2	0.754
HIVEP1	0.10475
DFFB	-0.7429
EIF4EBP2	0.418125
DMRT1	-0.233
HSPB6	-0.00775
IER2	0.0333333333333333
AIFM1	-0.18425
WWC2	0.250416666666667
MRPL4	-0.3505
FLJ21062	0.731333333333334
EPB41L4A	1.70525
SH2D6	0.28675
TAF4B	-1.39375
GAL3ST3	0.02
MALT1	-0.985166666666667
RTDR1	0.1675
ARVCF	1.326375
MEX3B	-0.0781666666666667
FBXO16	-0.21225
KIF7	0.23425
C1QC	3.796
ZNF783	-0.944
ZNF85	-0.36125
MMP13	2.312
KIAA0329	0.6605
RTP3	-1.642
ZBED3	-1.65125
CLGN	-1.1735
SLC25A37	-1.80391666666667
hCG_18290	-0.752
OR5AS1	0.1855
SMARCC2	0.514
FAM109A	0.314333333333333
CCDC12	-0.32275
USF2	0.5398
DEPDC7	-4.30575
C20orf24	0.682333333333333
JMJD3	2.074
DSP	0.739357142857143
SLIC1	0.9415
FAM20A	0.98925
IRF2BP2	0.36225
ZNF230	-0.6215
MSN	0.0238571428571429
SLC9A5	-0.5135
EPDR1	-1.6877
MUSK	0.2005
ZNF434	-0.027
SMARCD1	-0.290166666666667
ZFP106	-0.789
ZNF347	-0.5728
GTF2E1	0.711
