Hybridization REF	TCGA-BH-A18P-01A-11R-A12D-07
HUS1	-0.600166666666667
SFRS6	-0.952666666666667
C17orf77	0.7345
UIMC1	-0.231333333333333
FXYD2	-1.9424
LOC283152	0.26125
ZNF667	-1.20375
ZCCHC12	-1.15525
TFEC	3.2951
ATP7B	1.86966666666667
POLD2	-0.776833333333333
RG9MTD1	0.09225
ACOT2	-0.0125
HIST1H4I	-0.54925
PPARGC1A	-0.9987
ETFA	-0.8199
POLRMT	-0.311
ZNF146	0.2515
MIA2	-0.2565
KLHL6	-1.16916666666667
HOXB5	-0.769125
NENF	0.0635
CUGBP1	-0.28525
PRSS22	1.347
CASC4	1.7718
CUL4B	0.0278
CENPJ	-0.716
PITX1	-2.036
FLJ31033	-0.1945
CELSR3	-2.345
ZNF568	1.0605
ITSN1	-0.0870833333333333
EHBP1L1	-1.33333333333333
C19orf2	-0.5905
DCTN1	0.487
LIN28B	-4.43766666666667
TNKS2	1.216
C1QBP	-0.710375
CADPS2	2.48825
SRMS	0.36275
GJA9	0.318666666666667
MGC24975	0.317666666666667
TRIM45	0.0551666666666667
TSP50	0.32325
TCP1	-0.84475
TMED7	0.793
CMA1	0.6795
CENPL	0.545
PTCRA	0.1975
FST	-3.45675
VWCE	-3.97625
PAWR	0.50175
ABCC12	1.21166666666667
LDLR	-0.9058
ASTN2	0.4812
LOC441212	-0.866375
GPATCH8	-0.047
TANC2	-0.126166666666667
KIF4A	-1.30275
C18orf18	-2.0815
PGM1	-1.27475
KIAA0258	-0.009
CPD	0.050875
SNCAIP	-2.34725
DCT	-4.21166666666667
HLA-DOA	2.92140909090909
OR11L1	0.415
UPK1B	-0.0685
DNAJB4	-0.68475
UGT1A8	-0.2585
HIST1H4L	1.331
PECR	-1.36283333333333
HSPA2	0.76175
WFIKKN1	-2.292
SERP1	0.051625
SYDE2	-0.2385
TACR2	0.2185
NUP85	-1.2445
CD177	-0.382333333333333
LGR5	-2.70833333333333
PIGG	0.498
PTHR1	-1.58416666666667
RAB5A	0.3029
FLJ13224	0.1555
USP9Y	-2.33583333333333
C7orf53	-0.0885
LRP1B	-1.24675
XAF1	1.3174
ABCG8	-2.629
ANKDD1A	-0.761833333333333
DAND5	-2.22
SPAG6	0.3555
LINCR	3.5135
ZDHHC22	-1.5475
CCDC60	0.1215
THOC7	-1.694
TCTA	0.8091
OR8K3	-0.0515
NY-REN-7	-0.57325
B2M	2.5015
C6orf141	-2.8715
LPPR4	1.05
SQLE	-1.87625
SEPHS1	0.40525
BTBD14B	0.940357142857143
PLRG1	-0.19075
SPG7	-0.5520625
ZNF614	-0.05
PARD6G	0.756666666666667
INPP5B	-0.5695
GRPEL2	0.0115
PPID	-0.763
TRIM56	0.2065
UBE2J1	-0.27475
IL20RA	1.91
LOC387856	0.68625
C1orf107	0.33
UTS2R	0.958
C19orf22	-0.1715
SAFB2	0.43075
KIAA0652	0.251375
KLRG1	-0.993666666666667
MS4A8B	1.869
FRAG1	-0.437
KIAA1546	2.15775
E2F4	-1.3117
CLEC4M	0.057
BTBD14A	-0.6805
KIAA0999	-0.1762
GYPA	-3.94866666666667
TAC1	0.3745
TRAIP	-1.42133333333333
KIAA0232	1.739
ERCC8	-0.686
GPX4	-0.32325
KIAA0368	-0.1115
GPR157	-1.67
CTAGE4	1.334
C9orf30	-0.738666666666667
OR52A1	0.527
HSP90B3P	0.0675
ALG9	-1.3
BTBD10	0.53325
SDK2	-0.34875
BAIAP3	0.47275
RABGGTB	-0.36325
ANKRD40	0.237833333333333
KRT74	0.4095
CALCOCO2	-0.0272142857142857
SNCA	-3.57975
TMSL8	-1.679
C2orf53	0.554
ESRRB	0.125
ARHGAP26	-0.736375
TDRD9	-2.66375
HRAS	0.465
KLRC4	-2.459
JAGN1	-0.0543333333333333
BSDC1	-0.025
RNF43	-0.1367
NDUFAF1	0.9765
PHF12	0.21375
OR1L3	0.09825
FOLR2	1.38883333333333
LYZL6	0.092
tcag7.1260	-2.3545
WSB1	-1.5555
PROS1	-1.3987
OSTN	0.4535
PSMB8	0.08025
SOCS4	0.121125
DDIT4L	1.527
MAS1	-0.116
MGC34796	0.561
CSHL1	0.00716666666666666
TBCCD1	-0.181
ZBTB7C	0.7305
AP2S1	-0.322375
P15RS	-0.1641
VAT1	-1.273
SHANK3	1.31166666666667
TUFM	-0.442666666666667
THEG	-1.07175
KRT34	-2.069
SGSM3	0.512375
TOMM22	0.14675
SOCS3	0.4325
CPO	2.651
POP4	0.258
BHLHB3	2.27175
MALL	0.32925
OR1B1	-0.3445
PARK2	0.1725
GPR124	0.066375
LCE1E	0.475
RUVBL2	-0.5025
CGRRF1	0.2634
ACPL2	0.43125
WNT10B	-2.176875
BAIAP2L2	-2.064375
ISCA1	0.106
C1orf125	0.2095
RPAP1	-1.2445
RAI16	0.296
RPL27	-0.5385
NLRP9	-0.1205
EPN1	0.583
LOC388610	-2.723125
SLC35A1	0.8952
GAL	-3.6415
SLC14A2	0.2785
RDH11	-0.262833333333333
FAM138F	-0.612
AUH	0.052
FLJ40243	0.011
C14orf129	0.656333333333333
MBD2	-0.252333333333333
ABHD14B	-0.568125
PIGT	0.384
ALS2CR4	-0.079375
ALAS1	-0.5688
FOXO1	0.739666666666667
CRLF3	-0.99975
C20orf107	0.02
FARS2	0.73125
CCDC28A	1.29575
NPHP3	-0.6065
OR13F1	0.1665
TSEN54	-1.14925
DEFB106B	0.3587
OR8B4	0.733
STH	-1.58075
ZC3H14	-0.684375
CBX2	-0.842
TMEM49	-2.2395
C6orf21	0.4285
FLJ20920	-0.714125
CRTAP	-0.203857142857143
DDX50	0.11425
STYXL1	-0.17
BLVRB	-1.27483333333333
LOC147650	-0.577333333333333
MMP24	0.3145
GRID1	1.0435
BANF1	-1.073
CTAGEP	0.7285
HMBS	-2.83125
SLC25A24	0.3355
C14orf50	-0.7125
MRO	1.81016666666667
SLC25A15	-0.46825
FAM84B	2.5134
TDP1	0.0135
C16orf78	-0.078
C11orf57	-0.145625
RFK	-0.5785
ZFYVE9	-0.117
STCH	-0.3463
WIBG	0.87225
LOC283871	-0.924166666666667
GBA2	-0.1646
NDUFB3	-0.00475
HSD17B13	-0.59725
GRIN3A	1.331
FMNL1	-1.125
SEPT7	-0.2693
GNLY	3.5645
GRAMD1C	-0.682333333333333
ZNF165	1.17875
USP38	0.77875
FAM83A	-3.485
C14orf24	0.844833333333333
ARMCX3	1.729375
ARHGDIB	1.408
AK1	0.309625
KIAA1045	0.10975
DNAJB13	-0.0981666666666667
NEU2	1.161
HIST1H4B	-0.109166666666667
FAM20B	0.2833
HES2	0.936357142857143
FAM73B	0.3542
LOC388381	-0.17225
INTS7	0.109181818181818
AMPH	0.593
ZNF775	-0.271625
UCKL1	-0.308
C10orf97	1.032
C1orf161	0.29175
ALDH1L1	-0.698
FLJ39378	0.04075
SLC23A1	-0.966
RBM4B	-0.5985
THAP4	0.370166666666667
OGFRL1	0.46425
KIAA0831	0.351125
PPP1R15A	-0.592666666666667
C1orf96	0.579214285714286
C12orf11	-2.53675
BMF	1.192125
MAN1A1	-0.675
KIAA1600	1.78383333333333
NLGN4X	2.0355
ALOX12	-1.0625
RB1CC1	0.4867
NEIL2	-0.1701
EIF4E	0.401272727272727
ABHD5	0.4185
EXOC4	-0.159666666666667
CIP29	0.253666666666667
BATF2	1.65725
SLC29A4	-0.54725
HTR4	0.44625
EMB	0.47575
TRAF6	0.46475
LMNB1	-2.7255
FAM19A5	-0.746125
SHE	1.28875
PIK3C2B	-0.25425
C15orf15	0.2554
USP15	-0.3287
TCEAL2	0.923
C5orf39	-1.36783333333333
PTGER2	-1.8185
SLC31A1	0.07375
IFT172	0.23375
ADAM29	-0.1085
GFOD1	-0.24675
ST7L	0.184333333333333
C15orf26	-3.39925
PKN3	-0.83125
CNTD1	2.03283333333333
COMMD1	0.687875
NTRK2	2.38383333333333
FOXN3	0.032375
MFGE8	-0.4348
PFKFB2	0.281333333333333
TAS2R4	-0.37925
ENTHD1	2.03116666666667
PRMT5	-0.356875
MGC16384	-1.451125
LOC442229	-0.59925
TSKU	0.16475
KRTCAP3	1.78
PDLIM1	0.0282
KCNS2	0.03825
RNF126	-0.493166666666667
CEP63	0.247
CLIC4	-0.0725
hCG_1990170	-0.064
ACR	0.7399
KLK7	0.61725
ALOX5AP	2.966125
RIPK3	4.1585
TAS2R9	0.4895
C19orf18	0.1815
BIRC6	-0.397428571428571
ZNF16	1.381
RFT1	-1.26075
SLC8A2	-0.35325
TACC1	-0.22675
ITGAD	1.28525
SAMHD1	1.2495
SH3PXD2B	0.5405
EPC2	1.46075
C20orf85	2.475375
ATP13A2	-0.1315
KRT4	0.287125
CAPNS1	0.41625
MDM2	-0.15125
PCDH20	6.9985
KCNK9	0.7725
OR2C1	-0.037
KLHDC3	-0.656166666666667
IPPK	-0.5495
EFHD2	-0.647125
GALR3	0.94175
NBEA	2.48383333333333
ABCA6	1.9359
CLDN3	1.1885
AKT2	-0.455642857142857
EGFR	-2.9103
RBM16	0.477875
ZDHHC3	0.7944
SLC25A4	-0.0755
CYB5B	-1.9335
CPXM1	0.74275
NDRG1	-1.92592307692308
FLJ43826	0.7295
OR5L2	0.0718333333333333
FARP2	0.2725
MRPL46	-0.156
LDHAL6B	-0.231833333333333
MAPKAPK3	-0.569833333333333
NCAM2	-1.395
PRKD2	0.413333333333333
ZFP36L1	2.1384
CYSLTR1	1.41175
OR4C3	0.0735
HIST1H2AJ	0.113
CCNB2	-1.38888888888889
ZNF10	-0.754875
TMEM175	0.3995
FAM134A	0.731666666666667
TIGD4	1.008
PCNP	0.47725
MGC39715	-0.843333333333333
LQK1	-1.44675
CREB1	0.9206
TMPRSS3	2.29075
C4orf32	1.323875
LAT	-1.54625
KCNA3	-1.1335
SKIV2L2	-0.45625
ROPN1B	-2.41675
tcag7.23	-1.2045
CDT1	-2.566125
ZHX2	0.947
CD28	-3.514
ZNF624	1.31625
SEPT2	0.49225
SOHLH2	-1.805
MCOLN3	-0.50925
UNQ1945	-0.0025
MASP2	-1.793
ZNRF3	0.8625
GPATCH3	-0.3015
AGL	3.7705
QRICH2	0.0085
PSD4	1.39966666666667
CCNB1IP1	-1.13225
ENPP7	-0.089
OBFC1	-0.38875
KCNG3	-1.20925
C14orf79	1.11233333333333
ENPEP	1.5595
SCT	2.5085
SKI	1.026875
SEC61G	-0.63775
CAPN11	0.13275
ATXN7L3	-0.21125
DBNDD1	-0.439833333333333
FAIM	1.04925
ANKRD36	-1.124
GABRP	2.15166666666667
TACSTD2	1.46783333333333
EIF3J	-0.347
PPP2R2A	-0.3655
TEKT4	-1.948
PVALB	1.22316666666667
F10	-2.50666666666667
FAM134C	1.2257
COMP	4.195625
EFCBP1	-3.24673333333333
SCLT1	1.282
TAL1	-1.6011
ACSL1	0.746
ABCC5	1.10841666666667
ABL1	0.139166666666667
RBBP7	0.496
PTPRG	-0.77075
NCOR1	0.1161
SPINK4	-1.59083333333333
TXNRD1	-1.2052
TNRC15	1.014
C9orf138	1.0115
UBE2H	1.8085
BRDT	1.594
C8orf31	-0.20325
CCNE2	-0.882909090909091
SLC6A8	-1.44625
CALCR	-4.691
PPP1CB	0.1315
ABHD8	-0.29375
ARF5	-0.1807
SLC24A4	0.341
CCT3	-0.71925
ZNF121	0.7675
SLC3A2	-1.1059
OR13A1	0.3415
SLC5A10	1.36425
RAD50	-0.420125
IER5	0.08425
MTHFD1L	-2.478375
MBTPS2	0.53775
MVK	-0.556625
NCL	-0.0157
PSMD10	-0.35975
MOBP	0.49525
FLJ32894	1.571
HRH1	-0.7815
C5orf30	1.1985
NUDT16L1	1.1267
RASGRP3	3.54966666666667
PRKRIP1	-0.1765
CCDC75	1.017
LOC253970	0.3725
KIAA1239	0.66075
MED21	0.5365
SYT11	0.369583333333333
NTSR2	-0.8585
EGFL11	-0.1525
CXorf59	0.086
OR2A25	0.29375
SPTBN2	-0.4635
LRMP	-1.6255
RNF111	0.27975
PTH	-0.894
LOC619208	1.04866666666667
KIAA0895	1.002
RANBP5	-1.056375
P2RY10	0.981666666666667
NME5	4.501
DDX21	-0.62425
LRSAM1	0.0545
HDAC11	1.534
VMO1	2.789
NOLA2	-0.762666666666667
ADAR	1.51208333333333
MTO1	-0.626666666666667
SF4	0.628666666666667
P2RX1	-0.529666666666667
HBM	0.15375
EN2	0.915
C14orf172	0.17025
TM9SF2	1.0703
INHBE	-0.683
TCTE3	-0.287583333333333
TOX2	-3.276
CTAGE3	1.636375
HBB	3.1436
MED15	-0.910833333333333
CASR	0.143
C6orf66	-0.720333333333333
MTPN	0.157
UNC50	0.024
C21orf33	-0.0925
IRF2	0.3665
PGR	-2.93733333333333
GPR84	2.743
CROCCL1	-1.9975
SRPX	-1.707
BRE	0.141666666666667
FGF10	1.11025
SDC3	-0.567666666666667
ZRSR1	0.181666666666667
DKFZP434P211	0.125125
SOX6	0.255
RPUSD2	-0.22575
C14orf173	0.927083333333333
MAPK11	-0.545666666666667
TBC1D22A	0.6935
FAM123A	-0.941
COL4A6	-3.01716666666667
TOMM70A	0.0905
NAB1	-0.421125
MGC16385	-0.222375
TSPAN18	0.528666666666667
MED31	-0.423
PLG	-0.30275
CAPSL	3.307
ZNF532	1.0109
ASB14	-0.07025
CA8	1.80575
NUDT16P	-0.330833333333333
SLFN11	-1.7965
LRRIQ2	1.05825
NOL7	-0.453333333333333
BRMS1L	-0.568375
JARID1A	-0.518833333333333
PANK2	-0.799
ICAM3	-0.45225
MDS1	-0.87425
TAF8	-0.32725
RNF139	0.7725
ZNF594	0.559
ADAM8	1.874125
SFTPC	-0.323875
MAN2B2	1.1415
RGS12	1.157875
EIF1AY	-4.77433333333333
LRRIQ1	-2.00416666666667
GPR150	1.03825
CCDC21	-1.26116666666667
PRRG3	0.49675
SAA4	-3.323
RAPGEF5	2.199125
ZCCHC2	0.77275
MGC39372	0.911
PPP4R2	-0.188666666666667
CDCA2	-1.07833333333333
OR4D5	0.513666666666667
PTGFRN	1.0158
SIGLEC5	2.0275
C19orf61	-0.0105
NMUR2	0.08
KIAA1586	0.0475
DAGLA	-1.5445
CHCHD6	0.17225
GPR32	0.6705
NEUROD6	0.251166666666667
SLC2A4RG	0.6815
CA5B	0.178
FBXL3	1.055
MPHOSPH9	-0.9555
HMG2L1	0.8195
HCN4	0.328166666666667
CEACAM19	0.11675
SH2D4B	0.3675
HFE2	-1.1445
TGM4	0.240833333333333
LYPD2	-0.061
TBC1D15	0.1975
MRPS21	0.8138
NONO	-0.1514
CLEC5A	2.162125
ITCH	0.1587
MGAT3	-0.847166666666667
MBP	0.160625
RPP25	-0.162
SOSTDC1	-1.5925
HRC	-2.18325
TRIM48	0.7825
TMEM133	-0.4365
ECEL1P2	-1.94575
HOXC11	0.331
DOK5	-1.03475
HELZ	-0.586666666666667
LOC348180	-0.7205
MGC33894	0.1715
ADRB3	0.2355
DMD	-0.280083333333333
PTRH2	-0.6025
MPEG1	2.79516666666667
NDUFA12	0.335333333333333
KRTAP2-4	0.0619166666666667
STAMBPL1	-1.5285
ADCY2	-0.430333333333333
UNQ6125	-0.185
KLHL20	0.814833333333333
SRM	-1.5335
OTC	-0.13325
TMIE	0.0635
SNX8	0.52825
LIPK	-0.1675
CHURC1	0.204583333333333
KLC2	0.111833333333333
HDAC1	-1.16566666666667
FAM128A	0.614333333333333
FNDC3B	-0.755
MTCP1	-1.10866666666667
WFDC10B	-0.2768
PCDHGB3	-0.4355
ATRNL1	-2.3016
CAV2	-0.89375
MED26	0.0445
DUS1L	-0.62
CHRM3	-1.682
NEK9	0.654
WARS2	0.451
TBX22	-0.8605
TOMM40	-1.315
RP6-213H19.1	-0.295333333333333
TUBGCP5	-0.26475
IGSF6	5.1745
TPPP	-0.0358333333333333
UNQ6190	0.6375
GSTM5	0.2745
BTD	0.274666666666667
PDCD1LG2	0.4665
SNRPB2	-0.522166666666667
ERICH1	-0.339
APOA4	-1.84175
HOXA11	-1.5645
NARG1	-0.185
MKX	-0.37625
RAB28	-0.176357142857143
PKP3	1.05475
SH3GL2	-3.3925
CTSO	2.86975
RPN2	-0.287375
IL28RA	-0.0695
SFMBT1	-0.57975
WDR57	-1.818125
FER1L3	0.975166666666667
HSF5	-0.109333333333333
TTC9B	-0.043
C4BPA	-3.65966666666667
ALB	-4.6215
SORBS3	-0.00162500000000001
UPF2	-0.0975
JPH1	-0.8705
AGBL2	-0.5025
DOPEY1	1.7625
TERF1	-0.03225
KIF22	-0.608333333333333
NINJ1	1.00575
SEC61A2	0.0920833333333334
HIST1H1D	-1.25433333333333
SFXN4	-0.955125
UCP3	0.6367
ZNF703	0.752
MYL6B	0.20325
TREM1	1.91525
OR52E6	0.4375
CKMT2	1.76825
HLA-C	2.7265
SLC13A3	-2.05266666666667
TIMP4	-1.48425
SLIT2	2.17175
RSF1	1.53677777777778
LONRF1	-1.00414285714286
MON1A	-0.614833333333333
CACNG6	-1.56416666666667
DPPA4	-5.29083333333333
ZSWIM3	0.10875
ZNF804A	0.0588333333333333
CCIN	1.66425
SLC25A31	0.49075
KCNMB4	-1.19775
RABL5	0.337875
GALNS	-0.4715
STX6	1.672
HIST1H1C	-2.61583333333333
CIDEB	-0.98775
CASP4	-0.639333333333333
PDK3	-0.2789
KCNJ11	2.1255
TPR	0.6345
ZSCAN20	-0.045
MTX2	0.3165
HIST1H2BH	0.46525
LOC283767	-0.101
LYRM7	-0.937833333333333
BRD3	1.37883333333333
HIST1H2BO	-0.75
MAGEB10	0.281
SLC45A1	0.6505
SERPINA3	-1.9611
KIAA0143	1.08975
KCNJ16	-0.017
KRT79	0.811
FABP2	-1.21225
NUT	-0.994
ZNF57	-0.56125
FBXL4	0.614875
CLEC9A	0.625
UGT8	-1.15516666666667
BMP2K	0.06475
MAPK4	-3.472
SLC25A23	-0.5618
HINT1	0.1686
KRTAP13-1	0.27
SFXN5	-0.1862
CHCHD2	-0.1885
FAM3D	0.628
NDP	-3.5925
RHOBTB1	0.701666666666667
SLC4A4	-1.75275
RPL38	-0.29925
HTF9C	0.338333333333333
AP2A2	0.693375
ZBTB46	-0.3265
MAP7D1	0.32825
AOX1	-0.148
CYR61	0.883416666666667
DTNA	-1.39414285714286
JRKL	-0.677
TMOD3	-0.6065
EEA1	0.0196
ADCK5	-0.6735
IL1R1	1.78616666666667
KLK3	0.337571428571429
HRSP12	-0.889
KTN1	0.4295
LOH11CR2A	0.3177
RELL2	-1.3715
MAB21L1	1.46675
C20orf59	-0.664833333333333
PHKB	-0.32525
ADAM2	-2.89383333333333
TBC1D8B	2.18766666666667
FAM13A1	-0.20725
LAPTM4B	-1.98125
LCN8	0.1375
TMEM147	0.415
SYT4	-0.037
XPO7	-0.707
C9orf62	1.237
GPR75	0.098
TRIM5	-0.301375
APOC1	0.0441666666666667
RNASE4	1.02283333333333
PARD6B	-2.954375
ARID1A	0.373416666666667
TPD52L3	0.656875
RRAGB	0.865666666666666
RCN2	-0.676333333333333
HIST2H2BE	0.1390625
STARD7	-0.8465
SHMT2	-0.7385
KIAA1751	-0.4715
MLYCD	0.136375
LOC162632	-0.2618
UQCRH	-1.16975
RP11-217H1.1	1.17975
SDHA	-0.949666666666667
NCLN	-0.0813
ZNF17	0.668333333333333
RCBTB2	-1.1045
VEGFB	-0.9047
RP4-747L4.3	0.61025
COLQ	0.4368
MPN2	-1.2315
DRG2	-1.0785
KLRB1	4.6185
ALPK2	-2.7325
DNASE2B	0.1605
FLJ23834	-0.885
AXUD1	1.04133333333333
SAFB	-0.0517
NSUN4	-0.28825
RFX2	-0.669333333333333
MAPK8IP1	0.780166666666667
FANCD2	-1.28914285714286
ANKZF1	-1.63783333333333
C19orf50	-0.625125
DUSP8	1.60125
SENP5	0.080625
NFKBIL2	-0.36725
LBR	-2.225125
IGFL1	0.329
LZTS2	0.91975
IL2RG	-0.730875
CCDC51	-1.2195
KLF3	0.55025
ANKRD37	-0.554
KCTD14	-1.13316666666667
FZR1	0.409583333333333
SLC44A4	4.1084
ESPL1	-0.50775
GMPR2	-0.0328
TBC1D19	0.315
ERGIC1	1.21792592592593
ERBB4	3.0999
TSPAN32	0.127166666666667
MAP4	-0.459625
GPHN	-1.63525
SLC6A2	-0.433
HIVEP1	1.16475
DFFB	-0.2595
EIF4EBP2	0.34825
DMRT1	-0.687
HSPB6	0.08575
IER2	0.8255
AIFM1	-0.16025
WWC2	0.359166666666667
MRPL4	-0.83025
FLJ21062	1.25133333333333
EPB41L4A	1.86566666666667
SH2D6	0.3405
TAF4B	-1.4
GAL3ST3	-0.1115
MALT1	-0.798166666666667
RTDR1	-0.08
ARVCF	1.12275
MEX3B	0.0276666666666667
FBXO16	1.0985
KIF7	-0.538
C1QC	3.84216666666667
ZNF783	-0.929666666666667
ZNF85	-0.15775
MMP13	5.9395
KIAA0329	0.502625
RTP3	-0.667
ZBED3	0.32825
CLGN	-0.63625
SLC25A37	-1.38775
hCG_18290	-0.70375
OR5AS1	-0.098
SMARCC2	0.899833333333333
FAM109A	0.559666666666667
CCDC12	-0.9855
USF2	0.5875
DEPDC7	-2.2915
C20orf24	-0.6835
JMJD3	1.343
DSP	2.4105
SLIC1	0.404
FAM20A	0.9215
IRF2BP2	-0.041875
ZNF230	-0.168
MSN	-0.946857142857143
SLC9A5	-2.2265
EPDR1	-1.9057
MUSK	0.312333333333333
