Hybridization REF	TCGA-E2-A15K-01A-11R-A12P-07
CCDC52	1.07366666666667
FSIP1	5.397
UPF3A	-0.08225
IGSF11	-2.51916666666667
LAGE3	-0.45925
CHST6	-0.8565
UNC13B	0.438375
TTLL4	-1.29875
ZNF687	0.126875
SDC2	-1.4648
COX7A2	0.4625
LAMB4	-0.189333333333333
FAM24A	-0.239
LRRTM3	-0.781666666666667
GPHB5	0.3815
OR4C13	0.411
EIF3EIP	-0.117071428571429
HABP4	-1.5045
TMEM125	4.28125
CNTN2	2.11175
ASNSD1	0.117
FUT4	-0.7965
ACF	-3.807
LOC158381	0.5345
CDH8	-0.41775
AGPS	0.235833333333333
C4orf18	3.592375
PECI	-0.1225
UNG	-0.289625
GSTP1	1.150375
DCUN1D5	-1.46433333333333
DKFZP564J0863	-0.4315
SLC9A3R1	1.12825
BCDO2	2.093625
CHMP7	-0.528625
REM2	0.727
DNHD1	-0.53625
FKBP4	-0.166625
ZNF350	1.75275
MGC11102	0.33775
BST1	1.20525
KISS1R	0.116
NCR2	0.2555
DEFB125	0.064
UBE2W	0.2755
KRT15	-0.022125
C10orf99	0.235
SCN11A	0.273
GFI1	-0.9475
RDHE2	2.0445
FHL1	-0.789
OSGEP	1.14683333333333
GATA1	-3.35283333333333
SMC6	-0.79975
TTTY14	-1.4005
LPIN3	0.08775
RPL4	-0.6629
RBPMS	-0.3276
PRPF3	-0.286
EMR1	-2.4635
SPATA19	0.59025
XCR1	0.685
IRX3	0.7598
RBM6	-0.54125
KLF4	-0.904
UNC5CL	0.25625
SEBOX	0.297
BTK	-0.12925
KRCC1	1.6955
C6orf27	0.28
SYTL5	-0.0625
PRND	3.601125
LOC653319	-1.0955
PIGL	-0.5555
HUS1	-0.626833333333333
SFRS6	-0.6555
C17orf77	-0.0805
UIMC1	0.0305
FXYD2	-1.8526
LOC283152	1.898
ZNF667	-2.8355
ZCCHC12	-1.29625
TFEC	3.8489
ATP7B	2.08616666666667
POLD2	-1.5835
RG9MTD1	-0.04075
ACOT2	0.0206666666666667
HIST1H4I	-1.22725
PPARGC1A	-3.3683
ETFA	-0.6398
POLRMT	-0.72375
ZNF146	0.1175
MIA2	-3.4625
KLHL6	0.0138333333333333
HOXB5	2.315625
NENF	0.711833333333333
CUGBP1	-0.5045
PRSS22	1.89333333333333
CASC4	1.4801
CUL4B	-0.0693
CENPJ	-1.2115
PITX1	0.161166666666667
FLJ31033	0.853833333333333
CELSR3	-1.76633333333333
ZNF568	1.61925
ITSN1	-0.577909090909091
EHBP1L1	-0.948333333333333
C19orf2	-0.47475
DCTN1	0.1215
LIN28B	-4.44016666666667
TNKS2	0.18925
C1QBP	-0.573625
CADPS2	2.3615
SRMS	0.32675
GJA9	0.271333333333333
MGC24975	-0.147666666666667
TRIM45	0.0638333333333333
TSP50	0.21475
TCP1	-0.89325
TMED7	-0.0947
CMA1	1.16
CENPL	-0.614333333333333
PTCRA	0.392
FST	-4.28675
VWCE	-4.049
PAWR	-0.15325
ABCC12	0.315
LDLR	-2.1345
ASTN2	-0.0245
LOC441212	-1.43725
GPATCH8	0.05725
TANC2	0.20775
KIF4A	-0.93675
C18orf18	-0.54275
PGM1	-1.6435
KIAA0258	0.662
CPD	1.197875
SNCAIP	-1.29175
DCT	-4.84216666666667
HLA-DOA	3.39472727272727
OR11L1	0.6415
UPK1B	-0.615666666666667
DNAJB4	-0.210125
UGT1A8	-0.20475
HIST1H4L	-1.6315
PECR	-0.0603333333333333
HSPA2	2.79825
WFIKKN1	-0.9775
SERP1	0.833625
SYDE2	0.6535
TACR2	0.987
NUP85	-0.25875
CD177	-0.385833333333333
LGR5	-2.6008
PIGG	0.486416666666667
PTHR1	-1.57533333333333
RAB5A	0.4676
FLJ13224	-0.7255
USP9Y	-1.872
C7orf53	-0.035
LRP1B	-1.22175
XAF1	2.1788
ABCG8	-1.2085
ANKDD1A	-0.641833333333333
DAND5	-0.6415
SPAG6	6.51083333333333
LINCR	2.314
ZDHHC22	-1.3835
CCDC60	-0.275
THOC7	-0.828833333333333
TCTA	0.7929
OR8K3	0.1085
NY-REN-7	-0.8665
B2M	1.781
C6orf141	-1.0695
LPPR4	1.68875
SQLE	-1.369125
SEPHS1	-0.8265
BTBD14B	0.407928571428572
PLRG1	-0.147
SPG7	-1.128125
ZNF614	0.066
PARD6G	-0.0265
INPP5B	-0.0084
GRPEL2	0.34825
PPID	-0.0318
TRIM56	-0.8755
UBE2J1	0.136
IL20RA	5.0075
LOC387856	-1.1755
C1orf107	0.855166666666667
UTS2R	-0.3995
C19orf22	-0.1
SAFB2	-0.3705
KIAA0652	-0.298875
KLRG1	0.623166666666667
MS4A8B	2.97716666666667
FRAG1	0.76275
KIAA1546	0.075
E2F4	-1.6101
CLEC4M	0.434333333333333
BTBD14A	-0.957
KIAA0999	0.7223
GYPA	-3.886
TAC1	1.7379
TRAIP	-0.4365
KIAA0232	1.4026
ERCC8	-0.53075
GPX4	0.28975
KIAA0368	0.22075
GPR157	-1.083
CTAGE4	1.782
C9orf30	-1.53583333333333
OR52A1	0.4065
HSP90B3P	-0.6405
ALG9	-0.7635
BTBD10	0.4325
SDK2	-0.1725
BAIAP3	1.5395
RABGGTB	-0.35275
ANKRD40	0.2285
KRT74	0.2135
CALCOCO2	0.367642857142857
SNCA	-3.382
TMSL8	-5.474875
C2orf53	0.812
ESRRB	-0.4855
ARHGAP26	-1.62425
TDRD9	-3.065
HRAS	-0.488833333333333
KLRC4	-1.137
JAGN1	0.111
BSDC1	0.5025
RNF43	-0.0213
NDUFAF1	0.86775
PHF12	0.80225
OR1L3	0.13125
FOLR2	2.125
LYZL6	-0.180333333333333
tcag7.1260	-2.1485
WSB1	-1.04583333333333
PROS1	-1.5452
OSTN	0.335
PSMB8	1.64025
SOCS4	0.573625
DDIT4L	0.6325
MAS1	0.247
MGC34796	2.1165
CSHL1	0.3
TBCCD1	0.582833333333333
ZBTB7C	-0.1815
AP2S1	0.021
P15RS	0.0213
VAT1	-1.1841
SHANK3	0.744166666666667
TUFM	0.140333333333333
THEG	-0.1925
KRT34	-2.1295
SGSM3	0.581625
TOMM22	-0.9185
SOCS3	0.701833333333333
CPO	0.5865
POP4	0.24175
BHLHB3	0.76175
MALL	0.609
OR1B1	-0.655
PARK2	-0.0555
GPR124	0.222625
LCE1E	-0.102
RUVBL2	-0.99
CGRRF1	1.1363
ACPL2	-0.57825
WNT10B	-1.66325
BAIAP2L2	-1.7415
ISCA1	-0.0105
C1orf125	-0.1585
RPAP1	-0.351
RAI16	0.317333333333333
RPL27	-0.329875
NLRP9	-0.191
EPN1	0.088
LOC388610	-1.807125
SLC35A1	1.383
GAL	-4.1995
SLC14A2	0.55525
RDH11	1.30466666666667
FAM138F	0.091
AUH	-0.07175
FLJ40243	0.506666666666667
C14orf129	1.05966666666667
MBD2	-0.353833333333333
ABHD14B	0.3765
PIGT	1.19225
ALS2CR4	0.145875
ALAS1	0.1883
FOXO1	0.620833333333333
CRLF3	-0.056625
C20orf107	-0.016
FARS2	0.96575
CCDC28A	0.93025
NPHP3	-0.87775
OR13F1	1.1405
TSEN54	-0.8045
DEFB106B	0.3297
OR8B4	0.588
STH	1.4905
ZC3H14	-0.0835
CBX2	-1.431
TMEM49	-1.18225
C6orf21	0.7705
FLJ20920	0.89375
CRTAP	0.0756428571428571
DDX50	0.15175
STYXL1	0.308
BLVRB	0.7395
LOC147650	-0.00316666666666667
MMP24	0.40275
GRID1	1.79083333333333
BANF1	-0.273666666666667
CTAGEP	1.1755
HMBS	-1.9455
SLC25A24	0.00733333333333334
C14orf50	4.12075
MRO	1.945
SLC25A15	-0.41025
FAM84B	1.2815
TDP1	0.342
C16orf78	0.5794
C11orf57	-0.70625
RFK	-0.96725
ZFYVE9	-2.427125
STCH	-1.0195
WIBG	1.032
LOC283871	0.581833333333333
GBA2	-0.2519
NDUFB3	0.26825
HSD17B13	-0.19575
GRIN3A	2.13116666666667
FMNL1	-0.245833333333333
SEPT7	-0.8056
GNLY	4.2955
GRAMD1C	1.28833333333333
ZNF165	-0.09175
USP38	0.9975
FAM83A	-3.8735
C14orf24	0.2885
ARMCX3	1.448375
ARHGDIB	1.39216666666667
AK1	0.61225
KIAA1045	-0.87
DNAJB13	-0.7115
NEU2	0.7045
HIST1H4B	-1.59
FAM20B	-0.3922
HES2	2.16542857142857
FAM73B	-0.5283
LOC388381	-0.028
INTS7	0.498
AMPH	0.7075
ZNF775	-0.4815
UCKL1	-0.773166666666667
C10orf97	0.46725
C1orf161	1.039
ALDH1L1	-1.5455
FLJ39378	-0.055375
SLC23A1	-0.6255
RBM4B	1.3125
THAP4	0.293666666666667
OGFRL1	1.63125
KIAA0831	0.935875
PPP1R15A	-0.447
C1orf96	-0.391714285714286
C12orf11	-0.438
BMF	0.7355
MAN1A1	-0.771
KIAA1600	0.528833333333333
NLGN4X	1.025
ALOX12	-1.49033333333333
RB1CC1	-1.0812
NEIL2	-0.4898
EIF4E	-0.315636363636364
ABHD5	0.28175
EXOC4	-0.148333333333333
CIP29	-0.2445
BATF2	0.95775
SLC29A4	-1.0075
HTR4	0.313
EMB	-0.674
TRAF6	1.069
LMNB1	-2.512
FAM19A5	-0.728125
SHE	1.85325
PIK3C2B	2.03625
C15orf15	-0.7502
USP15	-0.1192
TCEAL2	0.1215
C5orf39	-0.4125
PTGER2	-1.22275
SLC31A1	-0.766375
IFT172	0.566
ADAM29	0.375
GFOD1	1.064
ST7L	0.655166666666667
C15orf26	-1.01625
PKN3	-0.44875
CNTD1	3.56833333333333
COMMD1	0.578
NTRK2	2.23
FOXN3	-0.2375
MFGE8	-1.1951
PFKFB2	1.25533333333333
TAS2R4	-0.09975
ENTHD1	2.04983333333333
PRMT5	-0.455875
MGC16384	-1.599125
LOC442229	-0.40375
TSKU	0.2595
KRTCAP3	2.517625
PDLIM1	0.6388
KCNS2	0.4165
RNF126	-0.294
CEP63	-0.066125
CLIC4	-0.841
hCG_1990170	-0.64775
ACR	1.1785
KLK7	-1.18225
ALOX5AP	3.54375
RIPK3	4.4505
TAS2R9	-0.2195
C19orf18	1
BIRC6	1.09792857142857
ZNF16	0.478
RFT1	-0.148
SLC8A2	-0.68575
TACC1	-0.827
ITGAD	1.8115
SAMHD1	1.53625
SH3PXD2B	1.2085
EPC2	1.015
C20orf85	1.38325
ATP13A2	0.668833333333333
KRT4	0.34625
CAPNS1	0.05975
MDM2	-1.00733333333333
PCDH20	6.15725
KCNK9	0.987
OR2C1	0.43
KLHDC3	-1.0315
IPPK	0.656
EFHD2	0.484625
GALR3	-0.5185
NBEA	1.32133333333333
ABCA6	3.1522
CLDN3	1.00483333333333
AKT2	-0.828428571428572
EGFR	-2.6658
RBM16	0.86975
ZDHHC3	0.8229
SLC25A4	-3.04833333333333
CYB5B	-1.07516666666667
CPXM1	-0.45
NDRG1	-1.64207692307692
FLJ43826	0.7565
OR5L2	0.0428
FARP2	0.4609
MRPL46	-0.339416666666667
LDHAL6B	-0.016
MAPKAPK3	-0.256666666666667
NCAM2	-2.04675
PRKD2	0.112833333333333
ZFP36L1	1.3099
CYSLTR1	1.08225
OR4C3	0.359
HIST1H2AJ	0.679
CCNB2	-1.27344444444444
ZNF10	0.473125
TMEM175	-0.0575
FAM134A	0.599166666666667
TIGD4	1.2265
PCNP	-0.48075
MGC39715	-0.374
LQK1	0.52975
CREB1	0.4736
TMPRSS3	1.8565
C4orf32	2.75
LAT	-0.5135
KCNA3	-1.4035
SKIV2L2	-0.6505
ROPN1B	-4.966
tcag7.23	0.107
CDT1	-3.137
ZHX2	1.267375
CD28	-1.55075
ZNF624	1.28125
SEPT2	0.40525
SOHLH2	-1.95571428571429
MCOLN3	-0.275875
UNQ1945	0.031
MASP2	-1.01
ZNRF3	-0.8957
GPATCH3	-0.671
AGL	2.40075
QRICH2	-0.376
PSD4	1.16383333333333
CCNB1IP1	-1.4605
ENPP7	-0.132
OBFC1	0.31575
KCNG3	-2.1585
C14orf79	0.736916666666667
ENPEP	2.07766666666667
SCT	1.443
SKI	0.022125
SEC61G	-0.40525
CAPN11	-0.32475
ATXN7L3	-0.447
DBNDD1	-0.715833333333333
FAIM	0.46325
ANKRD36	-1.344
GABRP	0.317833333333333
TACSTD2	2.5755
EIF3J	-0.47825
PPP2R2A	-1.20375
TEKT4	0.800166666666667
PVALB	-0.247
F10	-2.45033333333333
FAM134C	0.7114
COMP	4.133375
EFCBP1	-4.074625
SCLT1	0.1265
TAL1	-1.1369
ACSL1	-0.363
ABCC5	0.704166666666667
ABL1	-0.779944444444445
RBBP7	0.399833333333333
PTPRG	-1.863
NCOR1	-0.1127
SPINK4	3.234
TXNRD1	-2.1722
TNRC15	0.062375
C9orf138	0.044875
UBE2H	0.682
BRDT	1.87766666666667
C8orf31	-0.22075
CCNE2	0.0187272727272727
SLC6A8	-2.197875
CALCR	-4.39625
PPP1CB	1.03116666666667
ABHD8	-0.18575
ARF5	0.2136
SLC24A4	0.18275
CCT3	0.00575000000000001
ZNF121	0.24175
SLC3A2	-1.2924
OR13A1	0.344
SLC5A10	1.13625
RAD50	0.02075
IER5	-0.198375
MTHFD1L	-2.967125
MBTPS2	-0.00300000000000003
MVK	-0.8865
NCL	-0.0305
PSMD10	0.0375
MOBP	-0.486875
FLJ32894	0.9545
HRH1	-0.6465
C5orf30	0.93275
NUDT16L1	0.9885
RASGRP3	4.404
PRKRIP1	-0.3773
CCDC75	-0.45
LOC253970	0.03025
KIAA1239	0.65075
MED21	0.13725
SYT11	0.184416666666667
NTSR2	-1.764
EGFL11	-0.913
CXorf59	0.4105
OR2A25	0.18525
SPTBN2	0.90275
LRMP	-0.119833333333333
RNF111	0.16
PTH	-0.287
LOC619208	-0.3075
KIAA0895	1.19725
RANBP5	-1.054125
P2RY10	2.04616666666667
NME5	3.5435
DDX21	-1.30025
LRSAM1	0.145
HDAC11	1.31783333333333
VMO1	3.29375
NOLA2	-0.367833333333333
ADAR	0.350916666666667
MTO1	-0.461
SF4	0.0616666666666667
P2RX1	0.472666666666667
HBM	-0.004
EN2	-0.3985
C14orf172	-0.14425
TM9SF2	0.4152
INHBE	-1.0345
TCTE3	0.251666666666667
TOX2	-2.49975
CTAGE3	0.6415
HBB	3.4426
MED15	-0.723833333333333
CASR	-0.21
C6orf66	-1.32383333333333
MTPN	-1.107875
UNC50	0.47125
C21orf33	0.435125
IRF2	1.86
PGR	-0.886166666666667
GPR84	2.9925
CROCCL1	-1.284
SRPX	-1.50825
BRE	0.268
FGF10	1.39825
SDC3	0.162833333333333
ZRSR1	0.326166666666667
DKFZP434P211	-0.632625
SOX6	0.485
RPUSD2	0.1655
C14orf173	-0.0651666666666667
MAPK11	-0.466333333333333
TBC1D22A	0.4955
FAM123A	-0.6595
COL4A6	-0.3425
TOMM70A	0.05375
NAB1	-0.107625
MGC16385	-0.638875
TSPAN18	-1.5285
MED31	0.423
PLG	-0.5845
CAPSL	0.7325
ZNF532	1.1353
ASB14	-0.84425
CA8	-3.75575
NUDT16P	2.49033333333333
SLFN11	-0.7095
LRRIQ2	-0.0525
NOL7	-0.306666666666667
BRMS1L	0.1425
JARID1A	-0.0778333333333333
PANK2	-0.27775
ICAM3	-0.23
MDS1	-1.82625
TAF8	-1.031
RNF139	1.02025
ZNF594	0.6205
ADAM8	3.42925
SFTPC	0.033625
MAN2B2	1.220625
RGS12	-0.0629375
EIF1AY	-4.76916666666667
LRRIQ1	-1.1915
GPR150	-0.3945
CCDC21	-1.28983333333333
PRRG3	0.08275
SAA4	-4.40075
RAPGEF5	1.277625
ZCCHC2	0.615666666666667
MGC39372	1.4465
PPP4R2	0.027
CDCA2	-2.41
OR4D5	0.234333333333333
PTGFRN	1.481
SIGLEC5	2.26566666666667
C19orf61	-0.0181666666666667
NMUR2	0.2835
KIAA1586	-2.75766666666667
DAGLA	0.0818333333333334
CHCHD6	-0.688
GPR32	0.2815
NEUROD6	0.556833333333333
SLC2A4RG	0.3866875
CA5B	-0.2945
FBXL3	1.881
MPHOSPH9	-0.82575
HMG2L1	0.85575
HCN4	-0.5385
CEACAM19	0.171
SH2D4B	-0.481333333333333
HFE2	-0.868
TGM4	1.11533333333333
LYPD2	0.221
TBC1D15	0.179
MRPS21	0.1108
NONO	-0.7734
CLEC5A	3.350125
ITCH	-0.1756
MGAT3	-0.615
MBP	-0.4615
RPP25	-0.166
SOSTDC1	-3.37775
HRC	-1.19075
TRIM48	-0.386
TMEM133	-0.363
ECEL1P2	-1.60525
HOXC11	0.9315
DOK5	-0.38525
HELZ	0.2235
LOC348180	-1.623
MGC33894	0.2895
ADRB3	0.0985
DMD	-0.931916666666667
PTRH2	-0.61175
MPEG1	3.41233333333333
NDUFA12	0.0391666666666667
KRTAP2-4	0.0353333333333333
STAMBPL1	-0.6545
ADCY2	0.129833333333333
UNQ6125	0.191
KLHL20	0.201666666666667
SRM	-1.51675
OTC	-0.044
TMIE	0.1355
SNX8	-0.12475
LIPK	-1.004
CHURC1	0.43125
KLC2	0.668166666666667
HDAC1	-0.1055
FAM128A	0.416
FNDC3B	-0.3208
MTCP1	-0.0666666666666667
WFDC10B	-0.1619
PCDHGB3	-0.77
ATRNL1	-0.8042
CAV2	-1.299375
MED26	0.121
DUS1L	-0.131
CHRM3	-1.909625
NEK9	0.77075
WARS2	0.6645
TBX22	0.415
TOMM40	-1.04225
RP6-213H19.1	-1.119
TUBGCP5	-0.01825
IGSF6	5.615
TPPP	-0.995666666666667
UNQ6190	-0.2515
GSTM5	0.77075
BTD	1.22833333333333
PDCD1LG2	0.398833333333333
SNRPB2	0.236166666666667
ERICH1	-0.962875
APOA4	-1.18175
HOXA11	-1.929
NARG1	0.05275
MKX	-1.59075
RAB28	-0.330214285714286
PKP3	1.23
SH3GL2	-2.44825
CTSO	3.22
RPN2	-0.046
IL28RA	0.329
SFMBT1	1.317
WDR57	0.081
FER1L3	0.2605
HSF5	0.4232
TTC9B	0.8555
C4BPA	-3.92083333333333
ALB	-4.76528571428571
SORBS3	0.079375
UPF2	0.562
JPH1	-2.2005
AGBL2	2.87525
DOPEY1	0.708
TERF1	-0.0286666666666667
KIF22	-0.546
NINJ1	0.92575
SEC61A2	0.0566666666666667
HIST1H1D	-1.829
SFXN4	-0.256875
UCP3	0.1287
ZNF703	0.840666666666667
MYL6B	-0.39875
TREM1	3.0785
OR52E6	0.0575
CKMT2	0.0615
HLA-C	1.999125
SLC13A3	-0.6615
TIMP4	-0.63825
SLIT2	1.792
RSF1	-0.681111111111111
LONRF1	-1.86121428571429
MON1A	-0.0781666666666666
CACNG6	-2.36416666666667
DPPA4	-5.74316666666667
ZSWIM3	0.13325
ZNF804A	-0.0271666666666667
CCIN	1.39875
SLC25A31	-0.10125
KCNMB4	-1.05625
RABL5	0.386625
GALNS	-0.8109
STX6	-0.01525
HIST1H1C	-1.33483333333333
CIDEB	1.313875
CASP4	0.8915
PDK3	0.4153
KCNJ11	1.72
TPR	-0.328125
ZSCAN20	-0.067
MTX2	0.2145
HIST1H2BH	0.36775
LOC283767	0.994
LYRM7	-0.701166666666667
BRD3	-0.2825
HIST1H2BO	0.238
MAGEB10	1.587
SLC45A1	0.9315
SERPINA3	3.43465
KIAA0143	1.65275
KCNJ16	0.277
KRT79	0.08175
FABP2	-1.34725
NUT	-0.53925
ZNF57	-0.16925
FBXL4	-0.271625
CLEC9A	1.5355
UGT8	-1.681
BMP2K	0.12275
MAPK4	-3.83175
SLC25A23	-0.6299
HINT1	-0.5492
KRTAP13-1	0.6655
SFXN5	0.7551
CHCHD2	-0.135416666666667
FAM3D	1.9745
NDP	-0.92525
RHOBTB1	-1.37183333333333
SLC4A4	-0.785125
RPL38	-0.04875
HTF9C	-0.809333333333333
AP2A2	0.448625
ZBTB46	-1.6665
MAP7D1	-0.602875
AOX1	-0.417166666666667
CYR61	-0.491166666666667
DTNA	-1.60515384615385
JRKL	-1.16225
TMOD3	0.03225
EEA1	0.1058
ADCK5	-0.446
IL1R1	1.39566666666667
KLK3	0.171714285714286
HRSP12	0.17075
KTN1	1.74125
LOH11CR2A	1.3072
RELL2	-1.555
MAB21L1	1.727
C20orf59	-1.03233333333333
PHKB	0.10725
ADAM2	-2.794
TBC1D8B	1.473
FAM13A1	-1.281875
LAPTM4B	-0.0915833333333333
LCN8	0.0525
TMEM147	0.3085
SYT4	-0.6465
XPO7	-0.1475
C9orf62	-0.4
GPR75	0.4615
TRIM5	0.836375
APOC1	0.067
RNASE4	1.85333333333333
PARD6B	-0.564
ARID1A	0.53625
TPD52L3	0.3035
RRAGB	0.3455
RCN2	-0.847166666666667
HIST2H2BE	0.32625
STARD7	-0.485
SHMT2	-1.11425
KIAA1751	0.974666666666667
MLYCD	-0.572875
LOC162632	-0.0658
UQCRH	-1.0495
RP11-217H1.1	-0.3230625
SDHA	-1.49133333333333
NCLN	-0.5571
ZNF17	0.920666666666667
RCBTB2	-1.6175
VEGFB	-0.5119
RP4-747L4.3	0.37575
COLQ	-0.0645
MPN2	-0.940833333333333
DRG2	-0.52625
KLRB1	6.78625
ALPK2	-2.2905
DNASE2B	0.88425
FLJ23834	1.561
AXUD1	0.450166666666667
SAFB	-0.5105
NSUN4	0.06825
RFX2	0.3565
MAPK8IP1	-0.853333333333333
FANCD2	-0.315285714285714
ANKZF1	-1.41016666666667
C19orf50	-0.717375
DUSP8	0.2075
SENP5	-0.195
NFKBIL2	-0.345
LBR	-0.691
IGFL1	-0.121
LZTS2	-0.22075
IL2RG	0.40825
CCDC51	0.042
KLF3	0.32675
ANKRD37	-1.5085
KCTD14	-2.80566666666667
FZR1	0.0234166666666667
SLC44A4	3.6649
ESPL1	-0.8555
GMPR2	0.6261
TBC1D19	-0.180833333333333
ERGIC1	0.657074074074074
ERBB4	2.2616
TSPAN32	0.49975
MAP4	-0.341875
GPHN	-0.0645
SLC6A2	-0.72475
HIVEP1	0.602
DFFB	0.1995
EIF4EBP2	0.6825
DMRT1	-1.44825
HSPB6	0.18425
IER2	0.0631666666666667
AIFM1	0.25975
WWC2	0.272833333333333
MRPL4	-1.076
FLJ21062	2.08766666666667
EPB41L4A	1.552
SH2D6	0.319
TAF4B	-1.321
GAL3ST3	-0.192
MALT1	-0.6575
RTDR1	0.1845
ARVCF	0.672625
MEX3B	-1.22366666666667
FBXO16	1.4965
KIF7	-1.85775
C1QC	3.922
ZNF783	-1.32733333333333
ZNF85	0.30925
MMP13	5.2635
KIAA0329	1.15875
RTP3	1.2195
ZBED3	-0.89075
CLGN	2.97625
SLC25A37	-2.040875
hCG_18290	-0.28325
OR5AS1	0.036
SMARCC2	-0.138666666666667
FAM109A	-0.512833333333333
CCDC12	0.24925
USF2	0.00589999999999999
DEPDC7	-2.037
C20orf24	-0.4555
JMJD3	0.42
DSP	1.32928571428571
SLIC1	0.55925
FAM20A	0.757125
IRF2BP2	0.312875
ZNF230	0.562
MSN	-0.812642857142857
SLC9A5	-0.88
EPDR1	-2.1565
MUSK	1.00583333333333
ZNF434	0.185333333333333
SMARCD1	-0.518
ZFP106	0.41975
