Hybridization REF	TCGA-BH-A18K-11A-13R-A12D-07
CD177	-0.0851666666666666
LGR5	-2.347
PIGG	-0.0805
PTHR1	0.470666666666667
RAB5A	0.2931
FLJ13224	-0.0025
USP9Y	-2.04733333333333
C7orf53	-0.1105
LRP1B	1.47375
XAF1	1.9401
ABCG8	0.0175
ANKDD1A	0.638
DAND5	-1.718
SPAG6	0.658166666666667
LINCR	1.95775
ZDHHC22	-1.056375
CCDC60	-0.4035
THOC7	-1.13633333333333
TCTA	0.9023
OR8K3	0.25875
NY-REN-7	0.112
B2M	0.770833333333333
C6orf141	-2.399625
LPPR4	1.91375
SQLE	-2.82525
SEPHS1	-0.955
BTBD14B	0.220571428571429
PLRG1	0.1775
SPG7	-0.32075
ZNF614	-0.2405
PARD6G	1.22333333333333
INPP5B	-0.5797
GRPEL2	-0.70325
PPID	0.2444
TRIM56	0.1405
UBE2J1	-0.228625
IL20RA	5.426
LOC387856	0.71425
C1orf107	0.554583333333333
UTS2R	-0.19025
C19orf22	-0.4915
SAFB2	-0.8225
KIAA0652	0.165375
KLRG1	-1.2155
MS4A8B	-0.2065
FRAG1	0.79175
KIAA1546	0.44525
E2F4	-0.7416
CLEC4M	1.19116666666667
BTBD14A	-2.18325
KIAA0999	1.2448
GYPA	-3.672
TAC1	3.3162
TRAIP	-2.12733333333333
KIAA0232	0.5393
ERCC8	-0.77975
GPX4	1.578125
KIAA0368	0.371875
GPR157	-0.3045
CTAGE4	1.563
C9orf30	-1.44633333333333
OR52A1	-0.103
HSP90B3P	-0.8035
ALG9	0.259
BTBD10	0.227
SDK2	0.02025
BAIAP3	0.259
RABGGTB	-0.830125
ANKRD40	-0.0261666666666667
KRT74	0.689
CALCOCO2	0.781142857142857
SNCA	-1.50325
TMSL8	-3.63475
C2orf53	1.001
ESRRB	-0.28275
ARHGAP26	-0.44925
TDRD9	0.26675
HRAS	-0.307166666666667
KLRC4	-1.546
JAGN1	0.177666666666667
BSDC1	0.6465
RNF43	0.4607
NDUFAF1	0.45775
PHF12	0.6915
OR1L3	-0.4765
FOLR2	1.4335
LYZL6	0.0795
tcag7.1260	0.387
WSB1	-1.01716666666667
PROS1	1.3844
OSTN	-0.002
PSMB8	0.46975
SOCS4	-0.087875
DDIT4L	1.927
MAS1	-1.1185
MGC34796	0.76625
CSHL1	0.261666666666667
TBCCD1	0.123333333333333
ZBTB7C	-0.208
AP2S1	-0.460625
P15RS	-0.111
VAT1	-0.3895
SHANK3	1.56916666666667
TUFM	-0.3645
THEG	0.584
KRT34	-1.54925
SGSM3	0.15625
TOMM22	-1.25875
SOCS3	0.1705
CPO	1.823
POP4	0.0825
BHLHB3	3.56025
MALL	1.64775
OR1B1	-0.3325
PARK2	0.8495
GPR124	1.478625
LCE1E	0.00950000000000001
RUVBL2	-0.90975
CGRRF1	0.5168
ACPL2	0.761
WNT10B	-1.787875
BAIAP2L2	-1.954
ISCA1	1.2495
C1orf125	-0.3695
RPAP1	-0.23825
RAI16	0.695
RPL27	-0.1695
NLRP9	0.6475
EPN1	0.238
LOC388610	0.69175
SLC35A1	1.1446
GAL	-3.72225
SLC14A2	0.1725
RDH11	-0.79
FAM138F	0.0245
AUH	1.27425
FLJ40243	0.59525
C14orf129	-0.2065
MBD2	-0.411666666666667
ABHD14B	0.996125
PIGT	-0.2835
ALS2CR4	1.03375
ALAS1	-0.0537
FOXO1	2.651
CRLF3	-0.590875
C20orf107	-0.5335
FARS2	0.75425
CCDC28A	1.16825
NPHP3	0.264
OR13F1	0.1125
TSEN54	-1.13575
DEFB106B	-0.2942
OR8B4	-0.379
STH	0.0665
ZC3H14	-0.09475
CBX2	-0.528
TMEM49	-1.57175
C6orf21	0.1875
FLJ20920	1.670125
CRTAP	0.679357142857143
DDX50	0.2305
STYXL1	-0.1115
BLVRB	0.1865
LOC147650	0.186166666666667
MMP24	0.37175
GRID1	2.43083333333333
BANF1	-0.0986666666666667
CTAGEP	0.118
HMBS	-1.85325
SLC25A24	-0.00583333333333335
C14orf50	0.703
MRO	0.068
SLC25A15	-1.3185
FAM84B	0.5187
TDP1	-1.599
C16orf78	0.435833333333333
C11orf57	-0.960125
RFK	-1.164375
ZFYVE9	-0.185875
STCH	-1.8788
WIBG	0.23275
LOC283871	-0.103833333333333
GBA2	0.0476
NDUFB3	-0.145
HSD17B13	2.717
GRIN3A	1.13333333333333
FMNL1	-1.048
SEPT7	-0.87
GNLY	2.956
GRAMD1C	2.22866666666667
ZNF165	-0.3565
USP38	0.3475
FAM83A	-3.4685
C14orf24	0.09725
ARMCX3	0.560875
ARHGDIB	0.124166666666667
AK1	0.456875
KIAA1045	1.05325
DNAJB13	0.0863333333333333
NEU2	-0.203
HIST1H4B	-2.69966666666667
FAM20B	-0.9167
HES2	-0.392928571428571
FAM73B	-0.1487
LOC388381	0.15525
INTS7	-1.13636363636364
AMPH	2.6995
ZNF775	-0.165625
UCKL1	-0.0696666666666667
C10orf97	0.584
C1orf161	0.142
ALDH1L1	3.9125
FLJ39378	0.085375
SLC23A1	-2.7565
RBM4B	0.757
THAP4	-0.0213333333333333
OGFRL1	1.14225
KIAA0831	0.68475
PPP1R15A	0.0678333333333333
C1orf96	-1.16457142857143
C12orf11	-1.035
BMF	0.41125
MAN1A1	0.205375
KIAA1600	0.705333333333333
NLGN4X	0.965
ALOX12	-1.04683333333333
RB1CC1	-0.5546
NEIL2	0.3203
EIF4E	-0.115681818181818
ABHD5	0.78325
EXOC4	-0.532833333333333
CIP29	0.323666666666667
BATF2	0.54125
SLC29A4	1.583125
HTR4	0.2685
EMB	-1.3225
TRAF6	0.85275
LMNB1	-4.88225
FAM19A5	-1.509125
SHE	2.9165
PIK3C2B	1.4445
C15orf15	0.119
USP15	0.1435
TCEAL2	3.2245
C5orf39	-0.41
PTGER2	-1.1505
SLC31A1	-1.348
IFT172	0.494
ADAM29	0.2285
GFOD1	0.41275
ST7L	0.443166666666667
C15orf26	-3.362
PKN3	-1.096
CNTD1	2.093
COMMD1	0.127
NTRK2	4.7485
FOXN3	1.37625
MFGE8	1.3642
PFKFB2	1.1515
TAS2R4	-0.44025
ENTHD1	-0.732833333333333
PRMT5	-0.69375
MGC16384	-0.5635
LOC442229	-0.31
TSKU	0.466625
KRTCAP3	1.571625
PDLIM1	1.2116
KCNS2	0.31075
RNF126	-0.474
CEP63	-0.721625
CLIC4	-0.156875
hCG_1990170	3.59625
ACR	1.0064
KLK7	4.758
ALOX5AP	2.46525
RIPK3	2.826
TAS2R9	0.066
C19orf18	1.4905
BIRC6	0.583071428571429
ZNF16	1.009
RFT1	-0.7425
SLC8A2	-0.051
TACC1	-0.10125
ITGAD	-0.018
SAMHD1	0.53425
SH3PXD2B	1.1044
EPC2	1.36175
C20orf85	0.438375
ATP13A2	0.282166666666667
KRT4	0.892375
CAPNS1	0.5335
MDM2	-1.29375
PCDH20	1.52475
KCNK9	0.1195
OR2C1	1.687
KLHDC3	-0.228333333333333
IPPK	-0.2175
EFHD2	-1.088125
GALR3	-0.31925
NBEA	0.779666666666667
ABCA6	5.1421
CLDN3	1.43316666666667
AKT2	-0.103214285714286
EGFR	1.1117
RBM16	0.1725
ZDHHC3	0.2328
SLC25A4	0.335166666666667
CYB5B	-0.533833333333333
CPXM1	0.4915
NDRG1	-0.645384615384615
FLJ43826	0.21525
OR5L2	0.562666666666667
FARP2	0.383
MRPL46	-0.0285833333333333
LDHAL6B	0.254
MAPKAPK3	-0.473
NCAM2	-1.3245
PRKD2	0.164666666666667
ZFP36L1	1.4854
CYSLTR1	-1.12625
OR4C3	0.45725
HIST1H2AJ	0.8205
CCNB2	-4.38411111111111
ZNF10	0.597
TMEM175	0.826
FAM134A	0.454
TIGD4	0.0935
PCNP	0.1555
MGC39715	-0.92525
LQK1	-2.9045
CREB1	-0.1029
TMPRSS3	0.06775
C4orf32	1.346375
LAT	-1.61316666666667
KCNA3	-1.225
SKIV2L2	-0.31
ROPN1B	2.38725
tcag7.23	0.7645
CDT1	-3.78975
ZHX2	1.29625
CD28	-3.95375
ZNF624	0.88675
SEPT2	0.209833333333333
SOHLH2	-0.804375
MCOLN3	0.413
UNQ1945	-0.104
MASP2	0.523
ZNRF3	-0.5616
GPATCH3	-0.22025
AGL	1.079625
QRICH2	0.215
PSD4	0.961166666666667
CCNB1IP1	-0.59725
ENPP7	-0.02675
OBFC1	0.58275
KCNG3	-2.98
C14orf79	0.410666666666667
ENPEP	1.87883333333333
SCT	0.1525
SKI	-0.0695
SEC61G	-1.76175
CAPN11	2.6315
ATXN7L3	-0.27175
DBNDD1	-0.373833333333333
FAIM	0.30025
ANKRD36	-2.59
GABRP	4.66166666666667
TACSTD2	2.04566666666667
EIF3J	-0.652
PPP2R2A	0.136
TEKT4	0.623166666666667
PVALB	-1.06183333333333
F10	-0.915166666666667
FAM134C	0.7001
COMP	3.719
EFCBP1	-0.995625
SCLT1	-1.899
TAL1	-0.5631
ACSL1	4.5065
ABCC5	-0.797166666666667
ABL1	-0.901555555555556
RBBP7	-0.125916666666667
PTPRG	-0.190125
NCOR1	-0.0848
SPINK4	-2.508
TXNRD1	-2.1572
TNRC15	-1.125625
C9orf138	0.428625
UBE2H	-0.5195
BRDT	3.107
C8orf31	-0.2625
CCNE2	-3.54772727272727
SLC6A8	-1.7065
CALCR	-4.12
PPP1CB	1.36958333333333
ABHD8	0.52
ARF5	0.1796
SLC24A4	0.54775
CCT3	-0.4305
ZNF121	-1.324125
SLC3A2	-0.7141
OR13A1	0.342
SLC5A10	0.7245
RAD50	-0.25875
IER5	-0.442625
MTHFD1L	-2.632625
MBTPS2	0.516
MVK	-0.209875
NCL	-0.1288
PSMD10	-0.464
MOBP	0.204375
FLJ32894	-0.315
HRH1	-0.997833333333333
C5orf30	1.362
NUDT16L1	0.1368
RASGRP3	3.47466666666667
PRKRIP1	-0.7075
CCDC75	-0.6015
LOC253970	-0.426666666666667
KIAA1239	2.72675
MED21	-0.69975
SYT11	-0.906416666666667
NTSR2	0.4495
EGFL11	-0.2045
CXorf59	0.7545
OR2A25	-0.0233333333333333
SPTBN2	-1.25975
LRMP	-0.847
RNF111	0.56
PTH	0.191
LOC619208	0.291833333333333
KIAA0895	0.634
RANBP5	-0.46175
P2RY10	-0.344
NME5	3.489
DDX21	-1.673
LRSAM1	0.1465
HDAC11	0.516333333333333
VMO1	1.5365
NOLA2	-0.194
ADAR	-0.489416666666667
MTO1	-0.6595
SF4	-0.0475
P2RX1	1.62033333333333
HBM	-0.0435
EN2	0.14
C14orf172	-0.27925
TM9SF2	0.3661
INHBE	-1.46916666666667
TCTE3	0.38775
TOX2	-2.631
CTAGE3	-1.247125
HBB	3.5772
MED15	-0.2105
CASR	0.554
C6orf66	-0.777166666666667
MTPN	-1.348625
UNC50	0.313
C21orf33	0.944625
IRF2	1.269875
PGR	0.500833333333333
GPR84	1.02325
CROCCL1	-0.96075
SRPX	1.22425
BRE	0.386166666666667
FGF10	2.7025
SDC3	1.44
ZRSR1	-0.0095
DKFZP434P211	-0.26425
SOX6	-0.804
RPUSD2	-0.18175
C14orf173	-0.274416666666667
MAPK11	-0.3745
TBC1D22A	0.085
FAM123A	-1.1665
COL4A6	1.2875
TOMM70A	0.255
NAB1	0.4605
MGC16385	0.086625
TSPAN18	-1.091
MED31	-0.61525
PLG	-0.444
CAPSL	-0.035
ZNF532	1.3002
ASB14	0.521
CA8	0.02425
NUDT16P	1.03283333333333
SLFN11	-1.174
LRRIQ2	-1.924875
NOL7	-0.693166666666667
BRMS1L	-0.083375
JARID1A	-0.623666666666667
PANK2	-0.46425
ICAM3	-0.01375
MDS1	-0.23525
TAF8	-0.53225
RNF139	0.22125
ZNF594	0.597333333333333
ADAM8	-0.278
SFTPC	0.054625
MAN2B2	0.907625
RGS12	0.2539375
EIF1AY	-4.79033333333333
LRRIQ1	-0.288333333333333
GPR150	-0.4725
CCDC21	-1.953
PRRG3	0.612
SAA4	-0.81225
RAPGEF5	-0.06425
ZCCHC2	-0.162416666666667
MGC39372	-0.5195
PPP4R2	-0.767166666666667
CDCA2	-4.08283333333333
OR4D5	0.351833333333333
PTGFRN	0.0823
SIGLEC5	0.303166666666667
C19orf61	-0.305
NMUR2	-0.0245
KIAA1586	-1.6625
DAGLA	0.277166666666667
CHCHD6	-0.25825
GPR32	-0.2815
NEUROD6	-0.0315
SLC2A4RG	0.16275
CA5B	0.573
FBXL3	2.07825
MPHOSPH9	-1.94675
HMG2L1	-0.07575
HCN4	-0.3225
CEACAM19	0.367
SH2D4B	0.348333333333333
HFE2	-0.356
TGM4	-0.2658
LYPD2	-0.35675
TBC1D15	0.3025
MRPS21	-0.2045
NONO	-0.7547
CLEC5A	0.610375
ITCH	-0.6061
MGAT3	-0.0915
MBP	0.155375
RPP25	-1.3275
SOSTDC1	3.112
HRC	0.158
TRIM48	-0.0255
TMEM133	1.618
ECEL1P2	-1.4635
HOXC11	-0.12
DOK5	1.1725
HELZ	0.549
LOC348180	-1.2095
MGC33894	0.762
ADRB3	-0.25
DMD	1.52858333333333
PTRH2	-1.22125
MPEG1	2.70216666666667
NDUFA12	-0.1445
KRTAP2-4	-0.30425
STAMBPL1	-0.976166666666667
ADCY2	1.11333333333333
UNQ6125	0.424
KLHL20	-0.439666666666667
SRM	-0.53275
OTC	1.02125
TMIE	1.64166666666667
SNX8	-0.37975
LIPK	0.7345
CHURC1	-0.45575
KLC2	0.2065
HDAC1	-0.4105
FAM128A	-0.132833333333333
FNDC3B	-0.5933
MTCP1	-0.105833333333333
WFDC10B	0.2912
PCDHGB3	-0.5205
ATRNL1	0.0759
CAV2	2.315125
MED26	-0.254166666666667
DUS1L	-0.07075
CHRM3	-0.710125
NEK9	0.4145
WARS2	-0.4285
TBX22	0.718
TOMM40	-1.307
RP6-213H19.1	-0.889333333333333
TUBGCP5	-0.1475
IGSF6	3.57175
TPPP	0.6025
UNQ6190	-1.1735
GSTM5	2.52425
BTD	1.2345
PDCD1LG2	1.06016666666667
SNRPB2	-0.473333333333333
ERICH1	-0.536
APOA4	-0.8465
HOXA11	-2.0845
NARG1	0.17175
MKX	0.0975
RAB28	0.407857142857143
PKP3	0.75275
SH3GL2	-2.347
CTSO	3.9985
RPN2	-0.309625
IL28RA	0.600666666666667
SFMBT1	-0.3625
WDR57	-0.11375
FER1L3	0.0156666666666667
HSF5	0.141333333333333
TTC9B	0.738
C4BPA	-1.75266666666667
ALB	-2.63757142857143
SORBS3	1.162875
UPF2	0.308
JPH1	0.3945
AGBL2	0.899
DOPEY1	1.3295
TERF1	-0.286666666666667
KIF22	-1.30816666666667
NINJ1	1.12
SEC61A2	-1.34925
HIST1H1D	-2.78983333333333
SFXN4	0.02525
UCP3	0.5064
ZNF703	0.635666666666667
MYL6B	-0.16375
TREM1	-0.9935
OR52E6	0.26
CKMT2	4.6035
HLA-C	1.48725
SLC13A3	-1.28083333333333
TIMP4	3.2605
SLIT2	2.53225
RSF1	-0.609222222222222
LONRF1	-0.274357142857143
MON1A	0.223
CACNG6	-2.26983333333333
DPPA4	-5.8485
ZSWIM3	-0.03925
ZNF804A	-0.221333333333333
CCIN	1.05025
SLC25A31	0.933
KCNMB4	-0.30975
RABL5	0.3955
GALNS	-0.4633
STX6	-1.352
HIST1H1C	-1.19366666666667
CIDEB	0.62875
CASP4	0.780666666666667
PDK3	-0.9088
KCNJ11	1.343
TPR	-0.9685
ZSCAN20	-0.6825
MTX2	-0.46325
HIST1H2BH	-0.60375
LOC283767	2.06
LYRM7	-0.599388888888889
BRD3	-0.839666666666667
HIST1H2BO	-0.42975
MAGEB10	-0.05
SLC45A1	0.5035
SERPINA3	1.11685
KIAA0143	0.72725
KCNJ16	4.91366666666667
KRT79	0.2595
FABP2	-1.0645
NUT	0.01225
ZNF57	0.17975
FBXL4	0.24725
CLEC9A	1.773
UGT8	-0.3045
BMP2K	0.09075
MAPK4	-1.901
SLC25A23	0.0516
HINT1	-0.6147
KRTAP13-1	0.3955
SFXN5	-0.4862
CHCHD2	-0.206166666666667
FAM3D	3.3665
NDP	-0.387
RHOBTB1	-1.239
SLC4A4	0.775
RPL38	0.04975
HTF9C	-0.4795
AP2A2	0.731
ZBTB46	-0.302
MAP7D1	0.80475
AOX1	0.365833333333333
CYR61	0.823
DTNA	-0.607857142857143
JRKL	0.7745
TMOD3	-1.407
EEA1	0.02
ADCK5	-0.221
IL1R1	1.78316666666667
KLK3	2.39335714285714
HRSP12	0.155
KTN1	0.0305
LOH11CR2A	1.0261
RELL2	-1.05775
MAB21L1	2.69275
C20orf59	-1.28633333333333
PHKB	0.6325
ADAM2	-1.82433333333333
TBC1D8B	0.563833333333333
FAM13A1	0.94
LAPTM4B	-1.02683333333333
LCN8	-0.334
TMEM147	0.3225
SYT4	0.373666666666667
XPO7	-0.864
C9orf62	-0.60575
GPR75	1.408
TRIM5	-0.235125
APOC1	-0.5515
RNASE4	2.78583333333333
PARD6B	-2.98075
ARID1A	0.39225
TPD52L3	0.1635
RRAGB	1.2315
RCN2	-0.653166666666667
HIST2H2BE	-0.1485625
STARD7	-0.36
SHMT2	-1.31475
KIAA1751	1.04116666666667
MLYCD	0.876125
LOC162632	0.2183
UQCRH	-1.10225
RP11-217H1.1	-0.83725
SDHA	-0.686666666666667
NCLN	-0.8059
ZNF17	0.6445
RCBTB2	-0.1855
VEGFB	0.6818
RP4-747L4.3	1.08075
COLQ	0.3525
MPN2	-0.318166666666667
DRG2	0.36925
KLRB1	4.8735
ALPK2	-3.12325
DNASE2B	0.755
FLJ23834	-0.180666666666667
AXUD1	0.505666666666667
SAFB	-0.73
NSUN4	-0.47075
RFX2	1.344
MAPK8IP1	0.0223333333333333
FANCD2	-2.0975
ANKZF1	-0.928333333333333
C19orf50	-0.2305
DUSP8	0.473625
SENP5	-1.373
NFKBIL2	-0.9785
LBR	-1.470875
IGFL1	0.6495
LZTS2	0.27675
IL2RG	-0.5805
CCDC51	-0.411
KLF3	0.473875
ANKRD37	-1.38225
KCTD14	2.288
FZR1	-0.06375
SLC44A4	1.4254
ESPL1	-1.6925
GMPR2	0.3251
TBC1D19	-0.173166666666667
ERGIC1	-0.376296296296296
ERBB4	2.581
TSPAN32	0.407583333333333
MAP4	-0.20725
GPHN	0.17275
SLC6A2	0.614375
HIVEP1	0.56875
DFFB	-0.42
EIF4EBP2	1.013125
DMRT1	-0.8745
HSPB6	1.67925
IER2	0.699833333333333
AIFM1	-0.55875
WWC2	-0.08525
MRPL4	0.15775
FLJ21062	1.70316666666667
EPB41L4A	1.26675
SH2D6	-0.221
TAF4B	0.304
GAL3ST3	-0.0175
MALT1	-0.811
RTDR1	0.212
ARVCF	0.372125
MEX3B	-0.247333333333333
FBXO16	0.08625
KIF7	-1.11325
C1QC	3.9295
ZNF783	-0.2685
ZNF85	0.14575
MMP13	-0.623
KIAA0329	0.80075
RTP3	-1.07
ZBED3	0.32
CLGN	-2.6285
SLC25A37	-0.9505
hCG_18290	0.59225
OR5AS1	-0.064
SMARCC2	0.648833333333333
FAM109A	-0.273333333333333
CCDC12	0.11925
USF2	0.2392
DEPDC7	-2.942
C20orf24	-1.3615
JMJD3	0.2575
DSP	1.41914285714286
SLIC1	0.099875
FAM20A	1.316875
IRF2BP2	-0.1145
ZNF230	0.2805
MSN	-0.338785714285714
SLC9A5	-0.676
EPDR1	-0.2308
MUSK	-0.2085
ZNF434	0.3695
SMARCD1	-0.500833333333333
ZFP106	0.83375
ZNF347	0.4385
GTF2E1	-0.462
