Hybridization REF	TCGA-BH-A0BS-11A-11R-A12P-07
UNG	-0.528875
GSTP1	-0.16325
DCUN1D5	-1.08383333333333
DKFZP564J0863	-1.625
SLC9A3R1	-0.240125
BCDO2	-0.592125
CHMP7	-0.311375
REM2	0.1655
DNHD1	-0.607714285714286
FKBP4	-1.0865
ZNF350	1.62125
MGC11102	-0.422375
BST1	0.87325
KISS1R	1.317
NCR2	0.995
DEFB125	3.091
UBE2W	0.615375
KRT15	4.830375
C10orf99	-1.0915
SCN11A	0.3184
GFI1	-1.30225
RDHE2	0.906833333333333
FHL1	1.42166666666667
OSGEP	-0.220666666666667
GATA1	-3.639
SMC6	-2.04025
TTTY14	-1.08925
LPIN3	0.17925
RPL4	0.6882
RBPMS	0.2804
PRPF3	-0.675333333333333
EMR1	-2.029
SPATA19	0.118
XCR1	-0.084
IRX3	2.6202
RBM6	-0.47475
KLF4	-0.3268
UNC5CL	-0.83675
SEBOX	0.293
BTK	-1.31825
KRCC1	1.788
C6orf27	1.21
SYTL5	-1.274
PRND	2.40185714285714
LOC653319	-1.7595
PIGL	-1.874
HUS1	-0.571333333333333
SFRS6	0.194833333333333
C17orf77	0.1705
UIMC1	0.0528333333333333
FXYD2	-2.0107
LOC283152	0.30725
ZNF667	0.32775
ZCCHC12	-1.12566666666667
TFEC	1.4697
ATP7B	-0.3035
POLD2	-1.25733333333333
RG9MTD1	0.4565
ACOT2	0.619666666666667
HIST1H4I	-1.849
PPARGC1A	0.4968
ETFA	-1.2922
POLRMT	-0.32425
ZNF146	-0.3235
MIA2	1.2575
KLHL6	-1.50883333333333
HOXB5	0.1445
NENF	0.482166666666667
CUGBP1	-0.623
PRSS22	1.251
CASC4	0.9826
CUL4B	0.1947
CENPJ	-1.941
PITX1	-2.17316666666667
FLJ31033	-0.6225
CELSR3	-2.14766666666667
ZNF568	1.629
ITSN1	-0.236
EHBP1L1	-0.814166666666667
C19orf2	-0.8565
DCTN1	-0.2495
LIN28B	-3.482
TNKS2	-0.3615
C1QBP	-0.18425
CADPS2	1.5745
SRMS	-0.2065
GJA9	0.114333333333333
MGC24975	-0.761833333333333
TRIM45	-0.670666666666667
TSP50	0.18025
TCP1	-1.18575
TMED7	-0.0819
CMA1	-1.694
CENPL	-2.19516666666667
PTCRA	-0.492
FST	-2.835
VWCE	-3.24025
PAWR	-0.2305
ABCC12	0.78225
LDLR	-0.375
ASTN2	1.0486
LOC441212	-0.304375
GPATCH8	-0.4695
TANC2	-1.26136363636364
KIF4A	-3.53725
C18orf18	0.2405
PGM1	-0.7385
KIAA0258	0.599
CPD	0.366875
SNCAIP	-1.06875
DCT	-4.11516666666667
HLA-DOA	2.24822727272727
OR11L1	0.5735
UPK1B	0.575333333333333
DNAJB4	0.844125
UGT1A8	0.0115
HIST1H4L	-1.519
PECR	-0.856666666666667
HSPA2	1.9845
WFIKKN1	-2.7155
SERP1	1.034
SYDE2	0.818
TACR2	-1.243
NUP85	-0.977
CD177	-0.7932
LGR5	-1.8858
PIGG	-0.389583333333333
PTHR1	0.0551666666666667
RAB5A	-0.0777
FLJ13224	-0.34
USP9Y	-1.151
C7orf53	-1.647
LRP1B	0.5995
XAF1	0.6604
ABCG8	-0.3275
ANKDD1A	-1.10583333333333
DAND5	-2.6075
SPAG6	1.76766666666667
LINCR	3.55875
ZDHHC22	-1.282
CCDC60	1.612
THOC7	-1.13
TCTA	0.8665
OR8K3	0.054
NY-REN-7	-0.1615
B2M	1.29016666666667
C6orf141	-1.7665
LPPR4	1.88275
SQLE	-2.401875
SEPHS1	-0.87425
BTBD14B	0.278071428571429
PLRG1	0.118
SPG7	-0.2245625
ZNF614	-0.0218333333333333
PARD6G	2.16866666666667
INPP5B	-0.697111111111111
GRPEL2	-0.49125
PPID	-0.6068
TRIM56	-0.14925
UBE2J1	-0.370375
IL20RA	6.4985
LOC387856	-0.02825
C1orf107	0.376083333333333
UTS2R	2.41175
C19orf22	-0.88775
SAFB2	-0.1985
KIAA0652	-0.08
KLRG1	0.356666666666667
MS4A8B	0.636
FRAG1	0.213
KIAA1546	0.2815
E2F4	-1.3865
CLEC4M	-0.0913333333333333
BTBD14A	-1.72375
KIAA0999	1.1891
GYPA	-3.232
TAC1	2.1212
TRAIP	-1.81666666666667
KIAA0232	0.7985
ERCC8	-1.1225
GPX4	0.489375
KIAA0368	0.1275
GPR157	-0.339333333333333
CTAGE4	0.535
C9orf30	-1.68666666666667
OR52A1	-1.577
HSP90B3P	-0.7115
ALG9	-0.5338
BTBD10	0.3755
SDK2	-0.065
BAIAP3	0.63325
RABGGTB	-0.651375
ANKRD40	-0.107333333333333
KRT74	-0.0175
CALCOCO2	0.237428571428571
SNCA	-2.06975
TMSL8	-2.513875
C2orf53	0.5455
ESRRB	-0.736
ARHGAP26	-0.11875
TDRD9	-1.8005
HRAS	0.139833333333333
KLRC4	-2.03
JAGN1	0.156833333333333
BSDC1	0.541
RNF43	0.1464
NDUFAF1	0.4605
PHF12	0.252666666666667
OR1L3	0.383
FOLR2	1.20533333333333
LYZL6	-0.115
tcag7.1260	-1.3395
WSB1	-1.159
PROS1	0.1421
OSTN	0.185
PSMB8	0.6745
SOCS4	-1.135125
DDIT4L	2.05675
MAS1	-0.487
MGC34796	0.75775
CSHL1	0.0974
TBCCD1	0.590833333333333
ZBTB7C	-0.2715
AP2S1	-0.76675
P15RS	-0.6462
VAT1	-0.9768
SHANK3	1.06566666666667
TUFM	-0.5635
THEG	0.1005
KRT34	-1.9385
SGSM3	0.651125
TOMM22	-0.62225
SOCS3	0.259833333333333
CPO	0.1785
POP4	0.109
BHLHB3	3.23075
MALL	1.14875
OR1B1	0.7005
PARK2	0.7005
GPR124	0.049
LCE1E	1.271
RUVBL2	-0.6335
CGRRF1	1.1531
ACPL2	0.54375
WNT10B	-2.23225
BAIAP2L2	-1.428
ISCA1	0.6905
C1orf125	-0.670875
RPAP1	-0.68225
RAI16	-0.695666666666667
RPL27	0.576875
NLRP9	0.021
EPN1	-0.8255
LOC388610	0.458125
SLC35A1	1.3047
GAL	-4.06775
SLC14A2	-1.44225
RDH11	-0.854333333333333
FAM138F	-0.2875
AUH	0.95475
FLJ40243	-0.285
C14orf129	0.0263333333333333
MBD2	-1.0205
ABHD14B	0.736125
PIGT	-1.011375
ALS2CR4	0.61825
ALAS1	-0.2826
FOXO1	2.713
CRLF3	-0.19225
C20orf107	-1.2215
FARS2	0.86275
CCDC28A	1.32725
NPHP3	0.28475
OR13F1	-0.3715
TSEN54	-0.73525
DEFB106B	0.224375
OR8B4	1.7325
STH	-0.7745
ZC3H14	-0.316125
CBX2	0.494
TMEM49	-1.5065
C6orf21	0.3045
FLJ20920	0.662875
CRTAP	0.244857142857143
DDX50	0.481
STYXL1	-0.06925
BLVRB	0.1255
LOC147650	0.365166666666667
MMP24	-0.550333333333333
GRID1	1.514
BANF1	-0.956833333333333
CTAGEP	0.03225
HMBS	-2.6875
SLC25A24	-0.213666666666667
C14orf50	1.183
MRO	-0.274
SLC25A15	-1.32775
FAM84B	1.3124
TDP1	-1.5795
C16orf78	0.832666666666667
C11orf57	-0.217875
RFK	-0.66
ZFYVE9	-0.664875
STCH	-1.1987
WIBG	0.05875
LOC283871	-0.740666666666667
GBA2	-0.3285
NDUFB3	-0.1345
HSD17B13	0.997
GRIN3A	0.577833333333333
FMNL1	-1.38933333333333
SEPT7	-0.5826
GNLY	3.4755
GRAMD1C	2.4285
ZNF165	-0.1455
USP38	-0.05025
FAM83A	-3.5275
C14orf24	0.630416666666667
ARMCX3	1.20475
ARHGDIB	0.152833333333333
AK1	0.17775
KIAA1045	0.0929999999999999
DNAJB13	-0.733666666666667
NEU2	0.305
HIST1H4B	-1.98525
FAM20B	-0.932
HES2	0.235923076923077
FAM73B	-0.4078
LOC388381	-0.089
INTS7	-1.29327272727273
AMPH	-1.184
ZNF775	0.5065
UCKL1	-0.3825
C10orf97	0.1985
C1orf161	-0.089
ALDH1L1	2.3185
FLJ39378	-0.370625
SLC23A1	-1.311
RBM4B	0.33375
THAP4	0.0533333333333333
OGFRL1	1.35475
KIAA0831	0.342
PPP1R15A	0.165333333333333
C1orf96	-0.360214285714286
C12orf11	-2.12725
BMF	-0.311375
MAN1A1	-1.06325
KIAA1600	0.676166666666667
NLGN4X	1.23875
ALOX12	-1.444
RB1CC1	-0.275
NEIL2	1.0163
EIF4E	-0.0354090909090909
ABHD5	-0.09075
EXOC4	-0.106666666666667
CIP29	-0.680666666666667
BATF2	-0.0255
SLC29A4	-0.25375
HTR4	0.928666666666667
EMB	-1.13325
TRAF6	0.79525
LMNB1	-4.415
FAM19A5	-1.11625
SHE	1.7705
PIK3C2B	1.26625
C15orf15	0.6726
USP15	0.2907
TCEAL2	3.0915
C5orf39	-0.2435
PTGER2	-1.579
SLC31A1	-0.5814375
IFT172	0.48275
ADAM29	-1.32333333333333
GFOD1	0.3645
ST7L	0.993166666666667
C15orf26	-2.225
PKN3	-0.1925
CNTD1	3.37783333333333
COMMD1	0.790875
NTRK2	4.67641666666667
FOXN3	0.691375
MFGE8	1.278
PFKFB2	0.251833333333333
TAS2R4	0.19375
ENTHD1	-0.7118
PRMT5	-0.628
MGC16384	-1.517375
LOC442229	-0.99425
TSKU	0.35925
KRTCAP3	2.87625
PDLIM1	1.28
KCNS2	-0.521
RNF126	-0.351666666666667
CEP63	-0.1245
CLIC4	-0.500875
hCG_1990170	5.222
ACR	0.1295
KLK7	4.58325
ALOX5AP	2.856375
RIPK3	3.4235
TAS2R9	-0.1345
C19orf18	1.245
BIRC6	-0.388642857142857
ZNF16	1.4435
RFT1	-0.72775
SLC8A2	-0.869333333333333
TACC1	0.30725
ITGAD	0.84475
SAMHD1	0.2845
SH3PXD2B	0.2919
EPC2	1.60375
C20orf85	1.14
ATP13A2	-0.163333333333333
KRT4	-0.4785
CAPNS1	-0.199
MDM2	-0.38325
PCDH20	1.37025
KCNK9	-0.6285
OR2C1	-0.3085
KLHDC3	-0.4595
IPPK	0.1055
EFHD2	-0.83175
GALR3	2.15975
NBEA	0.9135
ABCA6	4.5692
CLDN3	1.85933333333333
AKT2	-0.790692307692308
EGFR	0.2741
RBM16	0.568625
ZDHHC3	0.0198
SLC25A4	0.4045
CYB5B	-0.978166666666667
CPXM1	-0.68675
NDRG1	-0.988846153846154
FLJ43826	-0.08
OR5L2	-0.0756666666666666
FARP2	0.2498
MRPL46	0.0415
LDHAL6B	-0.2098
MAPKAPK3	-0.683666666666667
NCAM2	-1.09975
PRKD2	0.671666666666667
ZFP36L1	1.5039
CYSLTR1	-0.75925
OR4C3	-0.139
HIST1H2AJ	1.084
CCNB2	-3.92622222222222
ZNF10	0.623875
TMEM175	0.5695
FAM134A	0.9385
TIGD4	0.173
PCNP	0.237
MGC39715	1.41433333333333
LQK1	-2.81325
CREB1	0.3228
TMPRSS3	0.64975
C4orf32	1.42925
LAT	-1.64241666666667
KCNA3	-0.786
SKIV2L2	-0.73075
ROPN1B	4.578
tcag7.23	0.778
CDT1	-3.31275
ZHX2	1.057875
CD28	-3.5495
ZNF624	0.978
SEPT2	-0.363916666666667
SOHLH2	-2.016
MCOLN3	-0.177625
UNQ1945	0.576
MASP2	-2.1285
ZNRF3	0.5978
GPATCH3	0.2445
AGL	0.658
QRICH2	-0.241
PSD4	1.24716666666667
CCNB1IP1	-0.4055
ENPP7	-0.921
OBFC1	0.0565
KCNG3	-2.98025
C14orf79	0.95575
ENPEP	0.340166666666667
SCT	0.0345
SKI	1.00725
SEC61G	-1.0215
CAPN11	2.06325
ATXN7L3	-1.0895
DBNDD1	-1.19283333333333
FAIM	0.77575
ANKRD36	-0.7565
GABRP	5.69083333333333
TACSTD2	2.8772
EIF3J	-0.4825
PPP2R2A	-0.30325
TEKT4	0.219166666666667
PVALB	-2.6995
F10	-1.44666666666667
FAM134C	0.8145
COMP	0.100375
EFCBP1	-0.4343125
SCLT1	0.621125
TAL1	-1.1124
ACSL1	2.57975
ABCC5	-0.345083333333333
ABL1	-0.781333333333333
RBBP7	-0.38925
PTPRG	-0.244875
NCOR1	-0.3215
SPINK4	-2.18683333333333
TXNRD1	-1.5408
TNRC15	0.323
C9orf138	0.8325
UBE2H	-0.1675
BRDT	0.318
C8orf31	-0.54275
CCNE2	-3.82963636363636
SLC6A8	-1.766125
CALCR	-2.808
PPP1CB	1.6645
ABHD8	0.3105
ARF5	0.0496
SLC24A4	-0.26025
CCT3	-0.64025
ZNF121	-0.43975
SLC3A2	-0.7882
OR13A1	0.5945
SLC5A10	-0.56425
RAD50	-0.6035
IER5	1.46875
MTHFD1L	-2.71575
MBTPS2	-0.346666666666667
MVK	-0.340875
NCL	-0.499
PSMD10	-0.3885
MOBP	0.0335
FLJ32894	0.5035
HRH1	-0.934833333333334
C5orf30	0.07225
NUDT16L1	0.7416
RASGRP3	3.58383333333333
PRKRIP1	-0.6181
CCDC75	0.434
LOC253970	0.4455
KIAA1239	1.396
MED21	-0.024
SYT11	-0.466272727272727
NTSR2	-0.4175
EGFL11	0.1055
CXorf59	-0.3785
OR2A25	-0.000666666666666704
SPTBN2	-0.80075
LRMP	-0.9788
RNF111	0.41525
PTH	0.632
LOC619208	0.366
KIAA0895	0.64575
RANBP5	-0.908
P2RY10	0.0431666666666667
NME5	3.88883333333333
DDX21	-1.356
LRSAM1	-0.1715
HDAC11	0.366333333333333
VMO1	1.29775
NOLA2	-0.463333333333333
ADAR	-0.43975
MTO1	-0.683833333333333
SF4	0.301166666666667
P2RX1	-0.781666666666667
HBM	0.15825
EN2	2.255
C14orf172	-0.29125
TM9SF2	0.4344
INHBE	-1.5795
TCTE3	-0.441916666666667
TOX2	-3.172
CTAGE3	-0.948375
HBB	4.6821
MED15	-0.683666666666667
CASR	0.5025
C6orf66	-0.631
MTPN	-0.993
UNC50	0.46575
C21orf33	1.028
IRF2	1.103
PGR	-0.587333333333333
GPR84	1.0575
CROCCL1	-1.6375
SRPX	-0.04275
BRE	-0.214166666666667
FGF10	1.726
SDC3	0.400166666666667
ZRSR1	0.0201666666666667
DKFZP434P211	-0.980125
SOX6	-0.1095
RPUSD2	-0.0485
C14orf173	-0.464166666666667
MAPK11	-0.183666666666667
TBC1D22A	0.7395
FAM123A	-1.334
COL4A6	-0.401
TOMM70A	0.247
NAB1	0.34475
MGC16385	0.01025
TSPAN18	-0.7335
MED31	0.042
PLG	0.5675
CAPSL	1.3385
ZNF532	0.4152
ASB14	-0.32075
CA8	1.34525
NUDT16P	0.8625
SLFN11	-1.146
LRRIQ2	-0.930875
NOL7	-0.410333333333333
BRMS1L	-0.291875
JARID1A	0.000333333333333324
PANK2	-0.6165
ICAM3	-0.235
MDS1	-0.535
TAF8	-0.94275
RNF139	0.617
ZNF594	0.382
ADAM8	0.037375
SFTPC	-0.241625
MAN2B2	0.399125
RGS12	0.0894375
EIF1AY	-3.89181818181818
LRRIQ1	0.108666666666667
GPR150	2.53425
CCDC21	-2.02216666666667
PRRG3	0.623666666666667
SAA4	-0.77825
RAPGEF5	1.461125
ZCCHC2	-0.172583333333333
MGC39372	-0.9625
PPP4R2	-0.4565
CDCA2	-3.109
OR4D5	0.444166666666667
PTGFRN	-0.0804
SIGLEC5	1.0935
C19orf61	-0.163666666666667
NMUR2	-0.0535
KIAA1586	-0.511166666666667
DAGLA	0.550333333333333
CHCHD6	0.5155
GPR32	-0.9565
NEUROD6	-0.6676
SLC2A4RG	-0.2080625
CA5B	0.4955
FBXL3	1.989
MPHOSPH9	-2.6375
HMG2L1	-0.02025
HCN4	1.52616666666667
CEACAM19	0.44525
SH2D4B	-0.063
HFE2	-0.4895
TGM4	1.05866666666667
LYPD2	-0.42625
TBC1D15	0.462
MRPS21	0.1159
NONO	-0.7332
CLEC5A	0.5495
ITCH	0.0181
MGAT3	0.404333333333333
MBP	0.357571428571428
RPP25	-1.003
SOSTDC1	4.105
HRC	-0.712
TRIM48	0.555
TMEM133	0.669
ECEL1P2	-0.7765
HOXC11	-0.023
DOK5	0.08125
HELZ	0.400166666666667
LOC348180	-0.25425
MGC33894	-0.12
ADRB3	0.205
DMD	1.984
PTRH2	-0.422
MPEG1	2.38216666666667
NDUFA12	0.0548333333333333
KRTAP2-4	0.3828
STAMBPL1	-1.11333333333333
ADCY2	1.3966
UNQ6125	0.7235
KLHL20	0.0535
SRM	-0.71025
OTC	-1.08066666666667
TMIE	0.809
SNX8	0.16625
LIPK	-1.388
CHURC1	-0.180083333333333
KLC2	0.051
HDAC1	-0.5825
FAM128A	-0.3725
FNDC3B	-0.521
MTCP1	-0.9855
WFDC10B	-0.2963
PCDHGB3	-0.784
ATRNL1	-0.5702
CAV2	1.79875
MED26	-0.140166666666667
DUS1L	0.18125
CHRM3	-0.764875
NEK9	-0.04775
WARS2	0.02175
TBX22	1.977
TOMM40	-1.298
RP6-213H19.1	-0.7725
TUBGCP5	-0.75475
IGSF6	4.73175
TPPP	0.698333333333333
UNQ6190	-0.436
GSTM5	1.35775
BTD	0.465833333333333
PDCD1LG2	-1.0932
SNRPB2	-0.24
ERICH1	0.24325
APOA4	-1.422
HOXA11	-2.4855
NARG1	0.07525
MKX	-0.664
RAB28	0.168714285714286
PKP3	0.471
SH3GL2	-2.644
CTSO	3.27125
RPN2	-0.176
IL28RA	0.559333333333333
SFMBT1	0.052
WDR57	-0.131375
FER1L3	0.37025
HSF5	0.297833333333333
TTC9B	-0.29125
C4BPA	-1.13766666666667
ALB	-0.506357142857143
SORBS3	0.085625
UPF2	0.1705
JPH1	-1.137
AGBL2	-0.4105
DOPEY1	1.8765
TERF1	-0.232166666666667
KIF22	-1.119
NINJ1	0.953
SEC61A2	-1.04
HIST1H1D	-1.23283333333333
SFXN4	0.16475
UCP3	-0.5475
ZNF703	0.500666666666667
MYL6B	-0.43975
TREM1	-0.71475
OR52E6	-0.1935
CKMT2	3.69125
HLA-C	1.637125
SLC13A3	-1.1575
TIMP4	2.706
SLIT2	2.69975
RSF1	-0.381944444444445
LONRF1	-0.198928571428571
MON1A	-0.4695
CACNG6	-1.52466666666667
DPPA4	-5.40216666666667
ZSWIM3	-0.2595
ZNF804A	0.6706
CCIN	1.3155
SLC25A31	-0.157
KCNMB4	-0.50125
RABL5	0.139
GALNS	-1.2541
STX6	-0.369125
HIST1H1C	-3.59283333333333
CIDEB	-0.142375
CASP4	0.560666666666667
PDK3	-0.6144
KCNJ11	-0.433
TPR	-1.0775
ZSCAN20	-0.307
MTX2	-0.1455
HIST1H2BH	-1.24675
LOC283767	1.34875
LYRM7	-0.553666666666667
BRD3	-0.477
HIST1H2BO	-1.30575
MAGEB10	-0.019
SLC45A1	0.0637499999999999
SERPINA3	1.25375
KIAA0143	0.84225
KCNJ16	5.039
KRT79	-0.40725
FABP2	-1.0285
NUT	-1.515
ZNF57	0.185
FBXL4	0.617
CLEC9A	0.872
UGT8	1.18833333333333
BMP2K	0.3715
MAPK4	-1.5655
SLC25A23	-0.7403
HINT1	-0.2895
KRTAP13-1	-1.041
SFXN5	-0.6058
CHCHD2	-0.2225
FAM3D	4.4105
NDP	-0.55775
RHOBTB1	-1.1965
SLC4A4	0.373
RPL38	0.5285
HTF9C	0.234166666666667
AP2A2	0.352
ZBTB46	-0.536
MAP7D1	0.231
AOX1	-0.8315
CYR61	1.80616666666667
DTNA	-0.180428571428571
JRKL	1.35875
TMOD3	-1.0235
EEA1	-0.0985
ADCK5	-0.4995
IL1R1	2.43283333333333
KLK3	1.84871428571429
HRSP12	-0.579
KTN1	-0.00925
LOH11CR2A	1.0302
RELL2	-1.709
MAB21L1	3.326
C20orf59	-1.07383333333333
PHKB	0.00824999999999999
ADAM2	-1.77225
TBC1D8B	1.36133333333333
FAM13A1	0.6380625
LAPTM4B	-1.18308333333333
LCN8	-0.7945
TMEM147	0.412
SYT4	1.10266666666667
XPO7	-1.355
C9orf62	2.8235
GPR75	0.1735
TRIM5	0.36575
APOC1	-1.26683333333333
RNASE4	2.26733333333333
PARD6B	-1.832375
ARID1A	-0.398916666666667
TPD52L3	0.758333333333333
RRAGB	0.905166666666667
RCN2	-0.724833333333333
HIST2H2BE	-1.297125
STARD7	-0.049
SHMT2	-1.312
KIAA1751	0.0855
MLYCD	0.738625
LOC162632	-0.7069
UQCRH	-1.19575
RP11-217H1.1	0.095
SDHA	-0.981666666666667
NCLN	-0.935
ZNF17	0.4715
RCBTB2	-0.206
VEGFB	-0.6154
RP4-747L4.3	1.48875
COLQ	0.0836666666666667
MPN2	-1.4895
DRG2	0.1435
KLRB1	6.70375
ALPK2	-2.5005
DNASE2B	1.26075
FLJ23834	-0.094
AXUD1	2.2205
SAFB	-0.471
NSUN4	-0.359
RFX2	0.886
MAPK8IP1	0.258333333333333
FANCD2	-1.41592857142857
ANKZF1	-0.881166666666667
C19orf50	-0.712
DUSP8	1.319375
SENP5	-0.903
NFKBIL2	-1.123
LBR	-0.791125
IGFL1	0.259
LZTS2	0.1155
IL2RG	-1.025625
CCDC51	-0.73325
KLF3	-0.453625
ANKRD37	-0.36275
KCTD14	2.896
FZR1	-0.0474166666666667
SLC44A4	2.0783
ESPL1	-1.88442857142857
GMPR2	-0.0733
TBC1D19	-0.662
ERGIC1	-0.256192307692308
ERBB4	3.3499
TSPAN32	-0.00583333333333336
MAP4	-1.092375
GPHN	-0.51025
SLC6A2	1.644625
HIVEP1	0.03025
DFFB	-0.4493
EIF4EBP2	0.451125
DMRT1	0.296
HSPB6	0.4375
IER2	-0.0806666666666667
AIFM1	-0.9825
WWC2	0.426363636363636
MRPL4	-0.55675
FLJ21062	0.8905
EPB41L4A	1.21183333333333
SH2D6	-0.4805
TAF4B	-0.80925
GAL3ST3	-0.509
MALT1	-0.864
RTDR1	0.18425
ARVCF	0.754875
MEX3B	-1.92083333333333
FBXO16	0.694
KIF7	-0.89275
C1QC	4.203
ZNF783	-0.523166666666667
ZNF85	-0.07975
MMP13	0.296
KIAA0329	0.850125
RTP3	-0.877
ZBED3	-0.408
CLGN	-1.549
SLC25A37	-1.23630434782609
hCG_18290	0.863
OR5AS1	0.101
SMARCC2	0.64225
FAM109A	-0.1632
CCDC12	0.16525
USF2	-0.1225
DEPDC7	-2.79775
C20orf24	-1.13116666666667
JMJD3	-0.4235
DSP	1.01292857142857
SLIC1	0.346375
FAM20A	0.6645
IRF2BP2	0.146125
ZNF230	0.1705
