Hybridization REF	TCGA-BH-A18J-01A-11R-A12D-07
ZNF83	0.052
GDPD5	-0.235125
PDCD4	0.60085
CEP350	-0.683
OR10A2	0.53575
CST7	0.5935
CIAO1	-0.70325
SELL	0.152625
OR8J3	-0.3695
LTBP4	-0.143666666666667
SIRT6	-0.3
CCL19	0.98075
PPIL1	-0.65
GBP7	0.824666666666667
STK17A	-0.5886
ABR	-0.37175
OR9G1	-0.569
FOXE1	-0.42875
CNGA3	0.0215
GML	0.436
CD38	-4.04925
ZDHHC6	0.2695
NEFH	-2.965
CTDSP2	0.833
PGBD5	-1.71916666666667
CCNY	0.641714285714286
RMND5B	1.10475
ZNF257	-1.0625
FLJ22167	-0.40025
EXOSC7	-0.964166666666667
ROR2	1.951375
MAOA	-1.91175
TNNT3	-0.0456666666666667
GYPC	-1.15
C7orf33	0.648
PLIN	0.365333333333333
LOC90826	-0.5145
RNF4	0.2876
F8A1	0.323833333333333
PLEKHG4	-1.085
GRB2	0.32635
HIST1H2AD	-0.50225
DUS3L	-1.46
EIF1	-0.6035
RP5-1077B9.4	-0.600666666666667
FPGT	1.378
GDF10	-1.27983333333333
COQ9	-0.51975
GCC2	0.0585
RARRES3	3.364
PLXNA1	-0.2771
KIAA0100	-0.7279
PMF1	-0.65325
FNDC1	5.79975
HS2ST1	-0.325416666666667
CRELD2	0.80275
C8G	-1.4945
CD82	1.35275
LIM2	-0.961
UNQ6490	0.4405
MMP16	0.01
DRD3	0.00100000000000001
C5orf26	-1.17125
C11orf73	0.029125
PTP4A2	1.403375
OR4M2	-0.225
HPCA	-0.606666666666667
SEC14L1	-0.3255
CHFR	0.248375
EMILIN1	0.92125
NDUFS4	-0.0695
COL18A1	1.035375
PDZD3	-0.0122
C9orf16	-0.399166666666667
ERBB2IP	0.266
EMX2	3.922
FUS	-0.155
TF	-3.4206
CLCN4	0.72
CXorf56	0.3335
C11orf72	-0.20925
ELAC2	-0.878666666666667
NPR1	-0.3925
ASS1	0.016
USP42	0.243875
POLR2J	-1.0985
SEC23IP	3.1915
UQCRC1	-1.147
LOC729603	-0.6075
C1orf71	0.180125
POLG	-2.038
ADAM23	-3.7915
TFR2	-1.41825
RICTOR	-1.2738
MGC39606	1.319
C19orf55	-0.194625
SNAPC1	-1.26183333333333
GNA11	0.41625
CCDC52	0.659166666666667
FSIP1	2.8435
UPF3A	-0.525
IGSF11	-2.32416666666667
LAGE3	0.36
CHST6	-2.131
UNC13B	1.599625
TTLL4	-1.153625
ZNF687	-0.090875
SDC2	0.9017
COX7A2	-0.01175
LAMB4	-0.0095
FAM24A	0.5205
LRRTM3	-0.937333333333333
GPHB5	-0.14325
OR4C13	-1.253
EIF3EIP	-0.423428571428571
HABP4	0.2105
TMEM125	4.17975
CNTN2	0.890625
ASNSD1	0.08575
FUT4	0.03925
ACF	-3.93
LOC158381	-0.067
CDH8	0.15
AGPS	0.517
C4orf18	2.698375
PECI	-0.718166666666667
UNG	-0.399125
GSTP1	0.996375
DCUN1D5	-1.55983333333333
DKFZP564J0863	0.39875
SLC9A3R1	2.077875
BCDO2	-1.030125
CHMP7	-0.164875
REM2	0.7455
DNHD1	-0.180125
FKBP4	-0.243875
ZNF350	2.45225
MGC11102	0.651125
BST1	1.18575
KISS1R	0.067
NCR2	-0.017
DEFB125	0.1335
UBE2W	0.9635
KRT15	1.0285
C10orf99	0.391
SCN11A	-0.00849999999999999
GFI1	-3.045
RDHE2	1.92316666666667
FHL1	-1.1355
OSGEP	-0.6745
GATA1	-4.05066666666667
SMC6	-0.5455
TTTY14	-0.898
LPIN3	0.10375
RPL4	-1.1016
RBPMS	0.2023
PRPF3	-0.783
EMR1	-2.15
SPATA19	0.113
XCR1	0.449
IRX3	1.5884
RBM6	-0.59475
KLF4	0.1228
UNC5CL	-0.33125
SEBOX	-0.4335
BTK	-0.72425
KRCC1	0.49075
C6orf27	0.27
SYTL5	-0.373
PRND	2.956625
LOC653319	-1.418
PIGL	-2.07325
HUS1	0.820166666666667
SFRS6	0.555666666666667
C17orf77	0.316
UIMC1	-0.415166666666667
FXYD2	-1.736
LOC283152	1.32625
ZNF667	-0.2575
ZCCHC12	-0.069
TFEC	2.0533
ATP7B	1.191
POLD2	-0.632833333333333
RG9MTD1	-0.5235
ACOT2	0.716333333333333
HIST1H4I	-0.608625
PPARGC1A	-2.2927
ETFA	-2.1191
POLRMT	-0.9925
ZNF146	0.588
MIA2	-1.2635
KLHL6	-1.01733333333333
HOXB5	0.94075
NENF	0.794
CUGBP1	0.68675
PRSS22	1.33933333333333
CASC4	1.5543
CUL4B	0.1123
CENPJ	-0.8887
PITX1	1.43033333333333
FLJ31033	0.719333333333333
CELSR3	-2.85233333333333
ZNF568	1.00875
ITSN1	0.08275
EHBP1L1	-0.317333333333333
C19orf2	-0.09375
DCTN1	0.1045
LIN28B	-3.59
TNKS2	-0.47625
C1QBP	-1.3655
CADPS2	2.4705
SRMS	0.2475
GJA9	0.346166666666667
MGC24975	-1.7735
TRIM45	-0.186833333333333
TSP50	-0.15625
TCP1	-1.0305
TMED7	0.508
CMA1	0.231
CENPL	-1.91116666666667
PTCRA	0.083
FST	-1.413
VWCE	-3.382
PAWR	0.49625
ABCC12	0.342
LDLR	-0.6509
ASTN2	0.7088
LOC441212	-0.894375
GPATCH8	-0.39575
TANC2	0.945416666666667
KIF4A	-1.6855
C18orf18	-1.40775
PGM1	-1.108
KIAA0258	2.345
CPD	1.023375
SNCAIP	-1.02625
DCT	-4.6445
HLA-DOA	2.19318181818182
OR11L1	0.164
UPK1B	1.2555
DNAJB4	-0.10625
UGT1A8	-0.2965
HIST1H4L	-0.687
PECR	-0.0136666666666667
HSPA2	3.27825
WFIKKN1	-0.6745
SERP1	0.255875
SYDE2	1.1095
TACR2	0.685
NUP85	-0.4715
CD177	-0.408166666666667
LGR5	-0.560166666666667
PIGG	0.0154166666666666
PTHR1	-0.619166666666667
RAB5A	-0.6707
FLJ13224	-0.809
USP9Y	-0.915666666666667
C7orf53	-0.2885
LRP1B	2.396
XAF1	2.1674
ABCG8	0.211
ANKDD1A	-0.709666666666667
DAND5	-0.794
SPAG6	-0.0833333333333333
LINCR	1.2765
ZDHHC22	-1.43725
CCDC60	-0.1055
THOC7	-1.78566666666667
TCTA	0.3897
OR8K3	0.3535
NY-REN-7	-0.5195
B2M	1.108
C6orf141	-3.091375
LPPR4	2.62675
SQLE	-1.03025
SEPHS1	0.1355
BTBD14B	0.988285714285714
PLRG1	-0.6975
SPG7	-0.639
ZNF614	0.381
PARD6G	0.919333333333333
INPP5B	-0.0231
GRPEL2	-0.002875
PPID	-1.106
TRIM56	-0.0435
UBE2J1	0.145875
IL20RA	3.861
LOC387856	1.147
C1orf107	0.795916666666667
UTS2R	0.3655
C19orf22	-0.413
SAFB2	-0.19475
KIAA0652	-0.00475000000000001
KLRG1	-1.02866666666667
MS4A8B	2.07516666666667
FRAG1	0.728
KIAA1546	0.08775
E2F4	-1.339
CLEC4M	-0.1155
BTBD14A	0.06675
KIAA0999	0.5294
GYPA	-3.27816666666667
TAC1	-0.1964
TRAIP	-1.96633333333333
KIAA0232	0.6645
ERCC8	-0.729
GPX4	-0.1155
KIAA0368	-0.096625
GPR157	-1.32483333333333
CTAGE4	0.284
C9orf30	-0.592833333333333
OR52A1	0.1035
HSP90B3P	0.6765
ALG9	-0.5505
BTBD10	0.98175
SDK2	0.03625
BAIAP3	0.33425
RABGGTB	-0.49425
ANKRD40	-0.253166666666667
KRT74	0.858
CALCOCO2	-0.217428571428571
SNCA	-3.5005
TMSL8	-2.517
C2orf53	-0.505
ESRRB	-0.80125
ARHGAP26	0.326875
TDRD9	-2.911
HRAS	0.877833333333333
KLRC4	-2.3395
JAGN1	-0.344333333333333
BSDC1	-0.17025
RNF43	-0.2342
NDUFAF1	-0.5085
PHF12	0.2725
OR1L3	-0.13125
FOLR2	1.89883333333333
LYZL6	-0.201666666666667
tcag7.1260	-1.8065
WSB1	-2.17683333333333
PROS1	-0.9195
OSTN	0.0955
PSMB8	0.9455
SOCS4	-0.031875
DDIT4L	1.23075
MAS1	-0.146
MGC34796	0.5015
CSHL1	0.397166666666667
TBCCD1	0.142
ZBTB7C	0.131
AP2S1	-0.25225
P15RS	-0.8605
VAT1	-0.6432
SHANK3	0.864666666666667
TUFM	-0.576333333333333
THEG	-0.1025
KRT34	-0.9765
SGSM3	-0.3195
TOMM22	-1.337875
SOCS3	0.923666666666667
CPO	0.8015
POP4	0.23375
BHLHB3	0.452
MALL	0.73475
OR1B1	0.349
PARK2	0.338
GPR124	0.74275
LCE1E	-0.0895
RUVBL2	-0.778
CGRRF1	0.529
ACPL2	0.48325
WNT10B	-1.885375
BAIAP2L2	-2.326125
ISCA1	0.315
C1orf125	-0.31375
RPAP1	-1.3755
RAI16	-0.0786666666666667
RPL27	-1.16275
NLRP9	-0.1915
EPN1	0.5705
LOC388610	-0.126375
SLC35A1	0.0516
GAL	-4.40725
SLC14A2	0.16275
RDH11	-0.4975
FAM138F	-0.157
AUH	-0.1605
FLJ40243	0.23375
C14orf129	0.5065
MBD2	-0.0673333333333334
ABHD14B	-1.25
PIGT	0.37325
ALS2CR4	-0.3325
ALAS1	-0.5275
FOXO1	0.592166666666667
CRLF3	-0.45975
C20orf107	-1.551
FARS2	0.62275
CCDC28A	0.17325
NPHP3	-0.9145
OR13F1	0.4445
TSEN54	-0.53975
DEFB106B	0.3579
OR8B4	0.00800000000000001
STH	0.903
ZC3H14	-1.038
CBX2	-0.3615
TMEM49	-0.819
C6orf21	0.6315
FLJ20920	-0.219375
CRTAP	-0.372428571428571
DDX50	-0.05375
STYXL1	0.0285
BLVRB	-0.869166666666667
LOC147650	-0.5695
MMP24	0.245
GRID1	2.4685
BANF1	-0.2855
CTAGEP	0.01425
HMBS	-2.74575
SLC25A24	0.5945
C14orf50	1.146
MRO	0.784166666666667
SLC25A15	-0.77775
FAM84B	0.5863
TDP1	-1.5355
C16orf78	0.0215
C11orf57	-0.7065
RFK	-0.275875
ZFYVE9	-0.141375
STCH	-0.5479
WIBG	0.7445
LOC283871	-0.0176666666666667
GBA2	-0.0346
NDUFB3	-0.05825
HSD17B13	-0.675
GRIN3A	0.442666666666667
FMNL1	-1.05533333333333
SEPT7	-0.0573
GNLY	0.773
GRAMD1C	0.0706666666666667
ZNF165	-0.29
USP38	0.409
FAM83A	-2.09483333333333
C14orf24	0.586166666666667
ARMCX3	0.68775
ARHGDIB	0.165
AK1	0.05975
KIAA1045	0.33425
DNAJB13	-0.4405
NEU2	-0.016
HIST1H4B	-0.706666666666667
FAM20B	-0.8576
HES2	1.4895
FAM73B	-0.2046
LOC388381	-0.45825
INTS7	-0.0277272727272727
AMPH	2.622
ZNF775	-0.04
UCKL1	-0.831166666666666
C10orf97	0.323
C1orf161	-0.029
ALDH1L1	-1.498
FLJ39378	-0.04675
SLC23A1	-1.2735
RBM4B	0.352
THAP4	0.0953333333333333
OGFRL1	1.095
KIAA0831	-0.09075
PPP1R15A	-0.085
C1orf96	-0.0271428571428572
C12orf11	-1.8365
BMF	0.7485
MAN1A1	-1.092125
KIAA1600	0.670166666666667
NLGN4X	0.03525
ALOX12	-1.67166666666667
RB1CC1	0.0488
NEIL2	-0.0709
EIF4E	-0.408590909090909
ABHD5	-0.41975
EXOC4	-0.296666666666667
CIP29	-0.592
BATF2	0.057
SLC29A4	0.13325
HTR4	-0.43075
EMB	-1.40025
TRAF6	0.752
LMNB1	-0.83225
FAM19A5	-1.21875
SHE	1.3465
PIK3C2B	1.47225
C15orf15	-1.4748
USP15	-0.36
TCEAL2	0.4795
C5orf39	-0.9305
PTGER2	-0.18325
SLC31A1	-0.068
IFT172	0.28025
ADAM29	-0.102
GFOD1	0.9555
ST7L	0.781333333333333
C15orf26	-2.746
PKN3	-1.80325
CNTD1	0.676666666666667
COMMD1	0.527375
NTRK2	2.56516666666667
FOXN3	-0.014375
MFGE8	0.1214
PFKFB2	1.9635
TAS2R4	-0.07775
ENTHD1	-0.0488333333333333
PRMT5	-0.904375
MGC16384	-1.515625
LOC442229	0.31525
TSKU	0.434125
KRTCAP3	0.9105
PDLIM1	0.6116
KCNS2	0.28675
RNF126	-1.59416666666667
CEP63	0.60075
CLIC4	-0.191
hCG_1990170	-1.1795
ACR	0.2833
KLK7	1.406
ALOX5AP	2.958
RIPK3	1.9595
TAS2R9	-0.0315
C19orf18	0.427
BIRC6	0.398214285714286
ZNF16	1.0095
RFT1	-1.061
SLC8A2	-0.83525
TACC1	0.435625
ITGAD	0.824666666666667
SAMHD1	1.1045
SH3PXD2B	1.4598
EPC2	0.92525
C20orf85	1.010625
ATP13A2	0.115666666666667
KRT4	1.8325
CAPNS1	0.125
MDM2	0.032
PCDH20	0.97325
KCNK9	-0.0715
OR2C1	0.165
KLHDC3	-0.8845
IPPK	0.682
EFHD2	-0.3465
GALR3	0.34425
NBEA	1.551
ABCA6	2.1277
CLDN3	2.4375
AKT2	0.52
EGFR	-2.6012
RBM16	0.27025
ZDHHC3	0.1815
SLC25A4	-0.773833333333333
CYB5B	-1.43233333333333
CPXM1	-1.2355
NDRG1	-0.137153846153846
FLJ43826	0.1255
OR5L2	-0.373333333333333
FARP2	0.7582
MRPL46	-0.55925
LDHAL6B	-0.222833333333333
MAPKAPK3	-1.18083333333333
NCAM2	-1.26575
PRKD2	0.735166666666667
ZFP36L1	1.7049
CYSLTR1	0.07
OR4C3	-0.60825
HIST1H2AJ	1.162
CCNB2	-2.99211111111111
ZNF10	0.24475
TMEM175	0.226
FAM134A	0.625666666666667
TIGD4	0.3855
PCNP	-0.7595
MGC39715	0.00124999999999999
LQK1	-2.53075
CREB1	0.6758
TMPRSS3	2.7655
C4orf32	0.303125
LAT	-2.58408333333333
KCNA3	0.294
SKIV2L2	-0.55075
ROPN1B	-2.891
tcag7.23	0.018
CDT1	-3.07525
ZHX2	0.990875
CD28	-3.1225
ZNF624	0.69425
SEPT2	0.906
SOHLH2	-1.211875
MCOLN3	-0.7
UNQ1945	0.4255
MASP2	-0.856
ZNRF3	0.2227
GPATCH3	-0.339
AGL	1.188375
QRICH2	0.5445
PSD4	0.815166666666667
CCNB1IP1	-1.89025
ENPP7	0.14825
OBFC1	0.33175
KCNG3	-2.453
C14orf79	0.65375
ENPEP	3.06333333333333
SCT	2.996
SKI	0.72575
SEC61G	-0.64975
CAPN11	0.08575
ATXN7L3	-0.344
DBNDD1	-0.3295
FAIM	0.09325
ANKRD36	-0.946
GABRP	0.548
TACSTD2	2.20383333333333
EIF3J	-1.31925
PPP2R2A	-0.37075
TEKT4	0.093
PVALB	-4.02766666666667
F10	-2.26383333333333
FAM134C	0.4087
COMP	5.219375
EFCBP1	-2.4380625
SCLT1	-0.03875
TAL1	-1.1305
ACSL1	0.62125
ABCC5	1.03083333333333
ABL1	-0.324055555555556
RBBP7	-0.224083333333333
PTPRG	-0.161
NCOR1	-0.2035
SPINK4	2.41283333333333
TXNRD1	-1.3708
TNRC15	1.2095
C9orf138	0.281
UBE2H	1.349
BRDT	1.09833333333333
C8orf31	0.28375
CCNE2	-1.33145454545455
SLC6A8	-1.24225
CALCR	-3.05025
PPP1CB	-0.0479166666666666
ABHD8	0.93725
ARF5	0.8281
SLC24A4	0.49375
CCT3	-0.319
ZNF121	0.36625
SLC3A2	-0.9345
OR13A1	0.1485
SLC5A10	-0.13925
RAD50	0.938375
IER5	-0.269875
MTHFD1L	-2.034875
MBTPS2	0.2365
MVK	-0.817375
NCL	-0.3307
PSMD10	-0.277
MOBP	-0.04875
FLJ32894	-0.6725
HRH1	-0.122333333333333
C5orf30	0.533
NUDT16L1	0.8131
RASGRP3	3.358
PRKRIP1	-0.2478
CCDC75	0.72725
LOC253970	0.123
KIAA1239	0.15225
MED21	-0.11775
SYT11	0.6625
NTSR2	-0.6605
EGFL11	0.209
CXorf59	-0.2975
OR2A25	-0.02975
SPTBN2	0.375
LRMP	-1.516
RNF111	-0.47425
PTH	-0.29
LOC619208	0.728333333333333
KIAA0895	0.50325
RANBP5	-0.668375
P2RY10	-0.610833333333333
NME5	2.917
DDX21	-1.218
LRSAM1	0.3065
HDAC11	0.354833333333333
VMO1	2.458
NOLA2	-0.183833333333333
ADAR	0.391166666666667
MTO1	-0.959833333333333
SF4	0.890166666666667
P2RX1	-0.392
HBM	0.0915
EN2	0.1145
C14orf172	-0.4405
TM9SF2	0.9099
INHBE	-0.991666666666667
TCTE3	-0.0284166666666667
TOX2	-1.25225
CTAGE3	0.33975
HBB	2.2687
MED15	-0.786166666666667
CASR	-0.28325
C6orf66	-1.12116666666667
MTPN	0.268
UNC50	0.10925
C21orf33	0.118125
IRF2	0.6385
PGR	0.497166666666667
GPR84	2.05975
CROCCL1	-3.195
SRPX	-0.8225
BRE	0.314
FGF10	0.9025
SDC3	-1.599
ZRSR1	0.393
DKFZP434P211	-0.672125
SOX6	0.688
RPUSD2	-1.05375
C14orf173	-0.238416666666667
MAPK11	-0.293833333333333
TBC1D22A	0.401
FAM123A	0.1365
COL4A6	-1.51116666666667
TOMM70A	-0.2845
NAB1	-0.5385
MGC16385	-0.2215
TSPAN18	0.640833333333333
MED31	-0.8265
PLG	-0.485
CAPSL	4.405
ZNF532	1.7932
ASB14	-0.3825
CA8	-0.5915
NUDT16P	1.93266666666667
SLFN11	-0.5075
LRRIQ2	0.43
NOL7	-0.559
BRMS1L	-0.412
JARID1A	0.743833333333333
PANK2	0.23325
ICAM3	-0.179
MDS1	0.21125
TAF8	-0.681
RNF139	0.807
ZNF594	0.1545
ADAM8	2.139875
SFTPC	-0.18825
MAN2B2	1.513125
RGS12	0.7054375
EIF1AY	-4.52633333333333
LRRIQ1	1.027
GPR150	0.59225
CCDC21	-1.05033333333333
PRRG3	0.61975
SAA4	-4.23525
RAPGEF5	1.328625
ZCCHC2	0.478416666666667
MGC39372	1.2465
PPP4R2	-0.249666666666667
CDCA2	-2.13466666666667
OR4D5	0.348333333333333
PTGFRN	2.0283
SIGLEC5	2.29683333333333
C19orf61	-0.248666666666667
NMUR2	0.516
KIAA1586	-1.47866666666667
DAGLA	0.171166666666667
CHCHD6	-0.30525
GPR32	0.781
NEUROD6	-0.618333333333333
SLC2A4RG	0.5794375
CA5B	0.44125
FBXL3	0.89925
MPHOSPH9	-0.85525
HMG2L1	-0.1615
HCN4	0.192666666666667
CEACAM19	0.79925
SH2D4B	-0.291666666666667
HFE2	-0.297
TGM4	0.232666666666667
LYPD2	-0.116
TBC1D15	-0.2055
MRPS21	-1.2541
NONO	-0.9107
CLEC5A	2.65575
ITCH	-0.3452
MGAT3	-1.317
MBP	-0.221625
RPP25	-0.781
SOSTDC1	-1.90775
HRC	-1.49375
TRIM48	0.1705
TMEM133	0.3605
ECEL1P2	-0.89
HOXC11	0.6285
DOK5	-0.94225
HELZ	0.0693333333333333
LOC348180	-1.2245
MGC33894	0.36375
ADRB3	0.047
DMD	-0.46525
PTRH2	-0.85525
MPEG1	2.47633333333333
NDUFA12	-0.1175
KRTAP2-4	0.15275
STAMBPL1	-1.12883333333333
ADCY2	1.186
UNQ6125	0.263
KLHL20	-0.670166666666667
SRM	-0.92875
OTC	0.1475
TMIE	-0.0728333333333333
SNX8	-0.22075
LIPK	-0.402
CHURC1	1.17075
KLC2	0.124333333333333
HDAC1	-0.852833333333333
FAM128A	0.5485
FNDC3B	0.5058
MTCP1	-0.0846666666666667
WFDC10B	-0.00589999999999998
PCDHGB3	1.4145
ATRNL1	-0.1636
CAV2	-0.604375
MED26	0.723333333333333
DUS1L	-0.12425
CHRM3	-1.563
NEK9	0.33375
WARS2	0.548
TBX22	1.325
TOMM40	-0.64825
RP6-213H19.1	-1.69016666666667
TUBGCP5	-1.321
IGSF6	5.30925
TPPP	1.5765
UNQ6190	0.503
GSTM5	0.47125
BTD	2.13016666666667
PDCD1LG2	-0.144166666666667
SNRPB2	-0.398
ERICH1	-0.7755
APOA4	-1.645
HOXA11	-0.72675
NARG1	-0.804125
MKX	0.4485
RAB28	-0.171785714285714
PKP3	1.0055
SH3GL2	-3.10375
CTSO	1.87575
RPN2	0.495
IL28RA	-0.901333333333333
SFMBT1	-0.38425
WDR57	-1.21075
FER1L3	0.603666666666667
HSF5	0.557333333333333
TTC9B	0.00600000000000001
C4BPA	-3.36683333333333
ALB	-3.96264285714286
SORBS3	0.150375
UPF2	0.0175
JPH1	0.9145
AGBL2	-1.27675
DOPEY1	1.413
TERF1	-0.239083333333333
KIF22	-0.561166666666667
NINJ1	1.9055
SEC61A2	0.163666666666667
HIST1H1D	-0.922333333333333
SFXN4	0.991625
UCP3	0.8189
ZNF703	0.365833333333333
MYL6B	-0.0365
TREM1	2.49325
OR52E6	0.109
CKMT2	0.71325
HLA-C	2.232875
SLC13A3	-1.54966666666667
TIMP4	-1.465
SLIT2	2.27625
RSF1	0.580222222222222
LONRF1	-1.6455
MON1A	-0.3895
CACNG6	-1.54516666666667
DPPA4	-5.636
ZSWIM3	0.22075
ZNF804A	0.4885
CCIN	2.2385
SLC25A31	0.2005
KCNMB4	-0.14175
RABL5	0.803375
GALNS	-0.318
STX6	0.267875
HIST1H1C	-3.29316666666667
CIDEB	-0.746125
CASP4	-0.3655
PDK3	0.3884
KCNJ11	1.869
TPR	-1.39025
ZSCAN20	-0.127
MTX2	-0.14375
HIST1H2BH	-0.287
LOC283767	1.20025
LYRM7	-1.66444444444444
BRD3	-0.1455
HIST1H2BO	-0.74175
MAGEB10	-0.2825
SLC45A1	0.926
SERPINA3	2.0278
KIAA0143	0.89625
KCNJ16	0.425333333333333
KRT79	0.3475
FABP2	-0.82475
NUT	0.201666666666667
ZNF57	-0.381
FBXL4	0.37125
CLEC9A	-0.73
UGT8	-1.034
BMP2K	0.1315
MAPK4	-3.8445
SLC25A23	-0.3135
HINT1	-0.5679
KRTAP13-1	0.96
SFXN5	-0.0709
CHCHD2	-0.02625
FAM3D	0.741
NDP	-1.9885
RHOBTB1	0.608
SLC4A4	3.365875
RPL38	-0.11275
HTF9C	-1.23683333333333
AP2A2	0.805875
ZBTB46	-0.3895
MAP7D1	0.49725
AOX1	-0.6415
CYR61	1.24941666666667
DTNA	-0.492357142857143
JRKL	-0.032
TMOD3	-0.036
EEA1	0.0616
ADCK5	-0.083
IL1R1	1.708
KLK3	0.249714285714286
HRSP12	-0.7235
KTN1	0.8935
LOH11CR2A	1.1846
RELL2	-2.06775
MAB21L1	0.823
C20orf59	-1.25283333333333
PHKB	-0.13575
ADAM2	-1.195
TBC1D8B	0.754
FAM13A1	-0.2888125
LAPTM4B	-0.251916666666667
LCN8	0.2775
TMEM147	0.6165
SYT4	0.4178
XPO7	-1.366
C9orf62	0.2975
GPR75	0.2075
TRIM5	0.71075
APOC1	0.0075
RNASE4	0.0345
PARD6B	-1.686375
ARID1A	0.579666666666667
TPD52L3	0.4151
RRAGB	0.982166666666667
RCN2	-0.838833333333333
HIST2H2BE	-0.967125
STARD7	-0.03725
SHMT2	-1.0265
KIAA1751	0.0793333333333333
MLYCD	-0.14275
LOC162632	-0.1083
UQCRH	-1.00375
RP11-217H1.1	0.3016875
SDHA	-1.358
NCLN	-0.3072
ZNF17	0.726833333333333
RCBTB2	-1.561
VEGFB	0.6514
RP4-747L4.3	-0.65725
COLQ	2.4602
MPN2	1.78516666666667
DRG2	-0.77425
KLRB1	2.30475
ALPK2	-0.60625
DNASE2B	0.68675
FLJ23834	1.09566666666667
AXUD1	0.0791666666666667
SAFB	-0.2588
NSUN4	0.13525
RFX2	0.745166666666667
MAPK8IP1	0.4665
FANCD2	-0.917214285714286
ANKZF1	-1.42483333333333
C19orf50	0.543625
DUSP8	0.885125
SENP5	0.508
NFKBIL2	-0.6375
LBR	-1.979375
IGFL1	1.2435
LZTS2	0.688
IL2RG	-1.287875
CCDC51	-0.88025
KLF3	0.52
ANKRD37	-1.18575
KCTD14	-1.64383333333333
FZR1	-0.353833333333333
SLC44A4	4.1598
ESPL1	-1.162
GMPR2	-0.4792
TBC1D19	0.6025
ERGIC1	0.706111111111111
ERBB4	2.1371
TSPAN32	-0.0805000000000001
MAP4	-0.361125
GPHN	-1.43175
SLC6A2	-0.293375
HIVEP1	0.9045
DFFB	-0.6997
EIF4EBP2	0.596
DMRT1	1.163
HSPB6	-0.24175
IER2	0.514833333333333
AIFM1	-0.34
WWC2	-0.119181818181818
MRPL4	-0.41325
FLJ21062	0.922833333333333
EPB41L4A	1.19483333333333
SH2D6	-0.35525
TAF4B	-1.38675
GAL3ST3	-0.6365
MALT1	-0.293833333333333
RTDR1	-0.86875
ARVCF	-0.354
MEX3B	-0.472166666666667
FBXO16	1.17875
KIF7	-0.201
C1QC	4.029
ZNF783	-0.105666666666667
ZNF85	0.89075
MMP13	4.8655
KIAA0329	0.094625
RTP3	0.055
ZBED3	-0.3545
CLGN	-0.61625
SLC25A37	-1.90475
hCG_18290	-0.9155
OR5AS1	-0.2105
SMARCC2	-0.132166666666667
FAM109A	0.176666666666667
CCDC12	-0.53475
USF2	0.4793
DEPDC7	-1.07675
C20orf24	-0.3635
JMJD3	0.451
DSP	2.43685714285714
SLIC1	0.103875
FAM20A	1.270875
IRF2BP2	0.33775
ZNF230	0.348
MSN	-0.00507142857142856
SLC9A5	-1.657
EPDR1	-1.1546
MUSK	0.151166666666667
