Hybridization REF	TCGA-BH-A18N-01A-11R-A12D-07
SELL	0.659625
OR8J3	0.355
LTBP4	-0.771833333333333
SIRT6	0.081
CCL19	1.9775
PPIL1	-1.52833333333333
GBP7	0.481
STK17A	-1.5092
ABR	0.2155
OR9G1	-0.5565
FOXE1	-1.099625
CNGA3	0.0515
GML	0.013
CD38	-4.48875
ZDHHC6	0.0235
NEFH	-3.0795
CTDSP2	1.17483333333333
PGBD5	-0.411
CCNY	-0.3105
RMND5B	1.13816666666667
ZNF257	0.11425
FLJ22167	0.60275
EXOSC7	-0.4075
ROR2	0.829375
MAOA	3.019125
TNNT3	0.0131666666666667
GYPC	-1.79175
C7orf33	0.0565
PLIN	2.40633333333333
LOC90826	0.70575
RNF4	0.1616
F8A1	1.19483333333333
PLEKHG4	-2.2
GRB2	1.022
HIST1H2AD	0.50875
DUS3L	-0.601666666666667
EIF1	-0.0546666666666667
RP5-1077B9.4	-1.12533333333333
FPGT	2.0215
GDF10	-1.69683333333333
COQ9	-0.88625
GCC2	0.302642857142857
RARRES3	2.21925
PLXNA1	-0.8354
KIAA0100	-0.8159
PMF1	-0.68625
FNDC1	4.67775
HS2ST1	-0.627
CRELD2	-0.5595
C8G	-1.993
CD82	-0.64525
LIM2	-1.1585
UNQ6490	-1.478
MMP16	0.724
DRD3	-0.562
C5orf26	-0.607
C11orf73	-0.833875
PTP4A2	1.674625
OR4M2	0.069
HPCA	-1.048
SEC14L1	-0.175
CHFR	-0.52125
EMILIN1	0.363875
NDUFS4	0.866
COL18A1	0.24675
PDZD3	-0.2113
C9orf16	-0.292333333333333
ERBB2IP	0.846666666666667
EMX2	1.74325
FUS	-0.337
TF	-4.3097
CLCN4	-1.05033333333333
CXorf56	0.376
C11orf72	-0.078
ELAC2	-0.298916666666667
NPR1	-0.4785
ASS1	0.1785
USP42	-0.422625
POLR2J	-0.4515
SEC23IP	0.926666666666667
UQCRC1	0.02825
LOC729603	-0.31725
C1orf71	-0.39575
POLG	-1.7865
ADAM23	-4.24
TFR2	-1.73
RICTOR	-0.0597
MGC39606	1.00475
C19orf55	-0.174875
SNAPC1	-2.3105
GNA11	0.736875
CCDC52	0.7695
FSIP1	3.276
UPF3A	0.185375
IGSF11	-2.47433333333333
LAGE3	-0.895
CHST6	-2.966
UNC13B	0.4585
TTLL4	-1.833625
ZNF687	-0.435125
SDC2	0.0871
COX7A2	-0.195
LAMB4	-0.2995
FAM24A	0.38
LRRTM3	-1.3836
GPHB5	-0.29325
OR4C13	0.831
EIF3EIP	-0.613785714285714
HABP4	0.084
TMEM125	3.54025
CNTN2	-0.12475
ASNSD1	-0.73125
FUT4	-0.517
ACF	-4.10975
LOC158381	1.5865
CDH8	1.743
AGPS	-1.41016666666667
C4orf18	4.3935
PECI	-0.282333333333333
UNG	-0.4525
GSTP1	-2.6645
DCUN1D5	-1.23033333333333
DKFZP564J0863	-1.80375
SLC9A3R1	1.43475
BCDO2	0.21675
CHMP7	-0.988375
REM2	0.2895
DNHD1	-0.59225
FKBP4	0.819
ZNF350	1.65875
MGC11102	0.119
BST1	0.862
KISS1R	-0.219
NCR2	0.7665
DEFB125	0.5625
UBE2W	1.359625
KRT15	3.880875
C10orf99	-0.219
SCN11A	0.1124
GFI1	-3.90925
RDHE2	4.32833333333333
FHL1	-2.10683333333333
OSGEP	-0.546333333333333
GATA1	-3.61183333333333
SMC6	-1.31825
TTTY14	-1.34
LPIN3	0.658
RPL4	-0.646
RBPMS	-0.8953
PRPF3	-0.5425
EMR1	-2.283
SPATA19	-0.0997499999999999
XCR1	0.7165
IRX3	2.4249
RBM6	-0.32325
KLF4	-2.5424
UNC5CL	0.98025
SEBOX	0.072
BTK	-1.30525
KRCC1	0.804
C6orf27	1.252
SYTL5	1.5225
PRND	1.232125
LOC653319	-1.3565
PIGL	0.0645
HUS1	-0.482333333333333
SFRS6	-0.367166666666667
C17orf77	0.0765
UIMC1	-0.047
FXYD2	-2.2407
LOC283152	1.95325
ZNF667	-2.0695
ZCCHC12	-0.25025
TFEC	2.7956
ATP7B	-1.06266666666667
POLD2	-1.335
RG9MTD1	-0.11575
ACOT2	0.851166666666667
HIST1H4I	-1.10175
PPARGC1A	-3.5798
ETFA	-0.6672
POLRMT	-0.094
ZNF146	-0.117
MIA2	-4.197
KLHL6	-1.50916666666667
HOXB5	-1.023
NENF	0.263833333333333
CUGBP1	-0.4525
PRSS22	1.4685
CASC4	2.0544
CUL4B	-0.0658
CENPJ	-1.2901
PITX1	-2.47766666666667
FLJ31033	1.318
CELSR3	-2.017
ZNF568	1.347
ITSN1	-0.784416666666667
EHBP1L1	-1.0295
C19orf2	-0.5055
DCTN1	0.38425
LIN28B	-5.66466666666667
TNKS2	0.2435
C1QBP	0.003875
CADPS2	0.644
SRMS	0.4225
GJA9	0.185166666666667
MGC24975	0.123166666666667
TRIM45	0.158833333333333
TSP50	0.37725
TCP1	-0.98575
TMED7	1.426
CMA1	-0.726
CENPL	-1.95783333333333
PTCRA	-0.594
FST	-2.42275
VWCE	-4.464
PAWR	-0.07575
ABCC12	0.786
LDLR	-1.2525
ASTN2	0.1052
LOC441212	-1.022375
GPATCH8	-0.0645
TANC2	-0.305166666666667
KIF4A	-2.686
C18orf18	-0.5495
PGM1	-0.88025
KIAA0258	0.10575
CPD	1.096625
SNCAIP	-2.2815
DCT	-4.7955
HLA-DOA	2.73936363636364
OR11L1	0.303
UPK1B	-0.278
DNAJB4	-0.528375
UGT1A8	-0.16025
HIST1H4L	-1.6295
PECR	-1.389
HSPA2	1.562
WFIKKN1	-1.7125
SERP1	1.79475
SYDE2	1.8915
TACR2	0.0845
NUP85	-0.85025
CD177	-0.800833333333333
LGR5	-2.5406
PIGG	0.891083333333333
PTHR1	-2.2805
RAB5A	0.6168
FLJ13224	-0.8625
USP9Y	-2.19916666666667
C7orf53	-0.9355
LRP1B	-1.6985
XAF1	1.1329
ABCG8	-0.2185
ANKDD1A	-0.763666666666666
DAND5	-1.69
SPAG6	-0.1375
LINCR	-0.20475
ZDHHC22	-0.0845
CCDC60	1.972
THOC7	-1.2535
TCTA	2.0784
OR8K3	0.244333333333333
NY-REN-7	0.126666666666667
B2M	0.720833333333333
C6orf141	1.35275
LPPR4	2.743
SQLE	-2.729125
SEPHS1	-0.90625
BTBD14B	0.360714285714286
PLRG1	-0.1935
SPG7	-0.788375
ZNF614	-0.469833333333333
PARD6G	0.537
INPP5B	-1.2915
GRPEL2	0.036
PPID	-0.5815
TRIM56	-0.36975
UBE2J1	-0.2
IL20RA	0.55625
LOC387856	0.0595
C1orf107	0.139333333333333
UTS2R	-0.36625
C19orf22	0.493
SAFB2	0.117125
KIAA0652	0.05525
KLRG1	-1.779
MS4A8B	4.34933333333333
FRAG1	0.05425
KIAA1546	0.63175
E2F4	-1.2156
CLEC4M	-0.156166666666667
BTBD14A	-1.46525
KIAA0999	1.1521
GYPA	-3.5402
TAC1	0.9517
TRAIP	-1.62433333333333
KIAA0232	1.2422
ERCC8	-0.9435
GPX4	1.25075
KIAA0368	-0.29575
GPR157	-1.09466666666667
CTAGE4	1.1
C9orf30	-1.70083333333333
OR52A1	-0.3225
HSP90B3P	-0.241
ALG9	-0.4645
BTBD10	0.37525
SDK2	1.29075
BAIAP3	1.3435
RABGGTB	-0.149875
ANKRD40	0.591833333333333
KRT74	0.9765
CALCOCO2	0.190142857142857
SNCA	-3.789
TMSL8	-3.5555
C2orf53	0.3685
ESRRB	-0.27375
ARHGAP26	-2.060375
TDRD9	-3.29075
HRAS	0.182333333333333
KLRC4	1.0935
JAGN1	0.3795
BSDC1	0.3615
RNF43	-0.2579
NDUFAF1	0.67825
PHF12	0.651
OR1L3	0.4865
FOLR2	1.44691666666667
LYZL6	-0.0655
tcag7.1260	-2.5415
WSB1	-1.57983333333333
PROS1	-1.2
OSTN	0.0805
PSMB8	0.43025
SOCS4	0.124
DDIT4L	3.6115
MAS1	0.1795
MGC34796	2.0195
CSHL1	-0.0408333333333333
TBCCD1	-0.0931666666666667
ZBTB7C	0.343
AP2S1	0.127125
P15RS	0.899
VAT1	-0.7678
SHANK3	0.898833333333333
TUFM	0.328333333333333
THEG	-1.49925
KRT34	-1.74475
SGSM3	-0.053875
TOMM22	-0.251625
SOCS3	0.646333333333333
CPO	2.7655
POP4	0.39875
BHLHB3	-0.32475
MALL	0.83175
OR1B1	0.892
PARK2	0.332166666666667
GPR124	0.405
LCE1E	-0.78
RUVBL2	-0.314
CGRRF1	1.0091
ACPL2	0.267
WNT10B	-3.3985
BAIAP2L2	-2.383625
ISCA1	-0.0865
C1orf125	0.16675
RPAP1	-0.22775
RAI16	-1.18566666666667
RPL27	-0.336
NLRP9	0.259
EPN1	0.197
LOC388610	-1.291125
SLC35A1	0.5198
GAL	-4.88575
SLC14A2	0.221
RDH11	-0.5955
FAM138F	-0.2115
AUH	0.97025
FLJ40243	-0.1745
C14orf129	0.573166666666667
MBD2	-0.383333333333333
ABHD14B	0.49925
PIGT	1.094625
ALS2CR4	-0.97525
ALAS1	0.3736
FOXO1	0.656166666666667
CRLF3	-0.546625
C20orf107	0.5715
FARS2	0.6625
CCDC28A	0.70025
NPHP3	-0.502
OR13F1	0.05
TSEN54	-0.60475
DEFB106B	0.1382
OR8B4	-1.1345
STH	2.58275
ZC3H14	-0.418125
CBX2	0.008
TMEM49	-0.454
C6orf21	-0.213
FLJ20920	1.643
CRTAP	-0.265857142857143
DDX50	-0.4015
STYXL1	-0.01175
BLVRB	0.681333333333333
LOC147650	0.870666666666667
MMP24	-0.103
GRID1	1.73466666666667
BANF1	-0.254333333333333
CTAGEP	0.21325
HMBS	-1.7905
SLC25A24	0.809
C14orf50	2.68075
MRO	0.760166666666667
SLC25A15	0.24225
FAM84B	2.0236
TDP1	-1.078
C16orf78	0.2165
C11orf57	-0.519375
RFK	-0.848125
ZFYVE9	0.8095
STCH	-1.3496
WIBG	0.43175
LOC283871	0.671166666666667
GBA2	-0.2953
NDUFB3	-0.2515
HSD17B13	-0.83225
GRIN3A	-0.2346
FMNL1	-1.175
SEPT7	-0.5127
GNLY	1.0305
GRAMD1C	2.2915
ZNF165	0.98125
USP38	1.1885
FAM83A	-3.132
C14orf24	0.367
ARMCX3	0.91425
ARHGDIB	0.374333333333333
AK1	0.336
KIAA1045	-0.843666666666667
DNAJB13	-0.855833333333333
NEU2	0.2015
HIST1H4B	-1.6575
FAM20B	-0.5257
HES2	-0.375571428571429
FAM73B	-0.3229
LOC388381	0.5435
INTS7	-1.14390909090909
AMPH	0.41125
ZNF775	-0.81925
UCKL1	-0.705333333333333
C10orf97	0.51775
C1orf161	-0.76475
ALDH1L1	-1.07225
FLJ39378	0.36825
SLC23A1	-1.4165
RBM4B	0.319
THAP4	0.119166666666667
OGFRL1	0.5785
KIAA0831	0.179625
PPP1R15A	-0.795333333333333
C1orf96	-0.686571428571429
C12orf11	-2.411
BMF	0.245875
MAN1A1	2.041125
KIAA1600	0.545666666666667
NLGN4X	-2.272
ALOX12	-1.4222
RB1CC1	0.9075
NEIL2	0.0929
EIF4E	0.0325454545454545
ABHD5	0.17075
EXOC4	-0.231333333333333
CIP29	-0.1755
BATF2	0.01675
SLC29A4	-1.462
HTR4	0.58525
EMB	0.60075
TRAF6	0.424
LMNB1	-3.505
FAM19A5	0.960625
SHE	1.87825
PIK3C2B	0.7655
C15orf15	-0.6192
USP15	-0.0982
TCEAL2	0.25425
C5orf39	-1.25416666666667
PTGER2	1.75475
SLC31A1	-0.49875
IFT172	0.119
ADAM29	0.852
GFOD1	-0.8335
ST7L	0.1565
C15orf26	-4.2725
PKN3	-1.50725
CNTD1	2.21033333333333
COMMD1	0.347125
NTRK2	5.71175
FOXN3	0.378
MFGE8	-0.8377
PFKFB2	-0.581166666666667
TAS2R4	-0.21425
ENTHD1	-0.6395
PRMT5	-0.983625
MGC16384	-1.176875
LOC442229	-1.30775
TSKU	2.07225
KRTCAP3	-0.867875
PDLIM1	-0.0268
KCNS2	-0.232666666666667
RNF126	-0.314333333333333
CEP63	0.624375
CLIC4	0.781
hCG_1990170	-1.80025
ACR	0.4968
KLK7	0.00174999999999998
ALOX5AP	3.21575
RIPK3	3.72725
TAS2R9	0.2085
C19orf18	2.7565
BIRC6	0.190214285714286
ZNF16	1.4655
RFT1	0.0765
SLC8A2	-0.7315
TACC1	-0.9455
ITGAD	0.477
SAMHD1	0.22
SH3PXD2B	0.3803
EPC2	0.864
C20orf85	0.376
ATP13A2	-0.0298333333333333
KRT4	0.281125
CAPNS1	0.208
MDM2	0.203666666666667
PCDH20	5.89675
KCNK9	1.1575
OR2C1	0.511
KLHDC3	-0.810166666666667
IPPK	0.381
EFHD2	-0.776875
GALR3	-0.44075
NBEA	0.291
ABCA6	1.8866
CLDN3	1.25083333333333
AKT2	0.371571428571429
EGFR	-3.6789
RBM16	0.10675
ZDHHC3	-0.2752
SLC25A4	-0.21
CYB5B	-0.681
CPXM1	-1.409
NDRG1	-0.922615384615385
FLJ43826	-0.04875
OR5L2	0.0284
FARP2	0.00760000000000001
MRPL46	-0.0608333333333333
LDHAL6B	0.0385
MAPKAPK3	-0.512833333333333
NCAM2	-1.72675
PRKD2	0.242166666666667
ZFP36L1	0.9501
CYSLTR1	-0.59525
OR4C3	0.69
HIST1H2AJ	2.634
CCNB2	-2.76988888888889
ZNF10	-0.9265
TMEM175	0.093
FAM134A	0.779833333333333
TIGD4	0.56
PCNP	0.54725
MGC39715	-0.3095
LQK1	-0.8255
CREB1	0.7293
TMPRSS3	-0.4945
C4orf32	1.890625
LAT	-2.39175
KCNA3	-1.9605
SKIV2L2	-0.6785
ROPN1B	-2.90525
tcag7.23	0.242
CDT1	-3.341125
ZHX2	1.2165
CD28	-4.02375
ZNF624	1.29825
SEPT2	0.27
SOHLH2	-2.16233333333333
MCOLN3	2.665
UNQ1945	-0.159
MASP2	-1.9385
ZNRF3	0.3732
GPATCH3	-0.11725
AGL	-0.307875
QRICH2	-0.3795
PSD4	1.29983333333333
CCNB1IP1	-2.31325
ENPP7	0.0965
OBFC1	0.4525
KCNG3	-2.4005
C14orf79	1.15083333333333
ENPEP	2.98266666666667
SCT	0.9635
SKI	0.4395
SEC61G	-1.41075
CAPN11	-0.21475
ATXN7L3	0.088
DBNDD1	-1.01783333333333
FAIM	1.95175
ANKRD36	-0.83
GABRP	1.21316666666667
TACSTD2	0.875833333333333
EIF3J	-0.50575
PPP2R2A	-1.645
TEKT4	0.106666666666667
PVALB	-4.0225
F10	-3.357
FAM134C	1.1796
COMP	3.8595
EFCBP1	-2.45875
SCLT1	-0.14275
TAL1	-1.3192
ACSL1	0.76475
ABCC5	-0.581333333333333
ABL1	-0.814611111111111
RBBP7	1.03516666666667
PTPRG	1.209
NCOR1	0.9562
SPINK4	-0.7235
TXNRD1	-2.0068
TNRC15	0.5805
C9orf138	0.505625
UBE2H	1.21733333333333
BRDT	5.933
C8orf31	-0.15225
CCNE2	-1.53436363636364
SLC6A8	-1.617
CALCR	-4.52925
PPP1CB	-0.114166666666667
ABHD8	0.86025
ARF5	-0.0732
SLC24A4	0.00175000000000001
CCT3	-0.5745
ZNF121	0.35825
SLC3A2	-0.36
OR13A1	0.105
SLC5A10	2.65625
RAD50	0.839125
IER5	-0.6765
MTHFD1L	-2.553375
MBTPS2	0.86425
MVK	-0.612
NCL	-0.5279
PSMD10	0.629
MOBP	0.587375
FLJ32894	0.907
HRH1	-1.34766666666667
C5orf30	2.0275
NUDT16L1	1.8471
RASGRP3	4.09833333333333
PRKRIP1	-0.5402
CCDC75	-0.73475
LOC253970	-0.0175
KIAA1239	-0.2885
MED21	-0.20425
SYT11	0.42775
NTSR2	-1.072
EGFL11	0.983
CXorf59	1.559
OR2A25	0.418333333333333
SPTBN2	-2.24
LRMP	-1.9745
RNF111	0.31475
PTH	0.2145
LOC619208	0.3895
KIAA0895	0.7765
RANBP5	-1.1635
P2RY10	-1.16466666666667
NME5	4.41116666666667
DDX21	-1.293
LRSAM1	0.0365
HDAC11	2.33383333333333
VMO1	2.18975
NOLA2	0.243666666666667
ADAR	0.389833333333333
MTO1	-0.959333333333333
SF4	0.247166666666667
P2RX1	-0.307333333333333
HBM	-0.117
EN2	-0.4975
C14orf172	0.07825
TM9SF2	0.9145
INHBE	-1.45833333333333
TCTE3	-0.15175
TOX2	-3.079
CTAGE3	0.481625
HBB	3.044
MED15	-0.570333333333333
CASR	0.40225
C6orf66	-1.17016666666667
MTPN	-0.61925
UNC50	0.93275
C21orf33	0.146625
IRF2	0.701625
PGR	4.17583333333333
GPR84	2.4935
CROCCL1	-1.07375
SRPX	-2.67325
BRE	0.219666666666667
FGF10	3.3295
SDC3	-0.583166666666667
ZRSR1	0.565
DKFZP434P211	-0.153875
SOX6	0.688
RPUSD2	-0.0405
C14orf173	-0.280416666666667
MAPK11	-1.06383333333333
TBC1D22A	0.4325
FAM123A	-2.4815
COL4A6	-4.02766666666667
TOMM70A	-0.03775
NAB1	-0.358375
MGC16385	-0.499625
TSPAN18	-0.344166666666667
MED31	-0.09975
PLG	-0.52525
CAPSL	1.616
ZNF532	0.4558
ASB14	-0.0536666666666667
CA8	-3.4895
NUDT16P	3.43716666666667
SLFN11	-2.084
LRRIQ2	0.3355
NOL7	-0.475333333333333
BRMS1L	-0.459625
JARID1A	0.518
PANK2	-0.16175
ICAM3	-0.6325
MDS1	-2.18666666666667
TAF8	-0.3955
RNF139	0.91625
ZNF594	1.34616666666667
ADAM8	1.321
SFTPC	-0.242875
MAN2B2	1.315625
RGS12	0.8149375
EIF1AY	-5.21758333333333
LRRIQ1	-0.894
GPR150	-0.47175
CCDC21	-0.689833333333333
PRRG3	0.41225
SAA4	-4.4
RAPGEF5	1.067625
ZCCHC2	0.49875
MGC39372	1.767
PPP4R2	0.258333333333333
CDCA2	-3.53066666666667
OR4D5	0.518666666666667
PTGFRN	0.1033
SIGLEC5	1.60633333333333
C19orf61	-0.2395
NMUR2	1.7795
KIAA1586	-1.02033333333333
DAGLA	-0.310833333333333
CHCHD6	-0.43475
GPR32	0.6205
NEUROD6	-0.362833333333333
SLC2A4RG	-0.078125
CA5B	-0.108
FBXL3	1.72525
MPHOSPH9	-1.62525
HMG2L1	-0.04475
HCN4	-0.612666666666667
CEACAM19	-0.08625
SH2D4B	0.00616666666666667
HFE2	-2.446
TGM4	0.696333333333333
LYPD2	0.413333333333333
TBC1D15	0.07675
MRPS21	-0.7827
NONO	-0.7402
CLEC5A	3.27725
ITCH	-0.1176
MGAT3	-1.372
MBP	-0.15825
RPP25	-0.572
SOSTDC1	-2.71175
HRC	-1.299
TRIM48	-0.966
TMEM133	-0.36425
ECEL1P2	-1.1475
HOXC11	0.208
DOK5	-0.64425
HELZ	-0.2115
LOC348180	-1.5085
MGC33894	0.23625
ADRB3	-0.128
DMD	-0.554916666666667
PTRH2	-0.75
MPEG1	3.00783333333333
NDUFA12	-0.215
KRTAP2-4	-0.792272727272727
STAMBPL1	-1.598
ADCY2	-0.634166666666667
UNQ6125	-0.093
KLHL20	0.136166666666667
SRM	-1.65275
OTC	-0.40775
TMIE	-1.12366666666667
SNX8	-1.191
LIPK	-0.7075
CHURC1	-0.0765
KLC2	0.199833333333333
HDAC1	-0.270666666666667
FAM128A	0.7875
FNDC3B	0.0611
MTCP1	-0.112833333333333
WFDC10B	-0.17375
PCDHGB3	-0.127
ATRNL1	-1.549375
CAV2	-0.511125
MED26	0.142833333333333
DUS1L	-0.21575
CHRM3	-1.110375
NEK9	1.17525
WARS2	-0.10125
TBX22	0.126
TOMM40	-0.67375
RP6-213H19.1	-0.660833333333333
TUBGCP5	-0.3905
IGSF6	4.89925
TPPP	0.674666666666667
UNQ6190	-0.741
GSTM5	2.010125
BTD	1.9035
PDCD1LG2	-0.253833333333333
SNRPB2	-0.688166666666667
ERICH1	-1.620125
APOA4	-1.761375
HOXA11	-1.53675
NARG1	-0.24775
MKX	4.723
RAB28	0.326857142857143
PKP3	1.1385
SH3GL2	-3.1525
CTSO	3.9355
RPN2	0.044875
IL28RA	0.7615
SFMBT1	0.4765
WDR57	-0.648875
FER1L3	1.39508333333333
HSF5	-0.00283333333333335
TTC9B	0.62475
C4BPA	-4.72416666666667
ALB	-4.98178571428571
SORBS3	0.034
UPF2	0.029
JPH1	1.6685
AGBL2	1.5455
DOPEY1	1.318
TERF1	0.112
KIF22	0.299666666666667
NINJ1	2.40775
SEC61A2	-0.184333333333333
HIST1H1D	0.398666666666667
SFXN4	-0.356375
UCP3	0.2002
ZNF703	0.8605
MYL6B	0.1645
TREM1	2.07025
OR52E6	0.148
CKMT2	0.94675
HLA-C	1.315375
SLC13A3	-1.91483333333333
TIMP4	-0.1905
SLIT2	1.74125
RSF1	-0.365666666666667
LONRF1	-1.42878571428571
MON1A	0.130166666666667
CACNG6	-2.2715
DPPA4	-5.84683333333333
ZSWIM3	-0.1305
ZNF804A	0.455166666666667
CCIN	1.272
SLC25A31	-0.566666666666667
KCNMB4	-0.657
RABL5	0.6405
GALNS	-0.2904
STX6	-0.42625
HIST1H1C	-0.277333333333333
CIDEB	1.0185
CASP4	-0.939166666666666
PDK3	2.724
KCNJ11	1.967
TPR	-0.756625
ZSCAN20	-0.5725
MTX2	-0.3405
HIST1H2BH	0.078
LOC283767	0.9965
LYRM7	-1.05827777777778
BRD3	0.225
HIST1H2BO	0.00175
MAGEB10	0.19
SLC45A1	1.13225
SERPINA3	2.8725
KIAA0143	1.44525
KCNJ16	-0.2205
KRT79	-0.02525
FABP2	-1.77975
NUT	-0.37
ZNF57	-0.26075
FBXL4	1.404625
CLEC9A	1.055
UGT8	-2.13266666666667
BMP2K	0.634
MAPK4	-4.15025
SLC25A23	-0.3011
HINT1	0.7748
KRTAP13-1	-0.284
SFXN5	1.2526
CHCHD2	-0.285916666666667
FAM3D	0.9575
NDP	1.132625
RHOBTB1	0.78
SLC4A4	-1.969
RPL38	-0.3075
HTF9C	-0.207333333333333
AP2A2	0.29275
ZBTB46	-0.658
MAP7D1	0.35775
AOX1	-2.64566666666667
CYR61	0.037
DTNA	-2.14338461538461
JRKL	-0.938
TMOD3	-0.01225
EEA1	-0.0497
ADCK5	-0.056
IL1R1	-0.962833333333333
KLK3	-0.197153846153846
HRSP12	-0.013
KTN1	1.14225
LOH11CR2A	1.0793
RELL2	0.1435
MAB21L1	1.185
C20orf59	-1.00883333333333
PHKB	1.09875
ADAM2	-3.527
TBC1D8B	1.33483333333333
FAM13A1	-0.789125
LAPTM4B	-1.62266666666667
LCN8	-0.856
TMEM147	0.5535
SYT4	0.044
XPO7	-1.784
C9orf62	-0.444
GPR75	0.908
TRIM5	0.00525000000000001
APOC1	-1.73983333333333
RNASE4	1.4615
PARD6B	0.626625
ARID1A	0.00508333333333334
TPD52L3	0.867444444444444
RRAGB	1.92283333333333
RCN2	-0.266666666666667
HIST2H2BE	0.65175
STARD7	-0.4235
SHMT2	-1.64475
KIAA1751	0.26
MLYCD	0.309
LOC162632	0.1514
UQCRH	-1.954
RP11-217H1.1	0.4189375
SDHA	-0.6045
NCLN	-0.3645
ZNF17	0.866666666666667
RCBTB2	-1.48525
VEGFB	-0.5796
RP4-747L4.3	0.219
COLQ	1.1182
MPN2	-0.663666666666667
DRG2	0.57125
KLRB1	1.9415
ALPK2	-2.25925
DNASE2B	0.1605
FLJ23834	0.759166666666667
AXUD1	0.7885
SAFB	-0.1855
NSUN4	-0.38375
RFX2	0.288333333333333
MAPK8IP1	-0.975666666666667
FANCD2	-0.956857142857143
ANKZF1	-1.45933333333333
C19orf50	0.05
DUSP8	-0.0725
SENP5	-0.364
NFKBIL2	-0.4155
LBR	-2.560875
IGFL1	-1.276
LZTS2	0.338
IL2RG	-1.864125
CCDC51	0.255
KLF3	-0.3835
ANKRD37	-2.36975
KCTD14	-1.098
FZR1	0.27725
SLC44A4	2.6614
ESPL1	-1.56
GMPR2	0.3342
TBC1D19	-0.262
ERGIC1	0.452407407407407
ERBB4	2.8624
TSPAN32	-0.122416666666667
MAP4	-0.121125
GPHN	0.7115
SLC6A2	-1.010125
HIVEP1	-0.02825
DFFB	-0.624
EIF4EBP2	-0.057625
DMRT1	-1.539
HSPB6	0.09525
IER2	-0.304333333333333
AIFM1	0.0165
WWC2	-0.0314999999999999
MRPL4	-0.819
FLJ21062	0.1515
EPB41L4A	-0.0316666666666667
SH2D6	0.16125
TAF4B	-1.237
GAL3ST3	0.3675
MALT1	-0.491
RTDR1	-0.92975
ARVCF	-0.327875
MEX3B	-2.34533333333333
FBXO16	-0.98025
KIF7	1.093
C1QC	3.49133333333333
ZNF783	-0.04
ZNF85	0.63325
MMP13	2.9815
KIAA0329	0.627285714285714
RTP3	-0.371
ZBED3	0.477
CLGN	-2.24575
SLC25A37	-2.73625
hCG_18290	-0.384
OR5AS1	0.0405
SMARCC2	0.28125
FAM109A	0.243
CCDC12	0.53025
USF2	0.9883
DEPDC7	-3.11975
C20orf24	-0.062
JMJD3	0.495
DSP	0.304714285714286
SLIC1	0.048625
FAM20A	-0.1455
IRF2BP2	-0.013
ZNF230	0.1985
MSN	-0.398857142857143
SLC9A5	-2.6585
