Hybridization REF	TCGA-E2-A14W-01A-11R-A12D-07
RFPL2	-1.118
ZNF83	-0.0305
GDPD5	-1.421
PDCD4	1.89965
CEP350	0.26
OR10A2	0.17075
CST7	-1.278
CIAO1	-0.54425
SELL	0.6105
OR8J3	0.225
LTBP4	-0.00216666666666667
SIRT6	0.24575
CCL19	0.72375
PPIL1	-0.0415000000000001
GBP7	-0.2284
STK17A	-1.3547
ABR	-0.36075
OR9G1	-0.674
FOXE1	-0.332625
CNGA3	-0.211
GML	0.551
CD38	-4.275
ZDHHC6	-0.9025
NEFH	-2.93775
CTDSP2	1.77258333333333
PGBD5	-2.7415
CCNY	0.549214285714286
RMND5B	0.723666666666667
ZNF257	-0.85675
FLJ22167	-0.523
EXOSC7	-0.761166666666667
ROR2	0.691375
MAOA	-1.2975
TNNT3	-0.220833333333333
GYPC	-2.35775
C7orf33	1.8205
PLIN	0.8845
LOC90826	0.3365
RNF4	0.115
F8A1	0.925333333333333
PLEKHG4	-0.58675
GRB2	1.03075
HIST1H2AD	0.10825
DUS3L	-0.8065
EIF1	0.652166666666667
RP5-1077B9.4	-0.918
FPGT	1.1415
GDF10	-2.09733333333333
COQ9	-0.34225
GCC2	-0.143214285714286
RARRES3	2.77525
PLXNA1	-0.1791
KIAA0100	0.1007
PMF1	0.0995
FNDC1	5.514
HS2ST1	-0.222416666666667
CRELD2	0.9675
C8G	-2.0865
CD82	0.16925
LIM2	-0.8665
UNQ6490	-0.82
MMP16	-0.50175
DRD3	0.13
C5orf26	-0.13725
C11orf73	-0.39725
PTP4A2	1.37175
OR4M2	0.1205
HPCA	-1.88516666666667
SEC14L1	0.135
CHFR	0.1965
EMILIN1	0.83475
NDUFS4	-0.10175
COL18A1	-0.996625
PDZD3	0.307555555555555
C9orf16	-0.273666666666667
ERBB2IP	0.309666666666667
EMX2	1.08925
FUS	-1.33075
TF	-3.8775
CLCN4	-1.82983333333333
CXorf56	0.172
C11orf72	0.93775
ELAC2	-0.678583333333333
NPR1	-1.71825
ASS1	-3.046
USP42	0.380625
POLR2J	0.0325
SEC23IP	0.2835
UQCRC1	-0.41525
LOC729603	-1.4825
C1orf71	-0.763875
POLG	-1.425
ADAM23	-3.7905
TFR2	-0.357
RICTOR	-1.0402
MGC39606	1.21725
C19orf55	-0.3375
SNAPC1	-0.727166666666667
GNA11	0.79125
CCDC52	-0.4985
FSIP1	4.6905
UPF3A	-0.33725
IGSF11	-2.63583333333333
LAGE3	0.872
CHST6	-2.5475
UNC13B	-0.16625
TTLL4	-1.350875
ZNF687	0.189625
SDC2	2.4662
COX7A2	1.0365
LAMB4	0.3545
FAM24A	-0.0115
LRRTM3	-0.6096
GPHB5	0.379
OR4C13	0.353
EIF3EIP	0.0327142857142858
HABP4	-1.14
TMEM125	4.66075
CNTN2	1.12575
ASNSD1	0.18825
FUT4	-1.140625
ACF	-2.96925
LOC158381	0.7425
CDH8	-0.473
AGPS	-0.471
C4orf18	1.057375
PECI	-0.288166666666667
UNG	-0.308375
GSTP1	-2.5145
DCUN1D5	-0.7965
DKFZP564J0863	-0.58525
SLC9A3R1	2.7565
BCDO2	0.579
CHMP7	-0.496875
REM2	-1.9855
DNHD1	-0.240625
FKBP4	0.38525
ZNF350	0.912
MGC11102	1.294625
BST1	0.8985
KISS1R	0.4705
NCR2	0.2255
DEFB125	0.963
UBE2W	0.50275
KRT15	2.455125
C10orf99	0.6585
SCN11A	-0.0191428571428571
GFI1	-3.21125
RDHE2	3.58783333333333
FHL1	-1.7975
OSGEP	-0.0953333333333333
GATA1	-3.88283333333333
SMC6	-1.4855
TTTY14	-0.41175
LPIN3	-0.48425
RPL4	-0.446
RBPMS	-1.2124
PRPF3	-0.401
EMR1	-2.3195
SPATA19	0.326
XCR1	1.971
IRX3	2.3524
RBM6	-0.88275
KLF4	-2.37788888888889
UNC5CL	0.833
SEBOX	0.8635
BTK	-1.81275
KRCC1	1.02325
C6orf27	0.9525
SYTL5	-1
PRND	0.426428571428571
LOC653319	-1.3595
PIGL	-0.62025
HUS1	0.0981666666666667
SFRS6	0.466083333333333
C17orf77	0.943
UIMC1	-0.126333333333333
FXYD2	-1.7442
LOC283152	3.1445
ZNF667	-3.25325
ZCCHC12	-1.286
TFEC	0.784666666666667
ATP7B	-0.386666666666667
POLD2	-0.7645
RG9MTD1	-0.391
ACOT2	-0.454666666666667
HIST1H4I	-0.547
PPARGC1A	-3.43455555555556
ETFA	-0.9289
POLRMT	-0.03325
ZNF146	0.421375
MIA2	-3.805
KLHL6	-3.10333333333333
HOXB5	3.13525
NENF	0.755333333333333
CUGBP1	1.02275
PRSS22	2.157
CASC4	2.075
CUL4B	0.5952
CENPJ	-1.4309
PITX1	1.03316666666667
FLJ31033	-0.1875
CELSR3	-0.437333333333333
ZNF568	1.394
ITSN1	-0.83
EHBP1L1	-1.15066666666667
C19orf2	-0.67575
DCTN1	-0.86675
LIN28B	-3.6414
TNKS2	-0.0015
C1QBP	-0.60575
CADPS2	1.2085
SRMS	0.149
GJA9	0.0964
MGC24975	-0.0371666666666667
TRIM45	0.369833333333333
TSP50	1.0455
TCP1	-0.684
TMED7	0.6878
CMA1	0.8
CENPL	-0.561166666666667
PTCRA	0.2925
FST	-3.90875
VWCE	-3.6505
PAWR	0.71575
ABCC12	0.1834
LDLR	-1.4602
ASTN2	0.9386
LOC441212	-0.006375
GPATCH8	0.177
TANC2	0.168666666666667
KIF4A	-1.3865
C18orf18	-1.1275
PGM1	-0.71275
KIAA0258	0.754
CPD	0.41475
SNCAIP	-2.51766666666667
DCT	-4.47166666666667
HLA-DOA	2.05263636363636
OR11L1	0.7155
UPK1B	0.086
DNAJB4	-0.907
UGT1A8	0.11175
HIST1H4L	-0.8245
PECR	-0.523666666666667
HSPA2	2.126
WFIKKN1	-0.207
SERP1	1.0485
SYDE2	1.31975
TACR2	0.6015
NUP85	0.363
CD177	-1.20883333333333
LGR5	-1.4004
PIGG	0.105833333333333
PTHR1	-1.40166666666667
RAB5A	0.271
FLJ13224	-0.7285
USP9Y	1.08183333333333
C7orf53	-0.2555
LRP1B	-1.78575
XAF1	0.605
ABCG8	-0.2905
ANKDD1A	0.0608333333333333
DAND5	-1.6195
SPAG6	-0.029
LINCR	-0.16275
ZDHHC22	-0.854
CCDC60	1.0725
THOC7	-1.79216666666667
TCTA	0.4327
OR8K3	0.68075
NY-REN-7	0.124
B2M	-0.00350000000000006
C6orf141	-1.1915
LPPR4	-0.32525
SQLE	0.380375
SEPHS1	-0.6835
BTBD14B	0.5885
PLRG1	0.1725
SPG7	-1.2299375
ZNF614	-0.197666666666667
PARD6G	0.872166666666667
INPP5B	-1.1619
GRPEL2	0.335125
PPID	-0.6821
TRIM56	-0.39325
UBE2J1	0.299
IL20RA	5.61475
LOC387856	0.872666666666667
C1orf107	0.153
UTS2R	-0.56775
C19orf22	0.582
SAFB2	0.395125
KIAA0652	-0.473375
KLRG1	-2.2795
MS4A8B	-0.0722
FRAG1	1.04925
KIAA1546	0.419
E2F4	-1.84
CLEC4M	-0.186166666666667
BTBD14A	-0.4015
KIAA0999	0.3365
GYPA	-3.8574
TAC1	-0.8315
TRAIP	-1.4925
KIAA0232	1.4272
ERCC8	-1.245
GPX4	1.192
KIAA0368	-0.45425
GPR157	-1.3865
CTAGE4	0.8915
C9orf30	-1.86066666666667
OR52A1	0.6265
HSP90B3P	0.6925
ALG9	0.2389
BTBD10	0.486
SDK2	0.48175
BAIAP3	1.41125
RABGGTB	0.202875
ANKRD40	0.314666666666667
KRT74	-0.155
CALCOCO2	0.667214285714286
SNCA	-4.505
TMSL8	-1.92925
C2orf53	0.287
ESRRB	0.2495
ARHGAP26	-1.20475
TDRD9	-3.021
HRAS	1.12233333333333
KLRC4	-1.492
JAGN1	0.0275
BSDC1	1.59475
RNF43	0.3951
NDUFAF1	0.02875
PHF12	0.353
OR1L3	-0.254
FOLR2	0.492083333333333
LYZL6	-0.3955
tcag7.1260	-2.398
WSB1	-2.282
PROS1	-2.3053
OSTN	0.524
PSMB8	-0.3275
SOCS4	-0.802571428571429
DDIT4L	2.29925
MAS1	0.754
MGC34796	1.55775
CSHL1	0.0235
TBCCD1	-0.3465
ZBTB7C	0.1675
AP2S1	-0.12025
P15RS	0.126
VAT1	-0.1525
SHANK3	0.0381666666666666
TUFM	0.0558333333333333
THEG	-0.271
KRT34	-2.1215
SGSM3	-0.299125
TOMM22	-0.694625
SOCS3	0.315166666666667
CPO	0.492
POP4	-0.003
BHLHB3	-0.96025
MALL	-0.146
OR1B1	0.939
PARK2	0.732666666666667
GPR124	-0.71075
LCE1E	0.116
RUVBL2	-0.42325
CGRRF1	0.3159
ACPL2	0.7645
WNT10B	-1.5895
BAIAP2L2	-1.98375
ISCA1	-0.3295
C1orf125	0.026125
RPAP1	-0.85275
RAI16	-0.891666666666667
RPL27	0.124875
NLRP9	-0.959
EPN1	0.411
LOC388610	-0.282875
SLC35A1	0.5317
GAL	-3.6385
SLC14A2	0.422
RDH11	-0.428333333333333
FAM138F	-0.239
AUH	-0.293
FLJ40243	1.12366666666667
C14orf129	-0.8555
MBD2	-0.651833333333333
ABHD14B	-0.75
PIGT	-0.07375
ALS2CR4	-0.284125
ALAS1	-0.8315
FOXO1	-0.361666666666667
CRLF3	-0.69425
C20orf107	-0.0775
FARS2	-0.44975
CCDC28A	-0.21525
NPHP3	-1.1205
OR13F1	0.233
TSEN54	1.0805
DEFB106B	0.363888888888889
OR8B4	0.0925
STH	2.50525
ZC3H14	-1.25425
CBX2	-2.3305
TMEM49	-0.3425
C6orf21	0.6215
FLJ20920	0.33675
CRTAP	-0.42
DDX50	0.14125
STYXL1	0.01425
BLVRB	0.718666666666667
LOC147650	-0.687
MMP24	0.61725
GRID1	1.6305
BANF1	-0.227666666666667
CTAGEP	0.45675
HMBS	-0.74025
SLC25A24	0.0108333333333333
C14orf50	2.617
MRO	-0.527333333333333
SLC25A15	-0.576
FAM84B	0.51
TDP1	-1.858
C16orf78	-0.05
C11orf57	0.755875
RFK	-1.277875
ZFYVE9	0.471375
STCH	-0.9114
WIBG	1.42775
LOC283871	-0.0291666666666667
GBA2	-1.2044
NDUFB3	0.049
HSD17B13	-1.133
GRIN3A	1.0185
FMNL1	-1.319
SEPT7	0.2373
GNLY	0.307
GRAMD1C	-0.961166666666667
ZNF165	1.42075
USP38	1.1195
FAM83A	-3.899
C14orf24	1.45758333333333
ARMCX3	0.695125
ARHGDIB	-0.102666666666667
AK1	0.022125
KIAA1045	-0.2125
DNAJB13	-0.106166666666667
NEU2	1.815
HIST1H4B	0.105166666666667
FAM20B	-0.3354
HES2	0.0552142857142857
FAM73B	-0.9253
LOC388381	0.5165
INTS7	-0.683454545454545
AMPH	0.28575
ZNF775	-0.30375
UCKL1	-0.781666666666667
C10orf97	-0.1035
C1orf161	0.3625
ALDH1L1	-1.85975
FLJ39378	-0.061625
SLC23A1	-0.123
RBM4B	0.237
THAP4	0.914
OGFRL1	1.48625
KIAA0831	0.1115
PPP1R15A	-0.302166666666667
C1orf96	0.298142857142857
C12orf11	-1.5565
BMF	0.15125
MAN1A1	-1.414375
KIAA1600	0.0568333333333333
NLGN4X	-1.6935
ALOX12	-1.1466
RB1CC1	0.2724
NEIL2	0.3947
EIF4E	0.487181818181818
ABHD5	-0.9395
EXOC4	-0.874
CIP29	0.394
BATF2	0.51775
SLC29A4	0.606375
HTR4	-0.00600000000000001
EMB	0.3595
TRAF6	1.1145
LMNB1	-0.90525
FAM19A5	-0.1175
SHE	-0.0745
PIK3C2B	1.7665
C15orf15	-0.5949
USP15	0.3568
TCEAL2	0.902
C5orf39	-1.9065
PTGER2	-2.46
SLC31A1	-1.4870625
IFT172	-0.049
ADAM29	0.5555
GFOD1	0.09825
ST7L	1.0065
C15orf26	-2.7465
PKN3	-1.20575
CNTD1	2.6765
COMMD1	0.426375
NTRK2	0.71175
FOXN3	-1.019875
MFGE8	-1.5492
PFKFB2	3.52983333333333
TAS2R4	-0.971
ENTHD1	-0.9372
PRMT5	-1.223875
MGC16384	-1.7135
LOC442229	-1.27525
TSKU	0.496875
KRTCAP3	3.48575
PDLIM1	0.1416
KCNS2	0.8305
RNF126	0.314333333333333
CEP63	-0.1245
CLIC4	-1.10225
hCG_1990170	-1.47966666666667
ACR	0.9582
KLK7	-0.161333333333333
ALOX5AP	1.49725
RIPK3	4.16975
TAS2R9	0.392
C19orf18	3.951
BIRC6	0.0632857142857143
ZNF16	0.5865
RFT1	-0.7565
SLC8A2	-0.64575
TACC1	-1.2965
ITGAD	0.5425
SAMHD1	0.0495
SH3PXD2B	0.8411
EPC2	1.28625
C20orf85	4.155
ATP13A2	0.298
KRT4	0.53975
CAPNS1	-0.45675
MDM2	1.87633333333333
PCDH20	1.4525
KCNK9	1.7805
OR2C1	-0.4815
KLHDC3	-1.32616666666667
IPPK	0.177
EFHD2	-0.26925
GALR3	-0.3305
NBEA	0.8755
ABCA6	1.5403
CLDN3	2.55633333333333
AKT2	0.1515
EGFR	-3.6162
RBM16	0.815375
ZDHHC3	-0.1488
SLC25A4	-0.0448333333333333
CYB5B	-1.86683333333333
CPXM1	-1.60675
NDRG1	-0.362923076923077
FLJ43826	0.0685
OR5L2	0.086
FARP2	0.5808
MRPL46	0.0804166666666667
LDHAL6B	0.512
MAPKAPK3	-0.108666666666667
NCAM2	-4.0425
PRKD2	-0.577833333333333
ZFP36L1	0.5288
CYSLTR1	-1.26925
OR4C3	0.0812499999999999
HIST1H2AJ	1.4665
CCNB2	-1.59977777777778
ZNF10	-0.4535
TMEM175	0.166
FAM134A	0.901666666666667
TIGD4	0.703
PCNP	-0.922
MGC39715	-0.363333333333333
LQK1	-0.02375
CREB1	-0.5384
TMPRSS3	-3.132
C4orf32	1.19125
LAT	-2.62116666666667
KCNA3	-0.194
SKIV2L2	-0.63375
ROPN1B	-5.22575
tcag7.23	-0.2245
CDT1	-3.156375
ZHX2	0.577125
CD28	-4.508
ZNF624	0.82075
SEPT2	0.0873333333333334
SOHLH2	-2.5085
MCOLN3	-1.55028571428571
UNQ1945	0.2565
MASP2	-1.0905
ZNRF3	0.2505
GPATCH3	-0.2895
AGL	1.173375
QRICH2	0.1195
PSD4	0.913166666666667
CCNB1IP1	-2.0835
ENPP7	-0.00800000000000001
OBFC1	-0.131
KCNG3	-0.97325
C14orf79	0.311
ENPEP	1.23983333333333
SCT	1.964
SKI	1.031
SEC61G	0.6005
CAPN11	-0.965
ATXN7L3	-0.043
DBNDD1	-0.4855
FAIM	0.30225
ANKRD36	-0.436
GABRP	-0.5646
TACSTD2	1.32
EIF3J	0.386
PPP2R2A	-2.39925
TEKT4	1.10366666666667
PVALB	-1.9125
F10	-2.731
FAM134C	1.1835
COMP	5.1035
EFCBP1	-3.8393125
SCLT1	1.230125
TAL1	-1.7579
ACSL1	2.12525
ABCC5	0.46175
ABL1	-1.12044444444444
RBBP7	0.893833333333333
PTPRG	-0.647875
NCOR1	-0.669
SPINK4	0.232166666666667
TXNRD1	-1.1446
TNRC15	0.875375
C9orf138	0.513
UBE2H	0.910666666666667
BRDT	0.9194
C8orf31	0.00824999999999999
CCNE2	-0.602090909090909
SLC6A8	-0.65625
CALCR	-3.344
PPP1CB	0.243916666666667
ABHD8	-0.04725
ARF5	0.15
SLC24A4	0.15875
CCT3	0.04325
ZNF121	0.564
SLC3A2	-1.12
OR13A1	0.292
SLC5A10	0.144
RAD50	0.539125
IER5	-0.384625
MTHFD1L	-2.453875
MBTPS2	1.328
MVK	0.04775
NCL	1.0586
PSMD10	-0.561
MOBP	0.595142857142857
FLJ32894	0.825
HRH1	-1.782
C5orf30	0.65825
NUDT16L1	0.9704
RASGRP3	2.25366666666667
PRKRIP1	-0.3327
CCDC75	0.8375
LOC253970	0.2405
KIAA1239	-0.741
MED21	-0.11575
SYT11	2.25466666666667
NTSR2	-0.2305
EGFL11	1.068
CXorf59	0.11
OR2A25	0.759
SPTBN2	-0.1445
LRMP	-2.84916666666667
RNF111	-0.4745
PTH	0.4835
LOC619208	1.55183333333333
KIAA0895	1.67325
RANBP5	-0.53475
P2RY10	-1.38716666666667
NME5	4.803
DDX21	-0.265
LRSAM1	-0.384
HDAC11	0.572
VMO1	2.16725
NOLA2	-0.164833333333333
ADAR	-0.280583333333333
MTO1	-1.23816666666667
SF4	0.443833333333333
P2RX1	-0.267666666666667
HBM	-0.1915
EN2	-0.3195
C14orf172	-0.10225
TM9SF2	0.0402
INHBE	-0.855
TCTE3	-0.07075
TOX2	-3.5555
CTAGE3	0.154125
HBB	2.7542
MED15	-0.508
CASR	0.554
C6orf66	-0.512833333333333
MTPN	-0.737125
UNC50	-0.129
C21orf33	0.862625
IRF2	1.186625
PGR	2.22883333333333
GPR84	2.2615
CROCCL1	-2.84325
SRPX	-1.822
BRE	-0.383333333333333
FGF10	0.74025
SDC3	-0.419833333333333
ZRSR1	0.754333333333333
DKFZP434P211	-0.172285714285714
SOX6	1.1895
RPUSD2	-0.60425
C14orf173	-0.77525
MAPK11	-0.269666666666667
TBC1D22A	0.037
FAM123A	-0.793
COL4A6	-3.89316666666667
TOMM70A	0.818
NAB1	-0.208
MGC16385	0.371875
TSPAN18	-1.15966666666667
MED31	-0.94925
PLG	-0.231
CAPSL	5.3765
ZNF532	1.9323
ASB14	-0.01575
CA8	-4.0685
NUDT16P	2.26416666666667
SLFN11	-2.2945
LRRIQ2	0.29525
NOL7	0.2175
BRMS1L	-0.8625
JARID1A	0.288666666666667
PANK2	-0.171
ICAM3	-0.39475
MDS1	-0.01125
TAF8	-0.3785
RNF139	1.7855
ZNF594	-0.932166666666667
ADAM8	1.98275
SFTPC	-0.139
MAN2B2	0.719625
RGS12	0.3095
EIF1AY	-2.89116666666667
LRRIQ1	1.3485
GPR150	-0.56925
CCDC21	-1.54316666666667
PRRG3	0.31525
SAA4	-4.6535
RAPGEF5	1.931875
ZCCHC2	1.11741666666667
MGC39372	0.6065
PPP4R2	-0.1425
CDCA2	-2.36266666666667
OR4D5	0.563333333333333
PTGFRN	1.081
SIGLEC5	1.704
C19orf61	-0.421666666666667
NMUR2	0.393
KIAA1586	-1.50283333333333
DAGLA	1.7905
CHCHD6	0.73625
GPR32	0.7665
NEUROD6	1.6986
SLC2A4RG	-0.20625
CA5B	-0.236
FBXL3	0.331
MPHOSPH9	-1.924
HMG2L1	0.013
HCN4	-0.444
CEACAM19	1.47425
SH2D4B	0.275833333333333
HFE2	-1.346
TGM4	1.0648
LYPD2	0.310666666666667
TBC1D15	1.2305
MRPS21	-0.252
NONO	-0.2987
CLEC5A	3.315125
ITCH	0.5815
MGAT3	-2.39433333333333
MBP	-1.63985714285714
RPP25	-0.25775
SOSTDC1	-3.89066666666667
HRC	-0.85725
TRIM48	-0.178
TMEM133	-0.72
ECEL1P2	-1.3785
HOXC11	0.9355
DOK5	-1.46
HELZ	1.22883333333333
LOC348180	-0.9245
MGC33894	0.4095
ADRB3	0.264
DMD	-0.676
PTRH2	1.4245
MPEG1	2.394
NDUFA12	0.102
KRTAP2-4	-0.0983333333333333
STAMBPL1	-2.1034
ADCY2	-1.0224
UNQ6125	0.549
KLHL20	0.453
SRM	0.01925
OTC	-0.06925
TMIE	0.812833333333333
SNX8	0.68825
LIPK	null
CHURC1	-0.706083333333333
KLC2	0.5695
HDAC1	-0.423
FAM128A	1.85716666666667
FNDC3B	-0.3198
MTCP1	0.2106
WFDC10B	0.1939
PCDHGB3	0.3625
ATRNL1	-0.8654
CAV2	-3.138125
MED26	0.131
DUS1L	1.82275
CHRM3	-2.442875
NEK9	-0.76925
WARS2	0.88875
TBX22	-0.351
TOMM40	-0.20925
RP6-213H19.1	-1.19233333333333
TUBGCP5	-0.49475
IGSF6	4.619
TPPP	0.669166666666667
UNQ6190	0.9065
GSTM5	-0.65875
BTD	-0.132666666666667
PDCD1LG2	-0.7565
SNRPB2	0.1995
ERICH1	-1.14075
APOA4	-1.468
HOXA11	-4.754
NARG1	0.22025
MKX	3.784
RAB28	-0.0616428571428571
PKP3	2.30325
SH3GL2	0.12
CTSO	1.75225
RPN2	1.170375
IL28RA	-0.0881666666666667
SFMBT1	0.2205
WDR57	-0.426625
FER1L3	0.644333333333333
HSF5	-0.0666666666666667
TTC9B	0.13475
C4BPA	-3.48966666666667
ALB	-4.96666666666667
SORBS3	0.032
UPF2	0.951
JPH1	0.7345
AGBL2	0.16825
DOPEY1	1.8855
TERF1	0.116916666666667
KIF22	-0.0650000000000001
NINJ1	1.4445
SEC61A2	0.492583333333333
HIST1H1D	0.131333333333333
SFXN4	-0.000124999999999986
UCP3	0.1474
ZNF703	1.03766666666667
MYL6B	0.46075
TREM1	2.86675
OR52E6	-0.0235
CKMT2	4.10675
HLA-C	1.248875
SLC13A3	-2.5515
TIMP4	-0.1475
SLIT2	1.36
RSF1	0.476888888888889
LONRF1	-1.35928571428571
MON1A	-0.131666666666667
CACNG6	-2.01283333333333
DPPA4	-5.71733333333333
ZSWIM3	0.7005
ZNF804A	0.629
CCIN	1.628
SLC25A31	0.53825
KCNMB4	0.482
RABL5	0.73275
GALNS	-0.6454
STX6	1.232625
HIST1H1C	-0.504333333333333
CIDEB	1.15925
CASP4	-0.441833333333333
PDK3	-0.2442
KCNJ11	0.4505
TPR	-0.109125
ZSCAN20	0.0635
MTX2	0.33225
HIST1H2BH	0.33225
LOC283767	2.49075
LYRM7	-0.898055555555555
BRD3	-0.950333333333333
HIST1H2BO	-0.408
MAGEB10	0.0205
SLC45A1	0.88475
SERPINA3	0.8042
KIAA0143	0.931
KCNJ16	-0.0496666666666667
KRT79	-0.09175
FABP2	-1.093
NUT	-0.1385
ZNF57	-0.2795
FBXL4	0.03825
CLEC9A	0.293
UGT8	0.214833333333333
BMP2K	-0.272
MAPK4	-3.74975
SLC25A23	-0.2501
HINT1	0.1517
KRTAP13-1	-0.00700000000000001
SFXN5	-0.1318
CHCHD2	0.877833333333333
FAM3D	2.075
NDP	-0.3935
RHOBTB1	-1.379
SLC4A4	-2.18128571428571
RPL38	1.3045
HTF9C	0.154833333333333
AP2A2	0.7855
ZBTB46	-1.366
MAP7D1	0.127
AOX1	-2.13666666666667
CYR61	1.33066666666667
DTNA	-0.651214285714286
JRKL	-0.52925
TMOD3	-0.1745
EEA1	0.3122
ADCK5	0.30225
IL1R1	2.0385
KLK3	0.275785714285714
HRSP12	-0.20575
KTN1	0.818
LOH11CR2A	-0.1468
RELL2	-0.30575
MAB21L1	0.792
C20orf59	-0.631833333333333
PHKB	-0.661
ADAM2	-2.8206
TBC1D8B	1.67966666666667
FAM13A1	-1.1898125
LAPTM4B	0.459333333333333
LCN8	0.4915
TMEM147	0.891
SYT4	1.823
XPO7	-1.3025
C9orf62	0.3005
GPR75	1.172
TRIM5	-0.609625
APOC1	-0.849333333333333
RNASE4	0.217666666666667
PARD6B	-0.3595
ARID1A	0.12025
TPD52L3	1.33388888888889
RRAGB	0.662833333333333
RCN2	-0.183166666666667
HIST2H2BE	-0.893875
STARD7	0.10675
SHMT2	-0.9955
KIAA1751	0.4202
MLYCD	-1.131125
LOC162632	-0.00820000000000001
UQCRH	-0.53625
RP11-217H1.1	1.2104375
SDHA	-1.83966666666667
NCLN	0.6298
ZNF17	0.902166666666667
RCBTB2	-2.70725
VEGFB	-0.5936
RP4-747L4.3	0.627
COLQ	-0.0869
MPN2	-0.923166666666667
DRG2	-0.8855
KLRB1	1.0335
ALPK2	-2.63525
DNASE2B	2.198
FLJ23834	0.4815
AXUD1	0.817333333333333
SAFB	0.1881
NSUN4	0.28375
RFX2	0.566833333333333
MAPK8IP1	-0.403166666666667
FANCD2	-0.466
ANKZF1	-1.71066666666667
C19orf50	-0.750875
DUSP8	1.730125
SENP5	-0.378875
NFKBIL2	-0.6465
LBR	-1.665125
IGFL1	1.0735
LZTS2	0.056875
IL2RG	-1.5785
CCDC51	-0.87425
KLF3	-0.090125
ANKRD37	-0.1445
KCTD14	0.689833333333333
FZR1	0.645416666666667
SLC44A4	4.1806
ESPL1	-0.8755
GMPR2	-0.7129
TBC1D19	-0.5955
ERGIC1	1.069
ERBB4	1.7506
TSPAN32	-0.146363636363636
MAP4	-1.139375
GPHN	-0.276
SLC6A2	0.037375
HIVEP1	0.39925
DFFB	-0.1886
EIF4EBP2	0.39925
DMRT1	0.147
HSPB6	-0.08975
IER2	0.5785
AIFM1	0.53975
WWC2	-0.7726
MRPL4	-0.3825
FLJ21062	0.744833333333333
EPB41L4A	1.84883333333333
SH2D6	0.34125
TAF4B	-0.8645
GAL3ST3	0.093
MALT1	-1.013
RTDR1	1.9395
ARVCF	0.330875
MEX3B	-3.17583333333333
FBXO16	1.71175
KIF7	-0.42425
C1QC	3.84933333333333
ZNF783	-0.288
ZNF85	-0.7275
MMP13	4.305
KIAA0329	0.486428571428571
RTP3	-0.662
ZBED3	0.794
CLGN	-0.61875
SLC25A37	-1.99033333333333
hCG_18290	0.01675
OR5AS1	-0.53
SMARCC2	-0.102
FAM109A	0.2265
CCDC12	-0.45775
USF2	0.7502
DEPDC7	-1.94275
C20orf24	-0.5495
JMJD3	-0.4935
DSP	-0.00949999999999999
SLIC1	-0.234428571428571
FAM20A	0.4545
IRF2BP2	-0.095
ZNF230	-0.5105
MSN	-0.325428571428571
SLC9A5	-0.4505
