Hybridization REF	TCGA-BH-A18N-11A-43R-A12D-07
OR4M2	0.7605
HPCA	-2.41533333333333
SEC14L1	-0.178166666666667
CHFR	-0.731625
EMILIN1	0.556625
NDUFS4	0.42925
COL18A1	-0.896625
PDZD3	0.5823
C9orf16	-0.894
ERBB2IP	-0.155
EMX2	4.773
FUS	-2.298
TF	-1.6065
CLCN4	0.749
CXorf56	0.32125
C11orf72	-0.094
ELAC2	-0.928666666666667
NPR1	1.84725
ASS1	-1.28816666666667
USP42	0.088375
POLR2J	-1.639
SEC23IP	0.580833333333333
UQCRC1	-1.3875
LOC729603	-0.6695
C1orf71	-0.027375
POLG	-3.292
ADAM23	-3.6115
TFR2	-2.12975
RICTOR	0.5227
MGC39606	1.73475
C19orf55	-0.544
SNAPC1	-0.3925
GNA11	-0.056875
CCDC52	0.0633333333333333
FSIP1	2.626
UPF3A	-0.078375
IGSF11	-1.43866666666667
LAGE3	-1.628
CHST6	-3.093
UNC13B	0.304375
TTLL4	-2.11425
ZNF687	-0.447
SDC2	0.8002
COX7A2	-0.253
LAMB4	0.368
FAM24A	-0.332
LRRTM3	0.759
GPHB5	0.08275
OR4C13	0.9805
EIF3EIP	0.425857142857143
HABP4	-0.3465
TMEM125	3.09925
CNTN2	0.141625
ASNSD1	0.45025
FUT4	-0.538375
ACF	-4.2195
LOC158381	1.103
CDH8	0.93925
AGPS	-0.643833333333333
C4orf18	3.26425
PECI	0.138083333333333
UNG	-0.501375
GSTP1	-0.487125
DCUN1D5	-1.0835
DKFZP564J0863	-1.30625
SLC9A3R1	-0.068625
BCDO2	0.8555
CHMP7	-0.797
REM2	0.0855
DNHD1	-0.247875
FKBP4	-1.873625
ZNF350	1.913
MGC11102	-0.46825
BST1	2.7405
KISS1R	-0.976
NCR2	-0.148
DEFB125	1.216
UBE2W	1.01075
KRT15	4.515625
C10orf99	-0.0285
SCN11A	-0.09325
GFI1	-2.4105
RDHE2	2.51016666666667
FHL1	3.253
OSGEP	0.360333333333333
GATA1	-4.0385
SMC6	-1.30475
TTTY14	-0.62025
LPIN3	-0.31075
RPL4	-0.3167
RBPMS	0.397
PRPF3	-0.895666666666667
EMR1	-1.9725
SPATA19	0.378
XCR1	0.0695
IRX3	1.6737
RBM6	-0.20475
KLF4	1.1283
UNC5CL	-0.377
SEBOX	0.4585
BTK	-0.841
KRCC1	2.29325
C6orf27	-0.134
SYTL5	-0.531
PRND	2.239875
LOC653319	-1.1215
PIGL	-0.840625
HUS1	-0.2945
SFRS6	-0.994333333333333
C17orf77	0.5665
UIMC1	0.167
FXYD2	-1.5256
LOC283152	0.21
ZNF667	0.236
ZCCHC12	0.5835
TFEC	2.6526
ATP7B	-0.9895
POLD2	-2.7475
RG9MTD1	0.1635
ACOT2	0.854333333333333
HIST1H4I	-1.40325
PPARGC1A	-0.8443
ETFA	-0.2087
POLRMT	-1.2055
ZNF146	0.255625
MIA2	-1.1415
KLHL6	-0.5915
HOXB5	-0.230875
NENF	0.343666666666667
CUGBP1	-0.5415
PRSS22	0.766
CASC4	1.0023
CUL4B	-0.0202
CENPJ	-1.1891
PITX1	-3.524
FLJ31033	0.61
CELSR3	-3.25633333333333
ZNF568	1.9145
ITSN1	0.856666666666667
EHBP1L1	-1.35716666666667
C19orf2	-0.352
DCTN1	-1.22325
LIN28B	-3.592
TNKS2	-0.081
C1QBP	-0.82775
CADPS2	2.07775
SRMS	-0.682333333333333
GJA9	-0.359833333333333
MGC24975	-1.31416666666667
TRIM45	-0.612333333333333
TSP50	0.71525
TCP1	-1.01825
TMED7	0.2824
CMA1	3.0295
CENPL	-1.8535
PTCRA	-0.599
FST	-3.0935
VWCE	-1.63225
PAWR	-0.327
ABCC12	-0.819
LDLR	-1.0953
ASTN2	0.2192
LOC441212	-0.370125
GPATCH8	-0.17875
TANC2	-1.31475
KIF4A	-4.97575
C18orf18	0.01975
PGM1	0.058
KIAA0258	0.41625
CPD	0.754
SNCAIP	0.597
DCT	-4.91266666666667
HLA-DOA	1.92836363636364
OR11L1	-0.0265
UPK1B	-0.678
DNAJB4	2.382875
UGT1A8	0.2625
HIST1H4L	-1.5545
PECR	0.131833333333333
HSPA2	1.1605
WFIKKN1	-2.5425
SERP1	1.314625
SYDE2	1.01675
TACR2	0.3675
NUP85	-1.2385
CD177	-0.3525
LGR5	-1.727
PIGG	-0.2085
PTHR1	0.476833333333333
RAB5A	0.8034
FLJ13224	-1.756
USP9Y	-1.50016666666667
C7orf53	0.695
LRP1B	3.011
XAF1	2.2301
ABCG8	0.04
ANKDD1A	1.27033333333333
DAND5	-0.874
SPAG6	2.13716666666667
LINCR	3.05075
ZDHHC22	-1.59475
CCDC60	-1.276
THOC7	-0.669666666666667
TCTA	0.4615
OR8K3	0.12875
NY-REN-7	0.16125
B2M	1.79166666666667
C6orf141	-1.711875
LPPR4	3.59025
SQLE	-2.720625
SEPHS1	-0.71725
BTBD14B	-0.486857142857143
PLRG1	0.186
SPG7	-1.299125
ZNF614	-0.0193333333333334
PARD6G	0.845166666666667
INPP5B	-1.1485
GRPEL2	-0.25
PPID	-0.452
TRIM56	-0.301
UBE2J1	0.13825
IL20RA	5.47775
LOC387856	0.577
C1orf107	0.382166666666667
UTS2R	-1.484
C19orf22	-1.6405
SAFB2	-0.220625
KIAA0652	-1.145
KLRG1	0.667
MS4A8B	0.208833333333333
FRAG1	-0.16025
KIAA1546	0.74525
E2F4	-1.5619
CLEC4M	1.19533333333333
BTBD14A	-1.016
KIAA0999	1.6706
GYPA	-2.8514
TAC1	4.5789
TRAIP	-2.52783333333333
KIAA0232	1.1744
ERCC8	-0.5235
GPX4	0.651875
KIAA0368	0.693
GPR157	-1.67483333333333
CTAGE4	0.4015
C9orf30	-1.278
OR52A1	-0.0625
HSP90B3P	-0.3725
ALG9	-0.0953
BTBD10	0.7295
SDK2	-0.25475
BAIAP3	-0.58075
RABGGTB	-0.4355
ANKRD40	0.00683333333333334
KRT74	1.031
CALCOCO2	0.945357142857143
SNCA	-0.93975
TMSL8	-3.220125
C2orf53	-0.063
ESRRB	-0.24925
ARHGAP26	-0.2205
TDRD9	-0.77125
HRAS	-1.22833333333333
KLRC4	-2.459
JAGN1	-0.0666666666666667
BSDC1	0.68225
RNF43	-0.5718
NDUFAF1	0.65425
PHF12	0.284
OR1L3	-0.16125
FOLR2	3.25125
LYZL6	-0.238666666666667
tcag7.1260	-1.3355
WSB1	0.0895
PROS1	1.6531
OSTN	-0.0235
PSMB8	0.18475
SOCS4	0.29075
DDIT4L	3.89725
MAS1	0.717
MGC34796	0.26175
CSHL1	0.0241666666666667
TBCCD1	-0.161166666666667
ZBTB7C	-0.3235
AP2S1	-1.451625
P15RS	0.1191
VAT1	-0.6791
SHANK3	0.919833333333333
TUFM	-1.60433333333333
THEG	-0.22525
KRT34	-1.3885
SGSM3	-0.74375
TOMM22	-0.666875
SOCS3	1.4675
CPO	2.6685
POP4	0.3055
BHLHB3	2.54
MALL	1.82225
OR1B1	0.657
PARK2	0.506333333333333
GPR124	1.768375
LCE1E	-3.064
RUVBL2	-2.215
CGRRF1	1.2693
ACPL2	0.63325
WNT10B	-1.6945
BAIAP2L2	-1.930375
ISCA1	1.0365
C1orf125	0.228571428571429
RPAP1	-0.20725
RAI16	-1.53366666666667
RPL27	-0.051
NLRP9	-0.6765
EPN1	-0.2265
LOC388610	-0.5325
SLC35A1	1.077
GAL	-4.9835
SLC14A2	-0.0185
RDH11	-0.819166666666667
FAM138F	-0.94
AUH	1.281
FLJ40243	-0.9165
C14orf129	0.130833333333333
MBD2	-0.655166666666667
ABHD14B	-0.34575
PIGT	-0.257375
ALS2CR4	0.732
ALAS1	-0.6277
FOXO1	2.52816666666667
CRLF3	0.52975
C20orf107	-0.6795
FARS2	0.26175
CCDC28A	1.606
NPHP3	0.5425
OR13F1	0.1835
TSEN54	-1.91025
DEFB106B	0.0911
OR8B4	-0.323
STH	0.80175
ZC3H14	-0.386125
CBX2	0.4405
TMEM49	-0.443
C6orf21	0.2105
FLJ20920	0.198125
CRTAP	0.512714285714286
DDX50	0.64875
STYXL1	0.038
BLVRB	0.0696666666666667
LOC147650	0.13
MMP24	0.24075
GRID1	2.49466666666667
BANF1	-1.95566666666667
CTAGEP	0.07125
HMBS	-2.66875
SLC25A24	0.906
C14orf50	2.33975
MRO	1.85516666666667
SLC25A15	-0.70325
FAM84B	0.764
TDP1	-0.929
C16orf78	0.6334
C11orf57	0.197625
RFK	-0.2745
ZFYVE9	0.320875
STCH	-0.5588
WIBG	-0.09825
LOC283871	-1.956
GBA2	-1.3166
NDUFB3	0.22325
HSD17B13	3.66175
GRIN3A	2.4396
FMNL1	-1.7825
SEPT7	0.4342
GNLY	3.049
GRAMD1C	2.0595
ZNF165	0.00699999999999999
USP38	0.593
FAM83A	-4.27583333333333
C14orf24	0.9945
ARMCX3	1.65725
ARHGDIB	0.209166666666667
AK1	-0.34075
KIAA1045	0.424
DNAJB13	-0.501166666666667
NEU2	-1.845
HIST1H4B	-1.45583333333333
FAM20B	-0.8158
HES2	0.104285714285714
FAM73B	-0.7644
LOC388381	0.1135
INTS7	-1.24554545454545
AMPH	1.063
ZNF775	-1.30425
UCKL1	-1.532
C10orf97	1.04875
C1orf161	0.25525
ALDH1L1	2.671
FLJ39378	-0.074125
SLC23A1	-1.3485
RBM4B	0.289
THAP4	-0.467833333333333
OGFRL1	1.2435
KIAA0831	1
PPP1R15A	0.637833333333333
C1orf96	-0.563714285714286
C12orf11	-1.58425
BMF	-0.645875
MAN1A1	0.579125
KIAA1600	1.39766666666667
NLGN4X	1.58875
ALOX12	-1.2455
RB1CC1	0.22
NEIL2	0.6087
EIF4E	0.185409090909091
ABHD5	0.674
EXOC4	-0.620333333333333
CIP29	-0.057
BATF2	0.98325
SLC29A4	0.480125
HTR4	0.81875
EMB	-0.238
TRAF6	1.31175
LMNB1	-3.28425
FAM19A5	-1.64525
SHE	3.465
PIK3C2B	1.91075
C15orf15	0.3554
USP15	0.6255
TCEAL2	3.69075
C5orf39	0.198333333333333
PTGER2	-0.43275
SLC31A1	-0.4619375
IFT172	0.827
ADAM29	-0.00950000000000001
GFOD1	1.71125
ST7L	0.775
C15orf26	-2.516
PKN3	-1.41425
CNTD1	3.30966666666667
COMMD1	0.312875
NTRK2	4.65275
FOXN3	1.46025
MFGE8	-0.625
PFKFB2	0.353666666666667
TAS2R4	-0.34
ENTHD1	-0.3302
PRMT5	-1.96175
MGC16384	-0.71675
LOC442229	-0.19225
TSKU	0.301125
KRTCAP3	2.059
PDLIM1	0.6328
KCNS2	1.2535
RNF126	-0.856
CEP63	0.625375
CLIC4	0.40775
hCG_1990170	3.59075
ACR	1.59
KLK7	5.1505
ALOX5AP	3.203
RIPK3	3.89475
TAS2R9	0.2175
C19orf18	2.494
BIRC6	0.116
ZNF16	0.2415
RFT1	-0.92125
SLC8A2	-0.702
TACC1	0.845125
ITGAD	1.79033333333333
SAMHD1	1.60075
SH3PXD2B	0.5656
EPC2	1.48875
C20orf85	0.00137500000000004
ATP13A2	-0.903666666666667
KRT4	0.131125
CAPNS1	-1.0685
MDM2	-0.860666666666667
PCDH20	2.983
KCNK9	0.15
OR2C1	-0.8495
KLHDC3	-1.84633333333333
IPPK	-0.246
EFHD2	-0.848375
GALR3	-1.3805
NBEA	1.35083333333333
ABCA6	5.5489
CLDN3	0.212166666666667
AKT2	-0.924428571428571
EGFR	1.4644
RBM16	0.706375
ZDHHC3	-0.00890000000000004
SLC25A4	0.207666666666667
CYB5B	0.0521666666666667
CPXM1	-0.641
NDRG1	-1.02884615384615
FLJ43826	0.3025
OR5L2	0.143833333333333
FARP2	-0.1474
MRPL46	-0.296166666666667
LDHAL6B	0.533666666666667
MAPKAPK3	-1.4285
NCAM2	-1.4255
PRKD2	-1.02716666666667
ZFP36L1	1.8324
CYSLTR1	0.85175
OR4C3	2.84325
HIST1H2AJ	1.1375
CCNB2	-5.26366666666667
ZNF10	0.954875
TMEM175	-0.3005
FAM134A	-0.267833333333333
TIGD4	1.155
PCNP	0.51825
MGC39715	1.26475
LQK1	-1.154
CREB1	1.0479
TMPRSS3	-0.04075
C4orf32	2.784375
LAT	-1.87175
KCNA3	0.137
SKIV2L2	-0.76575
ROPN1B	2.39925
tcag7.23	0.2645
CDT1	-4.978375
ZHX2	1.069375
CD28	-1.20975
ZNF624	1.357
SEPT2	0.612166666666667
SOHLH2	1.070625
MCOLN3	0.781857142857143
UNQ1945	-0.448
MASP2	-1.069
ZNRF3	-0.0769
GPATCH3	-1.01975
AGL	0.992625
QRICH2	-0.484
PSD4	-0.168166666666667
CCNB1IP1	-0.7955
ENPP7	0.053
OBFC1	-0.048
KCNG3	-1.6285
C14orf79	-0.45475
ENPEP	2.33783333333333
SCT	-0.036
SKI	0.162
SEC61G	-1.237
CAPN11	0.93125
ATXN7L3	-1.4075
DBNDD1	-1.67066666666667
FAIM	1.10875
ANKRD36	-0.286
GABRP	4.98833333333333
TACSTD2	2.101
EIF3J	-0.48375
PPP2R2A	-0.39575
TEKT4	0.61
PVALB	-4.2425
F10	-0.572
FAM134C	0.2633
COMP	2.67075
EFCBP1	-0.0611875
SCLT1	0.63325
TAL1	-0.3642
ACSL1	3.65375
ABCC5	-1.212
ABL1	-0.997277777777778
RBBP7	-0.22775
PTPRG	0.467
NCOR1	0.0636
SPINK4	-1.005
TXNRD1	-1.7952
TNRC15	0.85175
C9orf138	1.058
UBE2H	0.615666666666667
BRDT	0.0711666666666667
C8orf31	-0.37725
CCNE2	-3.24154545454545
SLC6A8	-2.84525
CALCR	-1.457
PPP1CB	1.36775
ABHD8	-0.81875
ARF5	-0.7696
SLC24A4	1.32425
CCT3	-1.77325
ZNF121	-0.097625
SLC3A2	-2.2996
OR13A1	-0.325
SLC5A10	-0.3945
RAD50	0.111375
IER5	-0.983375
MTHFD1L	-2.06625
MBTPS2	-0.12625
MVK	-0.984125
NCL	-0.4234
PSMD10	0.01925
MOBP	0.1805
FLJ32894	-1.556
HRH1	0.795166666666666
C5orf30	0.8345
NUDT16L1	-0.3985
RASGRP3	3.81016666666667
PRKRIP1	-0.7155
CCDC75	1.00175
LOC253970	1.433
KIAA1239	2.885
MED21	0.2105
SYT11	0.348166666666667
NTSR2	-0.763
EGFL11	-0.5755
CXorf59	0.2115
OR2A25	-0.037
SPTBN2	-1.40525
LRMP	0.0833333333333333
RNF111	0.63375
PTH	-1.2725
LOC619208	0.339
KIAA0895	0.53
RANBP5	-0.72525
P2RY10	0.5745
NME5	4.4765
DDX21	-0.74875
LRSAM1	-0.679
HDAC11	-0.287333333333333
VMO1	1.6125
NOLA2	-1.06483333333333
ADAR	-0.78475
MTO1	-0.411166666666667
SF4	-0.886333333333333
P2RX1	0.0768333333333333
HBM	0.13925
EN2	-1.454
C14orf172	-0.458
TM9SF2	0.5795
INHBE	-1.1335
TCTE3	0.0815
TOX2	-2.412
CTAGE3	0.221125
HBB	4.3748
MED15	-1.35166666666667
CASR	-0.00349999999999998
C6orf66	-0.280333333333333
MTPN	-0.693125
UNC50	0.9475
C21orf33	0.426125
IRF2	1.501625
PGR	2.3455
GPR84	0.762
CROCCL1	-0.724
SRPX	1.70825
BRE	-0.217333333333333
FGF10	2.65625
SDC3	0.379333333333333
ZRSR1	-0.00183333333333334
DKFZP434P211	-0.64
SOX6	0.639
RPUSD2	-0.4525
C14orf173	-0.34275
MAPK11	-0.299166666666667
TBC1D22A	-0.186
FAM123A	-0.841
COL4A6	-0.143
TOMM70A	0.27525
NAB1	0.884375
MGC16385	-0.10075
TSPAN18	-0.0753333333333333
MED31	0.369
PLG	-0.61625
CAPSL	0.4255
ZNF532	1.53
ASB14	0.15525
CA8	1.652
NUDT16P	1.3395
SLFN11	0.1355
LRRIQ2	-0.272375
NOL7	-0.592
BRMS1L	0.491375
JARID1A	0.106
PANK2	-0.274
ICAM3	-1.26175
MDS1	0.289
TAF8	-0.945
RNF139	0.97975
ZNF594	0.804166666666667
ADAM8	-0.11525
SFTPC	-0.452625
MAN2B2	0.728
RGS12	-0.061125
EIF1AY	-4.37908333333333
LRRIQ1	0.7565
GPR150	-1.9615
CCDC21	-2.94183333333333
PRRG3	0.90725
SAA4	2.0575
RAPGEF5	0.638875
ZCCHC2	0.421666666666667
MGC39372	0.834
PPP4R2	0.0468333333333333
CDCA2	-4.12616666666667
OR4D5	0.148333333333333
PTGFRN	-0.4233
SIGLEC5	1.08733333333333
C19orf61	-1.72616666666667
NMUR2	-0.088
KIAA1586	-0.0996666666666666
DAGLA	0.9095
CHCHD6	-0.576
GPR32	0.6535
NEUROD6	-0.0841666666666667
SLC2A4RG	-0.5865
CA5B	1.00225
FBXL3	1.84425
MPHOSPH9	-1.9765
HMG2L1	0.164
HCN4	-1.633
CEACAM19	0.74525
SH2D4B	-0.415833333333333
HFE2	-1.822
TGM4	-0.459666666666667
LYPD2	-0.287
TBC1D15	0.42975
MRPS21	-0.2775
NONO	-1.1055
CLEC5A	1.539125
ITCH	0.1404
MGAT3	1.202
MBP	0.68025
RPP25	-2.14275
SOSTDC1	3.6685
HRC	-0.49425
TRIM48	-0.0285
TMEM133	1.40675
ECEL1P2	-1.35375
HOXC11	-0.387
DOK5	0.143
HELZ	0.4785
LOC348180	-1.99625
MGC33894	-0.01375
ADRB3	-0.295
DMD	1.60741666666667
PTRH2	-0.52575
MPEG1	3.58383333333333
NDUFA12	-0.1355
KRTAP2-4	-0.4535
STAMBPL1	-0.139666666666667
ADCY2	-0.0778
UNQ6125	-0.099
KLHL20	0.411666666666667
SRM	-2.4295
OTC	1.251
TMIE	0.805
SNX8	-1.10225
LIPK	-0.149
CHURC1	0.57225
KLC2	-0.2495
HDAC1	-0.342666666666667
FAM128A	-0.633333333333333
FNDC3B	-0.0926
MTCP1	-0.686666666666667
WFDC10B	0.018
PCDHGB3	1.339
ATRNL1	-0.0903
CAV2	2.893625
MED26	-0.448833333333333
DUS1L	-1.41625
CHRM3	-2.463
NEK9	0.097
WARS2	0.19725
TBX22	0.9795
TOMM40	-2.402
RP6-213H19.1	-0.81
TUBGCP5	-0.406
IGSF6	6.215
TPPP	0.5855
UNQ6190	-1.242
GSTM5	2.48025
BTD	0.818
PDCD1LG2	1.12616666666667
SNRPB2	-0.405166666666667
ERICH1	0.597875
APOA4	-1.76175
HOXA11	-1.71
NARG1	-0.250875
MKX	1.31
RAB28	0.571071428571429
PKP3	0.2115
SH3GL2	-0.9805
CTSO	4.1615
RPN2	-0.7775625
IL28RA	0.696333333333333
SFMBT1	0.38925
WDR57	-0.6415
FER1L3	1.25866666666667
HSF5	0.491333333333333
TTC9B	-0.2765
C4BPA	-0.605166666666667
ALB	-3.36192857142857
SORBS3	0.49775
UPF2	0.7
JPH1	0.0585
AGBL2	1.39325
DOPEY1	2.829
TERF1	0.39575
KIF22	-2
NINJ1	0.764
SEC61A2	-0.514333333333333
HIST1H1D	-1.2605
SFXN4	-0.61575
UCP3	0.1134
ZNF703	-0.0913333333333333
MYL6B	-0.42975
TREM1	0.792
OR52E6	0.4035
CKMT2	4.111
HLA-C	1.409625
SLC13A3	-1.4845
TIMP4	3.814
SLIT2	3.30625
RSF1	0.364888888888889
LONRF1	0.405
MON1A	-0.484166666666667
CACNG6	-2.66116666666667
DPPA4	-6.14283333333333
ZSWIM3	-0.25025
ZNF804A	-0.231
CCIN	0.97725
SLC25A31	0.4595
KCNMB4	0.62125
RABL5	0.248
GALNS	-1.2982
STX6	0.11225
HIST1H1C	-2.26016666666667
CIDEB	0.23275
CASP4	1.03116666666667
PDK3	-0.6999
KCNJ11	0.094
TPR	-0.561375
ZSCAN20	-0.1225
MTX2	-0.11225
HIST1H2BH	-1.35875
LOC283767	2.3745
LYRM7	-0.286333333333333
BRD3	-1.01733333333333
HIST1H2BO	-1.73275
MAGEB10	0.00850000000000001
SLC45A1	-0.2375
SERPINA3	0.9172
KIAA0143	0.9485
KCNJ16	5.4325
KRT79	-0.803
FABP2	-0.8075
NUT	-0.25725
ZNF57	-0.205
FBXL4	0.869125
CLEC9A	1.3565
UGT8	0.3375
BMP2K	1.112
MAPK4	-2.14325
SLC25A23	-0.6706
HINT1	-0.6693
KRTAP13-1	0.0455
SFXN5	-1.1136
CHCHD2	-0.3645
FAM3D	3.535
NDP	-0.951125
RHOBTB1	0.0695
SLC4A4	0.488625
RPL38	0.2155
HTF9C	-0.988166666666667
AP2A2	-0.021875
ZBTB46	-1.0045
MAP7D1	0.149125
AOX1	0.944333333333333
CYR61	3.5035
DTNA	-0.0272142857142857
JRKL	1.4325
TMOD3	-0.22125
EEA1	0.8131
ADCK5	-1.4225
IL1R1	3.23233333333333
KLK3	0.418428571428571
HRSP12	0.24275
KTN1	0.601
LOH11CR2A	1.257
RELL2	-2.21825
MAB21L1	2.8275
C20orf59	-1.45816666666667
PHKB	0.442
ADAM2	-1.9186
TBC1D8B	1.8855
FAM13A1	0.93675
LAPTM4B	-1.29975
LCN8	-0.591
TMEM147	-0.4615
SYT4	0.978833333333333
XPO7	-1.338
C9orf62	-2.6735
GPR75	0.1365
TRIM5	0.396875
APOC1	-1.1455
RNASE4	2.708
PARD6B	-1.498375
ARID1A	-0.310166666666667
TPD52L3	0.393111111111111
RRAGB	0.837
RCN2	-0.361166666666667
HIST2H2BE	-0.8361875
STARD7	-0.9005
SHMT2	-2.68625
KIAA1751	-0.407
MLYCD	0.457
LOC162632	-0.226
UQCRH	-1.2705
RP11-217H1.1	0.51775
SDHA	-2.27033333333333
NCLN	-1.3056
ZNF17	0.865333333333333
RCBTB2	0.167
VEGFB	0.0902
RP4-747L4.3	-0.116
COLQ	-0.4157
MPN2	-0.2255
DRG2	-1.00175
KLRB1	4.87025
ALPK2	-3.27825
DNASE2B	1.09025
FLJ23834	0.368
AXUD1	2.07266666666667
SAFB	-0.6905
NSUN4	-0.59725
RFX2	1.0805
MAPK8IP1	-1.005
FANCD2	-1.5255
ANKZF1	-1.96066666666667
C19orf50	-0.717
DUSP8	0.96025
SENP5	-0.378125
NFKBIL2	-1.864
LBR	-0.926
IGFL1	-1.644
LZTS2	-0.142375
IL2RG	-1.183375
CCDC51	-0.8255
KLF3	0.457875
ANKRD37	0.55875
KCTD14	1.12083333333333
FZR1	-0.835666666666667
SLC44A4	0.9614
ESPL1	-2.33125
GMPR2	-0.3551
TBC1D19	-0.2625
ERGIC1	-0.439962962962963
ERBB4	2.4772
TSPAN32	0.0239166666666667
MAP4	-0.73125
GPHN	-0.37275
SLC6A2	1.510125
HIVEP1	0.6735
DFFB	-0.2567
EIF4EBP2	0.99925
DMRT1	0.50075
HSPB6	1.72225
IER2	1.2375
AIFM1	-0.4735
WWC2	0.964166666666667
MRPL4	-1.7515
FLJ21062	2.38433333333333
EPB41L4A	1.57308333333333
SH2D6	-0.117
TAF4B	-0.6955
GAL3ST3	-0.469
MALT1	-0.389166666666667
RTDR1	0.18575
ARVCF	-0.214125
MEX3B	-1.07116666666667
FBXO16	0.80625
KIF7	-1.496
C1QC	4.4695
ZNF783	-0.5115
ZNF85	1.002
MMP13	-0.641
KIAA0329	1.09357142857143
RTP3	0.0245000000000001
ZBED3	0.30375
CLGN	-2.075
SLC25A37	-0.566041666666667
hCG_18290	0.347
OR5AS1	0.1645
SMARCC2	-0.0105
FAM109A	-0.754
CCDC12	0.024
USF2	-0.5425
DEPDC7	-2.5235
C20orf24	-1.12133333333333
JMJD3	-0.3455
DSP	0.986357142857143
SLIC1	-0.16875
FAM20A	1.87575
IRF2BP2	0.31425
ZNF230	0.58
MSN	-0.336642857142857
SLC9A5	-1.334
EPDR1	0.2149
MUSK	-0.0720000000000001
ZNF434	0.188
SMARCD1	-0.845833333333333
ZFP106	1.342
ZNF347	0.6161
GTF2E1	-0.07275
RY1	0.423333333333333
ATAD2B	0.071875
