Hybridization REF	TCGA-C8-A1HG-01A-11R-A137-07
OR10A2	0.432
CST7	2.23175
CIAO1	-0.49525
SELL	1.59775
OR8J3	0.46
LTBP4	-0.454666666666667
SIRT6	0.02325
CCL19	4.321
PPIL1	-0.241833333333333
GBP7	0.186666666666667
STK17A	-0.7976
ABR	-0.26625
OR9G1	0.522
FOXE1	-0.274625
CNGA3	-0.733
GML	0.4755
CD38	1.409
ZDHHC6	0.5125
NEFH	2.965
CTDSP2	0.196333333333333
PGBD5	1.3515
CCNY	0.0630714285714286
RMND5B	0.716166666666667
ZNF257	-1.6515
FLJ22167	-0.31525
EXOSC7	-0.825666666666667
ROR2	0.236625
MAOA	0.19825
TNNT3	-0.251333333333333
GYPC	-1.0175
C7orf33	0.5865
PLIN	1.949
LOC90826	0.129
RNF4	0.0466
F8A1	-0.2155
PLEKHG4	-0.9815
GRB2	0.19745
HIST1H2AD	0.929
DUS3L	-1.13883333333333
EIF1	0.0696666666666667
RP5-1077B9.4	-0.566333333333333
FPGT	2.0715
GDF10	-0.0871666666666667
COQ9	-0.059
GCC2	-0.224571428571429
RARRES3	2.253
PLXNA1	-0.7856
KIAA0100	0.1657
PMF1	-0.22925
FNDC1	5.3355
HS2ST1	-0.292666666666667
CRELD2	1.7015
C8G	-1.1515
CD82	0.372
LIM2	-0.993
UNQ6490	-0.598
MMP16	-0.8505
DRD3	0.4735
C5orf26	-0.33625
C11orf73	-0.102375
PTP4A2	1.87625
OR4M2	0.567
HPCA	-1.21616666666667
SEC14L1	-0.312666666666667
CHFR	-0.136625
EMILIN1	0.928375
NDUFS4	-0.3315
COL18A1	-0.399375
PDZD3	-0.0786
C9orf16	0.481333333333333
ERBB2IP	-0.146166666666667
EMX2	2.12475
FUS	-1.821
TF	-3.3278
CLCN4	-0.625833333333333
CXorf56	1.009
C11orf72	0.37475
ELAC2	-0.782333333333333
NPR1	-1.5815
ASS1	-0.226833333333333
USP42	-0.133625
POLR2J	-0.6895
SEC23IP	0.227333333333333
UQCRC1	-0.55675
LOC729603	-0.8545
C1orf71	-0.593125
POLG	-1.1085
ADAM23	-2.81125
TFR2	-0.19075
RICTOR	-1.8165
MGC39606	0.5375
C19orf55	-0.2555
SNAPC1	-1.67166666666667
GNA11	0.5955
CCDC52	-0.99
FSIP1	5.222
UPF3A	-0.5865
IGSF11	-0.675666666666667
LAGE3	1.71975
CHST6	-2.801
UNC13B	0.22875
TTLL4	-1.4935
ZNF687	-0.21075
SDC2	-0.1098
COX7A2	0.00525
LAMB4	-0.9775
FAM24A	0.077
LRRTM3	-2.87216666666667
GPHB5	0.69675
OR4C13	0.1905
EIF3EIP	0.382642857142857
HABP4	0.116
TMEM125	3.1565
CNTN2	-0.011
ASNSD1	-0.41625
FUT4	-0.795375
ACF	-3.3245
LOC158381	1.181
CDH8	-0.64175
AGPS	-0.680833333333333
C4orf18	2.22375
PECI	-1.33358333333333
UNG	0.750375
GSTP1	-1.7195
DCUN1D5	-1.34083333333333
DKFZP564J0863	-1.43175
SLC9A3R1	1.68975
BCDO2	0.370125
CHMP7	-0.88575
REM2	0.868
DNHD1	-0.418875
FKBP4	0.5175
ZNF350	0.94975
MGC11102	0.328625
BST1	1.246
KISS1R	-0.164
NCR2	-0.038
DEFB125	-0.4495
UBE2W	1.731375
KRT15	-1.12
C10orf99	0.24
SCN11A	0.123625
GFI1	-0.42775
RDHE2	3.39483333333333
FHL1	-1.62833333333333
OSGEP	0.365
GATA1	-3.36133333333333
SMC6	-1.46675
TTTY14	-1.21725
LPIN3	-0.243
RPL4	-0.4953
RBPMS	-1.748
PRPF3	-0.901333333333333
EMR1	-1.736
SPATA19	0.5125
XCR1	0.506
IRX3	1.3006
RBM6	-0.97625
KLF4	-1.0725
UNC5CL	-1.0495
SEBOX	0.0005
BTK	0.32325
KRCC1	0.349
C6orf27	0.467
SYTL5	-0.205
PRND	1.8375
LOC653319	-0.5005
PIGL	-0.850875
HUS1	-0.241333333333333
SFRS6	-0.688
C17orf77	1.3575
UIMC1	0.358333333333333
FXYD2	-1.4798
LOC283152	-0.531
ZNF667	-2.41225
ZCCHC12	-0.657
TFEC	4.1052
ATP7B	0.088
POLD2	-1.24416666666667
RG9MTD1	-0.35325
ACOT2	-1.79983333333333
HIST1H4I	0.204625
PPARGC1A	-2.5301
ETFA	-1.4936
POLRMT	0.36125
ZNF146	0.260625
MIA2	-2.396
KLHL6	0.763666666666667
HOXB5	2.353625
NENF	0.751333333333333
CUGBP1	-0.22675
PRSS22	0.2895
CASC4	1.7487
CUL4B	0.812
CENPJ	-1.2688
PITX1	0.9945
FLJ31033	1.0385
CELSR3	0.571666666666667
ZNF568	1.2895
ITSN1	-0.15275
EHBP1L1	-1.31483333333333
C19orf2	-0.5125
DCTN1	-0.3895
LIN28B	-4.58183333333333
TNKS2	-0.001
C1QBP	-0.669125
CADPS2	0.944
SRMS	0.21575
GJA9	0.304
MGC24975	-0.362
TRIM45	-1.63666666666667
TSP50	-0.00550000000000001
TCP1	-1.09325
TMED7	0.6723
CMA1	0.9025
CENPL	-1.1725
PTCRA	0.5475
FST	-3.78075
VWCE	-3.75375
PAWR	-0.54025
ABCC12	0.492833333333333
LDLR	-1.5727
ASTN2	1.2258
LOC441212	0.041375
GPATCH8	0.13025
TANC2	-0.795916666666667
KIF4A	-0.79275
C18orf18	0.29775
PGM1	-1.49675
KIAA0258	0.5195
CPD	0.682625
SNCAIP	-1.36025
DCT	-3.925
HLA-DOA	3.22145454545455
OR11L1	0.879
UPK1B	-0.2465
DNAJB4	-0.180375
UGT1A8	-0.23325
HIST1H4L	-1.7605
PECR	-0.4165
HSPA2	1.4655
WFIKKN1	0.628
SERP1	1.16775
SYDE2	2.2925
TACR2	0.4375
NUP85	-0.318
CD177	0.429166666666667
LGR5	-1.76783333333333
PIGG	-0.05825
PTHR1	-1.5275
RAB5A	-0.2859
FLJ13224	0.2175
USP9Y	-2.59366666666667
C7orf53	0.128
LRP1B	4.32125
XAF1	2.0186
ABCG8	-0.379
ANKDD1A	0.0853333333333333
DAND5	-2.3905
SPAG6	0.478666666666667
LINCR	0.74775
ZDHHC22	0.253125
CCDC60	-0.5155
THOC7	-1.23433333333333
TCTA	1.29
OR8K3	0.4675
NY-REN-7	-0.64725
B2M	2.38866666666667
C6orf141	0.640875
LPPR4	1.29775
SQLE	1.6045
SEPHS1	-0.5695
BTBD14B	0.223785714285714
PLRG1	-0.31325
SPG7	-1.3395
ZNF614	-0.473333333333333
PARD6G	1.127
INPP5B	-0.8241
GRPEL2	0.813125
PPID	-0.2376
TRIM56	-0.1525
UBE2J1	0.0145
IL20RA	5.559
LOC387856	0.413
C1orf107	0.333666666666667
UTS2R	-0.11475
C19orf22	-0.0335
SAFB2	-0.398625
KIAA0652	-0.538875
KLRG1	0.919166666666667
MS4A8B	2.37066666666667
FRAG1	-0.15575
KIAA1546	0.24825
E2F4	-1.4625
CLEC4M	0.257833333333333
BTBD14A	-0.10475
KIAA0999	0.2577
GYPA	-3.60933333333333
TAC1	0.0376
TRAIP	-0.966166666666667
KIAA0232	1.4537
ERCC8	-1.3115
GPX4	1.302875
KIAA0368	1.297875
GPR157	-0.9785
CTAGE4	0.323
C9orf30	-0.751166666666667
OR52A1	0.467
HSP90B3P	-0.2325
ALG9	-0.4019
BTBD10	0.33375
SDK2	0.55325
BAIAP3	-1.34025
RABGGTB	-0.047125
ANKRD40	-0.306333333333333
KRT74	0.419
CALCOCO2	0.461571428571428
SNCA	-3.3465
TMSL8	-3.828625
C2orf53	0.267
ESRRB	-0.39875
ARHGAP26	-0.248
TDRD9	1.884
HRAS	0.394333333333333
KLRC4	-0.99
JAGN1	0.209
BSDC1	1.17025
RNF43	-0.9306
NDUFAF1	0.6425
PHF12	0.47775
OR1L3	-0.03225
FOLR2	2.43366666666667
LYZL6	0.179333333333333
tcag7.1260	-1.593
WSB1	-1.80733333333333
PROS1	-1.3851
OSTN	0.534
PSMB8	1.92575
SOCS4	0.53225
DDIT4L	1.71925
MAS1	-1.124
MGC34796	2.27025
CSHL1	0.234833333333333
TBCCD1	0.489666666666667
ZBTB7C	0.14
AP2S1	-0.08775
P15RS	1.3453
VAT1	-0.2128
SHANK3	0.517666666666667
TUFM	-0.344166666666667
THEG	-0.09175
KRT34	-1.54025
SGSM3	0.604875
TOMM22	0.05975
SOCS3	0.321333333333333
CPO	0.579
POP4	0.09725
BHLHB3	0.63325
MALL	0.72775
OR1B1	0.568
PARK2	0.506833333333333
GPR124	-0.13625
LCE1E	0.251
RUVBL2	-0.36025
CGRRF1	1.0727
ACPL2	-0.0635
WNT10B	-1.877875
BAIAP2L2	-1.6675
ISCA1	1.1185
C1orf125	0.072
RPAP1	-0.40125
RAI16	-0.215333333333333
RPL27	-0.075875
NLRP9	0.035
EPN1	0.1275
LOC388610	-1.956625
SLC35A1	0.9597
GAL	-3.27425
SLC14A2	0.57225
RDH11	-0.696
FAM138F	0.2195
AUH	1.3315
FLJ40243	-0.01275
C14orf129	-0.675833333333333
MBD2	-0.550333333333333
ABHD14B	0.34875
PIGT	1.101
ALS2CR4	-0.337625
ALAS1	-0.1399
FOXO1	0.339833333333333
CRLF3	0.391
C20orf107	-0.0945
FARS2	-0.3975
CCDC28A	1.507
NPHP3	-1.78675
OR13F1	0.433
TSEN54	-0.16825
DEFB106B	0.4538
OR8B4	0.6075
STH	1.14
ZC3H14	-1.239875
CBX2	0.003
TMEM49	-1.41475
C6orf21	0.9955
FLJ20920	-0.4675
CRTAP	-0.727214285714286
DDX50	-0.11425
STYXL1	-0.421
BLVRB	0.6165
LOC147650	-0.348166666666667
MMP24	0.74675
GRID1	2.1605
BANF1	-0.673833333333333
CTAGEP	0.21325
HMBS	-1.908
SLC25A24	0.145
C14orf50	-0.07325
MRO	0.425666666666667
SLC25A15	-0.6655
FAM84B	2.1299
TDP1	-1.721
C16orf78	0.0556666666666666
C11orf57	0.294625
RFK	0.029625
ZFYVE9	-0.2445
STCH	0.7756
WIBG	-0.2115
LOC283871	0.2495
GBA2	-0.3466
NDUFB3	0.2385
HSD17B13	-0.9045
GRIN3A	3.25016666666667
FMNL1	-0.535166666666667
SEPT7	-0.6825
GNLY	4.4535
GRAMD1C	1.13866666666667
ZNF165	-0.10275
USP38	0.9555
FAM83A	-3.31466666666667
C14orf24	1.19958333333333
ARMCX3	1.084875
ARHGDIB	-0.191333333333333
AK1	1.227
KIAA1045	0.25725
DNAJB13	-0.0498333333333333
NEU2	0.4675
HIST1H4B	-0.916666666666667
FAM20B	-0.7474
HES2	0.122285714285714
FAM73B	-0.1331
LOC388381	0.02225
INTS7	-0.671454545454545
AMPH	1.714
ZNF775	0.074875
UCKL1	-0.288333333333333
C10orf97	-0.05425
C1orf161	0.3785
ALDH1L1	-1.07525
FLJ39378	-0.66125
SLC23A1	-2.145
RBM4B	0.6555
THAP4	0.146666666666667
OGFRL1	-0.3995
KIAA0831	0.53075
PPP1R15A	-0.699
C1orf96	0.0346428571428572
C12orf11	-0.54075
BMF	0.27025
MAN1A1	0.113125
KIAA1600	-0.204
NLGN4X	-0.32525
ALOX12	-0.918833333333333
RB1CC1	2.2023
NEIL2	0.2419
EIF4E	0.244090909090909
ABHD5	-0.516
EXOC4	-0.374833333333333
CIP29	-0.758
BATF2	2.54425
SLC29A4	-0.34975
HTR4	0.90625
EMB	-0.631
TRAF6	0.137
LMNB1	-2.6635
FAM19A5	0.9705
SHE	0.84025
PIK3C2B	0.55175
C15orf15	-0.0827
USP15	-0.7553
TCEAL2	0.16875
C5orf39	-0.858333333333333
PTGER2	-1.44175
SLC31A1	-0.44875
IFT172	-0.1135
ADAM29	1.1135
GFOD1	1.65675
ST7L	0.6885
C15orf26	-2.62575
PKN3	-1.804
CNTD1	1.1755
COMMD1	0.55425
NTRK2	2.53016666666667
FOXN3	-0.622125
MFGE8	-0.8129
PFKFB2	1.41166666666667
TAS2R4	-0.2975
ENTHD1	1.11316666666667
PRMT5	-1.18825
MGC16384	-2.701
LOC442229	0.182
TSKU	-0.472125
KRTCAP3	2.722625
PDLIM1	-0.9627
KCNS2	0.6085
RNF126	-0.354
CEP63	-0.5775
CLIC4	-0.229625
hCG_1990170	-1.06825
ACR	1.3294
KLK7	1.384
ALOX5AP	2.96075
RIPK3	2.7425
TAS2R9	0.433
C19orf18	1.9305
BIRC6	-0.512214285714286
ZNF16	1.9105
RFT1	-0.74875
SLC8A2	0.63225
TACC1	-0.660875
ITGAD	1.9315
SAMHD1	2.0925
SH3PXD2B	1.0501
EPC2	0.79275
C20orf85	1.4815
ATP13A2	1.16016666666667
KRT4	0.611625
CAPNS1	-0.553
MDM2	-0.165166666666667
PCDH20	1.28075
KCNK9	0.854
OR2C1	-0.016
KLHDC3	-0.887
IPPK	1.204
EFHD2	0.0145
GALR3	-0.11225
NBEA	1.03116666666667
ABCA6	3.1235
CLDN3	1.01266666666667
AKT2	-0.897785714285714
EGFR	-2.7521
RBM16	0.588
ZDHHC3	-0.1889
SLC25A4	-0.7605
CYB5B	-1.19216666666667
CPXM1	-1.28425
NDRG1	-1.873
FLJ43826	0.291
OR5L2	0.156
FARP2	0.2022
MRPL46	-0.232
LDHAL6B	-0.245
MAPKAPK3	-0.703333333333333
NCAM2	1.0155
PRKD2	0.066
ZFP36L1	0.2903
CYSLTR1	-0.15975
OR4C3	0.55175
HIST1H2AJ	0.4145
CCNB2	-1.289
ZNF10	0.02925
TMEM175	0.4155
FAM134A	0.761333333333333
TIGD4	0.4605
PCNP	-0.4355
MGC39715	-0.07125
LQK1	-1.39075
CREB1	-0.2384
TMPRSS3	-1.8915
C4orf32	0.259125
LAT	-0.672166666666667
KCNA3	-0.367
SKIV2L2	-0.7
ROPN1B	-3.105
tcag7.23	-0.2065
CDT1	-2.7295
ZHX2	0.710875
CD28	-1.7045
ZNF624	0.83825
SEPT2	-0.459916666666667
SOHLH2	-1.922875
MCOLN3	1.8035
UNQ1945	0.7105
MASP2	-1.4345
ZNRF3	0.7703
GPATCH3	-0.2345
AGL	0.354875
QRICH2	-0.2255
PSD4	-0.160166666666667
CCNB1IP1	-1.499
ENPP7	0.029
OBFC1	-0.072
KCNG3	-0.91675
C14orf79	-0.730666666666667
ENPEP	2.00316666666667
SCT	1.659
SKI	0.035375
SEC61G	0.189
CAPN11	0.02425
ATXN7L3	-0.39125
DBNDD1	-0.156833333333333
FAIM	-0.1455
ANKRD36	-1.178
GABRP	1.82416666666667
TACSTD2	-0.432166666666667
EIF3J	0.1345
PPP2R2A	-1.6545
TEKT4	0.00183333333333332
PVALB	-1.82466666666667
F10	-2.5335
FAM134C	0.9255
COMP	4.338
EFCBP1	-2.7791875
SCLT1	0.587375
TAL1	-1.4883
ACSL1	1.56275
ABCC5	-0.786333333333333
ABL1	-0.598222222222222
RBBP7	0.934916666666667
PTPRG	-2.2525
NCOR1	-0.3531
SPINK4	0.529333333333333
TXNRD1	1.7237
TNRC15	-0.534625
C9orf138	0.80225
UBE2H	0.366833333333333
BRDT	1.7995
C8orf31	0.1675
CCNE2	0.183727272727273
SLC6A8	-1.30275
CALCR	-3.35075
PPP1CB	0.0410833333333333
ABHD8	-0.3185
ARF5	0.3375
SLC24A4	1.20525
CCT3	0.21325
ZNF121	0.44125
SLC3A2	-1.1145
OR13A1	0.4985
SLC5A10	-0.03525
RAD50	-0.350625
IER5	-0.68375
MTHFD1L	-1.823
MBTPS2	0.23125
MVK	0.17275
NCL	0.2999
PSMD10	0.9635
MOBP	0.262125
FLJ32894	-0.2355
HRH1	-1.3595
C5orf30	0.53125
NUDT16L1	1.1094
RASGRP3	4.14466666666667
PRKRIP1	-0.4474
CCDC75	-0.48125
LOC253970	0.4395
KIAA1239	-0.106
MED21	1.12025
SYT11	0.415916666666667
NTSR2	0.1465
EGFL11	0.627
CXorf59	1.3765
OR2A25	0.38125
SPTBN2	0.128
LRMP	-1.03233333333333
RNF111	-0.39875
PTH	0.714
LOC619208	0.926666666666667
KIAA0895	1.85125
RANBP5	-1.285
P2RY10	2.26566666666667
NME5	4.661
DDX21	-0.14125
LRSAM1	0.091
HDAC11	2.1595
VMO1	2.51175
NOLA2	0.750833333333333
ADAR	0.9335
MTO1	-0.911
SF4	0.139833333333333
P2RX1	0.197666666666667
HBM	0.82275
EN2	-0.7505
C14orf172	-0.00975000000000001
TM9SF2	0.1217
INHBE	-1.07316666666667
TCTE3	0.335416666666667
TOX2	-2.0385
CTAGE3	0.00487499999999996
HBB	3.3065
MED15	-0.847833333333333
CASR	0.53925
C6orf66	-0.673333333333333
MTPN	-0.569375
UNC50	-0.171
C21orf33	0.5255
IRF2	1.313625
PGR	2.67416666666667
GPR84	2.39875
CROCCL1	-2.14625
SRPX	-1.97575
BRE	0.0455
FGF10	1.65225
SDC3	1.01883333333333
ZRSR1	0.331166666666667
DKFZP434P211	-0.762125
SOX6	-0.264
RPUSD2	0.074
C14orf173	-0.669666666666667
MAPK11	0.5005
TBC1D22A	0.312
FAM123A	-0.3955
COL4A6	-3
TOMM70A	0.47075
NAB1	-0.479
MGC16385	0.2265
TSPAN18	-1.519
MED31	0.19725
PLG	-0.59925
CAPSL	1.1745
ZNF532	0.7971
ASB14	-0.17675
CA8	2.871
NUDT16P	0.239833333333333
SLFN11	-0.3085
LRRIQ2	-0.077875
NOL7	0.484333333333333
BRMS1L	0.219625
JARID1A	-0.213833333333333
PANK2	-0.07125
ICAM3	-0.05
MDS1	-1.11325
TAF8	-0.52275
RNF139	2.036
ZNF594	-0.645666666666667
ADAM8	1.284875
SFTPC	0.16125
MAN2B2	1.24725
RGS12	0.4036875
EIF1AY	-4.53341666666667
LRRIQ1	0.421333333333333
GPR150	-0.52925
CCDC21	-0.9145
PRRG3	0.21325
SAA4	-3.66225
RAPGEF5	0.55575
ZCCHC2	1.039
MGC39372	0.052
PPP4R2	-0.537
CDCA2	-2.44466666666667
OR4D5	0.546833333333333
PTGFRN	-0.2874
SIGLEC5	2.41183333333333
C19orf61	-0.261666666666667
NMUR2	-0.065
KIAA1586	-1.26833333333333
DAGLA	0.664833333333333
CHCHD6	0.20125
GPR32	0.7525
NEUROD6	0.0806666666666667
SLC2A4RG	0.2245625
CA5B	0.0205
FBXL3	1.21175
MPHOSPH9	-1.50275
HMG2L1	0.6455
HCN4	-0.577333333333333
CEACAM19	0.214
SH2D4B	0.872333333333333
HFE2	-0.503
TGM4	-0.360666666666667
LYPD2	0.18425
TBC1D15	-0.4865
MRPS21	0.1897
NONO	-0.0571
CLEC5A	1.894
ITCH	0.1162
MGAT3	1.71216666666667
MBP	0.268125
RPP25	0.83175
SOSTDC1	-1.5205
HRC	-1.30975
TRIM48	-0.2345
TMEM133	-0.4605
ECEL1P2	-1.49375
HOXC11	0.259
DOK5	-0.527
HELZ	0.295333333333333
LOC348180	-0.7315
MGC33894	0.1485
ADRB3	0.3055
DMD	-0.450916666666667
PTRH2	-0.21175
MPEG1	3.37833333333333
NDUFA12	-0.110833333333333
KRTAP2-4	0.277
STAMBPL1	-0.866333333333333
ADCY2	0.5934
UNQ6125	0.069
KLHL20	-0.564
SRM	-0.49775
OTC	0.177
TMIE	-0.548333333333333
SNX8	0.03225
LIPK	-0.046
CHURC1	-1.06575
KLC2	0.407666666666667
HDAC1	-0.0221666666666667
FAM128A	0.216333333333333
FNDC3B	0.0251
MTCP1	0.196166666666667
WFDC10B	0.667
PCDHGB3	-0.4005
ATRNL1	2.4933
CAV2	-1.13625
MED26	-0.0746666666666667
DUS1L	0.6455
CHRM3	-2.049875
NEK9	-0.8195
WARS2	-0.57525
TBX22	-0.63
TOMM40	-0.62725
RP6-213H19.1	-0.243833333333333
TUBGCP5	-0.593
IGSF6	5.25375
TPPP	1.00833333333333
UNQ6190	-0.651
GSTM5	0.547625
BTD	0.173833333333333
PDCD1LG2	1.32433333333333
SNRPB2	0.1605
ERICH1	-1.140125
APOA4	-1.0385
HOXA11	-2.652
NARG1	0.44225
MKX	0.3295
RAB28	-0.169214285714286
PKP3	-0.49425
SH3GL2	2.42375
CTSO	2.3355
RPN2	1.0764375
IL28RA	0.299166666666667
SFMBT1	0.786
WDR57	-0.146125
FER1L3	0.21525
HSF5	0.25
TTC9B	1.5275
C4BPA	-3.78633333333333
ALB	-4.77307692307692
SORBS3	-0.056875
UPF2	0.8665
JPH1	0.8435
AGBL2	-1.42225
DOPEY1	1.2535
TERF1	1.72233333333333
KIF22	-0.547166666666667
NINJ1	1.8895
SEC61A2	1.86791666666667
HIST1H1D	-0.699833333333333
SFXN4	0.857375
UCP3	-0.00380000000000001
ZNF703	1.455
MYL6B	-0.3435
TREM1	1.79625
OR52E6	1.37
CKMT2	0.3765
HLA-C	3.08575
SLC13A3	-0.534666666666667
TIMP4	-2.68475
SLIT2	2.32975
RSF1	-0.7625
LONRF1	-2.53392857142857
MON1A	0.2495
CACNG6	0.861333333333333
DPPA4	-4.859
ZSWIM3	0.47475
ZNF804A	0.5065
CCIN	1.58675
SLC25A31	0.96375
KCNMB4	-1.01425
RABL5	0.613625
GALNS	-0.3437
STX6	-0.3465
HIST1H1C	-0.5405
CIDEB	0.96275
CASP4	0.0173333333333334
PDK3	0.2831
KCNJ11	1.255
TPR	-1.114625
ZSCAN20	-0.5165
MTX2	-0.2645
HIST1H2BH	0.824
LOC283767	-0.3135
LYRM7	-0.200833333333333
BRD3	-0.7475
HIST1H2BO	0.24125
MAGEB10	0.2455
SLC45A1	1.51975
SERPINA3	-2.0329
KIAA0143	2.5245
KCNJ16	-0.201833333333333
KRT79	-0.633
FABP2	-0.72275
NUT	-0.2195
ZNF57	0.616
FBXL4	0.102125
CLEC9A	0.921
UGT8	-1.47933333333333
BMP2K	0.04675
MAPK4	-3.12525
SLC25A23	-0.2939
HINT1	0.5548
KRTAP13-1	0.2835
SFXN5	1.2574
CHCHD2	0.40225
FAM3D	0.742
NDP	-3.183
RHOBTB1	-1.67866666666667
SLC4A4	1.18025
RPL38	0.767
HTF9C	0.279333333333333
AP2A2	0.220625
ZBTB46	-0.744
MAP7D1	-0.021
AOX1	-0.077
CYR61	-0.625833333333333
DTNA	1.20414285714286
JRKL	-1.2495
TMOD3	-0.3155
EEA1	-0.7306
ADCK5	0.85275
IL1R1	1.48933333333333
KLK3	-0.0508571428571429
HRSP12	1.654
KTN1	-0.0095
LOH11CR2A	-0.3956
RELL2	1.45
MAB21L1	0.888
C20orf59	-0.525666666666667
PHKB	-0.26425
ADAM2	-2.14333333333333
TBC1D8B	1.4965
FAM13A1	-1.10075
LAPTM4B	1.33025
LCN8	0.4885
TMEM147	0.882
SYT4	3.44916666666667
XPO7	-1.519
C9orf62	-0.40875
GPR75	0.541
TRIM5	-0.00625
APOC1	1.6165
RNASE4	-0.1405
PARD6B	0.172875
ARID1A	-0.42125
TPD52L3	0.2339
RRAGB	0.369
RCN2	0.0956666666666667
HIST2H2BE	0.967125
STARD7	0.1655
SHMT2	-0.9075
KIAA1751	0.0693333333333333
MLYCD	-0.732125
LOC162632	-0.7389
UQCRH	-0.335
RP11-217H1.1	0.748875
SDHA	-1.70533333333333
NCLN	-0.2226
ZNF17	-0.356833333333333
RCBTB2	-1.36825
VEGFB	-0.0788
RP4-747L4.3	0.09125
COLQ	-0.1158
MPN2	-0.951
DRG2	-0.183
KLRB1	5.398
ALPK2	-1.85175
DNASE2B	0.4265
FLJ23834	0.262166666666667
AXUD1	-0.693
SAFB	-0.5457
NSUN4	-0.19325
RFX2	0.992833333333333
MAPK8IP1	-0.036
FANCD2	-0.626285714285714
ANKZF1	-1.657
C19orf50	-0.34575
DUSP8	0.625625
SENP5	0.289375
NFKBIL2	0.06325
LBR	-0.657
IGFL1	0.501
LZTS2	-0.4825
IL2RG	0.569125
CCDC51	-0.25125
KLF3	-0.497125
ANKRD37	-1.50275
KCTD14	-1.14066666666667
FZR1	0.265666666666667
SLC44A4	2.489
ESPL1	-0.811125
GMPR2	-0.0389
TBC1D19	-0.690333333333333
ERGIC1	-0.199703703703704
ERBB4	1.858
TSPAN32	1.13516666666667
MAP4	-0.875125
GPHN	-0.26625
SLC6A2	-0.164625
HIVEP1	0.2365
DFFB	0.392
EIF4EBP2	0.515625
DMRT1	-0.61725
HSPB6	-0.1855
IER2	-0.702333333333333
AIFM1	0.6755
WWC2	-1.31091666666667
MRPL4	-0.40025
FLJ21062	0.780333333333333
EPB41L4A	0.565333333333333
SH2D6	0.24725
TAF4B	0.0795
GAL3ST3	0.191
MALT1	-0.251333333333333
RTDR1	2.9325
ARVCF	0.446375
MEX3B	-0.6095
FBXO16	1.28525
KIF7	-1.997
C1QC	4.12
ZNF783	-0.0998333333333334
ZNF85	-0.32875
MMP13	3.233
KIAA0329	-0.07375
RTP3	-0.909
ZBED3	-0.74925
CLGN	0.68825
SLC25A37	-2.22666666666667
hCG_18290	0.184
OR5AS1	0.258
SMARCC2	-0.378
FAM109A	-0.2675
CCDC12	-0.301
USF2	0.391
DEPDC7	-0.646
C20orf24	0.163666666666667
JMJD3	-0.503
DSP	-0.806142857142857
SLIC1	0.55025
FAM20A	1.41025
IRF2BP2	-0.1895
ZNF230	-0.3605
MSN	-0.96
SLC9A5	-0.709
EPDR1	-0.2559
MUSK	0.451
