Hybridization REF	TCGA-E2-A15J-01A-11R-A12P-07
SYDE2	0.90725
TACR2	1.5005
NUP85	-0.629
CD177	-1.26583333333333
LGR5	-3.7495
PIGG	0.181333333333333
PTHR1	-2.10466666666667
RAB5A	-0.00560000000000001
FLJ13224	0.4045
USP9Y	-2.0362
C7orf53	-0.2025
LRP1B	-1.02175
XAF1	0.6797
ABCG8	-0.261
ANKDD1A	-0.836
DAND5	-1.9135
SPAG6	5.74583333333333
LINCR	0.456
ZDHHC22	-1.2435
CCDC60	0.2205
THOC7	-1.28583333333333
TCTA	0.6983
OR8K3	0.5425
NY-REN-7	-1.29025
B2M	1.14233333333333
C6orf141	-0.07425
LPPR4	0.43775
SQLE	-1.72175
SEPHS1	-0.79425
BTBD14B	0.794857142857143
PLRG1	-0.224
SPG7	-0.434
ZNF614	-0.1045
PARD6G	0.3935
INPP5B	-0.9269
GRPEL2	0.218
PPID	-0.4867
TRIM56	-0.04625
UBE2J1	0.010375
IL20RA	5.84
LOC387856	0.21825
C1orf107	1.67966666666667
UTS2R	1.558
C19orf22	0.77875
SAFB2	-0.172125
KIAA0652	0.306
KLRG1	-1.2705
MS4A8B	0.6145
FRAG1	0.84075
KIAA1546	0.0675
E2F4	-1.3449
CLEC4M	0.443
BTBD14A	-1.6835
KIAA0999	0.0225
GYPA	-3.83216666666667
TAC1	-0.4934
TRAIP	-1.52733333333333
KIAA0232	0.5469
ERCC8	-1.388
GPX4	0.952
KIAA0368	0.00750000000000001
GPR157	0.597666666666667
CTAGE4	1.9225
C9orf30	-1.50666666666667
OR52A1	-0.0405
HSP90B3P	-0.678
ALG9	-0.0682
BTBD10	0.287
SDK2	-1.36475
BAIAP3	1.384
RABGGTB	-0.523375
ANKRD40	0.277
KRT74	1.0275
CALCOCO2	0.442857142857143
SNCA	-3.83375
TMSL8	-4.21825
C2orf53	0.1155
ESRRB	-0.3235
ARHGAP26	0.332
TDRD9	-3.20125
HRAS	0.112666666666667
KLRC4	-0.5595
JAGN1	-0.0971666666666667
BSDC1	0.85525
RNF43	-1.1717
NDUFAF1	0.6115
PHF12	0.54975
OR1L3	0.13925
FOLR2	0.942
LYZL6	0.309833333333333
tcag7.1260	-2.405
WSB1	-1.21666666666667
PROS1	-2.3945
OSTN	0.5505
PSMB8	0.6115
SOCS4	-0.557375
DDIT4L	-1.4905
MAS1	0.4225
MGC34796	2.327
CSHL1	-0.400333333333333
TBCCD1	0.273333333333333
ZBTB7C	0.5945
AP2S1	-0.062375
P15RS	0.3869
VAT1	-1.0989
SHANK3	1.2565
TUFM	0.291
THEG	0.68775
KRT34	-2.2555
SGSM3	0.52075
TOMM22	-0.244875
SOCS3	0.470833333333333
CPO	2.142
POP4	-0.1905
BHLHB3	0.837
MALL	-0.3175
OR1B1	-0.125
PARK2	0.59
GPR124	-0.42375
LCE1E	-0.957
RUVBL2	-0.169
CGRRF1	0.1272
ACPL2	0.60575
WNT10B	-2.83225
BAIAP2L2	-1.334125
ISCA1	0.378
C1orf125	0.250375
RPAP1	-0.5055
RAI16	-0.477
RPL27	0.3405
NLRP9	-2.02
EPN1	0.5235
LOC388610	-0.70725
SLC35A1	0.4451
GAL	-3.703
SLC14A2	0.47025
RDH11	-0.987166666666667
FAM138F	0.821
AUH	0.88425
FLJ40243	-0.03
C14orf129	0.534166666666667
MBD2	-0.650833333333333
ABHD14B	0.583375
PIGT	0.347125
ALS2CR4	-0.95025
ALAS1	-0.0766
FOXO1	0.064
CRLF3	-0.70725
C20orf107	-1.214
FARS2	1.0755
CCDC28A	0.8975
NPHP3	-1.031
OR13F1	0.6125
TSEN54	-0.48525
DEFB106B	-0.6568
OR8B4	0.8335
STH	2.63625
ZC3H14	-0.33275
CBX2	0.1665
TMEM49	-0.81625
C6orf21	1.2285
FLJ20920	2.624625
CRTAP	0.240214285714286
DDX50	-0.148
STYXL1	0.1925
BLVRB	-0.468
LOC147650	0.0295
MMP24	0.15925
GRID1	1.6825
BANF1	-0.252666666666667
CTAGEP	0.81325
HMBS	-1.82175
SLC25A24	0.711333333333333
C14orf50	0.3295
MRO	-0.187333333333333
SLC25A15	-0.6235
FAM84B	2.2313
TDP1	-0.768
C16orf78	0.2088
C11orf57	-0.426875
RFK	-0.012125
ZFYVE9	-0.034125
STCH	-1.3465
WIBG	0.75575
LOC283871	0.290333333333333
GBA2	0.1462
NDUFB3	-0.33825
HSD17B13	-1.0565
GRIN3A	0.271833333333333
FMNL1	-0.760333333333333
SEPT7	-1.1151
GNLY	1.761
GRAMD1C	0.647333333333333
ZNF165	0.60125
USP38	0.53225
FAM83A	-3.89333333333333
C14orf24	0.23475
ARMCX3	0.736625
ARHGDIB	0.368166666666667
AK1	0.613375
KIAA1045	-0.8555
DNAJB13	-0.0903333333333333
NEU2	2.238
HIST1H4B	-1.29016666666667
FAM20B	-0.4261
HES2	0.357357142857143
FAM73B	-0.0728
LOC388381	-0.1605
INTS7	0.0411818181818182
AMPH	0.99275
ZNF775	0.290625
UCKL1	-0.0498333333333333
C10orf97	0.135
C1orf161	-0.09275
ALDH1L1	-1.73825
FLJ39378	-0.008
SLC23A1	-1.688
RBM4B	0.09775
THAP4	0.736
OGFRL1	-0.07275
KIAA0831	0.547125
PPP1R15A	-0.0425
C1orf96	-0.128285714285714
C12orf11	-1.253
BMF	-0.51075
MAN1A1	0.78775
KIAA1600	0.0446666666666667
NLGN4X	-0.98325
ALOX12	-1.6375
RB1CC1	0.3078
NEIL2	0.2437
EIF4E	0.210227272727273
ABHD5	0.422
EXOC4	0.219833333333333
CIP29	-0.3745
BATF2	0.10775
SLC29A4	-1.104625
HTR4	-0.25425
EMB	-0.82225
TRAF6	0.46425
LMNB1	-3.74125
FAM19A5	-0.06125
SHE	0.83225
PIK3C2B	-0.322
C15orf15	-0.0977
USP15	-0.6399
TCEAL2	-1.5105
C5orf39	-2.29416666666667
PTGER2	-2.08125
SLC31A1	-1.0745625
IFT172	0.7215
ADAM29	-0.16475
GFOD1	-0.8805
ST7L	0.654166666666667
C15orf26	-2.58375
PKN3	-1.57075
CNTD1	1.87166666666667
COMMD1	0.129625
NTRK2	1.81175
FOXN3	-1.548125
MFGE8	-0.7574
PFKFB2	0.5545
TAS2R4	-0.63775
ENTHD1	-0.336833333333333
PRMT5	-0.376375
MGC16384	-1.241875
LOC442229	-0.4705
TSKU	-0.42
KRTCAP3	3.520375
PDLIM1	1.0497
KCNS2	0.44325
RNF126	-0.269833333333333
CEP63	-0.22375
CLIC4	-0.977
hCG_1990170	-1.85525
ACR	0.2958
KLK7	-0.3775
ALOX5AP	3.190375
RIPK3	4.00375
TAS2R9	0.417
C19orf18	2.0625
BIRC6	0.372071428571429
ZNF16	1.262
RFT1	-0.35325
SLC8A2	-0.47525
TACC1	-1.973125
ITGAD	1.60375
SAMHD1	0.4085
SH3PXD2B	0.5953
EPC2	0.8895
C20orf85	3.46825
ATP13A2	1.01616666666667
KRT4	0.145
CAPNS1	0.3155
MDM2	-0.776833333333333
PCDH20	3.60925
KCNK9	0.876
OR2C1	0.3445
KLHDC3	-0.472333333333333
IPPK	2.341
EFHD2	-0.8295
GALR3	1.65575
NBEA	0.308166666666667
ABCA6	1.3219
CLDN3	0.432333333333333
AKT2	0.0428571428571428
EGFR	-3.9003
RBM16	0.508625
ZDHHC3	0.0143
SLC25A4	-0.0498333333333333
CYB5B	-1.77233333333333
CPXM1	-0.87525
NDRG1	-2.47638461538462
FLJ43826	0.3565
OR5L2	-0.1108
FARP2	1.0648
MRPL46	-0.299916666666667
LDHAL6B	-0.039
MAPKAPK3	0.3605
NCAM2	1.0685
PRKD2	0.646666666666667
ZFP36L1	1.9064
CYSLTR1	0.70925
OR4C3	0.485666666666667
HIST1H2AJ	0.522
CCNB2	-2.64111111111111
ZNF10	0.22975
TMEM175	0.992
FAM134A	0.909666666666667
TIGD4	-0.072
PCNP	-0.52075
MGC39715	0.168333333333333
LQK1	-0.587
CREB1	-0.1467
TMPRSS3	1.22575
C4orf32	1.134125
LAT	-2.40491666666667
KCNA3	-2.02
SKIV2L2	-0.594
ROPN1B	-3.91675
tcag7.23	0.469
CDT1	-3.1505
ZHX2	1.51425
CD28	-4.308
ZNF624	0.9315
SEPT2	-0.023
SOHLH2	-1.234625
MCOLN3	-1.094875
UNQ1945	0.9095
MASP2	-1.229
ZNRF3	0.1384
GPATCH3	0.049
AGL	0.60075
QRICH2	-0.334
PSD4	0.886833333333333
CCNB1IP1	-1.3595
ENPP7	-0.09925
OBFC1	0.7145
KCNG3	-2.7065
C14orf79	2.06025
ENPEP	1.62166666666667
SCT	1.503
SKI	0.622125
SEC61G	-1.142
CAPN11	-0.34
ATXN7L3	0.201
DBNDD1	-0.1365
FAIM	-0.20325
ANKRD36	-1.576
GABRP	-0.9736
TACSTD2	1.35316666666667
EIF3J	0.0355
PPP2R2A	-0.80325
TEKT4	-0.259
PVALB	-3.79883333333333
F10	-3.36616666666667
FAM134C	1.1413
COMP	4.24175
EFCBP1	-3.8488125
SCLT1	-1.07325
TAL1	-1.6777
ACSL1	-0.80875
ABCC5	0.270333333333333
ABL1	-0.477444444444444
RBBP7	0.256
PTPRG	-1.3295
NCOR1	-1.5386
SPINK4	3.11666666666667
TXNRD1	-1.5964
TNRC15	0.027125
C9orf138	0.780375
UBE2H	0.462166666666667
BRDT	0.948666666666667
C8orf31	-0.1195
CCNE2	-1.28872727272727
SLC6A8	-0.884125
CALCR	-4.74975
PPP1CB	0.787416666666667
ABHD8	0.1815
ARF5	0.0675
SLC24A4	0.022
CCT3	0.55775
ZNF121	0.06625
SLC3A2	-0.5587
OR13A1	0.74
SLC5A10	-0.185
RAD50	0.620875
IER5	0.106875
MTHFD1L	-2.5775
MBTPS2	0.33075
MVK	-0.468
NCL	0.1656
PSMD10	-0.6575
MOBP	0.490166666666667
FLJ32894	0.6
HRH1	-1.2735
C5orf30	0.8655
NUDT16L1	1.1823
RASGRP3	3.1515
PRKRIP1	-0.6517
CCDC75	-1.616
LOC253970	0.146
KIAA1239	0.35825
MED21	-0.17325
SYT11	-0.398333333333333
NTSR2	-0.2225
EGFL11	1.256
CXorf59	-1.1235
OR2A25	0.63575
SPTBN2	-1.28725
LRMP	-2.12433333333333
RNF111	0.1295
PTH	-0.467
LOC619208	0.4015
KIAA0895	1.488
RANBP5	-0.39175
P2RY10	-1.31833333333333
NME5	4.68966666666667
DDX21	-0.38025
LRSAM1	0.8785
HDAC11	1.94616666666667
VMO1	2.05375
NOLA2	0.0168333333333333
ADAR	1.3985
MTO1	-0.954666666666667
SF4	0.315
P2RX1	-0.175
HBM	0.4815
EN2	1.9855
C14orf172	0.50625
TM9SF2	0.458
INHBE	-1.19116666666667
TCTE3	0.0575
TOX2	-3.863
CTAGE3	0.18075
HBB	3.54677777777778
MED15	-0.346
CASR	-0.77725
C6orf66	-0.946
MTPN	-1.516
UNC50	-0.2285
C21orf33	0.388375
IRF2	0.78775
PGR	1.50933333333333
GPR84	2.89525
CROCCL1	-2.395
SRPX	-2.36075
BRE	0.652
FGF10	5.32675
SDC3	0.644833333333333
ZRSR1	0.287
DKFZP434P211	0.7735
SOX6	0.023
RPUSD2	-0.00225
C14orf173	0.0559166666666666
MAPK11	-0.2855
TBC1D22A	0.626
FAM123A	-1.4095
COL4A6	-1.74383333333333
TOMM70A	0.36025
NAB1	0.24675
MGC16385	-1.04275
TSPAN18	-1.1305
MED31	-0.3435
PLG	-0.01725
CAPSL	2.842
ZNF532	0.0056
ASB14	0.1435
CA8	1.28075
NUDT16P	1.703
SLFN11	-2.3935
LRRIQ2	-0.610875
NOL7	-0.517
BRMS1L	-0.733
JARID1A	-0.443333333333333
PANK2	-1.04325
ICAM3	-0.5835
MDS1	-1.064
TAF8	-0.39225
RNF139	0.57475
ZNF594	-0.780833333333333
ADAM8	2.508625
SFTPC	0.43825
MAN2B2	1.16475
RGS12	0.305125
EIF1AY	-4.84108333333333
LRRIQ1	-2.43633333333333
GPR150	1.67325
CCDC21	-1.15583333333333
PRRG3	0.16725
SAA4	-3.86775
RAPGEF5	2.04625
ZCCHC2	0.250333333333333
MGC39372	-0.1435
PPP4R2	0.2205
CDCA2	-3.1185
OR4D5	0.599333333333333
PTGFRN	0.5481
SIGLEC5	2.06183333333333
C19orf61	0.201
NMUR2	0.286
KIAA1586	-1.57633333333333
DAGLA	0.266666666666667
CHCHD6	-0.37475
GPR32	0.7355
NEUROD6	-0.121166666666667
SLC2A4RG	-0.05825
CA5B	-0.84075
FBXL3	1.551
MPHOSPH9	-1.54
HMG2L1	0.26125
HCN4	0.889666666666667
CEACAM19	0.51975
SH2D4B	-0.408666666666667
HFE2	-0.805
TGM4	0.2298
LYPD2	0.00925000000000001
TBC1D15	0.344
MRPS21	0.4089
NONO	-0.3364
CLEC5A	2.711375
ITCH	-0.5748
MGAT3	-2.17366666666667
MBP	-1.402875
RPP25	-0.98525
SOSTDC1	-4.73666666666667
HRC	-1.9205
TRIM48	-0.8725
TMEM133	1.2355
ECEL1P2	-0.923
HOXC11	0.145
DOK5	-0.48075
HELZ	-0.179666666666667
LOC348180	-0.73275
MGC33894	0.55075
ADRB3	-0.1055
DMD	-0.84675
PTRH2	-0.502
MPEG1	2.387
NDUFA12	-0.680666666666667
KRTAP2-4	-0.0802499999999999
STAMBPL1	-1.85
ADCY2	-1.04416666666667
UNQ6125	0.702
KLHL20	-0.592833333333333
SRM	-0.4625
OTC	0.28775
TMIE	-0.285666666666667
SNX8	-0.42025
LIPK	-0.486
CHURC1	0.336166666666667
KLC2	0.526333333333333
HDAC1	-0.248166666666667
FAM128A	-0.062
FNDC3B	-0.5491
MTCP1	-0.597
WFDC10B	-0.141
PCDHGB3	-0.7865
ATRNL1	-2.5733
CAV2	-1.933125
MED26	-0.192833333333333
DUS1L	0.867
CHRM3	-2.259
NEK9	0.98725
WARS2	0.87925
TBX22	0.249
TOMM40	-0.75775
RP6-213H19.1	-1.31316666666667
TUBGCP5	-0.264
IGSF6	4.6075
TPPP	0.953833333333333
UNQ6190	-0.3295
GSTM5	-0.371142857142857
BTD	1.39216666666667
PDCD1LG2	-0.0863333333333333
SNRPB2	-0.9735
ERICH1	-1.89625
APOA4	-1.473375
HOXA11	-1.54575
NARG1	0.45625
MKX	2.85575
RAB28	0.0297857142857143
PKP3	1.60975
SH3GL2	2.224
CTSO	3.413
RPN2	0.1091875
IL28RA	-0.3835
SFMBT1	-0.4905
WDR57	0.398875
FER1L3	0.257333333333333
HSF5	1.426
TTC9B	1.0235
C4BPA	-3.231
ALB	-4.68653846153846
SORBS3	-0.19275
UPF2	0.4475
JPH1	-0.711
AGBL2	0.6095
DOPEY1	1.3185
TERF1	0.18875
KIF22	-0.297
NINJ1	1.2405
SEC61A2	-0.619083333333333
HIST1H1D	-1.25266666666667
SFXN4	0.68725
UCP3	0.2128
ZNF703	2.0355
MYL6B	-0.53375
TREM1	2.29775
OR52E6	0.4215
CKMT2	-0.8415
HLA-C	1.114125
SLC13A3	-2.14733333333333
TIMP4	-4.048
SLIT2	1.37875
RSF1	-0.479722222222222
LONRF1	-1.00371428571429
MON1A	0.269166666666667
CACNG6	-1.66083333333333
DPPA4	-5.7465
ZSWIM3	-1.3035
ZNF804A	-0.454833333333333
CCIN	1.323
SLC25A31	0.633
KCNMB4	-1.52475
RABL5	0.879875
GALNS	-0.9515
STX6	0.448125
HIST1H1C	-2.96116666666667
CIDEB	0.325
CASP4	0.272
PDK3	-0.0547
KCNJ11	2.057
TPR	-0.396125
ZSCAN20	-0.4705
MTX2	-0.0625
HIST1H2BH	0.029
LOC283767	-0.70275
LYRM7	-1.21394444444444
BRD3	-0.2915
HIST1H2BO	0.02
MAGEB10	1.102
SLC45A1	2.478
SERPINA3	3.52275
KIAA0143	1.29875
KCNJ16	-0.1322
KRT79	0.682
FABP2	-1.1045
NUT	-0.0439999999999999
ZNF57	-0.45225
FBXL4	0.3435
CLEC9A	1.1715
UGT8	-1.8325
BMP2K	-0.76025
MAPK4	-3.78
SLC25A23	-0.2634
HINT1	-0.8115
KRTAP13-1	0.8135
SFXN5	0.2715
CHCHD2	-0.2615
FAM3D	0.4365
NDP	0.931125
RHOBTB1	-0.721333333333333
SLC4A4	-2.00916666666667
RPL38	0.31
HTF9C	0.150333333333333
AP2A2	0.737875
ZBTB46	-0.0175
MAP7D1	0.2905
AOX1	-2.56233333333333
CYR61	0.7515
DTNA	0.336428571428571
JRKL	-1.31175
TMOD3	-0.68575
EEA1	-0.2203
ADCK5	0.2925
IL1R1	0.411333333333333
KLK3	0.160428571428571
HRSP12	-0.4295
KTN1	-0.0385
LOH11CR2A	1.9845
RELL2	-0.8965
MAB21L1	0.77125
C20orf59	-0.651666666666667
PHKB	-0.18125
ADAM2	-3.5916
TBC1D8B	0.892333333333333
FAM13A1	-0.84075
LAPTM4B	-0.853666666666667
LCN8	-0.1325
TMEM147	0.628
SYT4	-0.0471666666666667
XPO7	-1.1215
C9orf62	1.79675
GPR75	-0.6805
TRIM5	-0.331
APOC1	-0.670333333333333
RNASE4	0.746166666666667
PARD6B	-0.23675
ARID1A	0.623916666666667
TPD52L3	-0.127777777777778
RRAGB	0.251
RCN2	-1.0925
HIST2H2BE	0.24825
STARD7	-0.31825
SHMT2	-0.82025
KIAA1751	0.5818
MLYCD	-0.129375
LOC162632	-0.196
UQCRH	-1.32025
RP11-217H1.1	-0.1515
SDHA	-1.037
NCLN	-0.36
ZNF17	0.470166666666667
RCBTB2	-2.06425
VEGFB	-0.4804
RP4-747L4.3	0.23025
COLQ	0.4672
MPN2	-1.20583333333333
DRG2	0.351
KLRB1	2.53875
ALPK2	-3.101
DNASE2B	-0.994
FLJ23834	0.131666666666667
AXUD1	1.83166666666667
SAFB	-0.1704
NSUN4	0.4055
RFX2	-0.9755
MAPK8IP1	-0.511333333333333
FANCD2	-1.31828571428571
ANKZF1	-0.719166666666667
C19orf50	-0.54475
DUSP8	2.069125
SENP5	-0.61225
NFKBIL2	-0.31025
LBR	-2.97425
IGFL1	0.96
LZTS2	0.506375
IL2RG	-1.62675
CCDC51	-0.082
KLF3	0.304
ANKRD37	-1.29725
KCTD14	-1.18033333333333
FZR1	0.719
SLC44A4	4.011
ESPL1	-0.91825
GMPR2	0.1897
TBC1D19	-0.058
ERGIC1	0.783222222222222
ERBB4	3.3781
TSPAN32	0.166833333333333
MAP4	0.28875
GPHN	-0.21875
SLC6A2	-0.76575
HIVEP1	1.14675
DFFB	-0.0307
EIF4EBP2	0.399625
DMRT1	-0.81575
HSPB6	-0.09075
IER2	0.0913333333333333
AIFM1	0.095
WWC2	-1.82645454545455
MRPL4	-0.04925
FLJ21062	2.72383333333333
EPB41L4A	1.04908333333333
SH2D6	0.0945
TAF4B	-0.563
GAL3ST3	-0.038
MALT1	-1.6025
RTDR1	-0.49475
ARVCF	0.683875
MEX3B	-2.0185
FBXO16	0.6235
KIF7	-1.8445
C1QC	4.01066666666667
ZNF783	-0.0745
ZNF85	-0.43875
MMP13	3.614
KIAA0329	0.4675
RTP3	-2.001
ZBED3	-1.3415
CLGN	-0.704
SLC25A37	-1.68091666666667
hCG_18290	0.386
OR5AS1	-0.357
SMARCC2	0.53775
FAM109A	0.275
CCDC12	-0.24775
USF2	0.6091
DEPDC7	-3.30875
C20orf24	-1.26583333333333
JMJD3	1.287
DSP	1.81107142857143
SLIC1	0.21525
FAM20A	0.1625
IRF2BP2	1.084
ZNF230	-0.0515
MSN	-1.01435714285714
SLC9A5	-0.7945
EPDR1	-1.3148
MUSK	0.138
ZNF434	0.2915
SMARCD1	-0.205
