Hybridization REF	TCGA-A7-A13E-11A-61R-A12P-07
OR8K3	-0.42225
NY-REN-7	-0.40375
B2M	1.31983333333333
C6orf141	-2.253125
LPPR4	4.597
SQLE	-2.966875
SEPHS1	-0.62125
BTBD14B	0.2025
PLRG1	-0.1345
SPG7	-0.8429375
ZNF614	-0.416333333333333
PARD6G	0.6605
INPP5B	-1.0833
GRPEL2	-0.6165
PPID	-0.8121
TRIM56	0.105
UBE2J1	-0.11425
IL20RA	4.5265
LOC387856	0.877
C1orf107	0.0195833333333333
UTS2R	-0.1695
C19orf22	-0.637
SAFB2	-0.833
KIAA0652	0.28475
KLRG1	0.293666666666667
MS4A8B	-0.0631666666666667
FRAG1	0.11525
KIAA1546	0.4535
E2F4	-0.913
CLEC4M	0.660666666666667
BTBD14A	-1.148
KIAA0999	0.9293
GYPA	-2.87616666666667
TAC1	2.3904
TRAIP	-2.3735
KIAA0232	0.9576
ERCC8	-0.9835
GPX4	2.11425
KIAA0368	0.231
GPR157	-1.53666666666667
CTAGE4	0.5035
C9orf30	-1.04583333333333
OR52A1	0.135
HSP90B3P	-0.3675
ALG9	0.25
BTBD10	0.53875
SDK2	0.58225
BAIAP3	-1.08625
RABGGTB	-1.05475
ANKRD40	0.850833333333333
KRT74	0.7305
CALCOCO2	0.952357142857143
SNCA	-1.48775
TMSL8	-4.549125
C2orf53	0.3135
ESRRB	-0.13775
ARHGAP26	-0.776375
TDRD9	-2.007
HRAS	0.199
KLRC4	-1.744
JAGN1	-0.511
BSDC1	0.52575
RNF43	-1.2118
NDUFAF1	0.72775
PHF12	-0.119
OR1L3	0.36
FOLR2	4.118
LYZL6	0.343166666666667
tcag7.1260	-0.274
WSB1	-0.9995
PROS1	1.5905
OSTN	-0.1635
PSMB8	0.4275
SOCS4	0.348375
DDIT4L	3.3215
MAS1	0.395
MGC34796	1.06775
CSHL1	0.306166666666667
TBCCD1	0.238
ZBTB7C	-0.005
AP2S1	-0.191375
P15RS	0.0325
VAT1	-0.0764000000000001
SHANK3	1.80483333333333
TUFM	-0.854833333333333
THEG	0.50075
KRT34	-2.40175
SGSM3	-0.23775
TOMM22	-0.648375
SOCS3	2.01733333333333
CPO	0.924
POP4	0.47825
BHLHB3	2.363
MALL	2.6115
OR1B1	-0.6475
PARK2	1.29033333333333
GPR124	2.204
LCE1E	0.404
RUVBL2	-1.6575
CGRRF1	0.6872
ACPL2	-0.09125
WNT10B	0.45525
BAIAP2L2	-1.672625
ISCA1	1.1935
C1orf125	-0.315
RPAP1	-0.96325
RAI16	-0.834666666666667
RPL27	-0.255625
NLRP9	0.3685
EPN1	0.514
LOC388610	-0.70625
SLC35A1	0.8674
GAL	-3.07775
SLC14A2	0.70925
RDH11	-0.735833333333333
FAM138F	-0.831
AUH	0.8275
FLJ40243	0.16075
C14orf129	0.239
MBD2	-0.312166666666667
ABHD14B	1.017125
PIGT	0.326375
ALS2CR4	-0.0979999999999999
ALAS1	0.5668
FOXO1	3.10233333333333
CRLF3	-0.327375
C20orf107	-0.4695
FARS2	0.454
CCDC28A	0.88875
NPHP3	0.08
OR13F1	-0.3345
TSEN54	-1.7095
DEFB106B	0.3168
OR8B4	-0.363
STH	0.18075
ZC3H14	-0.278625
CBX2	-0.0605
TMEM49	-1.33075
C6orf21	-0.037
FLJ20920	1.159875
CRTAP	1.47421428571429
DDX50	0.15075
STYXL1	-1.1935
BLVRB	0.775833333333333
LOC147650	0.246666666666667
MMP24	0.79
GRID1	2.84066666666667
BANF1	-0.505833333333333
CTAGEP	-0.1245
HMBS	-1.6795
SLC25A24	0.105166666666667
C14orf50	2.47
MRO	2.00483333333333
SLC25A15	-1.569
FAM84B	0.3717
TDP1	-1.8245
C16orf78	0.402833333333333
C11orf57	0.157875
RFK	-0.511875
ZFYVE9	-0.628375
STCH	-0.9593
WIBG	0.20575
LOC283871	-0.41
GBA2	-0.6199
NDUFB3	0.21575
HSD17B13	3.5115
GRIN3A	1.55216666666667
FMNL1	-0.420166666666667
SEPT7	0.126
GNLY	3.2455
GRAMD1C	1.4915
ZNF165	-1.578
USP38	0.30725
FAM83A	-3.58066666666667
C14orf24	0.6365
ARMCX3	1.53625
ARHGDIB	0.512333333333333
AK1	1.054
KIAA1045	1.5185
DNAJB13	-0.0843333333333333
NEU2	0.011
HIST1H4B	-2.26733333333333
FAM20B	-0.3642
HES2	-0.356714285714286
FAM73B	-0.1181
LOC388381	0.063
INTS7	-1.18127272727273
AMPH	0.21725
ZNF775	-0.57925
UCKL1	-0.807166666666667
C10orf97	0.912
C1orf161	0.2725
ALDH1L1	4.1865
FLJ39378	0.228625
SLC23A1	-1.3925
RBM4B	0.07375
THAP4	-0.254333333333333
OGFRL1	1.08925
KIAA0831	0.3425
PPP1R15A	0.610833333333333
C1orf96	-1.16378571428571
C12orf11	-1.877
BMF	0.217375
MAN1A1	1.35125
KIAA1600	1.2635
NLGN4X	1.154
ALOX12	-1.215
RB1CC1	-0.161
NEIL2	1.2735
EIF4E	0.0390909090909091
ABHD5	0.39675
EXOC4	-0.0848333333333333
CIP29	-0.767833333333333
BATF2	0.676
SLC29A4	2.206875
HTR4	1.49475
EMB	0.69275
TRAF6	1.0525
LMNB1	-5.662
FAM19A5	-1.597
SHE	3.734
PIK3C2B	2.12575
C15orf15	-1.0779
USP15	0.2175
TCEAL2	2.516
C5orf39	0.1505
PTGER2	0.29775
SLC31A1	-0.8926875
IFT172	-0.2525
ADAM29	-0.6885
GFOD1	1.10025
ST7L	0.963
C15orf26	-3.5475
PKN3	-0.38625
CNTD1	1.529
COMMD1	0.701875
NTRK2	5.10583333333333
FOXN3	1.975125
MFGE8	0.427
PFKFB2	0.4045
TAS2R4	-0.53475
ENTHD1	-0.233333333333333
PRMT5	-1.432125
MGC16384	-1.24825
LOC442229	0.69225
TSKU	1.325125
KRTCAP3	0.509125
PDLIM1	1.1911
KCNS2	0.652
RNF126	-0.7935
CEP63	0.4495
CLIC4	0.629625
hCG_1990170	2.7145
ACR	1.1219
KLK7	3.58375
ALOX5AP	3.51
RIPK3	3.6125
TAS2R9	-0.4075
C19orf18	0.846
BIRC6	0.276142857142857
ZNF16	0.5835
RFT1	-0.695
SLC8A2	0.6495
TACC1	1.319875
ITGAD	1.43075
SAMHD1	1.63975
SH3PXD2B	1.1829
EPC2	1.04825
C20orf85	0.45125
ATP13A2	-0.106166666666667
KRT4	0.224125
CAPNS1	0.48725
MDM2	-0.176666666666667
PCDH20	1.23525
KCNK9	0.1675
OR2C1	-0.548
KLHDC3	-0.494666666666667
IPPK	-0.139
EFHD2	-0.122125
GALR3	-0.20075
NBEA	0.627833333333333
ABCA6	5.7344
CLDN3	-0.988666666666667
AKT2	-0.152857142857143
EGFR	0.4422
RBM16	0.433
ZDHHC3	1.0925
SLC25A4	-0.077
CYB5B	-0.382833333333333
CPXM1	1.64725
NDRG1	-0.0374615384615385
FLJ43826	0.228
OR5L2	0.531666666666667
FARP2	-0.2615
MRPL46	-0.162916666666667
LDHAL6B	-0.507833333333333
MAPKAPK3	-0.854333333333333
NCAM2	-1.072
PRKD2	-0.192166666666667
ZFP36L1	1.5273
CYSLTR1	0.492
OR4C3	-0.1785
HIST1H2AJ	1.513
CCNB2	-4.47833333333333
ZNF10	0.0685
TMEM175	0.2225
FAM134A	-0.0833333333333333
TIGD4	-0.22
PCNP	-0.24675
MGC39715	2.0445
LQK1	-0.1975
CREB1	0.7792
TMPRSS3	-0.49875
C4orf32	1.891875
LAT	-1.74616666666667
KCNA3	-0.7985
SKIV2L2	-0.8295
ROPN1B	0.38275
tcag7.23	-0.86
CDT1	-4.424875
ZHX2	0.852
CD28	-0.37025
ZNF624	1.33075
SEPT2	0.598916666666667
SOHLH2	-0.966125
MCOLN3	-0.397375
UNQ1945	0.0305
MASP2	-1.6755
ZNRF3	0.2857
GPATCH3	-0.45475
AGL	0.742
QRICH2	0.072
PSD4	-0.500166666666667
CCNB1IP1	-2.3145
ENPP7	0.21325
OBFC1	0.13275
KCNG3	-2.771
C14orf79	-0.478
ENPEP	3.16533333333333
SCT	0.0285
SKI	0.689
SEC61G	-0.96525
CAPN11	2.08675
ATXN7L3	-1.03675
DBNDD1	-1.65316666666667
FAIM	1.037
ANKRD36	-1.705
GABRP	3.73083333333333
TACSTD2	1.463
EIF3J	-0.675
PPP2R2A	-0.36325
TEKT4	0.926666666666667
PVALB	-4.18566666666667
F10	0.555166666666667
FAM134C	0.849
COMP	3.687
EFCBP1	-0.446625
SCLT1	0.35075
TAL1	0.4207
ACSL1	5.12
ABCC5	-0.541166666666667
ABL1	-0.498833333333333
RBBP7	-0.630416666666667
PTPRG	0.327875
NCOR1	-0.1777
SPINK4	-1.04
TXNRD1	-0.474
TNRC15	0.049625
C9orf138	0.4715
UBE2H	0.589166666666667
BRDT	0.526333333333333
C8orf31	-0.163
CCNE2	-3.65454545454545
SLC6A8	-2.176625
CALCR	-1.12925
PPP1CB	0.958166666666667
ABHD8	-0.64525
ARF5	-0.2479
SLC24A4	2.4685
CCT3	-1.15975
ZNF121	-0.358125
SLC3A2	-1.4583
OR13A1	-0.1615
SLC5A10	-0.382
RAD50	-1.010125
IER5	-0.45875
MTHFD1L	-1.699875
MBTPS2	-0.1835
MVK	-0.4725
NCL	0.0558
PSMD10	-0.3015
MOBP	-0.307625
FLJ32894	0.846
HRH1	1.2915
C5orf30	0.64275
NUDT16L1	-0.1329
RASGRP3	4.386
PRKRIP1	-0.5796
CCDC75	1.30225
LOC253970	0.0356666666666667
KIAA1239	2.513
MED21	-0.5265
SYT11	0.8675
NTSR2	1.541
EGFL11	0.171
CXorf59	1.294
OR2A25	0.68075
SPTBN2	-1.306
LRMP	-0.014
RNF111	0.27275
PTH	0.732
LOC619208	1.0675
KIAA0895	-0.4775
RANBP5	-0.295125
P2RY10	-0.0726666666666667
NME5	2.81983333333333
DDX21	-1.60975
LRSAM1	-0.2745
HDAC11	0.292333333333333
VMO1	1.67625
NOLA2	-0.727
ADAR	0.101083333333333
MTO1	-0.856666666666667
SF4	-0.183166666666667
P2RX1	0.319833333333333
HBM	3.03725
EN2	-0.1905
C14orf172	-0.2185
TM9SF2	0.4805
INHBE	-1.73033333333333
TCTE3	0.469666666666667
TOX2	-1.46375
CTAGE3	-0.791125
HBB	5.3986
MED15	-0.595833333333333
CASR	0.27075
C6orf66	-0.550833333333333
MTPN	-0.559625
UNC50	0.1715
C21orf33	0.834875
IRF2	1.561625
PGR	1.51866666666667
GPR84	0.7455
CROCCL1	-1.539
SRPX	1.90325
BRE	0.541166666666667
FGF10	3.7325
SDC3	1.87766666666667
ZRSR1	0.424833333333333
DKFZP434P211	-0.8465
SOX6	-0.3325
RPUSD2	-0.65325
C14orf173	0.256916666666667
MAPK11	-0.013
TBC1D22A	0.321
FAM123A	-0.5765
COL4A6	-1.028
TOMM70A	0.3865
NAB1	1.30875
MGC16385	-0.23
TSPAN18	1.21166666666667
MED31	-0.2625
PLG	-0.016
CAPSL	0.873
ZNF532	1.3216
ASB14	1.3355
CA8	0.097
NUDT16P	1.315
SLFN11	0.559
LRRIQ2	-1.35025
NOL7	-0.861333333333333
BRMS1L	0.05725
JARID1A	-0.208666666666667
PANK2	0.09075
ICAM3	0.203
MDS1	0.648
TAF8	-0.43775
RNF139	0.65575
ZNF594	-0.354666666666667
ADAM8	-0.126875
SFTPC	-0.02625
MAN2B2	0.955375
RGS12	-0.0581875
EIF1AY	-4.89858333333333
LRRIQ1	-0.379333333333333
GPR150	-0.19975
CCDC21	-2.53633333333333
PRRG3	1.607
SAA4	2.317
RAPGEF5	1.600875
ZCCHC2	-0.309333333333333
MGC39372	1.701
PPP4R2	0.00600000000000001
CDCA2	-4.00966666666667
OR4D5	0.0823333333333333
PTGFRN	0.0667
SIGLEC5	1.88783333333333
C19orf61	-0.930166666666667
NMUR2	0.533
KIAA1586	-0.857166666666667
DAGLA	0.111333333333333
CHCHD6	-0.40275
GPR32	0.2745
NEUROD6	0.146333333333333
SLC2A4RG	0.37375
CA5B	0.343
FBXL3	1.88775
MPHOSPH9	-1.1505
HMG2L1	0.039
HCN4	-0.1915
CEACAM19	0.2555
SH2D4B	-0.06
HFE2	-0.8545
TGM4	0.198333333333333
LYPD2	0.31
TBC1D15	0.51775
MRPS21	-0.5155
NONO	-1.3368
CLEC5A	0.565875
ITCH	-0.0648
MGAT3	1.06033333333333
MBP	0.420875
RPP25	-1.24325
SOSTDC1	1.791
HRC	0.81775
TRIM48	0.6045
TMEM133	2.44475
ECEL1P2	-1.40725
HOXC11	-1.816
DOK5	1.30725
HELZ	0.7425
LOC348180	-1.1425
MGC33894	1.063
ADRB3	0.0175
DMD	1.89175
PTRH2	-1.0385
MPEG1	3.89083333333333
NDUFA12	0.100666666666667
KRTAP2-4	-0.557833333333333
STAMBPL1	-0.385166666666667
ADCY2	-0.255666666666667
UNQ6125	-0.863
KLHL20	0.0496666666666669
SRM	-1.1635
OTC	1.7215
TMIE	1.59883333333333
SNX8	-0.153
LIPK	0.4715
CHURC1	0.69625
KLC2	0.288166666666667
HDAC1	-1.03716666666667
FAM128A	-0.5585
FNDC3B	0.8774
MTCP1	-0.482833333333333
WFDC10B	0.0998
PCDHGB3	-0.0115
ATRNL1	-0.4384
CAV2	3.7405
MED26	-0.133833333333333
DUS1L	-0.36725
CHRM3	-1.995875
NEK9	0.79925
WARS2	0
TBX22	-0.512
TOMM40	-1.474
RP6-213H19.1	-2.75566666666667
TUBGCP5	0.01325
IGSF6	6.06275
TPPP	1.14816666666667
UNQ6190	-0.351
GSTM5	2.691375
BTD	1.7965
PDCD1LG2	1.17083333333333
SNRPB2	-0.484833333333333
ERICH1	0.104875
APOA4	-1.556625
HOXA11	-2.16425
NARG1	-0.6415
MKX	1.42425
RAB28	0.205714285714286
PKP3	-0.888
SH3GL2	-2.668
CTSO	4.23825
RPN2	0.1065
IL28RA	-0.00166666666666664
SFMBT1	-0.4175
WDR57	-0.2905
FER1L3	0.626916666666667
HSF5	0.95
TTC9B	-0.297
C4BPA	-3.2095
ALB	-3.07464285714286
SORBS3	0.936125
UPF2	0.6515
JPH1	-0.532
AGBL2	-1.563
DOPEY1	1.246
TERF1	-0.26675
KIF22	-1.9485
NINJ1	1.7465
SEC61A2	-1.47941666666667
HIST1H1D	-2.92083333333333
SFXN4	-0.274625
UCP3	0.2432
ZNF703	0.0858333333333333
MYL6B	-0.5875
TREM1	1.44875
OR52E6	0.128
CKMT2	5.44275
HLA-C	1.82225
SLC13A3	-1.76616666666667
TIMP4	4.649
SLIT2	3.5425
RSF1	-0.160611111111111
LONRF1	-0.231214285714286
MON1A	0.509833333333333
CACNG6	-1.89283333333333
DPPA4	-6.02883333333333
ZSWIM3	-0.1295
ZNF804A	0.175666666666667
CCIN	1.56275
SLC25A31	-0.1125
KCNMB4	0.34125
RABL5	-0.14675
GALNS	-0.6237
STX6	-0.314875
HIST1H1C	-1.74266666666667
CIDEB	0.463625
CASP4	0.953666666666667
PDK3	-1.0851
KCNJ11	0.0755
TPR	-0.674375
ZSCAN20	-0.644
MTX2	-0.17425
HIST1H2BH	-1.4345
LOC283767	1.9965
LYRM7	-0.479111111111111
BRD3	-0.886
HIST1H2BO	-1.7765
MAGEB10	0.9525
SLC45A1	0.8375
SERPINA3	0.64685
KIAA0143	1.08875
KCNJ16	3.80133333333333
KRT79	-0.01575
FABP2	-0.0715
NUT	-0.15375
ZNF57	-0.9075
FBXL4	0.571125
CLEC9A	1.349
UGT8	-0.776333333333333
BMP2K	1.102
MAPK4	-3.266
SLC25A23	0.0139
HINT1	-0.5563
KRTAP13-1	0.367
SFXN5	-0.6546
CHCHD2	-0.5165
FAM3D	2.484
NDP	-1.73375
RHOBTB1	0.438833333333333
SLC4A4	2.188375
RPL38	-0.155
HTF9C	-0.566166666666667
AP2A2	1.04575
ZBTB46	0.9905
MAP7D1	1.645375
AOX1	1.416
CYR61	1.77066666666667
DTNA	0.00778571428571426
JRKL	1.087
TMOD3	-0.19825
EEA1	1.4034
ADCK5	-1.19025
IL1R1	3.81133333333333
KLK3	0.205
HRSP12	0.5195
KTN1	0.502
LOH11CR2A	1.061
RELL2	-1.94425
MAB21L1	3.76375
C20orf59	-1.79533333333333
PHKB	0.7175
ADAM2	-1.69983333333333
TBC1D8B	1.37216666666667
FAM13A1	0.476
LAPTM4B	-1.36108333333333
LCN8	-1.119
TMEM147	0.48
SYT4	0.6685
XPO7	-0.6135
C9orf62	-0.1735
GPR75	0.7225
TRIM5	0.407625
APOC1	-1.8825
RNASE4	2.01183333333333
PARD6B	-3.37625
ARID1A	-0.0213333333333333
TPD52L3	0.1537
RRAGB	1.1255
RCN2	-0.642666666666667
HIST2H2BE	-1.0553125
STARD7	-0.0685
SHMT2	-2.07375
KIAA1751	-0.908666666666667
MLYCD	1.019
LOC162632	-0.2246
UQCRH	-0.84325
RP11-217H1.1	-0.1780625
SDHA	-1.01483333333333
NCLN	-0.4719
ZNF17	0.572166666666667
RCBTB2	0.2505
VEGFB	1.4772
RP4-747L4.3	0.5215
COLQ	0.1297
MPN2	-0.0145
DRG2	-0.279
KLRB1	5.8935
ALPK2	-1.98425
DNASE2B	1.4135
FLJ23834	0.296333333333333
AXUD1	1.56383333333333
SAFB	-0.6658
NSUN4	-0.55875
RFX2	0.919166666666667
MAPK8IP1	-1.1825
FANCD2	-2.25714285714286
ANKZF1	-2.0265
C19orf50	-0.106625
DUSP8	0.7705
SENP5	-0.789375
NFKBIL2	-1.2465
LBR	-0.912875
IGFL1	-0.045
LZTS2	0.6715
IL2RG	-0.90825
CCDC51	-0.5075
KLF3	0.6615
ANKRD37	-1.525
KCTD14	0.978333333333333
FZR1	-0.338333333333333
SLC44A4	0.0378
ESPL1	-2.2725
GMPR2	-0.4125
TBC1D19	-0.401666666666667
ERGIC1	-0.0702962962962963
ERBB4	1.9678
TSPAN32	0.29575
MAP4	0.584
GPHN	-0.11025
SLC6A2	1.67525
HIVEP1	0.45375
DFFB	-1.0518
EIF4EBP2	1.428875
DMRT1	-0.5755
HSPB6	2.3635
IER2	0.0458333333333333
AIFM1	-0.09775
WWC2	0.302916666666667
MRPL4	-0.27725
FLJ21062	1.31866666666667
EPB41L4A	1.42083333333333
SH2D6	-0.17375
TAF4B	-1.145
GAL3ST3	-0.08
MALT1	-1.083
RTDR1	0.02375
ARVCF	-0.000250000000000049
MEX3B	-0.554666666666667
FBXO16	-0.41475
KIF7	-0.77
C1QC	4.51483333333333
ZNF783	-0.646333333333333
ZNF85	-0.353
MMP13	-1.231
KIAA0329	0.88525
RTP3	-0.824
ZBED3	1.15075
CLGN	-3.207
SLC25A37	-1.00929166666667
hCG_18290	-0.04975
OR5AS1	-0.353
SMARCC2	0.616416666666667
FAM109A	-0.0966666666666667
CCDC12	-0.1125
USF2	0.3192
DEPDC7	-2.5135
C20orf24	-0.665166666666667
JMJD3	-0.0315
DSP	-0.336642857142857
SLIC1	0.520625
FAM20A	2.9625
IRF2BP2	0.03225
ZNF230	-0.293
MSN	0.799714285714286
