Hybridization REF	TCGA-AR-A1AQ-01A-11R-A12P-07
EIF3EIP	-0.6175
HABP4	-0.9185
TMEM125	3.12675
CNTN2	0.887125
ASNSD1	0.39725
FUT4	0.5945
ACF	-3.877
LOC158381	0.4375
CDH8	0.095
AGPS	-0.932166666666667
C4orf18	0.885125
PECI	-1.57891666666667
UNG	-0.8085
GSTP1	0.833375
DCUN1D5	-0.134833333333333
DKFZP564J0863	-0.234
SLC9A3R1	-0.184875
BCDO2	-0.61525
CHMP7	1.087375
REM2	0.462
DNHD1	-1.43575
FKBP4	0.41525
ZNF350	0.39025
MGC11102	0.2545
BST1	1.92075
KISS1R	-0.1615
NCR2	0.1325
DEFB125	-0.262
UBE2W	0.950125
KRT15	2.39175
C10orf99	0.3645
SCN11A	0.0565714285714286
GFI1	-0.3465
RDHE2	-1.73733333333333
FHL1	-2.27866666666667
OSGEP	-0.403666666666667
GATA1	-3.40716666666667
SMC6	-0.16725
TTTY14	-1.2845
LPIN3	0.04825
RPL4	-0.5158
RBPMS	-1.4424
PRPF3	0.767
EMR1	-2.4615
SPATA19	0.64825
XCR1	0.0315
IRX3	1.5689
RBM6	-1.0215
KLF4	-1.9254
UNC5CL	0.57525
SEBOX	0.0685
BTK	0.5815
KRCC1	1.18575
C6orf27	0.3835
SYTL5	-0.6585
PRND	1.942875
LOC653319	-1.2585
PIGL	-1.125375
HUS1	0.122333333333333
SFRS6	-0.876666666666667
C17orf77	0.5815
UIMC1	-0.359166666666667
FXYD2	-1.6242
LOC283152	0.32725
ZNF667	-0.33425
ZCCHC12	-0.0805
TFEC	4.6372
ATP7B	-1.93816666666667
POLD2	-1.107
RG9MTD1	0.26625
ACOT2	-0.645333333333333
HIST1H4I	-1.385375
PPARGC1A	-0.6032
ETFA	-1.2718
POLRMT	-0.696
ZNF146	0.397
MIA2	-1.314
KLHL6	0.680833333333333
HOXB5	-1.636125
NENF	1.012
CUGBP1	-1.33375
PRSS22	1.062
CASC4	0.5164
CUL4B	0.1949
CENPJ	-0.2244
PITX1	0.835666666666667
FLJ31033	1.207
CELSR3	-0.622833333333333
ZNF568	0.09725
ITSN1	-0.310166666666667
EHBP1L1	0.126
C19orf2	0.1205
DCTN1	0.3095
LIN28B	-4.28483333333333
TNKS2	1.19125
C1QBP	-0.0675
CADPS2	0.5825
SRMS	0.05325
GJA9	0.0563333333333334
MGC24975	-0.459
TRIM45	-0.789
TSP50	0.022
TCP1	-0.018
TMED7	-0.2138
CMA1	0.048
CENPL	-0.298
PTCRA	0.6355
FST	-4.14425
VWCE	-4.39025
PAWR	-0.78625
ABCC12	0.277833333333333
LDLR	-2.3138
ASTN2	-0.8407
LOC441212	-0.655
GPATCH8	0.24475
TANC2	-1.17375
KIF4A	-0.2055
C18orf18	0.16625
PGM1	0.3225
KIAA0258	1.193
CPD	-0.731
SNCAIP	1.99175
DCT	-4.47616666666667
HLA-DOA	3.45627272727273
OR11L1	1.4375
UPK1B	-0.207
DNAJB4	1.0045
UGT1A8	0.15275
HIST1H4L	-2.297
PECR	-0.093
HSPA2	-1.05675
WFIKKN1	-3.6995
SERP1	1.042375
SYDE2	-1.9195
TACR2	0.1065
NUP85	0.313
CD177	-0.3425
LGR5	-0.4995
PIGG	-0.565666666666667
PTHR1	-2.041
RAB5A	0.1272
FLJ13224	0.4135
USP9Y	-1.57633333333333
C7orf53	-1.2585
LRP1B	1.23725
XAF1	3.3455
ABCG8	0.172
ANKDD1A	-1.082
DAND5	-1.237
SPAG6	0.515666666666667
LINCR	1.51275
ZDHHC22	-1.461125
CCDC60	0.426
THOC7	-1.04283333333333
TCTA	1.1745
OR8K3	0.172
NY-REN-7	-0.799
B2M	1.69316666666667
C6orf141	-1.411875
LPPR4	2.16125
SQLE	-1.170125
SEPHS1	1.71075
BTBD14B	0.279642857142857
PLRG1	-0.429
SPG7	-0.8339375
ZNF614	-0.858333333333333
PARD6G	1.3825
INPP5B	0.8676
GRPEL2	-0.226875
PPID	-1.2177
TRIM56	-0.37325
UBE2J1	0.958875
IL20RA	0.08125
LOC387856	-0.54625
C1orf107	0.629416666666667
UTS2R	-0.10525
C19orf22	0.363
SAFB2	-0.363625
KIAA0652	0.8035
KLRG1	0.822833333333333
MS4A8B	-0.104333333333333
FRAG1	1.3945
KIAA1546	-0.57175
E2F4	-0.6042
CLEC4M	0.160333333333333
BTBD14A	-1.47375
KIAA0999	0.8204
GYPA	-3.45916666666667
TAC1	-0.527222222222222
TRAIP	-0.662333333333333
KIAA0232	-0.5763
ERCC8	-0.549375
GPX4	0.548875
KIAA0368	-0.459
GPR157	-0.626333333333333
CTAGE4	-0.1675
C9orf30	0.0518333333333334
OR52A1	0.419
HSP90B3P	0.5325
ALG9	-0.0608
BTBD10	0.222
SDK2	0.812
BAIAP3	-1.4615
RABGGTB	0.564625
ANKRD40	-0.238
KRT74	0.5935
CALCOCO2	-0.1625
SNCA	-3.88375
TMSL8	0.371125
C2orf53	0.067
ESRRB	-0.54025
ARHGAP26	-1.0265
TDRD9	-4.06425
HRAS	1.01833333333333
KLRC4	-0.971
JAGN1	-0.4425
BSDC1	0.4085
RNF43	-0.2233
NDUFAF1	-0.07125
PHF12	0.5575
OR1L3	0.0375
FOLR2	2.09183333333333
LYZL6	-0.1345
tcag7.1260	-0.0655
WSB1	-1.4585
PROS1	0.0902
OSTN	0.655
PSMB8	2.1595
SOCS4	-0.731375
DDIT4L	0.74925
MAS1	0.1175
MGC34796	1.06275
CSHL1	0.425
TBCCD1	0.100666666666667
ZBTB7C	0.528
AP2S1	0.795625
P15RS	0.3514
VAT1	-0.6256
SHANK3	0.7245
TUFM	-0.698333333333333
THEG	1.1615
KRT34	-1.89375
SGSM3	0.2635
TOMM22	-0.19425
SOCS3	1.41066666666667
CPO	-0.019
POP4	0.2285
BHLHB3	2.85925
MALL	1.7965
OR1B1	0.2445
PARK2	1.04983333333333
GPR124	-0.075625
LCE1E	0.5255
RUVBL2	-0.81075
CGRRF1	-0.3513
ACPL2	-0.04
WNT10B	-0.0595
BAIAP2L2	-0.82475
ISCA1	-0.1775
C1orf125	-0.0595
RPAP1	-0.8115
RAI16	-0.350166666666667
RPL27	-0.604125
NLRP9	1.296
EPN1	0.8545
LOC388610	-0.410375
SLC35A1	0.4502
GAL	-1.94525
SLC14A2	0.31075
RDH11	-1.07683333333333
FAM138F	0.0655
AUH	-1.028
FLJ40243	-0.199
C14orf129	-0.187833333333333
MBD2	-0.0701666666666665
ABHD14B	-0.09025
PIGT	0.142
ALS2CR4	1.064
ALAS1	0.4284
FOXO1	0.226833333333333
CRLF3	0.127125
C20orf107	0.082
FARS2	-0.1315
CCDC28A	0.20825
NPHP3	-1.47225
OR13F1	0.728
TSEN54	0.263
DEFB106B	0.3964
OR8B4	0.5395
STH	-0.5155
ZC3H14	-0.1225
CBX2	0.8355
TMEM49	-1.593
C6orf21	0.8705
FLJ20920	-0.07775
CRTAP	-0.335142857142857
DDX50	-0.4275
STYXL1	0.4805
BLVRB	-0.207
LOC147650	-0.0105
MMP24	0.2145
GRID1	2.13183333333333
BANF1	0.289666666666667
CTAGEP	0.10175
HMBS	-0.726
SLC25A24	0.443833333333333
C14orf50	-0.70575
MRO	1.27783333333333
SLC25A15	-0.05975
FAM84B	0.2013
TDP1	-0.4065
C16orf78	0.377166666666667
C11orf57	-0.275875
RFK	-1.020125
ZFYVE9	-0.517375
STCH	-0.2305
WIBG	-0.1715
LOC283871	-0.587666666666667
GBA2	0.4065
NDUFB3	0.0835
HSD17B13	-0.62375
GRIN3A	2.62933333333333
FMNL1	0.758
SEPT7	-0.8325
GNLY	4.339
GRAMD1C	0.418666666666667
ZNF165	0.369
USP38	-0.02
FAM83A	-1.2615
C14orf24	0.36625
ARMCX3	1.2525
ARHGDIB	0.861333333333333
AK1	-0.0375
KIAA1045	0.8055
DNAJB13	0.107333333333333
NEU2	0.4425
HIST1H4B	-1.554
FAM20B	0.05
HES2	0.0311428571428571
FAM73B	-0.1491
LOC388381	0.25
INTS7	0.0292727272727273
AMPH	1.15375
ZNF775	-0.3605
UCKL1	-0.0446666666666667
C10orf97	1.191
C1orf161	0.09075
ALDH1L1	-1.7375
FLJ39378	-0.263
SLC23A1	-1.8625
RBM4B	0.6305
THAP4	0.564333333333333
OGFRL1	1.1555
KIAA0831	-0.281125
PPP1R15A	0.233833333333333
C1orf96	0.252071428571429
C12orf11	0.05575
BMF	0.929875
MAN1A1	-0.53325
KIAA1600	0.241
NLGN4X	0.7135
ALOX12	2.5455
RB1CC1	0.1636
NEIL2	0.7912
EIF4E	-0.352545454545455
ABHD5	-0.241
EXOC4	-0.176166666666667
CIP29	0.1175
BATF2	2.8545
SLC29A4	-0.630625
HTR4	0.84225
EMB	-0.125
TRAF6	0.67925
LMNB1	-2.1265
FAM19A5	-0.499
SHE	1.04475
PIK3C2B	0.8395
C15orf15	-1.0652
USP15	0.0801
TCEAL2	-0.91025
C5orf39	-0.756166666666667
PTGER2	-0.93175
SLC31A1	-0.3699375
IFT172	1.10175
ADAM29	0.2495
GFOD1	0.8805
ST7L	0.979833333333333
C15orf26	-3.21775
PKN3	-1.43625
CNTD1	-0.588833333333333
COMMD1	0.297375
NTRK2	2.70741666666667
FOXN3	-0.25025
MFGE8	0.6035
PFKFB2	0.443666666666667
TAS2R4	-0.808
ENTHD1	1.36383333333333
PRMT5	-0.93025
MGC16384	-1.95175
LOC442229	0.096
TSKU	0.434
KRTCAP3	3.420875
PDLIM1	0.7406
KCNS2	0.21925
RNF126	-0.0878333333333333
CEP63	-0.835625
CLIC4	0.455
hCG_1990170	4.8005
ACR	0.4328
KLK7	5.21625
ALOX5AP	3.89525
RIPK3	3.7025
TAS2R9	-0.00700000000000001
C19orf18	0.131
BIRC6	0.0568571428571429
ZNF16	1.1665
RFT1	-0.306
SLC8A2	-0.24725
TACC1	-0.445
ITGAD	2.135
SAMHD1	2.61175
SH3PXD2B	0.8149
EPC2	1.00825
C20orf85	0.517625
ATP13A2	1.11116666666667
KRT4	1.261125
CAPNS1	0.31775
MDM2	-1.03466666666667
PCDH20	0.4215
KCNK9	0.3925
OR2C1	0.1435
KLHDC3	1.31033333333333
IPPK	0.214
EFHD2	0.473375
GALR3	-0.0135
NBEA	-2.12916666666667
ABCA6	2.3958
CLDN3	0.880833333333333
AKT2	-0.198285714285714
EGFR	-1.009
RBM16	0.456
ZDHHC3	-0.0326
SLC25A4	-1.25083333333333
CYB5B	-0.562333333333333
CPXM1	0.2785
NDRG1	-0.0662307692307692
FLJ43826	-0.02025
OR5L2	-0.0205
FARP2	0.3836
MRPL46	-0.723916666666666
LDHAL6B	0.0913333333333333
MAPKAPK3	0.199833333333333
NCAM2	-3.582
PRKD2	1.5955
ZFP36L1	0.8156
CYSLTR1	0.16975
OR4C3	-0.35775
HIST1H2AJ	-0.1045
CCNB2	-0.953222222222222
ZNF10	-0.345625
TMEM175	0.693
FAM134A	0.480166666666667
TIGD4	-0.2435
PCNP	-0.21125
MGC39715	0.1585
LQK1	-0.15775
CREB1	0.4139
TMPRSS3	1.81325
C4orf32	-0.415625
LAT	-0.505166666666667
KCNA3	0.691
SKIV2L2	-0.57175
ROPN1B	1.0085
tcag7.23	-0.045
CDT1	-1.47575
ZHX2	0.097875
CD28	-1.901
ZNF624	-0.07775
SEPT2	0.569916666666667
SOHLH2	-1.377
MCOLN3	-0.936125
UNQ1945	0.6135
MASP2	-1.9435
ZNRF3	-0.8053
GPATCH3	0.0335
AGL	0.273875
QRICH2	-0.042
PSD4	1.15066666666667
CCNB1IP1	-0.57925
ENPP7	-0.077
OBFC1	-0.31375
KCNG3	-1.7545
C14orf79	-0.102833333333333
ENPEP	2.085
SCT	1.3415
SKI	0.269875
SEC61G	-0.67425
CAPN11	0.32875
ATXN7L3	-0.01075
DBNDD1	-0.190166666666667
FAIM	0.3895
ANKRD36	-0.7635
GABRP	4.89716666666667
TACSTD2	0.659833333333333
EIF3J	-0.73625
PPP2R2A	0.61125
TEKT4	0.499666666666667
PVALB	-3.64983333333333
F10	-3.26316666666667
FAM134C	0.7315
COMP	3.37825
EFCBP1	-2.6574375
SCLT1	-0.010875
TAL1	-1.5628
ACSL1	0.776
ABCC5	-0.735166666666667
ABL1	-0.759722222222222
RBBP7	-0.0794166666666666
PTPRG	-2.2405
NCOR1	-0.3527
SPINK4	-1.786
TXNRD1	-1.1537
TNRC15	-0.042875
C9orf138	0.503
UBE2H	0.00333333333333333
BRDT	0.0326666666666666
C8orf31	2.45175
CCNE2	-0.789272727272727
SLC6A8	-0.997375
CALCR	-4.21925
PPP1CB	1.9845
ABHD8	0.078
ARF5	0.4728
SLC24A4	0.62475
CCT3	0.88225
ZNF121	0.66425
SLC3A2	-0.0993
OR13A1	1.0215
SLC5A10	-0.06525
RAD50	-0.637875
IER5	-0.622375
MTHFD1L	-0.991875
MBTPS2	-0.02625
MVK	-0.84875
NCL	0.4397
PSMD10	0.2535
MOBP	-0.0105714285714286
FLJ32894	-0.699
HRH1	-0.517166666666667
C5orf30	-0.9205
NUDT16L1	0.4715
RASGRP3	4.92083333333333
PRKRIP1	-0.0331
CCDC75	0.0595
LOC253970	0.03275
KIAA1239	-0.2335
MED21	0.044
SYT11	0.747
NTSR2	1.226
EGFL11	1.0145
CXorf59	-0.511
OR2A25	0.815333333333333
SPTBN2	0.39475
LRMP	-0.244666666666667
RNF111	-0.69375
PTH	-0.4595
LOC619208	0.391666666666667
KIAA0895	-0.15375
RANBP5	-0.287125
P2RY10	2.82183333333333
NME5	-1.03616666666667
DDX21	-0.942
LRSAM1	-0.1
HDAC11	-0.022
VMO1	1.597
NOLA2	0.379166666666667
ADAR	1.3835
MTO1	-1.19433333333333
SF4	0.896
P2RX1	1.15316666666667
HBM	0.3575
EN2	-0.1845
C14orf172	0.1075
TM9SF2	0.8905
INHBE	-0.977666666666667
TCTE3	0.878833333333333
TOX2	-1.5025
CTAGE3	-0.047125
HBB	3.0869
MED15	-0.21
CASR	0.337
C6orf66	-0.194833333333333
MTPN	-0.12175
UNC50	0.392
C21orf33	0.044875
IRF2	1.19925
PGR	-2.65383333333333
GPR84	3.164
CROCCL1	-2.08375
SRPX	-1.59075
BRE	0.375666666666667
FGF10	0.3325
SDC3	1.36733333333333
ZRSR1	0.5855
DKFZP434P211	-0.481125
SOX6	-2.1365
RPUSD2	-0.5325
C14orf173	-0.124416666666667
MAPK11	-0.690666666666667
TBC1D22A	0.717
FAM123A	-0.562
COL4A6	-2.13466666666667
TOMM70A	0.7715
NAB1	0.685
MGC16385	-0.320875
TSPAN18	-0.349
MED31	-0.5765
PLG	-0.028
CAPSL	0.829
ZNF532	1.5727
ASB14	0.12725
CA8	-1.02575
NUDT16P	0.786333333333333
SLFN11	0.398
LRRIQ2	-0.272125
NOL7	-0.3485
BRMS1L	-0.48375
JARID1A	0.582833333333333
PANK2	-0.0045
ICAM3	0.49825
MDS1	-0.927
TAF8	0.2225
RNF139	-0.06175
ZNF594	-0.779166666666667
ADAM8	2.551375
SFTPC	2.174
MAN2B2	0.725125
RGS12	-0.2084375
EIF1AY	-4.93291666666667
LRRIQ1	-0.55
GPR150	-0.42275
CCDC21	-0.474
PRRG3	0.26325
SAA4	0.205
RAPGEF5	0.597375
ZCCHC2	1.66275
MGC39372	0.2445
PPP4R2	-0.229333333333333
CDCA2	0.290833333333333
OR4D5	0.704333333333333
PTGFRN	0.937
SIGLEC5	2.0795
C19orf61	0.5365
NMUR2	0.096
KIAA1586	0.370333333333333
DAGLA	-0.124833333333333
CHCHD6	-0.80775
GPR32	0.087
NEUROD6	0.202333333333333
SLC2A4RG	-0.052375
CA5B	-0.36325
FBXL3	0.55325
MPHOSPH9	-1.2105
HMG2L1	-0.3915
HCN4	-0.357833333333333
CEACAM19	2.002
SH2D4B	1.31816666666667
HFE2	-0.433
TGM4	0.1982
LYPD2	0.34025
TBC1D15	-0.199
MRPS21	0.2411
NONO	-0.2608
CLEC5A	2.72025
ITCH	-0.2201
MGAT3	-0.712166666666667
MBP	1.058625
RPP25	-0.28575
SOSTDC1	1.87475
HRC	-2.16925
TRIM48	0.4685
TMEM133	0.5985
ECEL1P2	-1.5905
HOXC11	-0.2225
DOK5	-0.22675
HELZ	-0.449833333333333
LOC348180	-0.2775
MGC33894	0.0105
ADRB3	-0.1295
DMD	-0.307583333333333
PTRH2	-0.7995
MPEG1	3.181
NDUFA12	-0.621166666666667
KRTAP2-4	0.15425
STAMBPL1	-1.30483333333333
ADCY2	0.513666666666667
UNQ6125	0.4155
KLHL20	-0.1422
SRM	0.212
OTC	-0.16025
TMIE	0.417
SNX8	0.19775
LIPK	0.7185
CHURC1	-0.921333333333333
KLC2	0.834166666666667
HDAC1	0.525666666666667
FAM128A	-0.0806666666666667
FNDC3B	0.2028
MTCP1	0.640833333333333
WFDC10B	1.8346
PCDHGB3	-0.4655
ATRNL1	-3.0439
CAV2	-0.4405
MED26	0.726833333333333
DUS1L	1.07
CHRM3	-2.01125
NEK9	-0.256
WARS2	0.47575
TBX22	-0.485
TOMM40	0.52525
RP6-213H19.1	-0.170833333333333
TUBGCP5	-1.25575
IGSF6	5.42925
TPPP	-0.653333333333333
UNQ6190	-0.0325
GSTM5	0.71775
BTD	-0.162833333333333
PDCD1LG2	1.978
SNRPB2	0.350333333333333
ERICH1	0.364125
APOA4	-1.167125
HOXA11	-1.5745
NARG1	-0.350875
MKX	-1.15375
RAB28	-0.132285714285714
PKP3	1.7215
SH3GL2	0.26
CTSO	2.981
RPN2	0.4303125
IL28RA	1.7745
SFMBT1	-0.435
WDR57	0.707
FER1L3	1.26908333333333
HSF5	0.426666666666667
TTC9B	-0.10975
C4BPA	-2.36533333333333
ALB	-5.16914285714286
SORBS3	0.795625
UPF2	2.4555
JPH1	-0.36
AGBL2	-0.30325
DOPEY1	0.4565
TERF1	-0.0898333333333333
KIF22	-1.21883333333333
NINJ1	-0.28575
SEC61A2	1.33341666666667
HIST1H1D	-0.982333333333333
SFXN4	-0.392625
UCP3	0.6911
ZNF703	0.311
MYL6B	-0.10725
TREM1	2.79375
OR52E6	0.392
CKMT2	1.18125
HLA-C	2.402375
SLC13A3	-0.518666666666667
TIMP4	-3.10825
SLIT2	1.437
RSF1	0.0713888888888889
LONRF1	0.165071428571429
MON1A	-0.279
CACNG6	-1.16733333333333
DPPA4	-6.0345
ZSWIM3	-0.40625
ZNF804A	0.786333333333333
CCIN	1.352
SLC25A31	0.68425
KCNMB4	-1.76625
RABL5	0.2775
GALNS	0.2686
STX6	0.218
HIST1H1C	-2.21733333333333
CIDEB	0.13025
CASP4	0.225333333333333
PDK3	0.2392
KCNJ11	0.496
TPR	-0.130875
ZSCAN20	-0.3065
MTX2	-0.025
HIST1H2BH	-0.4395
LOC283767	-0.1035
LYRM7	-1.66083333333333
BRD3	-0.624666666666667
HIST1H2BO	-0.64875
MAGEB10	-1.8915
SLC45A1	1.20275
SERPINA3	-1.5053
KIAA0143	0.4495
KCNJ16	4.5475
KRT79	1.1575
FABP2	-1.69233333333333
NUT	0.559
ZNF57	-0.42025
FBXL4	0.35525
CLEC9A	2.275
UGT8	1.786
BMP2K	0.64825
MAPK4	-0.551
SLC25A23	-0.5743
HINT1	-0.6719
KRTAP13-1	0.791
SFXN5	0.1954
CHCHD2	-0.54475
FAM3D	2.989
NDP	-2.160125
RHOBTB1	-1.21483333333333
SLC4A4	-1.257375
RPL38	0.1065
HTF9C	-0.287333333333333
AP2A2	0.856625
ZBTB46	-0.636
MAP7D1	0.39275
AOX1	-2.25
CYR61	-0.508333333333333
DTNA	-0.0637142857142858
JRKL	0.9085
TMOD3	-0.402
EEA1	-0.271
ADCK5	0.4695
IL1R1	1.21833333333333
KLK3	-0.00942857142857144
HRSP12	0.2935
KTN1	-0.1855
LOH11CR2A	1.3459
RELL2	1.05925
MAB21L1	0.57
C20orf59	-0.209333333333333
PHKB	-0.5805
ADAM2	-2.426
TBC1D8B	1.3605
FAM13A1	-0.3984375
LAPTM4B	0.730416666666667
LCN8	0.022
TMEM147	1.4335
SYT4	-0.388833333333333
XPO7	0.6875
C9orf62	-0.465
GPR75	1.1895
TRIM5	1.588375
APOC1	0.952333333333333
RNASE4	-0.696833333333333
PARD6B	-2.961375
ARID1A	0.5705
TPD52L3	0.728666666666667
RRAGB	0.3365
RCN2	-0.3905
HIST2H2BE	-0.4133125
STARD7	-0.2215
SHMT2	-0.679
KIAA1751	0.0106666666666667
MLYCD	-0.147375
LOC162632	-0.6582
UQCRH	0.034
RP11-217H1.1	0.087625
SDHA	-1.23616666666667
NCLN	-0.0748
ZNF17	-0.0611666666666667
RCBTB2	-1.07325
VEGFB	-0.0078
RP4-747L4.3	0.78775
COLQ	-0.1845
MPN2	-1.20633333333333
DRG2	-0.3745
KLRB1	6.072
ALPK2	-1.8285
DNASE2B	0.25475
FLJ23834	0.025
AXUD1	0.5775
SAFB	0.0818
NSUN4	0.355
RFX2	-0.409333333333333
MAPK8IP1	0.299333333333333
FANCD2	-0.446357142857143
ANKZF1	-0.537333333333333
C19orf50	0.343625
DUSP8	1.904375
SENP5	0.08075
NFKBIL2	-0.1335
LBR	-0.471625
IGFL1	0.35
LZTS2	-0.166375
IL2RG	1.51125
CCDC51	-0.49375
KLF3	0.11025
ANKRD37	-1.988
KCTD14	-1.45066666666667
FZR1	0.269666666666667
SLC44A4	-1.9501
ESPL1	-0.494625
GMPR2	-0.7516
TBC1D19	-0.491166666666667
ERGIC1	-0.354259259259259
ERBB4	-1.6348
TSPAN32	1.47566666666667
MAP4	0.018125
GPHN	-0.59425
SLC6A2	-0.075375
HIVEP1	0.69975
DFFB	0.8285
EIF4EBP2	0.601875
DMRT1	3.7195
HSPB6	-0.28825
IER2	-0.2875
AIFM1	-0.16375
WWC2	-0.470833333333333
MRPL4	0.80675
FLJ21062	-0.349833333333333
EPB41L4A	0.46225
SH2D6	0.56325
TAF4B	0.2255
GAL3ST3	0.2565
MALT1	0.8005
RTDR1	0.83575
ARVCF	-0.3035
MEX3B	-0.3185
FBXO16	2.1785
KIF7	-0.2445
C1QC	3.94866666666667
ZNF783	0.221166666666667
ZNF85	-0.2355
MMP13	2.125
KIAA0329	-0.234125
RTP3	-1.515
ZBED3	-0.02675
CLGN	-4.03075
SLC25A37	0.670416666666667
hCG_18290	-0.5435
OR5AS1	-0.3885
SMARCC2	0.27175
FAM109A	-0.0346666666666667
CCDC12	-0.1045
USF2	0.7204
DEPDC7	-1.91525
C20orf24	0.0305
JMJD3	0.959
DSP	0.569
SLIC1	1.181375
FAM20A	2.230125
IRF2BP2	0.222625
