Hybridization REF	TCGA-BH-A0HA-11A-31R-A12P-07
FPGT	0.80525
GDF10	2.86916666666667
COQ9	0.12875
GCC2	-0.0402857142857143
RARRES3	2.544625
PLXNA1	-0.2944
KIAA0100	-0.7188
PMF1	0.12375
FNDC1	2.6195
HS2ST1	0.0506666666666666
CRELD2	0.4475
C8G	-1.8475
CD82	1.4045
LIM2	-1.331
UNQ6490	-0.9855
MMP16	-0.2165
DRD3	-0.16975
C5orf26	0.67525
C11orf73	-0.62825
PTP4A2	-0.13525
OR4M2	0.2605
HPCA	0.0741666666666667
SEC14L1	-0.2585
CHFR	-0.845375
EMILIN1	0.30425
NDUFS4	-0.27375
COL18A1	-0.094
PDZD3	-0.2988
C9orf16	-0.517333333333333
ERBB2IP	-0.0566666666666667
EMX2	4.03475
FUS	-0.3835
TF	-2.2119
CLCN4	-0.682666666666667
CXorf56	0.4585
C11orf72	0.78475
ELAC2	-0.168833333333333
NPR1	1.18425
ASS1	-1.1625
USP42	0.0975
POLR2J	-0.37
SEC23IP	0.0266666666666667
UQCRC1	0.135
LOC729603	-0.49475
C1orf71	-0.69375
POLG	-3.1605
ADAM23	-3.69375
TFR2	-1.23375
RICTOR	-0.8151
MGC39606	1.7845
C19orf55	-0.53925
SNAPC1	-1.36366666666667
GNA11	1.127875
CCDC52	-0.506333333333333
FSIP1	2.3555
UPF3A	-0.257375
IGSF11	-2.4345
LAGE3	-1.16825
CHST6	-3.094
UNC13B	0.596125
TTLL4	-0.269125
ZNF687	-0.033875
SDC2	0.5538
COX7A2	-1.1785
LAMB4	-1.07625
FAM24A	-0.6365
LRRTM3	-1.73716666666667
GPHB5	0.29475
OR4C13	2.039
EIF3EIP	0.498857142857143
HABP4	1.378
TMEM125	2.42775
CNTN2	-0.1705
ASNSD1	-0.25675
FUT4	-0.095125
ACF	-3.84825
LOC158381	0.729
CDH8	-0.157
AGPS	-1.94833333333333
C4orf18	3.13075
PECI	0.5095
UNG	-0.881375
GSTP1	0.135625
DCUN1D5	-1.449
DKFZP564J0863	-1.68675
SLC9A3R1	-0.2935
BCDO2	0.37275
CHMP7	0.301875
REM2	-0.3135
DNHD1	-0.978875
FKBP4	-0.45825
ZNF350	1.34625
MGC11102	-0.3225
BST1	1.1115
KISS1R	1.0725
NCR2	-0.1355
DEFB125	-3.253
UBE2W	0.542125
KRT15	4.50425
C10orf99	0.5695
SCN11A	-0.0842857142857143
GFI1	-2.5545
RDHE2	3.26833333333333
FHL1	1.5075
OSGEP	-0.352166666666667
GATA1	-3.67166666666667
SMC6	-1.894
TTTY14	-1.82
LPIN3	0.26175
RPL4	0.7111
RBPMS	1.0085
PRPF3	-0.3725
EMR1	-3.0735
SPATA19	-0.639
XCR1	0.766
IRX3	2.6198
RBM6	0.01625
KLF4	1.7507
UNC5CL	-0.93325
SEBOX	-0.106
BTK	-1.51625
KRCC1	1.449
C6orf27	0.6395
SYTL5	-0.1925
PRND	1.25025
LOC653319	-1.326
PIGL	-1.750875
HUS1	-0.724666666666667
SFRS6	0.9565
C17orf77	-0.197
UIMC1	0.125166666666667
FXYD2	-2.1533
LOC283152	0.018
ZNF667	0.0645
ZCCHC12	-0.1225
TFEC	0.8506
ATP7B	-0.130666666666667
POLD2	-0.729333333333333
RG9MTD1	0.45725
ACOT2	0.5935
HIST1H4I	-1.891
PPARGC1A	-1.2476
ETFA	-0.4997
POLRMT	0.2495
ZNF146	-0.323875
MIA2	-2.2705
KLHL6	-1.80266666666667
HOXB5	-1.024625
NENF	0.0718333333333333
CUGBP1	-1.22225
PRSS22	1.09816666666667
CASC4	0.3076
CUL4B	-0.3334
CENPJ	-1.6726
PITX1	-2.33966666666667
FLJ31033	0.460166666666667
CELSR3	-2.3585
ZNF568	1.195
ITSN1	-0.516
EHBP1L1	-0.471333333333333
C19orf2	-0.9565
DCTN1	0.8325
LIN28B	-4.897
TNKS2	0.37675
C1QBP	-0.62975
CADPS2	1.33175
SRMS	0.045
GJA9	0.292
MGC24975	-1.093
TRIM45	-1.13516666666667
TSP50	1.33025
TCP1	-1.2065
TMED7	0.0278
CMA1	1.674
CENPL	-2.3775
PTCRA	-1.05
FST	-2.89475
VWCE	-3.3175
PAWR	-0.541
ABCC12	2.256
LDLR	0.5432
ASTN2	0.9062
LOC441212	-0.659875
GPATCH8	-0.2925
TANC2	-1.1335
KIF4A	-4.2675
C18orf18	-0.8645
PGM1	-0.5535
KIAA0258	0.43175
CPD	0.365875
SNCAIP	-0.20675
DCT	-4.43666666666667
HLA-DOA	2.03931818181818
OR11L1	0.763
UPK1B	0.224333333333333
DNAJB4	1.042625
UGT1A8	-0.0755
HIST1H4L	-2.8755
PECR	-1.49666666666667
HSPA2	1.92725
WFIKKN1	-2.1325
SERP1	0.947875
SYDE2	-0.05675
TACR2	1.212
NUP85	-0.79925
CD177	-0.617166666666667
LGR5	-2.1562
PIGG	0.007
PTHR1	-0.828
RAB5A	0.1395
FLJ13224	-0.3075
USP9Y	-2.55933333333333
C7orf53	-1.2325
LRP1B	2.141
XAF1	0.7327
ABCG8	0.6725
ANKDD1A	-0.300166666666667
DAND5	-2.477
SPAG6	2.50483333333333
LINCR	1.5615
ZDHHC22	-1.413875
CCDC60	0.109
THOC7	-1.0855
TCTA	1.2081
OR8K3	0.48275
NY-REN-7	0.12175
B2M	1.31983333333333
C6orf141	-2.136125
LPPR4	1.55825
SQLE	-2.69525
SEPHS1	-0.92
BTBD14B	0.0269285714285714
PLRG1	0.04825
SPG7	0.1173125
ZNF614	0.186833333333333
PARD6G	1.81266666666667
INPP5B	-0.5916
GRPEL2	-0.949
PPID	-0.7746
TRIM56	0.3735
UBE2J1	-0.183
IL20RA	6.02475
LOC387856	0.8325
C1orf107	0.143416666666667
UTS2R	1.514
C19orf22	0.13325
SAFB2	-0.04475
KIAA0652	0.502875
KLRG1	-0.871666666666667
MS4A8B	0.0041666666666667
FRAG1	0.2585
KIAA1546	0.0845
E2F4	-0.3711
CLEC4M	0.7915
BTBD14A	-1.64275
KIAA0999	1.1581
GYPA	-3.56366666666667
TAC1	4.0316
TRAIP	-2.21083333333333
KIAA0232	0.8159
ERCC8	-1.66075
GPX4	0.550625
KIAA0368	-0.0985
GPR157	-0.603
CTAGE4	2.01
C9orf30	-1.472
OR52A1	0.2585
HSP90B3P	-0.3325
ALG9	-0.4987
BTBD10	0.3255
SDK2	0.23025
BAIAP3	1.38125
RABGGTB	-0.92375
ANKRD40	0.4105
KRT74	0.4775
CALCOCO2	0.408571428571429
SNCA	-1.49075
TMSL8	-3.63275
C2orf53	0.101
ESRRB	-0.558
ARHGAP26	-1.313625
TDRD9	-1.8975
HRAS	0.727833333333333
KLRC4	-1.033
JAGN1	-0.0585
BSDC1	0.40175
RNF43	0.1217
NDUFAF1	0.5715
PHF12	-0.3225
OR1L3	0.20225
FOLR2	1.34091666666667
LYZL6	0.133833333333333
tcag7.1260	3.0055
WSB1	-1.09433333333333
PROS1	0.5496
OSTN	-0.0805
PSMB8	0.5965
SOCS4	-0.365
DDIT4L	1.66425
MAS1	0.746
MGC34796	0.92175
CSHL1	0.623
TBCCD1	0.795
ZBTB7C	0.394
AP2S1	-0.5275
P15RS	-0.7457
VAT1	-0.6571
SHANK3	1.20416666666667
TUFM	-0.210333333333333
THEG	0.53075
KRT34	-2.00525
SGSM3	0.83775
TOMM22	-0.604375
SOCS3	2.09066666666667
CPO	1.6975
POP4	0.10225
BHLHB3	3.5185
MALL	3.3075
OR1B1	0.939
PARK2	1.24683333333333
GPR124	1.019625
LCE1E	-1.171
RUVBL2	-0.32325
CGRRF1	1.1207
ACPL2	0.39375
WNT10B	-1.953375
BAIAP2L2	-2.71425
ISCA1	0.5825
C1orf125	-0.76425
RPAP1	-1.05075
RAI16	1.09233333333333
RPL27	0.0265
NLRP9	0.263
EPN1	-0.4915
LOC388610	0.87075
SLC35A1	1.0419
GAL	-4.848
SLC14A2	0.0245
RDH11	-1.3215
FAM138F	-0.6305
AUH	0.7505
FLJ40243	0.011
C14orf129	-0.287
MBD2	-0.996333333333333
ABHD14B	0.887
PIGT	-0.513
ALS2CR4	0.776375
ALAS1	0.4264
FOXO1	2.87883333333333
CRLF3	-0.423
C20orf107	0.092
FARS2	1.2795
CCDC28A	0.5855
NPHP3	-0.34975
OR13F1	0.4395
TSEN54	-0.658
DEFB106B	0.283333333333333
OR8B4	1.0005
STH	0.57475
ZC3H14	-0.090625
CBX2	-0.743
TMEM49	-0.0485
C6orf21	0.37
FLJ20920	1.502875
CRTAP	0.37
DDX50	-0.2045
STYXL1	0.401
BLVRB	0.164166666666667
LOC147650	1.03366666666667
MMP24	0.208
GRID1	2.15666666666667
BANF1	-0.577
CTAGEP	0.17075
HMBS	-2.81
SLC25A24	-0.108
C14orf50	0.46025
MRO	-0.0551666666666667
SLC25A15	-1.42475
FAM84B	1.2219
TDP1	-1.722
C16orf78	0.192333333333333
C11orf57	-1.0985
RFK	-0.917375
ZFYVE9	-0.277
STCH	-1.3998
WIBG	-0.00275
LOC283871	-0.595166666666667
GBA2	0.574
NDUFB3	-0.554
HSD17B13	0.6345
GRIN3A	2.32483333333333
FMNL1	-1.18066666666667
SEPT7	-0.7084
GNLY	3.5335
GRAMD1C	2.0185
ZNF165	0.44425
USP38	0.00475
FAM83A	-4.19566666666667
C14orf24	0.68775
ARMCX3	0.50275
ARHGDIB	1.018
AK1	0.107
KIAA1045	0.653
DNAJB13	-0.190166666666667
NEU2	-0.85
HIST1H4B	-2.06183333333333
FAM20B	-0.9724
HES2	0.00392857142857143
FAM73B	0.1193
LOC388381	-0.46075
INTS7	-1.16318181818182
AMPH	0.595
ZNF775	-0.0448749999999999
UCKL1	0.0531666666666666
C10orf97	0.37075
C1orf161	0.57325
ALDH1L1	1.35
FLJ39378	-0.10425
SLC23A1	-2.8115
RBM4B	0.5705
THAP4	0.451166666666667
OGFRL1	0.88375
KIAA0831	-0.00487499999999995
PPP1R15A	1.713
C1orf96	-0.575285714285714
C12orf11	-2.40175
BMF	-0.548375
MAN1A1	-0.638
KIAA1600	0.363
NLGN4X	1.10625
ALOX12	-1.6645
RB1CC1	-0.4483
NEIL2	0.6336
EIF4E	-0.0194545454545454
ABHD5	-0.01725
EXOC4	-0.16
CIP29	-0.1475
BATF2	-0.70375
SLC29A4	-0.809875
HTR4	0.53325
EMB	-1.81825
TRAF6	0.57675
LMNB1	-5.93725
FAM19A5	-1.558125
SHE	2.4525
PIK3C2B	0.815
C15orf15	0.4613
USP15	0.1352
TCEAL2	4.35725
C5orf39	-0.95
PTGER2	-1.16375
SLC31A1	-0.1865625
IFT172	0.7415
ADAM29	0.5685
GFOD1	0.336
ST7L	0.3435
C15orf26	-3.29525
PKN3	0.171
CNTD1	3.80683333333333
COMMD1	0.914
NTRK2	4.98666666666667
FOXN3	0.59075
MFGE8	1.5255
PFKFB2	0.452333333333333
TAS2R4	-0.322
ENTHD1	-0.5515
PRMT5	-0.137625
MGC16384	-1.777875
LOC442229	-1.32775
TSKU	1.3475
KRTCAP3	2.215875
PDLIM1	2.2553
KCNS2	0.876
RNF126	-0.154333333333333
CEP63	-0.303375
CLIC4	0.02725
hCG_1990170	3.10475
ACR	0.5883
KLK7	5.9215
ALOX5AP	2.354
RIPK3	3.56575
TAS2R9	0.0585
C19orf18	1.4575
BIRC6	0.0647142857142857
ZNF16	1.683
RFT1	-0.866
SLC8A2	0.39625
TACC1	0.231875
ITGAD	-0.184333333333333
SAMHD1	0.72525
SH3PXD2B	0.9249
EPC2	0.9855
C20orf85	0.51825
ATP13A2	0.185166666666667
KRT4	0.438
CAPNS1	0.7305
MDM2	-1.04625
PCDH20	2.28925
KCNK9	0.618
OR2C1	0.456
KLHDC3	-0.0466666666666667
IPPK	0.743
EFHD2	-0.734875
GALR3	1.347
NBEA	0.299333333333333
ABCA6	4.1834
CLDN3	1.8995
AKT2	-0.477285714285714
EGFR	0.4949
RBM16	0.2745
ZDHHC3	0.2443
SLC25A4	0.704166666666667
CYB5B	-0.137833333333333
CPXM1	0.1625
NDRG1	-0.0272307692307692
FLJ43826	0.4375
OR5L2	0.0388333333333333
FARP2	0.6623
MRPL46	-0.0548333333333333
LDHAL6B	0.789333333333333
MAPKAPK3	-0.36
NCAM2	-1.38075
PRKD2	1.24966666666667
ZFP36L1	1.2585
CYSLTR1	-0.9705
OR4C3	0.211
HIST1H2AJ	0.7
CCNB2	-4.55133333333333
ZNF10	0.6605
TMEM175	0.8575
FAM134A	1.14216666666667
TIGD4	-0.422
PCNP	0.31625
MGC39715	2.01625
LQK1	-2.01775
CREB1	0.2718
TMPRSS3	0.8605
C4orf32	1.053125
LAT	-2.01633333333333
KCNA3	-0.642
SKIV2L2	-0.98875
ROPN1B	2.39125
tcag7.23	0.7615
CDT1	-4.053875
ZHX2	1.49225
CD28	-5.0285
ZNF624	-0.12825
SEPT2	0.0908333333333333
SOHLH2	-1.954375
MCOLN3	0.381285714285714
UNQ1945	0.5595
MASP2	-0.6675
ZNRF3	-0.2
GPATCH3	0.35725
AGL	0.471875
QRICH2	0.686
PSD4	1.75233333333333
CCNB1IP1	-0.72425
ENPP7	0.227
OBFC1	0.1595
KCNG3	-2.886
C14orf79	1.32316666666667
ENPEP	1.14916666666667
SCT	0.329
SKI	0.74825
SEC61G	-1.946
CAPN11	2.381
ATXN7L3	0.243
DBNDD1	-0.584333333333333
FAIM	0.23725
ANKRD36	-1.35
GABRP	4.91833333333333
TACSTD2	2.97933333333333
EIF3J	-0.7605
PPP2R2A	-0.07475
TEKT4	-0.0445
PVALB	-1.81566666666667
F10	-0.5665
FAM134C	1.1254
COMP	1.7915
EFCBP1	-1.2250625
SCLT1	-0.76825
TAL1	-0.8238
ACSL1	1.7645
ABCC5	-0.213
ABL1	-0.200722222222222
RBBP7	-0.212
PTPRG	-0.7435
NCOR1	0.1616
SPINK4	-2.57583333333333
TXNRD1	-1.7249
TNRC15	-0.40125
C9orf138	0.58425
UBE2H	0.0366666666666667
BRDT	0.872166666666667
C8orf31	-0.431
CCNE2	-4.071
SLC6A8	-1.414125
CALCR	-4.64025
PPP1CB	1.37041666666667
ABHD8	0.4945
ARF5	0.5297
SLC24A4	-0.00825
CCT3	-0.4305
ZNF121	-0.541375
SLC3A2	0.4324
OR13A1	0.221
SLC5A10	-0.01075
RAD50	-0.679875
IER5	0.78825
MTHFD1L	-2.975625
MBTPS2	-0.72725
MVK	0.51625
NCL	-0.7045
PSMD10	-0.10175
MOBP	0.311714285714286
FLJ32894	null
HRH1	-1.23416666666667
C5orf30	-0.04775
NUDT16L1	0.5519
RASGRP3	2.99966666666667
PRKRIP1	-0.6202
CCDC75	-1.1505
LOC253970	-0.7545
KIAA1239	0.8845
MED21	-0.1605
SYT11	-0.204666666666667
NTSR2	-1.114
EGFL11	-0.152
CXorf59	1.9855
OR2A25	-0.07075
SPTBN2	-0.26875
LRMP	-1.28783333333333
RNF111	0.02925
PTH	0.53
LOC619208	0.612
KIAA0895	0.69275
RANBP5	-1.249375
P2RY10	-0.512333333333333
NME5	3.90016666666667
DDX21	-0.49375
LRSAM1	0.336
HDAC11	0.8875
VMO1	0.524
NOLA2	-0.567666666666667
ADAR	0.041
MTO1	-0.784166666666667
SF4	0.945
P2RX1	0.786166666666667
HBM	0.97875
EN2	1.218
C14orf172	0.42775
TM9SF2	0.6163
INHBE	-1.101
TCTE3	0.137583333333333
TOX2	-3.1585
CTAGE3	-0.6035
HBB	4.6487
MED15	-0.261
CASR	-0.16225
C6orf66	-0.936333333333333
MTPN	-1.197625
UNC50	0.57425
C21orf33	0.358
IRF2	0.505125
PGR	-1.00733333333333
GPR84	0.73
CROCCL1	-0.85725
SRPX	-0.3185
BRE	0.423
FGF10	3.74725
SDC3	0.788666666666667
ZRSR1	0.926666666666667
DKFZP434P211	0.144
SOX6	0.085
RPUSD2	-0.75675
C14orf173	-0.400583333333333
MAPK11	-0.439666666666667
TBC1D22A	0.4335
FAM123A	-1.4285
COL4A6	-0.0638333333333333
TOMM70A	-0.1115
NAB1	0.212375
MGC16385	-0.03025
TSPAN18	-0.662833333333333
MED31	-0.38125
PLG	-0.21675
CAPSL	-0.0655
ZNF532	0.4823
ASB14	-1.28125
CA8	0.04225
NUDT16P	0.782666666666667
SLFN11	-1.6325
LRRIQ2	-1.496125
NOL7	-0.529666666666667
BRMS1L	-0.05875
JARID1A	-0.566166666666667
PANK2	-0.8105
ICAM3	-0.6265
MDS1	-0.33
TAF8	-0.75975
RNF139	0.00575
ZNF594	0.0393333333333333
ADAM8	-0.20825
SFTPC	-0.132125
MAN2B2	1.142375
RGS12	0.6061875
EIF1AY	-5.19116666666667
LRRIQ1	0.764833333333333
GPR150	1.74775
CCDC21	-1.3125
PRRG3	1.04275
SAA4	-0.8305
RAPGEF5	0.833625
ZCCHC2	-0.0794166666666667
MGC39372	-0.2365
PPP4R2	-0.2755
CDCA2	-4.005
OR4D5	0.580166666666667
PTGFRN	0.6311
SIGLEC5	0.387166666666667
C19orf61	0.718166666666667
NMUR2	0.836
KIAA1586	-0.919666666666667
DAGLA	0.102666666666667
CHCHD6	0.235
GPR32	0.4795
NEUROD6	0.5954
SLC2A4RG	-0.1668125
CA5B	0.9485
FBXL3	1.853
MPHOSPH9	-2.7715
HMG2L1	-0.50925
HCN4	1.00766666666667
CEACAM19	0.70425
SH2D4B	-0.3805
HFE2	-0.227
TGM4	0.055
LYPD2	0.1895
TBC1D15	-0.027
MRPS21	-0.7229
NONO	-0.7052
CLEC5A	-0.061
ITCH	-0.358
MGAT3	-0.476333333333333
MBP	-0.0257500000000001
RPP25	-0.56175
SOSTDC1	3.70125
HRC	-0.218
TRIM48	0.1155
TMEM133	0.37925
ECEL1P2	-1.92875
HOXC11	1.718
DOK5	0.75075
HELZ	-0.203166666666667
LOC348180	0.28875
MGC33894	0.047
ADRB3	-0.4955
DMD	1.93983333333333
PTRH2	-0.493
MPEG1	2.32933333333333
NDUFA12	-0.0945
KRTAP2-4	-0.387083333333333
STAMBPL1	-1.50233333333333
ADCY2	2.1865
UNQ6125	0.4105
KLHL20	-0.2415
SRM	-0.2705
OTC	0.33125
TMIE	0.7395
SNX8	-0.525
LIPK	0.815
CHURC1	0.21875
KLC2	0.226666666666667
HDAC1	-0.174
FAM128A	-0.457666666666667
FNDC3B	-0.6695
MTCP1	-0.069
WFDC10B	0.4745
PCDHGB3	0.12
ATRNL1	-0.6684
CAV2	2.14875
MED26	0.083
DUS1L	0.71425
CHRM3	-0.64575
NEK9	0.84875
WARS2	-0.13775
TBX22	0.611
TOMM40	-0.86425
RP6-213H19.1	-0.991166666666667
TUBGCP5	-0.1355
IGSF6	4.21525
TPPP	2.33333333333333
UNQ6190	-0.322
GSTM5	4.25
BTD	1.1105
PDCD1LG2	0.2755
SNRPB2	-0.692833333333333
ERICH1	-0.356875
APOA4	-1.528875
HOXA11	-1.019
NARG1	-0.18025
MKX	-0.65
RAB28	0.243071428571429
PKP3	0.55175
SH3GL2	-3.56825
CTSO	3.94375
RPN2	-0.3736875
IL28RA	1.30483333333333
SFMBT1	-0.22425
WDR57	-0.20325
FER1L3	0.824333333333333
HSF5	-0.0813333333333334
TTC9B	0.06575
C4BPA	-0.4925
ALB	-5.30457142857143
SORBS3	-0.052125
UPF2	-0.239
JPH1	-0.7535
AGBL2	0.31875
DOPEY1	1.932
TERF1	-0.477166666666667
KIF22	-1.07916666666667
NINJ1	0.712
SEC61A2	-0.711583333333333
HIST1H1D	-1.48083333333333
SFXN4	-0.2615
UCP3	0.1733
ZNF703	0.778
MYL6B	-0.8075
TREM1	0.04625
OR52E6	0.909
CKMT2	3.27875
HLA-C	1.4405
SLC13A3	-0.866166666666667
TIMP4	0.6705
SLIT2	2.92425
RSF1	-0.382111111111111
LONRF1	0.0192142857142857
MON1A	-0.3445
CACNG6	-1.61933333333333
DPPA4	-6.04266666666667
ZSWIM3	-0.7265
ZNF804A	0.713833333333333
CCIN	1.17575
SLC25A31	1.53733333333333
KCNMB4	-0.54225
RABL5	-0.089375
GALNS	-0.7231
STX6	-1.273625
HIST1H1C	-2.22866666666667
CIDEB	-0.334375
CASP4	0.360166666666667
PDK3	-0.9178
KCNJ11	1.256
TPR	-0.795625
ZSCAN20	-0.8795
MTX2	-0.5635
HIST1H2BH	-0.925
LOC283767	1.9415
LYRM7	-1.09088888888889
BRD3	0.306833333333333
HIST1H2BO	-0.6315
MAGEB10	0.754
SLC45A1	1.22625
SERPINA3	2.32235
KIAA0143	0.77475
KCNJ16	5.51233333333333
KRT79	0.69125
FABP2	-1.06425
NUT	-0.769
ZNF57	0.4905
FBXL4	0.350875
CLEC9A	1.4195
UGT8	0.382666666666667
BMP2K	0.118
MAPK4	-1.5115
SLC25A23	-0.7174
HINT1	-0.8604
KRTAP13-1	0.9275
SFXN5	-0.3904
CHCHD2	-0.801583333333333
FAM3D	3.325
NDP	-1.10075
RHOBTB1	-1.56416666666667
SLC4A4	-0.117625
RPL38	0.104
HTF9C	-0.092
AP2A2	0.71375
ZBTB46	0.356
MAP7D1	1.054875
AOX1	0.179166666666667
CYR61	2.59916666666667
DTNA	-0.438214285714286
JRKL	0.47175
TMOD3	-1.0865
EEA1	-0.1121
ADCK5	-0.434
IL1R1	2.197
KLK3	2.65607142857143
HRSP12	-1.26875
KTN1	-0.02875
LOH11CR2A	1.7694
RELL2	-1.53
MAB21L1	2.038
C20orf59	-0.583
PHKB	-0.06675
ADAM2	-2.14066666666667
TBC1D8B	1.03
FAM13A1	0.1790625
LAPTM4B	-0.704166666666667
LCN8	-0.309
TMEM147	0.501
SYT4	0.647333333333333
XPO7	-0.645
C9orf62	1.74075
GPR75	0.4335
TRIM5	0.5405
APOC1	-0.835166666666667
RNASE4	2.36433333333333
PARD6B	-2.069125
ARID1A	0.132416666666667
TPD52L3	-0.361222222222222
RRAGB	0.982333333333334
RCN2	-1.00983333333333
HIST2H2BE	-0.043125
STARD7	-0.3575
SHMT2	-1.38225
KIAA1751	0.365833333333333
MLYCD	0.232625
LOC162632	-0.2939
UQCRH	-2.0545
RP11-217H1.1	-0.030625
SDHA	-0.0471666666666667
NCLN	-0.9435
ZNF17	0.381833333333333
RCBTB2	-0.42125
VEGFB	-0.5722
RP4-747L4.3	0.761
COLQ	0.7206
MPN2	-0.495
DRG2	0.60275
KLRB1	5.24
ALPK2	-2.69325
DNASE2B	3.42025
FLJ23834	0.781833333333333
AXUD1	3.51816666666667
SAFB	-0.4698
NSUN4	-0.08
RFX2	2.25333333333333
MAPK8IP1	0.0871666666666667
FANCD2	-1.93542857142857
ANKZF1	-1.149
C19orf50	-0.30975
DUSP8	1.613375
SENP5	-1.071375
NFKBIL2	-0.61175
LBR	-1.097
IGFL1	0.3245
LZTS2	-0.057125
IL2RG	-1.484
CCDC51	-0.66725
KLF3	-0.15825
ANKRD37	-0.22325
KCTD14	2.35316666666667
FZR1	0.318583333333333
SLC44A4	3.0218
ESPL1	-1.925875
GMPR2	0.2973
TBC1D19	-0.734
ERGIC1	-0.39637037037037
ERBB4	2.8841
TSPAN32	0.29475
MAP4	0.115625
GPHN	-0.414
SLC6A2	1.51125
HIVEP1	0.346
DFFB	-0.8835
EIF4EBP2	0.229625
DMRT1	-1.2675
HSPB6	0.6345
IER2	0.448333333333333
AIFM1	-0.94325
WWC2	-0.34775
MRPL4	-0.5355
FLJ21062	1.2295
EPB41L4A	1.46458333333333
SH2D6	0.07525
TAF4B	-0.103
GAL3ST3	-0.8015
MALT1	-0.8375
RTDR1	-0.1005
ARVCF	0.691375
MEX3B	-2.65783333333333
FBXO16	-0.34
KIF7	0.71875
C1QC	3.503
ZNF783	-0.162
ZNF85	-0.19525
MMP13	-1.397
KIAA0329	1.11525
RTP3	-1.2835
ZBED3	-0.47025
CLGN	-1.181
SLC25A37	-0.360166666666667
hCG_18290	0.27325
OR5AS1	0.4075
SMARCC2	0.797166666666667
FAM109A	0.275833333333333
CCDC12	0.1525
USF2	0.6029
DEPDC7	-3.77
C20orf24	-1.045
JMJD3	0.9045
DSP	1.11357142857143
SLIC1	0.263
FAM20A	1.147375
IRF2BP2	0.232
ZNF230	0.1595
MSN	-0.0772142857142857
SLC9A5	-1.7265
EPDR1	-0.7222
