Hybridization REF	TCGA-BH-A18L-01A-32R-A12D-07
CRTAP	-0.834785714285714
DDX50	0.22675
STYXL1	-1.01275
BLVRB	1.0835
LOC147650	-0.760333333333333
MMP24	0.4755
GRID1	1.521
BANF1	-0.207666666666667
CTAGEP	0.67375
HMBS	-2.4995
SLC25A24	0.578166666666667
C14orf50	2.74525
MRO	1.638
SLC25A15	-1.0145
FAM84B	3.1534
TDP1	-0.1085
C16orf78	-0.377833333333333
C11orf57	-0.47475
RFK	0.296125
ZFYVE9	-0.59925
STCH	-0.4398
WIBG	0.502
LOC283871	0.862666666666667
GBA2	-1.0137
NDUFB3	0.15875
HSD17B13	-0.384
GRIN3A	1.15716666666667
FMNL1	-1.60683333333333
SEPT7	0.0691
GNLY	3.1505
GRAMD1C	1.3845
ZNF165	1.39375
USP38	1.6425
FAM83A	-1.41116666666667
C14orf24	1.22208333333333
ARMCX3	0.4315
ARHGDIB	-0.7585
AK1	0.405125
KIAA1045	-0.57275
DNAJB13	-0.0713333333333334
NEU2	0.508
HIST1H4B	-0.194
FAM20B	0.5158
HES2	-0.1905
FAM73B	-0.5013
LOC388381	-0.64975
INTS7	0.135454545454545
AMPH	-0.55275
ZNF775	-0.512125
UCKL1	0.1505
C10orf97	0.356
C1orf161	-0.0625
ALDH1L1	-0.5785
FLJ39378	-0.904375
SLC23A1	-2.7785
RBM4B	0.77125
THAP4	0.548333333333333
OGFRL1	-1.16525
KIAA0831	0.521625
PPP1R15A	-0.7075
C1orf96	0.00821428571428574
C12orf11	-1.93975
BMF	0.7435
MAN1A1	1.56575
KIAA1600	0.9925
NLGN4X	1.35525
ALOX12	-1.096
RB1CC1	1.6251
NEIL2	0.5634
EIF4E	0.396545454545455
ABHD5	-0.09875
EXOC4	-0.225166666666667
CIP29	-0.0148333333333333
BATF2	1.8055
SLC29A4	-0.961
HTR4	-0.3945
EMB	-0.281
TRAF6	0.8645
LMNB1	-0.60075
FAM19A5	-2.527125
SHE	1.9575
PIK3C2B	0.41
C15orf15	-0.8129
USP15	-0.0307
TCEAL2	0.08425
C5orf39	-1.66716666666667
PTGER2	-2.56975
SLC31A1	-0.4593125
IFT172	0.5915
ADAM29	0.148
GFOD1	0.72825
ST7L	-0.0438333333333333
C15orf26	-2.4435
PKN3	-1.7015
CNTD1	2.59633333333333
COMMD1	0.352
NTRK2	2.2045
FOXN3	-1.15275
MFGE8	-1.7941
PFKFB2	0.809833333333334
TAS2R4	-0.8505
ENTHD1	-0.612333333333333
PRMT5	-0.5705
MGC16384	-1.494125
LOC442229	-0.1665
TSKU	2.4125
KRTCAP3	3.06625
PDLIM1	-0.2508
KCNS2	-0.01975
RNF126	-0.846666666666667
CEP63	0.07875
CLIC4	-0.6835
hCG_1990170	-1.7295
ACR	0.2655
KLK7	-0.42575
ALOX5AP	2.62125
RIPK3	4.00775
TAS2R9	0.068
C19orf18	0.0075
BIRC6	0.482357142857143
ZNF16	1.7275
RFT1	0.239
SLC8A2	-0.266
TACC1	-1.467
ITGAD	2.22433333333333
SAMHD1	1.2035
SH3PXD2B	-0.1656
EPC2	1.04875
C20orf85	0.2445
ATP13A2	0.371333333333333
KRT4	0.67275
CAPNS1	0.05925
MDM2	-0.224333333333333
PCDH20	3.07525
KCNK9	1.1735
OR2C1	0.3135
KLHDC3	-1.24133333333333
IPPK	0.7965
EFHD2	-0.85425
GALR3	-0.10125
NBEA	0.124833333333333
ABCA6	1.9064
CLDN3	2.25583333333333
AKT2	0.375214285714286
EGFR	-3.1266
RBM16	0.21875
ZDHHC3	0.0893
SLC25A4	0.889833333333333
CYB5B	-0.397333333333333
CPXM1	-2.0065
NDRG1	0.0171538461538461
FLJ43826	0.2265
OR5L2	-0.0408333333333333
FARP2	0.2298
MRPL46	-0.472416666666667
LDHAL6B	0.1956
MAPKAPK3	-0.940833333333333
NCAM2	-4.1785
PRKD2	0.246833333333333
ZFP36L1	0.4796
CYSLTR1	-0.84075
OR4C3	0.076
HIST1H2AJ	1.1685
CCNB2	-1.21333333333333
ZNF10	0.216625
TMEM175	-0.2375
FAM134A	1.41183333333333
TIGD4	1.476
PCNP	-0.18275
MGC39715	0.394666666666667
LQK1	0.779
CREB1	1.1029
TMPRSS3	2.057
C4orf32	2.256625
LAT	-2.23258333333333
KCNA3	0.083
SKIV2L2	-0.4195
ROPN1B	-3.35375
tcag7.23	-0.432
CDT1	-2.66725
ZHX2	2.376625
CD28	-2.9065
ZNF624	0.77175
SEPT2	0.0648333333333333
SOHLH2	-3.12657142857143
MCOLN3	0.84325
UNQ1945	0.1505
MASP2	-1.086
ZNRF3	0.0389
GPATCH3	-0.13
AGL	0.62125
QRICH2	-0.3385
PSD4	0.889333333333333
CCNB1IP1	-2.18225
ENPP7	0.17125
OBFC1	0.35775
KCNG3	-1.6675
C14orf79	0.744166666666667
ENPEP	2.23566666666667
SCT	1.473
SKI	-0.113875
SEC61G	-1.283
CAPN11	0.2245
ATXN7L3	0.004
DBNDD1	-0.365
FAIM	0.17975
ANKRD36	-0.7145
GABRP	1.29416666666667
TACSTD2	1.866
EIF3J	-0.22175
PPP2R2A	-1.19775
TEKT4	-0.452833333333333
PVALB	-3.79366666666667
F10	-3.3315
FAM134C	1.3762
COMP	2.86525
EFCBP1	-4.02066666666667
SCLT1	0.5675
TAL1	-1.3847
ACSL1	0.41775
ABCC5	-0.185416666666667
ABL1	-0.779777777777778
RBBP7	0.5625
PTPRG	-1.29425
NCOR1	-0.1703
SPINK4	-0.801166666666667
TXNRD1	1.5071
TNRC15	0.636875
C9orf138	0.583375
UBE2H	0.577166666666667
BRDT	1.85083333333333
C8orf31	0.0685
CCNE2	1.56036363636364
SLC6A8	-2.3155
CALCR	-3.673
PPP1CB	0.407
ABHD8	-0.9725
ARF5	-0.6747
SLC24A4	0.2
CCT3	0.89
ZNF121	0.477625
SLC3A2	-0.7975
OR13A1	0.466
SLC5A10	1.3875
RAD50	0.751375
IER5	-0.2365
MTHFD1L	-2.917125
MBTPS2	0.3095
MVK	-0.061625
NCL	0.5652
PSMD10	0.62725
MOBP	0.308666666666667
FLJ32894	-1.329
HRH1	-1.804
C5orf30	1.80125
NUDT16L1	1.2419
RASGRP3	3.73316666666667
PRKRIP1	-0.6829
CCDC75	0.255
LOC253970	-0.05225
KIAA1239	0.94725
MED21	-0.316
SYT11	-0.218916666666667
NTSR2	-0.7555
EGFL11	-0.272
CXorf59	0.799
OR2A25	0.189
SPTBN2	0.91625
LRMP	-1.6585
RNF111	0.077
PTH	0.5655
LOC619208	-0.150333333333333
KIAA0895	1.43475
RANBP5	-1.46875
P2RY10	0.677333333333333
NME5	3.2545
DDX21	-0.3005
LRSAM1	0.74
HDAC11	1.115
VMO1	1.33025
NOLA2	0.929333333333333
ADAR	2.18716666666667
MTO1	-1.34266666666667
SF4	-0.228666666666667
P2RX1	0.0128333333333333
HBM	0.337
EN2	-0.7335
C14orf172	0.51975
TM9SF2	0.3586
INHBE	-1.10916666666667
TCTE3	-0.25125
TOX2	-3.497
CTAGE3	0.63925
HBB	3.4138
MED15	-1.27833333333333
CASR	0.11625
C6orf66	-1.11933333333333
MTPN	-1.191375
UNC50	0.8495
C21orf33	-0.2505
IRF2	1.401375
PGR	1.274
GPR84	1.5425
CROCCL1	-1.35925
SRPX	-3.2145
BRE	0.8385
FGF10	0.441333333333333
SDC3	-1.40816666666667
ZRSR1	0.672166666666667
DKFZP434P211	-0.429875
SOX6	null
RPUSD2	-0.2145
C14orf173	-0.154333333333333
MAPK11	0.0763333333333333
TBC1D22A	-0.533
FAM123A	-0.9785
COL4A6	-4.1635
TOMM70A	0.704
NAB1	-0.193125
MGC16385	0.38175
TSPAN18	-0.7345
MED31	-0.36925
PLG	-0.58
CAPSL	3.317
ZNF532	0.6703
ASB14	-1.12725
CA8	2.83975
NUDT16P	2.58866666666667
SLFN11	-2.0185
LRRIQ2	0.534875
NOL7	0.119166666666667
BRMS1L	-0.078625
JARID1A	0.0265
PANK2	-0.666
ICAM3	-1.32375
MDS1	-0.498
TAF8	-0.907
RNF139	2.93475
ZNF594	-0.729666666666667
ADAM8	0.688375
SFTPC	-0.453625
MAN2B2	1.137
RGS12	0.205125
EIF1AY	-4.755
LRRIQ1	-2.29516666666667
GPR150	-0.467
CCDC21	0.298833333333333
PRRG3	0.33125
SAA4	-2.02975
RAPGEF5	1.655375
ZCCHC2	1.25433333333333
MGC39372	-0.4705
PPP4R2	0.784166666666667
CDCA2	-2.05333333333333
OR4D5	0.3755
PTGFRN	0.1515
SIGLEC5	0.600166666666667
C19orf61	-0.554666666666667
NMUR2	-0.1385
KIAA1586	-1.18933333333333
DAGLA	0.900666666666667
CHCHD6	-0.3935
GPR32	0.758
NEUROD6	-0.0246666666666667
SLC2A4RG	0.74375
CA5B	-0.637
FBXL3	1.02825
MPHOSPH9	0.0105
HMG2L1	0.3135
HCN4	-0.552833333333333
CEACAM19	-0.68025
SH2D4B	-0.0238333333333334
HFE2	-0.493
TGM4	0.735
LYPD2	0.17875
TBC1D15	0.2225
MRPS21	0.394
NONO	0.0438
CLEC5A	1.17975
ITCH	0.7204
MGAT3	-1.4205
MBP	-1.604
RPP25	0.9805
SOSTDC1	-2.303
HRC	-0.97525
TRIM48	0.238
TMEM133	-1.063
ECEL1P2	-1.41975
HOXC11	1.7855
DOK5	-1.519
HELZ	0.714833333333333
LOC348180	-1.05275
MGC33894	0.33675
ADRB3	0.056
DMD	-0.35475
PTRH2	0.092
MPEG1	2.9975
NDUFA12	-0.0461666666666667
KRTAP2-4	-0.056
STAMBPL1	-0.522
ADCY2	-0.7812
UNQ6125	0.732
KLHL20	0.55
SRM	-1.27975
OTC	-0.35475
TMIE	-0.00516666666666666
SNX8	-0.074
LIPK	-0.48
CHURC1	0.20675
KLC2	0.574166666666667
HDAC1	0.171
FAM128A	0.7785
FNDC3B	-0.8922
MTCP1	-0.4675
WFDC10B	0.2473
PCDHGB3	-0.8945
ATRNL1	0.0524
CAV2	-0.872375
MED26	-0.506666666666667
DUS1L	0.5705
CHRM3	-1.791875
NEK9	1.21925
WARS2	-0.706
TBX22	0.434
TOMM40	-0.5575
RP6-213H19.1	-1.108
TUBGCP5	-0.42
IGSF6	4.852
TPPP	-0.0952
UNQ6190	0.2685
GSTM5	-1.343375
BTD	0.185833333333333
PDCD1LG2	0.218666666666667
SNRPB2	-0.534666666666667
ERICH1	-0.578
APOA4	-1.450375
HOXA11	-2.07466666666667
NARG1	0.598375
MKX	1.34775
RAB28	0.777928571428571
PKP3	1.33375
SH3GL2	-3.2685
CTSO	3.31725
RPN2	0.80275
IL28RA	0.761333333333333
SFMBT1	0.55725
WDR57	-0.300875
FER1L3	0.156666666666667
HSF5	0.473166666666667
TTC9B	1.871
C4BPA	-3.52766666666667
ALB	-4.25971428571429
SORBS3	0.212125
UPF2	1.3385
JPH1	0.9315
AGBL2	-0.47775
DOPEY1	1.237
TERF1	1.31741666666667
KIF22	0.1595
NINJ1	1.22775
SEC61A2	0.249916666666667
HIST1H1D	0.149166666666667
SFXN4	0.3315
UCP3	-0.5542
ZNF703	0.483833333333333
MYL6B	-0.923
TREM1	2.0485
OR52E6	0.7
CKMT2	0.948
HLA-C	3.034
SLC13A3	-0.669666666666667
TIMP4	-1.76975
SLIT2	0.6875
RSF1	-0.494611111111111
LONRF1	-1.06321428571429
MON1A	0.245666666666667
CACNG6	-1.95783333333333
DPPA4	-5.948
ZSWIM3	0.87475
ZNF804A	-0.222166666666667
CCIN	1.25825
SLC25A31	-0.05275
KCNMB4	-2.70725
RABL5	0.202875
GALNS	-1.0547
STX6	0.97225
HIST1H1C	2.3345
CIDEB	1.225
CASP4	-0.386166666666667
PDK3	-0.5194
KCNJ11	1.8625
TPR	-0.111875
ZSCAN20	0.21
MTX2	-0.11925
HIST1H2BH	1.33025
LOC283767	-0.4245
LYRM7	-0.484722222222222
BRD3	0.0763333333333333
HIST1H2BO	1.46875
MAGEB10	-0.1925
SLC45A1	0.588
SERPINA3	1.78525
KIAA0143	2.92475
KCNJ16	0.133
KRT79	0.149
FABP2	-0.982
NUT	-0.65875
ZNF57	-0.15975
FBXL4	1.263125
CLEC9A	1.159
UGT8	1.0955
BMP2K	0.2485
MAPK4	-3.4515
SLC25A23	-0.1545
HINT1	1.0471
KRTAP13-1	0.316
SFXN5	0.3151
CHCHD2	0.307333333333333
FAM3D	0.537
NDP	-3.418375
RHOBTB1	-0.646166666666667
SLC4A4	0.14375
RPL38	0.4745
HTF9C	-0.655333333333333
AP2A2	0.075125
ZBTB46	-0.3105
MAP7D1	-0.400125
AOX1	-2.01583333333333
CYR61	0.23025
DTNA	-0.934571428571428
JRKL	-0.977
TMOD3	-0.46
EEA1	0.4047
ADCK5	1.081
IL1R1	-0.559833333333333
KLK3	0.0732142857142857
HRSP12	1.371
KTN1	1.134
LOH11CR2A	0.2071
RELL2	1.15625
MAB21L1	0.1995
C20orf59	-0.400166666666667
PHKB	-0.36575
ADAM2	-3.0156
TBC1D8B	0.2505
FAM13A1	-1.1595
LAPTM4B	1.75141666666667
LCN8	0.1865
TMEM147	0.7555
SYT4	6.71283333333333
XPO7	-1.1095
C9orf62	-0.23975
GPR75	0.259
TRIM5	-0.402625
APOC1	-0.157333333333333
RNASE4	-0.902166666666667
PARD6B	0.271625
ARID1A	0.295583333333333
TPD52L3	0.823625
RRAGB	0.152166666666667
RCN2	-0.354666666666667
HIST2H2BE	1.4530625
STARD7	-0.552
SHMT2	-1.1465
KIAA1751	-0.00466666666666669
MLYCD	-0.4325
LOC162632	-0.229
UQCRH	-1.03125
RP11-217H1.1	0.7884375
SDHA	-0.831166666666667
NCLN	-0.5421
ZNF17	0.219333333333333
RCBTB2	-2.3015
VEGFB	0.1363
RP4-747L4.3	1.555
COLQ	-0.388555555555556
MPN2	-0.9302
DRG2	-0.33575
KLRB1	4.14175
ALPK2	-4.90475
DNASE2B	-0.1485
FLJ23834	-0.087
AXUD1	0.415833333333333
SAFB	-0.5424
NSUN4	-0.22475
RFX2	1.109
MAPK8IP1	0.0846666666666667
FANCD2	-1.49214285714286
ANKZF1	-1.49016666666667
C19orf50	-0.855875
DUSP8	0.565625
SENP5	0.298375
NFKBIL2	0.189
LBR	-1.160125
IGFL1	-0.049
LZTS2	-0.056375
IL2RG	-1.046
CCDC51	0.38825
KLF3	0.437
ANKRD37	-1.847
KCTD14	-0.820333333333333
FZR1	-0.201
SLC44A4	2.6088
ESPL1	-0.299625
GMPR2	0.0407
TBC1D19	-0.3895
ERGIC1	0.876777777777778
ERBB4	4.0044
TSPAN32	-0.0518333333333333
MAP4	-1.0995
GPHN	0.809
SLC6A2	0.01225
HIVEP1	-0.32225
DFFB	-0.2233
EIF4EBP2	0.729
DMRT1	-1.54
HSPB6	-0.0885
IER2	-0.244
AIFM1	0.08575
WWC2	-0.797583333333333
MRPL4	-0.97625
FLJ21062	-0.8035
EPB41L4A	1.22333333333333
SH2D6	0.44775
TAF4B	-0.328
GAL3ST3	0.259
MALT1	-1.27316666666667
RTDR1	-0.06825
ARVCF	-0.784
MEX3B	-0.8095
FBXO16	0.85975
KIF7	-1.99325
C1QC	3.91783333333333
ZNF783	-0.676333333333333
ZNF85	-0.148
MMP13	-2.3085
KIAA0329	0.572714285714286
RTP3	-0.2865
ZBED3	-1.23075
CLGN	1.33425
SLC25A37	-2.12316666666667
hCG_18290	-0.818
OR5AS1	0.511
SMARCC2	-0.0316666666666667
FAM109A	-0.398166666666667
CCDC12	-0.17925
USF2	0.9124
DEPDC7	-4.157
C20orf24	0.532166666666667
JMJD3	0.327
DSP	1.93442857142857
SLIC1	-0.197
FAM20A	-0.648875
IRF2BP2	0.833375
ZNF230	0.6065
MSN	-1.75207142857143
SLC9A5	-2.053
EPDR1	-2.3603
MUSK	0.261833333333333
ZNF434	-1.5305
