Hybridization REF	TCGA-BH-A0DD-01A-31R-A12P-07
TNNT3	0.172166666666667
GYPC	-2.4545
C7orf33	1.6435
PLIN	1.48166666666667
LOC90826	0.32525
RNF4	0.0259
F8A1	-0.0986666666666667
PLEKHG4	-1.15575
GRB2	-1.07065
HIST1H2AD	-0.923
DUS3L	-1.43683333333333
EIF1	1.13316666666667
RP5-1077B9.4	-1.90716666666667
FPGT	2.0945
GDF10	-0.296833333333333
COQ9	0.25925
GCC2	0.239857142857143
RARRES3	3.328
PLXNA1	-0.8496
KIAA0100	-0.3443
PMF1	-0.70625
FNDC1	5.52525
HS2ST1	-1.75716666666667
CRELD2	0.17725
C8G	-2.477
CD82	0.22725
LIM2	-1.4975
UNQ6490	-0.2155
MMP16	0.33675
DRD3	0.061
C5orf26	-0.3415
C11orf73	-0.527875
PTP4A2	0.605125
OR4M2	0.993
HPCA	-2.18
SEC14L1	-0.594333333333333
CHFR	-0.379125
EMILIN1	-0.169875
NDUFS4	0.519
COL18A1	-1.670625
PDZD3	-0.2791
C9orf16	-0.638833333333333
ERBB2IP	0.339166666666667
EMX2	1.22675
FUS	-0.98475
TF	-4.5206
CLCN4	-1.2045
CXorf56	0.3985
C11orf72	0.45575
ELAC2	-1.8915
NPR1	-2.13875
ASS1	-4.08616666666667
USP42	0.781625
POLR2J	-0.384
SEC23IP	0.8925
UQCRC1	-0.6745
LOC729603	-0.8965
C1orf71	1.030875
POLG	-1.0635
ADAM23	-3.7895
TFR2	-1.1245
RICTOR	-0.3372
MGC39606	-0.8235
C19orf55	-0.211375
SNAPC1	-0.844666666666667
GNA11	-0.099125
CCDC52	1.15166666666667
FSIP1	6.7035
UPF3A	-0.956875
IGSF11	-2.7375
LAGE3	0.16725
CHST6	-3.1085
UNC13B	0.420125
TTLL4	-1.884875
ZNF687	-0.943375
SDC2	1.0901
COX7A2	0.4205
LAMB4	0.31475
FAM24A	0.6395
LRRTM3	-1.305
GPHB5	0.86825
OR4C13	0.142
EIF3EIP	0.342571428571429
HABP4	-1.228
TMEM125	3.4895
CNTN2	-0.11575
ASNSD1	0.54975
FUT4	-1.149
ACF	-3.69225
LOC158381	1.166
CDH8	0.148
AGPS	-0.192666666666667
C4orf18	2.060125
PECI	-0.179333333333333
UNG	0.144375
GSTP1	-3.237375
DCUN1D5	-1.4765
DKFZP564J0863	-1.54125
SLC9A3R1	0.669625
BCDO2	-1.052375
CHMP7	-0.3
REM2	0.0825
DNHD1	0.150625
FKBP4	-0.067875
ZNF350	1.91325
MGC11102	-0.6755
BST1	1.348
KISS1R	-0.2245
NCR2	0.4015
DEFB125	1.869
UBE2W	1.77725
KRT15	-0.40525
C10orf99	0.3245
SCN11A	-0.313
GFI1	-2.11675
RDHE2	4.0035
FHL1	-1.67716666666667
OSGEP	0.312833333333333
GATA1	-3.49116666666667
SMC6	-0.26275
TTTY14	0.146
LPIN3	-0.4405
RPL4	-0.2091
RBPMS	0.00940000000000001
PRPF3	0.300833333333333
EMR1	-1.7795
SPATA19	-0.24175
XCR1	0.939
IRX3	1.1418
RBM6	-0.412
KLF4	-1.0035
UNC5CL	1.11425
SEBOX	-0.3235
BTK	-1.2335
KRCC1	1.23775
C6orf27	0.055
SYTL5	0.9695
PRND	3.14825
LOC653319	-1.561
PIGL	-1.288625
HUS1	-0.376833333333333
SFRS6	-1.0685
C17orf77	0.9005
UIMC1	-0.0605
FXYD2	-2.0159
LOC283152	0.475
ZNF667	-1.5615
ZCCHC12	-0.28325
TFEC	3.9715
ATP7B	-0.415
POLD2	-1.1795
RG9MTD1	0.1445
ACOT2	0.328166666666667
HIST1H4I	-0.78625
PPARGC1A	-3.2547
ETFA	-0.7301
POLRMT	-0.74125
ZNF146	1.0375
MIA2	-1.571
KLHL6	-0.597833333333333
HOXB5	-0.100375
NENF	0.878
CUGBP1	0.16725
PRSS22	0.6905
CASC4	1.2355
CUL4B	0.3525
CENPJ	-0.7632
PITX1	0.333666666666667
FLJ31033	2.20266666666667
CELSR3	0.0535
ZNF568	1.387
ITSN1	-0.327166666666667
EHBP1L1	-2.09433333333333
C19orf2	-0.28125
DCTN1	-1.11575
LIN28B	-4.83633333333333
TNKS2	1.8175
C1QBP	-0.846125
CADPS2	2.57425
SRMS	0.236
GJA9	0.4095
MGC24975	-1.1485
TRIM45	-0.298333333333333
TSP50	1.214
TCP1	-0.2775
TMED7	0.8668
CMA1	0.2855
CENPL	-0.282
PTCRA	-0.4275
FST	-4.398
VWCE	-4.34825
PAWR	0.202
ABCC12	-0.3845
LDLR	-1.9347
ASTN2	0.1872
LOC441212	-0.29575
GPATCH8	-0.26225
TANC2	-0.0336666666666667
KIF4A	-0.74525
C18orf18	0.4685
PGM1	-2.059
KIAA0258	0.11675
CPD	1.873125
SNCAIP	-0.5735
DCT	-4.49116666666667
HLA-DOA	2.68677272727273
OR11L1	0.9645
UPK1B	-0.684666666666667
DNAJB4	0.18875
UGT1A8	0.2755
HIST1H4L	-0.1545
PECR	-1.07766666666667
HSPA2	2.816
WFIKKN1	-1.496
SERP1	0.3505
SYDE2	0.26075
TACR2	0.815
NUP85	-1.02125
CD177	-0.451
LGR5	-3.0785
PIGG	-0.02175
PTHR1	-2.40966666666667
RAB5A	0.2294
FLJ13224	-0.431
USP9Y	1.99416666666667
C7orf53	0.035
LRP1B	2.105
XAF1	2.9884
ABCG8	0.1665
ANKDD1A	0.571166666666667
DAND5	-0.0165
SPAG6	0.0528
LINCR	1.46425
ZDHHC22	-1.245875
CCDC60	0.193
THOC7	-0.361333333333333
TCTA	0.4207
OR8K3	0.3275
NY-REN-7	-0.96375
B2M	2.12566666666667
C6orf141	-1.0575
LPPR4	2.25625
SQLE	0.534125
SEPHS1	-0.242
BTBD14B	0.347285714285714
PLRG1	-0.616
SPG7	-1.2400625
ZNF614	-0.0396666666666667
PARD6G	0.328166666666667
INPP5B	-0.8972
GRPEL2	0.28975
PPID	0.462
TRIM56	-0.27825
UBE2J1	-0.382625
IL20RA	6.15725
LOC387856	0.205
C1orf107	1.025
UTS2R	-0.9335
C19orf22	-1.45975
SAFB2	-0.302125
KIAA0652	-1.06125
KLRG1	-0.678833333333333
MS4A8B	3.78516666666667
FRAG1	0.5995
KIAA1546	1.3615
E2F4	-1.6617
CLEC4M	0.407833333333333
BTBD14A	-1.89825
KIAA0999	-0.1197
GYPA	-4.12166666666667
TAC1	-0.3281
TRAIP	-0.2635
KIAA0232	1.1585
ERCC8	-0.41425
GPX4	0.653
KIAA0368	0.592625
GPR157	-1.3935
CTAGE4	1.687
C9orf30	-1.05616666666667
OR52A1	0.2045
HSP90B3P	0.108
ALG9	-0.5514
BTBD10	1.0085
SDK2	1.09125
BAIAP3	-0.7665
RABGGTB	0.150875
ANKRD40	0.4865
KRT74	0.409
CALCOCO2	0.873214285714286
SNCA	-3.69625
TMSL8	-4.36275
C2orf53	0.3385
ESRRB	-0.41625
ARHGAP26	-1.12075
TDRD9	-2.998
HRAS	-1.111
KLRC4	-1.514
JAGN1	-0.877666666666667
BSDC1	-0.13575
RNF43	0.1816
NDUFAF1	1.17275
PHF12	0.43125
OR1L3	-0.1325
FOLR2	2.2065
LYZL6	0.546
tcag7.1260	-2.517
WSB1	-1.32983333333333
PROS1	-1.4656
OSTN	0.383
PSMB8	1.17525
SOCS4	-0.008
DDIT4L	2.28575
MAS1	0.367
MGC34796	0.96625
CSHL1	0.253833333333333
TBCCD1	-0.777333333333333
ZBTB7C	0.07
AP2S1	-0.703
P15RS	1.7663
VAT1	-1.2105
SHANK3	-0.466166666666667
TUFM	-1.967
THEG	-0.38725
KRT34	-1.8185
SGSM3	-1.632625
TOMM22	-0.405875
SOCS3	-0.318666666666667
CPO	2.405
POP4	0.838
BHLHB3	0.33075
MALL	0.508
OR1B1	0.1945
PARK2	-0.0375
GPR124	-0.1845
LCE1E	0.2075
RUVBL2	-0.91525
CGRRF1	1.1112
ACPL2	0.86625
WNT10B	-2.898625
BAIAP2L2	-2.709375
ISCA1	0.9625
C1orf125	0.175125
RPAP1	-0.81025
RAI16	-1.52666666666667
RPL27	-0.00212499999999998
NLRP9	0.2365
EPN1	-0.4425
LOC388610	-3.191625
SLC35A1	1.0839
GAL	-3.1815
SLC14A2	0.4565
RDH11	-0.284833333333333
FAM138F	0.06
AUH	0.842
FLJ40243	0.26675
C14orf129	0.942
MBD2	0.6725
ABHD14B	-0.61075
PIGT	-0.089125
ALS2CR4	0.0945
ALAS1	-0.2058
FOXO1	0.431666666666667
CRLF3	0.825875
C20orf107	0.181
FARS2	0.537
CCDC28A	0.815
NPHP3	-0.909
OR13F1	0.4955
TSEN54	-1.44725
DEFB106B	0.3305
OR8B4	0.2145
STH	1.30825
ZC3H14	-0.36275
CBX2	-0.312
TMEM49	-0.16375
C6orf21	0.4175
FLJ20920	0.75275
CRTAP	-0.175
DDX50	0.00825
STYXL1	0.4945
BLVRB	0.349666666666667
LOC147650	0.317
MMP24	0.264
GRID1	1.16166666666667
BANF1	-0.938333333333333
CTAGEP	0.46775
HMBS	-2.42225
SLC25A24	0.610833333333333
C14orf50	1.54925
MRO	1.34083333333333
SLC25A15	-0.60375
FAM84B	1.7933
TDP1	-0.083
C16orf78	-0.296
C11orf57	-0.18225
RFK	0.449375
ZFYVE9	0.102625
STCH	0.9834
WIBG	-0.424
LOC283871	-0.355666666666667
GBA2	-0.5986
NDUFB3	1.0025
HSD17B13	-0.60425
GRIN3A	1.68266666666667
FMNL1	-2.60183333333333
SEPT7	0.0153
GNLY	4.827
GRAMD1C	1.76366666666667
ZNF165	1.34225
USP38	1.427
FAM83A	-3.72883333333333
C14orf24	0.723083333333333
ARMCX3	1.4805
ARHGDIB	0.0368333333333333
AK1	-0.035375
KIAA1045	-0.33375
DNAJB13	0.1825
NEU2	0.3055
HIST1H4B	1.188
FAM20B	-0.2838
HES2	-0.696357142857143
FAM73B	-1.1956
LOC388381	1.44025
INTS7	0.776
AMPH	0.91075
ZNF775	-0.527875
UCKL1	-0.679166666666667
C10orf97	0.192
C1orf161	0.361
ALDH1L1	-1.47425
FLJ39378	-0.07075
SLC23A1	-1.8025
RBM4B	1.26125
THAP4	-0.211666666666667
OGFRL1	-0.177
KIAA0831	0.778
PPP1R15A	-1.11216666666667
C1orf96	0.517714285714286
C12orf11	-1.22625
BMF	0.451
MAN1A1	0.807
KIAA1600	0.585
NLGN4X	1.6885
ALOX12	-1.17916666666667
RB1CC1	0.9767
NEIL2	0.7798
EIF4E	0.665045454545454
ABHD5	0.08525
EXOC4	0.1065
CIP29	-0.288666666666667
BATF2	2.168
SLC29A4	-1.036625
HTR4	0.28475
EMB	1.18275
TRAF6	0.7825
LMNB1	-0.878
FAM19A5	-0.427625
SHE	1.3995
PIK3C2B	0.90525
C15orf15	-0.2236
USP15	-0.5382
TCEAL2	0.0235
C5orf39	-0.141166666666667
PTGER2	0.03025
SLC31A1	-0.2415625
IFT172	-0.06025
ADAM29	0.59475
GFOD1	-0.56325
ST7L	0.174333333333333
C15orf26	-2.44875
PKN3	-2.441
CNTD1	3.1435
COMMD1	0.168125
NTRK2	1.72033333333333
FOXN3	-0.1825
MFGE8	-1.9892
PFKFB2	1.72216666666667
TAS2R4	-0.88275
ENTHD1	1.77766666666667
PRMT5	-1.47775
MGC16384	-0.833
LOC442229	-0.019
TSKU	0.541125
KRTCAP3	1.491125
PDLIM1	0.7949
KCNS2	0.03775
RNF126	-1.06233333333333
CEP63	0.328625
CLIC4	-0.57675
hCG_1990170	-1.994
ACR	0.4463
KLK7	-0.1965
ALOX5AP	2.542
RIPK3	3.60025
TAS2R9	0.5155
C19orf18	3.191
BIRC6	0.569928571428571
ZNF16	1.4565
RFT1	-1.13775
SLC8A2	-0.2205
TACC1	-1.16575
ITGAD	1.3445
SAMHD1	2.25875
SH3PXD2B	0.3671
EPC2	1.54
C20orf85	0.853125
ATP13A2	-0.7335
KRT4	0.180375
CAPNS1	-0.71225
MDM2	-0.69325
PCDH20	3.00525
KCNK9	1.093
OR2C1	0.086
KLHDC3	-1.86583333333333
IPPK	0.0135
EFHD2	-1.70625
GALR3	-1.06625
NBEA	0.24
ABCA6	3.5451
CLDN3	1.03416666666667
AKT2	-1.16557142857143
EGFR	-3.3907
RBM16	0.646375
ZDHHC3	-0.13
SLC25A4	-0.310833333333333
CYB5B	-1.1375
CPXM1	-1.80525
NDRG1	-1.38969230769231
FLJ43826	0.5795
OR5L2	0.230666666666667
FARP2	-0.2234
MRPL46	-0.310833333333333
LDHAL6B	0.0673333333333333
MAPKAPK3	-0.831333333333333
NCAM2	2.44075
PRKD2	-0.866833333333333
ZFP36L1	1.2456
CYSLTR1	1.73325
OR4C3	0.809
HIST1H2AJ	2.4465
CCNB2	-0.480666666666667
ZNF10	-0.85825
TMEM175	0.1525
FAM134A	0.474833333333333
TIGD4	0.678
PCNP	-0.44225
MGC39715	0.075
LQK1	-2.3935
CREB1	0.7251
TMPRSS3	1.735
C4orf32	2.02525
LAT	-1.86283333333333
KCNA3	-0.272
SKIV2L2	-0.77425
ROPN1B	-2.54175
tcag7.23	-0.2225
CDT1	-2.277375
ZHX2	2.07275
CD28	-3.12175
ZNF624	0.78725
SEPT2	0.427333333333333
SOHLH2	-2.26625
MCOLN3	0.9145
UNQ1945	0.1625
MASP2	-0.885
ZNRF3	-0.1249
GPATCH3	-1.50425
AGL	2.518375
QRICH2	0.087
PSD4	-0.523333333333333
CCNB1IP1	-1.51725
ENPP7	0.19075
OBFC1	0.4075
KCNG3	-0.4025
C14orf79	-0.312666666666667
ENPEP	2.011
SCT	1.339
SKI	-0.66
SEC61G	-0.04075
CAPN11	-1.48225
ATXN7L3	-1.057
DBNDD1	-1.10566666666667
FAIM	1.24725
ANKRD36	-0.4925
GABRP	0.180666666666667
TACSTD2	2.4095
EIF3J	-0.115
PPP2R2A	-0.10375
TEKT4	-0.0925
PVALB	-4.05433333333333
F10	-3.47066666666667
FAM134C	-0.00270000000000001
COMP	4.92125
EFCBP1	-3.7075
SCLT1	1.00325
TAL1	-1.8112
ACSL1	1.0585
ABCC5	-0.541833333333333
ABL1	-1.01538888888889
RBBP7	0.865833333333333
PTPRG	-0.523
NCOR1	-0.5866
SPINK4	0.612
TXNRD1	-1.3103
TNRC15	-0.149625
C9orf138	0.235625
UBE2H	1.39516666666667
BRDT	1.20733333333333
C8orf31	0.2145
CCNE2	0.133272727272727
SLC6A8	-1.396125
CALCR	-3.944
PPP1CB	-0.57325
ABHD8	-1.60125
ARF5	-0.2698
SLC24A4	1.09525
CCT3	-0.649
ZNF121	0.758375
SLC3A2	-0.98
OR13A1	0.4225
SLC5A10	1.50325
RAD50	0.11475
IER5	-1.76975
MTHFD1L	-2.549125
MBTPS2	0.6035
MVK	-1.314625
NCL	0.3819
PSMD10	0.48525
MOBP	0.0695
FLJ32894	0.364
HRH1	-0.989833333333333
C5orf30	1.86675
NUDT16L1	-0.8758
RASGRP3	3.65283333333333
PRKRIP1	-0.7843
CCDC75	0.3885
LOC253970	0.34825
KIAA1239	-0.383666666666667
MED21	-0.035
SYT11	-0.0610833333333333
NTSR2	-0.942
EGFL11	0.541
CXorf59	0.202
OR2A25	0.64875
SPTBN2	-0.70225
LRMP	-1.37933333333333
RNF111	0.49075
PTH	-0.523
LOC619208	0.8675
KIAA0895	2.21875
RANBP5	-1.34525
P2RY10	0.901833333333333
NME5	5.585
DDX21	-0.3325
LRSAM1	-0.8745
HDAC11	-0.075
VMO1	0.9065
NOLA2	-0.247833333333333
ADAR	0.976916666666667
MTO1	-0.444833333333333
SF4	-0.633666666666667
P2RX1	0.451666666666667
HBM	-0.2625
EN2	-0.563
C14orf172	-0.59375
TM9SF2	-0.5194
INHBE	-1.063
TCTE3	0.365666666666667
TOX2	-3.58725
CTAGE3	0.588125
HBB	3.1562
MED15	-1.76133333333333
CASR	1.0595
C6orf66	0.013
MTPN	-0.18125
UNC50	0.23275
C21orf33	-0.21675
IRF2	0.751375
PGR	3.7995
GPR84	2.83325
CROCCL1	-2.38425
SRPX	-1.85425
BRE	-0.000499999999999996
FGF10	1.0525
SDC3	-2.1565
ZRSR1	0.1465
DKFZP434P211	-0.241
SOX6	-1.561
RPUSD2	-0.23775
C14orf173	-0.923
MAPK11	-1.13383333333333
TBC1D22A	-0.4695
FAM123A	-0.586
COL4A6	0.5665
TOMM70A	0.85025
NAB1	0.854125
MGC16385	0.63475
TSPAN18	-1.3195
MED31	-0.54
PLG	-0.58875
CAPSL	4.4355
ZNF532	1.138
ASB14	-0.142
CA8	2.60375
NUDT16P	2.23233333333333
SLFN11	-1.258
LRRIQ2	0.6475
NOL7	-0.3905
BRMS1L	-0.091875
JARID1A	-0.0075
PANK2	-0.02125
ICAM3	-0.38325
MDS1	-0.81225
TAF8	-0.417
RNF139	1.593
ZNF594	0.602833333333333
ADAM8	0.821
SFTPC	-0.076125
MAN2B2	1.04875
RGS12	0.00837499999999999
EIF1AY	2.04458333333333
LRRIQ1	2.50216666666667
GPR150	-2.0755
CCDC21	-1.22416666666667
PRRG3	0.32525
SAA4	-4.39075
RAPGEF5	1.0825
ZCCHC2	1.9
MGC39372	0.00749999999999998
PPP4R2	0.854
CDCA2	-0.969
OR4D5	0.43
PTGFRN	0.6167
SIGLEC5	2.26783333333333
C19orf61	-1.18766666666667
NMUR2	0.009
KIAA1586	-0.582
DAGLA	0.525
CHCHD6	-0.651
GPR32	0.846
NEUROD6	0.227333333333333
SLC2A4RG	-0.939375
CA5B	-0.9595
FBXL3	0.50825
MPHOSPH9	0.652
HMG2L1	1.13425
HCN4	-1.90833333333333
CEACAM19	0.58725
SH2D4B	0.511
HFE2	-0.815
TGM4	-0.0658
LYPD2	0.10875
TBC1D15	0.372
MRPS21	-0.8363
NONO	0.4351
CLEC5A	2.576625
ITCH	-0.1707
MGAT3	-1.95566666666667
MBP	-1.159
RPP25	-3.36975
SOSTDC1	-3.25075
HRC	-2.11375
TRIM48	0.447
TMEM133	-0.63675
ECEL1P2	-1.98325
HOXC11	-0.058
DOK5	-0.85425
HELZ	-0.536
LOC348180	-1.73375
MGC33894	0.7355
ADRB3	0.006
DMD	-1.04741666666667
PTRH2	0.0275
MPEG1	3.32883333333333
NDUFA12	0.914
KRTAP2-4	-0.425
STAMBPL1	-0.4755
ADCY2	-0.933333333333333
UNQ6125	0.9265
KLHL20	-0.0125
SRM	-1.96175
OTC	0.022
TMIE	0.179333333333333
SNX8	-0.11425
LIPK	-0.548
CHURC1	-0.243416666666667
KLC2	0.162833333333333
HDAC1	-0.5575
FAM128A	0.628666666666667
FNDC3B	-0.348
MTCP1	-0.23
WFDC10B	0.7396
PCDHGB3	0.3735
ATRNL1	3.4855
CAV2	-1.311
MED26	0.00333333333333335
DUS1L	-0.63275
CHRM3	-1.646375
NEK9	-0.092
WARS2	0.6925
TBX22	1.9995
TOMM40	-1.5545
RP6-213H19.1	0.370166666666667
TUBGCP5	0.23375
IGSF6	5.034
TPPP	0.3255
UNQ6190	-0.058
GSTM5	1.573875
BTD	0.0745
PDCD1LG2	0.704
SNRPB2	0.269
ERICH1	0.04925
APOA4	-1.258625
HOXA11	-3.136
NARG1	0.791625
MKX	3.09825
RAB28	0.452571428571429
PKP3	0.77475
SH3GL2	-0.24975
CTSO	3.83775
RPN2	0.4780625
IL28RA	-0.4075
SFMBT1	0.33175
WDR57	-2.3835
FER1L3	0.604583333333333
HSF5	0.874666666666667
TTC9B	0.34425
C4BPA	-3.9865
ALB	-4.5715
SORBS3	-0.870625
UPF2	1.105
JPH1	1.044
AGBL2	0.935
DOPEY1	0.9565
TERF1	1.102
KIF22	-0.7995
NINJ1	0.572
SEC61A2	0.01175
HIST1H1D	-0.481666666666667
SFXN4	-0.153125
UCP3	0.9137
ZNF703	1.1285
MYL6B	-0.58625
TREM1	2.931
OR52E6	0.4145
CKMT2	-0.165
HLA-C	2.541875
SLC13A3	-2.33616666666667
TIMP4	-1.007
SLIT2	1.31575
RSF1	1.12688888888889
LONRF1	-0.349642857142857
MON1A	-0.723166666666667
CACNG6	-2.83733333333333
DPPA4	-6.16483333333333
ZSWIM3	-0.0305
ZNF804A	0.212
CCIN	1.095
SLC25A31	0.11975
KCNMB4	0.19875
RABL5	1.50025
GALNS	-0.3298
STX6	-0.034875
HIST1H1C	-3.4705
CIDEB	-0.731
CASP4	-0.485333333333333
PDK3	0.7535
KCNJ11	0.905
TPR	-0.33
ZSCAN20	-0.292
MTX2	0.897
HIST1H2BH	-0.6025
LOC283767	0.97
LYRM7	-0.829722222222222
BRD3	-0.551333333333333
HIST1H2BO	-1.6505
MAGEB10	0.275
SLC45A1	0.1175
SERPINA3	2.2039
KIAA0143	2.30025
KCNJ16	-0.401
KRT79	-0.305
FABP2	-1.17
NUT	-0.5745
ZNF57	0.40625
FBXL4	0.6715
CLEC9A	1.5875
UGT8	1.55233333333333
BMP2K	0.4975
MAPK4	-3.93825
SLC25A23	-0.4273
HINT1	0.2387
KRTAP13-1	0.3275
SFXN5	0.161
CHCHD2	-0.0778333333333333
FAM3D	0.837
NDP	-1.710875
RHOBTB1	0.511333333333333
SLC4A4	-2.003375
RPL38	0.49525
HTF9C	-1.48316666666667
AP2A2	0.04725
ZBTB46	-0.459
MAP7D1	-0.805625
AOX1	0.155
CYR61	0.01275
DTNA	-0.9295
JRKL	-0.63725
TMOD3	-0.5375
EEA1	0.3911
ADCK5	-0.609
IL1R1	0.128833333333333
KLK3	0.0400714285714286
HRSP12	0.985
KTN1	1.4055
LOH11CR2A	-0.9654
RELL2	-1.02275
MAB21L1	2.5215
C20orf59	-0.603333333333333
PHKB	0.3955
ADAM2	-2.66033333333333
TBC1D8B	1.3795
FAM13A1	-1.1755
LAPTM4B	-1.00583333333333
LCN8	0.104
TMEM147	0.627
SYT4	-0.0293333333333333
XPO7	-0.5975
C9orf62	-2.933
GPR75	0.4565
TRIM5	0.3945
APOC1	-0.2805
RNASE4	0.178166666666667
PARD6B	-0.01725
ARID1A	-0.123583333333333
TPD52L3	0.0704444444444444
RRAGB	1.48966666666667
RCN2	-0.658
HIST2H2BE	-0.508625
STARD7	-0.80075
SHMT2	-1.712
KIAA1751	0.382333333333333
MLYCD	-0.00812499999999998
LOC162632	0.6545
UQCRH	-0.89
RP11-217H1.1	1.015625
SDHA	-2.2005
NCLN	-1.1543
ZNF17	1.178
RCBTB2	-1.66725
VEGFB	-1.1875
RP4-747L4.3	0.006
COLQ	0.3124
MPN2	-1.30416666666667
DRG2	-1.827
KLRB1	4.248
ALPK2	-3.17775
DNASE2B	1.4245
FLJ23834	0.260166666666667
AXUD1	-0.785
SAFB	-0.9415
NSUN4	-1.1825
RFX2	0.631166666666667
MAPK8IP1	-0.662333333333333
FANCD2	-0.532428571428571
ANKZF1	-2.28283333333333
C19orf50	-1.007125
DUSP8	-0.2115
SENP5	-0.3425
NFKBIL2	-0.70825
LBR	-1.090375
IGFL1	-0.5125
LZTS2	-0.70675
IL2RG	-0.5605
CCDC51	0.16075
KLF3	0.09975
ANKRD37	-1.581
KCTD14	1.1595
FZR1	-0.631333333333333
SLC44A4	1.1133
ESPL1	-0.627875
GMPR2	-0.4891
TBC1D19	0.0168333333333333
ERGIC1	0.128962962962963
ERBB4	3.2837
TSPAN32	0.244083333333333
MAP4	-1.29775
GPHN	-0.299
SLC6A2	-0.111875
HIVEP1	1.34625
DFFB	-0.231
EIF4EBP2	0.161125
DMRT1	-0.75975
HSPB6	0.11875
IER2	-0.013
AIFM1	0.00675
WWC2	0.097
MRPL4	-1.294
FLJ21062	1.04916666666667
EPB41L4A	1.34366666666667
SH2D6	0.21
TAF4B	-0.4005
GAL3ST3	0.189
MALT1	-0.6865
RTDR1	1.20825
ARVCF	-0.691375
MEX3B	-0.233666666666667
FBXO16	1.445
KIF7	-2.3495
C1QC	4.52583333333333
ZNF783	-0.5875
ZNF85	0.84
MMP13	4.664
KIAA0329	0.44825
RTP3	-1.423
ZBED3	-0.7055
CLGN	0.2505
SLC25A37	-1.792875
hCG_18290	0.07125
OR5AS1	0.3075
SMARCC2	-0.244
FAM109A	-0.5925
CCDC12	-0.69175
USF2	0.1884
DEPDC7	-2.09225
C20orf24	-0.0398333333333333
JMJD3	-0.615
DSP	1.40685714285714
SLIC1	-0.025875
FAM20A	0.8085
IRF2BP2	0.37725
ZNF230	1.353
MSN	-0.967571428571429
SLC9A5	-1.976
EPDR1	-0.4731
MUSK	0.2645
ZNF434	-0.406166666666667
SMARCD1	-0.465333333333333
ZFP106	0.3755
ZNF347	-0.5157
GTF2E1	0.73725
