Hybridization REF	TCGA-AR-A1AL-01A-21R-A12P-07
PLIN	4.04633333333333
LOC90826	-0.0435
RNF4	-0.4331
F8A1	-0.08
PLEKHG4	-0.36025
GRB2	-0.55395
HIST1H2AD	0.4915
DUS3L	0.458833333333333
EIF1	-0.4735
RP5-1077B9.4	-0.985333333333334
FPGT	0.8775
GDF10	1.56783333333333
COQ9	-0.48175
GCC2	0.3575
RARRES3	2.503125
PLXNA1	0.4542
KIAA0100	-0.613
PMF1	0.7365
FNDC1	5.05875
HS2ST1	-0.02225
CRELD2	0.2915
C8G	-1.22
CD82	1.13375
LIM2	-1.3235
UNQ6490	-0.2065
MMP16	0.98275
DRD3	0.167
C5orf26	-1.01725
C11orf73	-0.259
PTP4A2	1.131375
OR4M2	1.5365
HPCA	-0.512333333333333
SEC14L1	-0.824166666666667
CHFR	0.11625
EMILIN1	1.704
NDUFS4	-0.31725
COL18A1	0.989
PDZD3	0.0614
C9orf16	0.608833333333333
ERBB2IP	0.335833333333333
EMX2	5.026
FUS	-1.07125
TF	-2.4053
CLCN4	0.414833333333333
CXorf56	0.00575
C11orf72	0.536
ELAC2	-0.769333333333333
NPR1	0.8645
ASS1	-1.7815
USP42	-0.156375
POLR2J	-0.1005
SEC23IP	1.42133333333333
UQCRC1	0.2855
LOC729603	-0.48425
C1orf71	0.319625
POLG	-1.871
ADAM23	-3.25875
TFR2	-0.958
RICTOR	-1.3523
MGC39606	0.70375
C19orf55	-0.290375
SNAPC1	-1.67766666666667
GNA11	1.391875
CCDC52	-0.676
FSIP1	4.696
UPF3A	0.804125
IGSF11	-2.43216666666667
LAGE3	0.321
CHST6	-1.312
UNC13B	0.55275
TTLL4	-1.3435
ZNF687	0.26275
SDC2	0.973
COX7A2	-0.143
LAMB4	-0.88675
FAM24A	0.597
LRRTM3	-2.23283333333333
GPHB5	0.7755
OR4C13	0.315
EIF3EIP	0.0933571428571428
HABP4	-0.73
TMEM125	3.5905
CNTN2	-0.04175
ASNSD1	-0.48175
FUT4	0.163125
ACF	-4.12025
LOC158381	1.0875
CDH8	-2.074
AGPS	0.4985
C4orf18	2.99425
PECI	0.229833333333333
UNG	-0.855875
GSTP1	0.055125
DCUN1D5	-0.7505
DKFZP564J0863	-1.02175
SLC9A3R1	0.17775
BCDO2	-0.137125
CHMP7	0.08275
REM2	0.9515
DNHD1	-0.580875
FKBP4	0.41675
ZNF350	1.7645
MGC11102	0.021375
BST1	1.6065
KISS1R	0.423
NCR2	0.083
DEFB125	0.2465
UBE2W	0.252875
KRT15	-2.7495
C10orf99	0.2
SCN11A	0.24275
GFI1	-2.45875
RDHE2	5.41183333333333
FHL1	0.576333333333333
OSGEP	-0.16
GATA1	-3.51916666666667
SMC6	-1.5185
TTTY14	-1.712
LPIN3	-0.04
RPL4	0.2777
RBPMS	-0.0561
PRPF3	-0.178166666666667
EMR1	-2.234
SPATA19	0.0235
XCR1	0.269
IRX3	2.1753
RBM6	-0.78925
KLF4	0.6044
UNC5CL	-0.61125
SEBOX	0.6075
BTK	-0.18125
KRCC1	0.2905
C6orf27	0.3095
SYTL5	0.1605
PRND	4.22075
LOC653319	-1.6475
PIGL	-2.081625
HUS1	-0.222333333333333
SFRS6	0.149916666666667
C17orf77	0.7885
UIMC1	-0.912333333333333
FXYD2	-1.6749
LOC283152	0.56175
ZNF667	0.556
ZCCHC12	-1.303
TFEC	4.0481
ATP7B	0.320666666666667
POLD2	-0.364833333333333
RG9MTD1	0.01425
ACOT2	0.576833333333333
HIST1H4I	-1.31075
PPARGC1A	-1.9371
ETFA	-1.2825
POLRMT	-0.02675
ZNF146	0.3465
MIA2	-4.0885
KLHL6	-0.974666666666667
HOXB5	2.428125
NENF	0.872
CUGBP1	-0.42775
PRSS22	1.80083333333333
CASC4	1.2842
CUL4B	0.1032
CENPJ	-1.7666
PITX1	0.756666666666667
FLJ31033	1.33366666666667
CELSR3	-0.616833333333333
ZNF568	1.28575
ITSN1	0.413583333333333
EHBP1L1	-0.467833333333333
C19orf2	0.334
DCTN1	0.3445
LIN28B	-5.19633333333333
TNKS2	1.126
C1QBP	-0.863625
CADPS2	1.4755
SRMS	0.60825
GJA9	0.740833333333333
MGC24975	0.238166666666667
TRIM45	-0.833333333333333
TSP50	0.01775
TCP1	-1.02025
TMED7	-0.0634
CMA1	2.5785
CENPL	-1.12766666666667
PTCRA	0.069
FST	-3.87325
VWCE	-2.44925
PAWR	-0.4765
ABCC12	0.889333333333333
LDLR	-1.2592
ASTN2	-0.2045
LOC441212	-0.94575
GPATCH8	0.11525
TANC2	-0.2215
KIF4A	-2.24
C18orf18	-1.034
PGM1	-1.0915
KIAA0258	0.618
CPD	1.264625
SNCAIP	-0.41775
DCT	-4.60266666666667
HLA-DOA	3.06290909090909
OR11L1	0.657
UPK1B	-0.71
DNAJB4	0.125125
UGT1A8	0.0155
HIST1H4L	-2.472
PECR	-1.15466666666667
HSPA2	1.53975
WFIKKN1	0.0135
SERP1	1.65575
SYDE2	1.455
TACR2	1.6505
NUP85	-1.107
CD177	-0.468333333333333
LGR5	-2.5222
PIGG	-0.269416666666667
PTHR1	0.5665
RAB5A	0.4085
FLJ13224	-0.043
USP9Y	-2.20366666666667
C7orf53	-0.414
LRP1B	2.4355
XAF1	1.0402
ABCG8	-1.242
ANKDD1A	-0.400166666666667
DAND5	-2.3465
SPAG6	0.468166666666667
LINCR	1.06
ZDHHC22	-1.67
CCDC60	-0.244
THOC7	-0.87
TCTA	1.1315
OR8K3	0.00900000000000001
NY-REN-7	-0.683333333333333
B2M	1.51466666666667
C6orf141	0.375125
LPPR4	2.509
SQLE	-1.173625
SEPHS1	-0.97225
BTBD14B	0.372428571428571
PLRG1	-0.87675
SPG7	-0.9870625
ZNF614	0.370166666666667
PARD6G	0.869833333333333
INPP5B	-0.1524
GRPEL2	-0.69725
PPID	-1.1782
TRIM56	-0.515
UBE2J1	0.657
IL20RA	3.02125
LOC387856	0.6495
C1orf107	2.25133333333333
UTS2R	0.40075
C19orf22	0.37875
SAFB2	-0.22975
KIAA0652	0.5015
KLRG1	-0.2415
MS4A8B	0.653666666666667
FRAG1	0.5545
KIAA1546	0.104
E2F4	-0.8184
CLEC4M	0.402833333333333
BTBD14A	-0.89975
KIAA0999	1.0154
GYPA	-3.904
TAC1	3.126
TRAIP	-1.952
KIAA0232	0.1661
ERCC8	-1.3195
GPX4	0.983
KIAA0368	-0.04
GPR157	-1.14116666666667
CTAGE4	0.905
C9orf30	-0.515
OR52A1	0.2215
HSP90B3P	-0.1095
ALG9	-0.1214
BTBD10	0.41925
SDK2	-0.30925
BAIAP3	2.1775
RABGGTB	-1.076
ANKRD40	-0.292333333333333
KRT74	0.418
CALCOCO2	-0.529714285714286
SNCA	-3.0595
TMSL8	-3.57675
C2orf53	-0.33
ESRRB	-0.5185
ARHGAP26	-1.005
TDRD9	-2.7895
HRAS	0.559
KLRC4	-1.89
JAGN1	-0.169333333333333
BSDC1	0.5275
RNF43	-1.2427
NDUFAF1	0.35175
PHF12	0.3455
OR1L3	1.1115
FOLR2	2.65291666666667
LYZL6	0.332666666666667
tcag7.1260	-1.4725
WSB1	-2.23116666666667
PROS1	0.1953
OSTN	0.5825
PSMB8	0.30925
SOCS4	0.119625
DDIT4L	4.345
MAS1	-0.966
MGC34796	1.3055
CSHL1	0.276833333333333
TBCCD1	-0.117333333333333
ZBTB7C	0.2525
AP2S1	0.547625
P15RS	0.4082
VAT1	-0.6518
SHANK3	1.20133333333333
TUFM	-0.374333333333333
THEG	-0.79975
KRT34	-2.58875
SGSM3	0.0325
TOMM22	-0.8625
SOCS3	0.302166666666667
CPO	1.1655
POP4	0.1335
BHLHB3	1.19625
MALL	1.5185
OR1B1	1.0815
PARK2	0.834666666666667
GPR124	1.5185
LCE1E	0.7925
RUVBL2	-0.3935
CGRRF1	0.1904
ACPL2	0.998
WNT10B	-1.68775
BAIAP2L2	-2.109625
ISCA1	0.524
C1orf125	-1.372375
RPAP1	-1.095
RAI16	0.575666666666667
RPL27	-0.396875
NLRP9	0.331
EPN1	0.5115
LOC388610	-0.689875
SLC35A1	0.5781
GAL	-2.381
SLC14A2	0.47225
RDH11	-1.02383333333333
FAM138F	0.2395
AUH	0.17425
FLJ40243	1.2355
C14orf129	0.342666666666667
MBD2	-0.286166666666667
ABHD14B	0.11825
PIGT	1.298
ALS2CR4	0.19925
ALAS1	0.0411
FOXO1	1.588
CRLF3	-0.882125
C20orf107	-0.542
FARS2	0.517
CCDC28A	0.72075
NPHP3	-1.0615
OR13F1	0.5595
TSEN54	-0.94225
DEFB106B	0.3738
OR8B4	-2.155
STH	0.85825
ZC3H14	-0.192375
CBX2	-0.2745
TMEM49	-1.45425
C6orf21	0.943
FLJ20920	0.7675
CRTAP	0.635928571428571
DDX50	-0.40875
STYXL1	0.05075
BLVRB	-0.3775
LOC147650	-1.12833333333333
MMP24	0.343
GRID1	2.53983333333333
BANF1	-0.135833333333333
CTAGEP	0.456
HMBS	-1.97575
SLC25A24	1.043
C14orf50	0.47225
MRO	2.6645
SLC25A15	-0.8515
FAM84B	1.5712
TDP1	-0.678
C16orf78	0.225833333333333
C11orf57	0.167875
RFK	-0.451
ZFYVE9	-0.3465
STCH	-0.6513
WIBG	0.207
LOC283871	-0.590166666666667
GBA2	0.1014
NDUFB3	-0.88125
HSD17B13	1.04825
GRIN3A	1.18116666666667
FMNL1	-0.0468333333333333
SEPT7	-0.6969
GNLY	3.668
GRAMD1C	1.54283333333333
ZNF165	0.34475
USP38	1.052
FAM83A	-4.01616666666667
C14orf24	0.8575
ARMCX3	0.975125
ARHGDIB	1.16
AK1	0.102875
KIAA1045	0.9915
DNAJB13	-0.435833333333333
NEU2	0.5215
HIST1H4B	-1.41416666666667
FAM20B	0.1404
HES2	1.2905
FAM73B	0.0908
LOC388381	-0.399
INTS7	-0.565636363636364
AMPH	3.43825
ZNF775	-0.04875
UCKL1	-0.861333333333333
C10orf97	0.7675
C1orf161	-0.02475
ALDH1L1	1.83225
FLJ39378	-0.111
SLC23A1	-3.0035
RBM4B	0.16175
THAP4	-0.240666666666667
OGFRL1	0.52125
KIAA0831	-0.45975
PPP1R15A	0.278833333333333
C1orf96	-0.776428571428571
C12orf11	-1.7065
BMF	0.4195
MAN1A1	0.776875
KIAA1600	0.701833333333333
NLGN4X	-1.344
ALOX12	-1.88383333333333
RB1CC1	-0.3209
NEIL2	0.3747
EIF4E	-0.536227272727273
ABHD5	0.27575
EXOC4	-0.523833333333333
CIP29	-0.426166666666667
BATF2	-0.727
SLC29A4	0.181625
HTR4	0.4205
EMB	-1.6475
TRAF6	1.12975
LMNB1	-4.3895
FAM19A5	-0.207375
SHE	2.4805
PIK3C2B	0.915
C15orf15	0.2441
USP15	-0.0684
TCEAL2	-0.612
C5orf39	-0.600833333333333
PTGER2	-0.95075
SLC31A1	-1.3705
IFT172	-0.03
ADAM29	0.46925
GFOD1	0.28675
ST7L	1.1405
C15orf26	-2.95525
PKN3	0.46675
CNTD1	2.48666666666667
COMMD1	-0.105
NTRK2	2.88225
FOXN3	0.585125
MFGE8	0.7667
PFKFB2	2.113
TAS2R4	-0.68225
ENTHD1	2.32283333333333
PRMT5	-0.429125
MGC16384	-2.2935
LOC442229	-0.18775
TSKU	1.369375
KRTCAP3	2.3555
PDLIM1	0.4973
KCNS2	0.9105
RNF126	0.229
CEP63	-0.631875
CLIC4	-0.33475
hCG_1990170	-1.0245
ACR	1.1697
KLK7	-1.61775
ALOX5AP	3.574875
RIPK3	4.038
TAS2R9	0.718
C19orf18	2.4305
BIRC6	0.104642857142857
ZNF16	0.996
RFT1	-0.5085
SLC8A2	-0.63
TACC1	-0.26125
ITGAD	2.03125
SAMHD1	1.3755
SH3PXD2B	1.8079
EPC2	0.28725
C20orf85	0.596625
ATP13A2	1.6035
KRT4	0.252
CAPNS1	0.74775
MDM2	-0.537
PCDH20	2.35475
KCNK9	0.3965
OR2C1	0.314
KLHDC3	-0.037
IPPK	0.7355
EFHD2	0.313625
GALR3	0.39075
NBEA	0.393333333333333
ABCA6	4.8317
CLDN3	-0.301
AKT2	-0.0962142857142857
EGFR	-0.9942
RBM16	0.24125
ZDHHC3	0.6095
SLC25A4	-1.403
CYB5B	-1.306
CPXM1	1.7325
NDRG1	-1.68676923076923
FLJ43826	0.72
OR5L2	0.1538
FARP2	0.2678
MRPL46	-0.55025
LDHAL6B	0.425666666666667
MAPKAPK3	0.111833333333333
NCAM2	-1.60475
PRKD2	-0.0605
ZFP36L1	1.2586
CYSLTR1	-0.2625
OR4C3	0.20175
HIST1H2AJ	-0.087
CCNB2	-3.031
ZNF10	0.213625
TMEM175	0.3485
FAM134A	0.129333333333333
TIGD4	-0.784
PCNP	-0.3155
MGC39715	-0.154
LQK1	-1.43275
CREB1	0.1803
TMPRSS3	0.50925
C4orf32	0.86675
LAT	-1.17991666666667
KCNA3	-1.456
SKIV2L2	-0.739
ROPN1B	-4.64625
tcag7.23	0.26
CDT1	-3.058875
ZHX2	0.886125
CD28	-2.8905
ZNF624	0.399
SEPT2	0.0484166666666667
SOHLH2	0.180375
MCOLN3	0.22625
UNQ1945	0.7105
MASP2	-1.354
ZNRF3	-0.1812
GPATCH3	-0.18525
AGL	0.142625
QRICH2	0.0625
PSD4	0.895666666666667
CCNB1IP1	-1.86675
ENPP7	-0.04725
OBFC1	0.356
KCNG3	-2.82425
C14orf79	0.6385
ENPEP	3.56533333333333
SCT	2.357
SKI	0.55075
SEC61G	-0.413
CAPN11	1.041
ATXN7L3	-0.16025
DBNDD1	0.351166666666667
FAIM	0.477
ANKRD36	-1.7115
GABRP	-0.926333333333333
TACSTD2	2.29716666666667
EIF3J	-0.0625
PPP2R2A	-0.54625
TEKT4	0.0461666666666667
PVALB	-3.83416666666667
F10	-1.7335
FAM134C	0.7369
COMP	4.2925
EFCBP1	-2.2946875
SCLT1	-0.963
TAL1	-0.9192
ACSL1	1.8655
ABCC5	-0.02525
ABL1	-0.432888888888889
RBBP7	-0.440916666666667
PTPRG	-0.419875
NCOR1	-0.0581
SPINK4	1.222
TXNRD1	-1.2813
TNRC15	-0.69675
C9orf138	0.787
UBE2H	-0.065
BRDT	-0.4195
C8orf31	-0.00850000000000001
CCNE2	-1.59872727272727
SLC6A8	-0.617375
CALCR	-4.297
PPP1CB	0.59075
ABHD8	0.80225
ARF5	-0.0191
SLC24A4	1.021
CCT3	-0.1685
ZNF121	0.586875
SLC3A2	-0.7867
OR13A1	0.511
SLC5A10	-0.462
RAD50	-0.79175
IER5	-0.44225
MTHFD1L	-2.0885
MBTPS2	0.07
MVK	-0.217375
NCL	-0.4174
PSMD10	-0.335
MOBP	-0.045375
FLJ32894	0.914
HRH1	-0.350666666666667
C5orf30	0.67575
NUDT16L1	0.9022
RASGRP3	4.15333333333333
PRKRIP1	-0.6785
CCDC75	-1.338
LOC253970	-0.108
KIAA1239	3.53575
MED21	-0.61025
SYT11	0.6565
NTSR2	0.1595
EGFL11	-0.247
CXorf59	0.7335
OR2A25	0.616
SPTBN2	-1.37
LRMP	-1.318
RNF111	-0.26575
PTH	-0.0425
LOC619208	0.5015
KIAA0895	0.58075
RANBP5	0.333875
P2RY10	0.279
NME5	2.74216666666667
DDX21	-0.4175
LRSAM1	0.1515
HDAC11	1.28783333333333
VMO1	0.8865
NOLA2	-0.6915
ADAR	0.89975
MTO1	-0.833333333333333
SF4	0.0718333333333333
P2RX1	0.00700000000000001
HBM	0.0715
EN2	0.2885
C14orf172	0.72
TM9SF2	2.5402
INHBE	-1.49666666666667
TCTE3	0.144583333333333
TOX2	-3.3515
CTAGE3	-0.072875
HBB	3.0227
MED15	-0.538166666666667
CASR	0.30875
C6orf66	-0.941
MTPN	-0.86
UNC50	-0.09525
C21orf33	0.403625
IRF2	1.064875
PGR	2.95416666666667
GPR84	3.64175
CROCCL1	-1.68475
SRPX	0.89675
BRE	0.148333333333333
FGF10	3.55775
SDC3	0.325666666666667
ZRSR1	-0.149
DKFZP434P211	-0.580875
SOX6	-1.3655
RPUSD2	-0.097
C14orf173	-0.04325
MAPK11	-0.1405
TBC1D22A	0.165
FAM123A	-2.9045
COL4A6	-3.1955
TOMM70A	0.19725
NAB1	-0.315375
MGC16385	-0.798375
TSPAN18	-0.181666666666667
MED31	-0.506
PLG	-0.26525
CAPSL	0.2555
ZNF532	1.4549
ASB14	0.15575
CA8	-0.61975
NUDT16P	0.258
SLFN11	-0.1905
LRRIQ2	-0.60175
NOL7	-0.655333333333333
BRMS1L	-0.362125
JARID1A	-0.111333333333333
PANK2	-0.6885
ICAM3	-0.032
MDS1	-0.57725
TAF8	-0.55675
RNF139	0.333
ZNF594	-0.485833333333333
ADAM8	3.2545
SFTPC	-0.475375
MAN2B2	1.119
RGS12	-0.058375
EIF1AY	-5.06558333333333
LRRIQ1	-3.04983333333333
GPR150	0.5135
CCDC21	-1.00933333333333
PRRG3	1.94
SAA4	-2.80325
RAPGEF5	1.658875
ZCCHC2	-0.452916666666667
MGC39372	-0.262
PPP4R2	0.346333333333333
CDCA2	-2.6405
OR4D5	0.417666666666667
PTGFRN	1.7875
SIGLEC5	1.7955
C19orf61	0.534166666666667
NMUR2	0.5525
KIAA1586	-1.078
DAGLA	1.01966666666667
CHCHD6	-0.8815
GPR32	1.606
NEUROD6	0.221
SLC2A4RG	-0.178125
CA5B	0.5105
FBXL3	3.10725
MPHOSPH9	-1.25275
HMG2L1	0.06625
HCN4	-0.149
CEACAM19	0.545
SH2D4B	0.675666666666667
HFE2	-1.062
TGM4	-0.1448
LYPD2	0.064
TBC1D15	0.33475
MRPS21	0.1515
NONO	-0.9105
CLEC5A	3.32542857142857
ITCH	-0.3059
MGAT3	-0.2915
MBP	-0.223625
RPP25	-0.2285
SOSTDC1	-5.22966666666667
HRC	-1.0265
TRIM48	-0.3525
TMEM133	2.13825
ECEL1P2	-2.13975
HOXC11	0.478
DOK5	0.21675
HELZ	0.425666666666667
LOC348180	-1.10125
MGC33894	0.63925
ADRB3	0.444
DMD	-0.28725
PTRH2	-1.21975
MPEG1	3.65316666666667
NDUFA12	-0.13
KRTAP2-4	0.0190833333333333
STAMBPL1	-1.14033333333333
ADCY2	0.2014
UNQ6125	0.523
KLHL20	-0.252666666666667
SRM	-0.31
OTC	0.13175
TMIE	0.391833333333333
SNX8	0.0775
LIPK	0.7735
CHURC1	-0.25225
KLC2	0.29
HDAC1	-0.562
FAM128A	1.04433333333333
FNDC3B	1.0899
MTCP1	-0.1675
WFDC10B	0.0459
PCDHGB3	0.841
ATRNL1	-1.4785
CAV2	0.132
MED26	0.146
DUS1L	0.448
CHRM3	-2.42475
NEK9	0.6325
WARS2	0.17375
TBX22	-0.6555
TOMM40	-0.73625
RP6-213H19.1	-3.8435
TUBGCP5	-0.5515
IGSF6	4.8315
TPPP	1.91
UNQ6190	0.1325
GSTM5	1.72775
BTD	1.15883333333333
PDCD1LG2	0.708
SNRPB2	-0.671333333333333
ERICH1	-0.900625
APOA4	-1.328375
HOXA11	-1.446
NARG1	-0.45375
MKX	-0.7085
RAB28	-0.403214285714286
PKP3	1.045
SH3GL2	-0.7245
CTSO	3.478
RPN2	0.689375
IL28RA	-1.02066666666667
SFMBT1	0.248
WDR57	0.17675
FER1L3	0.986
HSF5	0.664
TTC9B	0.694
C4BPA	-3.383
ALB	-5.54271428571429
SORBS3	0.775875
UPF2	0.2055
JPH1	-0.034
AGBL2	-1.93225
DOPEY1	0.687
TERF1	-0.832583333333333
KIF22	-0.7985
NINJ1	2.1085
SEC61A2	-0.8365
HIST1H1D	-0.3715
SFXN4	-0.160375
UCP3	0.2492
ZNF703	0.745
MYL6B	-0.643
TREM1	2.4145
OR52E6	0.938
CKMT2	3.89275
HLA-C	1.813875
SLC13A3	-1.08733333333333
TIMP4	1.06825
SLIT2	3.042
RSF1	-0.417444444444444
LONRF1	-0.531357142857143
MON1A	-0.0496666666666667
CACNG6	-1.918
DPPA4	-5.65583333333333
ZSWIM3	-0.07825
ZNF804A	0.680333333333333
CCIN	1.92975
SLC25A31	0.373
KCNMB4	0.3885
RABL5	0.390125
GALNS	-0.6154
STX6	-0.197
HIST1H1C	-0.462833333333333
CIDEB	0.993375
CASP4	-0.380666666666667
PDK3	-0.1701
KCNJ11	2.7505
TPR	-0.834625
ZSCAN20	-0.9145
MTX2	-0.819
HIST1H2BH	0.20725
LOC283767	0.25975
LYRM7	-2.00122222222222
BRD3	-0.238
HIST1H2BO	0.058
MAGEB10	-0.0675
SLC45A1	1.7705
SERPINA3	3.5523
KIAA0143	0.98025
KCNJ16	0.343
KRT79	-0.07675
FABP2	-1.179
NUT	0.39075
ZNF57	0.68475
FBXL4	0.467625
CLEC9A	1.3045
UGT8	-1.79866666666667
BMP2K	0.0825
MAPK4	-3.80925
SLC25A23	0.282
HINT1	-1.1329
KRTAP13-1	0.211
SFXN5	-0.3238
CHCHD2	-0.246416666666667
FAM3D	0.681
NDP	-2.91775
RHOBTB1	0.217166666666667
SLC4A4	0.2375
RPL38	-0.2065
HTF9C	-0.485833333333333
AP2A2	0.979625
ZBTB46	-0.8965
MAP7D1	0.54475
AOX1	-0.648833333333333
CYR61	1.334
DTNA	0.521071428571429
JRKL	-0.2935
TMOD3	0.82075
EEA1	-0.0304
ADCK5	0.0565
IL1R1	2.3105
KLK3	0.7805
HRSP12	-1.06975
KTN1	-0.08775
LOH11CR2A	1.418
RELL2	-1.47275
MAB21L1	3.4605
C20orf59	-0.858666666666667
PHKB	0.4075
ADAM2	-2.81583333333333
TBC1D8B	2.057
FAM13A1	-1.086125
LAPTM4B	-0.4695
LCN8	-0.025
TMEM147	0.671
SYT4	0.257166666666667
XPO7	-0.8065
C9orf62	0.592
GPR75	-0.07
TRIM5	-0.394875
APOC1	-0.123833333333333
RNASE4	1.56433333333333
PARD6B	-2.36125
ARID1A	0.798
TPD52L3	0.2326
RRAGB	1.30866666666667
RCN2	-0.740166666666667
HIST2H2BE	0.1435
STARD7	0.13525
SHMT2	-1.06675
KIAA1751	-0.0125
MLYCD	0.278875
LOC162632	-1.4021
UQCRH	-0.89775
RP11-217H1.1	-0.144375
SDHA	-0.595666666666667
NCLN	0.5311
ZNF17	0.693666666666667
RCBTB2	-1.17325
VEGFB	0.39
RP4-747L4.3	0.8635
COLQ	0.0525
MPN2	-1.306
DRG2	0.07675
KLRB1	6.122
ALPK2	-1.25175
DNASE2B	1.86075
FLJ23834	0.0263333333333333
AXUD1	0.874833333333333
SAFB	-0.4163
NSUN4	-0.08925
RFX2	-0.228
MAPK8IP1	0.47
FANCD2	-1.39714285714286
ANKZF1	-1.80916666666667
C19orf50	0.01925
DUSP8	2.441875
SENP5	-0.594875
NFKBIL2	-0.4285
LBR	-0.921875
IGFL1	0.632
LZTS2	0.388375
IL2RG	0.0595
CCDC51	-0.45
KLF3	0.776625
ANKRD37	-2.13425
KCTD14	-1.57183333333333
FZR1	0.795833333333333
SLC44A4	3.9189
ESPL1	-1.144125
GMPR2	-0.3449
TBC1D19	-0.809833333333334
ERGIC1	0.779222222222222
ERBB4	2.4872
TSPAN32	0.224416666666667
MAP4	0.086125
GPHN	0.11275
SLC6A2	-0.191
HIVEP1	0.76375
DFFB	-0.00930000000000001
EIF4EBP2	1.118125
DMRT1	2.494
HSPB6	0.82575
IER2	-0.4945
AIFM1	-0.11625
WWC2	-0.848916666666666
MRPL4	0.32875
FLJ21062	2.91766666666667
EPB41L4A	0.746916666666667
SH2D6	0.10675
TAF4B	0.2125
GAL3ST3	0.081
MALT1	-0.446
RTDR1	-0.8195
ARVCF	0.023875
MEX3B	-0.0743333333333333
FBXO16	1.17875
KIF7	-0.76925
C1QC	3.62566666666667
ZNF783	-0.232
ZNF85	0.757
MMP13	4.4
KIAA0329	0.213625
RTP3	-0.59
ZBED3	0.00325
CLGN	0.15275
SLC25A37	-2.10025
hCG_18290	0.51225
OR5AS1	0.381
SMARCC2	0.00733333333333331
FAM109A	0.729166666666667
CCDC12	-0.302
USF2	1.1892
DEPDC7	-1.48725
C20orf24	-0.6655
JMJD3	0.625
DSP	0.797285714285714
SLIC1	0.834375
FAM20A	2.375625
IRF2BP2	0.874125
ZNF230	0.2735
MSN	0.05
SLC9A5	-1.5915
EPDR1	-1.0785
MUSK	0.240166666666667
ZNF434	0.671833333333333
SMARCD1	-0.426333333333333
ZFP106	0.21875
ZNF347	0.187
GTF2E1	-0.01475
RY1	-0.543333333333333
ATAD2B	-0.573375
ARHGAP17	0.0944
KCNIP3	-0.79
