Hybridization REF	TCGA-BH-A18M-01A-11R-A12D-07
TRIM56	-0.35875
UBE2J1	-0.00637500000000001
IL20RA	4.05825
LOC387856	0.25225
C1orf107	0.691916666666667
UTS2R	0.9845
C19orf22	-0.451
SAFB2	-0.826125
KIAA0652	0.024625
KLRG1	0.0871666666666667
MS4A8B	1.0695
FRAG1	0.8835
KIAA1546	0.002
E2F4	-1.368
CLEC4M	-0.2555
BTBD14A	-0.28125
KIAA0999	0.8377
GYPA	-3.61783333333333
TAC1	2.0303
TRAIP	-1.40183333333333
KIAA0232	0.8161
ERCC8	-0.270125
GPX4	0.389125
KIAA0368	-0.13475
GPR157	-1.28033333333333
CTAGE4	1.089
C9orf30	-1.27666666666667
OR52A1	0.6125
HSP90B3P	-0.363
ALG9	-0.7787
BTBD10	0.983
SDK2	-0.56325
BAIAP3	0.28825
RABGGTB	-0.174625
ANKRD40	-0.226666666666667
KRT74	0.4045
CALCOCO2	0.382428571428571
SNCA	-2.8675
TMSL8	-4.23125
C2orf53	-0.2795
ESRRB	-0.8055
ARHGAP26	-0.78275
TDRD9	-2.707
HRAS	0.72
KLRC4	-1.3745
JAGN1	0.0396666666666667
BSDC1	0.337
RNF43	-0.1214
NDUFAF1	0.81975
PHF12	-0.982
OR1L3	0.23175
FOLR2	2.65333333333333
LYZL6	0.100666666666667
tcag7.1260	-1.725
WSB1	-1.66916666666667
PROS1	0.1127
OSTN	0.813
PSMB8	1.906
SOCS4	0.061125
DDIT4L	2.3295
MAS1	-0.2735
MGC34796	2.10125
CSHL1	0.0901666666666667
TBCCD1	0.197666666666667
ZBTB7C	0.195
AP2S1	-0.186125
P15RS	0.08
VAT1	-0.8083
SHANK3	0.977
TUFM	-0.0813333333333333
THEG	-0.11475
KRT34	-1.98375
SGSM3	0.0495
TOMM22	-0.98575
SOCS3	1.577
CPO	1.853
POP4	0.22825
BHLHB3	1.23125
MALL	0.9255
OR1B1	0.2365
PARK2	-0.00233333333333333
GPR124	0.682625
LCE1E	0.287
RUVBL2	-0.55575
CGRRF1	0.5039
ACPL2	0.62275
WNT10B	-1.921125
BAIAP2L2	-1.788875
ISCA1	0.3795
C1orf125	1.262125
RPAP1	-0.021
RAI16	0.061
RPL27	0.0585
NLRP9	-0.0355
EPN1	-0.0575
LOC388610	-1.102375
SLC35A1	0.8008
GAL	-3.88925
SLC14A2	0.6695
RDH11	-0.292166666666667
FAM138F	0.42
AUH	0.54825
FLJ40243	0.88775
C14orf129	0.5365
MBD2	0.0715
ABHD14B	-0.11575
PIGT	-0.0685
ALS2CR4	0.271625
ALAS1	-0.1668
FOXO1	1.44833333333333
CRLF3	-0.156125
C20orf107	-0.672
FARS2	0.98675
CCDC28A	1.004
NPHP3	-1.02375
OR13F1	0.9475
TSEN54	-0.6475
DEFB106B	0.221666666666667
OR8B4	0.291
STH	1.65925
ZC3H14	-0.343375
CBX2	-0.3315
TMEM49	-0.99
C6orf21	0.8935
FLJ20920	0.223125
CRTAP	0.490142857142857
DDX50	0.223
STYXL1	0.37475
BLVRB	0.534833333333333
LOC147650	0.911333333333333
MMP24	-0.02875
GRID1	2.20316666666667
BANF1	-0.641166666666667
CTAGEP	0.23375
HMBS	-1.89675
SLC25A24	0.416833333333333
C14orf50	0.6555
MRO	1.36583333333333
SLC25A15	-0.733
FAM84B	1.8482
TDP1	-0.6845
C16orf78	0.184333333333333
C11orf57	-1.040875
RFK	-0.803
ZFYVE9	-1.418
STCH	-0.9425
WIBG	0.359
LOC283871	0.194
GBA2	-0.4749
NDUFB3	-0.0275
HSD17B13	0.07
GRIN3A	1.16966666666667
FMNL1	-1.32716666666667
SEPT7	-0.6737
GNLY	3.2675
GRAMD1C	1.27183333333333
ZNF165	-0.234
USP38	0.3465
FAM83A	-3.62533333333333
C14orf24	0.73825
ARMCX3	0.838375
ARHGDIB	0.889833333333333
AK1	0.33875
KIAA1045	-0.019
DNAJB13	-0.6445
NEU2	0.3525
HIST1H4B	-1.067
FAM20B	-0.572
HES2	0.2125
FAM73B	-0.6009
LOC388381	1.41125
INTS7	0.201
AMPH	2.14575
ZNF775	0.194875
UCKL1	-0.6605
C10orf97	0.594
C1orf161	0.11125
ALDH1L1	0.54825
FLJ39378	-0.146875
SLC23A1	-1.6045
RBM4B	0.7075
THAP4	0.183833333333333
OGFRL1	0.74625
KIAA0831	0.00687499999999996
PPP1R15A	-0.273833333333333
C1orf96	-0.131785714285714
C12orf11	-1.80025
BMF	0.7475
MAN1A1	0.2785
KIAA1600	0.677833333333333
NLGN4X	0.063
ALOX12	-1.7065
RB1CC1	-0.2377
NEIL2	1.2329
EIF4E	0.348272727272727
ABHD5	0.60725
EXOC4	-0.743833333333333
CIP29	0.4795
BATF2	1.78675
SLC29A4	-0.56425
HTR4	0.35275
EMB	0.57375
TRAF6	0.67725
LMNB1	-3.533
FAM19A5	-0.534625
SHE	2.385
PIK3C2B	1.25075
C15orf15	-0.1425
USP15	-0.2283
TCEAL2	2.18925
C5orf39	-0.506666666666667
PTGER2	-0.61
SLC31A1	-0.7385
IFT172	0.363
ADAM29	0.68025
GFOD1	0.87875
ST7L	1.21483333333333
C15orf26	-3.65275
PKN3	-1.2265
CNTD1	2.123
COMMD1	0.732375
NTRK2	3.22991666666667
FOXN3	0.172625
MFGE8	-0.4709
PFKFB2	1.14516666666667
TAS2R4	-0.1565
ENTHD1	0.924166666666667
PRMT5	-0.511875
MGC16384	-1.982125
LOC442229	-0.16175
TSKU	0.01325
KRTCAP3	2.64475
PDLIM1	-0.15
KCNS2	1.02575
RNF126	-0.439833333333333
CEP63	-0.0315
CLIC4	-0.628625
hCG_1990170	0.797
ACR	0.9783
KLK7	2.07575
ALOX5AP	3.277125
RIPK3	2.957
TAS2R9	0.2275
C19orf18	1.5115
BIRC6	-0.226357142857143
ZNF16	1.527
RFT1	-0.38075
SLC8A2	-0.96725
TACC1	-0.373
ITGAD	1.9375
SAMHD1	1.35325
SH3PXD2B	1.2854
EPC2	1.023
C20orf85	0.479
ATP13A2	0.538
KRT4	1.209875
CAPNS1	-0.35175
MDM2	-0.417666666666667
PCDH20	3.464
KCNK9	0.906
OR2C1	0.0575
KLHDC3	-1.03666666666667
IPPK	0.576
EFHD2	-0.02975
GALR3	0.95975
NBEA	0.965666666666667
ABCA6	4.3638
CLDN3	0.408333333333333
AKT2	-1.2265
EGFR	-0.7331
RBM16	0.095125
ZDHHC3	0.2332
SLC25A4	-0.0218333333333333
CYB5B	-0.562166666666667
CPXM1	1.62075
NDRG1	-1.17338461538462
FLJ43826	0.74025
OR5L2	0.322333333333333
FARP2	0.5714
MRPL46	0.00958333333333333
LDHAL6B	0.0148
MAPKAPK3	-0.4435
NCAM2	0.4985
PRKD2	0.4865
ZFP36L1	2.1988
CYSLTR1	0.25575
OR4C3	0.6485
HIST1H2AJ	1.4655
CCNB2	-2.27455555555556
ZNF10	-0.15875
TMEM175	0.428
FAM134A	0.451833333333333
TIGD4	-0.6905
PCNP	0.086
MGC39715	0.657
LQK1	-1.05275
CREB1	0.1745
TMPRSS3	0.62575
C4orf32	2.349125
LAT	-1.538
KCNA3	-1.3295
SKIV2L2	-0.37425
ROPN1B	-1.978
tcag7.23	-0.1205
CDT1	-2.876
ZHX2	1.180125
CD28	-2.48025
ZNF624	0.89675
SEPT2	0.0530833333333333
SOHLH2	0.464
MCOLN3	0.047875
UNQ1945	0.4985
MASP2	-1.4625
ZNRF3	-0.2761
GPATCH3	-0.25925
AGL	3.626625
QRICH2	0.1975
PSD4	1.09416666666667
CCNB1IP1	-1.908
ENPP7	0.216
OBFC1	0.405
KCNG3	-2.3855
C14orf79	0.741083333333333
ENPEP	1.52683333333333
SCT	3.092
SKI	0.345625
SEC61G	-0.92775
CAPN11	0.49175
ATXN7L3	-0.64625
DBNDD1	-0.732333333333333
FAIM	0.981
ANKRD36	-1.7945
GABRP	3.03733333333333
TACSTD2	1.52716666666667
EIF3J	-0.1875
PPP2R2A	-0.464
TEKT4	-0.1105
PVALB	-3.30383333333333
F10	-1.7425
FAM134C	1.0075
COMP	4.333875
EFCBP1	-1.9760625
SCLT1	-0.80025
TAL1	-1.0799
ACSL1	1.34775
ABCC5	0.379916666666667
ABL1	-0.867722222222222
RBBP7	1.37383333333333
PTPRG	-0.235875
NCOR1	0.1376
SPINK4	0.656833333333333
TXNRD1	-1.4515
TNRC15	-0.3915
C9orf138	0.513875
UBE2H	0.936166666666667
BRDT	1.21666666666667
C8orf31	0.16925
CCNE2	-1.31572727272727
SLC6A8	-1.9115
CALCR	-4.11075
PPP1CB	0.838583333333333
ABHD8	0.08325
ARF5	0.1574
SLC24A4	0.909
CCT3	-0.09075
ZNF121	-0.41175
SLC3A2	-1.2732
OR13A1	0.5655
SLC5A10	-0.24125
RAD50	-0.20675
IER5	0.1435
MTHFD1L	-2.122625
MBTPS2	0.446333333333333
MVK	-0.3245
NCL	0.2236
PSMD10	0.05325
MOBP	0.081875
FLJ32894	0.909
HRH1	-0.487833333333333
C5orf30	2.81725
NUDT16L1	1.3344
RASGRP3	3.24533333333333
PRKRIP1	-0.402
CCDC75	-0.74775
LOC253970	0.16175
KIAA1239	1.92575
MED21	0.1795
SYT11	0.256916666666667
NTSR2	-0.461
EGFL11	0.417
CXorf59	0.6005
OR2A25	0.43
SPTBN2	-1.7005
LRMP	-0.7415
RNF111	0.04
PTH	-0.5775
LOC619208	1.18566666666667
KIAA0895	0.52475
RANBP5	-1.3705
P2RY10	0.842
NME5	4.84966666666667
DDX21	-0.98075
LRSAM1	-0.285
HDAC11	1.4605
VMO1	2.09475
NOLA2	0.04
ADAR	0.729
MTO1	-1.0635
SF4	0.880333333333333
P2RX1	-0.156166666666667
HBM	0.40825
EN2	0.954
C14orf172	0.29
TM9SF2	0.3082
INHBE	-1.61033333333333
TCTE3	-0.1495
TOX2	-2.5475
CTAGE3	-0.21225
HBB	3.9209
MED15	-0.8785
CASR	0.300666666666667
C6orf66	-0.896
MTPN	-1.2075
UNC50	0.49875
C21orf33	0.405875
IRF2	0.872625
PGR	3.70816666666667
GPR84	2.13575
CROCCL1	-1.40925
SRPX	-0.29325
BRE	0.125833333333333
FGF10	2.28775
SDC3	0.275
ZRSR1	0.667666666666667
DKFZP434P211	-0.255375
SOX6	0.2415
RPUSD2	0.091
C14orf173	-0.0956666666666667
MAPK11	-0.300333333333333
TBC1D22A	0.3715
FAM123A	-1.4645
COL4A6	0.667833333333333
TOMM70A	-0.32825
NAB1	0.313125
MGC16385	-0.712875
TSPAN18	-1.072
MED31	-0.099
PLG	-0.662
CAPSL	4.934
ZNF532	1.6975
ASB14	-0.41
CA8	-0.92125
NUDT16P	1.09433333333333
SLFN11	-0.41
LRRIQ2	-0.84425
NOL7	-0.1615
BRMS1L	-0.094875
JARID1A	-0.00983333333333334
PANK2	-0.395
ICAM3	-0.364
MDS1	-0.224
TAF8	-0.94325
RNF139	1.1205
ZNF594	0.0353333333333333
ADAM8	1.840625
SFTPC	-0.36175
MAN2B2	1.16875
RGS12	0.0821875
EIF1AY	-4.60191666666667
LRRIQ1	-0.857833333333333
GPR150	0.82725
CCDC21	-1.56033333333333
PRRG3	0.88075
SAA4	-1.79675
RAPGEF5	1.18925
ZCCHC2	0.06025
MGC39372	-0.8305
PPP4R2	-0.0551666666666667
CDCA2	-2.49433333333333
OR4D5	0.435166666666667
PTGFRN	1.3126
SIGLEC5	0.605
C19orf61	-0.248
NMUR2	-0.197
KIAA1586	-1.22283333333333
DAGLA	0.851833333333333
CHCHD6	-0.10975
GPR32	0.7775
NEUROD6	0.350666666666667
SLC2A4RG	0.119125
CA5B	0.16625
FBXL3	1.14625
MPHOSPH9	-1.48975
HMG2L1	-0.487
HCN4	0.3755
CEACAM19	0.11
SH2D4B	-0.0623333333333334
HFE2	-0.4865
TGM4	0.0166
LYPD2	0.2925
TBC1D15	0.2055
MRPS21	0.3394
NONO	-1.0429
CLEC5A	2.35875
ITCH	-0.1867
MGAT3	-0.5915
MBP	-0.327625
RPP25	-1.3585
SOSTDC1	0.1315
HRC	-1.43075
TRIM48	0.494
TMEM133	0.84325
ECEL1P2	-1.46966666666667
HOXC11	-0.1785
DOK5	-0.29075
HELZ	0.055
LOC348180	-1.19725
MGC33894	0.23075
ADRB3	0.4275
DMD	0.0876666666666666
PTRH2	-0.62825
MPEG1	3.38516666666667
NDUFA12	-0.047
KRTAP2-4	0.0828333333333333
STAMBPL1	-1.34166666666667
ADCY2	1.722
UNQ6125	0.6255
KLHL20	-0.676333333333333
SRM	-1.0225
OTC	0.3025
TMIE	-0.502
SNX8	-0.20475
LIPK	0.572
CHURC1	-0.37175
KLC2	0.231166666666667
HDAC1	-0.689166666666667
FAM128A	0.703333333333333
FNDC3B	0.158
MTCP1	-0.168166666666667
WFDC10B	0.0708
PCDHGB3	0.6495
ATRNL1	-2.1213
CAV2	0.286625
MED26	-0.180666666666667
DUS1L	-0.148
CHRM3	-2.318875
NEK9	0.41225
WARS2	0.5105
TBX22	0.944
TOMM40	-1.11375
RP6-213H19.1	-0.151833333333333
TUBGCP5	-0.488
IGSF6	5.03775
TPPP	0.249166666666667
UNQ6190	0.59
GSTM5	1.30075
BTD	0.891666666666667
PDCD1LG2	0.423
SNRPB2	-0.3915
ERICH1	-0.321375
APOA4	-1.448875
HOXA11	-2.37675
NARG1	0.2645
MKX	0.0105
RAB28	0.749785714285714
PKP3	1.97575
SH3GL2	-2.15925
CTSO	3.3205
RPN2	-0.044875
IL28RA	0.0815
SFMBT1	0.6375
WDR57	0.442875
FER1L3	0.721416666666667
HSF5	0.197666666666667
TTC9B	-0.02175
C4BPA	-3.70966666666667
ALB	-3.77842857142857
SORBS3	0.353125
UPF2	-0.025
JPH1	-0.5255
AGBL2	1.7845
DOPEY1	1.741
TERF1	-0.678
KIF22	-0.334166666666667
NINJ1	1.53675
SEC61A2	-0.62725
HIST1H1D	-1.0535
SFXN4	-0.11775
UCP3	0.5339
ZNF703	1.17916666666667
MYL6B	-0.192
TREM1	2.1175
OR52E6	0.657
CKMT2	2.696
HLA-C	2.37575
SLC13A3	-1.432
TIMP4	0.49775
SLIT2	3.17425
RSF1	0.169777777777778
LONRF1	-0.703428571428571
MON1A	0.214666666666667
CACNG6	-1.47966666666667
DPPA4	-5.28783333333333
ZSWIM3	-0.513
ZNF804A	-0.0383333333333334
CCIN	2.282
SLC25A31	0.03025
KCNMB4	0.056
RABL5	0.89225
GALNS	-0.9766
STX6	-0.454375
HIST1H1C	-1.72366666666667
CIDEB	-0.0955
CASP4	0.655
PDK3	0.0819
KCNJ11	1.3715
TPR	-1.331875
ZSCAN20	0.0345
MTX2	0.1235
HIST1H2BH	-0.26225
LOC283767	1.979
LYRM7	-0.764
BRD3	-0.996666666666667
HIST1H2BO	-0.7025
MAGEB10	0.284
SLC45A1	1.3085
SERPINA3	2.38015
KIAA0143	1.9775
KCNJ16	2.24766666666667
KRT79	0.18325
FABP2	-1.1075
NUT	-0.85375
ZNF57	0.03625
FBXL4	0.727875
CLEC9A	1.8245
UGT8	-1.43466666666667
BMP2K	-0.07625
MAPK4	-3.178
SLC25A23	-0.7003
HINT1	-0.2019
KRTAP13-1	0.5715
SFXN5	1.0433
CHCHD2	0.48275
FAM3D	1.961
NDP	2.734125
RHOBTB1	-0.294333333333333
SLC4A4	-1.27775
RPL38	-0.26725
HTF9C	-0.566
AP2A2	0.61225
ZBTB46	-1.054
MAP7D1	0.08725
AOX1	0.0676666666666667
CYR61	2.75833333333333
DTNA	-1.43761538461538
JRKL	0.32925
TMOD3	-0.33875
EEA1	0.1524
ADCK5	0.9115
IL1R1	2.43716666666667
KLK3	0.510285714285714
HRSP12	-0.68975
KTN1	-0.08875
LOH11CR2A	1.0722
RELL2	-1.0615
MAB21L1	2.81875
C20orf59	-1.048
PHKB	0.58375
ADAM2	-2.51166666666667
TBC1D8B	1.11783333333333
FAM13A1	-0.8118125
LAPTM4B	-0.356583333333333
LCN8	-0.0645
TMEM147	0.467
SYT4	-0.1874
XPO7	-0.983
C9orf62	0.8735
GPR75	0.1485
TRIM5	1.321
APOC1	-1.06033333333333
RNASE4	1.30166666666667
PARD6B	-0.1235
ARID1A	-0.04025
TPD52L3	0.334444444444444
RRAGB	0.627666666666667
RCN2	-0.675333333333333
HIST2H2BE	-0.1269375
STARD7	-0.5935
SHMT2	-0.8995
KIAA1751	-0.642
MLYCD	0.366875
LOC162632	-0.8134
UQCRH	-1.40025
RP11-217H1.1	0.372
SDHA	-0.849166666666667
NCLN	-0.3748
ZNF17	0.285666666666667
RCBTB2	-0.97075
VEGFB	0.0893
RP4-747L4.3	1.0245
COLQ	0.5218
MPN2	-0.319
DRG2	-0.1995
KLRB1	5.65825
ALPK2	-1.10925
DNASE2B	0.0315
FLJ23834	-0.929
AXUD1	1.638
SAFB	-0.2999
NSUN4	-0.06475
RFX2	0.250833333333333
MAPK8IP1	-1.21633333333333
FANCD2	-1.24457142857143
ANKZF1	-1.375
C19orf50	-0.46075
DUSP8	-0.25975
SENP5	-0.030625
NFKBIL2	-0.234
LBR	-0.349625
IGFL1	1.8775
LZTS2	0.351125
IL2RG	-1.161375
CCDC51	0.35475
KLF3	0.2035
ANKRD37	-1.11525
KCTD14	-0.321
FZR1	0.307166666666667
SLC44A4	3.4686
ESPL1	-1.28175
GMPR2	0.2716
TBC1D19	0.120333333333333
ERGIC1	0.146592592592593
ERBB4	3.0573
TSPAN32	0.371916666666667
MAP4	-0.16025
GPHN	-0.29175
SLC6A2	0.1195
HIVEP1	0.5675
DFFB	-0.0268
EIF4EBP2	0.329125
DMRT1	-1.5045
HSPB6	0.18975
IER2	1.137
AIFM1	-0.402
WWC2	0.335333333333333
MRPL4	-0.6465
FLJ21062	1.21616666666667
EPB41L4A	1.69025
SH2D6	0.247
TAF4B	-1.51875
GAL3ST3	-0.425
MALT1	-0.721166666666667
RTDR1	0.01625
ARVCF	-0.01575
MEX3B	-1.03766666666667
FBXO16	1.95275
KIF7	-0.4245
C1QC	4.058
ZNF783	-0.774666666666667
ZNF85	-0.63925
MMP13	3.303
KIAA0329	0.976
RTP3	-0.2305
ZBED3	0.6595
CLGN	-0.71925
SLC25A37	-1.55108333333333
hCG_18290	-0.053
OR5AS1	-0.1805
SMARCC2	0.188916666666667
FAM109A	-0.158333333333333
CCDC12	0.13325
USF2	0.1525
DEPDC7	-1.237
C20orf24	-0.925833333333333
JMJD3	0.3095
DSP	-1.14728571428571
SLIC1	0.5775
FAM20A	1.7425
IRF2BP2	-0.219125
ZNF230	0.1965
MSN	-0.607785714285714
SLC9A5	-1.59
EPDR1	-1.1606
MUSK	-0.121833333333333
ZNF434	0.00216666666666665
