Hybridization REF	TCGA-BH-A18U-11A-23R-A12D-07
ACF	-3.261
LOC158381	1.1545
CDH8	0.95525
AGPS	-0.972166666666667
C4orf18	3.73075
PECI	0.177833333333333
UNG	-1.111
GSTP1	-0.039625
DCUN1D5	-1.05333333333333
DKFZP564J0863	-1.262
SLC9A3R1	0.374375
BCDO2	1.024375
CHMP7	-0.518
REM2	0.769
DNHD1	-0.205
FKBP4	-1.489625
ZNF350	1.505
MGC11102	-0.44575
BST1	2.37525
KISS1R	-0.4505
NCR2	0.076
DEFB125	0.275
UBE2W	0.485625
KRT15	4.49425
C10orf99	0.235
SCN11A	0.897
GFI1	-1.97275
RDHE2	1.80483333333333
FHL1	2.39883333333333
OSGEP	0.296166666666667
GATA1	-3.63766666666667
SMC6	-1.829
TTTY14	-0.91025
LPIN3	0.3105
RPL4	0.1779
RBPMS	0.884
PRPF3	-0.6
EMR1	-1.726
SPATA19	0.4085
XCR1	0.3875
IRX3	2.0148
RBM6	-0.407
KLF4	1.9161
UNC5CL	-0.513
SEBOX	-0.026
BTK	-1.25375
KRCC1	2.114
C6orf27	0.529
SYTL5	-0.1075
PRND	1.86425
LOC653319	-0.912
PIGL	-1.017875
HUS1	-0.4055
SFRS6	0.4595
C17orf77	0.1755
UIMC1	0.0493333333333333
FXYD2	-1.35
LOC283152	0.7855
ZNF667	-0.17375
ZCCHC12	-0.1765
TFEC	2.258
ATP7B	-0.538166666666667
POLD2	-2.19516666666667
RG9MTD1	0.484
ACOT2	0.5515
HIST1H4I	-1.71425
PPARGC1A	-0.6964
ETFA	-1.0286
POLRMT	-1.0855
ZNF146	-0.67575
MIA2	-0.8475
KLHL6	-1.148
HOXB5	-0.255125
NENF	0.83
CUGBP1	-1.10675
PRSS22	1.29166666666667
CASC4	0.7925
CUL4B	0.0018
CENPJ	-1.8361
PITX1	-1.8725
FLJ31033	0.673666666666667
CELSR3	-2.49166666666667
ZNF568	1.7035
ITSN1	-0.454833333333333
EHBP1L1	-1.07116666666667
C19orf2	-0.44525
DCTN1	-0.84975
LIN28B	-4.63216666666667
TNKS2	-0.17625
C1QBP	-0.547
CADPS2	1.788
SRMS	-0.274
GJA9	0.0936666666666667
MGC24975	-0.7465
TRIM45	-0.203166666666667
TSP50	1.10825
TCP1	-1.1355
TMED7	0.2312
CMA1	2.3335
CENPL	-2.6
PTCRA	-0.3195
FST	-2.08425
VWCE	-2.39925
PAWR	-0.913
ABCC12	0.537166666666667
LDLR	-0.444
ASTN2	0.3491
LOC441212	-0.337125
GPATCH8	-0.17225
TANC2	-1.20658333333333
KIF4A	-3.841
C18orf18	0.209
PGM1	-0.2655
KIAA0258	0.854
CPD	0.665375
SNCAIP	0.78325
DCT	-4.14916666666667
HLA-DOA	2.18736363636364
OR11L1	0.122
UPK1B	0.059
DNAJB4	2.14
UGT1A8	0.22
HIST1H4L	-2.055
PECR	-0.774333333333333
HSPA2	1.89975
WFIKKN1	-2.2485
SERP1	1.1995
SYDE2	-0.16225
TACR2	0.3325
NUP85	-0.80725
CD177	-0.461666666666667
LGR5	-1.72166666666667
PIGG	-0.0381666666666667
PTHR1	-0.0686666666666667
RAB5A	0.4618
FLJ13224	0.135
USP9Y	-1.33466666666667
C7orf53	0.0235
LRP1B	1.68125
XAF1	1.624
ABCG8	-0.8385
ANKDD1A	0.490166666666667
DAND5	-1
SPAG6	3.08233333333333
LINCR	2.55175
ZDHHC22	-1.197875
CCDC60	0.773
THOC7	-0.717833333333333
TCTA	0.6473
OR8K3	0.18
NY-REN-7	-0.30725
B2M	1.46383333333333
C6orf141	-1.936125
LPPR4	2.39625
SQLE	-2.3055
SEPHS1	-0.952
BTBD14B	-0.323357142857143
PLRG1	0.48425
SPG7	-1.102625
ZNF614	0.262833333333333
PARD6G	1.54483333333333
INPP5B	-0.7431
GRPEL2	-0.507125
PPID	-0.724
TRIM56	-0.23125
UBE2J1	0.4235
IL20RA	6.4525
LOC387856	0.054
C1orf107	0.33825
UTS2R	-0.84375
C19orf22	-0.82425
SAFB2	-0.76375
KIAA0652	-0.57
KLRG1	-0.31
MS4A8B	0.364166666666667
FRAG1	0.4555
KIAA1546	0.52425
E2F4	-1.242
CLEC4M	0.270833333333333
BTBD14A	-1.369
KIAA0999	1.3859
GYPA	-3.5444
TAC1	4.299
TRAIP	-1.9965
KIAA0232	1.3791
ERCC8	-0.584625
GPX4	0.75225
KIAA0368	0.489875
GPR157	-0.887333333333333
CTAGE4	1.98
C9orf30	-1.1
OR52A1	0.242
HSP90B3P	-0.825
ALG9	0.0886
BTBD10	0.454
SDK2	-0.08425
BAIAP3	-0.40325
RABGGTB	-0.648375
ANKRD40	-0.211
KRT74	-0.172
CALCOCO2	0.710571428571429
SNCA	-0.78425
TMSL8	-2.742125
C2orf53	0.5335
ESRRB	-0.12025
ARHGAP26	-0.195625
TDRD9	-1.541
HRAS	-0.442333333333333
KLRC4	-1.1945
JAGN1	0.185833333333333
BSDC1	0.687
RNF43	-0.0436
NDUFAF1	0.43725
PHF12	0.0915
OR1L3	0.26025
FOLR2	2.51908333333333
LYZL6	0.417
tcag7.1260	-1.1775
WSB1	-0.1605
PROS1	1.3637
OSTN	0.3605
PSMB8	0.76025
SOCS4	0.50025
DDIT4L	3.26625
MAS1	-2.473
MGC34796	0.5375
CSHL1	0.3435
TBCCD1	0.112666666666667
ZBTB7C	-0.0765
AP2S1	-0.57625
P15RS	-0.0977
VAT1	-0.6326
SHANK3	1.30016666666667
TUFM	-1.5075
THEG	0.2765
KRT34	-1.1875
SGSM3	-0.407375
TOMM22	-1.083625
SOCS3	2.50366666666667
CPO	0.455
POP4	0.126
BHLHB3	2.8795
MALL	2.548
OR1B1	0.3005
PARK2	0.381
GPR124	1.504375
LCE1E	-0.156
RUVBL2	-1.6435
CGRRF1	1.5863
ACPL2	0.76175
WNT10B	-1.354375
BAIAP2L2	-2.110125
ISCA1	0.806
C1orf125	0.12075
RPAP1	-0.50425
RAI16	0.4425
RPL27	0.27725
NLRP9	-0.4775
EPN1	-0.112
LOC388610	0.306125
SLC35A1	1.3723
GAL	-4.02575
SLC14A2	0.22925
RDH11	-0.633333333333333
FAM138F	0.162
AUH	0.997
FLJ40243	0.10425
C14orf129	0.338666666666667
MBD2	-0.720333333333333
ABHD14B	0.101375
PIGT	-0.26975
ALS2CR4	0.892
ALAS1	-0.1015
FOXO1	2.43916666666667
CRLF3	0.019375
C20orf107	-0.269
FARS2	0.45375
CCDC28A	1.2895
NPHP3	0.34275
OR13F1	0.2405
TSEN54	-1.434
DEFB106B	-0.306555555555556
OR8B4	0.4315
STH	0.45
ZC3H14	-0.408875
CBX2	-0.281
TMEM49	-0.7515
C6orf21	0.5235
FLJ20920	0.546375
CRTAP	0.767071428571429
DDX50	0.35
STYXL1	-0.37725
BLVRB	0.178333333333333
LOC147650	0.416
MMP24	0.3205
GRID1	2.55116666666667
BANF1	-1.10016666666667
CTAGEP	0.567
HMBS	-2.193
SLC25A24	0.102833333333333
C14orf50	2.0875
MRO	1.24016666666667
SLC25A15	-0.796
FAM84B	0.9818
TDP1	-1.379
C16orf78	-0.2046
C11orf57	-0.255375
RFK	-0.621625
ZFYVE9	-0.515125
STCH	-0.6934
WIBG	-0.10275
LOC283871	-0.6835
GBA2	-0.5948
NDUFB3	0.3585
HSD17B13	1.36025
GRIN3A	2.92616666666667
FMNL1	-1.3945
SEPT7	-0.6878
GNLY	3.74
GRAMD1C	2.27133333333333
ZNF165	0.75575
USP38	0.52025
FAM83A	-3.74583333333333
C14orf24	0.627166666666667
ARMCX3	1.126125
ARHGDIB	0.803
AK1	0.070625
KIAA1045	1.60025
DNAJB13	-0.0992
NEU2	0.563
HIST1H4B	-1.83633333333333
FAM20B	-1.0333
HES2	0.0667142857142857
FAM73B	-0.6808
LOC388381	0.58125
INTS7	-1.18172727272727
AMPH	1.0435
ZNF775	-0.824125
UCKL1	-0.829
C10orf97	0.81725
C1orf161	-0.062
ALDH1L1	1.944
FLJ39378	0.03575
SLC23A1	-2.595
RBM4B	0.3405
THAP4	-0.263166666666667
OGFRL1	1.2225
KIAA0831	0.83325
PPP1R15A	0.98
C1orf96	-0.5045
C12orf11	-1.18325
BMF	-0.267375
MAN1A1	0.06075
KIAA1600	0.762333333333333
NLGN4X	1.80825
ALOX12	-0.707
RB1CC1	-0.2271
NEIL2	0.6044
EIF4E	0.239454545454545
ABHD5	0.0685
EXOC4	-0.722166666666667
CIP29	0.316166666666667
BATF2	0.584
SLC29A4	-0.107125
HTR4	0.48625
EMB	-0.72775
TRAF6	1.59325
LMNB1	-4.75825
FAM19A5	-0.6795
SHE	3.08225
PIK3C2B	1.68625
C15orf15	0.3914
USP15	0.515
TCEAL2	3.63775
C5orf39	0.109833333333333
PTGER2	0.13
SLC31A1	-1.1558125
IFT172	0.74575
ADAM29	0.09775
GFOD1	0.87175
ST7L	0.623
C15orf26	-2.17425
PKN3	-1.04775
CNTD1	3.20333333333333
COMMD1	0.529
NTRK2	4.86225
FOXN3	0.897125
MFGE8	0.9218
PFKFB2	0.769333333333333
TAS2R4	-0.18125
ENTHD1	-0.577166666666667
PRMT5	-1.414125
MGC16384	-0.916375
LOC442229	-0.28125
TSKU	0.337
KRTCAP3	2.694875
PDLIM1	1.7386
KCNS2	0.14275
RNF126	-0.431833333333333
CEP63	-0.320375
CLIC4	0.034375
hCG_1990170	4.14725
ACR	1.5045
KLK7	5.459
ALOX5AP	3.390625
RIPK3	3.21325
TAS2R9	-0.00899999999999999
C19orf18	2.217
BIRC6	0.124857142857143
ZNF16	0.358
RFT1	-0.609
SLC8A2	-0.489
TACC1	0.048125
ITGAD	0.27475
SAMHD1	1.39725
SH3PXD2B	0.7462
EPC2	1.01975
C20orf85	-0.127625
ATP13A2	-0.0665
KRT4	0.386
CAPNS1	-0.54375
MDM2	-0.952083333333333
PCDH20	1.4945
KCNK9	0.4145
OR2C1	0.633
KLHDC3	-1.29783333333333
IPPK	0.139
EFHD2	-0.701
GALR3	-0.8785
NBEA	0.983166666666667
ABCA6	4.5729
CLDN3	1.28533333333333
AKT2	-1.47414285714286
EGFR	1.3605
RBM16	0.612875
ZDHHC3	0.0248
SLC25A4	0.542333333333333
CYB5B	-0.559666666666667
CPXM1	-0.2715
NDRG1	-0.968692307692308
FLJ43826	0.2135
OR5L2	0.2142
FARP2	-0.0373
MRPL46	-0.258666666666667
LDHAL6B	0.0541666666666667
MAPKAPK3	-0.766666666666667
NCAM2	-1.31675
PRKD2	-0.422166666666667
ZFP36L1	1.942
CYSLTR1	-0.292
OR4C3	0.201
HIST1H2AJ	1.0675
CCNB2	-3.98888888888889
ZNF10	1.168125
TMEM175	0.3085
FAM134A	0.0928333333333334
TIGD4	0.0555
PCNP	0.365
MGC39715	1.37075
LQK1	-1.10225
CREB1	0.4606
TMPRSS3	0.3725
C4orf32	2.044
LAT	-1.68666666666667
KCNA3	-1.147
SKIV2L2	-0.6415
ROPN1B	3.49525
tcag7.23	0.6865
CDT1	-3.867875
ZHX2	1.12325
CD28	-2.56325
ZNF624	0.7255
SEPT2	-0.0905833333333333
SOHLH2	-0.462625
MCOLN3	0.622625
UNQ1945	-0.0395
MASP2	-0.9115
ZNRF3	-0.2101
GPATCH3	-0.73625
AGL	0.536875
QRICH2	-0.0685
PSD4	0.364833333333333
CCNB1IP1	-0.3945
ENPP7	0.41325
OBFC1	0.41225
KCNG3	-2.281
C14orf79	-0.463166666666667
ENPEP	1.9715
SCT	-0.2325
SKI	-0.079625
SEC61G	-1.00025
CAPN11	1.69025
ATXN7L3	-1.0265
DBNDD1	-1.399
FAIM	0.835
ANKRD36	-1.5185
GABRP	5.1305
TACSTD2	3.14866666666667
EIF3J	-0.42
PPP2R2A	-0.056
TEKT4	0.191833333333333
PVALB	-3.5105
F10	-0.473333333333333
FAM134C	0.5345
COMP	2.12825
EFCBP1	-0.1931875
SCLT1	-0.45525
TAL1	-0.0209
ACSL1	2.43875
ABCC5	-0.75475
ABL1	-0.792277777777778
RBBP7	0.108916666666667
PTPRG	-0.583625
NCOR1	-0.2499
SPINK4	-1.027
TXNRD1	-1.6968
TNRC15	-0.577375
C9orf138	0.892
UBE2H	-0.31
BRDT	0.154166666666667
C8orf31	-0.1805
CCNE2	-3.17827272727273
SLC6A8	-2.154
CALCR	-0.16225
PPP1CB	1.3345
ABHD8	-0.27725
ARF5	-0.1145
SLC24A4	0.9895
CCT3	-1.36525
ZNF121	0.371875
SLC3A2	-1.46
OR13A1	-0.067
SLC5A10	-0.05775
RAD50	-0.327875
IER5	-0.56325
MTHFD1L	-2.0505
MBTPS2	-0.604666666666667
MVK	-1.00025
NCL	-0.0066
PSMD10	-0.191
MOBP	0.222142857142857
FLJ32894	0.153
HRH1	-0.09
C5orf30	0.25125
NUDT16L1	-0.2283
RASGRP3	4.14883333333333
PRKRIP1	-0.9138
CCDC75	-0.37575
LOC253970	-0.0755
KIAA1239	0.1405
MED21	0.31075
SYT11	-0.4305
NTSR2	-0.405
EGFL11	0.7305
CXorf59	-0.185
OR2A25	0.092
SPTBN2	-1.27075
LRMP	0.00983333333333334
RNF111	0.4455
PTH	0.21
LOC619208	0.935333333333333
KIAA0895	0.515
RANBP5	-0.802
P2RY10	0.341666666666667
NME5	4.166
DDX21	-1.02
LRSAM1	-0.4715
HDAC11	-0.126333333333333
VMO1	1.9855
NOLA2	-0.326
ADAR	-0.7245
MTO1	-0.460666666666667
SF4	-0.487666666666667
P2RX1	0.384833333333333
HBM	1.59775
EN2	-0.8025
C14orf172	-0.3895
TM9SF2	0.5575
INHBE	-1.28666666666667
TCTE3	0.217583333333333
TOX2	-2.14625
CTAGE3	-0.44575
HBB	4.5782
MED15	-0.9345
CASR	0.1795
C6orf66	-0.1685
MTPN	-1.050625
UNC50	0.76275
C21orf33	0.53025
IRF2	1.15725
PGR	1.57766666666667
GPR84	1.441
CROCCL1	-2.026
SRPX	0.8115
BRE	0.002
FGF10	1.9715
SDC3	0.778333333333333
ZRSR1	-0.103166666666667
DKFZP434P211	-0.52475
SOX6	0.194
RPUSD2	-0.414
C14orf173	-0.34425
MAPK11	-0.269166666666667
TBC1D22A	-0.176
FAM123A	-0.551
COL4A6	-0.0263333333333333
TOMM70A	-0.06925
NAB1	0.89325
MGC16385	-0.012
TSPAN18	-0.825333333333333
MED31	0.5365
PLG	0.27825
CAPSL	0.9975
ZNF532	1.1503
ASB14	-0.15875
CA8	1.06175
NUDT16P	1.45733333333333
SLFN11	-0.347
LRRIQ2	-1.1275
NOL7	-0.511333333333333
BRMS1L	0.21825
JARID1A	-0.371
PANK2	-0.6415
ICAM3	-0.89275
MDS1	-0.25125
TAF8	-1.2795
RNF139	0.9895
ZNF594	0.6115
ADAM8	0.1965
SFTPC	-0.274875
MAN2B2	0.908875
RGS12	-0.0771875
EIF1AY	-4.35158333333333
LRRIQ1	0.9615
GPR150	-1.55
CCDC21	-1.9915
PRRG3	0.50575
SAA4	0.6755
RAPGEF5	0.783625
ZCCHC2	0.360416666666667
MGC39372	1.4745
PPP4R2	-0.561833333333333
CDCA2	-3.4475
OR4D5	0.194
PTGFRN	0.2122
SIGLEC5	1.35383333333333
C19orf61	-1.309
NMUR2	0.5125
KIAA1586	-0.868166666666667
DAGLA	0.716166666666667
CHCHD6	-0.08675
GPR32	0.4975
NEUROD6	0.110166666666667
SLC2A4RG	-0.333
CA5B	1.22075
FBXL3	1.928
MPHOSPH9	-2.555
HMG2L1	-0.11975
HCN4	-1.35616666666667
CEACAM19	0.87575
SH2D4B	0.176
HFE2	-0.4435
TGM4	0.531
LYPD2	0.31975
TBC1D15	0.39975
MRPS21	0.0144
NONO	-1.0056
CLEC5A	0.73775
ITCH	-0.0494
MGAT3	0.3985
MBP	0.7145
RPP25	-1.8105
SOSTDC1	4.42275
HRC	-0.32375
TRIM48	0.061
TMEM133	1.6275
ECEL1P2	-1.24925
HOXC11	-1.006
DOK5	0.64375
HELZ	0.2185
LOC348180	-1.266
MGC33894	0.09
ADRB3	0.087
DMD	1.57791666666667
PTRH2	-0.45075
MPEG1	2.92033333333333
NDUFA12	-0.0335
KRTAP2-4	-0.0371666666666667
STAMBPL1	-0.875
ADCY2	0.554
UNQ6125	0.346
KLHL20	-0.370833333333333
SRM	-1.41875
OTC	0.41175
TMIE	0.584
SNX8	-0.6455
LIPK	-0.497
CHURC1	0.48125
KLC2	0.122833333333333
HDAC1	-0.425
FAM128A	-0.375666666666667
FNDC3B	0.00230000000000001
MTCP1	0.027
WFDC10B	0.2657
PCDHGB3	0.243
ATRNL1	-0.4338
CAV2	2.508125
MED26	-0.147166666666667
DUS1L	-0.833
CHRM3	-1.670125
NEK9	-0.13775
WARS2	-0.3575
TBX22	0.559
TOMM40	-1.75725
RP6-213H19.1	-0.463166666666667
TUBGCP5	-0.2235
IGSF6	4.5165
TPPP	1.27033333333333
UNQ6190	-0.1165
GSTM5	1.758875
BTD	0.584166666666667
PDCD1LG2	1.02783333333333
SNRPB2	-0.0433333333333333
ERICH1	0.569125
APOA4	-1.33
HOXA11	-1.9405
NARG1	0.25975
MKX	0.70725
RAB28	0.767285714285714
PKP3	0.23675
SH3GL2	-1.4705
CTSO	3.683
RPN2	-0.2733125
IL28RA	0.944166666666667
SFMBT1	0.3165
WDR57	-0.424875
FER1L3	0.885833333333333
HSF5	0.574833333333333
TTC9B	-0.0635
C4BPA	0.0421666666666667
ALB	-2.25628571428571
SORBS3	0.87625
UPF2	-0.3655
JPH1	-0.3945
AGBL2	0.638
DOPEY1	1.9665
TERF1	0.0579166666666667
KIF22	-1.64416666666667
NINJ1	0.75025
SEC61A2	-1.03091666666667
HIST1H1D	-3.24183333333333
SFXN4	-0.204
UCP3	0.0796
ZNF703	0.148
MYL6B	-0.22225
TREM1	1.3965
OR52E6	0.3715
CKMT2	4.01675
HLA-C	1.485625
SLC13A3	-0.88
TIMP4	2.06525
SLIT2	3.54175
RSF1	-0.264388888888889
LONRF1	0.357642857142857
MON1A	-0.0005
CACNG6	-2.11116666666667
DPPA4	-5.519
ZSWIM3	-0.221
ZNF804A	-0.245
CCIN	1.5005
SLC25A31	-0.14875
KCNMB4	0.01425
RABL5	0.746375
GALNS	-0.8221
STX6	-1.026875
HIST1H1C	-2.74483333333333
CIDEB	0.515625
CASP4	1.12766666666667
PDK3	-0.3702
KCNJ11	0.1305
TPR	-0.832125
ZSCAN20	-0.492
MTX2	-0.3655
HIST1H2BH	-1.6285
LOC283767	3.114
LYRM7	-0.611555555555556
BRD3	-1.48233333333333
HIST1H2BO	-1.701
MAGEB10	-0.2755
SLC45A1	-0.048
SERPINA3	1.81125
KIAA0143	1.0905
KCNJ16	5.30333333333333
KRT79	-0.154
FABP2	-1.2105
NUT	-0.21375
ZNF57	-0.083
FBXL4	0.305625
CLEC9A	1.795
UGT8	0.856833333333333
BMP2K	0.418
MAPK4	-0.885
SLC25A23	-0.7464
HINT1	-0.2779
KRTAP13-1	0.2445
SFXN5	-0.3138
CHCHD2	-0.233916666666667
FAM3D	4.1625
NDP	-0.977375
RHOBTB1	-0.829
SLC4A4	0.458125
RPL38	0.34825
HTF9C	-0.739166666666667
AP2A2	0.17575
ZBTB46	-0.4255
MAP7D1	-0.065625
AOX1	0.6575
CYR61	3.27816666666667
DTNA	-0.120785714285714
JRKL	0.97725
TMOD3	-0.88475
EEA1	0.0544
ADCK5	-0.93975
IL1R1	2.61133333333333
KLK3	1.32778571428571
HRSP12	-0.261
KTN1	0.119
LOH11CR2A	1.3337
RELL2	-1.78375
MAB21L1	2.315
C20orf59	-0.7805
PHKB	0.4125
ADAM2	-2.40533333333333
TBC1D8B	1.5945
FAM13A1	0.8290625
LAPTM4B	-0.802166666666667
LCN8	0.1345
TMEM147	-0.0025
SYT4	0.598333333333333
XPO7	-1.447
C9orf62	-2.12725
GPR75	0.911
TRIM5	0.169625
APOC1	-1.33233333333333
RNASE4	2.72633333333333
PARD6B	-1.591375
ARID1A	0.0593333333333333
TPD52L3	0.190555555555556
RRAGB	1.31733333333333
RCN2	-0.477666666666667
HIST2H2BE	-1.021875
STARD7	-0.57925
SHMT2	-2.1295
KIAA1751	0.137
MLYCD	0.194875
LOC162632	-0.5173
UQCRH	-1.528
RP11-217H1.1	-0.0765625
SDHA	-1.89716666666667
NCLN	-1.1111
ZNF17	0.9405
RCBTB2	-0.0265
VEGFB	-0.2087
RP4-747L4.3	0.906
COLQ	0.0311
MPN2	-0.131
DRG2	-0.2945
KLRB1	5.636
ALPK2	-3.23
DNASE2B	0.9275
FLJ23834	0.621
AXUD1	2.5245
SAFB	-0.9503
NSUN4	-0.423
RFX2	1.417
MAPK8IP1	-0.388
FANCD2	-1.28192857142857
ANKZF1	-1.53333333333333
C19orf50	-0.523875
DUSP8	1.684875
SENP5	-0.637125
NFKBIL2	-1.192
LBR	-0.934625
IGFL1	0.352
LZTS2	-0.174625
IL2RG	-0.76525
CCDC51	-0.79575
KLF3	0.486875
ANKRD37	1.16725
KCTD14	2.374
FZR1	-0.457583333333333
SLC44A4	1.2736
ESPL1	-1.593625
GMPR2	0.0279
TBC1D19	-0.193333333333333
ERGIC1	-0.455185185185185
ERBB4	2.4664
TSPAN32	0.110916666666667
MAP4	-0.67975
GPHN	-0.2685
SLC6A2	1.76
HIVEP1	0.70325
DFFB	-0.5079
EIF4EBP2	0.463375
DMRT1	-0.05125
HSPB6	1.4215
IER2	1.20766666666667
AIFM1	-0.90725
WWC2	0.448333333333333
MRPL4	-0.925
FLJ21062	2.26383333333333
EPB41L4A	1.54933333333333
SH2D6	0.18075
TAF4B	-0.656
GAL3ST3	0.0425
MALT1	-0.3525
RTDR1	0.63125
ARVCF	0.043
MEX3B	-0.880666666666667
FBXO16	1.203
KIF7	-1.267
C1QC	4.20233333333333
ZNF783	-0.560333333333333
ZNF85	0.09275
MMP13	-0.355
KIAA0329	1.17175
RTP3	-0.1805
ZBED3	0.1325
CLGN	-2.23475
SLC25A37	-0.551291666666667
hCG_18290	0.757
OR5AS1	-0.021
SMARCC2	-0.0956666666666667
FAM109A	-0.391666666666667
CCDC12	0.000499999999999999
USF2	-0.3099
DEPDC7	-2.109
C20orf24	-1.14333333333333
JMJD3	0.1535
DSP	1.29107142857143
SLIC1	-0.073
FAM20A	1.634
IRF2BP2	0.554375
ZNF230	0.285
MSN	-0.186714285714286
SLC9A5	-1.4685
EPDR1	0.0628
MUSK	0.175833333333333
ZNF434	0.119333333333333
SMARCD1	-0.453166666666667
ZFP106	0.9505
ZNF347	0.4727
