Hybridization REF	TCGA-C8-A133-01A-32R-A12D-07
SLC29A4	-0.38875
HTR4	0.2185
EMB	1.49425
TRAF6	0.2575
LMNB1	-5.10875
FAM19A5	-0.747375
SHE	0.8025
PIK3C2B	-0.37925
C15orf15	-0.2166
USP15	-0.6109
TCEAL2	-0.4975
C5orf39	-2.1925
PTGER2	-3.634
SLC31A1	-0.38425
IFT172	0.45025
ADAM29	0.38625
GFOD1	-0.94975
ST7L	0.872833333333333
C15orf26	-2.976
PKN3	-1.013
CNTD1	2.08866666666667
COMMD1	0.566125
NTRK2	1.728
FOXN3	-1.348125
MFGE8	-1.9094
PFKFB2	0.250333333333333
TAS2R4	-1.33425
ENTHD1	-0.317666666666667
PRMT5	-0.75
MGC16384	-2.35542857142857
LOC442229	-0.8075
TSKU	1.7055
KRTCAP3	-3.310875
PDLIM1	-0.559
KCNS2	-0.581
RNF126	0.045
CEP63	0.347
CLIC4	-1.19475
hCG_1990170	-1.795
ACR	0.6609
KLK7	0.396666666666667
ALOX5AP	2.106375
RIPK3	1.096
TAS2R9	0.7115
C19orf18	0.3275
BIRC6	-0.121285714285714
ZNF16	1.1605
RFT1	-0.635
SLC8A2	-0.2365
TACC1	-1.499875
ITGAD	1.451
SAMHD1	0.32275
SH3PXD2B	-0.0313
EPC2	1.4035
C20orf85	4.97575
ATP13A2	1.531
KRT4	0.05025
CAPNS1	0.60075
MDM2	1.447
PCDH20	0.891
KCNK9	1.007
OR2C1	0.0255
KLHDC3	0.109833333333333
IPPK	0.395
EFHD2	-0.46
GALR3	2.1385
NBEA	2.29833333333333
ABCA6	0.345
CLDN3	1.33816666666667
AKT2	-0.359428571428572
EGFR	-3.8987
RBM16	0.123875
ZDHHC3	-0.2109
SLC25A4	0.9955
CYB5B	-1.26866666666667
CPXM1	-2.08825
NDRG1	-2.416
FLJ43826	0.48725
OR5L2	0.0196666666666667
FARP2	0.5561
MRPL46	-0.12975
LDHAL6B	0.199166666666667
MAPKAPK3	0.844833333333333
NCAM2	-3.70475
PRKD2	0.342166666666667
ZFP36L1	0.0272
CYSLTR1	0.805
OR4C3	0.1085
HIST1H2AJ	1.764
CCNB2	-3.28666666666667
ZNF10	-0.289125
TMEM175	1.1205
FAM134A	1.52733333333333
TIGD4	-1.012
PCNP	-0.09575
MGC39715	-0.3565
LQK1	-1.064
CREB1	-0.1732
TMPRSS3	-1.67575
C4orf32	-0.524875
LAT	-3.14
KCNA3	0.2225
SKIV2L2	-0.86875
ROPN1B	-1.37075
tcag7.23	-0.2765
CDT1	-3.178875
ZHX2	-0.10825
CD28	-1.98075
ZNF624	1.30725
SEPT2	-0.113666666666667
SOHLH2	-2.3875
MCOLN3	-0.816
UNQ1945	0.6725
MASP2	0.1615
ZNRF3	1.6459
GPATCH3	0.13225
AGL	0.64375
QRICH2	0.514
PSD4	1.87316666666667
CCNB1IP1	-2.08475
ENPP7	-0.1965
OBFC1	0.892
KCNG3	-1.329
C14orf79	1.45841666666667
ENPEP	0.587333333333333
SCT	0.987
SKI	1.202
SEC61G	-1.271
CAPN11	-0.154333333333333
ATXN7L3	-0.218
DBNDD1	0.0271666666666667
FAIM	0.91325
ANKRD36	-1.4005
GABRP	0.1415
TACSTD2	1.5375
EIF3J	-0.22825
PPP2R2A	-0.8515
TEKT4	0.4565
PVALB	3.064
F10	-3.02133333333333
FAM134C	1.4517
COMP	3.635375
EFCBP1	-4.0343125
SCLT1	0.749625
TAL1	-1.3939
ACSL1	1.90175
ABCC5	-0.59275
ABL1	-0.391944444444444
RBBP7	-0.0284166666666667
PTPRG	-1.95775
NCOR1	-0.0526
SPINK4	3.76733333333333
TXNRD1	-0.9703
TNRC15	1.312375
C9orf138	0.88175
UBE2H	0.582333333333333
BRDT	1.10616666666667
C8orf31	0.07475
CCNE2	-2.61627272727273
SLC6A8	0.035375
CALCR	-4.08225
PPP1CB	0.174583333333333
ABHD8	1.1345
ARF5	0.0967
SLC24A4	0.10125
CCT3	-0.37025
ZNF121	0.189
SLC3A2	-1.3453
OR13A1	1.0265
SLC5A10	1.6325
RAD50	0.18225
IER5	0.0395
MTHFD1L	-2.713625
MBTPS2	0.68925
MVK	-0.178125
NCL	-0.2595
PSMD10	-0.7675
MOBP	0.49925
FLJ32894	0.383
HRH1	-2.2065
C5orf30	1.0495
NUDT16L1	1.2951
RASGRP3	2.0675
PRKRIP1	-0.4896
CCDC75	1.93725
LOC253970	0.20625
KIAA1239	-0.445
MED21	-0.393
SYT11	-0.79475
NTSR2	0.24
EGFL11	0.412
CXorf59	0.983
OR2A25	0.994
SPTBN2	-2.1735
LRMP	-1.2762
RNF111	-0.2555
PTH	0.232
LOC619208	1.348
KIAA0895	1.35325
RANBP5	-0.74525
P2RY10	-1.59416666666667
NME5	4.983
DDX21	-1.1965
LRSAM1	0.5165
HDAC11	2.10966666666667
VMO1	2.53575
NOLA2	-0.00633333333333334
ADAR	1.64283333333333
MTO1	-1.1175
SF4	0.4615
P2RX1	-0.178333333333333
HBM	0.44375
EN2	2.2255
C14orf172	0.1115
TM9SF2	0.984
INHBE	-0.463666666666667
TCTE3	0.25325
TOX2	-3.972
CTAGE3	2.02375
HBB	4.8462
MED15	-1.08666666666667
CASR	0.19375
C6orf66	-1.07783333333333
MTPN	-0.254
UNC50	-0.366
C21orf33	1.0085
IRF2	0.79875
PGR	2.585
GPR84	1.78575
CROCCL1	-3.939
SRPX	-3.92525
BRE	0.701
FGF10	3.7755
SDC3	0.310333333333333
ZRSR1	0.692333333333333
DKFZP434P211	-1.01514285714286
SOX6	0.202
RPUSD2	-0.34875
C14orf173	0.14475
MAPK11	0.250666666666667
TBC1D22A	1.2555
FAM123A	0.066
COL4A6	-4.135
TOMM70A	0.5455
NAB1	0.569625
MGC16385	0.31325
TSPAN18	-0.8295
MED31	-0.11025
PLG	-0.048
CAPSL	5.036
ZNF532	-0.7878
ASB14	0.757666666666667
CA8	-0.17125
NUDT16P	-1.20066666666667
SLFN11	-3.714
LRRIQ2	0.13425
NOL7	0.138
BRMS1L	-0.739625
JARID1A	0.120833333333333
PANK2	-0.40475
ICAM3	-0.6145
MDS1	-2.226
TAF8	0.25625
RNF139	0.93875
ZNF594	-0.024
ADAM8	-1.7585
SFTPC	0.190625
MAN2B2	1.875625
RGS12	0.64675
EIF1AY	-3.54266666666667
LRRIQ1	0.326833333333333
GPR150	2.396
CCDC21	-1.3775
PRRG3	0.35825
SAA4	-4.201
RAPGEF5	1.225875
ZCCHC2	-0.38225
MGC39372	-2.124
PPP4R2	-0.207166666666667
CDCA2	-2.2625
OR4D5	0.36
PTGFRN	0.0377
SIGLEC5	2.148
C19orf61	-0.195333333333333
NMUR2	0.0545
KIAA1586	-0.2105
DAGLA	-0.246333333333333
CHCHD6	0.41675
GPR32	-0.276
NEUROD6	-0.0482
SLC2A4RG	0.1533125
CA5B	-1.0445
FBXL3	0.96925
MPHOSPH9	-1.20275
HMG2L1	0.418
HCN4	1.6394
CEACAM19	0.019
SH2D4B	0.199833333333333
HFE2	-0.3035
TGM4	0.95
LYPD2	-0.21975
TBC1D15	0.748
MRPS21	0.1021
NONO	-0.8487
CLEC5A	0.059125
ITCH	0.2901
MGAT3	-1.84333333333333
MBP	0.04175
RPP25	-0.06725
SOSTDC1	-3.066
HRC	-1.99575
TRIM48	0.578
TMEM133	0.2745
ECEL1P2	-0.8325
HOXC11	0.589
DOK5	-2.2415
HELZ	-0.611333333333333
LOC348180	-0.21125
MGC33894	0.41325
ADRB3	0.1775
DMD	-0.621583333333333
PTRH2	-0.41575
MPEG1	2.28066666666667
NDUFA12	0.058
KRTAP2-4	0.09775
STAMBPL1	-1.9125
ADCY2	-1.253
UNQ6125	-0.146
KLHL20	-0.752333333333333
SRM	-0.698
OTC	0.088
TMIE	-0.8815
SNX8	-0.6075
LIPK	-0.405
CHURC1	0.400833333333333
KLC2	0.579333333333333
HDAC1	-1.53083333333333
FAM128A	1.507
FNDC3B	-0.2507
MTCP1	-0.591833333333333
WFDC10B	-0.3004
PCDHGB3	0.445
ATRNL1	-2.37855555555556
CAV2	-2.5575
MED26	-0.254333333333333
DUS1L	1.06225
CHRM3	-1.469125
NEK9	0.75525
WARS2	0.53975
TBX22	-0.693
TOMM40	-0.645
RP6-213H19.1	-1.555
TUBGCP5	-0.1795
IGSF6	5.28275
TPPP	2.66816666666667
UNQ6190	-1.019
GSTM5	0.197428571428571
BTD	0.211666666666667
PDCD1LG2	-0.5084
SNRPB2	-1.326
ERICH1	-0.927
APOA4	-1.589125
HOXA11	-0.411333333333333
NARG1	-0.62825
MKX	-1.50533333333333
RAB28	-0.349142857142857
PKP3	1.675
SH3GL2	0.231
CTSO	2.74875
RPN2	1.3065
IL28RA	-0.558666666666667
SFMBT1	-0.164
WDR57	-1.48225
FER1L3	1.70175
HSF5	0.7985
TTC9B	1.2995
C4BPA	-1.86966666666667
ALB	-4.14525
SORBS3	-0.0405
UPF2	-0.6325
JPH1	0.5655
AGBL2	-0.5265
DOPEY1	1.927
TERF1	-0.42975
KIF22	-0.997666666666666
NINJ1	1.2925
SEC61A2	-0.54025
HIST1H1D	-0.126666666666667
SFXN4	0.510625
UCP3	0.0106
ZNF703	0.517166666666667
MYL6B	0.364
TREM1	1.012
OR52E6	-0.1465
CKMT2	0.78925
HLA-C	4.090375
SLC13A3	-2.271
TIMP4	0.94575
SLIT2	-1.21725
RSF1	0.294944444444444
LONRF1	-0.968071428571429
MON1A	0.458666666666667
CACNG6	-1.07116666666667
DPPA4	-4.9725
ZSWIM3	0.51925
ZNF804A	0.2894
CCIN	0.700333333333333
SLC25A31	0.77675
KCNMB4	-2.96525
RABL5	0.970375
GALNS	0.2944
STX6	0.766875
HIST1H1C	0.427166666666667
CIDEB	-0.05225
CASP4	-1.45966666666667
PDK3	-0.0483
KCNJ11	1.4015
TPR	-0.76575
ZSCAN20	-1.144
MTX2	0.544
HIST1H2BH	1.6235
LOC283767	-0.85925
LYRM7	-1.05344444444444
BRD3	-0.138833333333333
HIST1H2BO	1.09025
MAGEB10	0.598
SLC45A1	2.87375
SERPINA3	2.66445
KIAA0143	1.0615
KCNJ16	-0.585
KRT79	-1.0685
FABP2	-0.0635000000000001
NUT	0.284666666666667
ZNF57	-0.46575
FBXL4	0.891625
CLEC9A	0.7555
UGT8	-1.5595
BMP2K	-0.423
MAPK4	1.209
SLC25A23	0.7939
HINT1	-1.3781
KRTAP13-1	0.299
SFXN5	2.0558
CHCHD2	0.377833333333333
FAM3D	1.548
NDP	-2.882625
RHOBTB1	-0.9485
SLC4A4	-1.98185714285714
RPL38	0.0855
HTF9C	0.217333333333333
AP2A2	0.943
ZBTB46	-0.767
MAP7D1	-0.193125
AOX1	-3.398
CYR61	-0.70575
DTNA	-0.371928571428571
JRKL	0.10625
TMOD3	-1.15875
EEA1	0.0241
ADCK5	-0.2345
IL1R1	-2.28516666666667
KLK3	0.782785714285714
HRSP12	-0.452
KTN1	0.42475
LOH11CR2A	1.1353
RELL2	-0.7445
MAB21L1	0.393
C20orf59	-0.436833333333333
PHKB	0.8175
ADAM2	-1.32133333333333
TBC1D8B	2.57633333333333
FAM13A1	-0.7670625
LAPTM4B	-1.10525
LCN8	0.029
TMEM147	1.15
SYT4	0.8562
XPO7	-0.941
C9orf62	2.3995
GPR75	0.477
TRIM5	-0.00471428571428572
APOC1	-1.06983333333333
RNASE4	1.3055
PARD6B	-1.528375
ARID1A	-0.204583333333333
TPD52L3	0.050875
RRAGB	1.82766666666667
RCN2	-0.907833333333333
HIST2H2BE	1.80975
STARD7	-0.039
SHMT2	-1.45825
KIAA1751	0.067
MLYCD	1.4975
LOC162632	-1.0665
UQCRH	-0.7785
RP11-217H1.1	1.376125
SDHA	-0.776666666666667
NCLN	0.0319
ZNF17	0.693
RCBTB2	-1.85175
VEGFB	-0.21
RP4-747L4.3	-1.3475
COLQ	-0.5784
MPN2	-1.14366666666667
DRG2	-0.33625
KLRB1	1.826
ALPK2	-3.7425
DNASE2B	5.9755
FLJ23834	5.14866666666667
AXUD1	1.27733333333333
SAFB	0.1849
NSUN4	-0.34925
RFX2	-0.365166666666667
MAPK8IP1	1.49433333333333
FANCD2	-2.0715
ANKZF1	-1.35216666666667
C19orf50	-0.75075
DUSP8	2.46975
SENP5	-0.841125
NFKBIL2	0.54525
LBR	-2.931125
IGFL1	1.138
LZTS2	0.59275
IL2RG	-1.7835
CCDC51	0.3225
KLF3	0.128375
ANKRD37	0.20225
KCTD14	-2.78016666666667
FZR1	0.964583333333333
SLC44A4	5.0117
ESPL1	-1.354625
GMPR2	0.0909
TBC1D19	0.00966666666666668
ERGIC1	1.72740740740741
ERBB4	4.5739
TSPAN32	-0.2255
MAP4	-0.43525
GPHN	0.62075
SLC6A2	-0.302625
HIVEP1	-0.4715
DFFB	-0.3573
EIF4EBP2	0.257
DMRT1	0.03925
HSPB6	0.675
IER2	-0.549
AIFM1	0.645
WWC2	-0.49675
MRPL4	-0.28775
FLJ21062	0.74
EPB41L4A	2.02716666666667
SH2D6	0.4285
TAF4B	-1.49325
GAL3ST3	-0.3305
MALT1	-1.57333333333333
RTDR1	2.36225
ARVCF	-0.08575
MEX3B	-0.904833333333333
FBXO16	1.419
KIF7	-2.47325
C1QC	4.91183333333333
ZNF783	-0.4495
ZNF85	0.046
MMP13	-0.6245
KIAA0329	0.574875
RTP3	null
ZBED3	-0.329
CLGN	-1.609
SLC25A37	-1.60779166666667
hCG_18290	-0.10425
OR5AS1	0.295
SMARCC2	0.800166666666667
FAM109A	0.2835
CCDC12	-0.37325
USF2	1.8825
DEPDC7	-4.27375
C20orf24	-1.10033333333333
JMJD3	-1.1965
DSP	-0.508
SLIC1	0.191875
FAM20A	-1.263875
IRF2BP2	-0.183875
ZNF230	-0.1905
MSN	-1.96521428571429
SLC9A5	-1.7815
EPDR1	-0.9076
MUSK	-0.217
ZNF434	0.349166666666667
SMARCD1	-0.470333333333333
ZFP106	0.33175
ZNF347	-0.781
