Hybridization REF	TCGA-BH-A0AU-11A-11R-A12P-07
BAIAP3	0.42475
RABGGTB	-0.80775
ANKRD40	-0.425666666666667
KRT74	0.248
CALCOCO2	0.474642857142857
SNCA	-1.72
TMSL8	-2.39975
C2orf53	0.426
ESRRB	-0.30975
ARHGAP26	-0.186375
TDRD9	-2.2675
HRAS	0.0526666666666667
KLRC4	-1.34
JAGN1	-0.199
BSDC1	0.58325
RNF43	0.2437
NDUFAF1	0.29325
PHF12	0.255
OR1L3	-0.2125
FOLR2	1.04508333333333
LYZL6	0.00183333333333333
tcag7.1260	-1.5545
WSB1	-0.5595
PROS1	0.0582
OSTN	-0.022
PSMB8	0.46375
SOCS4	-0.516
DDIT4L	2.1595
MAS1	0.366
MGC34796	0.375
CSHL1	0.458833333333333
TBCCD1	-0.00683333333333333
ZBTB7C	0.3055
AP2S1	-0.974625
P15RS	-0.6764
VAT1	-0.6607
SHANK3	1.21283333333333
TUFM	-0.6025
THEG	1.077
KRT34	-1.0605
SGSM3	0.694875
TOMM22	-0.495
SOCS3	0.366
CPO	1.1555
POP4	-0.2005
BHLHB3	2.51575
MALL	1.301
OR1B1	0.396
PARK2	0.426666666666667
GPR124	1.249875
LCE1E	-0.4365
RUVBL2	-0.5565
CGRRF1	0.5703
ACPL2	0.23025
WNT10B	-1.113125
BAIAP2L2	-1.643
ISCA1	0.421
C1orf125	0.52475
RPAP1	-0.808
RAI16	0.716
RPL27	0.32325
NLRP9	0.153
EPN1	-0.1485
LOC388610	-0.037625
SLC35A1	1.3621
GAL	-3.731
SLC14A2	0.33375
RDH11	-1.01516666666667
FAM138F	0.0675
AUH	0.94275
FLJ40243	0.11975
C14orf129	-0.341666666666667
MBD2	-1.02516666666667
ABHD14B	0.6095
PIGT	-0.73425
ALS2CR4	0.54575
ALAS1	-0.2509
FOXO1	1.66566666666667
CRLF3	-0.607375
C20orf107	0.0435
FARS2	0.67975
CCDC28A	1.64175
NPHP3	0.5825
OR13F1	0.6725
TSEN54	-0.69775
DEFB106B	-0.246222222222222
OR8B4	0.237
STH	0.92875
ZC3H14	-0.459125
CBX2	-0.084
TMEM49	-2.09275
C6orf21	0.3795
FLJ20920	0.9595
CRTAP	-0.159571428571429
DDX50	0.15475
STYXL1	-0.013
BLVRB	-0.288166666666667
LOC147650	0.539333333333333
MMP24	0.0455
GRID1	1.87133333333333
BANF1	-0.673333333333333
CTAGEP	-0.03275
HMBS	-2.648
SLC25A24	-0.511166666666667
C14orf50	0.88125
MRO	-0.136333333333333
SLC25A15	-1.019
FAM84B	0.7673
TDP1	-1.5415
C16orf78	0.3175
C11orf57	-0.145125
RFK	-1.047375
ZFYVE9	-0.19625
STCH	-1.4455
WIBG	-0.22325
LOC283871	-1.04433333333333
GBA2	-0.192
NDUFB3	-0.1265
HSD17B13	0.3785
GRIN3A	1.19683333333333
FMNL1	-1.19116666666667
SEPT7	-0.945
GNLY	2.4645
GRAMD1C	3.33683333333333
ZNF165	-0.0505
USP38	-0.4735
FAM83A	-3.2865
C14orf24	-0.0801666666666667
ARMCX3	1.049125
ARHGDIB	0.347833333333333
AK1	-0.398875
KIAA1045	0.8375
DNAJB13	-0.0161666666666667
NEU2	0.489
HIST1H4B	-1.30783333333333
FAM20B	-1.3293
HES2	-0.116428571428571
FAM73B	-0.1746
LOC388381	0.19125
INTS7	-1.23445454545455
AMPH	0.52775
ZNF775	0.735
UCKL1	-0.258833333333333
C10orf97	-0.1255
C1orf161	0.05625
ALDH1L1	1.168
FLJ39378	-0.267375
SLC23A1	-1.3635
RBM4B	0.304
THAP4	0.00666666666666667
OGFRL1	1.20375
KIAA0831	0.689875
PPP1R15A	0.0375
C1orf96	-0.494785714285714
C12orf11	-1.57425
BMF	0.411125
MAN1A1	-2.091
KIAA1600	0.495166666666667
NLGN4X	0.8225
ALOX12	-0.9315
RB1CC1	-0.0607
NEIL2	0.5965
EIF4E	-0.196863636363636
ABHD5	-0.28825
EXOC4	0.0153333333333333
CIP29	-0.197
BATF2	0.5215
SLC29A4	-0.341375
HTR4	0.34975
EMB	-1.8965
TRAF6	0.5555
LMNB1	-4.71125
FAM19A5	-1.387
SHE	2.13125
PIK3C2B	1.282
C15orf15	0.5121
USP15	-0.0547
TCEAL2	2.38625
C5orf39	0.177833333333333
PTGER2	0.05425
SLC31A1	-1.2065625
IFT172	0.89975
ADAM29	0.4315
GFOD1	0.8135
ST7L	0.0836666666666667
C15orf26	-2.285
PKN3	-0.54025
CNTD1	1.66933333333333
COMMD1	0.396375
NTRK2	3.99458333333333
FOXN3	0.693125
MFGE8	1.7825
PFKFB2	0.382333333333333
TAS2R4	-0.0347500000000001
ENTHD1	-1.54166666666667
PRMT5	-0.60075
MGC16384	-0.641
LOC442229	-0.97875
TSKU	-0.036125
KRTCAP3	2.65425
PDLIM1	1.3384
KCNS2	-0.3505
RNF126	-0.6235
CEP63	-0.41025
CLIC4	-0.55725
hCG_1990170	5.05825
ACR	0.6084
KLK7	3.261
ALOX5AP	2.24225
RIPK3	3.111
TAS2R9	0.408
C19orf18	1.6075
BIRC6	0.0343571428571429
ZNF16	0.895
RFT1	-1.164
SLC8A2	0.375
TACC1	-0.01575
ITGAD	0.9155
SAMHD1	-0.33125
SH3PXD2B	0.573
EPC2	1.622
C20orf85	0.299875
ATP13A2	-0.1365
KRT4	0.542
CAPNS1	-0.10675
MDM2	-0.7375
PCDH20	2.38675
KCNK9	0.215
OR2C1	0.649
KLHDC3	-0.173666666666667
IPPK	-0.514
EFHD2	-1.1775
GALR3	1.75225
NBEA	0.7125
ABCA6	3.8303
CLDN3	1.13866666666667
AKT2	-0.683142857142857
EGFR	0.5061
RBM16	0.373625
ZDHHC3	-0.3435
SLC25A4	0.0293333333333333
CYB5B	-1.03216666666667
CPXM1	0.80975
NDRG1	-0.563384615384615
FLJ43826	0.18875
OR5L2	0.037
FARP2	0.1544
MRPL46	-0.115083333333333
LDHAL6B	0.473
MAPKAPK3	-0.715166666666667
NCAM2	-1.9305
PRKD2	0.697333333333333
ZFP36L1	1.5277
CYSLTR1	-1.11225
OR4C3	0.248
HIST1H2AJ	0.8635
CCNB2	-4.17833333333333
ZNF10	0.998
TMEM175	1.081
FAM134A	0.968
TIGD4	0.175
PCNP	0.41825
MGC39715	1.17093834628434e-17
LQK1	-3.14
CREB1	-0.284
TMPRSS3	0.9375
C4orf32	1.481125
LAT	-0.839666666666667
KCNA3	-1.2
SKIV2L2	-0.718
ROPN1B	4.198
tcag7.23	0.5585
CDT1	-3.363875
ZHX2	0.987375
CD28	-3.412
ZNF624	1.08425
SEPT2	-0.469666666666667
SOHLH2	-0.664
MCOLN3	-0.36075
UNQ1945	0.2465
MASP2	0.499
ZNRF3	0.0876
GPATCH3	0.04325
AGL	0.59325
QRICH2	-0.1315
PSD4	0.829166666666667
CCNB1IP1	-0.23975
ENPP7	0.24325
OBFC1	-0.066
KCNG3	-2.0975
C14orf79	0.787333333333334
ENPEP	0.451833333333333
SCT	0.3865
SKI	0.338375
SEC61G	-1.1205
CAPN11	1.1545
ATXN7L3	-0.60625
DBNDD1	-1.0385
FAIM	0.4
ANKRD36	-1.0125
GABRP	5.0015
TACSTD2	1.87433333333333
EIF3J	-0.3975
PPP2R2A	-0.71775
TEKT4	-0.330833333333333
PVALB	-3.27633333333333
F10	-1.31816666666667
FAM134C	0.5947
COMP	0.66325
EFCBP1	-1.029125
SCLT1	-0.32425
TAL1	-1.1425
ACSL1	0.89725
ABCC5	-0.288333333333333
ABL1	-0.5025
RBBP7	-0.366166666666667
PTPRG	-0.6445
NCOR1	-0.0678
SPINK4	-1.646
TXNRD1	-1.905
TNRC15	-0.503
C9orf138	0.40725
UBE2H	-0.420833333333333
BRDT	0.0845
C8orf31	-0.21775
CCNE2	-4.11790909090909
SLC6A8	-1.715625
CALCR	-0.9855
PPP1CB	1.52533333333333
ABHD8	0.0705
ARF5	0.1439
SLC24A4	0.22775
CCT3	-0.90725
ZNF121	-0.58475
SLC3A2	-1.0316
OR13A1	0.119
SLC5A10	-0.15725
RAD50	-0.46425
IER5	0.976625
MTHFD1L	-2.820375
MBTPS2	-0.581
MVK	-0.533
NCL	-0.7819
PSMD10	-0.639
MOBP	0.53175
FLJ32894	0.1875
HRH1	-1.2535
C5orf30	-0.276
NUDT16L1	0.2726
RASGRP3	2.7025
PRKRIP1	-0.7122
CCDC75	-0.5715
LOC253970	0.4145
KIAA1239	0.642
MED21	-0.502
SYT11	-0.69575
NTSR2	-0.0925
EGFL11	0.3765
CXorf59	-1.096
OR2A25	0.40375
SPTBN2	-0.381
LRMP	-0.622166666666667
RNF111	0.3085
PTH	0.452
LOC619208	0.400166666666667
KIAA0895	0.4635
RANBP5	-0.82675
P2RY10	0.391166666666667
NME5	3.4225
DDX21	-1.09775
LRSAM1	0.054
HDAC11	0.635833333333333
VMO1	0.66525
NOLA2	-0.578
ADAR	-0.0511666666666667
MTO1	-0.908666666666667
SF4	0.444666666666667
P2RX1	1.01716666666667
HBM	0.244
EN2	1.9395
C14orf172	0.12925
TM9SF2	0.5421
INHBE	-0.901666666666667
TCTE3	0.327
TOX2	-3.10175
CTAGE3	-0.722625
HBB	3.6517
MED15	-0.652666666666667
CASR	0.883
C6orf66	-0.821
MTPN	-1.1345
UNC50	0.24225
C21orf33	0.728375
IRF2	1.0885
PGR	1.7125
GPR84	0.4785
CROCCL1	-0.335
SRPX	-0.036
BRE	-0.281166666666667
FGF10	3.483
SDC3	-0.710666666666667
ZRSR1	0.495833333333333
DKFZP434P211	0.386875
SOX6	0.18
RPUSD2	-0.0375
C14orf173	-0.549333333333333
MAPK11	-0.204666666666667
TBC1D22A	0.3885
FAM123A	-0.343
COL4A6	-0.496166666666667
TOMM70A	-0.03375
NAB1	-0.0351249999999999
MGC16385	-0.033375
TSPAN18	-1.08166666666667
MED31	0.03675
PLG	-0.062
CAPSL	0.506
ZNF532	0.6393
ASB14	0.257
CA8	1.21875
NUDT16P	0.9735
SLFN11	-1.291
LRRIQ2	-1.432875
NOL7	-0.487833333333333
BRMS1L	-0.441
JARID1A	-0.182833333333333
PANK2	-0.46925
ICAM3	-0.28
MDS1	-0.13175
TAF8	-0.61175
RNF139	0.578
ZNF594	0.678333333333333
ADAM8	0.2565
SFTPC	-0.02675
MAN2B2	0.668
RGS12	0.4601875
EIF1AY	-4.133
LRRIQ1	0.285333333333333
GPR150	2.29875
CCDC21	-1.51916666666667
PRRG3	0.68975
SAA4	-2.085
RAPGEF5	1.49725
ZCCHC2	0.0855833333333333
MGC39372	0.5935
PPP4R2	-0.639
CDCA2	-3.494
OR4D5	0.1265
PTGFRN	-0.2646
SIGLEC5	0.232833333333333
C19orf61	-0.0595
NMUR2	0.0575
KIAA1586	-1.001
DAGLA	0.4865
CHCHD6	0.0455
GPR32	0.4895
NEUROD6	0.034
SLC2A4RG	-0.284
CA5B	0.19675
FBXL3	1.9345
MPHOSPH9	-2.31875
HMG2L1	-0.04675
HCN4	1.25466666666667
CEACAM19	0.69475
SH2D4B	-0.00683333333333334
HFE2	-0.469
TGM4	0.322333333333333
LYPD2	-0.05175
TBC1D15	0.2525
MRPS21	-0.1578
NONO	-0.6317
CLEC5A	-0.46775
ITCH	-0.3359
MGAT3	0.326833333333333
MBP	0.473625
RPP25	-0.589
SOSTDC1	3.63525
HRC	-0.6335
TRIM48	0.2245
TMEM133	0.4695
ECEL1P2	-1.274
HOXC11	-0.5725
DOK5	-0.21925
HELZ	0.1365
LOC348180	-0.42075
MGC33894	0.0045
ADRB3	0.044
DMD	1.59866666666667
PTRH2	-0.6575
MPEG1	2.158
NDUFA12	-0.181666666666667
KRTAP2-4	0.167416666666667
STAMBPL1	-1.1655
ADCY2	0.122833333333333
UNQ6125	0.3045
KLHL20	-0.340833333333333
SRM	-1.28075
OTC	0.0735
TMIE	1.18816666666667
SNX8	-0.28125
LIPK	0.2195
CHURC1	-0.434833333333333
KLC2	0.300833333333333
HDAC1	-0.536666666666667
FAM128A	-0.298
FNDC3B	-0.8614
MTCP1	-0.8125
WFDC10B	0.0528
PCDHGB3	-0.1245
ATRNL1	-1.9264
CAV2	1.070625
MED26	-0.112
DUS1L	0.2075
CHRM3	-0.3325
NEK9	-0.1765
WARS2	-0.32575
TBX22	-0.1635
TOMM40	-1.5035
RP6-213H19.1	-0.920166666666667
TUBGCP5	-0.5005
IGSF6	3.22875
TPPP	0.145333333333333
UNQ6190	0.106
GSTM5	1.5865
BTD	0.3295
PDCD1LG2	0.263166666666667
SNRPB2	-0.309
ERICH1	0.07775
APOA4	-0.449857142857143
HOXA11	-2.41666666666667
NARG1	-0.38525
MKX	0.62575
RAB28	-0.218571428571429
PKP3	0.70675
SH3GL2	-2.26125
CTSO	2.67675
RPN2	-0.5023125
IL28RA	0.799
SFMBT1	0.0435
WDR57	-0.68225
FER1L3	0.642416666666667
HSF5	0.405
TTC9B	0.25775
C4BPA	-2.09766666666667
ALB	-4.29792307692308
SORBS3	0.154125
UPF2	0.049
JPH1	-0.185
AGBL2	0.2665
DOPEY1	1.8145
TERF1	-0.286083333333333
KIF22	-1.16066666666667
NINJ1	0.68
SEC61A2	-0.920583333333333
HIST1H1D	-2.16283333333333
SFXN4	-0.270875
UCP3	0.2661
ZNF703	0.9945
MYL6B	-0.16925
TREM1	-0.37325
OR52E6	0.3265
CKMT2	3.1965
HLA-C	1.674625
SLC13A3	-1.0925
TIMP4	1.246
SLIT2	2.341
RSF1	-0.345666666666667
LONRF1	-0.495428571428571
MON1A	-0.6065
CACNG6	-0.988666666666667
DPPA4	-5.145
ZSWIM3	0.0175
ZNF804A	-0.518166666666667
CCIN	0.8495
SLC25A31	1.768
KCNMB4	-0.515
RABL5	0.049
GALNS	-0.328
STX6	-0.78675
HIST1H1C	-3.168
CIDEB	0.1555
CASP4	0.927
PDK3	-0.999
KCNJ11	0.2225
TPR	-0.654375
ZSCAN20	-0.36
MTX2	-0.1255
HIST1H2BH	-0.946
LOC283767	2.602
LYRM7	-0.685888888888889
BRD3	-0.302166666666667
HIST1H2BO	-1.11975
MAGEB10	0.047
SLC45A1	0.03225
SERPINA3	1.30095
KIAA0143	0.79675
KCNJ16	2.83866666666667
KRT79	-0.15825
FABP2	-1.22225
NUT	-0.3975
ZNF57	0.113
FBXL4	0.19825
CLEC9A	0.795
UGT8	0.390666666666667
BMP2K	-0.81075
MAPK4	-1.0975
SLC25A23	-0.632
HINT1	-0.5139
KRTAP13-1	-0.4135
SFXN5	-0.4526
CHCHD2	-0.77225
FAM3D	3.9
NDP	-1.203875
RHOBTB1	-1.21833333333333
SLC4A4	-0.60075
RPL38	0.633
HTF9C	0.538833333333333
AP2A2	0.317
ZBTB46	-0.3275
MAP7D1	0.21975
AOX1	-0.5695
CYR61	1.22941666666667
DTNA	-0.382357142857143
JRKL	0.90525
TMOD3	-1.07725
EEA1	-0.5014
ADCK5	-0.4635
IL1R1	1.3085
KLK3	1.16392857142857
HRSP12	-0.633
KTN1	-0.101
LOH11CR2A	0.6969
RELL2	-1.25
MAB21L1	2.7305
C20orf59	-0.6195
PHKB	-0.00025
ADAM2	-1.457
TBC1D8B	1.02866666666667
FAM13A1	0.4789375
LAPTM4B	-1.16391666666667
LCN8	-0.076
TMEM147	0.035
SYT4	0.9975
XPO7	-1.143
C9orf62	2.3835
GPR75	0.6185
TRIM5	-0.023125
APOC1	-1.62366666666667
RNASE4	1.70733333333333
PARD6B	-0.638
ARID1A	-0.157333333333333
TPD52L3	0.0981
RRAGB	0.6445
RCN2	-1.07033333333333
HIST2H2BE	-0.3650625
STARD7	-0.30375
SHMT2	-1.189
KIAA1751	1.16266666666667
MLYCD	0.79225
LOC162632	-0.2327
UQCRH	-1.1115
RP11-217H1.1	-0.1996875
SDHA	-1.0175
NCLN	-1.1014
ZNF17	0.692666666666667
RCBTB2	0.3015
VEGFB	-0.5624
RP4-747L4.3	1.15875
COLQ	0.2052
MPN2	-0.240166666666667
DRG2	0.06175
KLRB1	5.0985
ALPK2	-2.9415
DNASE2B	0.29275
FLJ23834	0.452166666666667
AXUD1	0.260166666666667
SAFB	-0.6485
NSUN4	-0.5625
RFX2	0.888333333333333
MAPK8IP1	-0.317166666666667
FANCD2	-1.42521428571429
ANKZF1	-0.487166666666667
C19orf50	-0.59775
DUSP8	0.738
SENP5	-1.34175
NFKBIL2	-0.97325
LBR	-1.294625
IGFL1	0.104
LZTS2	0.187375
IL2RG	-0.630375
CCDC51	-0.79575
KLF3	0.318
ANKRD37	-0.87275
KCTD14	1.7325
FZR1	-0.12475
SLC44A4	1.303
ESPL1	-1.337
GMPR2	-0.1694
TBC1D19	-0.8515
ERGIC1	-0.625888888888889
ERBB4	2.5639
TSPAN32	0.671083333333333
MAP4	-0.78475
GPHN	-0.611
SLC6A2	1.35525
HIVEP1	-0.23175
DFFB	-0.1964
EIF4EBP2	0.350625
DMRT1	-0.3045
HSPB6	0.398
IER2	1.16633333333333
AIFM1	-0.984
WWC2	-0.462916666666667
MRPL4	-0.766
FLJ21062	1.63533333333333
EPB41L4A	1.35725
SH2D6	0.0815
TAF4B	0.3705
GAL3ST3	-0.23
MALT1	-1.18916666666667
RTDR1	-0.216
ARVCF	0.598625
MEX3B	0.0755
FBXO16	0.30525
KIF7	-0.70525
C1QC	3.09983333333333
ZNF783	-0.0511666666666666
ZNF85	-0.001
MMP13	-2.3
KIAA0329	1.1655
RTP3	-0.97
ZBED3	-0.18225
CLGN	-2.091
SLC25A37	-0.328083333333333
hCG_18290	0.74675
OR5AS1	-0.096
SMARCC2	0.69475
FAM109A	-0.064
CCDC12	0.02775
USF2	0.2088
DEPDC7	-2.92225
C20orf24	-1.47266666666667
JMJD3	-0.0015
DSP	0.819214285714286
SLIC1	-0.0515
FAM20A	1.091125
IRF2BP2	0.10025
ZNF230	0.385
MSN	-0.9375
SLC9A5	-1.071
EPDR1	-1.0837
MUSK	0.142166666666667
ZNF434	0.164
SMARCD1	-0.495
ZFP106	0.55125
