Hybridization REF	TCGA-AR-A1AR-01A-31R-A137-07
KRT15	-2.197125
C10orf99	0.3015
SCN11A	0.298875
GFI1	-1.12375
RDHE2	-1.61166666666667
FHL1	0.121
OSGEP	0.0766666666666667
GATA1	-3.633
SMC6	-0.06375
TTTY14	-1.57275
LPIN3	-0.90525
RPL4	-0.2691
RBPMS	-0.8757
PRPF3	0.355
EMR1	-1.4715
SPATA19	-0.04775
XCR1	0.1335
IRX3	1.7575
RBM6	-0.603
KLF4	-1.1176
UNC5CL	-1.34325
SEBOX	0.503
BTK	0.81075
KRCC1	1.593
C6orf27	0.21
SYTL5	-1.4875
PRND	3.246625
LOC653319	-1.7925
PIGL	-1.6775
HUS1	1.01783333333333
SFRS6	0.960583333333333
C17orf77	0.1015
UIMC1	-0.637666666666667
FXYD2	-1.4728
LOC283152	0.52675
ZNF667	-0.50825
ZCCHC12	-1.4895
TFEC	5.887
ATP7B	-1.84666666666667
POLD2	0.0573333333333333
RG9MTD1	0.564
ACOT2	-1.18566666666667
HIST1H4I	-1.26125
PPARGC1A	-0.7463
ETFA	-1.7921
POLRMT	0.21275
ZNF146	0.180125
MIA2	-3.66
KLHL6	0.519166666666667
HOXB5	-1.584625
NENF	1.23783333333333
CUGBP1	0.81375
PRSS22	1.74983333333333
CASC4	0.7626
CUL4B	0.1785
CENPJ	-1.3682
PITX1	-0.2135
FLJ31033	0.9185
CELSR3	0.527333333333333
ZNF568	0.86875
ITSN1	-0.695666666666667
EHBP1L1	0.119666666666667
C19orf2	-0.49275
DCTN1	0.094
LIN28B	-4.455
TNKS2	-0.0565
C1QBP	-0.54725
CADPS2	3.19075
SRMS	-0.21825
GJA9	0.516333333333333
MGC24975	-0.535666666666667
TRIM45	-0.613
TSP50	0.227
TCP1	-0.484
TMED7	-0.0522
CMA1	1.6195
CENPL	-0.220333333333333
PTCRA	0.6655
FST	-4.35825
VWCE	-3.67425
PAWR	-2.74675
ABCC12	-0.343166666666667
LDLR	-1.2742
ASTN2	-0.3765
LOC441212	0.22575
GPATCH8	0.03275
TANC2	-1.72458333333333
KIF4A	-0.5395
C18orf18	-1.73775
PGM1	0.0655
KIAA0258	0.6365
CPD	-0.4885
SNCAIP	2.91725
DCT	-4.559
HLA-DOA	3.58018181818182
OR11L1	0.5905
UPK1B	-0.592
DNAJB4	0.335625
UGT1A8	-0.837
HIST1H4L	-1.7495
PECR	-0.7865
HSPA2	0.1045
WFIKKN1	-2.683
SERP1	0.491
SYDE2	-1.60825
TACR2	0.584
NUP85	-0.68725
CD177	-1.01333333333333
LGR5	-3.3018
PIGG	-1.07191666666667
PTHR1	-0.616666666666667
RAB5A	0.5481
FLJ13224	-0.525
USP9Y	-2.63616666666667
C7orf53	-0.118
LRP1B	-0.6255
XAF1	2.1035
ABCG8	-0.001
ANKDD1A	-0.325
DAND5	-1.0235
SPAG6	-0.151
LINCR	1.50575
ZDHHC22	-2.06025
CCDC60	-0.2095
THOC7	-0.53
TCTA	0.8465
OR8K3	0.1045
NY-REN-7	-0.43825
B2M	2.3055
C6orf141	-3.549
LPPR4	2.16675
SQLE	-1.565
SEPHS1	0.67075
BTBD14B	0.825571428571429
PLRG1	-0.434
SPG7	-0.7444375
ZNF614	0.2985
PARD6G	0.465166666666667
INPP5B	0.2356
GRPEL2	0.097125
PPID	-0.4991
TRIM56	-0.099
UBE2J1	0.60025
IL20RA	0.42175
LOC387856	-0.021
C1orf107	0.89375
UTS2R	1.064
C19orf22	0.03925
SAFB2	-0.733625
KIAA0652	0.11925
KLRG1	0.563333333333333
MS4A8B	-1.35516666666667
FRAG1	0.61425
KIAA1546	0.86775
E2F4	-0.7678
CLEC4M	0.266666666666667
BTBD14A	0.35675
KIAA0999	0.9878
GYPA	-3.95516666666667
TAC1	0.0076
TRAIP	-0.338833333333333
KIAA0232	-0.3381
ERCC8	-1.141125
GPX4	0.495
KIAA0368	-0.0675
GPR157	0.0473333333333333
CTAGE4	2.463
C9orf30	0.0453333333333333
OR52A1	0.4585
HSP90B3P	-0.6165
ALG9	-0.2048
BTBD10	0.51275
SDK2	-0.248
BAIAP3	-1.97875
RABGGTB	-0.985875
ANKRD40	0.0148333333333333
KRT74	0.0545
CALCOCO2	-0.364785714285714
SNCA	-2.40675
TMSL8	-1.189875
C2orf53	-0.416
ESRRB	-0.61825
ARHGAP26	-0.364375
TDRD9	-3.0495
HRAS	0.488
KLRC4	-1.2755
JAGN1	-0.016
BSDC1	0.1555
RNF43	-1.3848
NDUFAF1	-0.09125
PHF12	0.2455
OR1L3	0.23125
FOLR2	3.4235
LYZL6	0.208333333333333
tcag7.1260	-1.416
WSB1	-1.376
PROS1	-0.3644
OSTN	0.384
PSMB8	1.17725
SOCS4	-0.70475
DDIT4L	2.552
MAS1	0.301
MGC34796	0.8305
CSHL1	0.515833333333333
TBCCD1	0.3765
ZBTB7C	0.299
AP2S1	0.14175
P15RS	0.5265
VAT1	-0.9493
SHANK3	1.08083333333333
TUFM	-0.277333333333333
THEG	-0.1235
KRT34	-2.39225
SGSM3	-0.135875
TOMM22	-0.52
SOCS3	2.05616666666667
CPO	-0.2025
POP4	0.16225
BHLHB3	0.4885
MALL	1.853
OR1B1	0.512
PARK2	0.267
GPR124	0.35875
LCE1E	1.659
RUVBL2	-0.325
CGRRF1	-0.1861
ACPL2	-0.303
WNT10B	-1.64725
BAIAP2L2	-1.449
ISCA1	0.3155
C1orf125	-0.23925
RPAP1	-0.88875
RAI16	-0.257
RPL27	-0.243125
NLRP9	0.6
EPN1	0.589
LOC388610	-0.448875
SLC35A1	0.3589
GAL	-1.24425
SLC14A2	0.77525
RDH11	-0.603333333333333
FAM138F	0.0095
AUH	0.1195
FLJ40243	0.3805
C14orf129	0.445166666666667
MBD2	-0.680333333333333
ABHD14B	-0.15225
PIGT	-0.871
ALS2CR4	0.064125
ALAS1	0.7212
FOXO1	0.869166666666667
CRLF3	0.219
C20orf107	-0.252
FARS2	0.6525
CCDC28A	0.4215
NPHP3	-1.08875
OR13F1	0.238
TSEN54	-0.58875
DEFB106B	-0.4126
OR8B4	0.4245
STH	-1.5005
ZC3H14	0.0365
CBX2	0.3695
TMEM49	-1.85275
C6orf21	0.618
FLJ20920	-0.680375
CRTAP	0.117285714285714
DDX50	0.29875
STYXL1	0.24075
BLVRB	-0.536333333333333
LOC147650	0.458
MMP24	-0.2075
GRID1	2.27883333333333
BANF1	-0.623666666666667
CTAGEP	0.60775
HMBS	-1.471
SLC25A24	0.841666666666667
C14orf50	-0.12075
MRO	3.46266666666667
SLC25A15	-0.996
FAM84B	-0.023
TDP1	0.619
C16orf78	-0.1576
C11orf57	0.27625
RFK	-0.35725
ZFYVE9	-0.634375
STCH	-0.4513
WIBG	-0.27675
LOC283871	-0.353
GBA2	-0.0308
NDUFB3	0.44275
HSD17B13	-0.049
GRIN3A	1.78633333333333
FMNL1	0.521333333333333
SEPT7	-0.3069
GNLY	4.924
GRAMD1C	0.547333333333333
ZNF165	1.178
USP38	0.95425
FAM83A	-2.98283333333333
C14orf24	-0.218833333333333
ARMCX3	0.870125
ARHGDIB	0.927
AK1	1.10175
KIAA1045	-0.7895
DNAJB13	-0.42
NEU2	0.5285
HIST1H4B	-1.0135
FAM20B	0.0293
HES2	1.11328571428571
FAM73B	-0.22
LOC388381	0.591
INTS7	0.255090909090909
AMPH	0.10075
ZNF775	0.059
UCKL1	-0.774
C10orf97	0.84075
C1orf161	-0.63
ALDH1L1	0.4615
FLJ39378	-0.59025
SLC23A1	-3.2055
RBM4B	-0.33425
THAP4	0.253666666666667
OGFRL1	1.49475
KIAA0831	0.05325
PPP1R15A	0.367666666666667
C1orf96	1.01321428571429
C12orf11	-1.33625
BMF	0.344375
MAN1A1	0.244625
KIAA1600	0.293833333333333
NLGN4X	-0.5545
ALOX12	-1.4275
RB1CC1	-0.0319
NEIL2	0.4371
EIF4E	0.648227272727273
ABHD5	0.506
EXOC4	0.262166666666667
CIP29	-0.426166666666667
BATF2	1.656
SLC29A4	-0.1625
HTR4	0.13
EMB	0.591
TRAF6	1.38175
LMNB1	-3.07775
FAM19A5	-1.04925
SHE	2.43425
PIK3C2B	0.77775
C15orf15	-0.7773
USP15	-0.1212
TCEAL2	-0.34475
C5orf39	0.5335
PTGER2	0.05125
SLC31A1	-0.5454375
IFT172	0.34575
ADAM29	-0.569
GFOD1	0.7995
ST7L	0.2935
C15orf26	-3.885
PKN3	-0.43125
CNTD1	-0.695166666666667
COMMD1	0.568875
NTRK2	2.97391666666667
FOXN3	0.5135
MFGE8	1.7859
PFKFB2	0.830333333333333
TAS2R4	-0.4645
ENTHD1	2.43433333333333
PRMT5	-1.09375
MGC16384	-1.4675
LOC442229	0.74825
TSKU	-0.811
KRTCAP3	3.084875
PDLIM1	0.0164
KCNS2	0.539
RNF126	0.137
CEP63	-0.391375
CLIC4	0.4225
hCG_1990170	-0.4775
ACR	0.2419
KLK7	2.58625
ALOX5AP	4.314875
RIPK3	3.879
TAS2R9	0.2955
C19orf18	1.691
BIRC6	0.1015
ZNF16	0.706
RFT1	-0.2035
SLC8A2	-1.18275
TACC1	-0.47125
ITGAD	2.971
SAMHD1	2.49675
SH3PXD2B	1.0538
EPC2	1.00275
C20orf85	-0.043375
ATP13A2	0.8935
KRT4	0.14825
CAPNS1	-0.089
MDM2	-1.03258333333333
PCDH20	4.06
KCNK9	0.5535
OR2C1	-0.2145
KLHDC3	0.00833333333333333
IPPK	0.5495
EFHD2	0.961
GALR3	1.1145
NBEA	-1.96583333333333
ABCA6	3.9692
CLDN3	-1.98683333333333
AKT2	-0.867285714285714
EGFR	1.0004
RBM16	0.38225
ZDHHC3	0.1528
SLC25A4	-2.43333333333333
CYB5B	-1.41833333333333
CPXM1	1.28025
NDRG1	-1.03569230769231
FLJ43826	-0.24275
OR5L2	-0.0671666666666666
FARP2	0.8172
MRPL46	-0.673166666666667
LDHAL6B	-0.3138
MAPKAPK3	0.602666666666667
NCAM2	-2.1325
PRKD2	0.791833333333333
ZFP36L1	1.8419
CYSLTR1	-0.04625
OR4C3	0.47225
HIST1H2AJ	0.184
CCNB2	-0.753
ZNF10	-0.422625
TMEM175	0.3315
FAM134A	0.761
TIGD4	0.048
PCNP	-0.26225
MGC39715	0.083
LQK1	-1.9355
CREB1	0.5492
TMPRSS3	2.17725
C4orf32	2.104375
LAT	-0.296916666666667
KCNA3	-0.7665
SKIV2L2	-0.951
ROPN1B	-3.6205
tcag7.23	0.2845
CDT1	-2.144875
ZHX2	0.264625
CD28	-1.19
ZNF624	0.6435
SEPT2	0.707083333333333
SOHLH2	-0.675125
MCOLN3	-0.581125
UNQ1945	0.5595
MASP2	-1.3865
ZNRF3	-0.9387
GPATCH3	-0.13725
AGL	1.52925
QRICH2	-0.136
PSD4	0.546833333333333
CCNB1IP1	-1.058
ENPP7	-0.177
OBFC1	-0.653
KCNG3	-2.31825
C14orf79	-0.45125
ENPEP	1.919
SCT	1.9535
SKI	0.801
SEC61G	0.4755
CAPN11	0.3725
ATXN7L3	-0.42575
DBNDD1	-0.936666666666667
FAIM	0.72625
ANKRD36	-1.446
GABRP	4.966
TACSTD2	2.067
EIF3J	-0.157
PPP2R2A	-0.94025
TEKT4	0.718333333333333
PVALB	-3.9745
F10	-2.76933333333333
FAM134C	0.4876
COMP	4.07
EFCBP1	-2.508125
SCLT1	0.655
TAL1	-1.255
ACSL1	1.25425
ABCC5	0.134666666666667
ABL1	-0.268888888888889
RBBP7	-0.237666666666667
PTPRG	-0.223125
NCOR1	-0.569
SPINK4	-2.6015
TXNRD1	-0.9497
TNRC15	-0.376875
C9orf138	0.86375
UBE2H	0.686333333333333
BRDT	0.348166666666667
C8orf31	-0.01475
CCNE2	-1.10981818181818
SLC6A8	-1.404875
CALCR	-4.1855
PPP1CB	1.12533333333333
ABHD8	0.22275
ARF5	0.6256
SLC24A4	2.4665
CCT3	0.06225
ZNF121	1.302625
SLC3A2	-1.2973
OR13A1	0.5405
SLC5A10	-0.299
RAD50	-0.847
IER5	1.482125
MTHFD1L	-1.238375
MBTPS2	0.8105
MVK	-1.188
NCL	0.4526
PSMD10	-0.07225
MOBP	0.5055
FLJ32894	2.782
HRH1	0.153
C5orf30	2.9855
NUDT16L1	-0.2993
RASGRP3	4.92033333333333
PRKRIP1	0.0378
CCDC75	-0.78
LOC253970	0.1545
KIAA1239	3.7535
MED21	-0.22275
SYT11	1.01541666666667
NTSR2	0.3135
EGFL11	0.6535
CXorf59	2.352
OR2A25	0.391
SPTBN2	0.4465
LRMP	-0.0413333333333333
RNF111	0.07975
PTH	-0.029
LOC619208	-0.3175
KIAA0895	0.72475
RANBP5	-1.10625
P2RY10	2.2635
NME5	1.8115
DDX21	0.318
LRSAM1	-0.0255
HDAC11	0.0971666666666667
VMO1	3.108
NOLA2	-0.4335
ADAR	1.31433333333333
MTO1	-0.8435
SF4	0.661833333333333
P2RX1	0.137166666666667
HBM	0.146
EN2	0.9785
C14orf172	0.80525
TM9SF2	0.3096
INHBE	-1.53433333333333
TCTE3	0.882333333333333
TOX2	-2.8195
CTAGE3	-0.47525
HBB	4.1559
MED15	-0.5065
CASR	0.26275
C6orf66	0.459
MTPN	-0.39625
UNC50	0.14525
C21orf33	0.779
IRF2	1.295
PGR	-2.88983333333333
GPR84	4.30875
CROCCL1	-1.4245
SRPX	-0.1965
BRE	-0.1315
FGF10	0.70125
SDC3	-0.0231666666666667
ZRSR1	0.102
DKFZP434P211	-0.791125
SOX6	0.6345
RPUSD2	-0.333
C14orf173	0.327833333333333
MAPK11	-0.465166666666667
TBC1D22A	0.223
FAM123A	-0.9835
COL4A6	-3.89466666666667
TOMM70A	0.218
NAB1	0.4765
MGC16385	-0.90475
TSPAN18	-1.36433333333333
MED31	0.00225
PLG	-0.9955
CAPSL	0.1565
ZNF532	1.5787
ASB14	0.04575
CA8	-1.58225
NUDT16P	1.35816666666667
SLFN11	0.312
LRRIQ2	0.0165
NOL7	-0.2785
BRMS1L	-0.036375
JARID1A	-0.522166666666667
PANK2	-0.79625
ICAM3	-0.60075
MDS1	-1.14375
TAF8	-1.04375
RNF139	0.36175
ZNF594	-0.232833333333333
ADAM8	3.842125
SFTPC	-0.679375
MAN2B2	0.313125
RGS12	-0.321625
EIF1AY	-5.2195
LRRIQ1	-2.93933333333333
GPR150	1.19775
CCDC21	-0.478833333333333
PRRG3	-0.361
SAA4	-1.2255
RAPGEF5	1.94875
ZCCHC2	0.13075
MGC39372	2.415
PPP4R2	0.667666666666667
CDCA2	-0.820166666666667
OR4D5	0.393666666666667
PTGFRN	2.4307
SIGLEC5	3.15516666666667
C19orf61	0.214
NMUR2	0.5915
KIAA1586	0.1295
DAGLA	-0.154833333333333
CHCHD6	-0.3005
GPR32	1.1355
NEUROD6	0.2935
SLC2A4RG	-0.7340625
CA5B	-0.39275
FBXL3	0.67
MPHOSPH9	-1.116
HMG2L1	-0.246
HCN4	0.202
CEACAM19	1.35025
SH2D4B	0.512833333333333
HFE2	-1.2295
TGM4	-0.402833333333333
LYPD2	0.6275
TBC1D15	-0.12125
MRPS21	0.2046
NONO	-0.5079
CLEC5A	3.72528571428571
ITCH	-0.6153
MGAT3	-0.258333333333333
MBP	0.390875
RPP25	0.09075
SOSTDC1	-1.09125
HRC	-2.154
TRIM48	0.4525
TMEM133	0.03075
ECEL1P2	-1.3465
HOXC11	-0.89
DOK5	0.51275
HELZ	-0.263333333333333
LOC348180	-0.46525
MGC33894	0.5245
ADRB3	0.185
DMD	0.0211666666666667
PTRH2	-0.64025
MPEG1	4.516
NDUFA12	-0.375166666666667
KRTAP2-4	0.310916666666667
STAMBPL1	-1.11816666666667
ADCY2	-1.73933333333333
UNQ6125	0.18
KLHL20	-0.931
SRM	0.062
OTC	0.19175
TMIE	0.131333333333333
SNX8	0.8795
LIPK	0.784
CHURC1	-1.0785
KLC2	0.519333333333333
HDAC1	-0.494333333333333
FAM128A	-0.222
FNDC3B	1.7535
MTCP1	-0.249
WFDC10B	0.0917
PCDHGB3	-0.469
ATRNL1	-4.372
CAV2	-0.239375
MED26	0.262
DUS1L	-0.09
CHRM3	-2.796625
NEK9	0.23925
WARS2	0.523
TBX22	-1.178
TOMM40	-0.6255
RP6-213H19.1	-0.233333333333333
TUBGCP5	0.10825
IGSF6	5.6115
TPPP	0.071
UNQ6190	-0.4935
GSTM5	0.696625
BTD	-0.0931666666666667
PDCD1LG2	1.55066666666667
SNRPB2	-0.395666666666667
ERICH1	0.28025
APOA4	-1.541
HOXA11	-2.478
NARG1	0.778
MKX	-0.878
RAB28	-0.538142857142857
PKP3	1.72725
SH3GL2	0.20725
CTSO	2.717
RPN2	-0.258125
IL28RA	-0.8205
SFMBT1	1.07725
WDR57	0.22125
FER1L3	0.113
HSF5	0.1972
TTC9B	-0.27175
C4BPA	-4.81433333333333
ALB	-4.99307142857143
SORBS3	0.352625
UPF2	0.509
JPH1	-0.336
AGBL2	-1.448
DOPEY1	1.7155
TERF1	-0.0344166666666667
KIF22	-0.404333333333333
NINJ1	0.816
SEC61A2	-0.09575
HIST1H1D	-1.35466666666667
SFXN4	-0.089625
UCP3	0.7109
ZNF703	0.241833333333333
MYL6B	-1.15425
TREM1	3.194
OR52E6	0.7025
CKMT2	2.001
HLA-C	2.726125
SLC13A3	-1.29133333333333
TIMP4	0.762
SLIT2	1.706
RSF1	-0.282277777777778
LONRF1	-1.01771428571429
MON1A	0.360833333333333
CACNG6	-1.44083333333333
DPPA4	-5.52366666666667
ZSWIM3	-0.39525
ZNF804A	1.456
CCIN	1.97475
SLC25A31	0.222666666666667
KCNMB4	-1.291
RABL5	0.2655
GALNS	-0.48
STX6	0.18925
HIST1H1C	-1.9395
CIDEB	0.186125
CASP4	1.2775
PDK3	-0.0175
KCNJ11	-0.7705
TPR	-0.0035
ZSCAN20	0.108
MTX2	0.24025
HIST1H2BH	0.4
LOC283767	2.74275
LYRM7	-1.12227777777778
BRD3	-0.884833333333333
HIST1H2BO	-0.1885
MAGEB10	-1.157
SLC45A1	0.649
SERPINA3	0.91875
KIAA0143	1.04875
KCNJ16	2.9155
KRT79	-1.5065
FABP2	-0.9345
NUT	-0.403
ZNF57	0.1915
FBXL4	0.7375
CLEC9A	2.7125
UGT8	1.50516666666667
BMP2K	1.15625
MAPK4	-2.62225
SLC25A23	-0.7964
HINT1	-0.4193
KRTAP13-1	0.3785
SFXN5	-0.1548
CHCHD2	0.098
FAM3D	1.3985
NDP	-1.524
RHOBTB1	-0.207
SLC4A4	2.701625
RPL38	-0.182
HTF9C	-0.377833333333333
AP2A2	0.6965
ZBTB46	-0.418
MAP7D1	0.763625
AOX1	-0.777
CYR61	0.9645
DTNA	-0.324571428571428
JRKL	1.20475
TMOD3	0.12525
EEA1	0.096
ADCK5	0.055
IL1R1	2.4075
KLK3	0.597
HRSP12	-0.3085
KTN1	-0.029
LOH11CR2A	1.8562
RELL2	-1.26
MAB21L1	0.62775
C20orf59	-0.792
PHKB	-0.48325
ADAM2	1.66466666666667
TBC1D8B	1.69916666666667
FAM13A1	0.3421875
LAPTM4B	-0.357666666666667
LCN8	-0.3245
TMEM147	0.9985
SYT4	0.437833333333333
XPO7	-0.628
C9orf62	1.91625
GPR75	1.09
TRIM5	0.371375
APOC1	0.797166666666667
RNASE4	-0.583333333333333
PARD6B	-2.42675
ARID1A	0.582083333333333
TPD52L3	0.365875
RRAGB	-0.962333333333333
RCN2	-1.02083333333333
HIST2H2BE	-0.0259375
STARD7	0.2205
SHMT2	-1.1465
KIAA1751	-0.722
MLYCD	0.1275
LOC162632	-0.9125
UQCRH	-0.208
RP11-217H1.1	0.3775
SDHA	-1.61183333333333
NCLN	0.3988
ZNF17	0.7195
RCBTB2	-0.474
VEGFB	-0.4995
RP4-747L4.3	2.172
COLQ	0.2162
MPN2	-1.22733333333333
DRG2	-0.41125
KLRB1	6.903
ALPK2	-1.80925
DNASE2B	1.352
FLJ23834	-1.1305
AXUD1	0.673833333333333
SAFB	-0.5025
NSUN4	0.246
RFX2	-0.627666666666667
MAPK8IP1	-1.599
FANCD2	-0.698857142857143
ANKZF1	-0.7885
C19orf50	0.254125
DUSP8	0.907875
SENP5	0.479125
NFKBIL2	-0.10575
LBR	0.577125
IGFL1	4.372
LZTS2	-0.283875
IL2RG	0.88425
CCDC51	-0.28975
KLF3	0.226375
ANKRD37	-1.05625
KCTD14	-2.31016666666667
FZR1	0.51625
SLC44A4	-2.3466
ESPL1	-0.775625
GMPR2	-0.7432
TBC1D19	-0.573
ERGIC1	-1.15066666666667
ERBB4	-0.5265
TSPAN32	1.25666666666667
MAP4	0.339
GPHN	-0.75175
SLC6A2	-0.470125
HIVEP1	1.25875
DFFB	0.3069
EIF4EBP2	1.179625
DMRT1	1.13075
HSPB6	0.1415
IER2	0.542666666666667
AIFM1	-0.00575000000000001
WWC2	-0.733083333333333
MRPL4	0.27275
FLJ21062	0.211833333333333
EPB41L4A	-0.278833333333333
SH2D6	-0.13325
TAF4B	-0.249
GAL3ST3	-0.3645
MALT1	0.306333333333333
RTDR1	-0.529
ARVCF	-0.391
MEX3B	-0.983666666666667
FBXO16	-0.2435
KIF7	-1.412
C1QC	4.31166666666667
ZNF783	-0.313166666666667
ZNF85	-0.1135
MMP13	2.315
KIAA0329	0.176375
RTP3	-0.877
ZBED3	0.4415
CLGN	-4.90925
SLC25A37	-0.54775
hCG_18290	0.52825
OR5AS1	-0.079
SMARCC2	-0.126666666666667
FAM109A	0.291
CCDC12	-0.07875
USF2	0.4982
DEPDC7	-1.06
C20orf24	-0.607
JMJD3	0.2215
DSP	1.848
SLIC1	1.646125
FAM20A	2.69575
IRF2BP2	-0.103125
ZNF230	0.299
MSN	0.937214285714286
SLC9A5	-1.8415
EPDR1	-1.4735
MUSK	0.267333333333333
ZNF434	-0.957666666666667
SMARCD1	-0.6985
ZFP106	-0.06
ZNF347	0.63
GTF2E1	0.3455
RY1	0.109
ATAD2B	0.24125
ARHGAP17	-0.1781
