Sample REF	89FE3D24-088B-4F16-82A2-534DB14FF98D
FASN-R-V	-0.1690047495
FoxM1-R-V	0.1034433675
FOXO3a-R-C	0.150795599
FOXO3a_pS318_S321-R-C	-0.2411455995
G6PD-M-V	0.0364192460000003
GAB2-R-V	-0.0879681990000001
GAPDH-M-C	0.867833855
GATA3-M-V	0.878993834
GSK3-alpha-beta-M-V	-0.546674505
GSK3-alpha-beta_pS21_S9-R-V	-0.6202044205
GSK3_pS9-R-V	-0.230111192
HER2-M-V	0.3333527875
Heregulin-R-V	-0.0052699804999996
HSP70-R-C	0.736840025
IGFBP2-R-V	-0.701495277
IRS1-R-V	-0.0187173624999997
JNK2-R-C	0.0454209644999999
Ku80-R-C	-0.8472417395
Lck-R-V	-0.1856690015
LKB1-M-E	0.0303398470000003
MAPK_pT202_Y204-R-V	0.415613622
MEK1-R-V	0.6146114665
MEK1_pS217_S221-R-V	0.135249902
MIG-6-M-V	-0.227849868
Mre11-R-C	-0.1235893955
MSH6-R-C	-0.41330803
mTOR-R-V	-0.8681058105
mTOR_pS2448-R-C	-0.4196708835
MYH11-R-V	0.871218747
Myosin-IIa_pS1943-R-V	-0.782767064
N-Cadherin-R-V	0.320695955
N-Ras-M-V	0.4233700225
NDRG1_pT346-R-V	0.1764113155
NF-kB-p65_pS536-R-C	0.4853408495
NF2-R-C	-0.346524021
Notch1-R-V	0.407662460500001
P-Cadherin-R-C	-0.149093038
p27-R-V	-0.1876467395
p27_pT157-R-C	0.548390018
p27_pT198-R-V	-0.0799419134999999
p38_pT180_Y182-R-V	0.3178033115
p70S6K-R-V	-0.2807981385
p70S6K_pT389-R-V	-0.510289922
p90RSK-R-C	-0.584880647
p90RSK_pT359_S363-R-C	0.0246137525000001
PAI-1-M-E	-0.0343668524999998
PARP1-R-V	0.0881787914999999
PDCD4-R-C	-1.315300346
PDK1-R-V	-0.319386055
PDK1_pS241-R-V	-0.4122669975
PEA15-R-V	0.353121551
PEA15_pS116-R-V	0.3142612935
PI3K-p110-alpha-R-C	-0.0427849949999999
PI3K-p85-R-V	-0.3959151795
PKC-alpha-M-V	-0.1160540475
PKC-delta_pS664-R-V	-0.4273181395
PKC-pan_BetaII_pS660-R-V	-0.0669771434999999
PR-R-V	0.1258225295
PRAS40_pT246-R-V	0.251230449
PREX1-R-E	-0.4816983635
PTEN-R-V	-0.0708864524999999
Rab11-R-E	0.2432078135
Rab25-R-V	-0.1418632355
Raptor-R-V	0.0449046845000003
Rb_pS807_S811-R-V	0.0516519350000002
RBM15-R-V	-0.330223228
Rictor-R-C	-0.1569349865
Rictor_pT1135-R-V	0.331919821
S6-R-E	-0.349138766
S6_pS235_S236-R-V	0.2582921345
S6_pS240_S244-R-V	0.896218537
SCD-M-V	0.0236694225000003
SF2-M-V	0.299528431
Shc_pY317-R-E	0.0192767835000001
Smad1-R-V	-0.1818026825
Smad3-R-V	0.1100200835
Src-M-V	-0.0317449860000001
Src_pY416-R-C	0.4997468915
Src_pY527-R-V	0.885006004
STAT3_pY705-R-V	0.5878098265
STAT5-alpha-R-V	0.6096052015
Stathmin-R-V	0.117227714
Syk-M-V	-0.7090787265
TAZ-R-V	-0.173511234
TFRC-R-V	0.3009461085
TIGAR-R-V	-0.00155219949999985
Transglutaminase-M-V	-0.049832104
TSC1-R-C	-0.0388097069999999
Tuberin_pT1462-R-V	0.921156667
XBP1-G-C	1.605879904
YB-1-R-V	0.8648620925
YB-1_pS102-R-V	-0.0389877374999996
