Sample REF	a55195f2-8c4d-40ab-a452-8424a0403d03
PKC-pan_BetaII_pS660-R-V	0.0628516322499999
Rab25-R-V	0.22649856075
Rab11-R-E	0.0556121357499999
Raptor-R-V	0.0266168772499998
RBM15-R-V	0.40949609875
Rictor-R-C	-0.22279759175
Rictor_pT1135-R-V	-0.37838909375
SCD-M-V	-5.76749443575
SF2-M-V	-0.34636040125
TAZ-R-V	0.19052322125
TIGAR-R-V	0.0527300087499999
Transglutaminase-M-V	-0.20710805375
TFRC-R-V	0.20791105975
TSC1-R-C	1.15933159425
Tuberin_pT1462-R-V	-0.30374587775
XBP1-G-C	-0.25041111575
ETS-1-R-V	0.28162102725
14-3-3_beta-R-V	0.0121487552499997
14-3-3_zeta-R-V	0.49701040775
ACVRL1-R-C	0.54799742575
ARHI-M-E	0.37482367825
Annexin-1-M-E	0.53757012925
PREX1-R-E	-0.78782041675
MSH6-R-C	0.99572829225
PARP1-R-V	-0.20789593675
