Sample REF	3511ab99-23f6-45bb-b2f9-28e547200841
MEK1_pS217_S221-R-V	-0.0977507174999998
MIG-6-M-V	0.0328287135000003
Mre11-R-C	-0.1190191465
mTOR-R-V	-0.374269982
N-Cadherin-R-V	-0.1921822935
NF-kB-p65_pS536-R-C	-1.21010074
NF2-R-C	0.347760316
Notch1-R-V	-0.102880945
P-Cadherin-R-C	-0.0640022169999999
p27-R-V	0.3910592675
p27_pT157-R-C	0.000673878500000002
p38_pT180_Y182-R-V	0.1921054165
p70S6K-R-V	-0.110774194
p70S6K_pT389-R-V	-0.2917192025
p90RSK_pT359_S363-R-C	0.1561458275
PDK1_pS241-R-V	-0.107983598
PEA15-R-V	-0.0987711409999998
PI3K-p110-alpha-R-C	-0.1431857685
PKC-alpha-M-V	-0.0860793889999998
PKC-delta_pS664-R-V	-0.0951699204999998
PR-R-V	0.0575249355000003
PRAS40_pT246-R-V	-0.10771227
PTEN-R-V	0.591531466
Rb_pS807_S811-R-V	0.927755986
S6-R-E	0.237765895
S6_pS235_S236-R-V	0.235566711
S6_pS240_S244-R-V	0.356185723
Shc_pY317-R-E	-0.14865281
Smad1-R-V	0.0366975705000002
Smad3-R-V	0.1429391505
Src-M-V	0.0396807290000003
Src_pY416-R-C	-0.5358782535
Src_pY527-R-V	0.0411735590000004
STAT3_pY705-R-V	0.2086528895
STAT5-alpha-R-V	0.5218644365
Stathmin-R-V	-0.222680836
Syk-M-V	-0.0876044169999998
YB-1-R-V	-0.1513736575
YB-1_pS102-R-V	-0.329284314
PAI-1-M-E	-0.4578242085
mTOR_pS2448-R-C	-0.0580037934999997
EGFR-R-V	-0.105154468
4E-BP1_pT70-R-V	0.0116415200000002
Annexin_VII-M-V	0.0621504910000001
Bad_pS112-R-V	0.0455904585000002
Bap1-c-4-M-V	-0.1501505875
BRCA2-R-C	0.0342976035000002
CD20-R-C	0.0538933565000002
Cyclin_E2-R-C	0.0793202280000002
eIF4G-R-C	-0.1673353085
FASN-R-V	0.00798034500000044
FOXO3a_pS318_S321-R-C	-0.0979555329999998
FoxM1-R-V	-0.318248475
G6PD-M-V	-0.2255286855
GAPDH-M-C	-0.3811469885
GSK3_pS9-R-V	-0.0572009114999998
Heregulin-R-V	0.0950769370000002
MYH11-R-V	0.193069707
Myosin-IIa_pS1943-R-V	0.0779741680000002
N-Ras-M-V	0.059925121
NDRG1_pT346-R-V	0.1243548525
p27_pT198-R-V	-0.0243681429999996
p90RSK-R-C	-0.3577374465
PDCD4-R-C	0.2331234235
PDK1-R-V	0.0838327615000002
PEA15_pS116-R-V	0.1764684285
PI3K-p85-R-V	0.5230571825
PKC-pan_BetaII_pS660-R-V	0.1071835035
Rab25-R-V	0.266869651
Rab11-R-E	-0.0019011550000001
Raptor-R-V	-0.0774177384999999
RBM15-R-V	0.0764194840000003
Rictor-R-C	-0.2676953905
Rictor_pT1135-R-V	-0.2204634635
SCD-M-V	-1.1917311225
SF2-M-V	-0.0779995839999998
TAZ-R-V	0.0390222425000002
TIGAR-R-V	-0.00664154399999983
Transglutaminase-M-V	0.2106795975
TFRC-R-V	0.0252076110000001
TSC1-R-C	-0.4467375785
Tuberin_pT1462-R-V	-0.2847655925
XBP1-G-C	0.2115685085
ETS-1-R-V	0.0829909675000002
14-3-3_beta-R-V	-0.000673878500000002
14-3-3_zeta-R-V	-0.235912271
ACVRL1-R-C	-0.113508826
ARHI-M-E	0.00349670750000031
Annexin-1-M-E	0.0168569205000002
PREX1-R-E	-0.3502614345
MSH6-R-C	-0.5410630065
PARP1-R-V	0.2800662915
