Sample REF	F251633F-A6B6-4238-93A8-6C32EFCA1607
JNK2-R-C	0.000549684999999522
Ku80-R-C	-0.409163866
Lck-R-V	-0.444089034
LKB1-M-E	0.1649658725
MAPK_pT202_Y204-R-V	-0.6552451385
MEK1-R-V	0.54181837
MEK1_pS217_S221-R-V	0.0217723584999998
MIG-6-M-V	-0.0151313675
Mre11-R-C	-0.0497302620000004
MSH6-R-C	-0.2371245835
mTOR-R-V	-0.923215308
mTOR_pS2448-R-C	-0.573511982
MYH11-R-V	1.0670445955
Myosin-IIa_pS1943-R-V	-0.9245731365
N-Cadherin-R-V	0.2151571175
N-Ras-M-V	0.441290768
NDRG1_pT346-R-V	-0.0285112360000002
NF-kB-p65_pS536-R-C	0.208914886
NF2-R-C	-0.2809969275
Notch1-R-V	0.242252395
P-Cadherin-R-C	0.1180982785
p27-R-V	0.140141095
p27_pT157-R-C	0.1022543725
p27_pT198-R-V	0.0826992449999997
p38_pT180_Y182-R-V	-0.00413825400000012
p70S6K-R-V	-0.214617295000001
p70S6K_pT389-R-V	-0.3298062005
p90RSK-R-C	-0.2479630375
p90RSK_pT359_S363-R-C	0.0454384969999999
PAI-1-M-E	-0.201216384
PARP1-R-V	-0.116743760000001
PDCD4-R-C	-0.8222377895
PDK1-R-V	-0.3185425305
PDK1_pS241-R-V	-0.337226967
PEA15-R-V	0.2586935835
PEA15_pS116-R-V	-0.256631317
PI3K-p110-alpha-R-C	0.0617680164999996
PI3K-p85-R-V	-0.276948344
PKC-alpha-M-V	0.0520180689999996
PKC-delta_pS664-R-V	-0.474619247
PKC-pan_BetaII_pS660-R-V	-0.0379910710000002
PR-R-V	0.520960818
PRAS40_pT246-R-V	0.0276772434999997
PREX1-R-E	-0.50759375
PTEN-R-V	-0.0403090520000002
Rab11-R-E	0.138189049
Rab25-R-V	-1.147750616
Raptor-R-V	-0.0298249990000001
Rb_pS807_S811-R-V	-0.1532706165
RBM15-R-V	-0.5351457795
Rictor-R-C	0.233648538
Rictor_pT1135-R-V	0.4457908235
S6-R-E	-0.5540613175
S6_pS235_S236-R-V	0.0533695829999996
S6_pS240_S244-R-V	0.6912959855
SCD-M-V	0.329298142
SF2-M-V	0.0281555674999996
Shc_pY317-R-E	0.0925873789999996
Smad1-R-V	0
Smad3-R-V	0.0731229489999998
Src-M-V	-0.1029420915
Src_pY416-R-C	0.0977535499999995
Src_pY527-R-V	0.3925345895
STAT3_pY705-R-V	-0.169368099
STAT5-alpha-R-V	0.58319225
Stathmin-R-V	0.2202586445
Syk-M-V	-0.399849923
TAZ-R-V	-0.0500566405000005
TFRC-R-V	0.0960235569999999
TIGAR-R-V	0.119685682
Transglutaminase-M-V	-0.0832605885000002
TSC1-R-C	-0.2139861775
Tuberin_pT1462-R-V	0.00274755450000019
XBP1-G-C	0.2630470345
YB-1-R-V	-0.523276908
YB-1_pS102-R-V	0.224915593
