Sample REF	31b94bd4-e63e-4e52-b366-3bafe08524e7
Cyclin_E2-R-C	0.13729219075
eIF4G-R-C	0.59997816825
FASN-R-V	1.76927500275
FOXO3a_pS318_S321-R-C	-0.20821989625
FoxM1-R-V	-0.12118612125
G6PD-M-V	-0.13003647075
GAPDH-M-C	-0.42059694275
GSK3_pS9-R-V	0.25898055225
Heregulin-R-V	0.42754876775
MYH11-R-V	-1.28175275025
Myosin-IIa_pS1943-R-V	0.0604769087499999
N-Ras-M-V	0.0231912867499999
NDRG1_pT346-R-V	-0.48330922375
p27_pT198-R-V	0.0213102577500002
p90RSK-R-C	-0.29613686875
PDCD4-R-C	0.04026621525
PDK1-R-V	0.08192405225
PEA15_pS116-R-V	-0.00117811275000002
PI3K-p85-R-V	-0.24652959875
PKC-pan_BetaII_pS660-R-V	-0.28049309175
Rab25-R-V	-0.47492671825
Rab11-R-E	0.0632447277499997
Raptor-R-V	0.13234626025
RBM15-R-V	0.34130924475
Rictor-R-C	0.61578799625
Rictor_pT1135-R-V	0.38946465425
SCD-M-V	0.75761244825
SF2-M-V	0.00611872474999997
TAZ-R-V	-0.00134743375000002
TIGAR-R-V	-0.13605349325
Transglutaminase-M-V	-0.21939406375
TFRC-R-V	-0.19199544025
TSC1-R-C	-0.86077536875
Tuberin_pT1462-R-V	0.34173018625
XBP1-G-C	-0.33031677075
ETS-1-R-V	-0.19241813875
14-3-3_beta-R-V	0.0340277672499999
14-3-3_zeta-R-V	0.60152372775
ACVRL1-R-C	0.02772988175
ARHI-M-E	0.0572413402499998
Annexin-1-M-E	-2.03849338575
PREX1-R-E	2.72054256825
MSH6-R-C	0.18715816925
PARP1-R-V	-1.17523397875
