Sample REF	85fd3e18-e927-47b3-9e06-b73de5edd740
LKB1-M-E	0.10074482075
Lck-R-V	0.45429573925
MAPK_pT202_Y204-R-V	0.20820300775
MEK1-R-V	0.0199817372500002
MEK1_pS217_S221-R-V	-0.30692540325
MIG-6-M-V	0.0688731327500003
Mre11-R-C	0.87570808075
mTOR-R-V	-1.22896804175
N-Cadherin-R-V	1.06411499175
NF-kB-p65_pS536-R-C	-0.67658030875
NF2-R-C	-0.70774643075
Notch1-R-V	0.49253331925
P-Cadherin-R-C	-0.23334677975
p27-R-V	0.38394192975
p27_pT157-R-C	0.15040685575
p38_pT180_Y182-R-V	-0.0806588962500001
p70S6K-R-V	-1.42771822175
p70S6K_pT389-R-V	0.41713182775
p90RSK_pT359_S363-R-C	-0.05711979225
PDK1_pS241-R-V	-0.81321179275
PEA15-R-V	-0.26277357275
PI3K-p110-alpha-R-C	-0.38723824425
PKC-alpha-M-V	0.62166461925
PKC-delta_pS664-R-V	0.0536473127499999
PR-R-V	0.44052987175
PRAS40_pT246-R-V	0.14197293825
PTEN-R-V	-1.21526735275
Rb_pS807_S811-R-V	-1.24023680475
S6-R-E	-1.35263074775
S6_pS235_S236-R-V	-0.862601930749999
S6_pS240_S244-R-V	-0.75994533575
Shc_pY317-R-E	0.49788048125
Smad1-R-V	0.23632699075
Smad3-R-V	0.0703673987500002
Src-M-V	0.37678748525
Src_pY416-R-C	0.28442033075
Src_pY527-R-V	0.69168774325
STAT3_pY705-R-V	0.70686960375
STAT5-alpha-R-V	-0.75567924325
Stathmin-R-V	1.13715793825
Syk-M-V	-2.15132266275
YB-1-R-V	0.0455469147500001
YB-1_pS102-R-V	-0.46081049875
PAI-1-M-E	-0.44176543225
mTOR_pS2448-R-C	-0.98407343925
EGFR-R-V	0.83735151725
4E-BP1_pT70-R-V	0.0673699982499998
Annexin_VII-M-V	-0.00574601674999986
Bad_pS112-R-V	-1.20031851725
Bap1-c-4-M-V	-0.93638094325
BRCA2-R-C	0.34164397875
CD20-R-C	0.70145527675
Cyclin_E2-R-C	0.13496318825
eIF4G-R-C	-1.97741019925
FASN-R-V	-2.15272030075
FOXO3a_pS318_S321-R-C	0.38855597425
FoxM1-R-V	0.0844433422499999
G6PD-M-V	-0.29873239725
GAPDH-M-C	-0.75173295725
GSK3_pS9-R-V	-1.19077985425
Heregulin-R-V	0.30596386825
MYH11-R-V	4.61300003025
Myosin-IIa_pS1943-R-V	-0.95580301275
N-Ras-M-V	0.62575306325
NDRG1_pT346-R-V	0.70466081275
p27_pT198-R-V	-0.35902175575
p90RSK-R-C	-0.26067765025
PDCD4-R-C	-1.39356134025
PDK1-R-V	-0.25746321825
PEA15_pS116-R-V	0.27861354675
PI3K-p85-R-V	-0.57195387125
PKC-pan_BetaII_pS660-R-V	-0.69660881925
Rab25-R-V	-0.95425785775
Rab11-R-E	1.30975928625
Raptor-R-V	-0.43306608025
RBM15-R-V	-1.84458828575
Rictor-R-C	1.54717972475
Rictor_pT1135-R-V	0.84431516075
SCD-M-V	-1.63351020025
SF2-M-V	-0.09550678475
TAZ-R-V	0.32688501875
TIGAR-R-V	0.56011309825
Transglutaminase-M-V	-0.05684882325
TFRC-R-V	-0.53250346875
TSC1-R-C	-1.60973629325
Tuberin_pT1462-R-V	0.03011943175
XBP1-G-C	0.75753855675
ETS-1-R-V	0.36732956475
14-3-3_beta-R-V	0.80391589975
14-3-3_zeta-R-V	-0.74901477675
ACVRL1-R-C	0.37671716725
ARHI-M-E	0.87343447575
Annexin-1-M-E	0.77645266775
PREX1-R-E	-0.75074735225
MSH6-R-C	-0.54018027025
PARP1-R-V	-1.85319344725
