Sample REF	0D7A5303-6F45-4910-8BC5-F08E8FC11463
P-Cadherin-R-C	0.0527185549999999
p27-R-V	-0.4066765215
p27_pT157-R-C	-0.183378494
p27_pT198-R-V	-0.0232166545000001
p38_pT180_Y182-R-V	0.2010008385
p70S6K-R-V	0.4473269575
p70S6K_pT389-R-V	-0.349955863
p90RSK-R-C	0.144553962
p90RSK_pT359_S363-R-C	-0.4659931095
PAI-1-M-E	0.0392102075
PARP1-R-V	-0.1772106325
PDCD4-R-C	-0.209556157
PDK1-R-V	-0.126897008
PDK1_pS241-R-V	-0.0549726374999999
PEA15-R-V	0.00772171199999994
PEA15_pS116-R-V	0.1252734855
PI3K-p110-alpha-R-C	0.154108739
PI3K-p85-R-V	-0.2048876685
PKC-alpha-M-V	0.2983719495
PKC-delta_pS664-R-V	-0.0567404385000003
PKC-pan_BetaII_pS660-R-V	0.1437857415
PR-R-V	0.1329947685
PRAS40_pT246-R-V	-0.10814102
PREX1-R-E	-0.1413772175
PTEN-R-V	0.9358563305
Rab11-R-E	-0.2136698905
Rab25-R-V	0.0430872124999997
Raptor-R-V	-0.0714887255000001
Rb_pS807_S811-R-V	0.147430133
RBM15-R-V	0.372344404
Rictor-R-C	-0.0559495935000001
Rictor_pT1135-R-V	0.022593015
S6-R-E	0.722182836
S6_pS235_S236-R-V	-0.3039968255
S6_pS240_S244-R-V	0.045653368
SCD-M-V	-0.00687142850000022
SF2-M-V	-0.350415192
Shc_pY317-R-E	0.1775085615
Smad1-R-V	0.0492296885000001
Smad3-R-V	-0.0976061355
Src-M-V	-0.110786368
Src_pY416-R-C	0.3824713765
Src_pY527-R-V	-0.248363118
STAT3_pY705-R-V	-0.9892103525
STAT5-alpha-R-V	0.3779857515
Stathmin-R-V	-0.145245676
Syk-M-V	0.1142171535
TAZ-R-V	-0.203883603
TFRC-R-V	0.6411573025
TIGAR-R-V	-0.0667678735
Transglutaminase-M-V	-0.123494659
TSC1-R-C	0.115204891
Tuberin_pT1462-R-V	-0.199145028
XBP1-G-C	-0.404053778
YB-1-R-V	0.0483893925
YB-1_pS102-R-V	0.0402419615
