Sample REF	b661ea2e-2f24-44b9-b8ed-30f38223b85c
p70S6K-R-V	-0.43217556075
p70S6K_pT389-R-V	0.53454100775
p90RSK_pT359_S363-R-C	0.24445503975
PDK1_pS241-R-V	-0.13737321075
PEA15-R-V	-0.22076179475
PI3K-p110-alpha-R-C	0.0208892937500003
PKC-alpha-M-V	0.12782377125
PKC-delta_pS664-R-V	-0.13202610525
PR-R-V	3.07914714475
PRAS40_pT246-R-V	0.0444558502500001
PTEN-R-V	-0.0929340627499998
Rb_pS807_S811-R-V	-0.27709007675
S6-R-E	-0.0704188077499998
S6_pS235_S236-R-V	0.67425276325
S6_pS240_S244-R-V	0.41784948025
Shc_pY317-R-E	0.36109245725
Smad1-R-V	0.14216770675
Smad3-R-V	0.0644501757500003
Src-M-V	-0.0552965967499998
Src_pY416-R-C	0.14609386375
Src_pY527-R-V	0.73101012825
STAT3_pY705-R-V	0.87595677375
STAT5-alpha-R-V	-0.36707822925
Stathmin-R-V	-0.0472170067499998
Syk-M-V	-0.38044414675
YB-1-R-V	0.17683664875
YB-1_pS102-R-V	0.30010744925
PAI-1-M-E	0.12436556075
mTOR_pS2448-R-C	0.32580027775
EGFR-R-V	0.27611963625
4E-BP1_pT70-R-V	0.01418827225
Annexin_VII-M-V	0.0633786772500003
Bad_pS112-R-V	0.12558418875
Bap1-c-4-M-V	0.10449940575
BRCA2-R-C	-0.0102187852499998
CD20-R-C	0.0959681287500002
Cyclin_E2-R-C	-0.0270628227499998
eIF4G-R-C	-0.0578842112499997
FASN-R-V	1.10380489225
FOXO3a_pS318_S321-R-C	-0.26559877375
FoxM1-R-V	-0.36475025475
G6PD-M-V	-0.25542312125
GAPDH-M-C	-0.0167059482499998
GSK3_pS9-R-V	-0.00705790624999981
Heregulin-R-V	-0.0247268417499997
MYH11-R-V	3.49368983825
Myosin-IIa_pS1943-R-V	0.18975153025
N-Ras-M-V	0.0369988292500001
NDRG1_pT346-R-V	0.44099652475
p27_pT198-R-V	-0.347803864749999
p90RSK-R-C	-0.28585194025
PDCD4-R-C	0.27349291475
PDK1-R-V	0.0901638197500002
PEA15_pS116-R-V	-0.11099782725
PI3K-p85-R-V	0.0442297607500002
PKC-pan_BetaII_pS660-R-V	-0.0173298502499996
Rab25-R-V	-0.32358246875
Rab11-R-E	-0.04682672775
Raptor-R-V	-0.21894442425
RBM15-R-V	-1.10978223775
Rictor-R-C	0.51358526975
Rictor_pT1135-R-V	-0.0195252972499998
SCD-M-V	-0.47243225125
SF2-M-V	-0.0747353007499997
TAZ-R-V	-0.21073651825
TIGAR-R-V	-0.0615678117499999
Transglutaminase-M-V	-0.0936410002499998
TFRC-R-V	0.0846074832500002
TSC1-R-C	-0.74176199825
Tuberin_pT1462-R-V	0.16603286375
XBP1-G-C	0.26090102475
ETS-1-R-V	0.0892838497500003
14-3-3_beta-R-V	-0.0576197042499999
14-3-3_zeta-R-V	-0.32592433275
ACVRL1-R-C	-0.0559092627499997
ARHI-M-E	-0.13669093725
Annexin-1-M-E	0.37155237075
PREX1-R-E	1.67981212075
MSH6-R-C	-0.30801172225
PARP1-R-V	-0.23415886625
